gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,savedObox,attLfGoal,attOneOnOne,attMissHighRight,freekickCross,goodHighClaim,attOboxMiss,errorLeadToShot,totalHighClaim,attGoalHighRight,divingSave,attHdTarget,sixYardBlock,attAssistSetplay,attSvLowRight,punches,savedIbox,shieldBallOop,foulThrowIn,attSvHighCentre,attHdGoal,goalAssistDeadball,saves,attSvHighLeft,contentiousDecision,successfulOpenPlayPass,attMissHighLeft,openPlayPass,accurateFreekickCross,attSetpiece,totalPullBack,attFreekickMiss,attemptsIbox,accurateKeeperSweeper,attemptsObox,touchesInOppBox,totalKeeperSweeper,defenderGoals,attCorner,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded,cleanSheet,attOboxGoal,attGoalHighCentre,attObxdLeft,attFreekickGoal,attOboxPost,accuratePullBack,goalFastbreak,attLgCentre,attSvHighRight,attPenGoal,attObxdRight,attGoalLowCentre,attCmissHighRight,attPostRight,attHdPost,attPostLeft,attCmissHighLeft,clearanceOffLine,ownGoals,attIboxOwnGoal,penaltySave,attObxLeft
11,442103,2012-11-11 13:30:00,"Etihad Stadium, Manchester",47208,Home,Manchester City,Tottenham Hotspur,2,1,W,0,1,0,0,,,1.0,2.0,50.0,1.0,,,,34.0,22.0,3.0,7.0,2.0,187.0,5.0,6.0,2.0,1.0,11.0,1.0,5.0,131.0,163.0,50.0,,1.0,14.0,1.0,17.0,3.0,1.0,4.0,,2.0,1.0,4.0,24.0,,12.0,,12.0,7.0,5.0,32.0,212.0,,0.0,166.0,16.0,1.0,,1.0,66.0,97.0,5.0,62.0,1.0,2.0,17.0,1.0,7.0,153.0,5.0,4.0,102.0,678.0,7.0,2.0,,13.0,20.0,3.0,11.0,2.0,1.0,1.0,6.0,29.0,85.0,2.0,93666,6.0,187.0,3.0,10.0,204.0,,6.0,53.0,,11.0,8.0,4.0,2.0,14.0,3.0,5.0,,52.0,394.0,6.0,1.0,7.0,77.0,1.0,1.0,4.0,0.0,,2.0,2.0,2.0,,1.0,1.0,0.0,2.0,1.0,2.0,61.9,27.0,2.0,,,4.0,1.0,49.0,8.0,482.0,9.0,12.0,14.0,8.0,31.0,3.0,6.0,302.0,5.0,5.0,21.0,119.0,26.0,2.0,,5.0,17.0,1.0,9.0,3.0,13.0,1.0,,8.0,,2.0,,1.0,,1.0,2.0,,1.0,,,,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,442112,2012-11-17 15:00:00,"Etihad Stadium, Manchester",47072,Home,Manchester City,Aston Villa,5,0,W,1,0,0,0,,,1.0,4.0,56.0,1.0,4.0,3.0,,45.0,17.0,6.0,3.0,4.0,202.0,7.0,6.0,5.0,3.0,21.0,,10.0,169.0,127.0,34.0,,,26.0,2.0,12.0,4.0,2.0,4.0,,2.0,,2.0,30.0,,14.0,1.0,8.0,8.0,8.0,29.0,395.0,2.0,0.0,286.0,9.0,3.0,1.0,4.0,109.0,92.0,10.0,81.0,,2.0,22.0,,3.0,118.0,2.0,5.0,169.0,810.0,15.0,1.0,,12.0,18.0,,6.0,2.0,0.0,6.0,11.0,19.0,81.0,1.0,84702,9.0,172.0,1.0,19.0,184.0,5.0,3.0,48.0,3.0,2.0,1.0,9.0,2.0,7.0,6.0,3.0,7.0,56.0,560.0,4.0,1.0,7.0,68.0,2.0,,1.0,0.0,,,4.0,5.0,,,1.0,0.0,3.0,1.0,4.0,66.6,19.0,4.0,5.0,2.0,9.0,5.0,57.0,9.0,621.0,11.0,14.0,16.0,11.0,26.0,4.0,8.0,467.0,19.0,8.0,9.0,248.0,24.0,4.0,1.0,2.0,15.0,,17.0,3.0,18.0,,1.0,9.0,,,,,,2.0,3.0,,2.0,,1.0,,2.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,
13,442120,2012-11-25 16:00:00,"Stamford Bridge, London",41792,Away,Manchester City,Chelsea,0,0,D,0,0,0,0,,,,,58.0,,,1.0,,28.0,34.0,1.0,1.0,2.0,187.0,11.0,6.0,,,8.0,,5.0,125.0,163.0,61.0,,,9.0,,13.0,4.0,,3.0,,,2.0,1.0,34.0,,24.0,1.0,25.0,10.0,9.0,12.0,243.0,,0.0,174.0,17.0,1.0,,2.0,120.0,75.0,5.0,70.0,2.0,1.0,24.0,,6.0,154.0,1.0,3.0,137.0,731.0,6.0,6.0,,14.0,19.0,2.0,20.0,,3.0,1.0,3.0,22.0,68.0,,84702,5.0,193.0,1.0,18.0,208.0,,7.0,59.0,1.0,1.0,1.0,4.0,,6.0,3.0,3.0,1.0,49.0,425.0,8.0,6.0,21.0,88.0,,,,0.0,,,6.0,,,,2.0,0.0,7.0,,4.0,57.7,20.0,1.0,3.0,,4.0,1.0,54.0,11.0,519.0,11.0,17.0,6.0,3.0,19.0,4.0,3.0,345.0,4.0,9.0,16.0,118.0,29.0,,2.0,14.0,31.0,,7.0,2.0,13.0,,2.0,11.0,1.0,,,,,,,,,,,3.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14,442136,2012-11-28 20:00:00,"DW Stadium, Wigan",19623,Away,Manchester City,Wigan Athletic,2,0,W,0,0,0,0,,1.0,2.0,1.0,56.0,,,,,28.0,25.0,7.0,6.0,2.0,151.0,4.0,6.0,2.0,3.0,12.0,,6.0,145.0,120.0,49.0,,1.0,17.0,1.0,6.0,2.0,2.0,1.0,,1.0,2.0,5.0,23.0,,18.0,2.0,13.0,6.0,11.0,16.0,263.0,,0.0,143.0,13.0,3.0,1.0,2.0,74.0,74.0,3.0,66.0,1.0,1.0,17.0,1.0,5.0,108.0,1.0,7.0,140.0,682.0,11.0,1.0,,12.0,19.0,3.0,8.0,1.0,1.0,3.0,9.0,18.0,52.0,1.0,84702,3.0,185.0,2.0,11.0,193.0,2.0,6.0,50.0,,2.0,1.0,6.0,2.0,7.0,2.0,4.0,1.0,34.0,444.0,13.0,12.0,8.0,62.0,2.0,,4.0,0.0,,,6.0,1.0,,,,0.0,4.0,,1.0,54.4,17.0,1.0,5.0,1.0,6.0,1.0,45.0,6.0,502.0,11.0,17.0,11.0,10.0,16.0,,5.0,332.0,10.0,11.0,9.0,114.0,25.0,1.0,4.0,2.0,21.0,,16.0,3.0,9.0,,4.0,6.0,,,,2.0,1.0,1.0,5.0,2.0,1.0,2.0,,,,,,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,
15,442142,2012-12-01 15:00:00,"Etihad Stadium, Manchester",47386,Home,Manchester City,Everton,1,1,D,1,1,0,0,,2.0,,1.0,56.0,,,2.0,,30.0,31.0,2.0,1.0,2.0,206.0,8.0,3.0,1.0,2.0,8.0,,4.0,140.0,158.0,46.0,,,10.0,1.0,21.0,3.0,,2.0,,,1.0,,32.0,,13.0,,15.0,5.0,11.0,36.0,292.0,1.0,0.0,225.0,18.0,,,1.0,106.0,79.0,5.0,66.0,,,27.0,,12.0,142.0,,3.0,134.0,740.0,8.0,7.0,,19.0,20.0,5.0,16.0,,2.0,2.0,3.0,18.0,79.0,,7551,5.0,175.0,,14.0,189.0,1.0,9.0,51.0,,5.0,1.0,8.0,,9.0,6.0,4.0,1.0,46.0,459.0,12.0,2.0,17.0,81.0,,,,0.0,,1.0,2.0,1.0,,1.0,2.0,0.0,7.0,,2.0,59.2,16.0,1.0,3.0,1.0,9.0,3.0,52.0,5.0,546.0,15.0,9.0,17.0,3.0,35.0,1.0,2.0,389.0,7.0,11.0,16.0,167.0,22.0,1.0,2.0,9.0,15.0,1.0,8.0,3.0,6.0,,2.0,5.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,,3.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
16,442153,2012-12-09 13:30:00,"Etihad Stadium, Manchester",47166,Home,Manchester City,Manchester United,2,3,L,0,2,0,0,1.0,,3.0,,54.0,2.0,,2.0,,34.0,20.0,6.0,5.0,4.0,196.0,1.0,17.0,2.0,3.0,13.0,1.0,9.0,121.0,167.0,56.0,,1.0,18.0,1.0,18.0,5.0,,4.0,,1.0,3.0,,19.0,,9.0,2.0,10.0,8.0,13.0,27.0,215.0,,0.0,149.0,12.0,3.0,1.0,1.0,60.0,70.0,8.0,54.0,,2.0,11.0,1.0,2.0,157.0,1.0,4.0,110.0,698.0,11.0,8.0,1.0,17.0,29.0,6.0,11.0,1.0,4.0,2.0,5.0,30.0,74.0,2.0,84702,4.0,180.0,2.0,9.0,199.0,2.0,8.0,65.0,,8.0,4.0,3.0,1.0,9.0,6.0,6.0,1.0,45.0,394.0,9.0,7.0,18.0,84.0,,,,0.0,1.0,4.0,2.0,2.0,,3.0,3.0,0.0,,1.0,1.0,56.2,25.0,1.0,1.0,,3.0,3.0,53.0,8.0,481.0,12.0,21.0,14.0,6.0,25.0,1.0,3.0,301.0,12.0,13.0,14.0,109.0,20.0,,2.0,7.0,16.0,2.0,15.0,3.0,24.0,1.0,2.0,8.0,,,,3.0,,,3.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,
17,442162,2012-12-15 12:45:00,"St. James' Park, Newcastle",49579,Away,Manchester City,Newcastle United,3,1,W,2,0,0,0,,1.0,1.0,1.0,50.0,1.0,1.0,2.0,1.0,11.0,54.0,3.0,1.0,4.0,142.0,6.0,9.0,3.0,1.0,15.0,2.0,8.0,86.0,156.0,64.0,,,17.0,1.0,27.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,11.0,1.0,19.0,1.0,26.0,5.0,3.0,14.0,172.0,,0.0,122.0,17.0,3.0,2.0,1.0,61.0,50.0,9.0,55.0,3.0,3.0,6.0,,2.0,128.0,4.0,8.0,74.0,596.0,9.0,5.0,1.0,10.0,18.0,2.0,27.0,3.0,2.0,3.0,6.0,18.0,42.0,2.0,93666,8.0,117.0,4.0,3.0,128.0,2.0,14.0,70.0,,2.0,5.0,8.0,2.0,6.0,9.0,1.0,,26.0,283.0,9.0,7.0,22.0,87.0,1.0,,,0.0,,,12.0,3.0,,1.0,1.0,0.0,3.0,3.0,2.0,46.3,15.0,1.0,2.0,1.0,10.0,3.0,32.0,7.0,357.0,9.0,14.0,6.0,6.0,14.0,3.0,4.0,240.0,13.0,2.0,19.0,98.0,16.0,1.0,7.0,13.0,27.0,1.0,13.0,3.0,15.0,,7.0,7.0,1.0,,,,1.0,,1.0,,,,2.0,,,3.0,1.0,3.0,3.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,
18,442171,2012-12-22 15:00:00,"Etihad Stadium, Manchester",47007,Home,Manchester City,Reading,1,0,W,0,0,0,0,,1.0,1.0,1.0,44.0,,1.0,4.0,,31.0,24.0,5.0,5.0,,193.0,14.0,7.0,1.0,4.0,18.0,1.0,3.0,219.0,136.0,56.0,,,21.0,4.0,19.0,2.0,,2.0,,1.0,2.0,3.0,37.0,,8.0,,15.0,10.0,14.0,16.0,436.0,,0.0,287.0,12.0,1.0,1.0,,102.0,96.0,9.0,70.0,,2.0,27.0,,7.0,127.0,5.0,4.0,195.0,867.0,15.0,7.0,,11.0,17.0,4.0,16.0,1.0,2.0,,9.0,23.0,81.0,,93666,10.0,180.0,4.0,17.0,203.0,,6.0,46.0,1.0,2.0,,8.0,1.0,10.0,1.0,6.0,2.0,35.0,602.0,16.0,1.0,9.0,57.0,,,,0.0,,3.0,3.0,1.0,,,3.0,0.0,10.0,1.0,7.0,73.3,22.0,5.0,2.0,2.0,8.0,8.0,49.0,12.0,677.0,10.0,11.0,8.0,10.0,37.0,4.0,9.0,511.0,7.0,14.0,25.0,243.0,16.0,,2.0,10.0,8.0,,15.0,3.0,11.0,,2.0,12.0,,,,3.0,3.0,,1.0,,,,,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,442188,2012-12-26 15:00:00,"Stadium of Light, Sunderland",42190,Away,Manchester City,Sunderland,0,1,L,0,0,0,0,1.0,,2.0,,59.0,,,4.0,,28.0,31.0,12.0,6.0,4.0,182.0,5.0,10.0,,5.0,20.0,,7.0,154.0,130.0,61.0,,2.0,23.0,4.0,13.0,4.0,2.0,2.0,1.0,,3.0,1.0,29.0,1.0,12.0,3.0,21.0,6.0,20.0,21.0,356.0,,0.0,238.0,16.0,4.0,,1.0,66.0,102.0,14.0,87.0,,1.0,23.0,2.0,9.0,120.0,2.0,6.0,156.0,770.0,18.0,7.0,1.0,10.0,27.0,3.0,16.0,,3.0,2.0,6.0,13.0,85.0,1.0,93666,8.0,168.0,2.0,11.0,174.0,,6.0,56.0,,4.0,1.0,3.0,,8.0,6.0,5.0,4.0,40.0,519.0,13.0,6.0,13.0,87.0,2.0,,,0.0,,3.0,3.0,,1.0,1.0,3.0,0.0,1.0,,3.0,67.0,11.0,1.0,2.0,,3.0,8.0,64.0,7.0,579.0,8.0,14.0,15.0,8.0,28.0,4.0,2.0,434.0,14.0,19.0,25.0,202.0,26.0,,3.0,11.0,13.0,,16.0,3.0,17.0,1.0,3.0,7.0,1.0,,,1.0,3.0,1.0,5.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,
20,442194,2012-12-29 15:00:00,"Carrow Road, Norwich",26827,Away,Manchester City,Norwich City,4,3,W,2,1,1,0,1.0,,,3.0,43.0,1.0,,4.0,,23.0,31.0,3.0,4.0,4.0,163.0,7.0,14.0,4.0,3.0,15.0,1.0,7.0,122.0,145.0,57.0,,,15.0,1.0,13.0,4.0,3.0,3.0,,3.0,1.0,1.0,19.0,,12.0,,17.0,9.0,22.0,22.0,253.0,,0.0,183.0,11.0,6.0,,,70.0,88.0,12.0,79.0,,1.0,10.0,,4.0,131.0,6.0,6.0,102.0,672.0,10.0,4.0,1.0,11.0,19.0,3.0,25.0,3.0,1.0,4.0,3.0,25.0,67.0,,84702,9.0,145.0,3.0,6.0,164.0,2.0,8.0,44.0,,2.0,,1.0,3.0,10.0,5.0,4.0,,40.0,391.0,9.0,,16.0,65.0,3.0,,1.0,0.0,,3.0,4.0,4.0,,3.0,1.0,1.0,2.0,3.0,,53.6,18.0,,4.0,,1.0,5.0,35.0,9.0,466.0,10.0,10.0,11.0,3.0,28.0,5.0,1.0,321.0,9.0,22.0,15.0,143.0,16.0,3.0,3.0,13.0,19.0,2.0,13.0,3.0,24.0,,3.0,9.0,1.0,1.0,1.0,1.0,,2.0,2.0,,2.0,,1.0,,1.0,2.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,
21,442201,2013-01-01 15:00:00,"Etihad Stadium, Manchester",47192,Home,Manchester City,Stoke City,3,0,W,1,0,0,0,,,,3.0,50.0,1.0,1.0,3.0,,22.0,22.0,8.0,5.0,3.0,192.0,5.0,6.0,3.0,6.0,16.0,,6.0,143.0,141.0,47.0,,1.0,20.0,3.0,22.0,2.0,1.0,2.0,1.0,,,,26.0,1.0,12.0,1.0,12.0,5.0,17.0,24.0,334.0,1.0,0.0,252.0,6.0,4.0,,1.0,83.0,82.0,8.0,76.0,1.0,,21.0,1.0,4.0,131.0,2.0,3.0,156.0,750.0,14.0,4.0,1.0,14.0,24.0,4.0,11.0,,2.0,3.0,8.0,29.0,77.0,2.0,93666,6.0,158.0,2.0,16.0,177.0,2.0,5.0,52.0,2.0,7.0,,,1.0,3.0,2.0,2.0,2.0,32.0,487.0,10.0,2.0,17.0,65.0,1.0,,,0.0,,1.0,2.0,3.0,,,,0.0,4.0,,2.0,61.6,28.0,1.0,2.0,1.0,,6.0,41.0,7.0,567.0,11.0,19.0,11.0,8.0,33.0,1.0,3.0,416.0,13.0,16.0,18.0,201.0,24.0,2.0,1.0,7.0,13.0,,15.0,3.0,9.0,,1.0,7.0,1.0,1.0,,4.0,1.0,,4.0,,,,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,3.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,
22,442209,2013-01-13 16:00:00,"Emirates Stadium, London",60107,Away,Manchester City,Arsenal,2,0,W,2,0,1,1,,1.0,1.0,1.0,54.0,2.0,,3.0,1.0,41.0,27.0,6.0,7.0,2.0,209.0,4.0,6.0,2.0,3.0,13.0,,6.0,163.0,137.0,58.0,1.0,,18.0,2.0,20.0,3.0,,1.0,,,2.0,6.0,18.0,,11.0,1.0,17.0,3.0,8.0,27.0,281.0,1.0,0.0,193.0,19.0,2.0,1.0,,98.0,126.0,7.0,78.0,,,15.0,,4.0,137.0,1.0,6.0,142.0,777.0,11.0,2.0,1.0,13.0,18.0,4.0,18.0,1.0,4.0,3.0,6.0,19.0,69.0,,89572,9.0,217.0,3.0,11.0,235.0,2.0,7.0,58.0,,4.0,2.0,4.0,1.0,6.0,3.0,5.0,,57.0,494.0,11.0,6.0,14.0,93.0,,,,0.0,,,2.0,2.0,,,,1.0,3.0,1.0,4.0,60.0,16.0,3.0,6.0,1.0,4.0,5.0,62.0,7.0,592.0,10.0,9.0,16.0,7.0,34.0,1.0,4.0,375.0,7.0,8.0,25.0,141.0,24.0,1.0,3.0,11.0,16.0,,11.0,3.0,11.0,,3.0,7.0,,,1.0,,,2.0,3.0,,2.0,,,1.0,,1.0,,2.0,3.0,,,1.0,,,2.0,,1.0,473.0,1.0,568.0,,1.0,,,12.0,,6.0,35.0,,,5.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,
23,442221,2013-01-19 15:00:00,"Etihad Stadium, Manchester",47286,Home,Manchester City,Fulham,2,0,W,1,0,0,0,,2.0,1.0,2.0,63.0,,2.0,2.0,,28.0,22.0,8.0,5.0,3.0,163.0,3.0,7.0,2.0,3.0,18.0,3.0,7.0,126.0,133.0,46.0,,1.0,20.0,1.0,12.0,3.0,3.0,2.0,,1.0,2.0,3.0,15.0,,22.0,2.0,11.0,1.0,10.0,18.0,202.0,,0.0,136.0,14.0,3.0,2.0,2.0,76.0,60.0,8.0,80.0,,3.0,14.0,1.0,6.0,122.0,4.0,1.0,99.0,646.0,16.0,5.0,,15.0,28.0,7.0,8.0,1.0,1.0,,10.0,18.0,68.0,2.0,84702,6.0,197.0,3.0,7.0,215.0,,10.0,52.0,1.0,2.0,2.0,1.0,2.0,11.0,1.0,7.0,3.0,42.0,396.0,6.0,9.0,19.0,77.0,3.0,,3.0,0.0,,,2.0,2.0,,,4.0,0.0,2.0,,1.0,45.5,15.0,,2.0,2.0,1.0,3.0,44.0,1.0,468.0,13.0,13.0,6.0,10.0,17.0,1.0,5.0,268.0,13.0,10.0,6.0,106.0,31.0,,5.0,6.0,27.0,,17.0,3.0,13.0,,5.0,1.0,,2.0,3.0,1.0,1.0,,5.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
24,442233,2013-01-29 19:45:00,"MATRADE Loftus Road, London",17894,Away,Manchester City,Queens Park Rangers,0,0,D,0,0,0,0,,1.0,4.0,,60.0,,,3.0,,31.0,12.0,4.0,8.0,,215.0,5.0,14.0,,4.0,15.0,,4.0,149.0,160.0,51.0,,,17.0,1.0,10.0,4.0,,2.0,1.0,,2.0,3.0,30.0,1.0,14.0,,7.0,9.0,15.0,19.0,318.0,,0.0,226.0,10.0,,,1.0,152.0,62.0,8.0,90.0,,2.0,21.0,,7.0,155.0,2.0,3.0,149.0,793.0,13.0,7.0,1.0,7.0,19.0,6.0,3.0,,2.0,3.0,7.0,32.0,94.0,1.0,84702,6.0,196.0,2.0,11.0,206.0,,4.0,50.0,,2.0,1.0,7.0,,9.0,3.0,3.0,2.0,46.0,509.0,9.0,11.0,18.0,104.0,,,2.0,0.0,,2.0,2.0,,1.0,,,0.0,4.0,,2.0,68.7,29.0,1.0,2.0,3.0,7.0,4.0,75.0,10.0,603.0,4.0,13.0,8.0,9.0,21.0,1.0,4.0,427.0,7.0,13.0,12.0,163.0,28.0,,3.0,1.0,16.0,,14.0,3.0,21.0,,3.0,10.0,,,,1.0,3.0,,4.0,,,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,
25,442242,2013-02-03 16:00:00,"Etihad Stadium, Manchester",47301,Home,Manchester City,Liverpool,2,2,D,1,1,0,0,2.0,2.0,1.0,1.0,53.0,1.0,,,,29.0,29.0,4.0,4.0,,170.0,8.0,4.0,2.0,1.0,7.0,,3.0,101.0,156.0,52.0,,2.0,11.0,2.0,13.0,,,,,2.0,,1.0,21.0,,16.0,1.0,14.0,8.0,4.0,20.0,212.0,,0.0,143.0,16.0,1.0,,,73.0,84.0,2.0,52.0,2.0,1.0,13.0,2.0,5.0,141.0,1.0,10.0,96.0,619.0,3.0,13.0,,20.0,22.0,8.0,11.0,2.0,2.0,8.0,5.0,18.0,71.0,,84702,4.0,122.0,,8.0,140.0,2.0,13.0,53.0,1.0,3.0,,7.0,2.0,9.0,12.0,9.0,3.0,41.0,326.0,7.0,7.0,21.0,83.0,,,,0.0,,2.0,10.0,1.0,,2.0,3.0,0.0,6.0,1.0,4.0,45.7,17.0,4.0,2.0,,7.0,2.0,58.0,9.0,419.0,12.0,12.0,10.0,6.0,18.0,2.0,5.0,300.0,3.0,4.0,19.0,89.0,21.0,2.0,2.0,4.0,22.0,,6.0,3.0,11.0,,2.0,9.0,1.0,,,,,,1.0,,,,2.0,,,2.0,,3.0,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,
26,442254,2013-02-09 17:30:00,"St. Mary's Stadium, Southampton",31738,Away,Manchester City,Southampton,1,3,L,1,2,0,0,,2.0,2.0,1.0,61.0,1.0,,,,29.0,38.0,5.0,4.0,1.0,190.0,3.0,6.0,1.0,3.0,5.0,,4.0,129.0,207.0,54.0,,1.0,8.0,3.0,27.0,2.0,1.0,,,1.0,1.0,,31.0,,18.0,1.0,21.0,6.0,13.0,30.0,199.0,,0.0,145.0,14.0,3.0,,,70.0,89.0,4.0,76.0,,,25.0,1.0,9.0,190.0,2.0,11.0,111.0,741.0,4.0,10.0,,22.0,25.0,6.0,18.0,1.0,2.0,4.0,1.0,34.0,73.0,2.0,7551,2.0,189.0,1.0,15.0,226.0,1.0,9.0,73.0,,2.0,3.0,5.0,1.0,4.0,5.0,5.0,,51.0,385.0,11.0,10.0,28.0,91.0,1.0,,,0.0,,1.0,6.0,1.0,,3.0,5.0,0.0,3.0,1.0,,55.7,29.0,,1.0,1.0,5.0,3.0,52.0,6.0,506.0,17.0,21.0,15.0,1.0,22.0,,,311.0,4.0,11.0,17.0,92.0,27.0,1.0,,9.0,20.0,3.0,5.0,3.0,9.0,1.0,,6.0,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,
27,442262,2013-02-24 13:30:00,"Etihad Stadium, Manchester",47256,Home,Manchester City,Chelsea,2,0,W,0,0,0,0,,,1.0,,58.0,1.0,1.0,4.0,,28.0,48.0,5.0,4.0,1.0,147.0,6.0,7.0,2.0,2.0,13.0,,6.0,110.0,152.0,44.0,,,15.0,,13.0,2.0,,1.0,,2.0,3.0,1.0,22.0,,17.0,2.0,25.0,5.0,5.0,25.0,199.0,,0.0,164.0,20.0,4.0,1.0,,64.0,64.0,9.0,53.0,,,17.0,,3.0,129.0,2.0,4.0,106.0,627.0,9.0,4.0,,14.0,19.0,1.0,23.0,2.0,3.0,4.0,4.0,22.0,61.0,4.0,84702,7.0,145.0,2.0,14.0,159.0,2.0,7.0,60.0,1.0,7.0,2.0,4.0,2.0,7.0,5.0,3.0,3.0,40.0,338.0,5.0,10.0,10.0,57.0,,,,0.0,,1.0,6.0,1.0,,,,0.0,4.0,1.0,3.0,47.0,18.0,1.0,6.0,2.0,4.0,4.0,37.0,6.0,416.0,10.0,6.0,15.0,5.0,20.0,2.0,3.0,279.0,8.0,5.0,12.0,113.0,29.0,1.0,4.0,10.0,20.0,,12.0,3.0,18.0,,4.0,6.0,1.0,,2.0,1.0,,1.0,2.0,,1.0,,2.0,2.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,
