gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,penaltySave,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,goals,shotFastbreak,attOboxGoal,totalFastbreak,goodHighClaim,interceptionsInBox,attGoalHighCentre,goalAssist,accurateThroughBall,sixYardBlock,attRfGoal,attCmissHigh,totalThroughBall,defenderGoals,attAssistSetplay,attFastbreak,attCmissLeft,attFreekickGoal,overrun,attIboxGoal,goalAssistIntentional,shieldBallOop,totalHighClaim,accurateCornersIntobox,forwardGoals,attHdGoal,errorLeadToGoal,attemptsIbox,saves,postScoringAtt,attIboxPost,attMissHighRight,attSvHighLeft,attemptsObox,attPostLeft,attLgCentre,touchesInOppBox,hitWoodwork,successfulOpenPlayPass,openPlayPass,attCorner,attSvHighCentre,bigChanceScored,attLfGoal,accuratePullBack,accurateFreekickCross,totalPullBack,goalsOpenplay,attSvLowRight,attPostHigh,attPostRight,midfielderGoals,attSvLowLeft,attMissHighLeft,attFreekickTarget,attGoalLowLeft,attGoalLowCentre,goalAssistOpenplay,attOneOnOne,attHdTarget,attSvHighRight,cleanSheet,attCmissHighLeft,punches,attObxRight,attCmissHighRight,foulThrowIn,attLgRight,attGoalHighLeft,attGoalHighRight,attFreekickPost,attOboxPost,ownGoals,attIboxOwnGoal,attObxdLeft,penaltyWon,attPenGoal,attObxLeft,clearanceOffLine,ptsDroppedWinningPos,attPenTarget,goalFastbreak
11,442101,2012-11-11 16:00:00,"Stamford Bridge, London",41627,Away,Liverpool,Chelsea,1,1,D,0,1,0,0,,,,61.0,,26.0,15.0,4.0,3.0,1.0,184.0,2.0,13.0,1.0,7.0,,3.0,127.0,154.0,63.0,,9.0,2.0,6.0,1.0,,2.0,,,18.0,27.0,1.0,10.0,7.0,13.0,25.0,213.0,0.0,139.0,13.0,2.0,1.0,93.0,44.0,3.0,71.0,3.0,11.0,,4.0,2.0,149.0,1.0,,10.0,125.0,723.0,6.0,11.0,11.0,33.0,3.0,9.0,2.0,3.0,2.0,4.0,21.0,69.0,3.0,9631,1.0,231.0,,6.0,1.0,,252.0,19.0,67.0,7.0,7.0,11.0,5.0,11.0,1.0,36.0,442.0,12.0,13.0,12.0,76.0,0.0,4.0,2.0,1.0,4.0,0.0,,1.0,56.9,15.0,,2.0,2.0,7.0,2.0,55.0,7.0,,507.0,,9.0,,20.0,19.0,4.0,12.0,2.0,273.0,5.0,12.0,7.0,107.0,19.0,4.0,4.0,31.0,1.0,5.0,1.0,28.0,4.0,7.0,1.0,,,1.0,,1.0,,,,2.0,,,1.0,2.0,,,,2.0,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
12,442111,2012-11-17 15:00:00,"Anfield, Liverpool",44913,Home,Liverpool,Wigan Athletic,3,0,W,0,0,0,0,,,,49.0,2.0,21.0,13.0,11.0,5.0,2.0,168.0,3.0,12.0,2.0,16.0,,6.0,90.0,136.0,54.0,1.0,22.0,4.0,12.0,2.0,2.0,,2.0,3.0,24.0,19.0,1.0,7.0,7.0,11.0,21.0,181.0,0.0,145.0,9.0,1.0,1.0,49.0,62.0,10.0,69.0,3.0,18.0,1.0,3.0,6.0,130.0,3.0,,2.0,91.0,627.0,13.0,6.0,17.0,23.0,2.0,7.0,,0.0,1.0,6.0,24.0,59.0,,9631,6.0,175.0,1.0,14.0,,,186.0,12.0,44.0,1.0,3.0,7.0,8.0,6.0,3.0,37.0,353.0,11.0,3.0,9.0,70.0,0.0,5.0,,,2.0,0.0,2.0,2.0,48.9,18.0,2.0,5.0,,3.0,6.0,47.0,10.0,,418.0,,15.0,1.0,12.0,13.0,10.0,21.0,4.0,256.0,15.0,11.0,8.0,110.0,17.0,2.0,5.0,23.0,,18.0,3.0,20.0,2.0,10.0,1.0,1.0,2.0,,,3.0,,,,,,,2.0,1.0,1.0,3.0,,2.0,1.0,1.0,,2.0,,4.0,3.0,2.0,2.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,1.0,3.0,,2.0,,2.0,3.0,,,,,,,,,1.0,2.0,1.0,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,
13,442126,2012-11-25 13:30:00,"Swansea.com Stadium, Swansea",20621,Away,Liverpool,Swansea City,0,0,D,0,0,0,0,,,,60.0,3.0,33.0,23.0,7.0,7.0,3.0,197.0,4.0,13.0,1.0,13.0,,9.0,139.0,154.0,48.0,,21.0,2.0,11.0,6.0,2.0,1.0,4.0,2.0,19.0,13.0,3.0,12.0,6.0,24.0,27.0,253.0,0.0,176.0,10.0,2.0,,63.0,60.0,9.0,73.0,2.0,13.0,,2.0,2.0,143.0,2.0,2.0,9.0,124.0,750.0,10.0,7.0,17.0,20.0,1.0,8.0,2.0,0.0,7.0,4.0,20.0,71.0,1.0,9631,11.0,206.0,3.0,11.0,1.0,,222.0,14.0,57.0,3.0,2.0,7.0,9.0,8.0,2.0,52.0,455.0,6.0,7.0,13.0,82.0,0.0,7.0,2.0,,1.0,0.0,2.0,4.0,50.5,18.0,2.0,5.0,1.0,2.0,5.0,50.0,6.0,,533.0,,10.0,,14.0,18.0,7.0,14.0,4.0,330.0,9.0,24.0,14.0,141.0,31.0,5.0,5.0,15.0,,16.0,2.0,28.0,5.0,6.0,4.0,,,,,,1.0,,1.0,,,,,2.0,1.0,,,4.0,,3.0,1.0,,,3.0,,,2.0,,2.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,4.0,1.0,,,1.0,,,,,,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,
14,442135,2012-11-28 19:45:00,"White Hart Lane, London",36162,Away,Liverpool,Tottenham Hotspur,1,2,L,0,2,0,0,1.0,1.0,,49.0,5.0,34.0,13.0,5.0,9.0,2.0,201.0,4.0,14.0,,5.0,1.0,5.0,140.0,171.0,52.0,,17.0,2.0,11.0,4.0,1.0,,1.0,1.0,29.0,16.0,1.0,7.0,12.0,18.0,34.0,213.0,0.0,181.0,18.0,2.0,,79.0,70.0,4.0,75.0,3.0,17.0,,4.0,3.0,165.0,1.0,2.0,5.0,140.0,765.0,5.0,5.0,10.0,19.0,1.0,5.0,,2.0,2.0,1.0,29.0,86.0,2.0,9631,6.0,260.0,3.0,13.0,,,268.0,8.0,74.0,1.0,6.0,9.0,11.0,8.0,1.0,52.0,469.0,6.0,8.0,8.0,87.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,65.0,25.0,,2.0,1.0,6.0,7.0,56.0,12.0,,556.0,,9.0,,24.0,19.0,5.0,22.0,2.0,317.0,7.0,17.0,14.0,124.0,21.0,,2.0,18.0,1.0,12.0,2.0,28.0,,12.0,2.0,,3.0,,,1.0,,,,,,,,2.0,1.0,,,3.0,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
15,442141,2012-12-01 15:00:00,"Anfield, Liverpool",44525,Home,Liverpool,Southampton,1,0,W,1,0,0,0,,4.0,,57.0,3.0,41.0,20.0,6.0,7.0,2.0,212.0,10.0,6.0,2.0,21.0,1.0,8.0,130.0,162.0,48.0,1.0,23.0,1.0,4.0,5.0,4.0,1.0,5.0,4.0,28.0,15.0,2.0,12.0,9.0,19.0,27.0,233.0,0.0,178.0,14.0,1.0,1.0,55.0,98.0,11.0,81.0,3.0,19.0,1.0,1.0,2.0,154.0,3.0,,4.0,132.0,774.0,17.0,9.0,10.0,20.0,3.0,9.0,1.0,2.0,2.0,10.0,30.0,77.0,2.0,9631,9.0,249.0,3.0,17.0,1.0,,261.0,10.0,53.0,3.0,7.0,8.0,5.0,10.0,1.0,58.0,472.0,8.0,5.0,11.0,78.0,0.0,4.0,,,4.0,0.0,6.0,5.0,63.9,26.0,4.0,4.0,2.0,7.0,4.0,57.0,10.0,,555.0,,9.0,,19.0,16.0,11.0,23.0,7.0,322.0,11.0,19.0,15.0,128.0,26.0,3.0,5.0,19.0,,16.0,2.0,21.0,3.0,10.0,5.0,,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,3.0,1.0,,,3.0,1.0,3.0,1.0,1.0,,4.0,1.0,1.0,1.0,,4.0,,1.0,,,,2.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,1.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
16,442157,2012-12-09 16:00:00,"Boleyn Ground, London",35005,Away,Liverpool,West Ham United,3,2,W,1,2,0,0,,1.0,,59.0,3.0,33.0,39.0,8.0,8.0,,214.0,4.0,6.0,2.0,13.0,1.0,4.0,116.0,172.0,54.0,,17.0,2.0,14.0,,1.0,,,3.0,21.0,16.0,1.0,19.0,4.0,16.0,33.0,237.0,0.0,173.0,12.0,,,60.0,68.0,8.0,83.0,1.0,17.0,,5.0,4.0,152.0,2.0,,7.0,122.0,754.0,10.0,16.0,8.0,21.0,5.0,19.0,,2.0,2.0,5.0,21.0,73.0,2.0,9631,4.0,212.0,,12.0,,1.0,236.0,8.0,61.0,1.0,8.0,13.0,5.0,7.0,1.0,48.0,445.0,11.0,9.0,16.0,94.0,0.0,2.0,2.0,2.0,8.0,0.0,2.0,1.0,61.4,19.0,1.0,,3.0,8.0,5.0,67.0,5.0,1.0,535.0,1.0,5.0,,18.0,18.0,8.0,24.0,4.0,320.0,8.0,15.0,15.0,122.0,26.0,2.0,10.0,22.0,2.0,16.0,3.0,15.0,2.0,5.0,1.0,1.0,1.0,,,3.0,2.0,1.0,4.0,3.0,,,3.0,1.0,1.0,1.0,,1.0,1.0,,2.0,3.0,,1.0,2.0,2.0,,3.0,2.0,,,,,,,,2.0,,,,,,,,,,1.0,2.0,2.0,,,,3.0,,,,2.0,,1.0,,1.0,,3.0,,,,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,
17,442160,2012-12-15 15:00:00,"Anfield, Liverpool",44607,Home,Liverpool,Aston Villa,1,3,L,0,2,0,0,1.0,1.0,,61.0,5.0,55.0,13.0,13.0,7.0,5.0,187.0,9.0,5.0,5.0,19.0,2.0,8.0,150.0,151.0,35.0,2.0,29.0,6.0,16.0,5.0,1.0,2.0,2.0,5.0,43.0,9.0,2.0,9.0,6.0,21.0,29.0,332.0,0.0,253.0,5.0,2.0,3.0,87.0,95.0,12.0,69.0,3.0,37.0,2.0,13.0,6.0,147.0,,1.0,5.0,158.0,780.0,16.0,4.0,9.0,22.0,,8.0,2.0,1.0,,7.0,33.0,93.0,1.0,9631,11.0,173.0,,21.0,3.0,,180.0,5.0,49.0,3.0,6.0,13.0,6.0,5.0,,65.0,496.0,9.0,4.0,5.0,75.0,0.0,2.0,1.0,3.0,1.0,0.0,4.0,3.0,72.1,31.0,2.0,4.0,1.0,6.0,11.0,59.0,7.0,,564.0,,6.0,,11.0,18.0,10.0,38.0,4.0,427.0,18.0,20.0,10.0,204.0,28.0,,7.0,11.0,2.0,21.0,2.0,19.0,,7.0,2.0,,2.0,,,1.0,,,,,,,1.0,1.0,2.0,,,4.0,,2.0,,,,2.0,1.0,,,,5.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
18,442170,2012-12-22 17:30:00,"Anfield, Liverpool",44570,Home,Liverpool,Fulham,4,0,W,2,0,0,0,,,,61.0,4.0,29.0,18.0,6.0,8.0,4.0,186.0,7.0,8.0,5.0,21.0,2.0,9.0,141.0,127.0,52.0,1.0,23.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,22.0,21.0,1.0,10.0,5.0,20.0,26.0,247.0,0.0,154.0,13.0,4.0,3.0,59.0,78.0,13.0,75.0,3.0,17.0,1.0,6.0,4.0,119.0,4.0,,3.0,151.0,740.0,15.0,5.0,19.0,25.0,1.0,7.0,1.0,1.0,2.0,8.0,15.0,59.0,,9631,9.0,243.0,3.0,8.0,1.0,,254.0,4.0,45.0,2.0,2.0,12.0,5.0,4.0,2.0,41.0,483.0,6.0,8.0,6.0,74.0,0.0,2.0,1.0,,1.0,0.0,3.0,3.0,55.6,15.0,2.0,4.0,2.0,3.0,5.0,60.0,8.0,,553.0,,17.0,,7.0,17.0,9.0,28.0,5.0,321.0,12.0,19.0,14.0,114.0,29.0,,4.0,24.0,,15.0,3.0,20.0,,8.0,,2.0,3.0,2.0,1.0,4.0,,,,1.0,2.0,1.0,4.0,1.0,,2.0,,3.0,1.0,2.0,,2.0,,,4.0,3.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
19,442187,2012-12-26 19:45:00,"bet365 Stadium, Stoke",27490,Away,Liverpool,Stoke City,1,3,L,1,2,0,0,,1.0,,63.0,4.0,34.0,40.0,7.0,6.0,2.0,191.0,8.0,8.0,4.0,14.0,,4.0,122.0,155.0,66.0,1.0,17.0,3.0,24.0,1.0,1.0,,,2.0,21.0,19.0,2.0,25.0,7.0,16.0,20.0,230.0,0.0,148.0,6.0,1.0,2.0,79.0,61.0,9.0,59.0,,14.0,1.0,4.0,2.0,140.0,2.0,,8.0,124.0,718.0,14.0,3.0,9.0,33.0,5.0,19.0,,1.0,3.0,5.0,27.0,64.0,,9631,6.0,197.0,2.0,8.0,,,219.0,7.0,56.0,4.0,4.0,14.0,2.0,6.0,1.0,48.0,419.0,11.0,1.0,17.0,76.0,0.0,6.0,2.0,3.0,2.0,0.0,6.0,,62.4,25.0,,1.0,1.0,4.0,7.0,53.0,8.0,,496.0,,8.0,,13.0,9.0,6.0,20.0,3.0,298.0,10.0,15.0,26.0,113.0,21.0,,11.0,21.0,3.0,12.0,3.0,21.0,,8.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,1.0,,5.0,,,,1.0,,3.0,1.0,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,2.0,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,
20,442195,2012-12-30 16:00:00,"MATRADE Loftus Road, London",18304,Away,Liverpool,Queens Park Rangers,3,0,W,3,0,0,0,,1.0,,69.0,4.0,43.0,13.0,4.0,5.0,3.0,213.0,3.0,15.0,5.0,15.0,,7.0,155.0,154.0,61.0,,19.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,20.0,20.0,2.0,7.0,6.0,34.0,39.0,251.0,0.0,195.0,9.0,3.0,2.0,81.0,65.0,10.0,103.0,3.0,16.0,,4.0,2.0,148.0,4.0,,1.0,143.0,820.0,11.0,4.0,14.0,26.0,4.0,4.0,1.0,1.0,1.0,5.0,23.0,74.0,,9047,11.0,272.0,4.0,10.0,,,291.0,11.0,47.0,,7.0,8.0,13.0,10.0,2.0,60.0,520.0,9.0,4.0,13.0,90.0,0.0,1.0,,,1.0,0.0,2.0,2.0,66.5,22.0,1.0,4.0,1.0,7.0,5.0,63.0,9.0,,614.0,,12.0,,17.0,21.0,7.0,26.0,5.0,343.0,12.0,31.0,11.0,139.0,30.0,,2.0,26.0,,13.0,3.0,25.0,,9.0,1.0,1.0,6.0,1.0,,3.0,,,1.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,3.0,1.0,2.0,,3.0,2.0,1.0,,,,,,1.0,2.0,,,,,,,,,,2.0,1.0,2.0,,2.0,2.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,
21,442200,2013-01-02 19:45:00,"Anfield, Liverpool",44228,Home,Liverpool,Sunderland,3,0,W,2,0,0,0,,1.0,,72.0,3.0,31.0,25.0,14.0,8.0,2.0,216.0,4.0,8.0,4.0,22.0,,10.0,149.0,143.0,51.0,2.0,29.0,6.0,15.0,3.0,1.0,,1.0,6.0,20.0,13.0,4.0,19.0,8.0,34.0,39.0,243.0,0.0,185.0,9.0,1.0,1.0,64.0,59.0,14.0,115.0,2.0,12.0,2.0,2.0,4.0,137.0,6.0,,4.0,140.0,825.0,15.0,11.0,12.0,28.0,2.0,11.0,,0.0,5.0,8.0,22.0,88.0,1.0,9631,10.0,300.0,3.0,9.0,1.0,,319.0,4.0,43.0,7.0,8.0,8.0,4.0,3.0,2.0,47.0,539.0,5.0,1.0,9.0,82.0,0.0,5.0,2.0,,4.0,0.0,1.0,4.0,66.2,21.0,2.0,8.0,,9.0,9.0,53.0,9.0,,620.0,,10.0,,8.0,25.0,10.0,20.0,6.0,321.0,17.0,33.0,20.0,138.0,26.0,1.0,9.0,18.0,,22.0,3.0,19.0,1.0,9.0,3.0,,,,,3.0,1.0,,2.0,2.0,,1.0,3.0,1.0,,3.0,,3.0,,4.0,1.0,3.0,,3.0,3.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,3.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
22,442213,2013-01-13 13:30:00,"Old Trafford, Manchester",75501,Away,Liverpool,Manchester United,1,2,L,0,1,0,0,,,,56.0,,32.0,28.0,6.0,5.0,1.0,175.0,,4.0,3.0,11.0,1.0,3.0,117.0,142.0,57.0,,13.0,3.0,13.0,1.0,1.0,1.0,,3.0,11.0,26.0,1.0,15.0,1.0,12.0,25.0,198.0,0.0,126.0,16.0,2.0,3.0,63.0,58.0,5.0,74.0,1.0,10.0,,2.0,2.0,129.0,1.0,,10.0,121.0,689.0,10.0,6.0,17.0,24.0,2.0,15.0,1.0,4.0,5.0,6.0,22.0,52.0,3.0,9631,2.0,216.0,1.0,5.0,,,234.0,7.0,62.0,1.0,5.0,8.0,5.0,6.0,1.0,45.0,414.0,14.0,8.0,9.0,77.0,0.0,3.0,2.0,2.0,3.0,0.0,,1.0,54.0,15.0,,3.0,3.0,5.0,3.0,54.0,1.0,,487.0,,13.0,,11.0,14.0,7.0,17.0,5.0,264.0,7.0,12.0,8.0,88.0,22.0,1.0,7.0,31.0,2.0,12.0,3.0,18.0,1.0,1.0,,,1.0,,,1.0,2.0,,2.0,,,,,,,,,1.0,,1.0,2.0,2.0,,3.0,1.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
23,442220,2013-01-19 15:00:00,"Anfield, Liverpool",44901,Home,Liverpool,Norwich City,5,0,W,2,0,0,0,,,,53.0,,61.0,20.0,10.0,7.0,4.0,214.0,5.0,8.0,1.0,16.0,2.0,9.0,183.0,128.0,40.0,,18.0,2.0,9.0,4.0,1.0,1.0,2.0,3.0,20.0,9.0,1.0,10.0,6.0,29.0,37.0,334.0,0.0,202.0,10.0,,,88.0,79.0,9.0,98.0,3.0,14.0,,1.0,5.0,118.0,3.0,,1.0,199.0,875.0,12.0,3.0,18.0,23.0,4.0,9.0,1.0,1.0,2.0,7.0,23.0,81.0,,9631,2.0,298.0,1.0,13.0,,,322.0,2.0,45.0,2.0,4.0,11.0,3.0,2.0,1.0,72.0,627.0,8.0,5.0,15.0,73.0,0.0,4.0,1.0,,1.0,0.0,3.0,2.0,67.7,22.0,2.0,2.0,3.0,4.0,2.0,66.0,9.0,,694.0,,11.0,,11.0,25.0,7.0,17.0,2.0,392.0,9.0,28.0,12.0,167.0,24.0,2.0,4.0,12.0,,15.0,3.0,18.0,2.0,9.0,1.0,1.0,,,,5.0,,2.0,1.0,,,,3.0,1.0,,2.0,,2.0,,1.0,,1.0,,1.0,3.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,1.0,4.0,1.0,,,2.0,,,,2.0,,3.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
24,442229,2013-01-30 19:45:00,"Emirates Stadium, London",60089,Away,Liverpool,Arsenal,2,2,D,1,0,0,0,,,,74.0,3.0,28.0,40.0,2.0,5.0,1.0,154.0,2.0,7.0,2.0,10.0,,5.0,84.0,129.0,57.0,,13.0,,17.0,3.0,3.0,,2.0,3.0,12.0,19.0,,20.0,5.0,15.0,32.0,110.0,0.0,76.0,11.0,3.0,,29.0,35.0,6.0,67.0,,7.0,,1.0,3.0,129.0,2.0,,11.0,79.0,602.0,7.0,6.0,22.0,40.0,4.0,16.0,,1.0,5.0,4.0,17.0,40.0,,9631,5.0,200.0,2.0,6.0,,,234.0,11.0,57.0,3.0,2.0,8.0,8.0,8.0,1.0,54.0,308.0,8.0,6.0,18.0,60.0,0.0,8.0,3.0,2.0,2.0,0.0,,2.0,38.2,11.0,,3.0,1.0,2.0,3.0,34.0,6.0,,384.0,,18.0,,12.0,19.0,5.0,18.0,2.0,162.0,6.0,14.0,14.0,54.0,23.0,3.0,7.0,28.0,2.0,11.0,1.0,18.0,3.0,6.0,1.0,,1.0,,,2.0,3.0,,3.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,3.0,,,3.0,2.0,1.0,,1.0,2.0,1.0,,,10.0,4.0,,,1.0,,3.0,,,22.0,,291.0,359.0,2.0,,2.0,1.0,,,1.0,2.0,,,,1.0,1.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,
25,442242,2013-02-03 16:00:00,"Etihad Stadium, Manchester",47301,Away,Liverpool,Manchester City,2,2,D,1,1,0,0,1.0,1.0,,63.0,3.0,60.0,18.0,12.0,7.0,1.0,172.0,4.0,7.0,3.0,19.0,1.0,5.0,146.0,160.0,53.0,1.0,22.0,5.0,19.0,2.0,3.0,1.0,2.0,1.0,20.0,15.0,1.0,8.0,10.0,13.0,63.0,215.0,0.0,180.0,9.0,1.0,1.0,65.0,59.0,10.0,68.0,6.0,11.0,1.0,4.0,4.0,150.0,,1.0,6.0,125.0,709.0,15.0,6.0,14.0,30.0,2.0,9.0,2.0,4.0,2.0,9.0,19.0,69.0,,9631,5.0,211.0,,6.0,2.0,,237.0,11.0,52.0,2.0,4.0,16.0,5.0,8.0,1.0,87.0,422.0,14.0,4.0,18.0,70.0,0.0,9.0,,2.0,3.0,0.0,2.0,2.0,54.3,17.0,2.0,2.0,1.0,4.0,8.0,38.0,10.0,,511.0,,11.0,,13.0,40.0,9.0,25.0,5.0,294.0,12.0,13.0,13.0,134.0,24.0,2.0,4.0,19.0,1.0,16.0,2.0,16.0,2.0,10.0,2.0,1.0,1.0,,,2.0,,2.0,,2.0,2.0,,1.0,,1.0,1.0,1.0,,,3.0,,,,,,,1.0,2.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
26,442251,2013-02-11 20:00:00,"Anfield, Liverpool",44752,Home,Liverpool,West Bromwich Albion,0,2,L,0,0,0,0,,1.0,,65.0,3.0,52.0,24.0,13.0,10.0,2.0,176.0,5.0,8.0,4.0,16.0,,7.0,139.0,168.0,49.0,2.0,25.0,6.0,12.0,6.0,5.0,1.0,1.0,6.0,31.0,12.0,1.0,17.0,11.0,18.0,35.0,218.0,0.0,151.0,10.0,1.0,1.0,55.0,103.0,11.0,77.0,,20.0,2.0,3.0,6.0,161.0,2.0,,2.0,137.0,741.0,13.0,4.0,10.0,23.0,1.0,15.0,1.0,1.0,1.0,5.0,28.0,65.0,,9631,4.0,219.0,3.0,16.0,2.0,,242.0,5.0,55.0,4.0,7.0,7.0,3.0,3.0,1.0,70.0,432.0,9.0,10.0,12.0,86.0,0.0,5.0,,2.0,2.0,0.0,2.0,1.0,58.5,27.0,,4.0,,7.0,9.0,55.0,13.0,,529.0,,9.0,1.0,17.0,20.0,9.0,18.0,3.0,318.0,14.0,17.0,13.0,104.0,28.0,,11.0,19.0,2.0,18.0,3.0,15.0,,13.0,4.0,,1.0,,,,,,,2.0,,,,1.0,,,,1.0,,3.0,,2.0,,,,,3.0,2.0,3.0,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,
