gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,savedObox,attLfGoal,goals,attPenTarget,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,penaltyWon,totalFastbreak,attSvLowLeft,freekickTotal,hitWoodwork,accurateLaunches,totalKeeperSweeper,attSetpiece,totalOffside,attIboxGoal,accurateFlickOn,forwardGoals,attSvHighLeft,contentiousDecision,attMissHighLeft,goalsOpenplay,foulThrowIn,clearanceOffLine,attHdGoal,handBall,shotFastbreak,cleanSheet,attHdTarget,attFastbreak,attCmissLeft,attSvHighCentre,attFreekickMiss,goalAssistOpenplay,goalAssist,accurateThroughBall,attRfGoal,ownGoals,attGoalHighLeft,goalAssistIntentional,attIboxOwnGoal,attGoalHighRight,attSvHighRight,attOboxGoal,midfielderGoals,secondYellow,attObxdRight,accurateFreekickCross,attGoalLowLeft,attObxRight,attemptsIbox,saves,attObxLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attFreekickTarget,attCmissHighRight,goalAssistSetplay,attGoalLowCentre,postScoringAtt,attIboxPost,attPostRight,goalAssistDeadball,defenderGoals,attLgCentre,goalFastbreak,attPostHigh,attFreekickPost,attPostLeft,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,accuratePullBack,attPenGoal
11,442107,2012-11-10 15:00:00,"bet365 Stadium, Stoke",27529,Away,Queens Park Rangers,Stoke City,0,1,L,0,0,0,0,,55.0,3.0,29.0,45.0,11.0,4.0,2.0,146.0,1.0,11.0,2.0,15.0,1.0,2.0,100.0,152.0,53.0,18.0,4.0,34.0,1.0,3.0,,2.0,17.0,9.0,1.0,25.0,5.0,33.0,28.0,188.0,2.0,0.0,103.0,18.0,1.0,,2.0,41.0,56.0,9.0,64.0,,3.0,12.0,1.0,6.0,132.0,1.0,8.0,115.0,640.0,13.0,5.0,9.0,22.0,30.0,3.0,5.0,6.0,22.0,50.0,1.0,80442,3.0,164.0,1.0,11.0,,184.0,,7.0,71.0,,2.0,9.0,13.0,4.0,2.0,,54.0,351.0,11.0,3.0,2.0,24.0,70.0,,1.0,0.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,,54.9,20.0,,,1.0,9.0,7.0,34.0,5.0,2.0,425.0,8.0,9.0,16.0,9.0,10.0,,3.0,258.0,14.0,31.0,20.0,73.0,18.0,5.0,20.0,11.0,1.0,15.0,1.0,21.0,,5.0,5.0,,,,,,,,2.0,,,,1.0,1.0,2.0,,2.0,,1.0,1.0,,2.0,,,,2.0,,,,,3.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12,442115,2012-11-17 15:00:00,"MATRADE Loftus Road, London",18174,Home,Queens Park Rangers,Southampton,1,3,L,0,2,0,0,1.0,65.0,,33.0,40.0,3.0,1.0,2.0,171.0,8.0,9.0,1.0,11.0,2.0,5.0,100.0,185.0,66.0,12.0,1.0,21.0,3.0,,2.0,3.0,26.0,22.0,1.0,20.0,4.0,12.0,26.0,145.0,,0.0,99.0,13.0,3.0,,,39.0,56.0,5.0,42.0,1.0,2.0,22.0,6.0,1.0,165.0,2.0,11.0,93.0,651.0,7.0,7.0,8.0,36.0,19.0,1.0,7.0,6.0,21.0,56.0,,87117,7.0,175.0,1.0,16.0,,208.0,,8.0,64.0,,1.0,1.0,14.0,10.0,3.0,1.0,57.0,312.0,8.0,3.0,3.0,31.0,91.0,1.0,1.0,0.0,3.0,13.0,5.0,3.0,0.0,5.0,,4.0,46.8,19.0,2.0,3.0,1.0,1.0,1.0,48.0,4.0,,406.0,6.0,13.0,15.0,6.0,11.0,3.0,5.0,224.0,7.0,12.0,17.0,62.0,16.0,6.0,12.0,32.0,2.0,7.0,3.0,24.0,,6.0,4.0,1.0,1.0,,3.0,,1.0,,1.0,,,,2.0,1.0,1.0,,7.0,,,1.0,1.0,3.0,,,,,,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
13,442122,2012-11-24 15:00:00,"Old Trafford, Manchester",75603,Away,Queens Park Rangers,Manchester United,1,3,L,0,0,0,0,,59.0,2.0,19.0,31.0,7.0,1.0,1.0,126.0,4.0,6.0,2.0,9.0,,3.0,93.0,140.0,38.0,11.0,3.0,12.0,1.0,1.0,,1.0,13.0,16.0,1.0,16.0,6.0,18.0,20.0,168.0,1.0,0.0,101.0,10.0,2.0,,,53.0,39.0,7.0,58.0,3.0,,7.0,1.0,3.0,125.0,,14.0,109.0,588.0,8.0,6.0,30.0,39.0,12.0,1.0,4.0,2.0,13.0,43.0,,80442,1.0,151.0,,6.0,,169.0,,14.0,49.0,,1.0,2.0,8.0,3.0,3.0,1.0,47.0,315.0,6.0,6.0,1.0,21.0,74.0,1.0,3.0,0.0,,9.0,2.0,3.0,0.0,2.0,1.0,1.0,37.5,11.0,,,1.0,2.0,5.0,34.0,7.0,,386.0,24.0,12.0,12.0,3.0,5.0,2.0,,230.0,9.0,16.0,4.0,70.0,14.0,3.0,8.0,22.0,3.0,8.0,3.0,16.0,,3.0,7.0,,1.0,,2.0,,1.0,,1.0,,,,3.0,,1.0,,2.0,,,2.0,1.0,1.0,,1.0,,,,,,,1.0,3.0,,1.0,3.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14,442133,2012-11-27 19:45:00,"Stadium of Light, Sunderland",36513,Away,Queens Park Rangers,Sunderland,0,0,D,0,0,0,0,,52.0,3.0,21.0,26.0,5.0,1.0,3.0,164.0,6.0,9.0,2.0,13.0,,5.0,110.0,162.0,54.0,15.0,3.0,25.0,4.0,1.0,3.0,4.0,26.0,18.0,1.0,13.0,6.0,19.0,14.0,162.0,,0.0,95.0,15.0,3.0,2.0,1.0,33.0,49.0,9.0,51.0,1.0,,20.0,5.0,2.0,149.0,2.0,5.0,105.0,642.0,12.0,6.0,21.0,20.0,9.0,3.0,3.0,4.0,18.0,46.0,,80442,6.0,189.0,2.0,13.0,1.0,215.0,,8.0,65.0,,2.0,4.0,11.0,9.0,2.0,,47.0,345.0,10.0,4.0,1.0,27.0,75.0,2.0,,0.0,3.0,5.0,3.0,,0.0,5.0,,3.0,49.8,16.0,1.0,2.0,2.0,4.0,6.0,38.0,8.0,1.0,430.0,17.0,11.0,8.0,4.0,15.0,1.0,2.0,241.0,11.0,17.0,12.0,64.0,22.0,1.0,5.0,23.0,,14.0,3.0,19.0,,1.0,8.0,,,,1.0,,,,,2.0,1.0,,3.0,,,,4.0,2.0,,1.0,,3.0,,,,,,,,,,2.0,1.0,2.0,2.0,4.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,442145,2012-12-01 15:00:00,"MATRADE Loftus Road, London",17387,Home,Queens Park Rangers,Aston Villa,1,1,D,1,1,0,0,1.0,57.0,2.0,45.0,38.0,9.0,3.0,3.0,137.0,6.0,11.0,1.0,13.0,,8.0,120.0,180.0,56.0,17.0,3.0,15.0,3.0,2.0,1.0,1.0,33.0,15.0,4.0,20.0,8.0,19.0,31.0,225.0,2.0,0.0,147.0,5.0,1.0,1.0,2.0,55.0,91.0,10.0,65.0,3.0,,25.0,7.0,2.0,162.0,2.0,3.0,125.0,682.0,10.0,7.0,15.0,26.0,22.0,1.0,1.0,3.0,24.0,64.0,,80442,6.0,152.0,2.0,17.0,,164.0,,8.0,47.0,,2.0,4.0,20.0,4.0,3.0,,63.0,371.0,6.0,6.0,2.0,20.0,74.0,2.0,,0.0,1.0,4.0,,1.0,0.0,2.0,,3.0,54.5,21.0,1.0,4.0,,4.0,5.0,43.0,11.0,2.0,447.0,13.0,12.0,18.0,4.0,15.0,4.0,1.0,316.0,11.0,19.0,19.0,104.0,21.0,1.0,14.0,20.0,,13.0,3.0,20.0,1.0,1.0,11.0,3.0,,,1.0,,1.0,,,,1.0,,2.0,2.0,,2.0,6.0,,,9.0,1.0,1.0,,1.0,,,1.0,,,1.0,,2.0,,1.0,2.0,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
16,442158,2012-12-08 15:00:00,"DW Stadium, Wigan",17163,Away,Queens Park Rangers,Wigan Athletic,2,2,D,1,1,0,0,,50.0,,26.0,40.0,2.0,1.0,2.0,114.0,7.0,7.0,,7.0,,4.0,83.0,150.0,54.0,8.0,,10.0,1.0,1.0,,,21.0,20.0,1.0,20.0,4.0,11.0,4.0,165.0,1.0,0.0,102.0,12.0,2.0,,1.0,27.0,72.0,4.0,47.0,2.0,1.0,17.0,7.0,1.0,130.0,,8.0,79.0,542.0,5.0,7.0,17.0,23.0,21.0,1.0,2.0,3.0,25.0,56.0,,80442,4.0,99.0,,10.0,,113.0,1.0,6.0,64.0,1.0,1.0,1.0,6.0,7.0,2.0,2.0,53.0,257.0,8.0,12.0,,36.0,66.0,,2.0,0.0,,11.0,4.0,2.0,0.0,6.0,,3.0,43.3,19.0,2.0,1.0,,1.0,,37.0,4.0,1.0,323.0,14.0,19.0,3.0,4.0,11.0,1.0,3.0,231.0,4.0,9.0,14.0,70.0,22.0,7.0,11.0,25.0,2.0,6.0,3.0,19.0,,7.0,4.0,,,1.0,2.0,1.0,2.0,,,,,,2.0,1.0,,,10.0,,,3.0,2.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,2.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
17,442164,2012-12-15 15:00:00,"MATRADE Loftus Road, London",18233,Home,Queens Park Rangers,Fulham,2,1,W,0,0,0,0,1.0,63.0,2.0,30.0,38.0,11.0,1.0,3.0,163.0,3.0,8.0,4.0,13.0,2.0,6.0,90.0,148.0,57.0,20.0,3.0,17.0,2.0,2.0,,1.0,15.0,14.0,2.0,22.0,3.0,9.0,28.0,175.0,4.0,0.0,126.0,10.0,,1.0,1.0,63.0,69.0,5.0,59.0,,3.0,12.0,5.0,4.0,132.0,1.0,2.0,92.0,575.0,12.0,2.0,15.0,22.0,21.0,1.0,1.0,8.0,13.0,71.0,,80442,6.0,143.0,2.0,6.0,,161.0,,5.0,37.0,,2.0,1.0,9.0,3.0,,1.0,65.0,315.0,14.0,1.0,,35.0,92.0,1.0,1.0,0.0,2.0,3.0,,1.0,0.0,3.0,,1.0,44.9,9.0,,1.0,1.0,1.0,5.0,47.0,3.0,1.0,404.0,15.0,8.0,11.0,9.0,21.0,,5.0,258.0,18.0,9.0,18.0,75.0,34.0,1.0,12.0,17.0,,16.0,2.0,9.0,,1.0,3.0,,,1.0,1.0,,2.0,,2.0,,1.0,,2.0,2.0,2.0,,5.0,,2.0,2.0,,,,,,,2.0,,,,,2.0,,1.0,2.0,,,,1.0,1.0,,2.0,,,,,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,442172,2012-12-22 15:00:00,"St. James' Park, Newcastle",50180,Away,Queens Park Rangers,Newcastle United,0,1,L,0,0,0,0,,53.0,,13.0,48.0,3.0,,3.0,123.0,3.0,9.0,1.0,2.0,,3.0,72.0,156.0,53.0,4.0,,24.0,,,1.0,,14.0,14.0,3.0,28.0,3.0,16.0,26.0,101.0,,0.0,64.0,16.0,2.0,,4.0,16.0,43.0,1.0,41.0,1.0,,11.0,2.0,,136.0,,10.0,67.0,528.0,1.0,5.0,15.0,23.0,18.0,2.0,8.0,1.0,20.0,48.0,2.0,80442,1.0,132.0,,9.0,,148.0,,13.0,61.0,1.0,1.0,1.0,17.0,11.0,,1.0,39.0,230.0,8.0,11.0,1.0,27.0,84.0,1.0,2.0,0.0,2.0,10.0,1.0,1.0,0.0,2.0,,1.0,41.4,18.0,1.0,,,2.0,,34.0,3.0,5.0,303.0,10.0,2.0,13.0,1.0,12.0,1.0,1.0,169.0,3.0,14.0,16.0,35.0,19.0,10.0,12.0,20.0,1.0,2.0,3.0,18.0,,10.0,3.0,,,,2.0,,,,1.0,3.0,,,2.0,,1.0,,5.0,3.0,,6.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,442185,2012-12-26 15:00:00,"MATRADE Loftus Road, London",17782,Home,Queens Park Rangers,West Bromwich Albion,1,2,L,0,1,0,0,1.0,49.0,3.0,25.0,35.0,7.0,1.0,3.0,145.0,10.0,9.0,6.0,18.0,1.0,5.0,80.0,173.0,61.0,21.0,1.0,12.0,1.0,3.0,4.0,7.0,32.0,14.0,3.0,24.0,11.0,6.0,19.0,158.0,,0.0,123.0,9.0,2.0,2.0,1.0,45.0,73.0,9.0,31.0,2.0,4.0,21.0,2.0,3.0,162.0,4.0,6.0,73.0,596.0,11.0,9.0,19.0,10.0,20.0,1.0,1.0,9.0,41.0,59.0,,87117,9.0,97.0,3.0,17.0,,113.0,,12.0,55.0,,3.0,7.0,13.0,7.0,7.0,,47.0,245.0,13.0,8.0,6.0,22.0,72.0,,4.0,0.0,2.0,9.0,3.0,2.0,0.0,4.0,,7.0,49.8,33.0,6.0,4.0,1.0,7.0,4.0,36.0,14.0,1.0,329.0,13.0,17.0,7.0,12.0,15.0,6.0,9.0,248.0,13.0,4.0,21.0,78.0,23.0,3.0,13.0,18.0,1.0,12.0,2.0,18.0,1.0,3.0,14.0,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,7.0,,,2.0,1.0,4.0,1.0,,2.0,1.0,1.0,,,,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
20,442195,2012-12-30 16:00:00,"MATRADE Loftus Road, London",18304,Home,Queens Park Rangers,Liverpool,0,3,L,0,3,0,0,,64.0,,11.0,28.0,12.0,1.0,5.0,121.0,2.0,4.0,4.0,9.0,1.0,6.0,71.0,138.0,47.0,14.0,1.0,11.0,,,3.0,3.0,8.0,17.0,6.0,21.0,1.0,13.0,17.0,129.0,,0.0,75.0,11.0,2.0,,2.0,24.0,31.0,5.0,44.0,4.0,2.0,7.0,3.0,6.0,131.0,,14.0,66.0,529.0,9.0,10.0,27.0,35.0,13.0,2.0,6.0,4.0,16.0,42.0,,80442,1.0,108.0,,4.0,,124.0,,14.0,61.0,1.0,1.0,5.0,15.0,5.0,8.0,2.0,31.0,235.0,8.0,15.0,,22.0,65.0,1.0,1.0,0.0,5.0,9.0,2.0,3.0,0.0,1.0,1.0,,33.5,13.0,,,,5.0,1.0,29.0,1.0,2.0,302.0,24.0,14.0,8.0,7.0,10.0,1.0,1.0,186.0,13.0,13.0,8.0,50.0,21.0,2.0,10.0,27.0,3.0,10.0,3.0,16.0,,2.0,1.0,1.0,,,2.0,,,,3.0,,,,,,3.0,,7.0,,1.0,3.0,,2.0,,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
21,442199,2013-01-02 19:45:00,"Stamford Bridge, London",41634,Away,Queens Park Rangers,Chelsea,1,0,W,0,0,0,0,,48.0,,7.0,26.0,5.0,,1.0,132.0,1.0,2.0,1.0,7.0,,3.0,66.0,147.0,44.0,7.0,1.0,17.0,1.0,,,3.0,3.0,13.0,1.0,20.0,2.0,16.0,17.0,82.0,,0.0,44.0,8.0,2.0,,1.0,29.0,27.0,4.0,40.0,2.0,,1.0,,3.0,141.0,,9.0,59.0,500.0,5.0,11.0,23.0,21.0,13.0,1.0,11.0,3.0,21.0,34.0,1.0,67731,1.0,127.0,,1.0,,155.0,,23.0,43.0,,3.0,4.0,17.0,17.0,10.0,,35.0,208.0,12.0,8.0,1.0,26.0,82.0,,3.0,0.0,1.0,14.0,1.0,,0.0,,1.0,1.0,36.1,16.0,,,,4.0,1.0,33.0,2.0,1.0,297.0,17.0,4.0,5.0,3.0,11.0,1.0,,145.0,6.0,15.0,11.0,15.0,15.0,6.0,9.0,19.0,,5.0,3.0,8.0,,6.0,2.0,,,,1.0,,1.0,,,,,,1.0,,,,5.0,,,4.0,,2.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
22,442215,2013-01-12 12:45:00,"MATRADE Loftus Road, London",18018,Home,Queens Park Rangers,Tottenham Hotspur,0,0,D,0,0,0,0,,63.0,1.0,12.0,20.0,2.0,,,165.0,,10.0,1.0,3.0,,,71.0,173.0,56.0,4.0,,11.0,,,,2.0,8.0,22.0,,14.0,1.0,9.0,36.0,118.0,1.0,0.0,96.0,11.0,4.0,2.0,1.0,35.0,91.0,1.0,44.0,1.0,,7.0,1.0,3.0,167.0,,5.0,73.0,559.0,3.0,8.0,15.0,30.0,11.0,1.0,3.0,2.0,24.0,44.0,,67731,1.0,128.0,,4.0,,151.0,,13.0,54.0,,4.0,2.0,11.0,13.0,6.0,,37.0,246.0,8.0,8.0,,17.0,79.0,,,0.0,3.0,6.0,4.0,,0.0,,1.0,,38.1,21.0,,1.0,,2.0,1.0,38.0,2.0,1.0,353.0,10.0,16.0,11.0,3.0,12.0,,,210.0,4.0,8.0,7.0,55.0,21.0,1.0,6.0,31.0,,3.0,,20.0,,1.0,2.0,,,,3.0,,,,,,,,1.0,,,,3.0,,,2.0,,2.0,,,,,,,,,2.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,442227,2013-01-19 15:00:00,"Boleyn Ground, London",34962,Away,Queens Park Rangers,West Ham United,1,1,D,1,0,0,0,,53.0,2.0,9.0,70.0,6.0,1.0,1.0,108.0,1.0,8.0,1.0,8.0,,2.0,42.0,180.0,63.0,9.0,2.0,30.0,,2.0,,,6.0,23.0,1.0,35.0,2.0,4.0,16.0,64.0,1.0,0.0,49.0,12.0,6.0,,6.0,23.0,31.0,5.0,24.0,4.0,,4.0,1.0,2.0,145.0,1.0,20.0,30.0,461.0,6.0,9.0,19.0,22.0,38.0,0.0,4.0,3.0,18.0,34.0,,67731,1.0,57.0,,3.0,,84.0,,15.0,60.0,,1.0,5.0,18.0,3.0,3.0,2.0,44.0,120.0,7.0,6.0,1.0,23.0,64.0,1.0,2.0,0.0,1.0,12.0,8.0,1.0,0.0,,2.0,1.0,30.4,11.0,1.0,,,5.0,4.0,17.0,2.0,7.0,204.0,11.0,7.0,4.0,3.0,9.0,1.0,1.0,126.0,7.0,4.0,18.0,17.0,15.0,5.0,22.0,30.0,1.0,7.0,3.0,14.0,,5.0,2.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,5.0,,1.0,,4.0,1.0,,5.0,,2.0,1.0,,,,1.0,,1.0,,1.0,2.0,,,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
24,442233,2013-01-29 19:45:00,"MATRADE Loftus Road, London",17894,Home,Queens Park Rangers,Manchester City,0,0,D,0,0,0,0,,55.0,1.0,17.0,46.0,3.0,1.0,,113.0,1.0,11.0,1.0,5.0,,1.0,64.0,133.0,50.0,6.0,2.0,12.0,1.0,1.0,1.0,,8.0,16.0,,34.0,1.0,15.0,20.0,118.0,1.0,0.0,75.0,9.0,2.0,,,28.0,43.0,4.0,41.0,1.0,,7.0,1.0,1.0,121.0,1.0,12.0,51.0,497.0,4.0,15.0,40.0,27.0,20.0,2.0,4.0,1.0,16.0,40.0,2.0,67731,1.0,83.0,1.0,6.0,,102.0,,14.0,51.0,,2.0,2.0,13.0,5.0,5.0,1.0,40.0,200.0,9.0,14.0,1.0,15.0,62.0,,4.0,0.0,4.0,10.0,4.0,,0.0,,1.0,,31.3,15.0,,1.0,1.0,3.0,3.0,27.0,2.0,,269.0,32.0,9.0,10.0,2.0,12.0,1.0,1.0,175.0,5.0,15.0,10.0,47.0,21.0,4.0,16.0,20.0,,4.0,3.0,18.0,,4.0,2.0,1.0,,,,,,,1.0,,1.0,,2.0,,1.0,,2.0,,1.0,1.0,,3.0,,,,,,,,,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
25,442244,2013-02-02 12:45:00,"MATRADE Loftus Road, London",17543,Home,Queens Park Rangers,Norwich City,0,0,D,0,0,0,0,,46.0,1.0,25.0,46.0,8.0,2.0,2.0,142.0,7.0,15.0,10.0,12.0,,5.0,66.0,182.0,83.0,16.0,2.0,15.0,2.0,,2.0,3.0,32.0,19.0,3.0,23.0,10.0,13.0,34.0,156.0,2.0,0.0,111.0,6.0,3.0,8.0,,35.0,51.0,6.0,51.0,2.0,2.0,22.0,4.0,3.0,159.0,1.0,6.0,73.0,595.0,8.0,14.0,23.0,20.0,20.0,2.0,4.0,6.0,18.0,57.0,,60252,5.0,105.0,2.0,10.0,1.0,127.0,,11.0,53.0,1.0,1.0,3.0,18.0,7.0,5.0,1.0,44.0,254.0,21.0,8.0,4.0,21.0,69.0,3.0,,0.0,3.0,8.0,3.0,,0.0,3.0,3.0,4.0,49.7,15.0,3.0,3.0,,3.0,3.0,41.0,10.0,,332.0,19.0,16.0,19.0,8.0,24.0,4.0,5.0,237.0,10.0,11.0,22.0,72.0,16.0,,15.0,25.0,,9.0,3.0,23.0,,,10.0,2.0,,,3.0,,,1.0,2.0,,,1.0,,,2.0,1.0,5.0,,1.0,2.0,,6.0,,,,,,,,,,,1.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
26,442257,2013-02-09 15:00:00,"Swansea.com Stadium, Swansea",20529,Away,Queens Park Rangers,Swansea City,1,4,L,0,2,0,0,,54.0,3.0,16.0,17.0,10.0,1.0,3.0,148.0,2.0,6.0,1.0,13.0,2.0,4.0,85.0,141.0,53.0,18.0,5.0,12.0,1.0,3.0,2.0,,12.0,15.0,2.0,10.0,2.0,19.0,26.0,146.0,2.0,0.0,76.0,11.0,3.0,1.0,,36.0,33.0,7.0,48.0,3.0,2.0,10.0,3.0,4.0,134.0,,10.0,73.0,537.0,12.0,9.0,26.0,21.0,9.0,3.0,4.0,6.0,19.0,40.0,,60252,3.0,128.0,,6.0,,158.0,,5.0,45.0,1.0,1.0,,15.0,5.0,2.0,1.0,31.0,272.0,9.0,5.0,1.0,20.0,71.0,,1.0,0.0,1.0,5.0,3.0,4.0,0.0,1.0,1.0,,37.5,15.0,,3.0,,2.0,8.0,38.0,2.0,,354.0,24.0,10.0,12.0,6.0,13.0,1.0,1.0,208.0,16.0,19.0,21.0,49.0,25.0,1.0,5.0,17.0,4.0,16.0,3.0,13.0,2.0,1.0,2.0,,1.0,,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,4.0,,,,1.0,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,
27,442265,2013-02-23 15:00:00,"MATRADE Loftus Road, London",18337,Home,Queens Park Rangers,Manchester United,0,2,L,0,1,0,0,1.0,68.0,1.0,25.0,27.0,9.0,3.0,1.0,142.0,5.0,9.0,2.0,9.0,1.0,3.0,95.0,181.0,56.0,14.0,4.0,18.0,3.0,1.0,,,21.0,19.0,,21.0,2.0,17.0,42.0,186.0,2.0,0.0,125.0,11.0,1.0,2.0,,41.0,76.0,5.0,70.0,4.0,3.0,19.0,6.0,5.0,175.0,,11.0,98.0,633.0,6.0,10.0,26.0,29.0,15.0,0.0,4.0,4.0,25.0,71.0,,60252,1.0,119.0,,11.0,,153.0,,11.0,57.0,,1.0,5.0,17.0,3.0,3.0,,55.0,300.0,6.0,5.0,3.0,31.0,97.0,1.0,,0.0,1.0,4.0,4.0,2.0,0.0,3.0,1.0,3.0,48.4,21.0,1.0,6.0,1.0,5.0,5.0,46.0,2.0,,405.0,22.0,13.0,24.0,6.0,18.0,2.0,1.0,273.0,8.0,15.0,18.0,84.0,25.0,2.0,13.0,23.0,1.0,11.0,3.0,19.0,,2.0,2.0,,,,,,,,,,,,1.0,2.0,,,8.0,,1.0,1.0,,3.0,,,,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
