gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attLfTarget,attGoalLowRight,savedObox,goals,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attOboxGoal,divingSave,midfielderGoals,attPostLeft,hitWoodwork,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attSvLowRight,accurateCrossNocorner,errorLeadToGoal,handBall,bigChanceScored,attGoalLowCentre,shotFastbreak,attBxRight,totalFastbreak,bigChanceCreated,bigChanceMissed,attSetpiece,totalPullBack,defenderGoals,attCmissHighLeft,attFastbreak,attIboxGoal,goalAssistIntentional,attHdGoal,attLfGoal,accurateKeeperSweeper,cleanSheet,attHdTarget,totalKeeperSweeper,sixYardBlock,attMissHigh,attSvHighCentre,forwardGoals,attGoalLowLeft,attCmissRight,penaltyConceded,attCmissHigh,attCmissLeft,penaltyFaced,penGoalsConceded,attSvHighLeft,attObxdRight,accurateFreekickCross,punches,attCmissHighRight,secondYellow,attGoalHighCentre,goalFastbreak,ownGoals,foulThrowIn,attIboxOwnGoal,attSvHighRight,attemptsIbox,saves,attemptsObox,attCorner,goalAssistSetplay,goalAssistDeadball,accuratePullBack,attGoalHighRight,penaltySave,attPostHigh,penaltyWon,attPenGoal,attOneOnOne,attHdPost,attOboxPost,attFreekickGoal,attGoalHighLeft,attPostRight,attFreekickTarget,ptsDroppedWinningPos
11,442100,2012-11-10 17:30:00,"Villa Park, Birmingham",40538,Home,Aston Villa,Manchester United,2,3,L,1,0,0,0,51.0,2.0,31.0,47.0,3.0,2.0,,105.0,5.0,3.0,2.0,6.0,3.0,75.0,140.0,44.0,,8.0,1.0,13.0,1.0,,23.0,13.0,,21.0,5.0,19.0,23.0,140.0,,0.0,98.0,14.0,,1.0,4.0,36.0,50.0,5.0,45.0,6.0,1.0,18.0,,6.0,2.0,113.0,,9.0,58.0,491.0,,4.0,14.0,,28.0,,24.0,1.0,10.0,25.0,1.0,6.0,1.0,14.0,,57.0,,80979,3.0,83.0,11.0,93.0,9.0,46.0,2.0,,2.0,8.0,12.0,6.0,51.0,218.0,8.0,5.0,,21.0,63.0,0.0,1.0,6.0,1.0,3.0,6.0,0.0,,1.0,30.5,11.0,,2.0,,2.0,3.0,,38.0,5.0,4.0,283.0,21.0,,6.0,14.0,2.0,19.0,2.0,,213.0,5.0,18.0,16.0,61.0,15.0,11.0,9.0,17.0,3.0,7.0,3.0,11.0,12.0,5.0,,,,2.0,2.0,,2.0,,,,1.0,,,,2.0,1.0,2.0,2.0,,3.0,,,1.0,1.0,1.0,,3.0,2.0,1.0,,,,,1.0,2.0,2.0,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,442112,2012-11-17 15:00:00,"Etihad Stadium, Manchester",47072,Away,Aston Villa,Manchester City,0,5,L,0,1,0,0,30.0,2.0,23.0,32.0,6.0,2.0,,112.0,6.0,1.0,2.0,9.0,2.0,69.0,123.0,48.0,,11.0,4.0,9.0,2.0,,13.0,22.0,,19.0,4.0,7.0,14.0,106.0,,0.0,62.0,7.0,,1.0,1.0,32.0,37.0,7.0,50.0,5.0,2.0,9.0,,6.0,2.0,110.0,1.0,20.0,67.0,479.0,,7.0,4.0,,11.0,,17.0,,3.0,10.0,1.0,3.0,2.0,13.0,,42.0,1.0,80979,3.0,136.0,2.0,154.0,16.0,34.0,1.0,4.0,5.0,8.0,6.0,5.0,41.0,236.0,9.0,6.0,2.0,18.0,75.0,0.0,,9.0,4.0,5.0,2.0,0.0,,2.0,33.4,10.0,,1.0,1.0,5.0,6.0,,33.0,4.0,1.0,298.0,10.0,,10.0,8.0,3.0,11.0,2.0,1.0,157.0,7.0,6.0,12.0,36.0,4.0,3.0,7.0,26.0,5.0,9.0,3.0,6.0,3.0,4.0,,,,1.0,,,,,,,1.0,,,,,,,,,4.0,1.0,3.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,,,,2.0,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,442119,2012-11-24 17:30:00,"Villa Park, Birmingham",34607,Home,Aston Villa,Arsenal,0,0,D,0,0,0,0,52.0,2.0,31.0,20.0,5.0,2.0,3.0,134.0,5.0,2.0,5.0,8.0,4.0,85.0,149.0,38.0,,9.0,2.0,19.0,1.0,,23.0,8.0,3.0,11.0,7.0,4.0,22.0,165.0,,0.0,130.0,8.0,2.0,3.0,1.0,32.0,72.0,7.0,46.0,1.0,1.0,16.0,,5.0,,149.0,,6.0,89.0,541.0,,5.0,8.0,14.0,12.0,257.0,14.0,,10.0,9.0,1.0,3.0,1.0,33.0,336.0,62.0,,80979,3.0,105.0,8.0,115.0,8.0,50.0,1.0,3.0,3.0,9.0,6.0,4.0,62.0,265.0,9.0,6.0,3.0,32.0,78.0,0.0,4.0,6.0,1.0,,3.0,0.0,1.0,2.0,37.4,26.0,1.0,7.0,1.0,3.0,4.0,,38.0,7.0,1.0,354.0,9.0,,11.0,15.0,1.0,36.0,3.0,1.0,262.0,5.0,2.0,12.0,82.0,21.0,2.0,6.0,15.0,,6.0,3.0,10.0,2.0,7.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,4.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,
14,442129,2012-11-27 20:00:00,"Villa Park, Birmingham",28692,Home,Aston Villa,Reading,1,0,W,0,0,0,0,52.0,3.0,32.0,71.0,6.0,6.0,3.0,147.0,11.0,2.0,1.0,12.0,5.0,85.0,184.0,56.0,,16.0,2.0,25.0,2.0,2.0,29.0,15.0,2.0,38.0,8.0,24.0,42.0,204.0,,0.0,155.0,11.0,,,6.0,46.0,73.0,7.0,48.0,,1.0,21.0,,8.0,2.0,151.0,,9.0,92.0,641.0,,8.0,18.0,,21.0,,14.0,1.0,5.0,33.0,1.0,3.0,5.0,42.0,,83.0,1.0,80979,8.0,82.0,13.0,96.0,10.0,53.0,2.0,2.0,1.0,12.0,3.0,7.0,61.0,275.0,4.0,6.0,3.0,19.0,85.0,0.0,,3.0,3.0,,6.0,0.0,,4.0,55.2,34.0,2.0,1.0,,1.0,5.0,,49.0,8.0,6.0,372.0,18.0,,11.0,18.0,6.0,20.0,5.0,4.0,305.0,6.0,21.0,28.0,97.0,22.0,4.0,20.0,22.0,,12.0,3.0,2.0,4.0,8.0,,,,,1.0,,,2.0,,,,,,,1.0,2.0,,,1.0,6.0,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
15,442145,2012-12-01 15:00:00,"MATRADE Loftus Road, London",17387,Away,Aston Villa,Queens Park Rangers,1,1,D,1,1,0,0,30.0,1.0,40.0,47.0,4.0,2.0,1.0,134.0,2.0,6.0,,5.0,2.0,94.0,164.0,47.0,,7.0,,19.0,,1.0,13.0,14.0,1.0,24.0,4.0,1.0,19.0,164.0,1.0,0.0,110.0,6.0,,,1.0,68.0,47.0,2.0,60.0,,,9.0,,3.0,2.0,141.0,,8.0,101.0,606.0,,3.0,7.0,,20.0,,7.0,1.0,6.0,29.0,2.0,5.0,3.0,20.0,,59.0,,80979,3.0,143.0,6.0,162.0,8.0,55.0,,4.0,1.0,14.0,9.0,4.0,78.0,305.0,5.0,11.0,1.0,28.0,80.0,0.0,1.0,11.0,3.0,1.0,2.0,0.0,1.0,1.0,45.5,16.0,1.0,2.0,,1.0,1.0,,41.0,4.0,1.0,389.0,13.0,,17.0,5.0,4.0,15.0,1.0,2.0,240.0,4.0,1.0,15.0,70.0,13.0,6.0,14.0,21.0,1.0,6.0,3.0,8.0,6.0,4.0,,,1.0,4.0,1.0,,1.0,,,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,3.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,442150,2012-12-08 15:00:00,"Villa Park, Birmingham",30110,Home,Aston Villa,Stoke City,0,0,D,0,0,0,1,47.0,4.0,35.0,53.0,5.0,5.0,1.0,140.0,4.0,8.0,2.0,7.0,2.0,126.0,154.0,62.0,1.0,13.0,3.0,25.0,1.0,,23.0,13.0,1.0,29.0,3.0,24.0,38.0,196.0,,0.0,137.0,9.0,,1.0,5.0,52.0,54.0,6.0,66.0,,2.0,20.0,1.0,8.0,1.0,130.0,,1.0,128.0,670.0,,7.0,4.0,,15.0,,16.0,,3.0,31.0,0.0,,1.0,20.0,,67.0,,80979,5.0,183.0,11.0,199.0,5.0,48.0,,3.0,10.0,6.0,1.0,3.0,58.0,375.0,15.0,2.0,,11.0,67.0,0.0,1.0,2.0,,,1.0,0.0,2.0,,56.3,18.0,,1.0,2.0,10.0,7.0,,46.0,3.0,5.0,460.0,11.0,1.0,10.0,14.0,4.0,27.0,1.0,3.0,284.0,8.0,22.0,19.0,87.0,16.0,6.0,19.0,20.0,,9.0,3.0,10.0,6.0,3.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
17,442160,2012-12-15 15:00:00,"Anfield, Liverpool",44607,Away,Aston Villa,Liverpool,3,1,W,2,0,0,0,47.0,,17.0,53.0,6.0,2.0,1.0,101.0,2.0,4.0,2.0,10.0,6.0,42.0,130.0,49.0,,11.0,,10.0,1.0,1.0,4.0,18.0,2.0,23.0,2.0,8.0,22.0,90.0,,0.0,92.0,10.0,2.0,1.0,4.0,39.0,22.0,6.0,39.0,1.0,2.0,2.0,,1.0,3.0,100.0,,15.0,29.0,422.0,,6.0,9.0,,14.0,,18.0,1.0,7.0,13.0,2.0,11.0,4.0,10.0,,53.0,1.0,80979,5.0,58.0,,67.0,21.0,35.0,2.0,,2.0,5.0,14.0,9.0,43.0,146.0,4.0,5.0,1.0,15.0,74.0,0.0,,7.0,5.0,1.0,2.0,0.0,,2.0,27.9,6.0,1.0,1.0,,3.0,,1.0,32.0,2.0,4.0,211.0,6.0,,10.0,7.0,5.0,10.0,1.0,2.0,148.0,7.0,6.0,16.0,55.0,7.0,7.0,4.0,25.0,1.0,9.0,3.0,5.0,7.0,2.0,,1.0,,2.0,3.0,,3.0,,,1.0,2.0,,,,3.0,2.0,3.0,3.0,1.0,1.0,,1.0,2.0,,2.0,,2.0,2.0,,1.0,1.0,,,2.0,2.0,1.0,,,1.0,,1.0,1.0,,1.0,,3.0,2.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
18,442169,2012-12-23 16:00:00,"Stamford Bridge, London",41363,Away,Aston Villa,Chelsea,0,8,L,0,3,0,0,58.0,,34.0,27.0,5.0,1.0,1.0,158.0,4.0,4.0,1.0,7.0,1.0,101.0,140.0,39.0,,7.0,3.0,11.0,1.0,,14.0,15.0,,19.0,4.0,7.0,29.0,158.0,,0.0,108.0,11.0,,1.0,2.0,64.0,33.0,4.0,60.0,1.0,1.0,10.0,,6.0,2.0,132.0,,15.0,101.0,613.0,,6.0,3.0,,11.0,,27.0,,5.0,13.0,0.0,5.0,3.0,22.0,,62.0,3.0,80979,1.0,183.0,3.0,202.0,10.0,40.0,4.0,5.0,10.0,11.0,11.0,6.0,50.0,337.0,6.0,4.0,1.0,18.0,78.0,0.0,2.0,8.0,5.0,8.0,,0.0,,1.0,43.4,19.0,1.0,4.0,,10.0,3.0,,49.0,4.0,2.0,420.0,9.0,,10.0,14.0,3.0,17.0,2.0,1.0,232.0,5.0,7.0,10.0,63.0,14.0,2.0,10.0,19.0,6.0,6.0,3.0,8.0,2.0,4.0,2.0,,,2.0,,,,1.0,,,5.0,,,1.0,,1.0,,,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
19,442180,2012-12-26 17:30:00,"Villa Park, Birmingham",36863,Home,Aston Villa,Tottenham Hotspur,0,4,L,0,0,0,0,52.0,,24.0,48.0,2.0,3.0,,124.0,3.0,13.0,,4.0,1.0,94.0,139.0,56.0,,4.0,,9.0,,1.0,14.0,14.0,1.0,22.0,2.0,17.0,21.0,128.0,,0.0,82.0,12.0,,,1.0,26.0,50.0,1.0,54.0,3.0,,12.0,,3.0,1.0,113.0,,13.0,71.0,569.0,,3.0,12.0,,28.0,,20.0,2.0,11.0,27.0,1.0,8.0,3.0,23.0,,44.0,,68983,,153.0,9.0,164.0,6.0,56.0,,4.0,6.0,15.0,8.0,6.0,37.0,278.0,7.0,22.0,1.0,12.0,64.0,0.0,2.0,16.0,3.0,4.0,5.0,0.0,,1.0,40.9,21.0,1.0,2.0,,6.0,,,51.0,2.0,1.0,343.0,18.0,,11.0,9.0,3.0,18.0,,2.0,193.0,,14.0,19.0,48.0,21.0,4.0,12.0,17.0,4.0,3.0,2.0,16.0,4.0,2.0,,1.0,,2.0,,,,1.0,,,4.0,,,,,,,,,3.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,442190,2012-12-29 15:00:00,"Villa Park, Birmingham",33374,Home,Aston Villa,Wigan Athletic,0,3,L,0,1,0,0,56.0,2.0,30.0,26.0,7.0,5.0,1.0,132.0,1.0,16.0,1.0,10.0,2.0,124.0,156.0,55.0,,12.0,2.0,7.0,,2.0,20.0,12.0,2.0,9.0,3.0,15.0,51.0,195.0,,0.0,153.0,16.0,,,,50.0,69.0,5.0,73.0,1.0,,17.0,,10.0,3.0,139.0,,6.0,96.0,621.0,,10.0,9.0,,19.0,,14.0,1.0,5.0,12.0,3.0,1.0,5.0,26.0,,78.0,1.0,80979,2.0,147.0,7.0,157.0,9.0,49.0,2.0,2.0,9.0,10.0,3.0,6.0,43.0,341.0,8.0,11.0,,10.0,70.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,,1.0,45.9,24.0,1.0,5.0,1.0,9.0,4.0,,50.0,4.0,,425.0,15.0,,15.0,29.0,6.0,33.0,1.0,2.0,288.0,5.0,12.0,15.0,95.0,27.0,1.0,3.0,16.0,3.0,11.0,3.0,17.0,1.0,4.0,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,2.0,,,2.0,,,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,,,,,,,,2.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
21,442204,2013-01-01 15:00:00,"Swansea.com Stadium, Swansea",20406,Away,Aston Villa,Swansea City,2,2,D,1,1,0,0,46.0,1.0,23.0,93.0,,3.0,2.0,104.0,2.0,4.0,2.0,4.0,5.0,64.0,179.0,70.0,,9.0,,14.0,3.0,,10.0,11.0,,43.0,2.0,9.0,45.0,107.0,,0.0,90.0,18.0,1.0,,2.0,28.0,30.0,4.0,35.0,4.0,2.0,8.0,,2.0,,129.0,,15.0,49.0,508.0,,2.0,11.0,,32.0,,19.0,,5.0,52.0,4.0,9.0,,14.0,,63.0,1.0,80979,4.0,66.0,6.0,75.0,12.0,52.0,,2.0,1.0,8.0,10.0,8.0,35.0,171.0,7.0,7.0,1.0,11.0,67.0,0.0,5.0,3.0,4.0,2.0,3.0,0.0,,1.0,30.5,9.0,,4.0,2.0,1.0,1.0,,35.0,2.0,2.0,252.0,22.0,,11.0,22.0,3.0,15.0,2.0,3.0,187.0,5.0,8.0,41.0,41.0,18.0,4.0,27.0,18.0,2.0,6.0,3.0,9.0,4.0,2.0,,,,,2.0,,1.0,1.0,,,2.0,,,,1.0,,2.0,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
22,442210,2013-01-12 15:00:00,"Villa Park, Birmingham",32500,Home,Aston Villa,Southampton,0,1,L,0,1,0,0,57.0,1.0,23.0,40.0,8.0,6.0,1.0,168.0,9.0,11.0,3.0,10.0,5.0,70.0,194.0,70.0,,16.0,4.0,17.0,3.0,,29.0,18.0,2.0,20.0,9.0,4.0,19.0,164.0,1.0,0.0,167.0,11.0,1.0,,2.0,74.0,41.0,7.0,47.0,1.0,1.0,20.0,,7.0,2.0,174.0,1.0,10.0,69.0,599.0,,9.0,19.0,,21.0,,24.0,1.0,11.0,18.0,1.0,3.0,3.0,34.0,,78.0,,80979,6.0,88.0,13.0,108.0,15.0,49.0,3.0,3.0,2.0,9.0,5.0,11.0,50.0,243.0,6.0,7.0,1.0,36.0,87.0,0.0,1.0,5.0,2.0,1.0,9.0,0.0,1.0,2.0,51.0,23.0,,1.0,2.0,2.0,5.0,,41.0,9.0,2.0,354.0,12.0,,9.0,11.0,6.0,31.0,2.0,3.0,275.0,8.0,3.0,33.0,104.0,20.0,6.0,8.0,20.0,1.0,14.0,3.0,17.0,6.0,9.0,,3.0,,1.0,,1.0,,2.0,1.0,,1.0,,,1.0,,,,,2.0,7.0,,1.0,,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,
23,442226,2013-01-19 17:30:00,"The Hawthorns, West Bromwich",25583,Away,Aston Villa,West Bromwich Albion,2,2,D,2,0,0,0,52.0,3.0,21.0,44.0,5.0,7.0,2.0,111.0,4.0,11.0,1.0,12.0,6.0,60.0,147.0,58.0,,15.0,1.0,14.0,3.0,,22.0,13.0,1.0,18.0,8.0,14.0,32.0,128.0,1.0,0.0,94.0,10.0,1.0,,5.0,60.0,28.0,8.0,36.0,,3.0,14.0,,2.0,2.0,121.0,1.0,12.0,57.0,503.0,,7.0,13.0,,14.0,,20.0,,3.0,21.0,3.0,8.0,4.0,20.0,,55.0,,68983,6.0,86.0,12.0,94.0,20.0,51.0,1.0,3.0,4.0,14.0,17.0,10.0,39.0,210.0,8.0,10.0,3.0,10.0,73.0,0.0,2.0,8.0,1.0,2.0,5.0,0.0,1.0,3.0,42.6,17.0,2.0,2.0,1.0,4.0,4.0,,39.0,8.0,5.0,264.0,10.0,,10.0,15.0,5.0,11.0,3.0,3.0,192.0,5.0,13.0,23.0,62.0,17.0,3.0,6.0,16.0,1.0,11.0,3.0,18.0,3.0,8.0,1.0,1.0,2.0,3.0,2.0,,2.0,1.0,,1.0,2.0,,,,2.0,1.0,1.0,2.0,,1.0,,,,,2.0,1.0,4.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,,,2.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
24,442230,2013-01-29 19:45:00,"Villa Park, Birmingham",30334,Home,Aston Villa,Newcastle United,1,2,L,0,2,0,0,52.0,1.0,35.0,70.0,5.0,6.0,2.0,125.0,3.0,6.0,3.0,7.0,5.0,103.0,182.0,63.0,,12.0,1.0,24.0,3.0,1.0,21.0,13.0,1.0,37.0,3.0,21.0,47.0,152.0,1.0,0.0,118.0,15.0,,1.0,3.0,63.0,39.0,4.0,54.0,1.0,,18.0,,5.0,2.0,149.0,,3.0,77.0,606.0,,6.0,9.0,,15.0,,15.0,,3.0,38.0,5.0,4.0,3.0,37.0,,76.0,,80979,5.0,131.0,12.0,138.0,3.0,59.0,3.0,2.0,7.0,11.0,9.0,1.0,64.0,280.0,10.0,1.0,1.0,17.0,75.0,0.0,4.0,4.0,,2.0,5.0,0.0,,,51.7,25.0,,1.0,1.0,7.0,2.0,,39.0,3.0,3.0,359.0,11.0,,16.0,24.0,5.0,32.0,2.0,2.0,242.0,5.0,17.0,30.0,65.0,24.0,2.0,17.0,17.0,1.0,9.0,2.0,10.0,2.0,3.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,3.0,1.0,,1.0,1.0,,1.0,1.0,,,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,
25,442240,2013-02-02 15:00:00,"Goodison Park, Liverpool",38121,Away,Aston Villa,Everton,3,3,D,2,1,0,0,46.0,2.0,9.0,92.0,1.0,2.0,,98.0,4.0,4.0,1.0,8.0,3.0,48.0,162.0,47.0,,8.0,,26.0,,,7.0,12.0,,46.0,2.0,15.0,27.0,94.0,,0.0,76.0,23.0,,,,43.0,44.0,5.0,23.0,10.0,1.0,5.0,,1.0,1.0,116.0,1.0,9.0,35.0,460.0,,4.0,13.0,,34.0,,19.0,1.0,4.0,39.0,4.0,4.0,3.0,15.0,,49.0,,90255,4.0,43.0,4.0,51.0,12.0,72.0,1.0,5.0,1.0,5.0,12.0,6.0,29.0,133.0,6.0,5.0,1.0,14.0,69.0,0.0,2.0,15.0,2.0,3.0,5.0,0.0,,3.0,31.7,9.0,1.0,2.0,,1.0,2.0,,27.0,2.0,,204.0,20.0,,15.0,10.0,3.0,4.0,1.0,2.0,160.0,3.0,14.0,18.0,40.0,15.0,3.0,23.0,18.0,3.0,6.0,3.0,7.0,3.0,2.0,,,,3.0,3.0,,2.0,,,,1.0,,,,3.0,1.0,1.0,2.0,,3.0,,,3.0,,,2.0,,4.0,1.0,,1.0,,1.0,,3.0,2.0,2.0,,,,,,,1.0,,3.0,3.0,,,1.0,,,,,,,4.0,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,
26,442249,2013-02-10 13:30:00,"Villa Park, Birmingham",30503,Home,Aston Villa,West Ham United,2,1,W,0,0,0,0,69.0,2.0,11.0,54.0,3.0,2.0,1.0,152.0,4.0,5.0,4.0,6.0,3.0,74.0,194.0,70.0,2.0,10.0,,18.0,,2.0,15.0,26.0,1.0,25.0,4.0,20.0,24.0,152.0,,0.0,102.0,18.0,1.0,1.0,4.0,59.0,53.0,2.0,58.0,2.0,1.0,11.0,2.0,3.0,1.0,165.0,,12.0,77.0,614.0,,3.0,13.0,,14.0,,29.0,1.0,3.0,29.0,3.0,6.0,4.0,29.0,,49.0,,90255,6.0,120.0,7.0,141.0,4.0,66.0,2.0,5.0,3.0,20.0,4.0,2.0,37.0,268.0,12.0,7.0,3.0,23.0,75.0,0.0,3.0,10.0,4.0,1.0,3.0,0.0,1.0,1.0,48.2,23.0,1.0,2.0,,3.0,2.0,1.0,31.0,4.0,4.0,361.0,13.0,1.0,18.0,10.0,5.0,16.0,3.0,4.0,235.0,6.0,20.0,21.0,64.0,23.0,2.0,12.0,32.0,1.0,3.0,3.0,12.0,2.0,4.0,,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,2.0,1.0,,,1.0,1.0,,1.0,3.0,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,
27,442259,2013-02-23 15:00:00,"Emirates Stadium, London",60079,Away,Aston Villa,Arsenal,1,2,L,0,1,0,0,48.0,2.0,25.0,49.0,2.0,3.0,,123.0,5.0,9.0,,8.0,3.0,94.0,114.0,44.0,,8.0,,16.0,1.0,1.0,14.0,11.0,1.0,27.0,3.0,23.0,25.0,118.0,1.0,0.0,82.0,10.0,,,2.0,34.0,45.0,5.0,48.0,7.0,1.0,11.0,,2.0,,114.0,,17.0,86.0,561.0,,6.0,10.0,15.0,25.0,271.0,17.0,,3.0,22.0,2.0,8.0,3.0,13.0,329.0,38.0,,90255,3.0,168.0,9.0,184.0,12.0,59.0,3.0,3.0,5.0,7.0,9.0,4.0,48.0,281.0,7.0,14.0,1.0,11.0,62.0,0.0,3.0,12.0,4.0,2.0,4.0,0.0,,3.0,36.1,10.0,2.0,1.0,2.0,5.0,2.0,,33.0,3.0,2.0,351.0,18.0,,15.0,11.0,3.0,19.0,2.0,3.0,181.0,2.0,19.0,11.0,52.0,21.0,7.0,12.0,17.0,2.0,6.0,2.0,13.0,7.0,3.0,,2.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,,3.0,,,,,4.0,,6.0,1.0,1.0,,,,,4.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,6.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,
