gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,attLfTarget,attCmissRight,attOboxTarget,attSvHighRight,divingSave,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,attSetpiece,totalThroughBall,attSvLowRight,attCmissLeft,punches,attFreekickTarget,foulThrowIn,possWonAtt3rd,attBxLeft,goalsConcededObox,attRfTarget,goalAssistOpenplay,attSvLowCentre,attOboxGoal,midfielderGoals,interceptionsInBox,goalAssist,accurateThroughBall,penaltyConceded,goalsOpenplay,attGoalHighLeft,attFreekickGoal,goalAssistIntentional,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowLeft,attLfGoal,bigChanceCreated,attCmissHighRight,clearanceOffLine,attSvHighLeft,postScoringAtt,hitWoodwork,attOboxPost,shieldBallOop,attPostRight,attGoalLowCentre,totalFastbreak,shotFastbreak,attOneOnOne,attSvLowLeft,bigChanceMissed,attObxdLeft,attFastbreak,attGoalHighRight,accuratePullBack,accurateKeeperSweeper,attIboxPost,attHdPost,sixYardBlock,totalPullBack,defenderGoals,attPostHigh,cleanSheet,goalAssistSetplay,goalAssistDeadball,attemptsIbox,saves,attemptsObox,subsGoals,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attFreekickPost,attGoalHighCentre,attObpGoal,attObxLeft,attLgCentre,attCmissHighLeft,goalFastbreak
11,442105,2012-11-10 15:00:00,"Select Car Leasing Stadium, Reading",24080,Home,Reading,Norwich City,0,0,D,0,0,0,0,,44.0,,,1.0,19.0,31.0,5.0,2.0,149.0,5.0,10.0,,5.0,6.0,2.0,66.0,203.0,72.0,1.0,9.0,1.0,39.0,1.0,1.0,1.0,41.0,11.0,15.0,10.0,2.0,24.0,107.0,1.0,,0.0,114.0,9.0,4.0,1.0,61.0,60.0,3.0,48.0,1.0,31.0,1.0,9.0,3.0,187.0,5.0,53.0,536.0,4.0,11.0,,16.0,19.0,8.0,18.0,0.0,2.0,3.0,31.0,69.0,2.0,5750,3.0,112.0,18.0,129.0,,13.0,68.0,1.0,4.0,4.0,10.0,6.0,6.0,1.0,,47.0,214.0,17.0,,2.0,43.0,93.0,0.0,2.0,3.0,1.0,,,2.0,0.0,3.0,2.0,49.3,25.0,2.0,1.0,4.0,2.0,44.0,10.0,1.0,316.0,14.0,,7.0,12.0,5.0,24.0,2.0,2.0,228.0,5.0,2.0,34.0,61.0,16.0,,3.0,11.0,11.0,,6.0,3.0,23.0,,3.0,10.0,,,1.0,1.0,,,,1.0,,1.0,2.0,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
12,442116,2012-11-17 15:00:00,"Select Car Leasing Stadium, Reading",24184,Home,Reading,Everton,2,1,W,0,1,0,0,1.0,17.0,,2.0,,25.0,33.0,7.0,5.0,120.0,13.0,4.0,2.0,7.0,10.0,3.0,47.0,152.0,46.0,,14.0,1.0,17.0,1.0,,,39.0,11.0,17.0,7.0,,28.0,130.0,1.0,1.0,0.0,99.0,12.0,5.0,2.0,87.0,32.0,2.0,37.0,3.0,32.0,,12.0,6.0,136.0,15.0,43.0,448.0,5.0,7.0,,13.0,6.0,14.0,16.0,3.0,5.0,8.0,18.0,70.0,1.0,5750,6.0,55.0,15.0,73.0,1.0,12.0,42.0,3.0,2.0,1.0,9.0,6.0,7.0,4.0,1.0,43.0,172.0,12.0,1.0,4.0,30.0,75.0,0.0,1.0,13.0,4.0,2.0,1.0,2.0,0.0,9.0,5.0,39.6,14.0,4.0,,1.0,1.0,40.0,7.0,2.0,247.0,9.0,,14.0,10.0,10.0,18.0,4.0,4.0,213.0,4.0,,16.0,64.0,6.0,2.0,6.0,8.0,14.0,1.0,7.0,1.0,4.0,1.0,6.0,7.0,2.0,1.0,2.0,,,,,2.0,,3.0,2.0,,1.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
13,442128,2012-11-24 15:00:00,"DW Stadium, Wigan",15436,Away,Reading,Wigan Athletic,2,3,L,1,0,0,0,,46.0,,,4.0,20.0,42.0,5.0,5.0,115.0,12.0,6.0,2.0,6.0,14.0,5.0,39.0,150.0,54.0,1.0,17.0,2.0,14.0,2.0,,2.0,29.0,9.0,28.0,4.0,8.0,23.0,106.0,,,0.0,107.0,11.0,3.0,,46.0,53.0,8.0,29.0,2.0,25.0,1.0,10.0,1.0,136.0,17.0,43.0,452.0,11.0,,1.0,17.0,22.0,9.0,13.0,0.0,5.0,6.0,20.0,57.0,,5750,7.0,58.0,12.0,68.0,,10.0,51.0,,1.0,2.0,11.0,1.0,2.0,2.0,,40.0,152.0,15.0,7.0,2.0,27.0,70.0,0.0,,9.0,6.0,2.0,3.0,,0.0,10.0,5.0,33.3,15.0,3.0,,2.0,6.0,29.0,5.0,,226.0,16.0,,13.0,10.0,6.0,18.0,2.0,5.0,187.0,6.0,7.0,18.0,65.0,15.0,,6.0,10.0,15.0,3.0,10.0,2.0,13.0,1.0,6.0,5.0,1.0,2.0,2.0,2.0,,3.0,1.0,,1.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,,4.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,2.0,,,,,1.0,,,2.0,,,1.0,1.0,,,1.0,,,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
14,442129,2012-11-27 20:00:00,"Villa Park, Birmingham",28692,Away,Reading,Aston Villa,0,1,L,0,0,0,0,,55.0,,2.0,1.0,21.0,63.0,3.0,5.0,144.0,8.0,6.0,,1.0,10.0,3.0,55.0,199.0,53.0,,12.0,2.0,28.0,3.0,,2.0,26.0,3.0,42.0,3.0,7.0,26.0,145.0,,,0.0,129.0,6.0,2.0,2.0,86.0,58.0,5.0,44.0,2.0,23.0,,9.0,1.0,178.0,10.0,49.0,556.0,8.0,12.0,1.0,12.0,17.0,12.0,35.0,0.0,5.0,5.0,44.0,77.0,,5750,4.0,56.0,12.0,76.0,,13.0,56.0,1.0,3.0,4.0,13.0,6.0,4.0,1.0,,44.0,193.0,11.0,2.0,2.0,39.0,81.0,0.0,3.0,8.0,2.0,,1.0,3.0,0.0,6.0,4.0,44.8,33.0,3.0,,4.0,3.0,36.0,3.0,2.0,292.0,9.0,,19.0,13.0,6.0,30.0,2.0,5.0,242.0,3.0,5.0,25.0,75.0,23.0,,5.0,20.0,11.0,1.0,9.0,2.0,9.0,,5.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,3.0,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,442146,2012-12-01 17:30:00,"Select Car Leasing Stadium, Reading",24095,Home,Reading,Manchester United,3,4,L,3,4,0,0,2.0,60.0,,,,29.0,16.0,4.0,5.0,157.0,9.0,5.0,3.0,5.0,10.0,7.0,87.0,158.0,49.0,1.0,12.0,1.0,15.0,3.0,,1.0,34.0,16.0,10.0,6.0,21.0,23.0,179.0,,,0.0,142.0,10.0,4.0,1.0,50.0,90.0,6.0,65.0,1.0,28.0,1.0,7.0,2.0,151.0,9.0,88.0,584.0,4.0,12.0,1.0,18.0,25.0,15.0,9.0,1.0,1.0,4.0,20.0,79.0,1.0,5750,4.0,138.0,17.0,151.0,,7.0,50.0,,,1.0,12.0,2.0,3.0,1.0,,57.0,308.0,12.0,6.0,4.0,42.0,85.0,0.0,1.0,1.0,2.0,3.0,4.0,3.0,0.0,5.0,4.0,41.7,19.0,1.0,,1.0,1.0,44.0,6.0,1.0,397.0,12.0,,8.0,10.0,4.0,16.0,4.0,2.0,280.0,3.0,17.0,13.0,83.0,28.0,1.0,,5.0,19.0,4.0,5.0,3.0,16.0,1.0,1.0,6.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,,2.0,1.0,,2.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,,,,,,2.0,1.0,,,1.0,,,,,,1.0,,,,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,
16,442154,2012-12-08 15:00:00,"St. Mary's Stadium, Southampton",29331,Away,Reading,Southampton,0,1,L,0,0,0,0,,31.0,,2.0,,22.0,41.0,,,102.0,7.0,4.0,,3.0,5.0,2.0,49.0,177.0,42.0,,6.0,,20.0,2.0,,,24.0,12.0,18.0,2.0,2.0,27.0,92.0,2.0,,0.0,76.0,13.0,4.0,1.0,26.0,65.0,2.0,35.0,1.0,22.0,,5.0,,154.0,9.0,45.0,446.0,5.0,5.0,,13.0,9.0,10.0,13.0,0.0,3.0,3.0,31.0,65.0,,5750,5.0,66.0,13.0,83.0,,12.0,55.0,,4.0,1.0,10.0,9.0,2.0,,,44.0,151.0,11.0,1.0,,26.0,83.0,0.0,2.0,7.0,2.0,,1.0,,0.0,7.0,2.0,34.9,22.0,1.0,,1.0,,35.0,4.0,1.0,231.0,9.0,,14.0,12.0,4.0,10.0,,3.0,172.0,4.0,1.0,12.0,38.0,12.0,,5.0,6.0,15.0,1.0,4.0,3.0,12.0,,5.0,4.0,1.0,,,,,4.0,1.0,,2.0,,,,1.0,,1.0,,,,1.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
17,442165,2012-12-17 20:00:00,"Select Car Leasing Stadium, Reading",24125,Home,Reading,Arsenal,2,5,L,0,3,0,0,2.0,55.0,1.0,2.0,1.0,11.0,26.0,4.0,3.0,150.0,4.0,13.0,2.0,,7.0,3.0,80.0,132.0,44.0,,9.0,3.0,14.0,,,,17.0,8.0,17.0,3.0,11.0,30.0,127.0,,,0.0,82.0,7.0,,,39.0,59.0,5.0,54.0,1.0,14.0,,4.0,,132.0,19.0,64.0,525.0,4.0,10.0,,12.0,23.0,7.0,11.0,1.0,7.0,2.0,15.0,44.0,,5750,3.0,134.0,10.0,154.0,2.0,9.0,51.0,1.0,5.0,3.0,5.0,7.0,4.0,1.0,,43.0,257.0,4.0,14.0,1.0,28.0,80.0,0.0,2.0,7.0,6.0,2.0,5.0,3.0,0.0,3.0,1.0,32.9,15.0,1.0,,3.0,4.0,36.0,3.0,,348.0,8.0,,15.0,11.0,2.0,26.0,1.0,2.0,211.0,5.0,9.0,15.0,48.0,25.0,,6.0,7.0,12.0,5.0,8.0,3.0,14.0,,6.0,3.0,,,,1.0,,6.0,,,1.0,,,6.0,,,,,,,,,1.0,2.0,,,1.0,2.0,2.0,2.0,,2.0,,,2.0,,,,1.0,,2.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,5.0,7.0,4.0,1.0,19.0,251.0,331.0,1.0,,,,,,,
18,442171,2012-12-22 15:00:00,"Etihad Stadium, Manchester",47007,Away,Reading,Manchester City,0,1,L,0,0,0,0,,33.0,,,,17.0,36.0,1.0,,101.0,6.0,1.0,,1.0,5.0,1.0,38.0,124.0,46.0,,5.0,,25.0,1.0,1.0,1.0,19.0,9.0,20.0,3.0,1.0,22.0,92.0,2.0,,0.0,75.0,16.0,2.0,2.0,23.0,75.0,1.0,52.0,,16.0,,5.0,1.0,108.0,16.0,44.0,409.0,3.0,7.0,,19.0,20.0,9.0,15.0,3.0,8.0,4.0,22.0,51.0,,5750,1.0,80.0,9.0,89.0,,11.0,56.0,,1.0,,8.0,5.0,6.0,,,47.0,166.0,11.0,7.0,2.0,25.0,71.0,0.0,,12.0,2.0,,1.0,1.0,0.0,3.0,3.0,26.7,18.0,3.0,,,,35.0,3.0,2.0,235.0,13.0,,6.0,6.0,4.0,17.0,3.0,3.0,165.0,2.0,,19.0,34.0,5.0,,3.0,11.0,15.0,1.0,3.0,2.0,3.0,,3.0,3.0,,,,,,,1.0,1.0,,,,,,,2.0,,,1.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,442186,2012-12-26 15:00:00,"Select Car Leasing Stadium, Reading",24050,Home,Reading,Swansea City,0,0,D,0,0,0,0,,26.0,,1.0,1.0,9.0,25.0,1.0,1.0,109.0,4.0,,,5.0,2.0,1.0,39.0,143.0,56.0,,3.0,,10.0,1.0,,,28.0,17.0,13.0,6.0,1.0,18.0,75.0,,,0.0,93.0,17.0,6.0,1.0,37.0,45.0,1.0,33.0,,22.0,,6.0,1.0,131.0,3.0,39.0,391.0,2.0,10.0,,13.0,10.0,4.0,5.0,2.0,2.0,1.0,28.0,54.0,1.0,54757,1.0,70.0,10.0,83.0,,10.0,43.0,,2.0,,5.0,7.0,4.0,,,27.0,141.0,15.0,6.0,,19.0,64.0,0.0,,4.0,1.0,,,1.0,0.0,4.0,,28.0,25.0,,,,1.0,28.0,6.0,1.0,220.0,5.0,,12.0,10.0,1.0,21.0,,,165.0,2.0,1.0,18.0,45.0,8.0,,1.0,2.0,23.0,,2.0,2.0,,,1.0,6.0,2.0,,,,,2.0,,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
20,442196,2012-12-29 15:00:00,"Select Car Leasing Stadium, Reading",24183,Home,Reading,West Ham United,1,0,W,1,0,0,0,1.0,31.0,,1.0,,17.0,52.0,1.0,1.0,110.0,1.0,5.0,1.0,4.0,2.0,2.0,40.0,161.0,51.0,,3.0,,27.0,,,,15.0,11.0,31.0,1.0,1.0,16.0,91.0,1.0,,0.0,80.0,18.0,2.0,2.0,25.0,59.0,1.0,34.0,,14.0,,3.0,,140.0,10.0,30.0,423.0,2.0,8.0,,11.0,14.0,2.0,21.0,3.0,1.0,1.0,26.0,46.0,,54757,1.0,49.0,9.0,72.0,,10.0,68.0,,5.0,,10.0,3.0,6.0,,,39.0,139.0,8.0,1.0,,14.0,75.0,0.0,2.0,2.0,2.0,1.0,,2.0,0.0,1.0,,33.8,20.0,,1.0,,,39.0,2.0,2.0,214.0,7.0,,19.0,6.0,1.0,9.0,,1.0,157.0,2.0,1.0,20.0,49.0,9.0,1.0,7.0,12.0,18.0,,3.0,2.0,9.0,,7.0,2.0,1.0,,,1.0,,2.0,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
21,442205,2013-01-01 15:00:00,"White Hart Lane, London",36180,Away,Reading,Tottenham Hotspur,1,3,L,1,1,0,0,1.0,29.0,,7.0,1.0,21.0,31.0,2.0,2.0,116.0,4.0,1.0,1.0,2.0,4.0,3.0,57.0,141.0,37.0,1.0,7.0,,12.0,2.0,1.0,1.0,9.0,11.0,13.0,3.0,2.0,24.0,84.0,1.0,,0.0,77.0,11.0,1.0,,22.0,69.0,3.0,49.0,,6.0,1.0,2.0,1.0,123.0,10.0,59.0,455.0,3.0,6.0,1.0,25.0,14.0,5.0,11.0,0.0,12.0,1.0,14.0,59.0,,54757,3.0,118.0,3.0,136.0,,13.0,43.0,,4.0,3.0,7.0,24.0,4.0,,,48.0,198.0,10.0,7.0,1.0,17.0,83.0,0.0,,12.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,32.0,12.0,1.0,,3.0,1.0,38.0,3.0,,281.0,16.0,,13.0,8.0,3.0,8.0,2.0,1.0,154.0,2.0,2.0,10.0,28.0,10.0,1.0,2.0,5.0,16.0,2.0,4.0,3.0,1.0,,2.0,3.0,,1.0,,,,6.0,,,,,1.0,,,1.0,2.0,,,,,1.0,,,1.0,,,5.0,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
22,442216,2013-01-12 15:00:00,"Select Car Leasing Stadium, Reading",23495,Home,Reading,West Bromwich Albion,3,2,W,0,1,0,0,3.0,49.0,1.0,,1.0,46.0,42.0,1.0,2.0,162.0,9.0,2.0,3.0,3.0,6.0,7.0,102.0,205.0,42.0,,8.0,,21.0,3.0,,,44.0,7.0,21.0,8.0,6.0,50.0,181.0,,1.0,0.0,150.0,8.0,5.0,,75.0,73.0,6.0,73.0,,36.0,,14.0,,184.0,7.0,110.0,658.0,4.0,4.0,1.0,11.0,18.0,5.0,26.0,1.0,2.0,,29.0,88.0,,78270,6.0,170.0,17.0,187.0,1.0,8.0,53.0,,2.0,3.0,9.0,5.0,1.0,,1.0,68.0,342.0,13.0,3.0,,23.0,89.0,0.0,,4.0,1.0,3.0,2.0,2.0,0.0,8.0,2.0,57.5,25.0,,,3.0,1.0,43.0,8.0,,447.0,9.0,,13.0,28.0,,38.0,1.0,,304.0,4.0,5.0,18.0,88.0,22.0,2.0,4.0,13.0,9.0,1.0,5.0,2.0,11.0,,4.0,8.0,1.0,,,1.0,,1.0,,,,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,3.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,,,2.0,,,1.0,,1.0,3.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
23,442222,2013-01-19 15:00:00,"St. James' Park, Newcastle",49411,Away,Reading,Newcastle United,2,1,W,0,1,0,0,,55.0,2.0,2.0,,22.0,43.0,2.0,1.0,165.0,3.0,12.0,2.0,5.0,5.0,2.0,82.0,177.0,59.0,1.0,7.0,,33.0,,1.0,2.0,11.0,12.0,31.0,2.0,11.0,36.0,138.0,,,0.0,123.0,10.0,3.0,2.0,63.0,42.0,2.0,52.0,1.0,9.0,1.0,1.0,2.0,164.0,9.0,70.0,583.0,3.0,11.0,,8.0,19.0,6.0,25.0,3.0,3.0,3.0,28.0,85.0,,9493,3.0,120.0,5.0,145.0,1.0,8.0,70.0,1.0,1.0,3.0,11.0,7.0,2.0,2.0,,56.0,255.0,10.0,13.0,,28.0,86.0,0.0,4.0,6.0,4.0,2.0,1.0,3.0,0.0,3.0,,44.4,22.0,,,3.0,,33.0,2.0,2.0,369.0,7.0,1.0,7.0,14.0,5.0,15.0,,3.0,235.0,5.0,11.0,18.0,64.0,20.0,2.0,3.0,18.0,19.0,,5.0,2.0,19.0,,4.0,2.0,,,,,,4.0,1.0,,,,,4.0,,,2.0,,,,,1.0,,2.0,,,,,2.0,2.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,3.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
24,442234,2013-01-30 20:00:00,"Select Car Leasing Stadium, Reading",24097,Home,Reading,Chelsea,2,2,D,0,1,0,0,,33.0,,1.0,,23.0,50.0,2.0,1.0,133.0,3.0,3.0,2.0,4.0,4.0,2.0,54.0,164.0,56.0,,5.0,,16.0,,,,17.0,15.0,32.0,,4.0,31.0,114.0,3.0,,0.0,115.0,8.0,6.0,,53.0,50.0,2.0,35.0,,17.0,,4.0,2.0,146.0,8.0,49.0,450.0,1.0,8.0,,15.0,15.0,12.0,16.0,1.0,3.0,2.0,16.0,78.0,,9493,2.0,68.0,7.0,84.0,1.0,10.0,39.0,,4.0,1.0,10.0,7.0,5.0,,,50.0,179.0,19.0,1.0,1.0,32.0,82.0,0.0,1.0,6.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,32.4,10.0,1.0,,1.0,,38.0,,,271.0,11.0,,12.0,14.0,3.0,18.0,,1.0,204.0,3.0,2.0,18.0,62.0,14.0,2.0,1.0,14.0,16.0,2.0,3.0,3.0,5.0,,1.0,,,,,,,1.0,,,,2.0,2.0,1.0,,,,,,1.0,1.0,,,1.0,,,,2.0,2.0,1.0,,1.0,,,2.0,,,,1.0,1.0,,2.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
25,442245,2013-02-02 15:00:00,"Select Car Leasing Stadium, Reading",23829,Home,Reading,Sunderland,2,1,W,1,1,0,0,1.0,25.0,,1.0,,20.0,42.0,3.0,3.0,161.0,7.0,4.0,2.0,7.0,9.0,3.0,58.0,198.0,59.0,2.0,11.0,1.0,28.0,1.0,,2.0,34.0,11.0,26.0,6.0,3.0,47.0,156.0,1.0,,0.0,145.0,13.0,6.0,1.0,82.0,52.0,3.0,45.0,2.0,28.0,2.0,7.0,4.0,182.0,9.0,68.0,551.0,4.0,9.0,1.0,10.0,11.0,5.0,19.0,1.0,2.0,6.0,35.0,96.0,,9493,3.0,81.0,15.0,101.0,,8.0,66.0,,,,6.0,3.0,5.0,,,48.0,230.0,15.0,2.0,3.0,20.0,96.0,0.0,5.0,8.0,4.0,2.0,1.0,3.0,0.0,5.0,5.0,48.6,20.0,2.0,,,1.0,47.0,6.0,1.0,332.0,7.0,1.0,20.0,19.0,7.0,25.0,2.0,2.0,265.0,3.0,2.0,28.0,84.0,8.0,,5.0,12.0,12.0,1.0,6.0,2.0,8.0,,5.0,6.0,1.0,,1.0,,,3.0,,1.0,,2.0,2.0,,,,3.0,,,1.0,,,,1.0,,,2.0,,2.0,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,
26,442255,2013-02-09 15:00:00,"bet365 Stadium, Stoke",26737,Away,Reading,Stoke City,1,2,L,0,0,0,0,,44.0,,1.0,1.0,23.0,56.0,4.0,3.0,151.0,4.0,4.0,1.0,2.0,3.0,2.0,61.0,207.0,66.0,1.0,7.0,2.0,65.0,,,,22.0,10.0,27.0,3.0,6.0,31.0,137.0,,,0.0,133.0,5.0,2.0,2.0,63.0,69.0,2.0,40.0,2.0,19.0,1.0,7.0,1.0,178.0,10.0,59.0,539.0,2.0,7.0,,9.0,15.0,9.0,27.0,0.0,3.0,1.0,35.0,80.0,,9493,2.0,73.0,10.0,93.0,,7.0,93.0,,2.0,,17.0,2.0,,,,57.0,206.0,9.0,5.0,,22.0,83.0,0.0,1.0,11.0,3.0,1.0,2.0,4.0,0.0,3.0,2.0,41.9,26.0,1.0,,,3.0,31.0,3.0,2.0,311.0,6.0,,16.0,9.0,2.0,17.0,1.0,1.0,240.0,2.0,5.0,42.0,71.0,14.0,,6.0,12.0,11.0,2.0,4.0,3.0,7.0,,6.0,3.0,1.0,,,1.0,,3.0,1.0,,,,1.0,1.0,,,3.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
27,442266,2013-02-23 15:00:00,"Select Car Leasing Stadium, Reading",22321,Home,Reading,Wigan Athletic,0,3,L,0,2,1,0,,44.0,,3.0,,20.0,20.0,2.0,1.0,131.0,6.0,4.0,,3.0,5.0,,51.0,158.0,51.0,,7.0,1.0,27.0,,1.0,3.0,23.0,16.0,11.0,2.0,3.0,51.0,115.0,1.0,,0.0,90.0,9.0,5.0,,38.0,61.0,1.0,47.0,1.0,21.0,,5.0,1.0,149.0,12.0,41.0,433.0,4.0,3.0,,15.0,12.0,5.0,8.0,1.0,3.0,4.0,17.0,69.0,1.0,9493,3.0,65.0,11.0,87.0,,7.0,51.0,,1.0,,9.0,5.0,3.0,1.0,,47.0,174.0,11.0,4.0,1.0,17.0,75.0,0.0,3.0,9.0,1.0,,3.0,,1.0,5.0,3.0,29.9,9.0,3.0,,,1.0,38.0,2.0,,270.0,11.0,,10.0,21.0,6.0,15.0,1.0,5.0,206.0,3.0,1.0,13.0,40.0,22.0,,4.0,6.0,23.0,3.0,5.0,3.0,5.0,1.0,4.0,2.0,,,1.0,,,4.0,,,,1.0,,,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
