gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,handBall,bigChanceScored,attGoalLowLeft,attGoalLowRight,attemptsIbox,saves,attLfGoal,attGoalLowCentre,goals,accuratePullBack,attCmissRight,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attIboxPost,attGoalHighRight,attMissHighRight,attOboxGoal,ptsGainedLosingPos,winningGoal,midfielderGoals,freekickCross,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,attPostLeft,touchesInOppBox,hitWoodwork,successfulOpenPlayPass,goalAssist,totalKeeperSweeper,openPlayPass,attSetpiece,attRfGoal,attCmissHigh,ownGoals,defenderGoals,goalsOpenplay,attMissHigh,attPenGoal,attAssistSetplay,attCorner,attGoalHighLeft,attObpGoal,attFreekickGoal,attIboxGoal,attCmissHighRight,goalAssistIntentional,possWonAtt3rd,attSvHighCentre,forwardGoals,attIboxOwnGoal,attHdGoal,goalAssistSetplay,goalAssistDeadball,attPenTarget,penaltyWon,goodHighClaim,attHdPost,attHdTarget,errorLeadToShot,attCmissLeft,totalHighClaim,attFreekickMiss,accurateCornersIntobox,errorLeadToGoal,cleanSheet,accurateFreekickCross,sixYardBlock,attSvLowRight,attFreekickPost,contentiousDecision,attOboxPost,attPostHigh,shieldBallOop,attObxLeft,attSvHighLeft,attPostRight,attOneOnOne,attPenMiss,attLgRight,attSvHighRight,foulThrowIn,clearanceOffLine,attObxRight,attLgCentre,goalFastbreak,ptsDroppedWinningPos
11,442100,2012-11-10 17:30:00,"Villa Park, Birmingham",40538,Away,Manchester United,Aston Villa,3,2,W,0,1,0,0,,55.0,,2.0,52.0,37.0,11.0,4.0,2.0,152.0,11.0,5.0,2.0,16.0,5.0,211.0,146.0,46.0,,20.0,4.0,16.0,1.0,,1.0,2.0,42.0,11.0,2.0,27.0,6.0,31.0,29.0,383.0,0.0,218.0,8.0,1.0,,,79.0,122.0,9.0,92.0,2.0,3.0,36.0,,14.0,5.0,136.0,2.0,5.0,215.0,875.0,9.0,6.0,8.0,24.0,,4.0,23.0,1.0,2.0,7.0,27.0,83.0,,55909,5.0,226.0,1.0,20.0,237.0,1.0,4.0,44.0,,3.0,6.0,,8.0,3.0,3.0,69.0,598.0,14.0,3.0,14.0,79.0,,3.0,0.0,,2.0,5.0,1.0,2.0,1.0,0.0,6.0,4.0,69.5,26.0,1.0,,6.0,6.0,59.0,6.0,670.0,6.0,12.0,16.0,9.0,28.0,2.0,475.0,11.0,28.0,13.0,172.0,25.0,1.0,16.0,14.0,2.0,14.0,3.0,10.0,1.0,6.0,,,1.0,1.0,1.0,,,,,3.0,,2.0,1.0,2.0,,1.0,1.0,,1.0,,,,,2.0,,,,,,,2.0,,2.0,,,1.0,1.0,,,,1.0,1.0,,5.0,,,,,3.0,,2.0,,,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,5.0,,,1.0,,1.0,,,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,
12,442114,2012-11-17 17:30:00,"Carrow Road, Norwich",26840,Away,Manchester United,Norwich City,0,1,L,0,0,0,0,2.0,54.0,3.0,3.0,38.0,30.0,5.0,5.0,3.0,170.0,8.0,13.0,3.0,12.0,6.0,174.0,150.0,46.0,1.0,14.0,2.0,11.0,3.0,,3.0,1.0,41.0,11.0,3.0,15.0,12.0,21.0,33.0,300.0,0.0,206.0,7.0,1.0,,2.0,73.0,100.0,9.0,66.0,1.0,1.0,29.0,1.0,7.0,,135.0,1.0,5.0,171.0,776.0,10.0,4.0,13.0,23.0,1.0,3.0,22.0,1.0,2.0,3.0,18.0,83.0,,76359,5.0,212.0,1.0,21.0,228.0,,8.0,30.0,1.0,1.0,6.0,,10.0,6.0,7.0,51.0,504.0,10.0,1.0,12.0,63.0,,1.0,0.0,1.0,,,,1.0,4.0,0.0,7.0,3.0,62.3,16.0,2.0,1.0,6.0,5.0,47.0,12.0,581.0,12.0,10.0,18.0,3.0,24.0,3.0,394.0,6.0,19.0,6.0,157.0,23.0,,11.0,17.0,1.0,7.0,3.0,14.0,,12.0,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,2.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
13,442122,2012-11-24 15:00:00,"Old Trafford, Manchester",75603,Home,Manchester United,Queens Park Rangers,3,1,W,0,0,0,0,2.0,58.0,1.0,5.0,43.0,18.0,3.0,7.0,2.0,175.0,7.0,6.0,2.0,16.0,7.0,201.0,137.0,49.0,,17.0,,4.0,2.0,1.0,2.0,1.0,32.0,16.0,2.0,8.0,9.0,26.0,31.0,342.0,0.0,198.0,6.0,,1.0,1.0,85.0,81.0,11.0,66.0,,3.0,23.0,,9.0,1.0,127.0,3.0,4.0,209.0,832.0,12.0,2.0,14.0,21.0,,3.0,11.0,1.0,6.0,5.0,15.0,78.0,1.0,82205,6.0,246.0,1.0,12.0,249.0,2.0,5.0,38.0,1.0,2.0,4.0,,6.0,7.0,4.0,52.0,581.0,9.0,6.0,4.0,77.0,1.0,,0.0,,1.0,7.0,1.0,1.0,1.0,0.0,5.0,2.0,62.5,15.0,,2.0,4.0,5.0,65.0,9.0,651.0,11.0,11.0,19.0,5.0,28.0,4.0,434.0,7.0,24.0,12.0,148.0,32.0,2.0,7.0,22.0,1.0,14.0,3.0,17.0,2.0,9.0,,,2.0,,1.0,,,,2.0,3.0,2.0,2.0,2.0,,2.0,1.0,,,,,,,1.0,2.0,,,,,,,,,3.0,2.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,3.0,,2.0,1.0,,1.0,,2.0,2.0,1.0,,,1.0,,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,
14,442130,2012-11-28 20:00:00,"Old Trafford, Manchester",75572,Home,Manchester United,West Ham United,1,0,W,1,0,0,0,4.0,63.0,,3.0,40.0,53.0,14.0,7.0,2.0,179.0,6.0,7.0,6.0,19.0,7.0,177.0,161.0,48.0,2.0,22.0,3.0,16.0,1.0,,1.0,1.0,25.0,8.0,5.0,26.0,3.0,40.0,22.0,368.0,0.0,209.0,9.0,1.0,,2.0,77.0,79.0,12.0,94.0,1.0,,22.0,2.0,5.0,6.0,134.0,,8.0,196.0,847.0,17.0,5.0,13.0,34.0,2.0,5.0,32.0,1.0,2.0,7.0,12.0,74.0,1.0,76359,5.0,207.0,,17.0,230.0,1.0,11.0,42.0,2.0,2.0,3.0,,13.0,2.0,7.0,50.0,569.0,9.0,5.0,17.0,71.0,,2.0,0.0,1.0,2.0,5.0,1.0,,3.0,0.0,4.0,1.0,66.1,10.0,1.0,2.0,3.0,6.0,56.0,5.0,646.0,13.0,7.0,14.0,9.0,19.0,3.0,441.0,13.0,38.0,20.0,167.0,26.0,,13.0,12.0,,18.0,3.0,14.0,,5.0,,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,4.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,2.0,,,,2.0,,1.0,,,3.0,,,,,,,,,,,,,1.0,,,,,
15,442146,2012-12-01 17:30:00,"Select Car Leasing Stadium, Reading",24095,Away,Manchester United,Reading,4,3,W,4,3,0,0,1.0,63.0,1.0,,35.0,41.0,2.0,4.0,,184.0,4.0,6.0,2.0,8.0,6.0,168.0,150.0,50.0,,11.0,,13.0,2.0,,1.0,1.0,16.0,14.0,,23.0,1.0,25.0,29.0,250.0,0.0,122.0,12.0,1.0,,,83.0,65.0,4.0,78.0,1.0,2.0,15.0,,6.0,2.0,132.0,3.0,8.0,156.0,778.0,5.0,9.0,20.0,35.0,1.0,4.0,33.0,1.0,1.0,4.0,12.0,64.0,1.0,76359,5.0,263.0,3.0,8.0,286.0,2.0,8.0,49.0,3.0,2.0,5.0,,13.0,4.0,3.0,51.0,509.0,10.0,5.0,16.0,92.0,,,0.0,,1.0,6.0,3.0,3.0,2.0,0.0,3.0,1.0,58.3,9.0,,2.0,5.0,,66.0,1.0,586.0,16.0,11.0,20.0,5.0,16.0,3.0,316.0,6.0,24.0,15.0,92.0,21.0,5.0,19.0,19.0,3.0,10.0,3.0,14.0,5.0,1.0,,,3.0,1.0,2.0,,,1.0,1.0,4.0,1.0,,,,,3.0,,,,,,,1.0,1.0,,,,,,,,,3.0,,,,3.0,,,,3.0,1.0,1.0,,,,,,4.0,,3.0,1.0,,3.0,,,,,,1.0,2.0,,1.0,,1.0,3.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,
16,442153,2012-12-09 13:30:00,"Etihad Stadium, Manchester",47166,Away,Manchester United,Manchester City,3,2,W,2,0,0,0,,59.0,2.0,,28.0,37.0,6.0,3.0,,170.0,3.0,7.0,1.0,6.0,3.0,86.0,167.0,65.0,1.0,10.0,2.0,14.0,,,,,14.0,24.0,,23.0,2.0,15.0,26.0,161.0,0.0,131.0,9.0,6.0,3.0,,45.0,97.0,3.0,44.0,2.0,1.0,12.0,1.0,1.0,2.0,153.0,2.0,12.0,72.0,575.0,3.0,8.0,15.0,24.0,,9.0,21.0,3.0,3.0,3.0,15.0,64.0,,76359,4.0,112.0,1.0,11.0,131.0,,7.0,56.0,2.0,4.0,6.0,,11.0,6.0,1.0,50.0,270.0,12.0,17.0,32.0,87.0,,2.0,0.0,,3.0,8.0,5.0,2.0,3.0,0.0,2.0,2.0,43.8,15.0,2.0,,6.0,2.0,44.0,2.0,372.0,12.0,12.0,13.0,5.0,8.0,2.0,255.0,5.0,14.0,18.0,81.0,18.0,3.0,13.0,28.0,2.0,7.0,3.0,11.0,3.0,2.0,,,1.0,2.0,,,,1.0,1.0,3.0,,,,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,1.0,,2.0,1.0,,,2.0,,,,2.0,1.0,,1.0,,,,1.0,2.0,,2.0,5.0,,3.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
17,442161,2012-12-15 15:00:00,"Old Trafford, Manchester",75582,Home,Manchester United,Sunderland,3,1,W,2,0,0,0,,58.0,2.0,2.0,27.0,42.0,1.0,4.0,1.0,179.0,9.0,6.0,2.0,13.0,5.0,125.0,151.0,44.0,,16.0,,10.0,2.0,,,4.0,26.0,12.0,,25.0,7.0,21.0,22.0,239.0,0.0,159.0,13.0,3.0,2.0,,56.0,92.0,6.0,75.0,,1.0,19.0,,2.0,1.0,134.0,7.0,9.0,141.0,727.0,9.0,4.0,6.0,30.0,,3.0,24.0,0.0,4.0,7.0,19.0,55.0,2.0,76359,10.0,216.0,7.0,16.0,232.0,2.0,8.0,48.0,3.0,2.0,6.0,,9.0,6.0,5.0,47.0,446.0,10.0,2.0,19.0,76.0,,3.0,0.0,,3.0,9.0,4.0,1.0,1.0,0.0,6.0,5.0,61.5,16.0,4.0,3.0,6.0,2.0,51.0,9.0,520.0,5.0,11.0,16.0,9.0,21.0,8.0,314.0,7.0,21.0,13.0,119.0,18.0,5.0,14.0,15.0,1.0,12.0,3.0,18.0,5.0,9.0,,,3.0,1.0,1.0,,,2.0,,3.0,,,,,,2.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,2.0,,,,1.0,,,,3.0,3.0,,2.0,,1.0,,,3.0,,2.0,2.0,1.0,2.0,,,,,,,1.0,,1.0,1.0,2.0,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
18,442174,2012-12-23 13:30:00,"Swansea.com Stadium, Swansea",20650,Away,Manchester United,Swansea City,1,1,D,1,1,0,0,1.0,55.0,3.0,6.0,33.0,18.0,7.0,5.0,4.0,202.0,5.0,5.0,3.0,16.0,7.0,147.0,149.0,56.0,2.0,20.0,2.0,16.0,4.0,1.0,2.0,1.0,27.0,10.0,2.0,10.0,6.0,15.0,33.0,317.0,0.0,209.0,16.0,2.0,1.0,,98.0,85.0,12.0,89.0,,2.0,21.0,2.0,7.0,3.0,141.0,1.0,8.0,136.0,752.0,13.0,5.0,9.0,19.0,,5.0,13.0,4.0,1.0,4.0,19.0,90.0,1.0,76359,8.0,175.0,1.0,14.0,188.0,4.0,8.0,50.0,3.0,,7.0,,7.0,6.0,4.0,51.0,487.0,11.0,2.0,15.0,92.0,1.0,,0.0,1.0,2.0,3.0,5.0,1.0,2.0,0.0,2.0,2.0,59.7,16.0,,1.0,7.0,8.0,64.0,6.0,574.0,5.0,11.0,19.0,5.0,32.0,2.0,413.0,13.0,15.0,26.0,163.0,23.0,1.0,7.0,14.0,1.0,14.0,3.0,10.0,1.0,6.0,,,,1.0,,,,,,1.0,2.0,1.0,3.0,,,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,1.0,,2.0,,,,,1.0,,1.0,4.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,3.0,,,,1.0,3.0,,,,,1.0,,,,,,,1.0,,,,,,
19,442183,2012-12-26 15:00:00,"Old Trafford, Manchester",75596,Home,Manchester United,Newcastle United,4,3,W,1,2,0,0,1.0,68.0,4.0,2.0,44.0,42.0,3.0,6.0,1.0,160.0,5.0,4.0,4.0,9.0,7.0,133.0,160.0,51.0,1.0,15.0,1.0,11.0,3.0,,3.0,3.0,30.0,8.0,,20.0,2.0,20.0,33.0,212.0,0.0,148.0,13.0,1.0,1.0,,60.0,72.0,5.0,51.0,,2.0,28.0,1.0,5.0,1.0,138.0,6.0,7.0,123.0,666.0,7.0,5.0,17.0,21.0,,7.0,22.0,3.0,4.0,4.0,12.0,67.0,3.0,94217,9.0,184.0,5.0,19.0,191.0,1.0,6.0,54.0,9.0,3.0,9.0,,9.0,9.0,4.0,60.0,391.0,17.0,11.0,14.0,73.0,,3.0,0.0,,2.0,2.0,1.0,3.0,3.0,0.0,5.0,3.0,60.7,11.0,2.0,,9.0,3.0,48.0,2.0,467.0,13.0,13.0,18.0,5.0,33.0,4.0,306.0,6.0,19.0,20.0,104.0,30.0,1.0,8.0,10.0,3.0,11.0,2.0,11.0,1.0,2.0,,1.0,3.0,,3.0,,,2.0,1.0,4.0,,2.0,1.0,,2.0,2.0,,,,1.0,,,,4.0,,,,,,,,,2.0,2.0,,2.0,2.0,,1.0,2.0,2.0,,,,,,,,3.0,,2.0,7.0,,2.0,1.0,,,,,,2.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,
20,442193,2012-12-29 15:00:00,"Old Trafford, Manchester",75595,Home,Manchester United,West Bromwich Albion,2,0,W,1,0,0,0,3.0,52.0,1.0,5.0,28.0,49.0,2.0,4.0,3.0,136.0,7.0,6.0,,13.0,7.0,135.0,158.0,53.0,,17.0,1.0,6.0,6.0,,2.0,1.0,31.0,12.0,,26.0,8.0,19.0,21.0,226.0,0.0,141.0,10.0,,,1.0,72.0,106.0,10.0,79.0,1.0,1.0,23.0,,2.0,,135.0,1.0,4.0,142.0,719.0,9.0,6.0,18.0,29.0,,6.0,30.0,1.0,9.0,3.0,27.0,45.0,,83090,10.0,203.0,1.0,21.0,218.0,,7.0,35.0,4.0,1.0,2.0,,13.0,10.0,2.0,53.0,422.0,8.0,5.0,29.0,77.0,,,0.0,,2.0,6.0,,,1.0,0.0,3.0,4.0,58.0,22.0,4.0,2.0,2.0,6.0,38.0,9.0,492.0,14.0,7.0,9.0,4.0,12.0,4.0,305.0,9.0,19.0,22.0,114.0,17.0,1.0,17.0,17.0,,9.0,2.0,14.0,1.0,9.0,,1.0,,,,,,1.0,,2.0,,,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,3.0,,1.0,,,1.0,,,3.0,1.0,1.0,,,1.0,,,,,,,,,,,4.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,
21,442208,2013-01-01 15:00:00,"DW Stadium, Wigan",20342,Away,Manchester United,Wigan Athletic,4,0,W,2,0,0,0,1.0,71.0,,2.0,24.0,17.0,4.0,3.0,2.0,151.0,5.0,12.0,3.0,12.0,7.0,114.0,140.0,56.0,1.0,15.0,2.0,5.0,2.0,1.0,2.0,,24.0,16.0,1.0,11.0,5.0,12.0,20.0,198.0,0.0,138.0,6.0,,1.0,,61.0,85.0,8.0,63.0,,1.0,19.0,1.0,10.0,1.0,134.0,3.0,1.0,121.0,627.0,10.0,7.0,16.0,33.0,,5.0,8.0,1.0,3.0,4.0,19.0,58.0,,83090,7.0,182.0,1.0,8.0,201.0,,8.0,37.0,,4.0,4.0,,5.0,7.0,2.0,44.0,375.0,13.0,7.0,24.0,75.0,1.0,,0.0,,3.0,1.0,,,4.0,0.0,4.0,,47.2,16.0,,1.0,4.0,4.0,40.0,6.0,449.0,16.0,17.0,12.0,4.0,19.0,3.0,272.0,12.0,12.0,10.0,106.0,23.0,,5.0,21.0,,9.0,3.0,15.0,,6.0,,1.0,3.0,1.0,2.0,,,,,4.0,,,2.0,,,2.0,,,,,,,,1.0,,1.0,,,,,,,2.0,,,2.0,4.0,2.0,,,2.0,3.0,,,,,,,4.0,,2.0,8.0,,4.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
22,442213,2013-01-13 13:30:00,"Old Trafford, Manchester",75501,Home,Manchester United,Liverpool,2,1,W,1,0,0,0,,55.0,1.0,3.0,21.0,28.0,5.0,9.0,3.0,137.0,4.0,8.0,5.0,11.0,5.0,97.0,141.0,62.0,2.0,15.0,2.0,8.0,2.0,,1.0,1.0,15.0,15.0,1.0,16.0,3.0,25.0,12.0,199.0,0.0,136.0,14.0,1.0,,,54.0,64.0,8.0,60.0,1.0,1.0,12.0,2.0,5.0,2.0,129.0,6.0,7.0,110.0,615.0,8.0,8.0,15.0,28.0,1.0,8.0,18.0,1.0,3.0,3.0,22.0,64.0,,83090,6.0,137.0,4.0,5.0,148.0,1.0,13.0,56.0,,1.0,2.0,,7.0,6.0,10.0,42.0,332.0,16.0,4.0,26.0,77.0,,,0.0,,3.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,46.0,20.0,,2.0,2.0,5.0,46.0,3.0,404.0,13.0,21.0,6.0,5.0,18.0,3.0,271.0,4.0,21.0,13.0,97.0,15.0,1.0,11.0,25.0,1.0,11.0,3.0,17.0,1.0,3.0,,,2.0,,,,,1.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,2.0,,,2.0,,,,1.0,1.0,2.0,,1.0,,,,,2.0,,1.0,6.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,
23,442225,2013-01-20 16:00:00,"White Hart Lane, London",35956,Away,Manchester United,Tottenham Hotspur,1,1,D,1,0,0,0,,60.0,4.0,1.0,20.0,40.0,1.0,1.0,,155.0,3.0,7.0,1.0,5.0,2.0,96.0,185.0,47.0,,5.0,,14.0,1.0,,,2.0,16.0,13.0,,19.0,3.0,12.0,13.0,162.0,0.0,126.0,14.0,4.0,,,41.0,85.0,3.0,63.0,,,13.0,,3.0,1.0,164.0,2.0,8.0,76.0,620.0,4.0,5.0,12.0,28.0,,8.0,27.0,4.0,11.0,2.0,26.0,71.0,,83090,2.0,135.0,1.0,10.0,149.0,1.0,14.0,58.0,8.0,7.0,1.0,,13.0,17.0,6.0,57.0,294.0,7.0,11.0,37.0,88.0,,2.0,0.0,,2.0,9.0,3.0,1.0,1.0,0.0,3.0,2.0,49.0,20.0,,,1.0,1.0,34.0,4.0,390.0,11.0,16.0,6.0,2.0,17.0,1.0,257.0,2.0,12.0,17.0,75.0,21.0,8.0,13.0,16.0,1.0,5.0,2.0,10.0,8.0,4.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,3.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
24,442231,2013-01-30 20:00:00,"Old Trafford, Manchester",75600,Home,Manchester United,Southampton,2,1,W,2,1,0,0,1.0,62.0,3.0,,30.0,53.0,3.0,5.0,1.0,144.0,6.0,9.0,3.0,10.0,5.0,97.0,183.0,55.0,,11.0,1.0,10.0,3.0,1.0,2.0,1.0,17.0,12.0,,23.0,4.0,7.0,37.0,149.0,0.0,98.0,10.0,2.0,1.0,1.0,50.0,46.0,6.0,51.0,,,13.0,,1.0,2.0,153.0,4.0,5.0,106.0,617.0,7.0,10.0,19.0,25.0,3.0,9.0,34.0,2.0,7.0,4.0,22.0,50.0,2.0,83090,1.0,157.0,2.0,9.0,186.0,,11.0,47.0,5.0,3.0,2.0,,6.0,15.0,6.0,47.0,300.0,10.0,5.0,28.0,76.0,1.0,,0.0,,1.0,8.0,,1.0,3.0,0.0,5.0,2.0,42.7,15.0,1.0,3.0,2.0,1.0,37.0,4.0,398.0,15.0,12.0,21.0,5.0,11.0,2.0,229.0,4.0,5.0,19.0,63.0,26.0,4.0,16.0,17.0,1.0,9.0,3.0,19.0,4.0,4.0,,,2.0,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,,,,,1.0,,1.0,,2.0,2.0,,1.0,2.0,,,,1.0,,,1.0,,,,,2.0,,2.0,5.0,,2.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,
25,442241,2013-02-02 17:30:00,"Craven Cottage, London",25670,Away,Manchester United,Fulham,1,0,W,0,0,0,0,3.0,64.0,3.0,1.0,41.0,59.0,6.0,7.0,2.0,152.0,3.0,3.0,5.0,10.0,7.0,129.0,171.0,50.0,1.0,16.0,3.0,12.0,4.0,2.0,,1.0,29.0,17.0,2.0,28.0,8.0,14.0,25.0,214.0,0.0,148.0,15.0,4.0,2.0,2.0,65.0,87.0,7.0,43.0,1.0,1.0,21.0,1.0,7.0,1.0,140.0,1.0,7.0,113.0,675.0,9.0,9.0,11.0,29.0,,6.0,42.0,1.0,6.0,3.0,23.0,68.0,,83090,5.0,157.0,5.0,10.0,168.0,1.0,6.0,53.0,1.0,7.0,7.0,,10.0,9.0,5.0,57.0,368.0,8.0,5.0,20.0,62.0,2.0,,0.0,1.0,1.0,5.0,3.0,,4.0,0.0,3.0,1.0,55.2,19.0,,1.0,8.0,4.0,44.0,8.0,437.0,10.0,16.0,16.0,5.0,19.0,2.0,298.0,8.0,12.0,19.0,106.0,22.0,2.0,21.0,20.0,,10.0,3.0,8.0,2.0,8.0,,,,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,,,,,,,4.0,,,,,,,2.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,4.0,1.0,1.0,,,,,,,2.0,,1.0,,1.0,2.0,,,,1.0,1.0,,3.0,,,,1.0,,,,1.0,1.0,,,,,2.0,,,,
26,442252,2013-02-10 16:00:00,"Old Trafford, Manchester",75525,Home,Manchester United,Everton,2,0,W,2,0,0,0,1.0,63.0,2.0,,31.0,42.0,4.0,4.0,2.0,148.0,2.0,7.0,3.0,7.0,6.0,116.0,161.0,45.0,,11.0,1.0,13.0,3.0,,2.0,,24.0,16.0,1.0,24.0,6.0,12.0,31.0,185.0,0.0,133.0,13.0,2.0,1.0,,53.0,96.0,3.0,61.0,3.0,2.0,18.0,,3.0,2.0,143.0,4.0,6.0,109.0,659.0,5.0,8.0,27.0,32.0,1.0,9.0,24.0,0.0,6.0,4.0,17.0,49.0,2.0,76359,3.0,177.0,4.0,12.0,195.0,,5.0,49.0,3.0,4.0,1.0,,12.0,5.0,2.0,51.0,360.0,9.0,2.0,28.0,66.0,,2.0,0.0,,1.0,6.0,,,3.0,0.0,1.0,1.0,47.0,13.0,,,1.0,1.0,34.0,7.0,434.0,23.0,17.0,19.0,4.0,16.0,1.0,263.0,6.0,12.0,9.0,95.0,24.0,5.0,14.0,20.0,,7.0,2.0,12.0,5.0,7.0,,1.0,2.0,,1.0,,,,1.0,2.0,,1.0,,1.0,1.0,2.0,1.0,,,,,,1.0,3.0,,,,,,,1.0,,2.0,1.0,,,2.0,,,,2.0,,,,,,,,2.0,,2.0,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,
