gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goals,attCmissRight,attOboxBlocked,attObxLeft,goalAssistOpenplay,attGoalHighRight,cleanSheet,goodHighClaim,interceptionsInBox,contentiousDecision,goalAssist,errorLeadToShot,attSetpiece,attRfGoal,totalOffside,goalsOpenplay,attSvLowRight,punches,attIboxGoal,accurateFlickOn,goalAssistIntentional,totalHighClaim,forwardGoals,effectiveBlockedCross,blockedCross,attGoalLowRight,goalFastbreak,penaltyWon,midfielderGoals,attHdTarget,attPenGoal,goalsConcededObox,penaltySave,accurateKeeperSweeper,attSvLowLeft,accurateFreekickCross,shieldBallOop,errorLeadToGoal,postScoringAtt,attIboxPost,hitWoodwork,totalPullBack,attMissHigh,attPostHigh,attFreekickMiss,attLgCentre,attCmissHigh,accuratePullBack,attGoalHighCentre,attHdGoal,defenderGoals,attGoalHighLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,foulThrowIn,ownGoals,attIboxOwnGoal,attSvHighRight,attOboxGoal,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attLgLeft,attFreekickPost,attOboxPost,attObxRight,attPostRight,attObpGoal,attFreekickGoal,attObxdLeft
11,442108,2012-11-10 15:00:00,"DW Stadium, Wigan",17812,Home,Wigan Athletic,West Bromwich Albion,1,2,L,1,2,0,0,2.0,,45.0,,58.0,19.0,6.0,5.0,3.0,166.0,11.0,3.0,3.0,8.0,4.0,152.0,133.0,48.0,1.0,14.0,15.0,,,,2.0,1.0,44.0,16.0,3.0,12.0,5.0,13.0,40.0,,306.0,1.0,0.0,157.0,12.0,1.0,,,1.0,98.0,83.0,4.0,83.0,1.0,39.0,1.0,15.0,3.0,126.0,1.0,8.0,152.0,749.0,1.0,7.0,11.0,16.0,16.0,1.0,3.0,8.0,2.0,1.0,1.0,4.0,20.0,65.0,,9110,2.0,200.0,1.0,23.0,,,211.0,7.0,51.0,,4.0,1.0,8.0,2.0,6.0,67.0,495.0,13.0,6.0,1.0,9.0,80.0,,,0.0,,1.0,8.0,2.0,2.0,,0.0,8.0,2.0,65.9,18.0,2.0,3.0,2.0,,5.0,2.0,,67.0,5.0,,553.0,,13.0,13.0,31.0,8.0,27.0,3.0,5.0,386.0,7.0,12.0,10.0,127.0,21.0,6.0,21.0,2.0,12.0,3.0,11.0,5.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,6.0,,,1.0,,,1.0,,,,,,,,2.0,,1.0,,,,,,2.0,4.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12,442111,2012-11-17 15:00:00,"Anfield, Liverpool",44913,Away,Wigan Athletic,Liverpool,0,3,L,0,0,0,0,,,38.0,,30.0,25.0,7.0,5.0,2.0,157.0,1.0,3.0,3.0,7.0,2.0,101.0,140.0,44.0,2.0,10.0,8.0,,,,1.0,1.0,12.0,16.0,2.0,17.0,3.0,16.0,24.0,,184.0,,0.0,98.0,11.0,2.0,,,1.0,72.0,58.0,2.0,69.0,2.0,9.0,2.0,2.0,5.0,132.0,,11.0,120.0,639.0,,6.0,7.0,22.0,19.0,3.0,8.0,9.0,,3.0,6.0,5.0,20.0,42.0,,92372,1.0,189.0,,6.0,,,208.0,16.0,54.0,,3.0,,11.0,11.0,11.0,41.0,372.0,9.0,12.0,1.0,18.0,75.0,,,0.0,,4.0,10.0,2.0,3.0,,0.0,1.0,,51.1,19.0,,,1.0,,3.0,1.0,,43.0,5.0,,447.0,,13.0,17.0,14.0,7.0,8.0,,2.0,251.0,5.0,14.0,12.0,68.0,14.0,8.0,20.0,3.0,6.0,3.0,9.0,5.0,,,1.0,,,1.0,,,,,1.0,1.0,2.0,,,,,2.0,,,1.0,,2.0,,1.0,,2.0,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,442128,2012-11-24 15:00:00,"DW Stadium, Wigan",15436,Home,Wigan Athletic,Reading,3,2,W,0,1,0,0,1.0,3.0,45.0,3.0,45.0,36.0,1.0,8.0,3.0,161.0,6.0,7.0,1.0,14.0,9.0,116.0,162.0,51.0,,18.0,18.0,6.0,2.0,,3.0,1.0,34.0,13.0,,18.0,5.0,9.0,30.0,,251.0,,0.0,151.0,16.0,3.0,4.0,,,106.0,58.0,9.0,66.0,2.0,29.0,,11.0,1.0,144.0,4.0,13.0,141.0,718.0,,12.0,7.0,13.0,16.0,,7.0,17.0,,2.0,6.0,5.0,34.0,61.0,4.0,9110,11.0,163.0,3.0,18.0,,,184.0,12.0,54.0,4.0,4.0,,12.0,5.0,7.0,61.0,408.0,10.0,6.0,,20.0,77.0,2.0,1.0,0.0,,1.0,5.0,2.0,2.0,,0.0,6.0,2.0,66.7,32.0,1.0,1.0,4.0,,4.0,3.0,,53.0,9.0,,484.0,,11.0,7.0,16.0,6.0,21.0,,5.0,334.0,8.0,9.0,14.0,116.0,21.0,7.0,20.0,2.0,17.0,3.0,15.0,9.0,2.0,,2.0,3.0,,,,2.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,,2.0,2.0,2.0,1.0,,3.0,,,,,,1.0,,1.0,1.0,,,,2.0,3.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
14,442136,2012-11-28 20:00:00,"DW Stadium, Wigan",19623,Home,Wigan Athletic,Manchester City,0,2,L,0,0,0,0,,,52.0,2.0,33.0,18.0,2.0,4.0,1.0,116.0,4.0,12.0,3.0,7.0,1.0,121.0,126.0,50.0,1.0,9.0,9.0,1.0,2.0,2.0,1.0,1.0,28.0,15.0,,13.0,2.0,14.0,24.0,,187.0,,0.0,85.0,13.0,,2.0,,1.0,51.0,64.0,4.0,61.0,2.0,26.0,1.0,11.0,1.0,121.0,1.0,8.0,113.0,593.0,,7.0,7.0,17.0,23.0,,4.0,4.0,1.0,1.0,1.0,3.0,15.0,44.0,1.0,92803,2.0,170.0,1.0,14.0,,,189.0,10.0,49.0,2.0,2.0,,9.0,9.0,5.0,44.0,353.0,12.0,6.0,,14.0,63.0,2.0,,0.0,,2.0,6.0,2.0,2.0,,0.0,4.0,3.0,45.6,14.0,3.0,2.0,1.0,,2.0,3.0,,44.0,6.0,,411.0,,14.0,10.0,13.0,5.0,16.0,,4.0,250.0,2.0,9.0,6.0,64.0,23.0,3.0,20.0,1.0,8.0,2.0,23.0,6.0,,,2.0,,2.0,1.0,,,,,1.0,4.0,,,1.0,,,1.0,,,2.0,,3.0,,1.0,,3.0,3.0,,,,,,,1.0,,1.0,,,,1.0,,,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,442143,2012-12-03 20:00:00,"St. James' Park, Newcastle",43858,Away,Wigan Athletic,Newcastle United,0,3,L,0,2,1,0,1.0,,47.0,2.0,35.0,15.0,7.0,3.0,1.0,136.0,4.0,12.0,2.0,8.0,1.0,139.0,132.0,54.0,,10.0,9.0,,,,,1.0,21.0,13.0,1.0,4.0,3.0,5.0,15.0,,202.0,1.0,0.0,81.0,15.0,3.0,,,1.0,67.0,67.0,4.0,70.0,2.0,19.0,,6.0,4.0,121.0,,6.0,112.0,631.0,,6.0,7.0,19.0,19.0,,6.0,12.0,,3.0,1.0,4.0,13.0,44.0,,76227,1.0,191.0,,12.0,,1.0,215.0,15.0,48.0,,5.0,,14.0,12.0,11.0,51.0,389.0,13.0,9.0,2.0,26.0,74.0,,,0.0,,,4.0,3.0,3.0,,1.0,3.0,,49.8,12.0,,3.0,1.0,,5.0,4.0,,46.0,4.0,1.0,457.0,1.0,13.0,13.0,9.0,5.0,7.0,2.0,1.0,263.0,6.0,4.0,12.0,60.0,16.0,3.0,17.0,2.0,8.0,3.0,15.0,4.0,,,2.0,,,2.0,,,,,3.0,1.0,2.0,,,,,1.0,,,,,3.0,,3.0,,3.0,3.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,442158,2012-12-08 15:00:00,"DW Stadium, Wigan",17163,Home,Wigan Athletic,Queens Park Rangers,2,2,D,1,1,0,0,,3.0,48.0,1.0,24.0,18.0,6.0,5.0,3.0,152.0,5.0,12.0,4.0,11.0,8.0,101.0,158.0,64.0,2.0,15.0,14.0,4.0,1.0,1.0,1.0,1.0,37.0,20.0,2.0,11.0,8.0,7.0,17.0,1.0,224.0,1.0,0.0,136.0,8.0,1.0,1.0,,1.0,68.0,61.0,8.0,49.0,1.0,29.0,2.0,9.0,4.0,151.0,1.0,6.0,107.0,641.0,,9.0,10.0,26.0,15.0,1.0,6.0,6.0,,0.0,,3.0,24.0,60.0,,92803,4.0,119.0,2.0,19.0,1.0,,134.0,9.0,54.0,,5.0,,15.0,2.0,6.0,36.0,338.0,11.0,7.0,1.0,25.0,63.0,1.0,,0.0,1.0,,4.0,1.0,2.0,,0.0,4.0,,56.7,23.0,,1.0,1.0,2.0,5.0,2.0,,33.0,11.0,,409.0,,22.0,14.0,8.0,5.0,21.0,1.0,,312.0,10.0,6.0,10.0,103.0,27.0,4.0,31.0,2.0,9.0,2.0,23.0,11.0,,1.0,1.0,2.0,,1.0,,1.0,,,2.0,5.0,,1.0,1.0,,2.0,4.0,1.0,2.0,1.0,2.0,6.0,1.0,2.0,,3.0,3.0,1.0,,,2.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,442163,2012-12-15 15:00:00,"Carrow Road, Norwich",26677,Away,Wigan Athletic,Norwich City,1,2,L,0,1,0,0,,2.0,52.0,2.0,29.0,25.0,4.0,6.0,,143.0,6.0,9.0,1.0,12.0,4.0,121.0,161.0,41.0,1.0,14.0,10.0,2.0,,1.0,2.0,,20.0,15.0,1.0,13.0,3.0,11.0,15.0,,193.0,,0.0,81.0,4.0,3.0,,,,78.0,40.0,9.0,61.0,2.0,17.0,1.0,5.0,1.0,149.0,,10.0,128.0,668.0,,9.0,6.0,30.0,22.0,,4.0,15.0,3.0,1.0,3.0,3.0,25.0,43.0,1.0,9110,5.0,178.0,,12.0,,,208.0,9.0,39.0,1.0,5.0,,14.0,7.0,6.0,43.0,365.0,7.0,5.0,2.0,20.0,74.0,,,0.0,,,7.0,3.0,2.0,,0.0,4.0,2.0,51.8,21.0,1.0,1.0,1.0,,5.0,6.0,,47.0,3.0,,453.0,,22.0,12.0,6.0,4.0,12.0,2.0,3.0,265.0,5.0,9.0,6.0,54.0,21.0,8.0,19.0,2.0,9.0,3.0,17.0,3.0,,,3.0,1.0,1.0,4.0,,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,,2.0,,4.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,3.0,1.0,,,1.0,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
18,442178,2012-12-22 12:45:00,"DW Stadium, Wigan",21754,Home,Wigan Athletic,Arsenal,0,1,L,0,0,0,0,3.0,1.0,57.0,,37.0,11.0,7.0,10.0,2.0,137.0,3.0,10.0,,11.0,3.0,147.0,134.0,51.0,,14.0,10.0,1.0,2.0,,1.0,2.0,31.0,16.0,2.0,5.0,3.0,11.0,17.0,,236.0,,0.0,89.0,17.0,1.0,2.0,,,93.0,57.0,3.0,71.0,4.0,28.0,,9.0,4.0,134.0,1.0,6.0,138.0,687.0,,11.0,6.0,17.0,26.0,1.0,4.0,6.0,1.0,1.0,5.0,8.0,17.0,51.0,,9110,4.0,195.0,1.0,19.0,,1.0,214.0,6.0,49.0,,2.0,,12.0,5.0,5.0,53.0,428.0,8.0,9.0,,18.0,67.0,2.0,,0.0,,3.0,4.0,2.0,1.0,,0.0,3.0,1.0,50.4,12.0,1.0,5.0,2.0,,2.0,2.0,,46.0,4.0,1.0,493.0,1.0,16.0,8.0,10.0,9.0,29.0,,5.0,310.0,3.0,10.0,8.0,70.0,24.0,3.0,25.0,1.0,11.0,2.0,18.0,4.0,,,1.0,,1.0,2.0,,,,,,6.0,2.0,,,,,5.0,,2.0,1.0,,4.0,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,6.0,3.0,8.0,19.0,413.0,477.0,3.0,1.0,,,,,,,
19,442181,2012-12-26 15:00:00,"Goodison Park, Liverpool",38749,Away,Wigan Athletic,Everton,1,2,L,0,0,0,0,1.0,1.0,58.0,1.0,23.0,35.0,8.0,2.0,1.0,168.0,5.0,3.0,1.0,7.0,3.0,115.0,161.0,36.0,1.0,11.0,23.0,,,,,,16.0,9.0,2.0,21.0,2.0,17.0,28.0,,195.0,,0.0,120.0,12.0,,,1.0,,74.0,44.0,5.0,60.0,1.0,14.0,1.0,5.0,1.0,147.0,,9.0,122.0,662.0,,6.0,3.0,21.0,30.0,,3.0,18.0,1.0,3.0,7.0,2.0,20.0,56.0,,9110,2.0,187.0,,9.0,1.0,,209.0,9.0,62.0,3.0,5.0,,13.0,8.0,5.0,43.0,377.0,10.0,6.0,1.0,16.0,87.0,,,0.0,1.0,2.0,11.0,1.0,2.0,,0.0,4.0,1.0,52.7,14.0,1.0,3.0,,,5.0,6.0,,48.0,2.0,,465.0,,20.0,12.0,11.0,2.0,21.0,1.0,1.0,272.0,8.0,11.0,12.0,74.0,17.0,10.0,11.0,1.0,8.0,2.0,13.0,2.0,1.0,1.0,,1.0,,5.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,2.0,2.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,442190,2012-12-29 15:00:00,"Villa Park, Birmingham",33374,Away,Wigan Athletic,Aston Villa,3,0,W,1,0,0,0,1.0,1.0,56.0,,39.0,28.0,3.0,1.0,1.0,177.0,3.0,11.0,1.0,8.0,5.0,133.0,158.0,49.0,1.0,9.0,15.0,1.0,1.0,2.0,1.0,,13.0,14.0,1.0,16.0,3.0,25.0,28.0,1.0,210.0,1.0,0.0,79.0,9.0,1.0,5.0,,,64.0,73.0,5.0,84.0,,10.0,1.0,3.0,1.0,146.0,3.0,5.0,124.0,692.0,,5.0,8.0,14.0,22.0,,12.0,12.0,2.0,2.0,4.0,3.0,15.0,51.0,2.0,9110,1.0,217.0,1.0,7.0,,,256.0,11.0,55.0,3.0,4.0,,14.0,7.0,7.0,68.0,424.0,15.0,16.0,,34.0,93.0,1.0,,0.0,,1.0,4.0,,,,0.0,2.0,1.0,54.1,11.0,,1.0,2.0,,4.0,1.0,,57.0,3.0,,518.0,,11.0,10.0,15.0,3.0,12.0,1.0,2.0,275.0,7.0,22.0,7.0,51.0,26.0,8.0,16.0,,7.0,3.0,17.0,3.0,2.0,1.0,2.0,3.0,,1.0,,2.0,,1.0,2.0,1.0,2.0,3.0,,,2.0,2.0,2.0,1.0,,3.0,4.0,3.0,2.0,1.0,4.0,4.0,1.0,,,,,,,,2.0,,,,,,,,1.0,2.0,,,,,,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
21,442208,2013-01-01 15:00:00,"DW Stadium, Wigan",20342,Home,Wigan Athletic,Manchester United,0,4,L,0,2,0,0,,,71.0,1.0,24.0,19.0,7.0,5.0,,179.0,2.0,7.0,1.0,6.0,,106.0,143.0,37.0,1.0,8.0,10.0,,,1.0,,,9.0,15.0,,12.0,,13.0,35.0,,247.0,1.0,0.0,152.0,13.0,2.0,1.0,,,56.0,63.0,4.0,92.0,2.0,9.0,1.0,2.0,4.0,136.0,,11.0,140.0,687.0,,6.0,3.0,10.0,28.0,1.0,6.0,12.0,,1.0,4.0,2.0,21.0,62.0,,9110,,187.0,,7.0,,,205.0,9.0,56.0,,8.0,,13.0,4.0,2.0,43.0,432.0,5.0,12.0,,19.0,91.0,,,0.0,,,6.0,2.0,4.0,,0.0,2.0,,52.8,20.0,,3.0,,,8.0,4.0,,56.0,1.0,,517.0,,9.0,16.0,15.0,4.0,16.0,,,321.0,3.0,13.0,5.0,107.0,31.0,7.0,20.0,4.0,7.0,3.0,12.0,1.0,,,1.0,,1.0,3.0,,,,,2.0,,1.0,,2.0,,,2.0,,,,,2.0,,3.0,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,442212,2013-01-12 15:00:00,"Craven Cottage, London",25442,Away,Wigan Athletic,Fulham,1,1,D,0,1,0,0,2.0,2.0,56.0,1.0,35.0,28.0,10.0,5.0,4.0,167.0,4.0,8.0,1.0,14.0,7.0,114.0,142.0,48.0,,16.0,9.0,3.0,1.0,3.0,2.0,2.0,23.0,18.0,3.0,21.0,7.0,14.0,34.0,,197.0,1.0,0.0,123.0,17.0,,2.0,,1.0,82.0,62.0,8.0,74.0,2.0,16.0,,5.0,5.0,135.0,2.0,4.0,111.0,643.0,,12.0,13.0,15.0,22.0,1.0,8.0,9.0,,1.0,4.0,6.0,13.0,63.0,1.0,9110,1.0,183.0,2.0,10.0,,,203.0,11.0,47.0,1.0,3.0,,7.0,8.0,9.0,54.0,376.0,9.0,10.0,1.0,17.0,79.0,1.0,2.0,0.0,,3.0,6.0,1.0,1.0,,0.0,3.0,,50.8,12.0,,5.0,,1.0,3.0,2.0,1.0,46.0,8.0,,466.0,,8.0,6.0,16.0,7.0,13.0,1.0,2.0,286.0,11.0,14.0,8.0,82.0,25.0,6.0,23.0,,13.0,2.0,15.0,8.0,,,,1.0,,1.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,6.0,,1.0,1.0,3.0,3.0,,,,,,,1.0,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
23,442228,2013-01-19 15:00:00,"DW Stadium, Wigan",19219,Home,Wigan Athletic,Sunderland,2,3,L,1,3,0,0,1.0,3.0,49.0,2.0,37.0,5.0,11.0,11.0,1.0,178.0,8.0,8.0,6.0,16.0,6.0,173.0,156.0,43.0,2.0,23.0,12.0,2.0,,3.0,2.0,5.0,31.0,9.0,3.0,4.0,5.0,24.0,36.0,,348.0,1.0,0.0,182.0,11.0,,,,3.0,116.0,93.0,7.0,83.0,1.0,26.0,2.0,10.0,5.0,155.0,1.0,9.0,189.0,794.0,,12.0,5.0,12.0,19.0,1.0,5.0,2.0,1.0,3.0,,9.0,27.0,72.0,1.0,9110,4.0,188.0,,13.0,,1.0,209.0,6.0,45.0,2.0,2.0,,12.0,2.0,5.0,55.0,528.0,14.0,5.0,3.0,21.0,83.0,,4.0,0.0,,4.0,,1.0,3.0,,0.0,6.0,6.0,70.4,27.0,4.0,2.0,1.0,,2.0,5.0,,53.0,9.0,1.0,623.0,1.0,6.0,9.0,14.0,12.0,24.0,2.0,6.0,445.0,6.0,22.0,9.0,143.0,25.0,2.0,12.0,3.0,16.0,3.0,17.0,9.0,1.0,,1.0,2.0,,3.0,,1.0,,,,1.0,,1.0,,1.0,,2.0,1.0,3.0,,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,1.0,,3.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,
24,442235,2013-01-29 19:45:00,"bet365 Stadium, Stoke",24421,Away,Wigan Athletic,Stoke City,2,2,D,0,1,0,0,,1.0,54.0,2.0,36.0,19.0,5.0,4.0,3.0,178.0,5.0,15.0,1.0,11.0,6.0,133.0,159.0,53.0,,13.0,16.0,,,,1.0,1.0,20.0,6.0,4.0,6.0,1.0,16.0,27.0,,260.0,,0.0,139.0,10.0,1.0,,,1.0,116.0,53.0,8.0,77.0,1.0,19.0,,5.0,2.0,146.0,2.0,3.0,142.0,713.0,,9.0,6.0,11.0,24.0,3.0,3.0,7.0,1.0,1.0,2.0,3.0,27.0,56.0,1.0,9110,4.0,181.0,2.0,13.0,,,206.0,14.0,42.0,3.0,6.0,,14.0,7.0,14.0,59.0,436.0,12.0,3.0,,18.0,78.0,,,0.0,,2.0,,,2.0,,0.0,5.0,,63.1,23.0,,1.0,3.0,,6.0,2.0,,49.0,1.0,,530.0,,8.0,8.0,14.0,5.0,20.0,,3.0,344.0,9.0,13.0,18.0,102.0,22.0,2.0,8.0,2.0,13.0,2.0,20.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,,,2.0,1.0,,2.0,,,2.0,4.0,2.0,,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
25,442248,2013-02-02 15:00:00,"DW Stadium, Wigan",18598,Home,Wigan Athletic,Southampton,2,2,D,1,0,0,0,,,63.0,2.0,30.0,31.0,1.0,1.0,1.0,167.0,5.0,5.0,2.0,5.0,3.0,63.0,195.0,55.0,,7.0,14.0,1.0,,,,,22.0,18.0,,19.0,8.0,5.0,31.0,,124.0,,0.0,72.0,7.0,,,,2.0,79.0,46.0,4.0,65.0,2.0,14.0,,5.0,2.0,183.0,1.0,11.0,91.0,636.0,,3.0,12.0,36.0,33.0,,8.0,9.0,,0.0,6.0,1.0,27.0,44.0,,9110,4.0,162.0,,7.0,,,207.0,15.0,56.0,,3.0,,20.0,6.0,9.0,53.0,281.0,16.0,12.0,,36.0,80.0,,,0.0,,6.0,5.0,,2.0,,0.0,2.0,1.0,45.4,24.0,,2.0,,,3.0,2.0,,39.0,8.0,,386.0,,26.0,18.0,13.0,2.0,9.0,3.0,,201.0,4.0,5.0,10.0,45.0,21.0,5.0,24.0,2.0,4.0,3.0,10.0,8.0,1.0,1.0,,2.0,,,,,,,1.0,7.0,,2.0,,1.0,1.0,3.0,,1.0,,2.0,4.0,2.0,1.0,,6.0,6.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,3.0,,,,1.0,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
26,442250,2013-02-09 15:00:00,"Stamford Bridge, London",41562,Away,Wigan Athletic,Chelsea,1,4,L,0,1,0,0,,1.0,66.0,3.0,33.0,21.0,6.0,5.0,3.0,156.0,6.0,3.0,1.0,12.0,6.0,97.0,153.0,40.0,,14.0,12.0,4.0,,2.0,4.0,,19.0,18.0,1.0,10.0,5.0,13.0,22.0,1.0,187.0,1.0,0.0,98.0,13.0,3.0,,,,114.0,35.0,10.0,61.0,,14.0,,6.0,3.0,142.0,,15.0,101.0,619.0,,9.0,6.0,29.0,30.0,,10.0,6.0,,2.0,7.0,2.0,14.0,51.0,,9110,3.0,152.0,,8.0,,,180.0,9.0,46.0,,5.0,,14.0,12.0,2.0,52.0,333.0,8.0,7.0,2.0,33.0,71.0,,,0.0,,4.0,10.0,4.0,4.0,,0.0,5.0,1.0,47.0,9.0,,,2.0,,5.0,5.0,,38.0,6.0,,415.0,,21.0,8.0,13.0,3.0,12.0,1.0,,254.0,7.0,13.0,8.0,76.0,30.0,2.0,21.0,3.0,11.0,2.0,9.0,6.0,,,4.0,1.0,,2.0,,1.0,,,1.0,8.0,,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,442266,2013-02-23 15:00:00,"Select Car Leasing Stadium, Reading",22321,Away,Wigan Athletic,Reading,3,0,W,2,0,0,1,,2.0,58.0,3.0,47.0,33.0,5.0,5.0,2.0,187.0,6.0,4.0,1.0,15.0,7.0,167.0,167.0,51.0,,17.0,13.0,1.0,1.0,1.0,,2.0,28.0,7.0,3.0,14.0,6.0,24.0,37.0,1.0,315.0,1.0,0.0,147.0,11.0,,2.0,1.0,1.0,118.0,78.0,10.0,120.0,1.0,22.0,,6.0,1.0,148.0,2.0,5.0,186.0,849.0,,9.0,15.0,14.0,17.0,1.0,5.0,18.0,,1.0,1.0,5.0,25.0,66.0,2.0,9110,6.0,264.0,,15.0,1.0,,292.0,11.0,51.0,3.0,3.0,1.0,7.0,2.0,7.0,65.0,573.0,9.0,4.0,3.0,19.0,91.0,1.0,,0.0,,,2.0,,,,0.0,2.0,3.0,70.1,21.0,3.0,2.0,3.0,,3.0,4.0,,55.0,9.0,,660.0,,13.0,13.0,18.0,6.0,16.0,4.0,5.0,396.0,7.0,24.0,27.0,118.0,35.0,8.0,11.0,,10.0,2.0,14.0,9.0,2.0,1.0,,3.0,,1.0,,2.0,,1.0,1.0,1.0,,3.0,1.0,,1.0,1.0,2.0,1.0,,3.0,6.0,2.0,1.0,2.0,2.0,2.0,,1.0,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,
