gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attLgCentre,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attPostHigh,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowLeft,attemptsIbox,saves,accuratePullBack,attBxRight,attSvHighLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,accurateFreekickCross,totalPullBack,totalThroughBall,defenderGoals,attMissHigh,attSvLowRight,punches,accurateFlickOn,possWonAtt3rd,clearanceOffLine,forwardGoals,attOboxBlocked,attOboxTarget,attSvHighRight,attGoalHighCentre,attFreekickTarget,goalsConceded,attHdGoal,goalsConcededIbox,errorLeadToGoal,goalsConcededObox,attSvLowCentre,attMissHighRight,contentiousDecision,attHdTarget,attCmissHighRight,attFreekickPost,secondYellow,attSetpiece,attOboxPost,accurateKeeperSweeper,totalKeeperSweeper,attCmissHigh,attCorner,attSvHighCentre,goalAssistSetplay,goalAssistDeadball,attPostLeft,attObxdLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,attCmissHighLeft,attGoalHighRight,penaltySave,ownGoals,attIboxOwnGoal
11,442106,2012-11-10 15:00:00,"St. Mary's Stadium, Southampton",30501,Away,Swansea City,Southampton,1,1,D,0,0,0,0,2.0,,53.0,,1.0,,39.0,54.0,3.0,2.0,,,157.0,,5.0,3.0,1.0,,6.0,,3.0,143.0,158.0,46.0,,7.0,15.0,2.0,,,,,,16.0,,10.0,31.0,5.0,13.0,23.0,,191.0,,,0.0,122.0,13.0,1.0,,1.0,1.0,,2.0,31.0,87.0,4.0,81.0,3.0,1.0,11.0,,3.0,1.0,135.0,,10.0,108.0,,685.0,,4.0,9.0,,16.0,18.0,,4.0,29.0,,2.0,5.0,2.0,14.0,57.0,,76542,2.0,219.0,,8.0,,234.0,1.0,10.0,51.0,2.0,3.0,1.0,12.0,6.0,4.0,67.0,405.0,11.0,6.0,2.0,20.0,78.0,,,,0.0,,10.0,2.0,1.0,,0.0,1.0,,,2.0,51.6,13.0,1.0,,3.0,2.0,41.0,6.0,2.0,489.0,9.0,,9.0,16.0,2.0,10.0,4.0,1.0,271.0,3.0,13.0,17.0,80.0,26.0,4.0,18.0,15.0,4.0,3.0,13.0,4.0,6.0,1.0,1.0,,,,2.0,,,,,,1.0,,,2.0,,1.0,1.0,2.0,4.0,1.0,,,2.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
12,442113,2012-11-17 15:00:00,"St. James' Park, Newcastle",49403,Away,Swansea City,Newcastle United,2,1,W,0,0,0,0,1.0,2.0,62.0,,3.0,2.0,23.0,60.0,4.0,3.0,,3.0,148.0,,4.0,2.0,2.0,2.0,12.0,,7.0,89.0,171.0,49.0,,16.0,21.0,3.0,3.0,,1.0,,2.0,16.0,,18.0,31.0,4.0,15.0,14.0,1.0,198.0,,,0.0,108.0,8.0,3.0,3.0,2.0,2.0,1.0,,31.0,75.0,7.0,68.0,3.0,1.0,12.0,,2.0,1.0,142.0,3.0,17.0,101.0,,650.0,,9.0,10.0,,13.0,21.0,,7.0,33.0,1.0,3.0,6.0,5.0,18.0,69.0,,74363,6.0,140.0,2.0,9.0,,157.0,1.0,22.0,57.0,2.0,4.0,2.0,19.0,15.0,7.0,39.0,334.0,8.0,11.0,2.0,16.0,92.0,3.0,,,0.0,,5.0,5.0,2.0,,0.0,2.0,1.0,1.0,2.0,48.0,14.0,1.0,4.0,4.0,3.0,59.0,4.0,,406.0,11.0,,7.0,10.0,6.0,12.0,2.0,5.0,265.0,10.0,14.0,16.0,73.0,30.0,3.0,21.0,23.0,13.0,3.0,13.0,3.0,4.0,2.0,1.0,,,,1.0,,,,,,3.0,,,5.0,,2.0,3.0,1.0,3.0,3.0,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
13,442126,2012-11-25 13:30:00,"Swansea.com Stadium, Swansea",20621,Home,Swansea City,Liverpool,0,0,D,0,0,0,0,1.0,,67.0,,3.0,3.0,23.0,32.0,9.0,5.0,,1.0,177.0,,5.0,7.0,,2.0,14.0,2.0,2.0,112.0,146.0,57.0,2.0,18.0,14.0,2.0,,,,,3.0,22.0,,26.0,16.0,6.0,16.0,9.0,,223.0,1.0,,0.0,130.0,7.0,4.0,,,,,,47.0,79.0,7.0,96.0,3.0,2.0,16.0,2.0,5.0,5.0,130.0,,14.0,137.0,,759.0,,11.0,4.0,,29.0,27.0,,9.0,17.0,,1.0,5.0,7.0,18.0,55.0,3.0,76542,7.0,228.0,,11.0,,252.0,,7.0,48.0,,5.0,,15.0,7.0,4.0,35.0,446.0,10.0,13.0,3.0,19.0,61.0,,,1.0,0.0,4.0,6.0,6.0,,,0.0,2.0,,,4.0,49.5,18.0,3.0,1.0,5.0,7.0,43.0,7.0,,522.0,22.0,2.0,8.0,3.0,9.0,18.0,3.0,4.0,292.0,9.0,15.0,11.0,97.0,28.0,1.0,7.0,29.0,11.0,3.0,14.0,1.0,7.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,2.0,,,4.0,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,442134,2012-11-28 19:45:00,"Swansea.com Stadium, Swansea",20377,Home,Swansea City,West Bromwich Albion,3,1,W,3,1,0,0,,2.0,51.0,1.0,,4.0,68.0,32.0,4.0,3.0,1.0,,171.0,2.0,7.0,3.0,3.0,4.0,10.0,2.0,4.0,184.0,137.0,43.0,2.0,13.0,15.0,,,1.0,2.0,,1.0,25.0,1.0,14.0,13.0,5.0,24.0,20.0,,302.0,,,0.0,120.0,11.0,,,3.0,,1.0,2.0,68.0,110.0,7.0,116.0,2.0,2.0,20.0,2.0,5.0,3.0,118.0,1.0,2.0,208.0,,869.0,,7.0,1.0,1.0,18.0,20.0,1.0,1.0,10.0,2.0,0.0,1.0,3.0,17.0,54.0,,76542,5.0,327.0,,14.0,,340.0,2.0,9.0,51.0,6.0,1.0,3.0,8.0,4.0,4.0,80.0,622.0,16.0,4.0,1.0,7.0,92.0,,,,0.0,2.0,2.0,,3.0,,0.0,6.0,2.0,,1.0,64.7,16.0,1.0,,1.0,4.0,69.0,5.0,2.0,679.0,17.0,2.0,12.0,15.0,5.0,15.0,1.0,1.0,364.0,8.0,21.0,8.0,99.0,28.0,3.0,5.0,16.0,10.0,3.0,12.0,3.0,5.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
15,442139,2012-12-01 15:00:00,"Emirates Stadium, London",60098,Away,Swansea City,Arsenal,2,0,W,0,0,0,0,1.0,2.0,56.0,,2.0,3.0,34.0,22.0,3.0,4.0,2.0,4.0,164.0,,6.0,6.0,2.0,3.0,11.0,,7.0,140.0,98.0,46.0,1.0,14.0,12.0,5.0,3.0,,2.0,1.0,,14.0,,19.0,13.0,4.0,16.0,23.0,3.0,203.0,1.0,,0.0,84.0,10.0,1.0,3.0,2.0,2.0,1.0,3.0,62.0,66.0,10.0,112.0,2.0,,10.0,1.0,1.0,2.0,98.0,4.0,6.0,148.0,,734.0,,9.0,6.0,,13.0,22.0,,7.0,9.0,2.0,0.0,3.0,1.0,10.0,33.0,,89505,4.0,301.0,2.0,8.0,,325.0,,3.0,45.0,6.0,5.0,2.0,2.0,4.0,3.0,60.0,498.0,12.0,10.0,,29.0,64.0,3.0,1.0,,0.0,2.0,8.0,3.0,2.0,,0.0,4.0,1.0,,,47.5,10.0,,1.0,5.0,5.0,38.0,5.0,3.0,564.0,9.0,1.0,9.0,11.0,2.0,18.0,2.0,,253.0,10.0,16.0,6.0,67.0,20.0,11.0,5.0,22.0,11.0,2.0,11.0,11.0,5.0,1.0,1.0,10.0,5.0,1.0,3.0,,4.0,17.0,483.0,544.0,3.0,,1.0,3.0,,1.0,2.0,1.0,3.0,3.0,,,2.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,
16,442156,2012-12-08 15:00:00,"Swansea.com Stadium, Swansea",20294,Home,Swansea City,Norwich City,3,4,L,0,3,0,0,,2.0,63.0,2.0,,1.0,47.0,33.0,7.0,6.0,1.0,1.0,162.0,1.0,11.0,4.0,3.0,3.0,15.0,1.0,5.0,185.0,137.0,37.0,2.0,20.0,10.0,1.0,,1.0,1.0,,2.0,32.0,1.0,8.0,13.0,6.0,21.0,19.0,,379.0,,,0.0,196.0,12.0,1.0,,3.0,1.0,1.0,,77.0,88.0,5.0,99.0,,3.0,26.0,2.0,16.0,3.0,117.0,2.0,7.0,215.0,1.0,840.0,,13.0,2.0,1.0,13.0,23.0,2.0,3.0,17.0,2.0,2.0,,10.0,14.0,79.0,,76542,10.0,228.0,,9.0,,246.0,1.0,1.0,43.0,1.0,5.0,2.0,7.0,2.0,,54.0,596.0,9.0,3.0,,10.0,68.0,,,1.0,0.0,3.0,2.0,3.0,3.0,1.0,0.0,10.0,2.0,,7.0,66.8,13.0,5.0,1.0,5.0,4.0,56.0,6.0,,661.0,9.0,,2.0,11.0,11.0,30.0,1.0,7.0,447.0,7.0,20.0,13.0,163.0,30.0,1.0,6.0,11.0,17.0,1.0,20.0,1.0,6.0,1.0,,,,,1.0,,,,,,2.0,,,4.0,,2.0,1.0,2.0,1.0,3.0,,,3.0,1.0,,,1.0,4.0,1.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,
17,442167,2012-12-16 13:30:00,"White Hart Lane, London",35783,Away,Swansea City,Tottenham Hotspur,0,1,L,0,0,0,0,,,51.0,,4.0,,26.0,19.0,1.0,1.0,,,167.0,,2.0,3.0,,1.0,2.0,,,112.0,150.0,46.0,,3.0,13.0,,,,,,,13.0,,13.0,7.0,3.0,18.0,8.0,,166.0,,,0.0,91.0,8.0,5.0,,,,2.0,,43.0,65.0,,91.0,5.0,1.0,10.0,,4.0,2.0,138.0,1.0,13.0,111.0,,664.0,1.0,2.0,8.0,,21.0,20.0,,6.0,13.0,,3.0,11.0,2.0,22.0,47.0,1.0,76542,,230.0,1.0,4.0,,247.0,,11.0,44.0,5.0,4.0,,9.0,16.0,9.0,42.0,394.0,12.0,4.0,,15.0,79.0,,,,0.0,2.0,9.0,3.0,,,0.0,1.0,,,1.0,50.1,19.0,1.0,,4.0,,53.0,3.0,,481.0,14.0,,12.0,5.0,3.0,17.0,1.0,1.0,247.0,1.0,16.0,12.0,48.0,23.0,3.0,5.0,19.0,3.0,3.0,10.0,3.0,3.0,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
18,442174,2012-12-23 13:30:00,"Swansea.com Stadium, Swansea",20650,Home,Swansea City,Manchester United,1,1,D,1,1,0,0,,1.0,62.0,,2.0,,21.0,44.0,6.0,4.0,,5.0,146.0,1.0,1.0,2.0,1.0,2.0,11.0,1.0,9.0,75.0,147.0,50.0,,14.0,26.0,5.0,,,,,1.0,15.0,,14.0,21.0,3.0,17.0,19.0,,157.0,,,0.0,94.0,11.0,2.0,,1.0,2.0,2.0,,18.0,61.0,7.0,74.0,2.0,1.0,12.0,,4.0,2.0,124.0,1.0,13.0,95.0,,586.0,,11.0,5.0,,12.0,31.0,1.0,7.0,22.0,,2.0,9.0,4.0,15.0,43.0,1.0,76542,3.0,157.0,1.0,6.0,,179.0,1.0,9.0,56.0,3.0,1.0,1.0,11.0,7.0,5.0,46.0,313.0,16.0,5.0,,23.0,70.0,,,,0.0,,6.0,4.0,1.0,,0.0,1.0,,1.0,1.0,40.3,14.0,1.0,1.0,1.0,1.0,35.0,3.0,,390.0,11.0,,7.0,7.0,4.0,18.0,,2.0,226.0,9.0,16.0,16.0,67.0,22.0,6.0,10.0,16.0,14.0,3.0,9.0,6.0,3.0,3.0,,,,,2.0,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,1.0,3.0,,,,1.0,,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,442186,2012-12-26 15:00:00,"Select Car Leasing Stadium, Reading",24050,Away,Swansea City,Reading,0,0,D,0,0,0,0,1.0,,52.0,,,1.0,38.0,51.0,7.0,3.0,,1.0,169.0,,3.0,6.0,,3.0,5.0,1.0,2.0,163.0,145.0,43.0,1.0,10.0,18.0,1.0,,,,,,19.0,,9.0,35.0,4.0,20.0,26.0,,242.0,1.0,,0.0,136.0,16.0,,,,1.0,3.0,,54.0,83.0,3.0,100.0,,1.0,15.0,1.0,6.0,5.0,129.0,1.0,2.0,199.0,,827.0,,5.0,5.0,,12.0,21.0,,4.0,24.0,,1.0,2.0,2.0,25.0,67.0,1.0,76542,2.0,314.0,2.0,6.0,,332.0,,4.0,56.0,1.0,8.0,,8.0,1.0,4.0,69.0,553.0,15.0,,,21.0,83.0,,,,0.0,2.0,6.0,1.0,,,0.0,2.0,,,1.0,72.0,24.0,,1.0,8.0,2.0,58.0,4.0,,631.0,10.0,1.0,15.0,9.0,6.0,17.0,1.0,1.0,318.0,6.0,18.0,10.0,98.0,19.0,3.0,17.0,12.0,8.0,3.0,14.0,3.0,4.0,,,,,,,,,,,,,,,,,2.0,,4.0,1.0,4.0,1.0,,1.0,1.0,,,,,,,,,1.0,3.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
20,442192,2012-12-29 15:00:00,"Craven Cottage, London",25700,Away,Swansea City,Fulham,2,1,W,1,0,0,0,,1.0,58.0,2.0,4.0,,17.0,58.0,4.0,2.0,,3.0,126.0,,6.0,5.0,2.0,2.0,6.0,1.0,7.0,71.0,163.0,50.0,1.0,10.0,11.0,4.0,,,1.0,,,23.0,,14.0,30.0,7.0,5.0,7.0,,108.0,,1.0,0.0,82.0,12.0,4.0,,1.0,1.0,1.0,2.0,35.0,55.0,5.0,66.0,2.0,1.0,16.0,1.0,4.0,,135.0,,10.0,64.0,,558.0,,4.0,2.0,,20.0,32.0,,4.0,30.0,1.0,1.0,7.0,1.0,16.0,37.0,,76542,2.0,141.0,,11.0,,169.0,2.0,18.0,44.0,,5.0,2.0,12.0,13.0,10.0,49.0,243.0,14.0,8.0,1.0,28.0,75.0,,,,0.0,,9.0,1.0,1.0,,0.0,3.0,1.0,1.0,1.0,40.6,15.0,1.0,2.0,5.0,2.0,34.0,8.0,2.0,327.0,15.0,,9.0,5.0,1.0,10.0,3.0,1.0,181.0,7.0,4.0,13.0,62.0,11.0,4.0,17.0,18.0,8.0,3.0,9.0,4.0,8.0,2.0,,,,,1.0,,,,,,,,,,,,1.0,3.0,,4.0,,1.0,2.0,1.0,,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,442204,2013-01-01 15:00:00,"Swansea.com Stadium, Swansea",20406,Home,Swansea City,Aston Villa,2,2,D,1,1,0,0,,1.0,40.0,,,4.0,35.0,28.0,10.0,5.0,,1.0,225.0,2.0,7.0,7.0,2.0,6.0,13.0,,6.0,123.0,201.0,52.0,2.0,25.0,41.0,4.0,,1.0,1.0,,5.0,29.0,,10.0,16.0,2.0,19.0,26.0,3.0,267.0,,,0.0,169.0,7.0,1.0,,1.0,,3.0,2.0,52.0,100.0,9.0,113.0,1.0,1.0,27.0,2.0,10.0,4.0,189.0,4.0,9.0,126.0,,804.0,,10.0,5.0,2.0,15.0,15.0,2.0,12.0,17.0,1.0,0.0,2.0,4.0,31.0,79.0,1.0,76542,9.0,200.0,4.0,14.0,,229.0,2.0,8.0,70.0,2.0,4.0,2.0,11.0,,2.0,71.0,460.0,15.0,4.0,2.0,41.0,104.0,,,3.0,0.0,,2.0,3.0,2.0,,0.0,7.0,1.0,1.0,2.0,69.5,28.0,,1.0,4.0,9.0,54.0,3.0,2.0,587.0,14.0,,13.0,12.0,10.0,37.0,,5.0,387.0,18.0,18.0,14.0,112.0,16.0,2.0,11.0,16.0,21.0,3.0,12.0,2.0,3.0,1.0,,,,,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,,1.0,,,2.0,,2.0,,,1.0,,,2.0,,,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,
22,442211,2013-01-12 15:00:00,"Goodison Park, Liverpool",35782,Away,Swansea City,Everton,0,0,D,0,0,0,0,1.0,,64.0,,2.0,,22.0,50.0,3.0,2.0,,1.0,161.0,,,8.0,,1.0,4.0,,3.0,89.0,180.0,54.0,,4.0,40.0,1.0,,,,,,8.0,,14.0,21.0,1.0,24.0,13.0,,165.0,1.0,,0.0,125.0,10.0,1.0,,,1.0,1.0,4.0,36.0,84.0,3.0,79.0,,,7.0,,1.0,1.0,151.0,,14.0,95.0,,619.0,,4.0,2.0,1.0,20.0,32.0,,4.0,21.0,,4.0,4.0,1.0,18.0,56.0,1.0,76542,,155.0,,5.0,,185.0,,14.0,65.0,1.0,8.0,,6.0,4.0,2.0,52.0,320.0,12.0,5.0,,31.0,87.0,,,,0.0,3.0,7.0,3.0,,,0.0,,,,,44.7,13.0,,1.0,9.0,,35.0,1.0,4.0,424.0,17.0,,7.0,7.0,1.0,19.0,,,247.0,2.0,22.0,17.0,83.0,19.0,6.0,11.0,17.0,4.0,3.0,12.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
23,442224,2013-01-19 15:00:00,"Swansea.com Stadium, Swansea",19603,Home,Swansea City,Stoke City,3,1,W,0,0,0,0,,2.0,47.0,1.0,1.0,2.0,42.0,48.0,6.0,6.0,1.0,,165.0,,9.0,9.0,3.0,3.0,12.0,1.0,3.0,125.0,143.0,45.0,1.0,15.0,32.0,,,,2.0,,2.0,29.0,,12.0,24.0,6.0,37.0,26.0,,223.0,,1.0,0.0,137.0,11.0,1.0,,2.0,,2.0,1.0,57.0,69.0,5.0,110.0,,3.0,23.0,1.0,4.0,3.0,119.0,5.0,7.0,115.0,,726.0,,9.0,7.0,,17.0,14.0,1.0,5.0,24.0,2.0,0.0,2.0,7.0,26.0,60.0,,76542,6.0,234.0,3.0,17.0,,248.0,2.0,8.0,59.0,2.0,4.0,2.0,9.0,3.0,2.0,61.0,448.0,9.0,4.0,1.0,16.0,68.0,,1.0,2.0,0.0,2.0,6.0,,2.0,,0.0,6.0,2.0,1.0,1.0,56.1,25.0,1.0,2.0,4.0,4.0,39.0,7.0,1.0,515.0,11.0,,7.0,12.0,8.0,19.0,3.0,5.0,296.0,8.0,34.0,13.0,100.0,21.0,5.0,12.0,14.0,10.0,3.0,14.0,5.0,7.0,,1.0,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,4.0,7.0,,,2.0,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
24,442236,2013-01-29 19:45:00,"Stadium of Light, Sunderland",35628,Away,Swansea City,Sunderland,0,0,D,0,0,0,0,1.0,,53.0,,,3.0,28.0,35.0,7.0,5.0,,3.0,187.0,,5.0,5.0,,1.0,16.0,1.0,4.0,163.0,144.0,54.0,,17.0,19.0,3.0,,,,,3.0,15.0,,11.0,26.0,4.0,52.0,20.0,,298.0,1.0,,0.0,146.0,12.0,,,,2.0,1.0,1.0,58.0,88.0,9.0,118.0,2.0,1.0,11.0,,3.0,6.0,135.0,2.0,1.0,160.0,,841.0,1.0,15.0,5.0,,29.0,24.0,,5.0,24.0,,2.0,1.0,7.0,23.0,52.0,,76542,5.0,250.0,2.0,7.0,,277.0,,8.0,60.0,1.0,3.0,,12.0,2.0,4.0,47.0,543.0,12.0,8.0,1.0,19.0,88.0,,,,0.0,,3.0,,,,0.0,5.0,,1.0,1.0,63.9,22.0,,1.0,3.0,5.0,55.0,4.0,1.0,628.0,22.0,,8.0,12.0,8.0,16.0,,2.0,366.0,11.0,49.0,22.0,119.0,23.0,2.0,18.0,15.0,15.0,3.0,19.0,2.0,4.0,,,,,2.0,2.0,,,,,,,,3.0,,,2.0,,2.0,2.0,1.0,,,2.0,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,
25,442247,2013-02-02 15:00:00,"Boleyn Ground, London",34962,Away,Swansea City,West Ham United,0,1,L,0,0,0,0,,,62.0,,3.0,2.0,35.0,44.0,5.0,4.0,,2.0,206.0,,3.0,10.0,,2.0,5.0,,3.0,130.0,198.0,52.0,2.0,10.0,39.0,1.0,,,,,2.0,21.0,,15.0,23.0,2.0,29.0,38.0,,225.0,,,0.0,156.0,10.0,6.0,,,3.0,,2.0,54.0,60.0,1.0,100.0,1.0,,19.0,2.0,5.0,3.0,176.0,,10.0,124.0,,789.0,,5.0,5.0,,17.0,19.0,1.0,4.0,23.0,,1.0,2.0,4.0,31.0,68.0,,76542,3.0,219.0,,14.0,1.0,252.0,,15.0,72.0,4.0,3.0,,5.0,6.0,6.0,70.0,441.0,7.0,9.0,,24.0,87.0,,,,0.0,,5.0,3.0,,,0.0,3.0,,3.0,1.0,64.1,24.0,1.0,1.0,3.0,2.0,39.0,3.0,3.0,560.0,14.0,1.0,9.0,15.0,5.0,27.0,,2.0,329.0,5.0,26.0,14.0,106.0,30.0,2.0,15.0,21.0,8.0,2.0,15.0,3.0,3.0,1.0,,,,1.0,1.0,,,,,,,,1.0,8.0,,1.0,,1.0,,1.0,,,,2.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
26,442257,2013-02-09 15:00:00,"Swansea.com Stadium, Swansea",20529,Home,Swansea City,Queens Park Rangers,4,1,W,2,0,0,0,,3.0,51.0,1.0,2.0,2.0,40.0,23.0,5.0,7.0,3.0,3.0,180.0,,4.0,5.0,4.0,3.0,9.0,,9.0,129.0,141.0,45.0,1.0,15.0,21.0,3.0,,,2.0,,1.0,15.0,,13.0,15.0,4.0,50.0,32.0,,259.0,,,0.0,130.0,9.0,1.0,,3.0,2.0,,,63.0,92.0,8.0,133.0,,,11.0,1.0,5.0,1.0,133.0,1.0,7.0,157.0,,797.0,,7.0,4.0,,23.0,18.0,,3.0,13.0,2.0,1.0,9.0,1.0,32.0,70.0,,76542,6.0,259.0,,6.0,1.0,279.0,1.0,5.0,53.0,3.0,2.0,4.0,6.0,11.0,1.0,58.0,514.0,11.0,6.0,,11.0,89.0,,,,0.0,3.0,2.0,1.0,4.0,,0.0,3.0,1.0,,,62.5,28.0,,1.0,2.0,4.0,63.0,5.0,,599.0,14.0,,8.0,20.0,2.0,14.0,1.0,1.0,335.0,8.0,44.0,12.0,88.0,24.0,1.0,9.0,17.0,14.0,3.0,14.0,1.0,5.0,2.0,2.0,,,,1.0,,,,,,2.0,,,3.0,1.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,
27,442261,2013-02-17 15:00:00,"Anfield, Liverpool",44832,Away,Swansea City,Liverpool,0,5,L,0,1,0,0,1.0,,54.0,,2.0,1.0,36.0,35.0,1.0,,,2.0,128.0,,2.0,4.0,,3.0,3.0,,2.0,141.0,141.0,33.0,,3.0,10.0,1.0,,,,,,8.0,,11.0,16.0,1.0,25.0,20.0,,164.0,,,0.0,78.0,9.0,,,,1.0,4.0,,24.0,63.0,3.0,71.0,3.0,,7.0,,1.0,,122.0,,19.0,119.0,,643.0,,3.0,4.0,,25.0,24.0,,4.0,13.0,,1.0,9.0,,16.0,42.0,1.0,74363,1.0,219.0,,2.0,,251.0,,16.0,45.0,3.0,3.0,,9.0,16.0,7.0,55.0,381.0,7.0,13.0,,27.0,65.0,,,,0.0,2.0,10.0,3.0,,,0.0,1.0,,,,45.7,16.0,,1.0,4.0,1.0,34.0,1.0,,459.0,16.0,,8.0,14.0,,7.0,1.0,,216.0,3.0,23.0,6.0,53.0,21.0,2.0,6.0,16.0,2.0,3.0,10.0,2.0,1.0,,,,,,,,,,,,,1.0,,2.0,,,1.0,1.0,2.0,1.0,,,,1.0,,,,5.0,,5.0,1.0,,,,,,,,,,,3.0,3.0,,,,,,,,2.0,2.0,2.0,,,,,,
