gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowLeft,attFreekickTotal,attOboxBlocked,attSvLowCentre,attGoalHighRight,attOboxTarget,attMissRight,freekickTotal,attMissHighLeft,attMissHigh,attSvLowRight,blockedScoringAtt,attFreekickMiss,forwardGoals,goalsConcededObox,handBall,attIboxBlocked,attCmissRight,attBxRight,attOboxGoal,punches,goalsConceded,attHdMiss,attBxLeft,goalsConcededIbox,errorLeadToGoal,contentiousDecision,attFreekickTarget,accurateCornersIntobox,attLfGoal,attCmissHigh,goalAssistSetplay,goalAssistDeadball,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attGoalHighLeft,attFreekickGoal,sixYardBlock,attHdGoal,attGoalHighCentre,attSvHighCentre,attObxLeft,attSvHighLeft,secondYellow,hitWoodwork,ownGoals,attIboxOwnGoal,attSvHighRight,accurateKeeperSweeper,totalKeeperSweeper,accuratePullBack,totalPullBack,attObxdLeft,postScoringAtt,attFreekickPost,attOboxPost,attObxRight,clearanceOffLine,attPostRight,attIboxPost,attLgCentre,attPostHigh,attPenTarget,attCmissHighLeft,penaltyConceded,penaltyFaced,attCmissHighRight,foulThrowIn,ptsGainedLosingPos
11,442101,2012-11-11 16:00:00,"Stamford Bridge, London",41627,Home,Chelsea,Liverpool,1,1,D,1,0,0,0,,61.0,,1.0,28.0,24.0,5.0,5.0,1.0,150.0,,7.0,13.0,1.0,6.0,10.0,3.0,96.0,155.0,67.0,15.0,7.0,2.0,,,,1.0,22.0,30.0,16.0,4.0,9.0,21.0,,198.0,2.0,,,0.0,144.0,12.0,1.0,,,,3.0,2.0,58.0,67.0,3.0,56.0,1.0,18.0,3.0,5.0,147.0,2.0,4.0,84.0,607.0,5.0,4.0,1.0,9.0,22.0,8.0,7.0,1.0,1.0,2.0,7.0,22.0,61.0,,2.0,,78056,8.0,117.0,2.0,12.0,2.0,127.0,,5.0,63.0,,1.0,1.0,5.0,,11.0,5.0,4.0,,46.0,308.0,13.0,13.0,4.0,22.0,68.0,,1.0,0.0,6.0,7.0,1.0,1.0,,0.0,5.0,1.0,,4.0,43.1,18.0,1.0,5.0,39.0,4.0,2.0,386.0,6.0,22.0,8.0,10.0,16.0,5.0,281.0,6.0,9.0,6.0,100.0,31.0,3.0,4.0,35.0,10.0,3.0,22.0,3.0,4.0,,,1.0,,1.0,1.0,,3.0,1.0,,4.0,1.0,2.0,1.0,,,,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12,442117,2012-11-17 15:00:00,"The Hawthorns, West Bromwich",25933,Away,Chelsea,West Bromwich Albion,1,2,L,1,1,0,0,,45.0,,1.0,51.0,18.0,10.0,7.0,1.0,188.0,,7.0,6.0,1.0,1.0,13.0,7.0,169.0,148.0,37.0,19.0,4.0,5.0,,1.0,,2.0,44.0,7.0,11.0,10.0,10.0,44.0,1.0,357.0,,,,0.0,252.0,13.0,2.0,,,2.0,,,119.0,93.0,8.0,77.0,,34.0,10.0,4.0,141.0,2.0,5.0,174.0,811.0,12.0,2.0,,11.0,19.0,1.0,11.0,1.0,0.0,2.0,5.0,24.0,64.0,1.0,,1.0,78056,7.0,196.0,2.0,24.0,,207.0,,4.0,40.0,1.0,,1.0,12.0,1.0,11.0,4.0,3.0,,59.0,546.0,7.0,,,5.0,70.0,,2.0,0.0,2.0,,2.0,1.0,,0.0,6.0,1.0,,1.0,64.7,20.0,3.0,12.0,56.0,12.0,,608.0,9.0,10.0,28.0,6.0,33.0,2.0,445.0,11.0,10.0,11.0,212.0,11.0,,8.0,13.0,17.0,3.0,19.0,,12.0,5.0,,1.0,5.0,2.0,,1.0,3.0,1.0,,1.0,2.0,6.0,,1.0,,,1.0,,1.0,,,2.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13,442120,2012-11-25 16:00:00,"Stamford Bridge, London",41792,Home,Chelsea,Manchester City,0,0,D,0,0,0,0,,51.0,,1.0,32.0,42.0,3.0,2.0,1.0,138.0,,4.0,6.0,,4.0,5.0,1.0,94.0,165.0,59.0,6.0,16.0,,,,,,22.0,19.0,25.0,6.0,5.0,22.0,,150.0,,1.0,,0.0,105.0,10.0,1.0,1.0,,,3.0,,37.0,63.0,1.0,52.0,4.0,16.0,3.0,2.0,148.0,,8.0,97.0,617.0,3.0,7.0,,17.0,25.0,4.0,25.0,,0.0,1.0,4.0,32.0,56.0,1.0,1.0,,78056,3.0,159.0,,10.0,1.0,177.0,,5.0,61.0,1.0,,3.0,5.0,,11.0,1.0,4.0,,53.0,305.0,16.0,6.0,2.0,21.0,69.0,,,0.0,2.0,11.0,4.0,,4.0,0.0,2.0,,,1.0,42.3,26.0,1.0,5.0,33.0,6.0,,381.0,10.0,15.0,12.0,4.0,19.0,2.0,226.0,2.0,4.0,13.0,67.0,18.0,9.0,13.0,24.0,3.0,2.0,22.0,9.0,6.0,,,1.0,,1.0,,1.0,,1.0,,4.0,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14,442137,2012-11-28 19:45:00,"Stamford Bridge, London",41707,Home,Chelsea,Fulham,0,0,D,0,0,0,0,,54.0,,4.0,35.0,8.0,12.0,5.0,2.0,177.0,,6.0,2.0,,7.0,11.0,3.0,143.0,170.0,42.0,17.0,13.0,2.0,,,,2.0,40.0,11.0,3.0,7.0,9.0,39.0,,312.0,,1.0,,0.0,233.0,10.0,1.0,1.0,,,3.0,1.0,100.0,92.0,9.0,96.0,,33.0,8.0,3.0,165.0,,4.0,166.0,773.0,10.0,5.0,,14.0,22.0,2.0,5.0,,3.0,3.0,2.0,32.0,60.0,,1.0,,78056,2.0,184.0,,22.0,,195.0,,3.0,56.0,1.0,,4.0,3.0,,9.0,5.0,3.0,,52.0,490.0,11.0,7.0,1.0,11.0,71.0,,2.0,0.0,,2.0,,,,0.0,4.0,,,,59.7,32.0,6.0,3.0,52.0,10.0,1.0,582.0,9.0,11.0,19.0,4.0,34.0,1.0,427.0,11.0,9.0,15.0,173.0,22.0,1.0,1.0,14.0,13.0,2.0,17.0,1.0,10.0,1.0,,2.0,9.0,1.0,,1.0,,2.0,,2.0,2.0,10.0,1.0,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
15,442148,2012-12-01 12:45:00,"Boleyn Ground, London",35005,Away,Chelsea,West Ham United,1,3,L,1,0,0,0,1.0,49.0,,,23.0,38.0,5.0,5.0,4.0,159.0,,1.0,4.0,1.0,2.0,10.0,7.0,126.0,150.0,49.0,15.0,18.0,3.0,1.0,1.0,,,18.0,14.0,30.0,2.0,10.0,26.0,,241.0,1.0,,,0.0,158.0,10.0,3.0,1.0,,4.0,2.0,2.0,62.0,81.0,7.0,80.0,,16.0,4.0,2.0,142.0,2.0,14.0,129.0,690.0,9.0,3.0,1.0,9.0,22.0,1.0,18.0,1.0,2.0,6.0,3.0,19.0,56.0,,,,78056,6.0,169.0,1.0,10.0,,185.0,,6.0,53.0,2.0,,3.0,8.0,1.0,9.0,2.0,2.0,,45.0,409.0,15.0,4.0,,19.0,77.0,1.0,,0.0,,14.0,6.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,57.8,18.0,2.0,8.0,46.0,5.0,2.0,494.0,8.0,10.0,12.0,6.0,20.0,3.0,327.0,9.0,9.0,15.0,114.0,15.0,4.0,11.0,15.0,14.0,2.0,17.0,4.0,5.0,1.0,1.0,1.0,,2.0,,3.0,1.0,1.0,,3.0,,2.0,,1.0,,2.0,2.0,,2.0,,3.0,3.0,,,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
16,442155,2012-12-08 15:00:00,"Stadium of Light, Sunderland",39273,Away,Chelsea,Sunderland,3,1,W,2,0,0,0,1.0,63.0,2.0,4.0,32.0,45.0,7.0,3.0,2.0,172.0,,2.0,11.0,3.0,4.0,7.0,5.0,110.0,161.0,62.0,14.0,14.0,1.0,,1.0,,2.0,9.0,21.0,29.0,1.0,6.0,29.0,,192.0,1.0,,1.0,0.0,131.0,16.0,3.0,,,,,2.0,62.0,49.0,5.0,70.0,,8.0,1.0,4.0,145.0,,3.0,104.0,668.0,6.0,3.0,,11.0,32.0,3.0,26.0,1.0,3.0,3.0,2.0,19.0,53.0,3.0,,,78056,4.0,176.0,,7.0,1.0,200.0,2.0,8.0,59.0,5.0,,2.0,4.0,2.0,15.0,9.0,3.0,1.0,58.0,366.0,11.0,11.0,,23.0,70.0,,1.0,0.0,3.0,11.0,,3.0,,0.0,2.0,1.0,,,54.7,15.0,3.0,4.0,36.0,1.0,2.0,456.0,6.0,8.0,15.0,6.0,20.0,1.0,265.0,11.0,5.0,14.0,93.0,23.0,6.0,14.0,26.0,11.0,3.0,22.0,6.0,1.0,,,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,1.0,3.0,,1.0,,,1.0,,5.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,
17,442159,2013-01-16 19:45:00,"Stamford Bridge, London",38484,Home,Chelsea,Southampton,2,2,D,2,0,0,0,,54.0,2.0,,31.0,23.0,6.0,5.0,,209.0,,3.0,6.0,2.0,3.0,9.0,3.0,150.0,160.0,43.0,18.0,7.0,1.0,1.0,,,4.0,15.0,7.0,15.0,3.0,21.0,44.0,,252.0,1.0,,,0.0,168.0,11.0,,1.0,,1.0,,2.0,46.0,93.0,4.0,95.0,,12.0,4.0,4.0,152.0,2.0,4.0,139.0,773.0,8.0,9.0,,16.0,21.0,4.0,13.0,,1.0,1.0,5.0,20.0,75.0,1.0,,,61262,9.0,249.0,2.0,8.0,,267.0,1.0,7.0,43.0,1.0,,3.0,3.0,2.0,14.0,2.0,3.0,,47.0,498.0,11.0,5.0,1.0,14.0,87.0,1.0,1.0,0.0,2.0,3.0,,2.0,5.0,0.0,3.0,,1.0,,58.6,19.0,1.0,3.0,58.0,4.0,2.0,593.0,9.0,16.0,20.0,9.0,29.0,5.0,341.0,13.0,19.0,13.0,112.0,29.0,1.0,7.0,13.0,16.0,1.0,11.0,1.0,4.0,1.0,,2.0,2.0,,,,2.0,2.0,,2.0,,6.0,1.0,2.0,,1.0,4.0,,1.0,,,2.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
18,442169,2012-12-23 16:00:00,"Stamford Bridge, London",41363,Home,Chelsea,Aston Villa,8,0,W,3,0,0,0,3.0,58.0,,,39.0,18.0,11.0,7.0,6.0,183.0,1.0,2.0,4.0,8.0,6.0,17.0,15.0,138.0,133.0,40.0,26.0,10.0,5.0,,5.0,,1.0,19.0,11.0,8.0,7.0,18.0,44.0,,294.0,,1.0,2.0,0.0,193.0,6.0,,,4.0,2.0,,,74.0,83.0,13.0,91.0,,13.0,5.0,2.0,123.0,2.0,2.0,147.0,737.0,10.0,3.0,,15.0,30.0,5.0,12.0,5.0,0.0,3.0,4.0,17.0,61.0,2.0,,,61262,10.0,195.0,2.0,8.0,,209.0,5.0,7.0,39.0,2.0,2.0,3.0,8.0,5.0,10.0,5.0,6.0,1.0,60.0,487.0,11.0,4.0,2.0,19.0,63.0,,1.0,0.0,1.0,4.0,1.0,6.0,1.0,0.0,1.0,3.0,,2.0,56.6,17.0,1.0,8.0,44.0,8.0,,559.0,11.0,11.0,29.0,6.0,25.0,4.0,369.0,17.0,18.0,11.0,150.0,19.0,3.0,5.0,14.0,18.0,3.0,12.0,3.0,8.0,1.0,1.0,3.0,5.0,,3.0,2.0,2.0,3.0,,3.0,4.0,5.0,,2.0,,,,1.0,2.0,2.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
19,442184,2012-12-26 15:00:00,"Carrow Road, Norwich",26831,Away,Chelsea,Norwich City,1,0,W,1,0,0,0,,54.0,1.0,,29.0,31.0,11.0,6.0,,177.0,,7.0,7.0,1.0,3.0,14.0,3.0,185.0,165.0,42.0,18.0,13.0,1.0,,1.0,,2.0,24.0,13.0,17.0,6.0,21.0,33.0,,300.0,2.0,1.0,,0.0,176.0,8.0,,,,,2.0,,79.0,88.0,7.0,95.0,1.0,18.0,5.0,5.0,151.0,1.0,5.0,178.0,828.0,13.0,3.0,,10.0,21.0,5.0,21.0,1.0,1.0,4.0,7.0,21.0,61.0,2.0,,,61262,6.0,255.0,1.0,11.0,1.0,267.0,,7.0,42.0,3.0,,1.0,2.0,1.0,22.0,4.0,5.0,,57.0,548.0,7.0,2.0,,29.0,93.0,,1.0,0.0,1.0,5.0,1.0,,,0.0,6.0,,2.0,1.0,63.1,20.0,3.0,2.0,54.0,7.0,,635.0,8.0,10.0,13.0,8.0,23.0,3.0,392.0,11.0,21.0,11.0,123.0,28.0,2.0,11.0,17.0,15.0,3.0,17.0,2.0,7.0,2.0,,1.0,4.0,1.0,,1.0,2.0,1.0,,2.0,,7.0,,1.0,,1.0,3.0,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,442191,2012-12-30 13:30:00,"Goodison Park, Liverpool",39485,Away,Chelsea,Everton,2,1,W,1,1,0,0,1.0,39.0,1.0,1.0,15.0,49.0,8.0,3.0,2.0,168.0,,1.0,7.0,2.0,1.0,11.0,5.0,88.0,188.0,50.0,17.0,24.0,2.0,1.0,1.0,,1.0,13.0,13.0,30.0,5.0,16.0,37.0,,179.0,1.0,,,0.0,167.0,12.0,3.0,1.0,2.0,,,2.0,56.0,55.0,7.0,62.0,,8.0,2.0,4.0,169.0,1.0,9.0,93.0,622.0,10.0,11.0,,11.0,22.0,8.0,25.0,1.0,3.0,1.0,4.0,29.0,58.0,1.0,,,61262,5.0,120.0,2.0,6.0,1.0,148.0,1.0,9.0,56.0,1.0,,4.0,4.0,2.0,16.0,5.0,4.0,,41.0,298.0,14.0,6.0,,26.0,79.0,1.0,,0.0,1.0,7.0,4.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,52.0,26.0,1.0,5.0,38.0,7.0,2.0,411.0,5.0,6.0,10.0,4.0,24.0,,276.0,13.0,14.0,13.0,112.0,8.0,2.0,14.0,16.0,14.0,3.0,15.0,2.0,7.0,1.0,,1.0,4.0,2.0,,1.0,,1.0,1.0,1.0,,8.0,,,,,4.0,,1.0,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
21,442199,2013-01-02 19:45:00,"Stamford Bridge, London",41634,Home,Chelsea,Queens Park Rangers,0,1,L,0,0,0,0,,51.0,,1.0,35.0,21.0,17.0,6.0,2.0,176.0,,5.0,8.0,,3.0,20.0,2.0,151.0,156.0,43.0,26.0,11.0,1.0,,,,1.0,36.0,7.0,13.0,11.0,13.0,34.0,,307.0,3.0,,,0.0,216.0,13.0,,,,,2.0,,99.0,93.0,10.0,64.0,,25.0,6.0,8.0,148.0,1.0,1.0,138.0,741.0,19.0,5.0,,12.0,15.0,1.0,18.0,,1.0,1.0,10.0,30.0,72.0,,,,61262,6.0,150.0,1.0,17.0,,160.0,,3.0,44.0,,,1.0,10.0,,16.0,6.0,3.0,,48.0,452.0,8.0,2.0,1.0,3.0,59.0,,,0.0,3.0,2.0,1.0,,2.0,0.0,2.0,,,2.0,63.9,29.0,7.0,10.0,43.0,14.0,,529.0,8.0,7.0,15.0,13.0,21.0,5.0,405.0,17.0,13.0,17.0,163.0,19.0,1.0,12.0,10.0,23.0,3.0,20.0,1.0,14.0,,,1.0,8.0,1.0,,1.0,2.0,1.0,1.0,6.0,1.0,11.0,,,1.0,1.0,3.0,1.0,1.0,,,1.0,2.0,,,,1.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
22,442217,2013-01-12 15:00:00,"bet365 Stadium, Stoke",27348,Away,Chelsea,Stoke City,4,0,W,1,0,0,0,1.0,45.0,,2.0,30.0,42.0,6.0,6.0,1.0,171.0,,1.0,12.0,4.0,5.0,6.0,6.0,93.0,163.0,49.0,13.0,23.0,4.0,,1.0,,,24.0,11.0,24.0,4.0,10.0,37.0,,187.0,1.0,1.0,1.0,0.0,151.0,9.0,2.0,,1.0,3.0,2.0,2.0,60.0,57.0,6.0,69.0,1.0,20.0,5.0,2.0,145.0,2.0,7.0,95.0,630.0,5.0,9.0,,9.0,23.0,9.0,33.0,1.0,0.0,2.0,,22.0,62.0,,,,61262,5.0,152.0,2.0,13.0,,167.0,1.0,10.0,53.0,,,1.0,3.0,1.0,9.0,5.0,5.0,1.0,55.0,338.0,12.0,7.0,,28.0,82.0,,,0.0,1.0,6.0,3.0,3.0,1.0,0.0,1.0,,1.0,,56.6,20.0,2.0,3.0,39.0,7.0,2.0,428.0,6.0,10.0,19.0,2.0,25.0,,285.0,7.0,10.0,11.0,99.0,14.0,4.0,18.0,14.0,9.0,3.0,16.0,4.0,7.0,3.0,,2.0,3.0,1.0,,,,2.0,1.0,,,5.0,,1.0,,,2.0,,,1.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,
23,442219,2013-01-20 13:30:00,"Stamford Bridge, London",41784,Home,Chelsea,Arsenal,2,1,W,2,0,0,0,2.0,60.0,1.0,2.0,31.0,30.0,5.0,3.0,4.0,162.0,,1.0,12.0,2.0,6.0,10.0,7.0,111.0,155.0,79.0,14.0,21.0,3.0,1.0,1.0,,,19.0,26.0,19.0,3.0,10.0,40.0,1.0,194.0,3.0,,1.0,0.0,154.0,10.0,3.0,4.0,2.0,1.0,3.0,3.0,45.0,84.0,6.0,57.0,2.0,16.0,1.0,2.0,155.0,2.0,6.0,94.0,652.0,8.0,2.0,,15.0,20.0,3.0,15.0,1.0,2.0,2.0,4.0,23.0,63.0,,1.0,,61262,5.0,140.0,1.0,12.0,3.0,157.0,1.0,9.0,71.0,,,5.0,5.0,1.0,13.0,6.0,6.0,1.0,56.0,333.0,11.0,16.0,1.0,19.0,81.0,1.0,,0.0,,9.0,3.0,2.0,,0.0,1.0,1.0,2.0,1.0,50.3,19.0,2.0,5.0,44.0,3.0,3.0,424.0,9.0,9.0,24.0,5.0,28.0,3.0,286.0,10.0,10.0,18.0,102.0,28.0,4.0,8.0,38.0,9.0,3.0,27.0,4.0,3.0,1.0,,,1.0,1.0,,2.0,,,,2.0,3.0,2.0,,,,,1.0,,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,9.0,5.0,5.0,36.0,321.0,403.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,442234,2013-01-30 20:00:00,"Select Car Leasing Stadium, Reading",24097,Away,Chelsea,Reading,2,2,D,1,0,0,0,,47.0,,,27.0,28.0,7.0,5.0,2.0,209.0,1.0,6.0,1.0,2.0,1.0,14.0,4.0,158.0,178.0,39.0,15.0,18.0,1.0,,1.0,,4.0,16.0,12.0,12.0,6.0,20.0,42.0,1.0,244.0,1.0,,,0.0,174.0,21.0,,,1.0,,1.0,2.0,58.0,86.0,6.0,95.0,,10.0,1.0,4.0,162.0,2.0,3.0,134.0,762.0,11.0,6.0,,7.0,20.0,6.0,22.0,2.0,2.0,,8.0,30.0,77.0,3.0,1.0,,61262,5.0,246.0,2.0,8.0,1.0,268.0,,10.0,56.0,3.0,,5.0,3.0,1.0,9.0,2.0,5.0,,52.0,484.0,8.0,3.0,1.0,32.0,93.0,,1.0,0.0,1.0,,,2.0,2.0,0.0,3.0,2.0,1.0,2.0,67.6,26.0,5.0,3.0,48.0,6.0,2.0,596.0,3.0,9.0,22.0,8.0,25.0,4.0,344.0,8.0,20.0,16.0,113.0,17.0,,10.0,14.0,12.0,2.0,8.0,,6.0,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,3.0,,1.0,,1.0,1.0,,2.0,,,2.0,1.0,1.0,2.0,,,,3.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
25,442243,2013-02-02 15:00:00,"St. James' Park, Newcastle",52314,Away,Chelsea,Newcastle United,2,3,L,0,1,0,0,,52.0,,2.0,32.0,40.0,6.0,6.0,2.0,171.0,,9.0,7.0,2.0,2.0,13.0,5.0,114.0,175.0,58.0,17.0,21.0,2.0,,2.0,,2.0,34.0,12.0,22.0,4.0,17.0,41.0,,194.0,,,,0.0,133.0,5.0,5.0,,1.0,,4.0,2.0,49.0,41.0,8.0,58.0,1.0,30.0,4.0,3.0,157.0,,11.0,129.0,688.0,10.0,11.0,1.0,6.0,21.0,10.0,26.0,2.0,3.0,3.0,5.0,24.0,62.0,,1.0,1.0,61262,7.0,189.0,1.0,22.0,2.0,215.0,1.0,7.0,53.0,2.0,,,6.0,2.0,9.0,10.0,5.0,,53.0,374.0,10.0,6.0,1.0,27.0,88.0,,1.0,0.0,,5.0,6.0,1.0,2.0,0.0,6.0,1.0,,3.0,54.2,23.0,2.0,7.0,51.0,4.0,2.0,472.0,4.0,14.0,23.0,7.0,25.0,4.0,291.0,8.0,16.0,26.0,88.0,16.0,3.0,14.0,15.0,14.0,1.0,14.0,3.0,4.0,,,,2.0,3.0,,1.0,,,1.0,4.0,,5.0,,1.0,1.0,,3.0,,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,1.0,,3.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
26,442250,2013-02-09 15:00:00,"Stamford Bridge, London",41562,Home,Chelsea,Wigan Athletic,4,1,W,1,0,0,0,2.0,62.0,,1.0,27.0,16.0,12.0,3.0,6.0,165.0,2.0,10.0,7.0,4.0,5.0,23.0,12.0,124.0,158.0,46.0,27.0,8.0,4.0,,3.0,,2.0,24.0,10.0,9.0,7.0,13.0,39.0,1.0,254.0,1.0,,,0.0,196.0,9.0,1.0,1.0,3.0,,3.0,1.0,84.0,80.0,15.0,81.0,,17.0,3.0,4.0,151.0,1.0,8.0,102.0,677.0,16.0,5.0,2.0,14.0,18.0,7.0,10.0,3.0,1.0,5.0,8.0,31.0,63.0,1.0,2.0,2.0,61262,10.0,132.0,1.0,11.0,3.0,150.0,3.0,5.0,40.0,1.0,,2.0,4.0,4.0,10.0,6.0,3.0,,50.0,376.0,13.0,3.0,4.0,26.0,85.0,,1.0,0.0,2.0,6.0,4.0,3.0,,0.0,7.0,2.0,1.0,5.0,53.0,27.0,4.0,4.0,52.0,10.0,1.0,472.0,11.0,8.0,24.0,8.0,22.0,4.0,346.0,17.0,12.0,12.0,150.0,32.0,4.0,5.0,14.0,20.0,3.0,20.0,4.0,10.0,,1.0,1.0,3.0,5.0,1.0,4.0,2.0,1.0,,3.0,,7.0,,1.0,,1.0,4.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,,,3.0,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
27,442262,2013-02-24 13:30:00,"Etihad Stadium, Manchester",47256,Away,Chelsea,Manchester City,0,2,L,0,0,0,0,,45.0,,2.0,39.0,25.0,4.0,3.0,2.0,144.0,,6.0,10.0,,4.0,6.0,2.0,129.0,157.0,60.0,9.0,12.0,1.0,,,,,29.0,10.0,16.0,5.0,10.0,51.0,,214.0,1.0,,1.0,0.0,137.0,5.0,1.0,1.0,,2.0,2.0,3.0,80.0,76.0,5.0,65.0,3.0,24.0,5.0,2.0,148.0,,10.0,123.0,666.0,5.0,3.0,,14.0,24.0,10.0,19.0,,1.0,4.0,1.0,24.0,58.0,,,,61262,4.0,172.0,1.0,17.0,,195.0,,9.0,44.0,,,1.0,8.0,,15.0,5.0,4.0,,56.0,380.0,20.0,7.0,1.0,22.0,70.0,,,0.0,2.0,6.0,2.0,,2.0,0.0,4.0,,1.0,1.0,53.0,23.0,,8.0,42.0,6.0,3.0,461.0,10.0,10.0,29.0,3.0,15.0,1.0,295.0,5.0,7.0,13.0,99.0,12.0,2.0,10.0,17.0,5.0,3.0,20.0,2.0,6.0,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,4.0,1.0,,1.0,,2.0,,,,,2.0,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,
