gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,attLfTarget,attRfTarget,attIboxTarget,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighLeft,attSvLowLeft,attHdPost,attHdTarget,hitWoodwork,totalKeeperSweeper,accurateFreekickCross,bigChanceMissed,attSvLowRight,attCmissLeft,attPostHigh,accurateFlickOn,attHdTotal,attHdMiss,attBxLeft,accurateCornersIntobox,bigChanceScored,attGoalLowLeft,attCmissRight,attBxRight,interceptionsInBox,bigChanceCreated,overrun,shieldBallOop,attHdGoal,goalsConcededObox,attemptsIbox,saves,attLfGoal,attemptsObox,attGoalHighCentre,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,totalPullBack,ownGoals,defenderGoals,attCorner,attIboxOwnGoal,attGoalLowCentre,attFreekickTotal,attGoalHighRight,penaltyWon,freekickTotal,attObxdRight,attLgCentre,attMissHigh,attPenGoal,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,attOneOnOne,attSvHighCentre,accuratePullBack,attPostRight,attObxLeft,attCmissHigh,clearanceOffLine,penGoalsConceded,sixYardBlock,cleanSheet,attFreekickPost,attPostLeft,attFreekickTarget,attOboxPost,attObxRight,attGoalHighLeft,attSvHighRight,ptsDroppedWinningPos,attCmissHighLeft,attFreekickGoal,attCmissHighRight,foulThrowIn
11,442106,2012-11-10 15:00:00,"St. Mary's Stadium, Southampton",30501,Home,Southampton,Swansea City,1,1,D,0,0,0,0,,64.0,,,4.0,28.0,17.0,6.0,6.0,165.0,8.0,6.0,1.0,1.0,11.0,4.0,115.0,160.0,51.0,16.0,1.0,17.0,,1.0,,4.0,31.0,14.0,8.0,10.0,12.0,43.0,207.0,,0.0,151.0,13.0,1.0,,1.0,1.0,1.0,59.0,62.0,7.0,76.0,,21.0,5.0,4.0,151.0,1.0,4.0,93.0,643.0,8.0,5.0,21.0,22.0,,12.0,8.0,1.0,2.0,1.0,4.0,23.0,68.0,,80447,5.0,157.0,15.0,1.0,,173.0,,3.0,46.0,6.0,2.0,3.0,1.0,14.0,3.0,2.0,57.0,356.0,11.0,3.0,2.0,30.0,78.0,,,0.0,6.0,2.0,1.0,1.0,0.0,4.0,1.0,48.4,21.0,6.0,3.0,5.0,48.0,10.0,,2.0,449.0,17.0,9.0,24.0,7.0,31.0,3.0,307.0,6.0,10.0,15.0,100.0,30.0,,1.0,3.0,19.0,1.0,12.0,1.0,12.0,2.0,1.0,10.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,,,3.0,,4.0,4.0,1.0,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
12,442115,2012-11-17 15:00:00,"MATRADE Loftus Road, London",18174,Away,Southampton,Queens Park Rangers,3,1,W,2,0,0,0,,67.0,,1.0,2.0,27.0,27.0,10.0,10.0,171.0,7.0,3.0,3.0,2.0,17.0,10.0,111.0,196.0,64.0,20.0,3.0,17.0,1.0,1.0,,3.0,27.0,21.0,15.0,8.0,10.0,26.0,271.0,1.0,0.0,255.0,8.0,3.0,1.0,1.0,2.0,1.0,94.0,72.0,12.0,70.0,1.0,19.0,5.0,3.0,184.0,,9.0,115.0,711.0,14.0,7.0,19.0,22.0,,15.0,11.0,1.0,0.0,1.0,5.0,26.0,88.0,,80447,4.0,97.0,12.0,1.0,,112.0,,8.0,66.0,9.0,1.0,,1.0,15.0,3.0,2.0,63.0,361.0,12.0,9.0,2.0,42.0,87.0,1.0,,0.0,4.0,3.0,2.0,1.0,0.0,4.0,,53.2,22.0,7.0,,5.0,46.0,13.0,,1.0,467.0,14.0,22.0,13.0,5.0,31.0,2.0,382.0,8.0,10.0,21.0,182.0,30.0,1.0,3.0,7.0,28.0,1.0,14.0,3.0,13.0,1.0,3.0,13.0,,4.0,3.0,5.0,,,2.0,,3.0,,,3.0,,1.0,1.0,,,1.0,3.0,1.0,,3.0,2.0,,2.0,3.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,1.0,,,,,,1.0,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,442123,2012-11-25 15:00:00,"St. Mary's Stadium, Southampton",31410,Home,Southampton,Newcastle United,2,0,W,1,0,0,0,,65.0,1.0,,1.0,11.0,49.0,6.0,8.0,171.0,5.0,5.0,2.0,4.0,12.0,8.0,72.0,199.0,70.0,18.0,1.0,15.0,,1.0,,2.0,12.0,23.0,28.0,4.0,16.0,24.0,140.0,,0.0,119.0,12.0,2.0,,2.0,1.0,2.0,55.0,54.0,7.0,39.0,1.0,8.0,1.0,3.0,178.0,1.0,6.0,57.0,582.0,10.0,11.0,12.0,29.0,,11.0,22.0,1.0,2.0,1.0,5.0,20.0,65.0,1.0,80447,7.0,86.0,6.0,,,113.0,,10.0,62.0,8.0,2.0,1.0,2.0,12.0,2.0,6.0,44.0,221.0,12.0,7.0,1.0,43.0,90.0,,1.0,0.0,3.0,3.0,2.0,,0.0,2.0,1.0,49.1,17.0,7.0,1.0,2.0,42.0,4.0,,2.0,339.0,10.0,20.0,7.0,8.0,13.0,2.0,238.0,7.0,12.0,22.0,62.0,22.0,,1.0,11.0,31.0,,13.0,3.0,13.0,,1.0,4.0,,5.0,1.0,5.0,3.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,3.0,,,3.0,4.0,,2.0,5.0,3.0,2.0,1.0,3.0,2.0,1.0,,2.0,,4.0,4.0,2.0,,,,,2.0,,,,,,1.0,1.0,,,,,,3.0,,,3.0,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14,442131,2012-11-28 19:45:00,"St. Mary's Stadium, Southampton",29325,Home,Southampton,Norwich City,1,1,D,1,1,0,0,,67.0,,3.0,2.0,26.0,30.0,1.0,7.0,178.0,9.0,2.0,1.0,4.0,7.0,2.0,130.0,187.0,51.0,10.0,,16.0,,,,2.0,27.0,21.0,16.0,3.0,19.0,27.0,216.0,,0.0,144.0,11.0,,,,3.0,,73.0,70.0,2.0,83.0,,24.0,7.0,2.0,172.0,1.0,3.0,107.0,721.0,6.0,12.0,17.0,22.0,1.0,7.0,17.0,,1.0,3.0,5.0,23.0,77.0,1.0,80447,2.0,180.0,14.0,2.0,,202.0,1.0,10.0,47.0,10.0,2.0,2.0,,13.0,8.0,4.0,49.0,387.0,7.0,4.0,1.0,37.0,107.0,,,0.0,7.0,1.0,1.0,1.0,0.0,8.0,,57.8,19.0,3.0,2.0,2.0,60.0,3.0,,,498.0,10.0,9.0,18.0,6.0,30.0,4.0,323.0,3.0,15.0,16.0,83.0,35.0,1.0,2.0,9.0,26.0,,7.0,2.0,10.0,1.0,3.0,3.0,1.0,1.0,,1.0,,1.0,,,,2.0,,1.0,,,,1.0,3.0,,,1.0,,3.0,,,3.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
15,442141,2012-12-01 15:00:00,"Anfield, Liverpool",44525,Away,Southampton,Liverpool,0,1,L,0,1,0,0,,55.0,,2.0,2.0,19.0,37.0,4.0,2.0,131.0,3.0,5.0,,1.0,7.0,1.0,76.0,158.0,53.0,9.0,,15.0,,,,1.0,16.0,22.0,24.0,4.0,14.0,19.0,130.0,,0.0,86.0,9.0,2.0,,,1.0,1.0,37.0,37.0,3.0,47.0,3.0,12.0,6.0,4.0,145.0,,17.0,48.0,544.0,5.0,10.0,20.0,25.0,,7.0,4.0,,0.0,4.0,4.0,18.0,50.0,2.0,80447,3.0,91.0,5.0,1.0,,114.0,,18.0,48.0,4.0,,3.0,,15.0,6.0,11.0,48.0,218.0,10.0,6.0,2.0,37.0,74.0,,,0.0,10.0,5.0,,1.0,0.0,2.0,,36.1,14.0,2.0,3.0,2.0,38.0,4.0,,1.0,302.0,14.0,11.0,10.0,6.0,17.0,2.0,204.0,5.0,10.0,4.0,50.0,19.0,,4.0,1.0,34.0,1.0,5.0,2.0,13.0,,4.0,4.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,4.0,2.0,2.0,,1.0,,,,1.0,4.0,,3.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,442154,2012-12-08 15:00:00,"St. Mary's Stadium, Southampton",29331,Home,Southampton,Reading,1,0,W,0,0,0,0,,45.0,,,1.0,19.0,31.0,9.0,4.0,187.0,8.0,1.0,1.0,2.0,13.0,5.0,113.0,175.0,55.0,18.0,2.0,12.0,,1.0,,2.0,25.0,15.0,20.0,6.0,23.0,39.0,233.0,,0.0,174.0,12.0,2.0,,1.0,2.0,3.0,81.0,64.0,8.0,71.0,5.0,19.0,4.0,5.0,164.0,,6.0,94.0,686.0,11.0,12.0,16.0,19.0,1.0,11.0,16.0,1.0,0.0,,5.0,36.0,68.0,1.0,80447,4.0,138.0,13.0,,,156.0,1.0,4.0,42.0,6.0,2.0,5.0,1.0,17.0,,1.0,45.0,363.0,12.0,4.0,1.0,38.0,95.0,,1.0,0.0,4.0,2.0,1.0,,0.0,5.0,1.0,65.1,31.0,1.0,5.0,3.0,49.0,7.0,,3.0,465.0,12.0,9.0,18.0,10.0,31.0,5.0,334.0,13.0,23.0,20.0,119.0,17.0,,4.0,11.0,22.0,,16.0,2.0,7.0,,4.0,7.0,1.0,,4.0,2.0,,,2.0,,2.0,1.0,,,,,,,1.0,3.0,2.0,2.0,,7.0,1.0,1.0,3.0,3.0,,1.0,3.0,2.0,,2.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
17,442159,2013-01-16 19:45:00,"Stamford Bridge, London",38484,Away,Southampton,Chelsea,2,2,D,0,2,0,0,,46.0,,,,29.0,44.0,2.0,1.0,146.0,3.0,5.0,2.0,4.0,5.0,2.0,96.0,166.0,43.0,6.0,1.0,13.0,,2.0,,3.0,19.0,20.0,16.0,3.0,8.0,25.0,179.0,,0.0,124.0,11.0,1.0,1.0,1.0,3.0,,68.0,63.0,3.0,63.0,,16.0,7.0,1.0,138.0,,12.0,95.0,610.0,3.0,6.0,17.0,21.0,,7.0,7.0,2.0,0.0,6.0,2.0,21.0,79.0,,80447,3.0,145.0,6.0,,,162.0,,11.0,43.0,3.0,3.0,7.0,2.0,14.0,6.0,5.0,52.0,321.0,10.0,6.0,,26.0,84.0,,,0.0,4.0,1.0,2.0,2.0,0.0,3.0,2.0,41.4,16.0,3.0,7.0,1.0,44.0,3.0,,,400.0,14.0,9.0,12.0,3.0,18.0,2.0,257.0,3.0,7.0,7.0,80.0,12.0,1.0,1.0,2.0,21.0,2.0,6.0,3.0,9.0,,1.0,3.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,5.0,2.0,1.0,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
18,442173,2012-12-22 15:00:00,"St. Mary's Stadium, Southampton",31275,Home,Southampton,Sunderland,0,1,L,0,1,0,0,,67.0,,3.0,2.0,25.0,20.0,9.0,5.0,169.0,7.0,11.0,,5.0,10.0,2.0,102.0,182.0,58.0,12.0,3.0,16.0,,,,,31.0,6.0,11.0,7.0,19.0,28.0,207.0,,0.0,160.0,13.0,3.0,,,7.0,1.0,51.0,59.0,6.0,68.0,2.0,24.0,9.0,4.0,173.0,,6.0,105.0,660.0,9.0,11.0,22.0,26.0,1.0,13.0,11.0,,0.0,2.0,4.0,28.0,80.0,,80447,2.0,138.0,8.0,1.0,,156.0,,10.0,52.0,6.0,2.0,3.0,,18.0,4.0,8.0,48.0,338.0,15.0,8.0,1.0,35.0,94.0,,,0.0,5.0,1.0,,1.0,0.0,3.0,,57.6,25.0,3.0,3.0,5.0,54.0,8.0,,2.0,444.0,16.0,10.0,13.0,5.0,29.0,1.0,319.0,6.0,15.0,22.0,100.0,31.0,,2.0,5.0,10.0,1.0,8.0,3.0,17.0,,2.0,8.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,,,,,,1.0,,,1.0,,,5.0,1.0,1.0,,4.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,442182,2012-12-26 15:00:00,"Craven Cottage, London",25700,Away,Southampton,Fulham,1,1,D,0,1,0,0,,66.0,,,1.0,22.0,43.0,4.0,4.0,176.0,4.0,8.0,1.0,2.0,6.0,3.0,101.0,187.0,63.0,8.0,,11.0,,,,2.0,28.0,12.0,27.0,5.0,16.0,28.0,167.0,,0.0,137.0,12.0,,,,1.0,2.0,47.0,65.0,3.0,45.0,1.0,23.0,7.0,2.0,171.0,,6.0,78.0,647.0,6.0,13.0,30.0,24.0,,9.0,18.0,,0.0,,3.0,27.0,69.0,2.0,80447,4.0,139.0,15.0,,,160.0,1.0,14.0,45.0,7.0,3.0,4.0,,17.0,3.0,8.0,45.0,302.0,13.0,3.0,,32.0,102.0,,1.0,0.0,3.0,,1.0,1.0,0.0,4.0,,49.4,25.0,1.0,4.0,1.0,56.0,5.0,,2.0,400.0,27.0,12.0,18.0,4.0,23.0,2.0,268.0,3.0,15.0,25.0,92.0,34.0,1.0,3.0,11.0,17.0,1.0,6.0,2.0,15.0,1.0,3.0,5.0,,1.0,1.0,,,1.0,,,2.0,,,1.0,,,,1.0,,2.0,,1.0,,6.0,1.0,1.0,,,1.0,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
20,442197,2012-12-29 15:00:00,"bet365 Stadium, Stoke",26391,Away,Southampton,Stoke City,3,3,D,3,1,0,1,,76.0,1.0,1.0,2.0,14.0,68.0,1.0,4.0,174.0,3.0,6.0,3.0,,6.0,5.0,42.0,210.0,51.0,8.0,,39.0,,1.0,,1.0,20.0,15.0,44.0,3.0,7.0,41.0,104.0,,0.0,125.0,9.0,1.0,,,1.0,1.0,48.0,65.0,6.0,38.0,,17.0,7.0,,185.0,,10.0,30.0,539.0,5.0,15.0,18.0,31.0,,5.0,33.0,1.0,2.0,4.0,,24.0,85.0,,80447,3.0,57.0,9.0,,,76.0,1.0,10.0,68.0,8.0,4.0,2.0,2.0,7.0,3.0,5.0,50.0,158.0,6.0,5.0,,37.0,106.0,,2.0,0.0,7.0,1.0,3.0,3.0,0.0,3.0,1.0,45.1,14.0,3.0,3.0,2.0,34.0,4.0,,1.0,284.0,14.0,12.0,13.0,1.0,19.0,1.0,228.0,4.0,6.0,18.0,57.0,31.0,2.0,4.0,20.0,21.0,2.0,8.0,2.0,9.0,,5.0,4.0,,,3.0,2.0,,2.0,2.0,,1.0,,,,,,,2.0,,3.0,,1.0,,4.0,,,1.0,,2.0,,,1.0,1.0,3.0,,,,1.0,,,1.0,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,
21,442203,2013-01-01 17:30:00,"St. Mary's Stadium, Southampton",31743,Home,Southampton,Arsenal,1,1,D,1,1,0,0,,68.0,1.0,1.0,,29.0,30.0,5.0,3.0,165.0,4.0,12.0,1.0,1.0,7.0,5.0,106.0,173.0,57.0,9.0,2.0,15.0,,,,,21.0,19.0,14.0,3.0,16.0,37.0,182.0,,0.0,150.0,9.0,,,1.0,,4.0,64.0,43.0,5.0,70.0,1.0,18.0,8.0,1.0,173.0,,3.0,81.0,658.0,7.0,10.0,18.0,23.0,,11.0,13.0,,2.0,3.0,2.0,23.0,71.0,1.0,80447,2.0,144.0,10.0,,,157.0,1.0,9.0,64.0,12.0,4.0,7.0,1.0,16.0,4.0,3.0,59.0,322.0,6.0,13.0,,34.0,92.0,,,0.0,3.0,,1.0,1.0,0.0,4.0,,44.1,16.0,5.0,7.0,2.0,47.0,3.0,,6.0,422.0,13.0,16.0,19.0,2.0,28.0,1.0,286.0,5.0,14.0,15.0,98.0,29.0,,1.0,7.0,24.0,1.0,9.0,3.0,23.0,,1.0,3.0,,1.0,2.0,2.0,,1.0,3.0,,2.0,,,1.0,,1.0,,1.0,,,,,,5.0,1.0,,,,,,1.0,2.0,,,2.0,2.0,,,4.0,1.0,,5.0,,26.0,314.0,404.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
22,442210,2013-01-12 15:00:00,"Villa Park, Birmingham",32500,Away,Southampton,Aston Villa,1,0,W,1,0,0,0,,64.0,1.0,2.0,2.0,22.0,58.0,5.0,6.0,154.0,4.0,7.0,1.0,3.0,12.0,4.0,81.0,192.0,49.0,15.0,1.0,33.0,,,,2.0,28.0,14.0,33.0,4.0,18.0,34.0,189.0,,0.0,167.0,6.0,5.0,,,3.0,1.0,30.0,99.0,5.0,46.0,2.0,24.0,4.0,3.0,167.0,,8.0,59.0,615.0,11.0,10.0,20.0,25.0,,11.0,24.0,,1.0,5.0,7.0,29.0,82.0,3.0,98777,7.0,60.0,17.0,,,71.0,1.0,10.0,70.0,11.0,1.0,5.0,,17.0,8.0,5.0,53.0,245.0,10.0,11.0,1.0,35.0,93.0,,,0.0,9.0,3.0,1.0,,0.0,2.0,,49.0,27.0,2.0,6.0,3.0,46.0,5.0,,1.0,340.0,14.0,14.0,19.0,8.0,22.0,4.0,297.0,7.0,16.0,17.0,109.0,26.0,1.0,,11.0,15.0,,12.0,3.0,13.0,,,5.0,,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,,1.0,2.0,,,2.0,,,4.0,2.0,2.0,,2.0,1.0,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,3.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
23,442223,2013-01-21 20:00:00,"St. Mary's Stadium, Southampton",28359,Home,Southampton,Everton,0,0,D,0,0,0,0,,63.0,,1.0,2.0,16.0,40.0,7.0,7.0,167.0,7.0,7.0,,1.0,11.0,4.0,114.0,191.0,59.0,16.0,6.0,16.0,1.0,,,2.0,27.0,16.0,20.0,10.0,18.0,39.0,208.0,,0.0,143.0,14.0,2.0,1.0,,2.0,2.0,65.0,66.0,9.0,66.0,,17.0,9.0,,171.0,,6.0,103.0,696.0,9.0,11.0,24.0,21.0,,10.0,17.0,,2.0,2.0,2.0,26.0,67.0,,80447,5.0,140.0,6.0,,,164.0,,5.0,55.0,12.0,1.0,7.0,,9.0,3.0,2.0,34.0,341.0,11.0,5.0,2.0,29.0,86.0,1.0,1.0,0.0,6.0,4.0,,,0.0,4.0,,53.4,21.0,4.0,7.0,8.0,45.0,10.0,,2.0,450.0,16.0,15.0,15.0,4.0,26.0,3.0,313.0,4.0,14.0,20.0,96.0,28.0,,1.0,10.0,21.0,,8.0,3.0,12.0,,1.0,10.0,,2.0,1.0,4.0,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,7.0,4.0,3.0,,3.0,,,,2.0,,3.0,4.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,
24,442231,2013-01-30 20:00:00,"Old Trafford, Manchester",75600,Away,Southampton,Manchester United,1,2,L,1,2,0,0,,39.0,,,1.0,25.0,13.0,15.0,5.0,192.0,8.0,5.0,1.0,4.0,6.0,4.0,125.0,170.0,47.0,20.0,6.0,19.0,,,,2.0,29.0,16.0,8.0,8.0,18.0,59.0,253.0,,0.0,186.0,11.0,4.0,,,1.0,1.0,79.0,73.0,2.0,97.0,2.0,21.0,9.0,6.0,165.0,,8.0,122.0,718.0,5.0,12.0,14.0,16.0,,2.0,4.0,,1.0,1.0,4.0,21.0,84.0,,98777,3.0,180.0,11.0,,,202.0,1.0,6.0,55.0,1.0,1.0,4.0,1.0,8.0,3.0,1.0,54.0,425.0,10.0,9.0,1.0,15.0,98.0,,,0.0,4.0,3.0,1.0,2.0,0.0,5.0,,57.3,20.0,1.0,4.0,7.0,52.0,8.0,,1.0,536.0,11.0,12.0,26.0,9.0,22.0,3.0,363.0,12.0,16.0,10.0,126.0,14.0,1.0,,2.0,21.0,2.0,13.0,3.0,10.0,,,8.0,1.0,,3.0,,,1.0,,,3.0,1.0,,1.0,,,,1.0,,,1.0,,,3.0,3.0,3.0,1.0,3.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,4.0,,1.0,,,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,
25,442248,2013-02-02 15:00:00,"DW Stadium, Wigan",18598,Away,Southampton,Wigan Athletic,2,2,D,0,1,0,0,,81.0,,,4.0,25.0,30.0,5.0,7.0,186.0,10.0,12.0,2.0,2.0,12.0,2.0,105.0,188.0,56.0,17.0,2.0,10.0,2.0,2.0,1.0,4.0,35.0,23.0,19.0,4.0,27.0,45.0,256.0,,0.0,187.0,17.0,1.0,3.0,1.0,1.0,1.0,67.0,89.0,6.0,68.0,1.0,31.0,16.0,4.0,177.0,,5.0,112.0,742.0,9.0,9.0,34.0,20.0,1.0,7.0,7.0,2.0,2.0,2.0,6.0,31.0,81.0,1.0,98777,6.0,129.0,14.0,,,145.0,,4.0,55.0,10.0,2.0,1.0,2.0,20.0,2.0,2.0,41.0,375.0,7.0,5.0,1.0,20.0,83.0,2.0,,0.0,8.0,1.0,2.0,2.0,0.0,7.0,2.0,54.6,26.0,10.0,2.0,6.0,54.0,5.0,,1.0,471.0,25.0,14.0,24.0,9.0,32.0,4.0,361.0,8.0,24.0,14.0,128.0,49.0,1.0,3.0,5.0,23.0,2.0,14.0,3.0,22.0,,3.0,5.0,1.0,,,,1.0,,,1.0,,2.0,,,,,1.0,,,1.0,,3.0,,4.0,2.0,1.0,1.0,3.0,2.0,1.0,,2.0,1.0,3.0,2.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,
26,442254,2013-02-09 17:30:00,"St. Mary's Stadium, Southampton",31738,Home,Southampton,Manchester City,3,1,W,2,1,0,0,,75.0,1.0,1.0,2.0,27.0,54.0,5.0,6.0,169.0,7.0,10.0,3.0,2.0,12.0,4.0,87.0,196.0,73.0,15.0,2.0,17.0,2.0,,,,21.0,21.0,33.0,6.0,18.0,34.0,193.0,,0.0,173.0,12.0,1.0,2.0,2.0,2.0,,65.0,88.0,6.0,73.0,5.0,16.0,6.0,3.0,174.0,1.0,3.0,81.0,670.0,10.0,14.0,24.0,28.0,1.0,14.0,31.0,,1.0,3.0,6.0,29.0,76.0,,98777,5.0,109.0,8.0,1.0,,130.0,1.0,5.0,54.0,6.0,6.0,2.0,2.0,9.0,5.0,2.0,53.0,295.0,12.0,6.0,2.0,37.0,77.0,2.0,2.0,0.0,6.0,2.0,3.0,1.0,0.0,4.0,,44.3,23.0,4.0,2.0,4.0,35.0,6.0,,,410.0,17.0,10.0,15.0,7.0,24.0,4.0,301.0,7.0,13.0,27.0,112.0,39.0,,3.0,20.0,24.0,1.0,12.0,3.0,20.0,,4.0,6.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,442263,2013-02-24 13:30:00,"St. James' Park, Newcastle",52259,Away,Southampton,Newcastle United,2,4,L,1,2,0,0,,55.0,1.0,,,33.0,40.0,6.0,3.0,163.0,3.0,6.0,2.0,4.0,9.0,3.0,119.0,165.0,63.0,11.0,3.0,25.0,,2.0,,2.0,20.0,18.0,23.0,3.0,24.0,37.0,165.0,,0.0,121.0,15.0,1.0,,1.0,3.0,2.0,38.0,82.0,5.0,60.0,1.0,17.0,5.0,3.0,148.0,1.0,9.0,107.0,683.0,7.0,16.0,23.0,21.0,1.0,13.0,17.0,2.0,4.0,4.0,4.0,29.0,64.0,1.0,80447,3.0,195.0,9.0,,1.0,208.0,2.0,7.0,66.0,1.0,3.0,3.0,2.0,9.0,6.0,5.0,52.0,357.0,13.0,8.0,,34.0,91.0,,,0.0,7.0,1.0,2.0,4.0,0.0,3.0,2.0,58.6,27.0,1.0,3.0,3.0,47.0,3.0,1.0,2.0,449.0,16.0,13.0,23.0,5.0,17.0,2.0,261.0,7.0,19.0,17.0,76.0,29.0,1.0,2.0,9.0,27.0,3.0,9.0,3.0,15.0,,2.0,3.0,4.0,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,7.0,1.0,1.0,,,1.0,1.0,1.0,,4.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,2.0,,,2.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,
