gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,savedIbox,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,attIboxTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,interceptionsInBox,totalKeeperSweeper,errorLeadToShot,attSetpiece,attAssistSetplay,attCorner,attFastbreak,accurateFlickOn,attBxLeft,effectiveBlockedCross,blockedCross,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,goalAssistOpenplay,goalFastbreak,attOneOnOne,midfielderGoals,freekickCross,goalAssist,goalsOpenplay,attSvLowRight,punches,lostCorners,attIboxGoal,goalAssistIntentional,forwardGoals,handBall,bigChanceScored,attGoalLowCentre,postScoringAtt,attIboxPost,attOboxGoal,attSvHighLeft,attGoalHighCentre,subsGoals,attHdTarget,hitWoodwork,accurateFreekickCross,attRfGoal,attFreekickGoal,goalsConceded,attCmissHighRight,attPostRight,goalsConcededIbox,errorLeadToGoal,attGoalHighRight,ptsGainedLosingPos,defenderGoals,attFreekickTarget,goalsConcededObox,attSvHighRight,contentiousDecision,attGoalHighLeft,shieldBallOop,attHdPost,attObxdLeft,attPostHigh,secondYellow,attPostLeft,penaltyConceded,penaltyFaced,goalAssistSetplay,goalAssistDeadball,attPenTarget,penaltyWon,attCmissHighLeft,foulThrowIn,penGoalsConceded,attHdGoal,ptsDroppedWinningPos,attPenGoal,clearanceOffLine,penaltySave,attOboxPost
11,442099,2012-11-10 15:00:00,"Emirates Stadium, London",60093,Home,Arsenal,Fulham,3,3,D,2,2,0,0,1.0,52.0,1.0,,33.0,18.0,6.0,5.0,8.0,2.0,2.0,203.0,5.0,10.0,4.0,12.0,1.0,1.0,6.0,139.0,129.0,59.0,1.0,14.0,2.0,15.0,1.0,,39.0,14.0,1.0,6.0,8.0,33.0,24.0,247.0,,,0.0,159.0,11.0,1.0,1.0,,,65.0,100.0,6.0,103.0,1.0,31.0,6.0,1.0,7.0,3.0,129.0,4.0,7.0,120.0,758.0,7.0,8.0,23.0,12.0,485.0,14.0,2.0,9.0,9.0,1.0,2.0,5.0,17.0,547.0,69.0,1.0,8758,7.0,256.0,3.0,22.0,,265.0,1.0,8.0,44.0,1.0,3.0,1.0,6.0,8.0,4.0,4.0,2.0,49.0,498.0,10.0,4.0,16.0,81.0,,0.0,1.0,1.0,0.0,3.0,4.0,56.4,14.0,2.0,5.0,1.0,6.0,2.0,59.0,8.0,,565.0,8.0,1.0,9.0,10.0,6.0,39.0,2.0,2.0,339.0,5.0,31.0,16.0,118.0,25.0,2.0,23.0,9.0,3.0,15.0,8.0,2.0,,,,,1.0,,1.0,1.0,1.0,2.0,,3.0,,1.0,2.0,,,1.0,3.0,2.0,,,,2.0,3.0,2.0,2.0,,6.0,3.0,3.0,3.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,3.0,,1.0,3.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,
12,442109,2012-11-17 12:45:00,"Emirates Stadium, London",60111,Home,Arsenal,Tottenham Hotspur,5,2,W,3,1,0,1,,46.0,,3.0,44.0,23.0,2.0,7.0,11.0,1.0,,186.0,5.0,10.0,2.0,10.0,,,7.0,162.0,125.0,55.0,,13.0,,7.0,1.0,1.0,28.0,12.0,,12.0,4.0,22.0,31.0,278.0,,,0.0,171.0,13.0,1.0,2.0,,,52.0,111.0,7.0,96.0,,24.0,2.0,,5.0,2.0,125.0,1.0,4.0,146.0,773.0,5.0,9.0,30.0,14.0,502.0,19.0,,6.0,16.0,1.0,2.0,3.0,18.0,570.0,73.0,5.0,8758,8.0,244.0,,16.0,,260.0,1.0,6.0,44.0,1.0,11.0,4.0,4.0,5.0,3.0,3.0,2.0,58.0,517.0,12.0,7.0,13.0,82.0,,0.0,,1.0,0.0,5.0,3.0,65.8,16.0,,3.0,,4.0,3.0,63.0,6.0,,590.0,12.0,,10.0,17.0,3.0,39.0,,1.0,358.0,3.0,22.0,18.0,129.0,18.0,8.0,15.0,11.0,3.0,18.0,6.0,2.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,,,3.0,2.0,,2.0,2.0,2.0,2.0,5.0,3.0,,,3.0,3.0,4.0,4.0,,,6.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,2.0,,1.0,2.0,,2.0,,,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,
13,442119,2012-11-24 17:30:00,"Villa Park, Birmingham",34607,Away,Arsenal,Aston Villa,0,0,D,0,0,0,0,,61.0,3.0,1.0,36.0,27.0,6.0,5.0,6.0,4.0,1.0,193.0,3.0,6.0,1.0,11.0,1.0,2.0,1.0,146.0,138.0,50.0,,12.0,3.0,12.0,2.0,2.0,27.0,11.0,,19.0,6.0,32.0,22.0,300.0,,1.0,0.0,176.0,10.0,2.0,1.0,1.0,1.0,88.0,94.0,5.0,114.0,2.0,21.0,6.0,,2.0,3.0,138.0,1.0,4.0,149.0,809.0,11.0,12.0,23.0,17.0,516.0,28.0,2.0,6.0,17.0,0.0,4.0,6.0,20.0,588.0,53.0,,8758,2.0,231.0,1.0,18.0,,255.0,2.0,6.0,38.0,,4.0,3.0,6.0,21.0,5.0,5.0,1.0,50.0,528.0,6.0,2.0,17.0,81.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,62.6,20.0,1.0,3.0,,6.0,4.0,63.0,6.0,1.0,602.0,11.0,,10.0,16.0,7.0,31.0,1.0,4.0,374.0,6.0,30.0,19.0,148.0,22.0,11.0,19.0,11.0,3.0,11.0,6.0,1.0,,,3.0,,1.0,3.0,2.0,,,1.0,,5.0,1.0,,1.0,,,,,,,,,1.0,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14,442138,2012-11-28 19:45:00,"Goodison Park, Liverpool",37141,Away,Arsenal,Everton,1,1,D,1,1,0,0,2.0,58.0,4.0,3.0,37.0,38.0,6.0,6.0,5.0,8.0,,202.0,4.0,14.0,2.0,10.0,,1.0,3.0,127.0,177.0,70.0,1.0,11.0,2.0,14.0,1.0,,27.0,21.0,2.0,18.0,6.0,29.0,18.0,253.0,,,0.0,161.0,9.0,2.0,3.0,,,63.0,95.0,7.0,75.0,1.0,21.0,6.0,1.0,5.0,2.0,177.0,,7.0,129.0,786.0,9.0,15.0,22.0,24.0,413.0,25.0,2.0,9.0,18.0,1.0,2.0,3.0,21.0,509.0,85.0,3.0,8758,3.0,180.0,,16.0,,206.0,,7.0,58.0,,6.0,,5.0,14.0,7.0,3.0,,65.0,429.0,15.0,5.0,31.0,89.0,,0.0,4.0,4.0,0.0,3.0,1.0,57.4,19.0,1.0,2.0,,5.0,5.0,51.0,6.0,,533.0,20.0,,18.0,9.0,3.0,30.0,1.0,1.0,354.0,4.0,24.0,18.0,112.0,23.0,8.0,23.0,10.0,3.0,26.0,6.0,,,,2.0,2.0,1.0,2.0,,,,,,3.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,
15,442139,2012-12-01 15:00:00,"Emirates Stadium, London",60098,Home,Arsenal,Swansea City,0,2,L,0,0,0,0,3.0,48.0,,2.0,40.0,14.0,4.0,6.0,6.0,5.0,,169.0,4.0,10.0,2.0,8.0,,,5.0,176.0,122.0,45.0,,10.0,1.0,6.0,,,30.0,10.0,2.0,8.0,7.0,22.0,13.0,365.0,,,0.0,230.0,12.0,2.0,2.0,1.0,,111.0,104.0,6.0,85.0,1.0,23.0,4.0,,3.0,1.0,122.0,,10.0,182.0,788.0,8.0,4.0,30.0,13.0,537.0,20.0,1.0,4.0,6.0,1.0,5.0,2.0,17.0,596.0,68.0,,8758,5.0,189.0,,20.0,,197.0,1.0,4.0,46.0,,5.0,,2.0,9.0,4.0,3.0,,55.0,550.0,9.0,6.0,12.0,58.0,,0.0,3.0,5.0,0.0,3.0,3.0,52.5,17.0,1.0,4.0,,2.0,3.0,46.0,8.0,,612.0,11.0,,13.0,7.0,2.0,42.0,1.0,1.0,445.0,1.0,20.0,12.0,186.0,21.0,4.0,14.0,10.0,3.0,19.0,8.0,3.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,2.0,,,,,2.0,,,2.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
16,442149,2012-12-08 15:00:00,"Emirates Stadium, London",60083,Home,Arsenal,West Bromwich Albion,2,0,W,1,0,0,0,,65.0,1.0,4.0,30.0,17.0,5.0,3.0,14.0,1.0,1.0,184.0,5.0,12.0,6.0,13.0,2.0,,3.0,125.0,147.0,72.0,2.0,19.0,3.0,12.0,,2.0,28.0,20.0,,10.0,5.0,30.0,29.0,217.0,1.0,1.0,0.0,157.0,13.0,1.0,4.0,1.0,,77.0,69.0,6.0,69.0,3.0,23.0,5.0,2.0,4.0,2.0,147.0,2.0,5.0,122.0,713.0,12.0,12.0,31.0,13.0,406.0,21.0,2.0,6.0,11.0,2.0,2.0,7.0,28.0,485.0,73.0,1.0,98980,11.0,203.0,3.0,17.0,,221.0,3.0,6.0,49.0,,7.0,6.0,2.0,7.0,3.0,2.0,1.0,51.0,415.0,12.0,6.0,20.0,75.0,2.0,0.0,3.0,,0.0,4.0,3.0,59.0,26.0,2.0,5.0,,2.0,7.0,41.0,7.0,,500.0,11.0,1.0,9.0,14.0,9.0,35.0,1.0,7.0,307.0,13.0,28.0,24.0,114.0,37.0,6.0,24.0,11.0,3.0,24.0,7.0,1.0,,1.0,2.0,,,2.0,,1.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,,,,2.0,,,,2.0,2.0,,,,1.0,4.0,2.0,,,3.0,2.0,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,2.0,,,
17,442165,2012-12-17 20:00:00,"Select Car Leasing Stadium, Reading",24125,Away,Arsenal,Reading,5,2,W,3,0,0,0,2.0,55.0,1.0,5.0,41.0,17.0,7.0,12.0,19.0,1.0,5.0,221.0,6.0,14.0,1.0,22.0,2.0,3.0,13.0,197.0,134.0,51.0,1.0,26.0,1.0,15.0,,1.0,21.0,12.0,2.0,11.0,7.0,33.0,33.0,347.0,1.0,,0.0,201.0,4.0,,6.0,4.0,2.0,96.0,85.0,17.0,117.0,4.0,14.0,7.0,1.0,,4.0,134.0,6.0,5.0,189.0,920.0,16.0,3.0,45.0,12.0,628.0,26.0,1.0,3.0,9.0,1.0,4.0,5.0,24.0,712.0,80.0,3.0,8758,14.0,294.0,3.0,14.0,,312.0,3.0,6.0,44.0,,10.0,3.0,5.0,12.0,4.0,3.0,,59.0,635.0,7.0,13.0,20.0,92.0,1.0,0.0,1.0,,0.0,5.0,2.0,67.1,22.0,,3.0,1.0,5.0,6.0,63.0,7.0,2.0,724.0,9.0,1.0,8.0,15.0,7.0,33.0,1.0,3.0,433.0,12.0,32.0,14.0,153.0,21.0,5.0,16.0,24.0,3.0,18.0,7.0,6.0,,4.0,1.0,1.0,,1.0,,,1.0,1.0,4.0,2.0,4.0,,1.0,3.0,1.0,4.0,5.0,5.0,,2.0,4.0,,5.0,5.0,,1.0,3.0,5.0,5.0,1.0,,3.0,1.0,,,,2.0,,,1.0,,,,,2.0,1.0,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
18,442178,2012-12-22 12:45:00,"DW Stadium, Wigan",21754,Away,Arsenal,Wigan Athletic,1,0,W,0,0,0,0,,55.0,2.0,2.0,26.0,21.0,5.0,5.0,6.0,3.0,3.0,183.0,2.0,9.0,5.0,6.0,2.0,,4.0,127.0,136.0,49.0,2.0,11.0,3.0,8.0,1.0,,14.0,11.0,1.0,12.0,4.0,25.0,18.0,221.0,,1.0,0.0,126.0,9.0,3.0,,1.0,,51.0,119.0,5.0,67.0,,10.0,5.0,2.0,1.0,1.0,136.0,1.0,6.0,119.0,696.0,6.0,8.0,18.0,16.0,393.0,19.0,1.0,2.0,5.0,1.0,2.0,1.0,22.0,464.0,60.0,1.0,8758,4.0,196.0,1.0,8.0,,218.0,4.0,16.0,51.0,1.0,5.0,1.0,7.0,9.0,8.0,10.0,1.0,48.0,415.0,14.0,10.0,16.0,88.0,,0.0,6.0,1.0,0.0,1.0,,49.6,20.0,,4.0,1.0,7.0,5.0,58.0,4.0,,496.0,12.0,1.0,15.0,9.0,2.0,21.0,1.0,1.0,292.0,6.0,23.0,10.0,90.0,22.0,2.0,16.0,8.0,3.0,19.0,4.0,2.0,,,1.0,,,1.0,,,,,,2.0,1.0,2.0,5.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,4.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
19,442179,2013-01-23 19:45:00,"Emirates Stadium, London",60081,Home,Arsenal,West Ham United,5,1,W,1,1,0,0,2.0,62.0,1.0,8.0,35.0,26.0,10.0,14.0,14.0,2.0,3.0,182.0,4.0,8.0,2.0,18.0,1.0,,10.0,172.0,131.0,52.0,2.0,24.0,2.0,7.0,4.0,,31.0,16.0,3.0,13.0,7.0,30.0,17.0,331.0,2.0,,0.0,223.0,9.0,1.0,6.0,1.0,,63.0,86.0,14.0,94.0,2.0,24.0,10.0,2.0,2.0,4.0,131.0,3.0,6.0,176.0,824.0,13.0,11.0,52.0,17.0,528.0,24.0,,7.0,16.0,0.0,4.0,4.0,11.0,603.0,65.0,3.0,81880,5.0,219.0,1.0,22.0,2.0,236.0,3.0,6.0,38.0,,10.0,2.0,5.0,7.0,4.0,3.0,,48.0,546.0,11.0,8.0,13.0,62.0,,0.0,2.0,2.0,0.0,2.0,,69.1,10.0,,7.0,,5.0,10.0,52.0,13.0,,624.0,15.0,,7.0,16.0,4.0,41.0,2.0,,419.0,10.0,26.0,17.0,175.0,25.0,6.0,16.0,17.0,3.0,15.0,13.0,2.0,,1.0,2.0,,,2.0,,2.0,,3.0,1.0,4.0,,2.0,2.0,,4.0,4.0,5.0,4.0,1.0,,3.0,,5.0,4.0,3.0,1.0,5.0,4.0,4.0,2.0,,2.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,3.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,
20,442189,2012-12-29 17:30:00,"Emirates Stadium, London",60087,Home,Arsenal,Newcastle United,7,3,W,1,1,0,0,3.0,58.0,4.0,1.0,22.0,26.0,5.0,4.0,11.0,4.0,,149.0,5.0,14.0,3.0,14.0,1.0,,10.0,120.0,113.0,60.0,,16.0,1.0,7.0,1.0,2.0,20.0,22.0,1.0,13.0,5.0,19.0,26.0,203.0,,,0.0,147.0,9.0,2.0,9.0,,5.0,40.0,89.0,11.0,58.0,1.0,15.0,5.0,,1.0,2.0,113.0,5.0,4.0,89.0,619.0,7.0,10.0,26.0,9.0,331.0,20.0,,4.0,17.0,0.0,2.0,3.0,20.0,401.0,62.0,3.0,8758,3.0,146.0,2.0,13.0,,160.0,1.0,5.0,39.0,,11.0,2.0,10.0,4.0,7.0,4.0,,38.0,344.0,10.0,6.0,12.0,64.0,,0.0,,,0.0,3.0,3.0,44.2,18.0,1.0,6.0,,10.0,2.0,47.0,5.0,5.0,416.0,9.0,,7.0,13.0,4.0,28.0,2.0,1.0,276.0,9.0,19.0,12.0,101.0,22.0,7.0,24.0,14.0,3.0,25.0,5.0,2.0,,4.0,2.0,2.0,1.0,2.0,,1.0,1.0,1.0,4.0,4.0,1.0,,4.0,3.0,2.0,,7.0,5.0,2.0,2.0,2.0,1.0,6.0,6.0,1.0,,6.0,6.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,,,2.0,,2.0,,5.0,,3.0,,,2.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,2.0,,,,,
21,442203,2013-01-01 17:30:00,"St. Mary's Stadium, Southampton",31743,Away,Arsenal,Southampton,1,1,D,1,1,0,0,,71.0,2.0,1.0,34.0,31.0,4.0,3.0,2.0,5.0,1.0,208.0,2.0,13.0,3.0,4.0,,1.0,1.0,140.0,175.0,64.0,,6.0,2.0,15.0,,1.0,23.0,17.0,1.0,18.0,3.0,26.0,20.0,249.0,,,0.0,171.0,7.0,1.0,2.0,,,53.0,110.0,3.0,75.0,1.0,20.0,4.0,,2.0,1.0,175.0,,4.0,119.0,771.0,4.0,7.0,17.0,18.0,427.0,27.0,,6.0,16.0,0.0,2.0,1.0,27.0,531.0,84.0,1.0,98980,,188.0,,15.0,,212.0,,4.0,57.0,,3.0,3.0,6.0,10.0,5.0,3.0,,62.0,435.0,9.0,12.0,27.0,80.0,1.0,0.0,6.0,2.0,0.0,2.0,,55.9,23.0,,3.0,,6.0,3.0,40.0,3.0,1.0,542.0,11.0,,12.0,12.0,2.0,31.0,,1.0,353.0,3.0,24.0,15.0,116.0,31.0,9.0,27.0,6.0,3.0,25.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,2.0,1.0,4.0,,,,1.0,,,,,3.0,,,,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,442209,2013-01-13 16:00:00,"Emirates Stadium, London",60107,Home,Arsenal,Manchester City,0,2,L,0,2,1,1,2.0,54.0,1.0,1.0,33.0,21.0,3.0,3.0,6.0,3.0,1.0,169.0,3.0,6.0,6.0,7.0,,,3.0,90.0,146.0,58.0,,9.0,1.0,25.0,1.0,,21.0,12.0,,13.0,2.0,6.0,29.0,165.0,2.0,,0.0,125.0,12.0,2.0,1.0,1.0,,42.0,61.0,4.0,46.0,,19.0,3.0,,6.0,2.0,146.0,2.0,12.0,80.0,587.0,6.0,11.0,14.0,32.0,276.0,24.0,1.0,11.0,13.0,2.0,5.0,3.0,27.0,358.0,56.0,2.0,81880,2.0,125.0,2.0,9.0,,146.0,2.0,10.0,58.0,,3.0,3.0,4.0,7.0,6.0,3.0,1.0,63.0,287.0,18.0,6.0,28.0,82.0,,0.0,1.0,3.0,1.0,3.0,1.0,40.0,24.0,1.0,1.0,1.0,4.0,2.0,42.0,2.0,,385.0,22.0,,7.0,15.0,4.0,33.0,,2.0,260.0,5.0,4.0,20.0,82.0,22.0,9.0,13.0,6.0,3.0,15.0,2.0,3.0,,,2.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,,5.0,3.0,3.0,4.0,,,,,,,1.0,,4.0,,,,,7.0,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,
23,442219,2013-01-20 13:30:00,"Stamford Bridge, London",41784,Away,Arsenal,Chelsea,1,2,L,0,2,0,0,2.0,66.0,2.0,,32.0,30.0,6.0,6.0,6.0,4.0,2.0,175.0,5.0,16.0,5.0,8.0,,1.0,6.0,108.0,166.0,71.0,2.0,12.0,2.0,18.0,1.0,1.0,29.0,18.0,2.0,17.0,9.0,14.0,17.0,186.0,,,0.0,140.0,11.0,4.0,2.0,1.0,,45.0,75.0,5.0,46.0,2.0,20.0,6.0,2.0,4.0,2.0,166.0,2.0,9.0,77.0,656.0,7.0,8.0,16.0,22.0,316.0,31.0,,10.0,17.0,1.0,3.0,3.0,17.0,389.0,62.0,4.0,80254,5.0,144.0,1.0,13.0,,159.0,1.0,12.0,79.0,1.0,6.0,5.0,6.0,10.0,5.0,4.0,1.0,53.0,325.0,10.0,12.0,21.0,71.0,1.0,0.0,2.0,3.0,0.0,5.0,2.0,49.7,12.0,1.0,3.0,,7.0,2.0,40.0,9.0,,406.0,18.0,1.0,23.0,11.0,4.0,28.0,,2.0,276.0,4.0,12.0,21.0,93.0,24.0,11.0,24.0,9.0,2.0,31.0,9.0,3.0,,,,3.0,2.0,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,
24,442229,2013-01-30 19:45:00,"Emirates Stadium, London",60089,Home,Arsenal,Liverpool,2,2,D,0,1,0,0,1.0,52.0,,2.0,27.0,19.0,8.0,7.0,11.0,2.0,2.0,200.0,7.0,6.0,3.0,15.0,1.0,,6.0,160.0,147.0,57.0,1.0,19.0,3.0,14.0,2.0,2.0,31.0,16.0,1.0,9.0,8.0,19.0,18.0,345.0,,,0.0,221.0,9.0,2.0,4.0,1.0,,94.0,91.0,6.0,79.0,1.0,23.0,8.0,1.0,5.0,4.0,147.0,3.0,10.0,169.0,835.0,10.0,8.0,39.0,13.0,516.0,15.0,1.0,6.0,10.0,3.0,4.0,8.0,28.0,591.0,92.0,4.0,8597,7.0,191.0,3.0,16.0,,203.0,1.0,9.0,57.0,3.0,4.0,1.0,4.0,13.0,3.0,5.0,4.0,47.0,529.0,11.0,7.0,16.0,74.0,2.0,0.0,2.0,3.0,0.0,6.0,5.0,61.8,28.0,3.0,5.0,,4.0,5.0,54.0,8.0,,608.0,11.0,,13.0,11.0,8.0,44.0,1.0,4.0,436.0,7.0,18.0,17.0,169.0,27.0,5.0,23.0,13.0,1.0,21.0,8.0,3.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,,1.0,2.0,2.0,1.0,2.0,,6.0,2.0,2.0,1.0,,,,,,,,,,1.0,,2.0,1.0,,2.0,,,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,
25,442239,2013-02-02 15:00:00,"Emirates Stadium, London",59872,Home,Arsenal,Stoke City,1,0,W,0,0,0,0,,56.0,1.0,3.0,26.0,28.0,11.0,6.0,12.0,1.0,3.0,197.0,8.0,15.0,4.0,15.0,1.0,,5.0,169.0,141.0,69.0,1.0,23.0,7.0,31.0,1.0,2.0,36.0,9.0,,18.0,10.0,36.0,17.0,402.0,2.0,1.0,0.0,253.0,3.0,,3.0,,,107.0,89.0,7.0,77.0,1.0,26.0,11.0,1.0,6.0,3.0,141.0,2.0,2.0,182.0,844.0,13.0,9.0,28.0,16.0,535.0,20.0,1.0,7.0,23.0,0.0,2.0,8.0,19.0,608.0,71.0,2.0,8758,7.0,155.0,3.0,19.0,,170.0,2.0,5.0,49.0,,6.0,2.0,5.0,14.0,5.0,4.0,2.0,35.0,549.0,13.0,3.0,16.0,61.0,,0.0,5.0,,0.0,5.0,5.0,65.4,15.0,4.0,6.0,,5.0,10.0,41.0,11.0,,625.0,13.0,,8.0,9.0,8.0,48.0,3.0,5.0,491.0,12.0,36.0,31.0,212.0,23.0,15.0,10.0,17.0,3.0,19.0,11.0,4.0,,,,2.0,,,,,2.0,5.0,,5.0,1.0,,2.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,442256,2013-02-09 15:00:00,"Stadium of Light, Sunderland",46402,Away,Arsenal,Sunderland,1,0,W,1,0,1,0,3.0,67.0,1.0,1.0,37.0,50.0,8.0,10.0,11.0,6.0,4.0,224.0,1.0,17.0,,16.0,1.0,,8.0,162.0,124.0,64.0,,19.0,1.0,19.0,2.0,1.0,7.0,17.0,2.0,26.0,1.0,39.0,15.0,324.0,1.0,1.0,0.0,206.0,13.0,3.0,2.0,2.0,3.0,63.0,53.0,9.0,76.0,3.0,6.0,8.0,,,5.0,124.0,2.0,11.0,155.0,809.0,14.0,13.0,23.0,14.0,511.0,26.0,,14.0,32.0,1.0,2.0,7.0,4.0,597.0,77.0,3.0,90801,4.0,199.0,2.0,6.0,,225.0,2.0,12.0,58.0,2.0,11.0,1.0,7.0,7.0,4.0,6.0,3.0,58.0,522.0,6.0,12.0,34.0,92.0,1.0,0.0,1.0,5.0,1.0,,1.0,61.3,4.0,,3.0,,7.0,2.0,65.0,2.0,3.0,617.0,12.0,,6.0,9.0,9.0,27.0,1.0,3.0,399.0,8.0,36.0,22.0,156.0,28.0,18.0,19.0,18.0,2.0,25.0,2.0,5.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,4.0,5.0,,3.0,,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,3.0,3.0,11.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
