gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attSvHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attemptsIbox,saves,attRfTarget,attGoalLowCentre,attGoalHighRight,winningGoal,attSvLowLeft,interceptionsInBox,attMissRight,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,attLgCentre,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,successfulOpenPlayPass,openPlayPass,attSetpiece,ownGoals,defenderGoals,attObpGoal,attFreekickGoal,goalsConceded,attSvHighCentre,attFreekickMiss,attIboxMiss,goalsConcededIbox,ptsDroppedWinningPos,attBxRight,attMissLeft,offtargetAttAssist,attAssistSetplay,accurateFlickOn,shieldBallOop,errorLeadToGoal,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,attHdPost,errorLeadToShot,attFastbreak,attCmissLeft,attPostHigh,attHdMiss,attMissHighRight,contentiousDecision,accuratePullBack,attCmissRight,sixYardBlock,handBall,attSvHighLeft,clearanceOffLine,penaltySave,ptsGainedLosingPos,penaltyConceded,attCorner,penaltyFaced,attCmissHighRight,attPostLeft,attOboxPost,penGoalsConceded,attObxLeft,goalFastbreak,attCmissHighLeft,attPostRight
11,442099,2012-11-10 15:00:00,"Emirates Stadium, London",60093,Away,Fulham,Arsenal,3,3,D,2,2,0,0,2.0,2.0,58.0,2.0,,1.0,1.0,1.0,1.0,36.0,37.0,4.0,5.0,,147.0,4.0,4.0,3.0,2.0,8.0,5.0,115.0,118.0,44.0,,11.0,1.0,16.0,1.0,,1.0,1.0,16.0,12.0,1.0,20.0,5.0,4.0,27.0,,162.0,,,,1.0,0.0,86.0,12.0,2.0,,1.0,2.0,39.0,55.0,5.0,79.0,11.0,,4.0,2.0,118.0,1.0,8.0,106.0,645.0,5.0,18.0,20.0,,6.0,18.0,2.0,,2.0,2.0,15.0,42.0,,,8595,4.0,220.0,,6.0,235.0,1.0,1.0,8.0,59.0,,,5.0,7.0,1.0,7.0,6.0,5.0,,1.0,65.0,378.0,11.0,10.0,26.0,78.0,,,,0.0,,,8.0,2.0,3.0,0.0,2.0,2.0,3.0,43.6,14.0,2.0,1.0,8.0,2.0,47.0,6.0,2.0,447.0,9.0,16.0,16.0,4.0,22.0,2.0,228.0,3.0,4.0,15.0,61.0,24.0,2.0,11.0,12.0,14.0,2.0,8.0,2.0,11.0,11.0,6.0,,7.0,3.0,,1.0,,,,2.0,4.0,4.0,,,1.0,,7.0,17.0,,,363.0,426.0,,,,,,3.0,1.0,,2.0,3.0,2.0,,,3.0,1.0,1.0,,,4.0,,,4.0,,1.0,4.0,,,1.0,,1.0,,2.0,,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,
12,442110,2012-11-18 16:00:00,"Craven Cottage, London",25646,Home,Fulham,Sunderland,1,3,L,0,0,1,0,2.0,1.0,71.0,,,2.0,2.0,,,37.0,32.0,8.0,8.0,1.0,158.0,4.0,7.0,1.0,3.0,16.0,7.0,131.0,146.0,57.0,3.0,20.0,5.0,20.0,5.0,,1.0,3.0,18.0,12.0,1.0,14.0,4.0,6.0,42.0,2.0,227.0,,,,,0.0,152.0,10.0,1.0,,,2.0,68.0,46.0,11.0,69.0,14.0,3.0,7.0,2.0,128.0,3.0,4.0,122.0,661.0,14.0,24.0,23.0,1.0,12.0,19.0,1.0,,1.0,2.0,15.0,59.0,,,9493,8.0,169.0,2.0,7.0,185.0,,,4.0,47.0,,2.0,4.0,8.0,1.0,6.0,7.0,3.0,,,57.0,392.0,13.0,6.0,25.0,72.0,,3.0,,0.0,,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,49.3,13.0,2.0,2.0,8.0,7.0,40.0,4.0,2.0,480.0,21.0,4.0,17.0,6.0,33.0,,313.0,9.0,6.0,22.0,105.0,34.0,1.0,2.0,12.0,15.0,,14.0,3.0,15.0,2.0,4.0,1.0,,,4.0,1.0,,,,3.0,1.0,,,,,,3.0,,,1.0,,,2.0,,,,,3.0,,,4.0,2.0,,1.0,4.0,5.0,1.0,2.0,,,,,,,,1.0,,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
13,442124,2012-11-24 15:00:00,"bet365 Stadium, Stoke",26921,Away,Fulham,Stoke City,0,1,L,0,1,0,0,1.0,,48.0,,,,,,,27.0,47.0,7.0,4.0,,167.0,5.0,6.0,,4.0,9.0,2.0,110.0,179.0,54.0,,9.0,3.0,25.0,1.0,1.0,,1.0,22.0,14.0,1.0,21.0,2.0,8.0,29.0,,250.0,,,,,0.0,153.0,11.0,,,2.0,1.0,56.0,89.0,5.0,79.0,20.0,,2.0,3.0,153.0,1.0,9.0,133.0,710.0,9.0,18.0,21.0,,4.0,19.0,,1.0,1.0,3.0,31.0,63.0,,,9493,,153.0,1.0,16.0,179.0,,,13.0,61.0,,1.0,2.0,7.0,,6.0,7.0,5.0,,,43.0,398.0,16.0,6.0,21.0,81.0,,,2.0,0.0,,2.0,7.0,1.0,,0.0,5.0,,,59.7,24.0,2.0,,8.0,3.0,48.0,2.0,2.0,489.0,11.0,11.0,13.0,4.0,13.0,,332.0,5.0,7.0,15.0,113.0,17.0,,2.0,8.0,17.0,,8.0,2.0,14.0,2.0,2.0,,,,1.0,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,4.0,,1.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,
14,442137,2012-11-28 19:45:00,"Stamford Bridge, London",41707,Away,Fulham,Chelsea,0,0,D,0,0,0,0,1.0,,53.0,,,1.0,2.0,,,29.0,55.0,5.0,4.0,,128.0,1.0,7.0,,1.0,7.0,4.0,100.0,135.0,56.0,2.0,9.0,1.0,15.0,,,,3.0,8.0,24.0,4.0,34.0,1.0,5.0,28.0,1.0,145.0,,1.0,,,0.0,82.0,12.0,1.0,,,,56.0,49.0,5.0,81.0,7.0,2.0,3.0,,114.0,1.0,4.0,96.0,623.0,6.0,29.0,29.0,,11.0,20.0,,,0.0,11.0,17.0,43.0,,,9493,1.0,184.0,1.0,4.0,211.0,,,6.0,42.0,,,2.0,4.0,,6.0,13.0,3.0,1.0,,48.0,328.0,10.0,2.0,29.0,72.0,,,1.0,0.0,1.0,1.0,10.0,2.0,,0.0,1.0,,,40.3,14.0,,2.0,5.0,3.0,40.0,2.0,,405.0,14.0,7.0,12.0,2.0,5.0,,202.0,5.0,5.0,13.0,61.0,15.0,,4.0,10.0,26.0,,7.0,3.0,14.0,4.0,2.0,,,,3.0,,,,1.0,6.0,,,,,,,9.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,2.0,1.0,3.0,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
15,442140,2012-12-01 15:00:00,"Craven Cottage, London",25426,Home,Fulham,Tottenham Hotspur,0,3,L,0,0,0,0,,,69.0,,,1.0,,,,37.0,14.0,3.0,2.0,,165.0,6.0,4.0,,3.0,6.0,2.0,104.0,153.0,57.0,1.0,8.0,,15.0,2.0,1.0,,1.0,23.0,13.0,,8.0,2.0,3.0,36.0,,175.0,,,,,0.0,121.0,10.0,,,1.0,,50.0,54.0,2.0,83.0,21.0,1.0,4.0,3.0,147.0,1.0,6.0,107.0,641.0,5.0,16.0,24.0,,16.0,6.0,,1.0,0.0,,21.0,85.0,,,9493,3.0,204.0,1.0,16.0,218.0,,,7.0,51.0,,1.0,2.0,2.0,,15.0,4.0,6.0,3.0,,62.0,373.0,9.0,5.0,37.0,99.0,,,,0.0,,2.0,1.0,2.0,,0.0,5.0,,3.0,45.8,19.0,3.0,,2.0,,57.0,2.0,,459.0,14.0,14.0,19.0,6.0,15.0,1.0,264.0,3.0,3.0,24.0,76.0,39.0,,5.0,2.0,20.0,,6.0,3.0,12.0,5.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,10.0,,1.0,,,,,,,,,3.0,,1.0,3.0,2.0,,,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
16,442152,2012-12-10 20:00:00,"Craven Cottage, London",25270,Home,Fulham,Newcastle United,2,1,W,1,0,0,0,,1.0,74.0,,,5.0,,1.0,1.0,33.0,43.0,6.0,3.0,,176.0,5.0,4.0,2.0,2.0,14.0,7.0,82.0,187.0,63.0,,16.0,,24.0,3.0,2.0,1.0,3.0,21.0,18.0,2.0,19.0,5.0,4.0,38.0,1.0,178.0,,,,,0.0,134.0,14.0,4.0,1.0,1.0,4.0,35.0,78.0,5.0,64.0,16.0,,4.0,3.0,163.0,2.0,8.0,79.0,635.0,11.0,18.0,28.0,,12.0,28.0,2.0,2.0,0.0,7.0,21.0,62.0,,1.0,88734,7.0,125.0,2.0,11.0,143.0,1.0,,11.0,66.0,,,,5.0,1.0,14.0,12.0,6.0,1.0,,59.0,298.0,11.0,10.0,31.0,92.0,1.0,,3.0,0.0,,2.0,4.0,2.0,2.0,0.0,4.0,2.0,2.0,45.3,17.0,2.0,1.0,5.0,,49.0,5.0,4.0,401.0,9.0,8.0,21.0,9.0,16.0,1.0,279.0,11.0,4.0,23.0,89.0,28.0,1.0,2.0,11.0,25.0,1.0,14.0,2.0,15.0,2.0,5.0,1.0,,,5.0,,1.0,,2.0,,1.0,,,,,,8.0,,,1.0,,,1.0,,,,,1.0,,,5.0,,,2.0,3.0,9.0,1.0,2.0,,,,1.0,,2.0,,,,2.0,,1.0,3.0,,,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,
17,442164,2012-12-15 15:00:00,"MATRADE Loftus Road, London",18233,Away,Fulham,Queens Park Rangers,1,2,L,0,0,0,0,1.0,,57.0,,1.0,2.0,,,,35.0,23.0,3.0,2.0,1.0,175.0,2.0,1.0,1.0,2.0,3.0,2.0,116.0,166.0,37.0,1.0,5.0,1.0,18.0,,1.0,1.0,,17.0,3.0,1.0,11.0,3.0,11.0,33.0,,176.0,,,1.0,,0.0,110.0,15.0,2.0,,1.0,3.0,62.0,58.0,2.0,77.0,14.0,1.0,6.0,,154.0,,9.0,118.0,675.0,1.0,15.0,26.0,,6.0,16.0,1.0,1.0,2.0,3.0,35.0,62.0,,,9493,2.0,217.0,,7.0,230.0,,,13.0,57.0,,,2.0,6.0,1.0,15.0,11.0,7.0,,,71.0,391.0,10.0,8.0,33.0,110.0,,,1.0,0.0,1.0,,3.0,2.0,,0.0,1.0,,1.0,55.1,31.0,,,6.0,1.0,53.0,3.0,3.0,486.0,13.0,14.0,12.0,2.0,18.0,1.0,273.0,2.0,11.0,17.0,66.0,18.0,1.0,2.0,10.0,9.0,,2.0,3.0,4.0,2.0,3.0,2.0,,,,,,,,1.0,2.0,,,,,,8.0,,,,,,1.0,,,,,2.0,,,2.0,,,,,1.0,1.0,3.0,1.0,,,,,,,1.0,,,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,
18,442170,2012-12-22 17:30:00,"Anfield, Liverpool",44570,Away,Fulham,Liverpool,0,4,L,0,2,0,0,2.0,,58.0,,,1.0,1.0,,,20.0,21.0,5.0,3.0,,147.0,1.0,8.0,,3.0,7.0,4.0,90.0,131.0,45.0,1.0,8.0,1.0,14.0,1.0,,,1.0,10.0,15.0,3.0,12.0,2.0,6.0,25.0,,186.0,,,,,0.0,96.0,6.0,1.0,,2.0,1.0,39.0,57.0,5.0,75.0,8.0,1.0,1.0,1.0,122.0,1.0,17.0,119.0,622.0,6.0,17.0,29.0,,7.0,5.0,,,2.0,5.0,22.0,41.0,,,8595,,175.0,1.0,5.0,198.0,,1.0,12.0,52.0,,,,11.0,,8.0,6.0,5.0,,,38.0,360.0,13.0,8.0,21.0,77.0,,2.0,1.0,0.0,1.0,2.0,8.0,4.0,,0.0,,,1.0,44.4,21.0,1.0,1.0,11.0,2.0,46.0,2.0,1.0,431.0,12.0,17.0,11.0,2.0,9.0,1.0,243.0,4.0,6.0,5.0,76.0,14.0,,1.0,5.0,19.0,,6.0,2.0,15.0,1.0,2.0,,,,2.0,,,,1.0,3.0,2.0,,,,,,3.0,,,1.0,,,,,,,,4.0,,,1.0,4.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,442182,2012-12-26 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Southampton,1,1,D,1,0,0,0,,1.0,67.0,,1.0,2.0,,,,22.0,34.0,3.0,2.0,,166.0,3.0,3.0,1.0,1.0,5.0,1.0,87.0,190.0,45.0,,9.0,,25.0,,1.0,,,16.0,15.0,,18.0,2.0,14.0,15.0,,170.0,,,,,0.0,133.0,14.0,1.0,,2.0,3.0,57.0,75.0,,77.0,14.0,,1.0,3.0,174.0,,4.0,100.0,635.0,4.0,21.0,18.0,,11.0,21.0,,1.0,3.0,1.0,27.0,90.0,,1.0,9493,2.0,140.0,,11.0,156.0,1.0,,8.0,63.0,,2.0,2.0,3.0,1.0,11.0,4.0,6.0,1.0,,79.0,307.0,12.0,8.0,54.0,107.0,,,,0.0,,2.0,5.0,,1.0,0.0,3.0,,2.0,50.6,23.0,2.0,,3.0,,42.0,3.0,3.0,430.0,18.0,9.0,4.0,8.0,17.0,,290.0,5.0,13.0,11.0,66.0,28.0,1.0,5.0,12.0,19.0,,7.0,3.0,11.0,5.0,3.0,,,,,,,,,,3.0,,,,,,6.0,,,,,,2.0,,,,,1.0,,,5.0,1.0,,3.0,4.0,5.0,1.0,3.0,,,,,,,,1.0,,1.0,,2.0,,,,3.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,,
20,442192,2012-12-29 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Swansea City,1,2,L,0,1,0,0,3.0,1.0,67.0,1.0,,1.0,3.0,,,32.0,16.0,13.0,9.0,1.0,161.0,9.0,8.0,1.0,7.0,16.0,6.0,131.0,154.0,44.0,3.0,23.0,4.0,13.0,1.0,,,2.0,40.0,11.0,4.0,7.0,8.0,6.0,31.0,,269.0,,,,,0.0,184.0,14.0,2.0,,3.0,1.0,67.0,79.0,8.0,85.0,32.0,3.0,10.0,5.0,145.0,,6.0,123.0,719.0,13.0,21.0,16.0,,8.0,11.0,,,2.0,2.0,27.0,78.0,,1.0,9493,7.0,158.0,,19.0,168.0,,,2.0,50.0,3.0,,1.0,3.0,1.0,9.0,4.0,1.0,4.0,,54.0,418.0,12.0,5.0,27.0,78.0,,2.0,,0.0,,3.0,8.0,4.0,1.0,0.0,6.0,,3.0,59.4,27.0,5.0,1.0,3.0,7.0,47.0,9.0,2.0,500.0,12.0,8.0,17.0,10.0,36.0,3.0,372.0,11.0,6.0,11.0,136.0,40.0,1.0,3.0,5.0,13.0,,16.0,2.0,18.0,3.0,9.0,1.0,,,2.0,,,,1.0,2.0,4.0,,,,,,7.0,,,2.0,,,1.0,,,,,2.0,,2.0,4.0,1.0,,,1.0,8.0,3.0,1.0,,2.0,,1.0,1.0,,1.0,,,,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
21,442206,2013-01-01 12:45:00,"The Hawthorns, West Bromwich",25436,Away,Fulham,West Bromwich Albion,2,1,W,1,0,0,0,1.0,1.0,74.0,1.0,,1.0,,,,32.0,40.0,7.0,3.0,,152.0,,8.0,2.0,1.0,9.0,3.0,127.0,157.0,61.0,,10.0,2.0,15.0,1.0,,2.0,,12.0,20.0,,20.0,4.0,6.0,37.0,,197.0,,,1.0,,0.0,127.0,9.0,,1.0,1.0,1.0,57.0,74.0,5.0,89.0,8.0,,,5.0,137.0,1.0,14.0,136.0,723.0,7.0,25.0,26.0,,4.0,28.0,2.0,,0.0,6.0,15.0,55.0,,,8595,1.0,223.0,,7.0,240.0,2.0,,12.0,50.0,,,2.0,7.0,2.0,10.0,4.0,5.0,4.0,,59.0,420.0,14.0,10.0,24.0,93.0,,,,0.0,,4.0,10.0,2.0,1.0,0.0,,1.0,,55.3,14.0,4.0,1.0,7.0,2.0,50.0,5.0,2.0,504.0,20.0,10.0,16.0,5.0,8.0,,276.0,7.0,6.0,13.0,92.0,34.0,1.0,4.0,16.0,26.0,,10.0,2.0,15.0,4.0,5.0,,,,,1.0,,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,4.0,,1.0,,,2.0,,,3.0,,,2.0,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,
22,442212,2013-01-12 15:00:00,"Craven Cottage, London",25442,Home,Fulham,Wigan Athletic,1,1,D,1,0,0,0,1.0,,73.0,1.0,,3.0,2.0,,,32.0,26.0,8.0,7.0,,142.0,5.0,10.0,1.0,6.0,7.0,2.0,123.0,160.0,47.0,3.0,12.0,1.0,8.0,1.0,1.0,1.0,,26.0,12.0,,11.0,5.0,6.0,38.0,,221.0,,,1.0,,0.0,143.0,9.0,3.0,1.0,3.0,2.0,66.0,75.0,4.0,78.0,21.0,3.0,6.0,6.0,145.0,,6.0,100.0,663.0,6.0,25.0,32.0,2.0,10.0,8.0,1.0,1.0,0.0,2.0,22.0,55.0,,,8595,1.0,148.0,,12.0,168.0,1.0,,10.0,48.0,2.0,,2.0,9.0,1.0,11.0,10.0,6.0,3.0,,53.0,364.0,15.0,8.0,27.0,78.0,,1.0,,0.0,,2.0,8.0,3.0,,0.0,5.0,,,49.2,19.0,3.0,2.0,9.0,3.0,47.0,6.0,2.0,443.0,20.0,17.0,22.0,7.0,18.0,,301.0,5.0,6.0,9.0,110.0,27.0,,2.0,4.0,13.0,,8.0,3.0,16.0,2.0,6.0,1.0,,,,,,,,3.0,,,,,,,10.0,,,,,,1.0,,,,,1.0,,3.0,1.0,,,,2.0,3.0,,3.0,1.0,,1.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,442221,2013-01-19 15:00:00,"Etihad Stadium, Manchester",47286,Away,Fulham,Manchester City,0,2,L,0,1,0,0,,,66.0,,,2.0,,,,34.0,14.0,1.0,1.0,,171.0,4.0,9.0,,,1.0,,147.0,142.0,52.0,,2.0,,6.0,,,,,24.0,16.0,,8.0,2.0,12.0,28.0,,260.0,,,,,0.0,142.0,6.0,2.0,,,,74.0,119.0,,105.0,22.0,,7.0,1.0,136.0,,12.0,126.0,731.0,1.0,23.0,22.0,,5.0,7.0,,,2.0,3.0,18.0,51.0,,,88734,,218.0,,15.0,233.0,,,13.0,46.0,,2.0,1.0,6.0,,5.0,8.0,9.0,,,52.0,474.0,12.0,7.0,19.0,77.0,,,,0.0,,2.0,1.0,3.0,,0.0,3.0,,,54.5,16.0,1.0,,6.0,,49.0,2.0,,549.0,18.0,17.0,17.0,2.0,16.0,1.0,340.0,,12.0,12.0,112.0,33.0,,2.0,3.0,19.0,,2.0,2.0,19.0,2.0,2.0,,,,,,,,,5.0,,,,,,,5.0,,,1.0,,,,,,,,2.0,,,,2.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
24,442238,2013-01-30 20:00:00,"Craven Cottage, London",24791,Home,Fulham,West Ham United,3,1,W,1,0,0,0,2.0,2.0,76.0,,,1.0,1.0,1.0,1.0,16.0,73.0,9.0,7.0,,147.0,2.0,9.0,3.0,3.0,13.0,5.0,51.0,179.0,80.0,1.0,18.0,4.0,24.0,2.0,,1.0,2.0,14.0,34.0,1.0,46.0,2.0,6.0,22.0,,126.0,,,,,0.0,116.0,8.0,2.0,,1.0,4.0,44.0,51.0,7.0,47.0,12.0,1.0,3.0,4.0,152.0,3.0,9.0,68.0,586.0,10.0,23.0,36.0,,7.0,41.0,2.0,,2.0,1.0,26.0,64.0,,1.0,88734,2.0,103.0,2.0,8.0,115.0,,,11.0,64.0,1.0,1.0,2.0,,1.0,12.0,3.0,1.0,2.0,,57.0,227.0,10.0,10.0,30.0,97.0,,,1.0,0.0,,,8.0,2.0,3.0,0.0,2.0,2.0,2.0,44.0,19.0,2.0,2.0,,5.0,32.0,2.0,4.0,313.0,19.0,18.0,8.0,8.0,12.0,,212.0,9.0,4.0,24.0,73.0,26.0,2.0,2.0,29.0,37.0,2.0,16.0,3.0,14.0,2.0,2.0,,,,1.0,2.0,,,1.0,,3.0,,,,,,6.0,,,1.0,,,1.0,,,,,1.0,,,3.0,1.0,,2.0,2.0,6.0,1.0,4.0,,,,1.0,1.0,,,1.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,
25,442241,2013-02-02 17:30:00,"Craven Cottage, London",25670,Home,Fulham,Manchester United,0,1,L,0,0,0,0,2.0,,68.0,,,2.0,1.0,,,29.0,35.0,8.0,4.0,,156.0,4.0,5.0,,4.0,12.0,6.0,75.0,159.0,53.0,2.0,16.0,3.0,19.0,3.0,,,1.0,20.0,18.0,3.0,20.0,5.0,7.0,45.0,,161.0,2.0,,,,0.0,153.0,10.0,3.0,,1.0,,36.0,70.0,8.0,55.0,15.0,2.0,3.0,3.0,144.0,,10.0,74.0,575.0,10.0,20.0,28.0,1.0,12.0,21.0,,,1.0,4.0,22.0,72.0,,,88734,4.0,112.0,,11.0,121.0,,,7.0,50.0,,,2.0,3.0,,8.0,6.0,4.0,,,68.0,269.0,15.0,3.0,34.0,80.0,,2.0,1.0,0.0,,,8.0,4.0,,0.0,1.0,,3.0,44.8,18.0,5.0,,3.0,4.0,43.0,5.0,,360.0,14.0,12.0,21.0,6.0,23.0,3.0,259.0,9.0,7.0,12.0,90.0,21.0,,2.0,11.0,21.0,,10.0,3.0,13.0,2.0,5.0,,,,2.0,,,,,1.0,3.0,,,,,,12.0,,2.0,2.0,,,1.0,,,,,1.0,,1.0,3.0,1.0,,2.0,1.0,4.0,2.0,5.0,2.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,2.0,,2.0,1.0,1.0,,,,,,,,,,1.0,,1.0,
26,442253,2013-02-09 15:00:00,"Carrow Road, Norwich",26816,Away,Fulham,Norwich City,0,0,D,0,0,0,0,1.0,,56.0,,,2.0,2.0,,,48.0,33.0,5.0,4.0,,168.0,2.0,6.0,,1.0,4.0,1.0,133.0,163.0,68.0,,7.0,2.0,11.0,,,,,18.0,14.0,1.0,16.0,4.0,8.0,51.0,,226.0,,1.0,,,0.0,159.0,16.0,1.0,,1.0,2.0,59.0,71.0,3.0,90.0,14.0,,4.0,2.0,146.0,,7.0,150.0,726.0,4.0,15.0,20.0,1.0,12.0,18.0,,,2.0,4.0,17.0,75.0,,,88734,,218.0,,9.0,232.0,,,10.0,50.0,,,,2.0,,10.0,8.0,5.0,,,79.0,442.0,10.0,9.0,37.0,97.0,,,1.0,0.0,,,3.0,2.0,,0.0,1.0,,,56.9,15.0,1.0,1.0,2.0,4.0,53.0,4.0,2.0,541.0,9.0,11.0,32.0,2.0,14.0,1.0,327.0,3.0,7.0,28.0,102.0,26.0,,2.0,8.0,24.0,,6.0,3.0,9.0,2.0,4.0,,,,,,,,1.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,5.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,442260,2013-02-23 12:45:00,"Craven Cottage, London",25458,Home,Fulham,Stoke City,1,0,W,1,0,0,0,2.0,,72.0,,,,4.0,,,33.0,41.0,9.0,9.0,,173.0,5.0,10.0,1.0,3.0,15.0,4.0,118.0,165.0,56.0,1.0,20.0,1.0,22.0,1.0,1.0,,,29.0,9.0,2.0,21.0,7.0,10.0,46.0,,252.0,,1.0,,,0.0,177.0,7.0,3.0,,2.0,,77.0,90.0,4.0,95.0,22.0,1.0,7.0,6.0,145.0,1.0,6.0,127.0,726.0,15.0,20.0,28.0,2.0,5.0,30.0,,1.0,1.0,2.0,15.0,64.0,,,88734,5.0,181.0,1.0,13.0,199.0,1.0,,8.0,54.0,3.0,2.0,1.0,3.0,1.0,8.0,4.0,4.0,5.0,,61.0,428.0,9.0,7.0,27.0,76.0,,1.0,,0.0,1.0,1.0,4.0,3.0,1.0,0.0,5.0,,1.0,60.7,14.0,3.0,3.0,3.0,5.0,40.0,9.0,,513.0,16.0,12.0,27.0,11.0,19.0,,343.0,9.0,10.0,24.0,134.0,36.0,1.0,3.0,14.0,13.0,,18.0,3.0,19.0,3.0,9.0,,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,5.0,,,,,,,,,,,,,,5.0,,,3.0,3.0,11.0,,3.0,1.0,,2.0,,,2.0,,1.0,2.0,,,1.0,,2.0,,,1.0,3.0,1.0,,1.0,,1.0,,1.0,,,,,,,,
