gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,savedObox,attRfTarget,goals,attFreekickTotal,attOboxBlocked,attIboxTarget,attBxRight,goalAssistOpenplay,penaltyWon,midfielderGoals,goodHighClaim,freekickTotal,bigChanceCreated,attHdTarget,goalAssist,bigChanceMissed,attObxdLeft,attRfGoal,attCmissHigh,goalsOpenplay,accurateGoalKicks,attPenGoal,attAssistSetplay,attIboxGoal,goalAssistIntentional,shieldBallOop,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,attFreekickMiss,attRfTotal,forwardGoals,effectiveBlockedCross,attHdGoal,goalsConcededIbox,blockedCross,goalAssistSetplay,goalAssistDeadball,attMissHighLeft,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,attCmissHighLeft,attemptsIbox,attObxLeft,attMissHighRight,attSvHighLeft,attemptsObox,contentiousDecision,touchesInOppBox,attCorner,attSvLowRight,attFreekickTarget,attSvLowLeft,attCmissLeft,handBall,attLfGoal,attGoalLowCentre,attOneOnOne,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,shotFastbreak,totalFastbreak,attFastbreak,cleanSheet,accuratePullBack,attGoalHighRight,errorLeadToGoal,foulThrowIn,attGoalHighLeft,attSvHighRight,secondYellow,sixYardBlock,postScoringAtt,attIboxPost,attGoalHighCentre,attPostLeft,attHdPost,hitWoodwork,attPostRight,clearanceOffLine,attOboxGoal,attObpGoal,attPostHigh
11,803269,2015-10-31 15:00:00,"St. James' Park, Newcastle",47139,Away,Stoke City,Newcastle United,0,0,D,0,0,0,0,,,58.0,1.0,28.0,18.0,1.0,2.0,6.0,131.0,7.0,8.0,1.0,7.0,,2.0,98.0,135.0,38.0,9.0,13.0,,2.0,2.0,19.0,12.0,,12.0,4.0,9.0,29.0,189.0,0.0,147.0,16.0,5.0,1.0,62.0,60.0,3.0,52.0,2.0,1.0,15.0,11.0,7.0,1.0,129.0,11.0,107.0,542.0,7.0,9.0,9.0,291.0,26.0,4.0,9.0,,3.0,4.0,4.0,17.0,365.0,47.0,,9047,4.0,124.0,7.0,140.0,6.0,1.0,11.0,9.0,52.0,5.0,3.0,9.0,4.0,3.0,62.0,306.0,6.0,9.0,20.0,67.0,1.0,0.0,1.0,11.0,4.0,,2.0,0.0,5.0,47.7,12.0,,4.0,,3.0,1.0,39.0,4.0,388.0,9.0,6.0,11.0,6.0,27.0,2.0,5.0,267.0,8.0,8.0,104.0,21.0,8.0,16.0,9.0,3.0,17.0,3.0,4.0,,,,2.0,1.0,,,,2.0,3.0,,,,1.0,,2.0,1.0,,2.0,,,,,6.0,,,,,,1.0,,,1.0,,6.0,,3.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,803272,2015-11-07 17:30:00,"bet365 Stadium, Stoke",27550,Home,Stoke City,Chelsea,1,0,W,0,0,0,0,,1.0,62.0,,20.0,21.0,2.0,2.0,4.0,133.0,5.0,8.0,1.0,8.0,,2.0,56.0,153.0,47.0,8.0,7.0,1.0,1.0,,13.0,9.0,,13.0,1.0,5.0,30.0,101.0,0.0,75.0,13.0,2.0,1.0,47.0,48.0,3.0,33.0,,1.0,12.0,16.0,3.0,1.0,145.0,10.0,60.0,481.0,7.0,13.0,16.0,181.0,36.0,6.0,7.0,2.0,3.0,7.0,5.0,28.0,254.0,37.0,,9047,5.0,99.0,8.0,125.0,6.0,1.0,16.0,12.0,51.0,3.0,2.0,18.0,9.0,3.0,51.0,195.0,10.0,15.0,19.0,67.0,1.0,0.0,3.0,9.0,2.0,,3.0,0.0,5.0,36.8,22.0,,1.0,,2.0,1.0,36.0,1.0,282.0,16.0,5.0,18.0,5.0,20.0,,4.0,170.0,5.0,15.0,43.0,17.0,6.0,15.0,8.0,3.0,22.0,9.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,6.0,,,1.0,,,2.0,2.0,,,,4.0,,3.0,,,3.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
13,803289,2015-11-21 15:00:00,"St. Mary's Stadium, Southampton",30039,Away,Stoke City,Southampton,1,0,W,1,0,0,0,,,79.0,,32.0,38.0,8.0,8.0,1.0,164.0,3.0,8.0,,14.0,,4.0,85.0,152.0,48.0,16.0,19.0,,2.0,1.0,10.0,8.0,1.0,33.0,2.0,5.0,20.0,136.0,0.0,101.0,8.0,1.0,,60.0,41.0,4.0,56.0,5.0,4.0,9.0,20.0,4.0,6.0,147.0,9.0,84.0,585.0,13.0,17.0,20.0,276.0,43.0,5.0,22.0,,0.0,1.0,10.0,18.0,357.0,55.0,1.0,9047,4.0,156.0,5.0,187.0,5.0,1.0,20.0,13.0,53.0,2.0,3.0,12.0,6.0,4.0,77.0,289.0,7.0,9.0,22.0,82.0,,0.0,1.0,7.0,,,8.0,0.0,3.0,41.8,10.0,,3.0,2.0,3.0,1.0,35.0,3.0,389.0,20.0,10.0,8.0,11.0,14.0,1.0,5.0,212.0,5.0,20.0,67.0,22.0,21.0,13.0,16.0,3.0,15.0,9.0,3.0,,,,1.0,3.0,1.0,,1.0,2.0,1.0,1.0,,1.0,5.0,,1.0,,1.0,1.0,,1.0,,1.0,6.0,,,1.0,1.0,,1.0,1.0,,7.0,,7.0,,6.0,,,6.0,,,2.0,1.0,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
14,803298,2015-11-28 15:00:00,"Stadium of Light, Sunderland",41516,Away,Stoke City,Sunderland,0,2,L,0,0,1,0,1.0,1.0,57.0,1.0,30.0,23.0,3.0,2.0,3.0,162.0,2.0,15.0,2.0,5.0,1.0,3.0,111.0,125.0,39.0,7.0,17.0,2.0,1.0,,15.0,7.0,1.0,19.0,4.0,14.0,34.0,226.0,0.0,141.0,10.0,1.0,1.0,71.0,71.0,3.0,76.0,5.0,1.0,11.0,13.0,4.0,2.0,121.0,9.0,127.0,644.0,4.0,8.0,12.0,393.0,30.0,3.0,13.0,2.0,2.0,6.0,2.0,20.0,456.0,40.0,1.0,9047,,181.0,6.0,199.0,4.0,,13.0,13.0,52.0,3.0,6.0,12.0,9.0,1.0,63.0,405.0,4.0,9.0,16.0,75.0,1.0,0.0,2.0,9.0,3.0,2.0,3.0,1.0,1.0,51.8,18.0,,1.0,,6.0,1.0,48.0,5.0,476.0,12.0,15.0,20.0,3.0,23.0,1.0,1.0,292.0,14.0,12.0,112.0,16.0,11.0,8.0,5.0,3.0,18.0,8.0,5.0,,,,,2.0,,1.0,,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,7.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,3.0,,3.0,,1.0,3.0,,,,,,,1.0,,,,1.0,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
15,803307,2015-12-05 12:45:00,"bet365 Stadium, Stoke",27264,Home,Stoke City,Manchester City,2,0,W,2,0,0,0,,1.0,85.0,,15.0,18.0,1.0,1.0,4.0,181.0,2.0,26.0,,7.0,1.0,4.0,81.0,182.0,62.0,7.0,5.0,1.0,1.0,,9.0,13.0,1.0,13.0,1.0,14.0,46.0,150.0,0.0,110.0,9.0,3.0,,97.0,56.0,4.0,67.0,,1.0,8.0,16.0,1.0,,177.0,5.0,84.0,651.0,4.0,2.0,41.0,296.0,35.0,5.0,4.0,1.0,0.0,1.0,2.0,23.0,388.0,57.0,1.0,9047,3.0,157.0,7.0,183.0,5.0,1.0,16.0,8.0,52.0,3.0,2.0,19.0,6.0,,63.0,305.0,9.0,11.0,22.0,94.0,,0.0,3.0,6.0,3.0,,1.0,0.0,2.0,46.5,13.0,,1.0,,2.0,,36.0,1.0,413.0,41.0,17.0,16.0,3.0,16.0,,1.0,239.0,14.0,10.0,68.0,38.0,4.0,17.0,7.0,3.0,36.0,11.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,1.0,2.0,2.0,,2.0,1.0,,4.0,,2.0,3.0,,2.0,,2.0,2.0,,,2.0,2.0,,1.0,,,1.0,,5.0,,5.0,,,5.0,,,,5.0,,,6.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,
16,803318,2015-12-12 15:00:00,"Boleyn Ground, London",34857,Away,Stoke City,West Ham United,0,0,D,0,0,0,0,,1.0,73.0,2.0,21.0,23.0,3.0,7.0,9.0,155.0,1.0,6.0,1.0,9.0,2.0,3.0,90.0,165.0,56.0,12.0,23.0,1.0,3.0,1.0,20.0,15.0,,18.0,6.0,9.0,29.0,146.0,0.0,111.0,9.0,4.0,,67.0,60.0,7.0,47.0,,2.0,14.0,11.0,6.0,,160.0,13.0,105.0,610.0,8.0,9.0,13.0,285.0,35.0,4.0,14.0,1.0,2.0,9.0,2.0,22.0,374.0,51.0,,9047,5.0,151.0,8.0,178.0,6.0,,11.0,12.0,55.0,,9.0,16.0,11.0,1.0,62.0,296.0,7.0,9.0,23.0,77.0,1.0,0.0,2.0,11.0,7.0,,2.0,0.0,,53.3,16.0,,3.0,1.0,10.0,5.0,35.0,7.0,397.0,13.0,8.0,14.0,4.0,28.0,1.0,4.0,239.0,9.0,22.0,74.0,19.0,12.0,21.0,8.0,3.0,13.0,6.0,7.0,,,,3.0,2.0,,1.0,3.0,3.0,2.0,,,,5.0,1.0,3.0,,,4.0,,,,,4.0,,1.0,,,1.0,,,,6.0,,4.0,,4.0,,,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,
17,803324,2015-12-19 15:00:00,"bet365 Stadium, Stoke",27500,Home,Stoke City,Crystal Palace,1,2,L,0,1,0,0,1.0,1.0,58.0,4.0,24.0,17.0,15.0,11.0,1.0,165.0,8.0,9.0,5.0,19.0,1.0,5.0,123.0,157.0,59.0,26.0,12.0,,1.0,2.0,32.0,14.0,2.0,14.0,6.0,9.0,33.0,212.0,0.0,146.0,6.0,1.0,3.0,74.0,63.0,12.0,62.0,1.0,5.0,26.0,6.0,11.0,6.0,154.0,8.0,119.0,673.0,15.0,4.0,12.0,364.0,27.0,7.0,12.0,,2.0,2.0,7.0,27.0,450.0,59.0,,9047,7.0,173.0,12.0,193.0,2.0,,6.0,8.0,44.0,,2.0,19.0,4.0,1.0,57.0,377.0,11.0,10.0,15.0,84.0,,0.0,,3.0,1.0,2.0,1.0,0.0,5.0,58.4,24.0,,3.0,1.0,2.0,11.0,49.0,7.0,469.0,12.0,10.0,17.0,10.0,38.0,3.0,3.0,308.0,9.0,22.0,100.0,24.0,11.0,17.0,15.0,2.0,15.0,3.0,7.0,1.0,1.0,,,3.0,1.0,2.0,7.0,2.0,,,1.0,,,2.0,1.0,,,1.0,,1.0,,,4.0,1.0,4.0,1.0,,,3.0,3.0,,,2.0,12.0,1.0,2.0,,1.0,2.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,
18,803336,2015-12-26 12:45:00,"bet365 Stadium, Stoke",27426,Home,Stoke City,Manchester United,2,0,W,2,0,0,0,,,72.0,1.0,16.0,27.0,9.0,2.0,6.0,152.0,1.0,12.0,4.0,7.0,,3.0,68.0,153.0,66.0,13.0,12.0,2.0,,3.0,6.0,21.0,1.0,18.0,,11.0,40.0,82.0,0.0,78.0,13.0,5.0,1.0,34.0,43.0,3.0,43.0,1.0,1.0,6.0,14.0,2.0,7.0,144.0,6.0,71.0,541.0,6.0,10.0,23.0,227.0,33.0,5.0,19.0,2.0,1.0,2.0,4.0,21.0,310.0,46.0,2.0,9047,2.0,156.0,3.0,185.0,5.0,1.0,14.0,5.0,45.0,3.0,4.0,12.0,5.0,3.0,60.0,237.0,12.0,7.0,21.0,70.0,,0.0,3.0,12.0,3.0,,2.0,0.0,1.0,41.5,13.0,,,1.0,4.0,2.0,28.0,1.0,334.0,23.0,9.0,16.0,8.0,18.0,,1.0,155.0,11.0,19.0,43.0,27.0,12.0,24.0,6.0,3.0,19.0,7.0,1.0,1.0,,,3.0,1.0,2.0,4.0,1.0,,,1.0,,,3.0,4.0,2.0,,1.0,1.0,,2.0,1.0,1.0,,,,1.0,1.0,,,,,3.0,3.0,11.0,2.0,4.0,,,4.0,,,,2.0,,3.0,3.0,,,,1.0,,,,,,,,1.0,2.0,2.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,
19,803349,2015-12-28 15:00:00,"Goodison Park, Liverpool",39340,Away,Stoke City,Everton,4,3,W,2,1,0,0,,,61.0,1.0,26.0,31.0,2.0,2.0,,181.0,,12.0,1.0,5.0,,5.0,105.0,127.0,50.0,8.0,5.0,2.0,1.0,1.0,9.0,17.0,1.0,22.0,2.0,19.0,31.0,170.0,0.0,84.0,12.0,,,51.0,60.0,4.0,73.0,2.0,,7.0,9.0,1.0,,118.0,10.0,113.0,658.0,2.0,6.0,15.0,387.0,33.0,1.0,10.0,2.0,1.0,6.0,1.0,15.0,445.0,36.0,1.0,9047,3.0,236.0,6.0,250.0,5.0,2.0,9.0,10.0,54.0,5.0,3.0,16.0,5.0,,47.0,406.0,9.0,20.0,10.0,82.0,2.0,0.0,1.0,6.0,,3.0,3.0,0.0,,48.7,13.0,,1.0,,3.0,2.0,58.0,2.0,472.0,15.0,8.0,19.0,1.0,16.0,,1.0,231.0,17.0,8.0,57.0,21.0,8.0,21.0,5.0,3.0,23.0,3.0,2.0,2.0,,1.0,,1.0,4.0,,1.0,,3.0,2.0,1.0,3.0,,,1.0,,2.0,,,3.0,,3.0,6.0,1.0,1.0,4.0,2.0,,,,,,,6.0,,2.0,,3.0,2.0,,,,1.0,,,4.0,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,2.0,,,,,,,,
20,803359,2016-01-02 15:00:00,"The Hawthorns, West Bromwich",23218,Away,Stoke City,West Bromwich Albion,1,2,L,0,0,1,0,,1.0,52.0,3.0,22.0,21.0,3.0,4.0,3.0,158.0,5.0,7.0,,10.0,1.0,3.0,103.0,146.0,44.0,10.0,11.0,1.0,1.0,1.0,20.0,10.0,1.0,16.0,5.0,14.0,21.0,192.0,0.0,113.0,15.0,,,56.0,68.0,8.0,60.0,1.0,1.0,15.0,10.0,6.0,1.0,141.0,11.0,108.0,605.0,6.0,13.0,11.0,324.0,23.0,5.0,11.0,1.0,1.0,6.0,2.0,22.0,403.0,56.0,,9047,2.0,149.0,9.0,179.0,5.0,,10.0,11.0,47.0,1.0,8.0,15.0,6.0,,55.0,336.0,7.0,7.0,19.0,74.0,,0.0,,4.0,2.0,2.0,4.0,1.0,2.0,54.3,21.0,,,,8.0,5.0,42.0,6.0,429.0,11.0,9.0,9.0,2.0,26.0,3.0,1.0,270.0,13.0,18.0,78.0,17.0,9.0,13.0,5.0,3.0,14.0,7.0,6.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,4.0,,3.0,1.0,1.0,2.0,1.0,,,,,3.0,,1.0,1.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
21,803369,2016-01-13 19:45:00,"bet365 Stadium, Stoke",27274,Home,Stoke City,Norwich City,3,1,W,0,0,0,1,1.0,,56.0,1.0,41.0,13.0,7.0,5.0,1.0,188.0,6.0,8.0,,13.0,,4.0,154.0,122.0,48.0,14.0,14.0,1.0,1.0,2.0,30.0,15.0,,9.0,7.0,31.0,31.0,288.0,0.0,138.0,5.0,,,67.0,77.0,6.0,110.0,3.0,1.0,23.0,9.0,16.0,4.0,118.0,2.0,169.0,800.0,9.0,6.0,18.0,541.0,22.0,7.0,6.0,1.0,0.0,,7.0,16.0,602.0,83.0,1.0,9047,6.0,270.0,7.0,283.0,2.0,,9.0,8.0,42.0,2.0,7.0,8.0,3.0,1.0,71.0,552.0,8.0,14.0,25.0,79.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,64.4,14.0,,2.0,,7.0,3.0,58.0,7.0,621.0,18.0,7.0,19.0,7.0,43.0,2.0,3.0,368.0,28.0,12.0,103.0,25.0,5.0,21.0,11.0,3.0,11.0,7.0,7.0,1.0,2.0,,,2.0,3.0,,2.0,2.0,,2.0,,1.0,1.0,,2.0,,2.0,1.0,,2.0,,2.0,4.0,,2.0,2.0,1.0,,,,,1.0,,9.0,1.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,
22,803372,2016-01-17 16:15:00,"bet365 Stadium, Stoke",27683,Home,Stoke City,Arsenal,0,0,D,0,0,0,0,,2.0,63.0,3.0,28.0,18.0,7.0,4.0,3.0,165.0,2.0,8.0,,9.0,1.0,6.0,82.0,164.0,45.0,14.0,14.0,2.0,1.0,,18.0,8.0,2.0,15.0,5.0,10.0,41.0,161.0,0.0,112.0,16.0,2.0,,53.0,66.0,6.0,59.0,2.0,2.0,13.0,17.0,7.0,3.0,161.0,4.0,100.0,594.0,7.0,15.0,19.0,297.0,31.0,5.0,6.0,2.0,0.0,3.0,3.0,27.0,383.0,70.0,1.0,9047,1.0,150.0,6.0,166.0,9.0,1.0,17.0,8.0,55.0,9.0,,18.0,4.0,,64.0,309.0,10.0,16.0,21.0,87.0,,0.0,2.0,6.0,2.0,,4.0,0.0,1.0,45.0,19.0,,2.0,2.0,,5.0,47.0,6.0,406.0,19.0,7.0,19.0,3.0,31.0,1.0,,258.0,10.0,21.0,65.0,26.0,5.0,9.0,11.0,3.0,12.0,12.0,6.0,,,,1.0,2.0,,,2.0,4.0,2.0,,,,,,,2.0,,,,,,,3.0,,2.0,,,3.0,2.0,,1.0,,,8.0,,2.0,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
23,803389,2016-01-23 15:00:00,"King Power Stadium, Leicester",32018,Away,Stoke City,Leicester City,0,3,L,0,1,0,0,1.0,,67.0,,42.0,25.0,2.0,,2.0,150.0,3.0,7.0,1.0,1.0,,2.0,126.0,182.0,61.0,3.0,22.0,2.0,,,25.0,17.0,1.0,18.0,4.0,4.0,30.0,157.0,0.0,109.0,13.0,,2.0,55.0,57.0,1.0,61.0,1.0,,21.0,19.0,11.0,,175.0,11.0,104.0,639.0,1.0,20.0,8.0,313.0,24.0,12.0,10.0,3.0,1.0,3.0,,27.0,411.0,72.0,1.0,9047,1.0,180.0,8.0,209.0,3.0,,19.0,11.0,70.0,,6.0,19.0,4.0,,81.0,334.0,9.0,16.0,30.0,102.0,1.0,0.0,,8.0,2.0,3.0,9.0,0.0,3.0,54.8,19.0,,2.0,,6.0,1.0,58.0,4.0,441.0,8.0,11.0,15.0,,38.0,,,257.0,4.0,27.0,68.0,29.0,8.0,20.0,2.0,3.0,15.0,7.0,4.0,,,,,1.0,,,1.0,1.0,,,,,4.0,,1.0,1.0,,1.0,,,,,7.0,,,,,1.0,1.0,,2.0,4.0,,2.0,,3.0,,2.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,803398,2016-02-02 20:00:00,"Old Trafford, Manchester",75234,Away,Stoke City,Manchester United,0,3,L,0,2,0,0,,,64.0,1.0,43.0,8.0,8.0,5.0,2.0,187.0,3.0,7.0,2.0,7.0,,,107.0,149.0,50.0,10.0,20.0,,,2.0,18.0,10.0,,7.0,5.0,20.0,33.0,222.0,0.0,148.0,13.0,2.0,2.0,64.0,59.0,3.0,104.0,2.0,2.0,13.0,15.0,5.0,6.0,148.0,11.0,121.0,680.0,7.0,16.0,15.0,407.0,22.0,14.0,7.0,,1.0,5.0,4.0,22.0,493.0,67.0,1.0,9047,2.0,209.0,6.0,233.0,7.0,,15.0,7.0,61.0,1.0,1.0,12.0,4.0,2.0,68.0,428.0,13.0,7.0,29.0,83.0,,0.0,2.0,2.0,,3.0,8.0,0.0,2.0,53.1,16.0,,1.0,,1.0,3.0,53.0,5.0,519.0,15.0,14.0,20.0,7.0,34.0,1.0,1.0,304.0,18.0,18.0,112.0,34.0,7.0,12.0,8.0,2.0,14.0,6.0,5.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,1.0,,7.0,,,,,1.0,,,,,,5.0,,,,3.0,,,,,1.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,803404,2016-02-06 15:00:00,"bet365 Stadium, Stoke",27733,Home,Stoke City,Everton,0,3,L,0,3,0,0,,2.0,60.0,4.0,27.0,7.0,4.0,7.0,3.0,193.0,3.0,14.0,1.0,11.0,1.0,3.0,162.0,164.0,42.0,12.0,17.0,2.0,1.0,,28.0,9.0,1.0,4.0,4.0,33.0,29.0,345.0,0.0,224.0,11.0,3.0,1.0,95.0,76.0,6.0,89.0,1.0,3.0,24.0,25.0,10.0,3.0,161.0,13.0,172.0,813.0,10.0,3.0,15.0,507.0,20.0,2.0,3.0,2.0,1.0,5.0,5.0,25.0,590.0,73.0,,9047,4.0,185.0,13.0,197.0,7.0,1.0,25.0,10.0,62.0,1.0,4.0,18.0,1.0,1.0,49.0,527.0,7.0,11.0,9.0,91.0,,0.0,2.0,4.0,3.0,3.0,,0.0,2.0,65.5,24.0,,5.0,1.0,4.0,4.0,67.0,6.0,616.0,15.0,13.0,16.0,5.0,44.0,1.0,2.0,447.0,32.0,8.0,173.0,29.0,2.0,13.0,11.0,3.0,26.0,11.0,6.0,,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,5.0,,1.0,,,,2.0,1.0,1.0,,,3.0,,2.0,,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
26,803417,2016-02-13 15:00:00,"Vitality Stadium, Bournemouth",10863,Away,Stoke City,Bournemouth,3,1,W,1,0,0,0,,2.0,60.0,1.0,18.0,30.0,6.0,5.0,1.0,126.0,1.0,8.0,2.0,7.0,1.0,6.0,52.0,127.0,43.0,11.0,7.0,2.0,1.0,3.0,14.0,14.0,2.0,22.0,2.0,13.0,19.0,122.0,0.0,83.0,18.0,,3.0,63.0,36.0,4.0,41.0,5.0,1.0,12.0,12.0,4.0,3.0,119.0,7.0,71.0,484.0,4.0,7.0,25.0,216.0,33.0,6.0,12.0,2.0,2.0,5.0,3.0,22.0,268.0,47.0,,9047,3.0,100.0,5.0,115.0,10.0,,12.0,11.0,47.0,2.0,1.0,14.0,4.0,,58.0,221.0,6.0,7.0,23.0,66.0,,0.0,1.0,9.0,1.0,1.0,3.0,0.0,1.0,34.3,17.0,,1.0,1.0,1.0,1.0,31.0,2.0,290.0,25.0,7.0,8.0,4.0,20.0,,1.0,189.0,13.0,13.0,49.0,21.0,10.0,16.0,8.0,3.0,16.0,8.0,2.0,,1.0,2.0,,1.0,3.0,,,1.0,,1.0,,2.0,1.0,,,,2.0,,,1.0,,2.0,3.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,,5.0,,5.0,1.0,1.0,5.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
27,803423,2016-02-27 15:00:00,"bet365 Stadium, Stoke",27703,Home,Stoke City,Aston Villa,2,1,W,0,0,0,0,,,70.0,1.0,30.0,19.0,4.0,4.0,,181.0,8.0,9.0,5.0,8.0,1.0,3.0,113.0,165.0,52.0,11.0,14.0,1.0,1.0,2.0,35.0,6.0,1.0,16.0,10.0,21.0,32.0,201.0,0.0,152.0,7.0,,2.0,92.0,59.0,3.0,77.0,,1.0,26.0,17.0,9.0,2.0,162.0,3.0,121.0,684.0,3.0,12.0,16.0,375.0,29.0,13.0,13.0,1.0,0.0,,5.0,26.0,468.0,65.0,,69960,4.0,198.0,15.0,221.0,2.0,1.0,17.0,6.0,40.0,2.0,2.0,12.0,2.0,2.0,68.0,391.0,15.0,5.0,33.0,87.0,,0.0,2.0,,,1.0,4.0,0.0,3.0,55.3,23.0,,6.0,1.0,2.0,2.0,54.0,11.0,492.0,16.0,5.0,14.0,6.0,45.0,5.0,4.0,306.0,17.0,19.0,99.0,30.0,13.0,10.0,4.0,3.0,19.0,11.0,11.0,2.0,,1.0,,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,4.0,1.0,4.0,2.0,1.0,,2.0,2.0,,1.0,1.0,4.0,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,4.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,
