gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,accurateKeeperSweeper,attSvHighRight,divingSave,freekickCross,attHdTarget,totalKeeperSweeper,accurateThroughBall,totalThroughBall,totalOffside,attMissHigh,attAssistSetplay,goalsConceded,accurateFlickOn,attHdMiss,goalsConcededIbox,handBall,attRfTarget,attOneOnOne,attMissRight,bigChanceMissed,attSetpiece,accurateCrossNocorner,shieldBallOop,errorLeadToGoal,goalsConcededObox,attGoalLowLeft,attCmissRight,shotFastbreak,goalAssistOpenplay,penaltyWon,totalFastbreak,attSvLowLeft,attGoalHighCentre,accurateFreekickCross,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,attCmissHighRight,attBxLeft,attSvHighCentre,forwardGoals,attGoalLowRight,attLfGoal,goalFastbreak,attOboxGoal,midfielderGoals,attMissHighLeft,attGoalHighLeft,attSvLowRight,attObxLeft,contentiousDecision,attCmissHigh,attFreekickTarget,attFreekickMiss,sixYardBlock,ownGoals,attIboxOwnGoal,attObxdRight,expectedGoalsOnTarget,attemptsIbox,postScoringAtt,expectedGoalsOnTargetConceded,attemptsObox,subsGoals,touchesInOppBox,hitWoodwork,expectedAssists,attCorner,attOboxPost,attPostRight,expectedGoals,defenderGoals,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighRight,attSvHighLeft,attCmissHighLeft,penaltySave,attPostHigh,attIboxPost,attPostLeft,secondYellow,attHdPost
11,803263,2015-11-02 20:00:00,"White Hart Lane, London",34882,Away,Aston Villa,Tottenham Hotspur,1,3,L,0,2,0,0,,,61.0,1.0,,,30.0,24.0,8.0,1.0,3.0,142.0,,2.0,12.0,1.0,1.0,8.0,,2.0,65.0,165.0,60.0,,13.0,5.0,19.0,1.0,,,1.0,15.0,17.0,,19.0,3.0,8.0,35.0,128.0,1.0,,0.0,107.0,15.0,1.0,42.0,60.0,4.0,42.0,1.0,12.0,10.0,,4.0,1.0,165.0,,10.0,76.0,542.0,7.0,17.0,19.0,206.0,30.0,12.0,13.0,,3.0,7.0,4.0,33.0,301.0,57.0,,96740,2.0,94.0,7.0,118.0,7.0,,5.0,8.0,62.0,2.0,16.0,7.0,3.0,69.0,220.0,4.0,9.0,29.0,92.0,1.0,,0.0,1.0,4.0,2.0,,0.0,,2.0,,38.7,26.0,2.0,3.0,6.0,47.0,3.0,1.0,325.0,19.0,5.0,17.0,5.0,22.0,1.0,3.0,222.0,10.0,5.0,20.0,59.0,18.0,1.0,9.0,24.0,,10.0,3.0,28.0,1.0,5.0,3.0,1.0,3.0,,2.0,1.0,,3.0,,,1.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,,1.0,,2.0,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,0.4662,5.0,1.0,1.8485,8.0,1.0,8.0,1.0,0.205785,1.0,1.0,1.0,0.490963,,,,,,,,,,,,,,
12,803275,2015-11-08 13:30:00,"Villa Park, Birmingham",36757,Home,Aston Villa,Manchester City,0,0,D,0,0,0,0,,,42.0,,,,24.0,30.0,2.0,3.0,3.0,131.0,,2.0,16.0,,1.0,2.0,,,108.0,142.0,42.0,1.0,3.0,,19.0,,,,,12.0,6.0,,24.0,3.0,12.0,18.0,212.0,,1.0,0.0,129.0,7.0,3.0,106.0,46.0,,70.0,4.0,9.0,11.0,1.0,3.0,2.0,136.0,,10.0,101.0,583.0,1.0,6.0,18.0,312.0,17.0,4.0,14.0,,1.0,5.0,2.0,19.0,388.0,56.0,,96740,1.0,113.0,6.0,128.0,5.0,,11.0,12.0,47.0,,16.0,3.0,5.0,66.0,323.0,7.0,5.0,27.0,72.0,,1.0,0.0,1.0,8.0,2.0,,0.0,,,,40.7,14.0,1.0,,,29.0,3.0,3.0,410.0,18.0,7.0,8.0,3.0,11.0,1.0,1.0,294.0,,12.0,12.0,93.0,15.0,7.0,13.0,7.0,,1.0,3.0,25.0,7.0,6.0,3.0,1.0,,,1.0,,,,,1.0,1.0,2.0,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,803283,2015-11-21 15:00:00,"Goodison Park, Liverpool",38424,Away,Aston Villa,Everton,0,4,L,0,3,0,0,,,45.0,1.0,,,25.0,15.0,7.0,1.0,5.0,134.0,,2.0,8.0,,,10.0,,3.0,112.0,118.0,37.0,,10.0,3.0,6.0,1.0,1.0,1.0,1.0,9.0,10.0,2.0,12.0,3.0,13.0,24.0,160.0,,,0.0,99.0,9.0,2.0,43.0,55.0,7.0,60.0,4.0,6.0,15.0,,2.0,2.0,115.0,,11.0,97.0,581.0,8.0,8.0,23.0,324.0,25.0,7.0,9.0,,0.0,2.0,3.0,21.0,383.0,38.0,1.0,96740,1.0,179.0,4.0,192.0,5.0,,15.0,8.0,51.0,5.0,8.0,5.0,4.0,55.0,337.0,6.0,13.0,18.0,68.0,1.0,,0.0,1.0,2.0,3.0,,0.0,,1.0,,40.1,16.0,3.0,6.0,4.0,31.0,3.0,2.0,403.0,23.0,4.0,12.0,3.0,11.0,2.0,1.0,220.0,8.0,12.0,5.0,76.0,10.0,1.0,8.0,18.0,,8.0,3.0,27.0,1.0,9.0,3.0,2.0,,,4.0,,,,,,4.0,1.0,2.0,4.0,3.0,1.0,4.0,,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,803300,2015-11-28 15:00:00,"Villa Park, Birmingham",35057,Home,Aston Villa,Watford,2,3,L,1,1,0,0,,,56.0,1.0,1.0,1.0,32.0,30.0,6.0,1.0,4.0,158.0,,4.0,16.0,2.0,2.0,10.0,,6.0,132.0,177.0,59.0,,12.0,1.0,10.0,1.0,1.0,2.0,3.0,31.0,7.0,3.0,22.0,10.0,17.0,25.0,204.0,,,0.0,117.0,6.0,3.0,73.0,66.0,7.0,80.0,3.0,21.0,16.0,,6.0,1.0,169.0,2.0,9.0,124.0,750.0,6.0,10.0,25.0,387.0,17.0,6.0,17.0,2.0,2.0,6.0,3.0,29.0,474.0,51.0,1.0,96740,4.0,202.0,13.0,225.0,5.0,,16.0,4.0,42.0,10.0,20.0,6.0,2.0,62.0,402.0,13.0,5.0,27.0,77.0,1.0,,0.0,2.0,10.0,3.0,1.0,0.0,1.0,3.0,,65.1,25.0,,10.0,2.0,41.0,10.0,3.0,494.0,25.0,5.0,15.0,4.0,37.0,3.0,3.0,300.0,7.0,16.0,21.0,78.0,28.0,3.0,14.0,9.0,1.0,6.0,2.0,32.0,3.0,8.0,10.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,,2.0,3.0,4.0,1.0,3.0,,3.0,,1.0,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
15,803302,2015-12-05 15:00:00,"St. Mary's Stadium, Southampton",29645,Away,Aston Villa,Southampton,1,1,D,1,0,0,0,,1.0,52.0,1.0,1.0,1.0,26.0,34.0,4.0,2.0,3.0,124.0,1.0,5.0,6.0,1.0,1.0,7.0,,2.0,72.0,158.0,36.0,,9.0,2.0,11.0,,,1.0,1.0,10.0,7.0,1.0,25.0,4.0,10.0,12.0,152.0,,,0.0,86.0,9.0,5.0,56.0,30.0,4.0,55.0,6.0,6.0,13.0,,,1.0,149.0,2.0,17.0,81.0,531.0,4.0,6.0,22.0,223.0,15.0,9.0,15.0,1.0,2.0,7.0,3.0,23.0,303.0,57.0,,96740,2.0,89.0,5.0,120.0,4.0,,13.0,13.0,51.0,4.0,15.0,6.0,5.0,74.0,236.0,4.0,7.0,38.0,71.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,0.0,1.0,2.0,,36.9,16.0,1.0,4.0,3.0,36.0,4.0,5.0,332.0,22.0,19.0,5.0,4.0,16.0,4.0,3.0,222.0,5.0,8.0,14.0,46.0,20.0,6.0,12.0,12.0,,6.0,3.0,12.0,6.0,7.0,4.0,2.0,1.0,,2.0,1.0,,1.0,,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
16,803312,2015-12-13 13:30:00,"Villa Park, Birmingham",33285,Home,Aston Villa,Arsenal,0,2,L,0,2,0,0,1.0,,58.0,1.0,,,40.0,17.0,11.0,5.0,2.0,139.0,,6.0,9.0,,1.0,13.0,,2.0,111.0,135.0,45.0,,18.0,3.0,14.0,,1.0,1.0,1.0,23.0,12.0,2.0,9.0,4.0,7.0,39.0,195.0,1.0,,0.0,129.0,8.0,1.0,49.0,79.0,5.0,67.0,,19.0,14.0,,7.0,6.0,127.0,1.0,7.0,110.0,608.0,12.0,13.0,14.0,341.0,27.0,8.0,6.0,,0.0,1.0,8.0,15.0,405.0,43.0,2.0,96740,3.0,167.0,12.0,181.0,2.0,,14.0,7.0,47.0,4.0,15.0,1.0,3.0,66.0,356.0,7.0,7.0,20.0,78.0,,,0.0,,5.0,2.0,,0.0,,4.0,,45.8,11.0,2.0,4.0,4.0,48.0,5.0,1.0,427.0,14.0,11.0,23.0,12.0,33.0,2.0,6.0,269.0,9.0,6.0,13.0,97.0,20.0,2.0,4.0,16.0,,16.0,3.0,16.0,2.0,9.0,5.0,,2.0,1.0,1.0,,,2.0,,,2.0,4.0,1.0,2.0,5.0,4.0,2.0,,1.0,,5.0,1.0,,4.0,,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
17,803322,2015-12-19 17:30:00,"St. James' Park, Newcastle",48234,Away,Aston Villa,Newcastle United,1,1,D,0,1,0,0,2.0,,83.0,,1.0,,43.0,17.0,5.0,2.0,3.0,174.0,,6.0,9.0,1.0,4.0,8.0,,7.0,96.0,192.0,61.0,1.0,10.0,,19.0,3.0,1.0,,,32.0,19.0,3.0,14.0,7.0,14.0,31.0,160.0,2.0,,0.0,107.0,14.0,3.0,40.0,79.0,5.0,60.0,5.0,25.0,21.0,1.0,8.0,2.0,189.0,1.0,8.0,84.0,659.0,4.0,17.0,30.0,300.0,41.0,16.0,8.0,1.0,3.0,,2.0,28.0,394.0,50.0,,96740,3.0,157.0,15.0,181.0,6.0,,21.0,10.0,65.0,1.0,26.0,,7.0,79.0,311.0,9.0,8.0,40.0,92.0,,2.0,0.0,2.0,3.0,3.0,1.0,0.0,,2.0,,52.8,22.0,6.0,1.0,,50.0,7.0,3.0,414.0,30.0,13.0,16.0,3.0,39.0,2.0,1.0,265.0,6.0,12.0,21.0,70.0,28.0,2.0,7.0,22.0,,6.0,1.0,22.0,2.0,16.0,7.0,,,,1.0,2.0,2.0,,,,,1.0,2.0,1.0,4.0,,1.0,,2.0,,,1.0,1.0,4.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,4.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
18,803341,2015-12-26 15:00:00,"Villa Park, Birmingham",38193,Home,Aston Villa,West Ham United,1,1,D,0,1,0,0,,1.0,54.0,,,,30.0,29.0,6.0,1.0,3.0,141.0,,7.0,9.0,1.0,4.0,11.0,,8.0,119.0,171.0,64.0,,15.0,2.0,22.0,5.0,1.0,2.0,1.0,43.0,14.0,2.0,19.0,8.0,10.0,25.0,225.0,,,0.0,154.0,14.0,1.0,57.0,65.0,7.0,47.0,,35.0,12.0,,11.0,2.0,161.0,1.0,6.0,124.0,665.0,9.0,14.0,15.0,339.0,27.0,5.0,13.0,,3.0,2.0,4.0,28.0,410.0,57.0,,96740,7.0,136.0,21.0,157.0,6.0,,12.0,8.0,62.0,4.0,16.0,4.0,5.0,57.0,354.0,12.0,9.0,19.0,63.0,1.0,2.0,0.0,1.0,6.0,1.0,1.0,0.0,,5.0,1.0,59.1,22.0,2.0,4.0,2.0,44.0,9.0,1.0,431.0,15.0,9.0,13.0,5.0,50.0,3.0,3.0,317.0,9.0,10.0,25.0,113.0,21.0,2.0,12.0,18.0,,8.0,2.0,21.0,2.0,7.0,9.0,2.0,,1.0,2.0,3.0,3.0,,,,3.0,3.0,2.0,1.0,6.0,2.0,,2.0,4.0,,1.0,1.0,3.0,4.0,,,1.0,,1.0,,,1.0,,4.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,803342,2015-12-28 15:00:00,"Carrow Road, Norwich",27071,Away,Aston Villa,Norwich City,0,2,L,0,1,0,0,1.0,,64.0,1.0,,,35.0,30.0,4.0,3.0,2.0,146.0,,8.0,14.0,,5.0,5.0,,3.0,96.0,161.0,69.0,1.0,6.0,,26.0,1.0,1.0,1.0,1.0,25.0,16.0,2.0,25.0,7.0,9.0,31.0,165.0,,,0.0,112.0,21.0,,53.0,81.0,3.0,56.0,2.0,18.0,13.0,1.0,4.0,2.0,156.0,,4.0,85.0,595.0,4.0,11.0,13.0,287.0,29.0,8.0,18.0,,5.0,1.0,2.0,25.0,368.0,55.0,1.0,96740,1.0,138.0,9.0,158.0,13.0,,13.0,6.0,73.0,2.0,24.0,5.0,2.0,74.0,295.0,10.0,9.0,28.0,81.0,,,0.0,1.0,3.0,,,0.0,,1.0,,51.8,19.0,1.0,2.0,1.0,42.0,7.0,,383.0,13.0,9.0,17.0,2.0,30.0,4.0,,250.0,2.0,7.0,25.0,71.0,30.0,2.0,17.0,20.0,,4.0,3.0,25.0,2.0,10.0,8.0,2.0,,,,5.0,1.0,,,,,1.0,1.0,2.0,3.0,,2.0,2.0,1.0,,,,1.0,4.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
20,803352,2016-01-02 15:00:00,"Stadium of Light, Sunderland",41535,Away,Aston Villa,Sunderland,1,3,L,0,1,0,0,1.0,,71.0,,,,41.0,22.0,3.0,5.0,3.0,162.0,,6.0,13.0,1.0,1.0,7.0,,3.0,122.0,161.0,48.0,,8.0,,26.0,2.0,1.0,,2.0,21.0,12.0,,16.0,3.0,11.0,36.0,225.0,,,0.0,133.0,13.0,1.0,74.0,79.0,3.0,66.0,1.0,18.0,13.0,,5.0,3.0,155.0,,8.0,120.0,661.0,6.0,13.0,14.0,356.0,29.0,17.0,5.0,1.0,4.0,3.0,4.0,25.0,448.0,65.0,,96740,3.0,151.0,11.0,172.0,8.0,,13.0,6.0,64.0,4.0,9.0,6.0,3.0,85.0,370.0,7.0,5.0,38.0,98.0,1.0,,0.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,,55.1,19.0,2.0,4.0,,54.0,3.0,1.0,470.0,14.0,14.0,16.0,5.0,23.0,1.0,2.0,319.0,1.0,9.0,15.0,92.0,28.0,4.0,5.0,14.0,,8.0,3.0,20.0,4.0,9.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,,2.0,,,3.0,2.0,1.0,3.0,,,,2.0,,,5.0,2.0,,,,2.0,,1.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
21,803363,2016-01-12 19:45:00,"Villa Park, Birmingham",28245,Home,Aston Villa,Crystal Palace,1,0,W,0,0,0,0,1.0,,62.0,2.0,,,35.0,26.0,7.0,4.0,1.0,150.0,,1.0,10.0,1.0,,8.0,,3.0,106.0,161.0,63.0,,13.0,5.0,21.0,2.0,2.0,1.0,,25.0,17.0,1.0,22.0,7.0,6.0,21.0,211.0,,1.0,0.0,138.0,15.0,1.0,90.0,73.0,6.0,61.0,1.0,18.0,19.0,,6.0,1.0,157.0,,4.0,117.0,642.0,7.0,10.0,19.0,325.0,25.0,9.0,17.0,,2.0,1.0,2.0,26.0,408.0,57.0,,96740,3.0,132.0,12.0,153.0,10.0,,19.0,7.0,52.0,2.0,20.0,5.0,3.0,68.0,342.0,8.0,7.0,27.0,81.0,,,0.0,,,,1.0,0.0,,1.0,1.0,51.3,18.0,3.0,2.0,7.0,40.0,9.0,1.0,434.0,19.0,8.0,7.0,3.0,33.0,1.0,2.0,306.0,8.0,6.0,20.0,106.0,28.0,1.0,16.0,25.0,,9.0,1.0,12.0,1.0,13.0,9.0,1.0,,,,,1.0,,,,2.0,1.0,1.0,,3.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
22,803375,2016-01-16 17:30:00,"Villa Park, Birmingham",32763,Home,Aston Villa,Leicester City,1,1,D,0,1,0,0,3.0,,64.0,2.0,,,53.0,17.0,5.0,4.0,4.0,206.0,,6.0,9.0,1.0,4.0,8.0,1.0,5.0,105.0,183.0,85.0,,14.0,2.0,15.0,3.0,2.0,2.0,1.0,30.0,14.0,1.0,16.0,3.0,7.0,33.0,240.0,,,0.0,148.0,13.0,,86.0,97.0,4.0,69.0,4.0,27.0,17.0,,13.0,2.0,182.0,,7.0,120.0,718.0,7.0,33.0,17.0,365.0,22.0,15.0,9.0,,3.0,1.0,4.0,30.0,470.0,56.0,,96740,5.0,154.0,11.0,178.0,8.0,1.0,17.0,11.0,51.0,6.0,17.0,5.0,8.0,85.0,388.0,14.0,6.0,33.0,108.0,,1.0,0.0,3.0,4.0,2.0,1.0,0.0,,1.0,,56.5,25.0,2.0,6.0,4.0,68.0,3.0,,500.0,17.0,8.0,17.0,5.0,38.0,,3.0,352.0,9.0,6.0,44.0,108.0,31.0,2.0,8.0,18.0,,11.0,2.0,21.0,2.0,10.0,3.0,2.0,,,3.0,3.0,,2.0,,,1.0,3.0,1.0,1.0,16.0,1.0,1.0,3.0,1.0,,,1.0,2.0,6.0,2.0,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,
23,803382,2016-01-23 15:00:00,"The Hawthorns, West Bromwich",26165,Away,Aston Villa,West Bromwich Albion,0,0,D,0,0,0,0,1.0,,67.0,3.0,,,34.0,33.0,9.0,3.0,,167.0,,4.0,9.0,,4.0,12.0,,4.0,96.0,170.0,59.0,,15.0,1.0,20.0,,,2.0,3.0,28.0,19.0,4.0,25.0,5.0,18.0,28.0,244.0,3.0,1.0,0.0,178.0,13.0,4.0,89.0,72.0,5.0,63.0,1.0,23.0,7.0,,9.0,4.0,162.0,,2.0,119.0,655.0,11.0,11.0,15.0,341.0,29.0,3.0,17.0,,1.0,1.0,7.0,22.0,427.0,60.0,,96740,4.0,112.0,11.0,136.0,6.0,,7.0,7.0,56.0,2.0,17.0,2.0,4.0,74.0,352.0,7.0,6.0,26.0,81.0,1.0,2.0,0.0,2.0,3.0,,,0.0,,3.0,,60.6,14.0,5.0,2.0,4.0,40.0,6.0,5.0,445.0,15.0,10.0,12.0,7.0,33.0,2.0,3.0,337.0,9.0,16.0,22.0,139.0,26.0,5.0,14.0,21.0,,14.0,2.0,16.0,5.0,4.0,6.0,,,,,3.0,,,,,1.0,,1.0,,3.0,3.0,,,3.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,803392,2016-02-02 19:45:00,"Boleyn Ground, London",34914,Away,Aston Villa,West Ham United,0,2,L,0,0,1,0,,,47.0,,,,24.0,25.0,5.0,1.0,4.0,136.0,,1.0,8.0,,1.0,5.0,,2.0,59.0,148.0,53.0,,5.0,2.0,15.0,,,2.0,,14.0,17.0,2.0,19.0,5.0,4.0,29.0,116.0,,,0.0,89.0,11.0,1.0,57.0,32.0,4.0,41.0,4.0,9.0,8.0,,1.0,1.0,142.0,,14.0,67.0,475.0,5.0,18.0,21.0,197.0,23.0,7.0,17.0,,0.0,3.0,1.0,15.0,264.0,49.0,,96740,,95.0,7.0,113.0,5.0,,8.0,21.0,57.0,4.0,12.0,11.0,5.0,73.0,210.0,9.0,15.0,29.0,76.0,,,0.0,4.0,5.0,1.0,,1.0,,,,32.0,11.0,,4.0,2.0,29.0,5.0,1.0,303.0,21.0,11.0,15.0,1.0,23.0,1.0,,204.0,4.0,3.0,16.0,49.0,17.0,1.0,14.0,20.0,,5.0,2.0,13.0,1.0,4.0,5.0,3.0,,,2.0,1.0,,,,,,,,2.0,5.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,803407,2016-02-06 15:00:00,"Villa Park, Birmingham",32472,Home,Aston Villa,Norwich City,2,0,W,1,0,0,0,,1.0,69.0,2.0,,,26.0,38.0,3.0,4.0,3.0,153.0,,5.0,7.0,2.0,2.0,8.0,,2.0,89.0,164.0,50.0,1.0,10.0,1.0,14.0,,2.0,1.0,,19.0,11.0,1.0,25.0,2.0,11.0,29.0,189.0,,1.0,0.0,137.0,10.0,1.0,81.0,59.0,4.0,54.0,3.0,17.0,16.0,1.0,9.0,1.0,151.0,1.0,9.0,90.0,595.0,6.0,9.0,21.0,279.0,36.0,5.0,23.0,1.0,0.0,5.0,4.0,23.0,357.0,67.0,2.0,96740,4.0,102.0,7.0,123.0,4.0,,16.0,9.0,49.0,,8.0,4.0,1.0,84.0,286.0,11.0,5.0,37.0,85.0,,1.0,0.0,1.0,11.0,3.0,2.0,0.0,1.0,1.0,,48.3,17.0,,1.0,3.0,36.0,2.0,1.0,386.0,21.0,9.0,14.0,5.0,25.0,,4.0,282.0,5.0,10.0,16.0,88.0,26.0,5.0,20.0,16.0,,8.0,1.0,18.0,5.0,11.0,2.0,2.0,,,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,,5.0,1.0,,,1.0,,3.0,,1.0,5.0,1.0,,,,3.0,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
26,803413,2016-02-14 14:05:00,"Villa Park, Birmingham",35798,Home,Aston Villa,Liverpool,0,6,L,0,2,0,0,1.0,,63.0,1.0,,,18.0,24.0,3.0,1.0,3.0,131.0,,2.0,10.0,,2.0,5.0,,1.0,103.0,142.0,47.0,,6.0,,11.0,1.0,1.0,,3.0,13.0,11.0,,17.0,,6.0,19.0,190.0,,,0.0,108.0,10.0,,77.0,56.0,2.0,61.0,5.0,13.0,11.0,,5.0,2.0,135.0,,7.0,115.0,600.0,5.0,11.0,34.0,313.0,22.0,5.0,6.0,,3.0,1.0,3.0,16.0,388.0,49.0,,96740,2.0,137.0,4.0,165.0,6.0,,11.0,4.0,54.0,3.0,11.0,4.0,,49.0,325.0,9.0,9.0,21.0,67.0,,1.0,0.0,2.0,6.0,3.0,,0.0,,1.0,,39.3,14.0,3.0,3.0,1.0,34.0,,,410.0,34.0,8.0,11.0,4.0,16.0,,1.0,258.0,4.0,6.0,9.0,74.0,30.0,,5.0,19.0,,6.0,3.0,26.0,,7.0,,,,,3.0,4.0,,,,,,,,6.0,5.0,1.0,3.0,,,,,,,2.0,,2.0,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,
27,803423,2016-02-27 15:00:00,"bet365 Stadium, Stoke",27703,Away,Aston Villa,Stoke City,1,2,L,0,0,0,0,,1.0,68.0,,,,28.0,32.0,2.0,1.0,3.0,153.0,,3.0,5.0,1.0,2.0,3.0,,1.0,98.0,166.0,40.0,,5.0,,19.0,,1.0,,2.0,19.0,13.0,,20.0,,10.0,25.0,199.0,,,0.0,138.0,15.0,1.0,74.0,66.0,1.0,56.0,5.0,19.0,17.0,,5.0,2.0,154.0,1.0,7.0,101.0,586.0,2.0,14.0,20.0,294.0,33.0,6.0,14.0,1.0,3.0,2.0,2.0,20.0,385.0,52.0,,96740,2.0,109.0,12.0,137.0,7.0,,17.0,9.0,52.0,,13.0,4.0,5.0,70.0,305.0,7.0,9.0,29.0,69.0,,1.0,0.0,7.0,11.0,,1.0,0.0,,1.0,,44.7,17.0,5.0,,,35.0,,1.0,408.0,20.0,4.0,12.0,4.0,23.0,,2.0,290.0,3.0,8.0,14.0,95.0,23.0,9.0,9.0,15.0,,5.0,2.0,11.0,9.0,6.0,,1.0,,,2.0,2.0,,,,,2.0,,,2.0,7.0,1.0,2.0,,,,1.0,,,3.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
