gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,accurateKeeperSweeper,attGoalHighRight,freekickTotal,attGoalHighCentre,attMissHighLeft,totalKeeperSweeper,totalOffside,attSvLowRight,attFreekickMiss,savedObox,attCmissRight,attHdTarget,attGoalHighLeft,shieldBallOop,attPostRight,goalsConcededObox,attGoalLowCentre,attCmissHigh,defenderGoals,attCmissLeft,errorLeadToGoal,goalFastbreak,attHdPost,attPostHigh,clearanceOffLine,punches,attSvHighLeft,cleanSheet,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attObpGoal,attSvHighCentre,attSvHighRight,attFreekickTarget,attPenTarget,attObxLeft,attOboxGoal,secondYellow,attLgCentre,foulThrowIn,attCmissHighRight,attPenMiss
27,803429,2016-02-27 15:00:00,"King Power Stadium, Leicester",32114,Home,Leicester City,Norwich City,1,0,W,0,0,0,0,,,1.0,65.0,,,2.0,,,33.0,10.0,6.0,5.0,1.0,1.0,2.0,205.0,3.0,10.0,1.0,4.0,11.0,1.0,3.0,96.0,194.0,56.0,13.0,3.0,27.0,,,1.0,,1.0,1.0,1.0,26.0,,12.0,2.0,6.0,3.0,14.0,36.0,,194.0,2.0,,0.0,164.0,9.0,1.0,,,1.0,2.0,3.0,72.0,79.0,6.0,69.0,1.0,1.0,23.0,18.0,8.0,2.0,190.0,2.0,,5.0,,92.0,655.0,8.0,13.0,,18.0,322.0,30.0,7.0,3.0,1.0,0.0,3.0,5.0,29.0,441.0,96.0,,1.0,,86417,2.0,142.0,1.0,13.0,1.0,2.0,170.0,5.0,,1.0,18.0,5.0,59.0,,3.0,1.0,11.0,4.0,,,,82.0,333.0,9.0,8.0,2.0,38.0,91.0,,0.0,2.0,4.0,1.0,1.0,,5.0,0.0,3.0,,2.0,58.1,24.0,2.0,2.0,,5.0,5.0,35.0,3.0,3.0,462.0,18.0,9.0,16.0,5.0,29.0,,3.0,318.0,6.0,13.0,23.0,101.0,22.0,,3.0,2.0,14.0,,,10.0,3.0,18.0,3.0,7.0,3.0,1.0,3.0,,1.0,,1.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,
28,803440,2016-03-01 19:45:00,"King Power Stadium, Leicester",32018,Home,Leicester City,West Bromwich Albion,2,2,D,2,1,0,0,2.0,,1.0,70.0,1.0,,5.0,,,43.0,14.0,6.0,9.0,1.0,,2.0,183.0,8.0,11.0,2.0,4.0,14.0,1.0,4.0,116.0,179.0,67.0,22.0,2.0,27.0,3.0,,1.0,2.0,1.0,2.0,1.0,42.0,2.0,17.0,,12.0,6.0,16.0,46.0,,195.0,1.0,,0.0,168.0,10.0,,,1.0,1.0,4.0,,86.0,70.0,6.0,80.0,2.0,3.0,36.0,20.0,6.0,4.0,177.0,4.0,1.0,5.0,,109.0,706.0,10.0,14.0,2.0,25.0,354.0,37.0,5.0,8.0,1.0,0.0,2.0,7.0,26.0,463.0,75.0,,,,86417,7.0,188.0,5.0,26.0,2.0,1.0,217.0,3.0,1.0,3.0,20.0,8.0,55.0,,4.0,1.0,8.0,6.0,6.0,2.0,,90.0,375.0,7.0,7.0,2.0,27.0,81.0,,0.0,4.0,3.0,1.0,2.0,2.0,5.0,0.0,5.0,1.0,4.0,65.0,23.0,1.0,5.0,4.0,4.0,7.0,38.0,11.0,,488.0,25.0,4.0,19.0,11.0,52.0,3.0,5.0,313.0,8.0,16.0,26.0,112.0,22.0,,3.0,7.0,23.0,,1.0,13.0,3.0,21.0,3.0,5.0,11.0,,1.0,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
29,803445,2016-03-05 17:30:00,"Vicarage Road, Watford",20884,Away,Leicester City,Watford,1,0,W,0,0,0,0,,4.0,,81.0,,,,,,42.0,25.0,4.0,8.0,4.0,1.0,,192.0,5.0,12.0,1.0,2.0,10.0,,7.0,74.0,177.0,69.0,14.0,,28.0,4.0,,,,,3.0,3.0,21.0,,18.0,2.0,23.0,6.0,14.0,40.0,,171.0,,,0.0,140.0,11.0,1.0,,1.0,3.0,1.0,,58.0,76.0,4.0,71.0,1.0,3.0,15.0,23.0,2.0,2.0,175.0,2.0,,6.0,,78.0,644.0,8.0,15.0,,20.0,293.0,39.0,12.0,13.0,,2.0,3.0,6.0,24.0,387.0,78.0,1.0,1.0,,86417,6.0,141.0,2.0,12.0,,2.0,167.0,6.0,,,23.0,7.0,79.0,1.0,2.0,1.0,18.0,5.0,2.0,,,86.0,307.0,9.0,13.0,2.0,36.0,79.0,,0.0,2.0,3.0,3.0,1.0,,8.0,0.0,4.0,,4.0,49.8,21.0,2.0,2.0,2.0,2.0,,40.0,8.0,,415.0,20.0,13.0,25.0,7.0,24.0,1.0,5.0,269.0,2.0,13.0,22.0,87.0,29.0,,3.0,12.0,26.0,,,9.0,3.0,26.0,3.0,11.0,8.0,,3.0,,,,1.0,3.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
30,803456,2016-03-14 20:00:00,"King Power Stadium, Leicester",31824,Home,Leicester City,Newcastle United,1,0,W,1,0,0,0,,,,59.0,1.0,,4.0,1.0,,36.0,19.0,3.0,6.0,2.0,,,180.0,3.0,6.0,1.0,4.0,9.0,,1.0,105.0,178.0,62.0,10.0,2.0,23.0,,,1.0,,,,1.0,25.0,,16.0,,16.0,4.0,20.0,24.0,,180.0,,,0.0,135.0,4.0,,,,,3.0,2.0,69.0,71.0,7.0,77.0,,1.0,21.0,31.0,5.0,1.0,175.0,,,8.0,,96.0,686.0,7.0,18.0,,24.0,343.0,28.0,15.0,11.0,1.0,0.0,5.0,2.0,33.0,436.0,63.0,,,,86417,4.0,180.0,,13.0,,1.0,209.0,1.0,1.0,,31.0,9.0,67.0,,2.0,,16.0,4.0,6.0,1.0,,70.0,357.0,9.0,14.0,1.0,35.0,91.0,,0.0,1.0,4.0,,1.0,,7.0,0.0,2.0,1.0,1.0,49.9,25.0,1.0,5.0,2.0,3.0,6.0,51.0,8.0,2.0,458.0,24.0,15.0,14.0,3.0,28.0,1.0,2.0,274.0,3.0,18.0,26.0,97.0,19.0,1.0,2.0,9.0,21.0,,,6.0,2.0,17.0,2.0,15.0,8.0,1.0,,,1.0,,,,,,,2.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
31,803465,2016-03-19 15:00:00,"Selhurst Park, London",25041,Away,Leicester City,Crystal Palace,1,0,W,1,0,0,0,,1.0,1.0,70.0,,1.0,1.0,,,26.0,44.0,2.0,3.0,4.0,1.0,1.0,172.0,3.0,13.0,1.0,,7.0,,3.0,70.0,179.0,75.0,8.0,1.0,28.0,2.0,,1.0,,1.0,1.0,1.0,26.0,,24.0,,39.0,4.0,16.0,39.0,1.0,165.0,,,0.0,163.0,13.0,2.0,,1.0,,,3.0,44.0,87.0,4.0,44.0,,1.0,22.0,10.0,5.0,1.0,174.0,3.0,1.0,7.0,,60.0,581.0,5.0,12.0,,21.0,221.0,32.0,7.0,29.0,1.0,1.0,2.0,3.0,19.0,316.0,82.0,1.0,,,86417,3.0,71.0,2.0,17.0,,,100.0,5.0,,1.0,10.0,13.0,73.0,1.0,1.0,1.0,17.0,6.0,4.0,1.0,,85.0,233.0,9.0,18.0,1.0,40.0,96.0,,0.0,1.0,10.0,1.0,1.0,,5.0,0.0,3.0,1.0,1.0,44.1,15.0,1.0,3.0,1.0,1.0,2.0,43.0,7.0,3.0,346.0,21.0,6.0,17.0,3.0,33.0,,2.0,272.0,4.0,16.0,25.0,101.0,28.0,,8.0,26.0,28.0,,,5.0,3.0,22.0,8.0,6.0,7.0,,,,,,,,,1.0,,3.0,1.0,,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,
32,803477,2016-04-03 13:30:00,"King Power Stadium, Leicester",32071,Home,Leicester City,Southampton,1,0,W,1,0,0,0,,1.0,,58.0,1.0,,4.0,1.0,,30.0,41.0,3.0,3.0,1.0,,2.0,163.0,5.0,9.0,1.0,6.0,9.0,,4.0,78.0,159.0,58.0,11.0,1.0,28.0,2.0,,,,,2.0,2.0,20.0,,13.0,1.0,33.0,4.0,10.0,33.0,,164.0,,,0.0,136.0,12.0,1.0,,,1.0,3.0,2.0,65.0,66.0,7.0,54.0,2.0,,16.0,21.0,8.0,1.0,151.0,2.0,,7.0,,69.0,575.0,6.0,9.0,,14.0,245.0,35.0,8.0,25.0,1.0,2.0,4.0,2.0,26.0,332.0,59.0,1.0,1.0,,78412,4.0,106.0,2.0,5.0,1.0,2.0,131.0,3.0,,1.0,21.0,10.0,67.0,1.0,2.0,,5.0,3.0,5.0,,,68.0,265.0,13.0,8.0,2.0,28.0,76.0,,0.0,1.0,8.0,1.0,1.0,,2.0,0.0,3.0,1.0,2.0,46.0,18.0,1.0,2.0,1.0,2.0,5.0,39.0,7.0,2.0,364.0,14.0,3.0,17.0,2.0,31.0,2.0,1.0,253.0,5.0,9.0,17.0,88.0,13.0,,6.0,23.0,22.0,1.0,,6.0,3.0,26.0,6.0,8.0,7.0,,,,,,,,2.0,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,
33,803486,2016-04-10 13:30:00,"Stadium of Light, Sunderland",46531,Away,Leicester City,Sunderland,2,0,W,0,0,0,0,,,2.0,80.0,,1.0,1.0,,,33.0,36.0,4.0,3.0,1.0,,5.0,208.0,5.0,22.0,2.0,1.0,14.0,1.0,7.0,64.0,199.0,75.0,16.0,1.0,29.0,3.0,,2.0,,2.0,5.0,,24.0,,20.0,2.0,31.0,5.0,12.0,46.0,1.0,195.0,2.0,,0.0,191.0,9.0,1.0,,,,2.0,,74.0,81.0,7.0,68.0,1.0,3.0,19.0,19.0,6.0,1.0,194.0,5.0,1.0,8.0,,68.0,661.0,9.0,13.0,,18.0,277.0,35.0,10.0,16.0,2.0,1.0,4.0,7.0,29.0,381.0,97.0,,,,78412,8.0,99.0,3.0,11.0,,1.0,121.0,4.0,2.0,2.0,19.0,15.0,87.0,,1.0,2.0,13.0,7.0,4.0,2.0,,79.0,289.0,9.0,14.0,3.0,29.0,95.0,,0.0,3.0,1.0,1.0,2.0,,3.0,0.0,2.0,1.0,3.0,55.2,25.0,3.0,6.0,1.0,1.0,2.0,51.0,7.0,,408.0,18.0,13.0,25.0,7.0,44.0,3.0,6.0,311.0,10.0,10.0,20.0,122.0,38.0,2.0,,15.0,24.0,,,12.0,3.0,44.0,,11.0,7.0,,,,,,,,1.0,,,,2.0,,,2.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
34,803501,2016-04-17 13:30:00,"King Power Stadium, Leicester",32104,Home,Leicester City,West Ham United,2,2,D,1,0,1,0,,,1.0,65.0,,2.0,,,,23.0,33.0,1.0,1.0,2.0,1.0,,161.0,3.0,6.0,2.0,4.0,6.0,,2.0,58.0,159.0,48.0,6.0,,16.0,,1.0,,,1.0,,,6.0,,13.0,,26.0,,4.0,29.0,1.0,114.0,,1.0,0.0,98.0,14.0,1.0,2.0,,,2.0,2.0,32.0,68.0,1.0,45.0,1.0,3.0,6.0,18.0,2.0,1.0,152.0,3.0,2.0,10.0,,68.0,511.0,3.0,20.0,,8.0,213.0,28.0,11.0,21.0,1.0,1.0,3.0,4.0,22.0,300.0,69.0,,2.0,,86417,4.0,114.0,3.0,2.0,,1.0,133.0,11.0,1.0,,18.0,12.0,50.0,2.0,3.0,1.0,17.0,9.0,4.0,1.0,1.0,67.0,225.0,13.0,9.0,1.0,31.0,79.0,1.0,0.0,4.0,5.0,1.0,2.0,2.0,9.0,1.0,3.0,1.0,3.0,43.5,15.0,3.0,1.0,,3.0,,33.0,,2.0,332.0,8.0,7.0,11.0,4.0,24.0,,3.0,205.0,2.0,4.0,17.0,42.0,23.0,1.0,6.0,16.0,14.0,,2.0,4.0,3.0,11.0,6.0,11.0,,,,,,,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,
35,803509,2016-04-24 16:15:00,"King Power Stadium, Leicester",31962,Home,Leicester City,Swansea City,4,0,W,2,0,0,0,,1.0,4.0,88.0,1.0,2.0,2.0,1.0,1.0,24.0,25.0,4.0,7.0,1.0,2.0,4.0,167.0,3.0,23.0,4.0,3.0,10.0,,9.0,80.0,161.0,80.0,18.0,1.0,13.0,4.0,1.0,1.0,,1.0,1.0,,13.0,,22.0,1.0,21.0,4.0,20.0,37.0,,150.0,2.0,,0.0,138.0,15.0,1.0,1.0,1.0,1.0,1.0,,51.0,64.0,8.0,61.0,3.0,1.0,10.0,22.0,2.0,2.0,157.0,4.0,,6.0,,84.0,627.0,7.0,10.0,,33.0,279.0,42.0,7.0,16.0,2.0,1.0,4.0,2.0,21.0,374.0,70.0,1.0,1.0,,86417,6.0,142.0,2.0,7.0,,1.0,170.0,11.0,1.0,,22.0,5.0,64.0,2.0,1.0,3.0,6.0,3.0,3.0,,,67.0,289.0,10.0,8.0,1.0,31.0,67.0,1.0,0.0,,6.0,1.0,4.0,,2.0,0.0,3.0,2.0,2.0,38.3,14.0,1.0,7.0,4.0,1.0,3.0,28.0,4.0,,392.0,33.0,17.0,18.0,6.0,19.0,1.0,4.0,235.0,9.0,19.0,17.0,82.0,36.0,2.0,2.0,14.0,30.0,1.0,,14.0,3.0,34.0,2.0,9.0,4.0,1.0,,,1.0,,3.0,,3.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,
36,803515,2016-05-01 14:05:00,"Old Trafford, Manchester",75275,Away,Leicester City,Manchester United,1,1,D,1,1,1,0,,1.0,1.0,69.0,1.0,,1.0,1.0,1.0,19.0,36.0,4.0,3.0,5.0,,,120.0,9.0,16.0,1.0,1.0,13.0,,3.0,47.0,138.0,68.0,14.0,3.0,31.0,1.0,,,,,,1.0,15.0,,20.0,1.0,32.0,5.0,6.0,28.0,,105.0,1.0,,0.0,101.0,10.0,1.0,,,,2.0,2.0,24.0,45.0,6.0,30.0,5.0,2.0,10.0,22.0,2.0,,134.0,2.0,2.0,9.0,,51.0,480.0,7.0,6.0,,32.0,141.0,33.0,7.0,24.0,1.0,0.0,8.0,7.0,17.0,215.0,66.0,,1.0,,86417,8.0,58.0,1.0,6.0,,4.0,82.0,5.0,,1.0,22.0,8.0,77.0,,1.0,,9.0,12.0,3.0,2.0,,69.0,154.0,15.0,24.0,5.0,35.0,56.0,,0.0,3.0,6.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,8.0,29.5,9.0,6.0,5.0,,1.0,4.0,22.0,5.0,2.0,248.0,32.0,9.0,16.0,7.0,32.0,4.0,7.0,181.0,3.0,6.0,12.0,49.0,20.0,,3.0,21.0,25.0,1.0,1.0,6.0,3.0,21.0,3.0,10.0,5.0,,2.0,,,,1.0,2.0,,,,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,
37,803524,2016-05-07 17:30:00,"King Power Stadium, Leicester",32140,Home,Leicester City,Everton,3,1,W,2,0,0,0,,2.0,3.0,58.0,1.0,1.0,5.0,,,26.0,19.0,9.0,7.0,4.0,,2.0,141.0,11.0,15.0,3.0,5.0,22.0,,8.0,72.0,133.0,69.0,31.0,5.0,12.0,3.0,,2.0,,1.0,1.0,1.0,30.0,,11.0,2.0,17.0,10.0,16.0,30.0,,185.0,2.0,2.0,0.0,126.0,4.0,3.0,,1.0,2.0,1.0,2.0,71.0,42.0,12.0,38.0,2.0,5.0,20.0,18.0,7.0,2.0,131.0,3.0,1.0,6.0,,89.0,562.0,16.0,12.0,,17.0,252.0,22.0,3.0,13.0,1.0,0.0,1.0,10.0,20.0,318.0,66.0,,,,86417,13.0,91.0,3.0,12.0,1.0,1.0,101.0,2.0,3.0,,18.0,4.0,51.0,,1.0,2.0,6.0,3.0,1.0,5.0,1.0,50.0,265.0,12.0,11.0,5.0,16.0,69.0,,0.0,2.0,4.0,2.0,3.0,1.0,6.0,0.0,6.0,1.0,10.0,41.3,17.0,9.0,4.0,3.0,1.0,10.0,41.0,12.0,2.0,340.0,17.0,11.0,21.0,13.0,37.0,5.0,11.0,269.0,13.0,15.0,25.0,88.0,25.0,2.0,3.0,13.0,17.0,,1.0,16.0,3.0,28.0,3.0,9.0,12.0,2.0,,,2.0,,,,2.0,2.0,1.0,2.0,2.0,1.0,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
38,803535,2016-05-15 15:00:00,"Stamford Bridge, London",41494,Away,Leicester City,Chelsea,1,1,D,0,0,0,0,1.0,3.0,,75.0,1.0,,2.0,,,23.0,16.0,13.0,8.0,3.0,,1.0,170.0,6.0,16.0,1.0,3.0,13.0,,5.0,88.0,152.0,55.0,18.0,5.0,9.0,1.0,,,,1.0,3.0,2.0,19.0,,19.0,3.0,13.0,6.0,23.0,40.0,1.0,209.0,,,0.0,139.0,12.0,2.0,,1.0,,1.0,1.0,68.0,81.0,9.0,74.0,3.0,3.0,13.0,29.0,5.0,4.0,149.0,2.0,,11.0,,112.0,668.0,10.0,11.0,,20.0,340.0,26.0,2.0,7.0,1.0,0.0,8.0,4.0,26.0,421.0,67.0,,,,86417,1.0,147.0,2.0,7.0,,,166.0,6.0,1.0,1.0,29.0,7.0,65.0,,5.0,1.0,9.0,6.0,2.0,1.0,,58.0,350.0,5.0,20.0,2.0,15.0,77.0,,0.0,4.0,7.0,2.0,,1.0,6.0,0.0,3.0,,1.0,46.0,23.0,1.0,13.0,1.0,5.0,7.0,43.0,6.0,2.0,444.0,20.0,12.0,19.0,6.0,29.0,3.0,2.0,297.0,9.0,20.0,10.0,92.0,29.0,,1.0,6.0,24.0,,1.0,16.0,3.0,30.0,1.0,17.0,6.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,3.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,
