gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attFreekickTotal,attOboxBlocked,goalAssistOpenplay,attSvLowCentre,attMissHighRight,divingSave,midfielderGoals,freekickTotal,attGoalHighCentre,attOboxMiss,goalAssist,penaltyConceded,attRfGoal,goalsOpenplay,punches,attFreekickTarget,overrun,attIboxGoal,goalAssistIntentional,attHdTotal,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowRight,accurateKeeperSweeper,attMissRight,totalKeeperSweeper,accurateThroughBall,attHdMiss,effectiveBlockedCross,blockedCross,handBall,attObxLeft,shotFastbreak,cleanSheet,totalFastbreak,attHdTarget,attMissHighLeft,totalPullBack,attFastbreak,attSvHighCentre,contentiousDecision,attCmissLeft,attLfGoal,attCmissRight,goalFastbreak,attGoalHighLeft,attFreekickMiss,attGoalLowCentre,postScoringAtt,attOboxGoal,attFreekickPost,hitWoodwork,defenderGoals,attOboxPost,attPostHigh,forwardGoals,attGoalHighRight,attFreekickGoal,penaltyWon,attPenGoal,clearanceOffLine,attPostRight,errorLeadToGoal,goalsConcededObox,expectedGoalsOnTarget,attemptsIbox,expectedGoalsOnTargetConceded,attemptsObox,touchesInOppBox,expectedAssists,expectedGoalsFreekick,attCorner,expectedGoals,accuratePullBack,attIboxPost,attHdPost,foulThrowIn,attObxdRight,attSvHighRight,attPostLeft,attCmissHighRight,attLgCentre,attObxdLeft
11,803263,2015-11-02 20:00:00,"White Hart Lane, London",34882,Home,Tottenham Hotspur,Aston Villa,3,1,W,2,0,0,0,1.0,56.0,3.0,45.0,31.0,7.0,7.0,1.0,2.0,185.0,1.0,9.0,4.0,12.0,6.0,136.0,158.0,62.0,17.0,20.0,2.0,3.0,1.0,12.0,17.0,1.0,25.0,1.0,11.0,32.0,,224.0,0.0,140.0,6.0,,1.0,1.0,,75.0,67.0,9.0,85.0,1.0,11.0,10.0,4.0,158.0,1.0,5.0,124.0,754.0,8.0,11.0,19.0,412.0,24.0,9.0,17.0,0.0,5.0,3.0,33.0,503.0,78.0,,,93264,4.0,209.0,,6.0,,1.0,219.0,2.0,5.0,7.0,60.0,1.0,,1.0,3.0,2.0,15.0,8.0,4.0,3.0,82.0,432.0,13.0,12.0,2.0,31.0,115.0,,0.0,3.0,1.0,1.0,,0.0,1.0,,61.3,30.0,5.0,2.0,2.0,7.0,62.0,4.0,,530.0,19.0,13.0,20.0,4.0,28.0,,2.0,323.0,8.0,8.0,19.0,97.0,23.0,,15.0,21.0,,11.0,3.0,20.0,5.0,4.0,1.0,1.0,,,,3.0,2.0,4.0,2.0,1.0,,,2.0,2.0,,2.0,2.0,,2.0,3.0,1.0,,4.0,3.0,1.0,2.0,,,,,,,1.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.8485,10.0,0.4662,7.0,23.0,0.482365,0.115248,3.0,0.956201,,,,,,,,,,
12,803279,2015-11-08 16:00:00,"Emirates Stadium, London",60060,Away,Tottenham Hotspur,Arsenal,1,1,D,1,0,0,0,,62.0,2.0,24.0,35.0,4.0,3.0,3.0,2.0,155.0,2.0,16.0,2.0,10.0,4.0,87.0,171.0,63.0,14.0,12.0,3.0,4.0,2.0,14.0,15.0,,26.0,1.0,6.0,27.0,1.0,160.0,0.0,120.0,17.0,1.0,,1.0,,68.0,40.0,6.0,48.0,2.0,13.0,29.0,3.0,162.0,1.0,9.0,93.0,613.0,6.0,4.0,14.0,270.0,32.0,9.0,18.0,1.0,1.0,4.0,24.0,354.0,55.0,,,93464,1.0,131.0,,9.0,,1.0,152.0,7.0,29.0,8.0,68.0,,,2.0,3.0,2.0,8.0,1.0,3.0,,67.0,289.0,12.0,5.0,3.0,40.0,81.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,1.0,,45.1,15.0,4.0,4.0,2.0,3.0,36.0,6.0,,383.0,14.0,19.0,15.0,7.0,25.0,1.0,4.0,245.0,9.0,6.0,16.0,81.0,22.0,,17.0,22.0,1.0,11.0,3.0,32.0,17.0,6.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,2.0,3.0,,,,3.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,,3.0,,1.0,1.0,3.0,3.0,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
13,803291,2015-11-22 16:00:00,"White Hart Lane, London",35968,Home,Tottenham Hotspur,West Ham United,4,1,W,2,0,0,0,1.0,72.0,2.0,33.0,29.0,8.0,4.0,3.0,7.0,160.0,3.0,9.0,2.0,16.0,12.0,132.0,165.0,51.0,22.0,10.0,6.0,1.0,,19.0,18.0,2.0,22.0,5.0,12.0,35.0,,238.0,0.0,159.0,13.0,,1.0,1.0,,85.0,48.0,13.0,61.0,,14.0,18.0,3.0,158.0,3.0,4.0,131.0,708.0,12.0,6.0,22.0,375.0,21.0,6.0,18.0,2.0,3.0,3.0,25.0,461.0,68.0,,,93464,11.0,157.0,4.0,10.0,,1.0,183.0,6.0,18.0,5.0,64.0,,,2.0,3.0,3.0,12.0,6.0,5.0,,61.0,392.0,9.0,13.0,,20.0,67.0,,0.0,6.0,2.0,1.0,2.0,0.0,2.0,4.0,55.8,21.0,2.0,1.0,3.0,5.0,35.0,7.0,,484.0,22.0,23.0,22.0,5.0,26.0,1.0,2.0,320.0,16.0,9.0,12.0,121.0,42.0,,17.0,21.0,1.0,19.0,3.0,14.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,4.0,,3.0,3.0,7.0,1.0,,,,1.0,1.0,4.0,,2.0,3.0,,,2.0,3.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,3.0,3.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
14,803293,2015-11-29 12:00:00,"White Hart Lane, London",35639,Home,Tottenham Hotspur,Chelsea,0,0,D,0,0,0,0,2.0,50.0,,22.0,41.0,7.0,4.0,1.0,1.0,167.0,3.0,8.0,1.0,8.0,4.0,125.0,180.0,44.0,9.0,10.0,2.0,,,16.0,13.0,2.0,33.0,3.0,17.0,34.0,,209.0,0.0,145.0,14.0,,1.0,1.0,,74.0,65.0,6.0,80.0,4.0,13.0,15.0,2.0,172.0,,3.0,125.0,710.0,8.0,7.0,17.0,377.0,24.0,1.0,21.0,4.0,1.0,2.0,38.0,477.0,73.0,,,97485,2.0,185.0,,10.0,,,213.0,9.0,15.0,5.0,49.0,,,1.0,2.0,3.0,15.0,2.0,2.0,1.0,67.0,391.0,9.0,2.0,,31.0,90.0,1.0,0.0,4.0,1.0,,2.0,0.0,3.0,,57.7,26.0,2.0,,3.0,3.0,49.0,4.0,,497.0,17.0,18.0,16.0,2.0,25.0,,,300.0,4.0,17.0,12.0,96.0,18.0,,18.0,15.0,,9.0,2.0,13.0,9.0,4.0,,,,,,,,3.0,,1.0,1.0,1.0,,,,2.0,,,,,2.0,,1.0,,,1.0,,,,,3.0,,3.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,803310,2015-12-05 15:00:00,"The Hawthorns, West Bromwich",23602,Away,Tottenham Hotspur,West Bromwich Albion,1,1,D,1,1,0,0,1.0,60.0,1.0,29.0,23.0,5.0,2.0,3.0,1.0,184.0,2.0,14.0,,8.0,4.0,146.0,155.0,51.0,9.0,15.0,2.0,1.0,1.0,15.0,14.0,1.0,18.0,4.0,18.0,28.0,,249.0,0.0,146.0,10.0,,1.0,,1.0,85.0,43.0,7.0,79.0,,11.0,23.0,3.0,150.0,2.0,6.0,150.0,752.0,5.0,8.0,14.0,436.0,31.0,6.0,14.0,2.0,4.0,1.0,20.0,531.0,69.0,,1.0,97485,2.0,211.0,1.0,8.0,,,241.0,8.0,23.0,7.0,47.0,,,4.0,1.0,2.0,14.0,5.0,5.0,1.0,73.0,458.0,13.0,7.0,2.0,40.0,86.0,,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,64.6,15.0,1.0,,2.0,3.0,48.0,6.0,1.0,559.0,14.0,9.0,14.0,2.0,30.0,1.0,,333.0,6.0,18.0,10.0,106.0,23.0,,13.0,15.0,1.0,7.0,2.0,20.0,11.0,6.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,2.0,,2.0,1.0,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,2.0,,2.0,1.0,,5.0,5.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,803316,2015-12-13 16:00:00,"White Hart Lane, London",35768,Home,Tottenham Hotspur,Newcastle United,1,2,L,1,0,0,0,2.0,60.0,,34.0,28.0,13.0,5.0,2.0,5.0,188.0,4.0,4.0,3.0,16.0,8.0,128.0,186.0,50.0,20.0,14.0,2.0,,1.0,14.0,13.0,5.0,22.0,5.0,23.0,39.0,,223.0,0.0,172.0,13.0,,3.0,,2.0,85.0,51.0,11.0,62.0,1.0,9.0,25.0,3.0,180.0,1.0,8.0,99.0,707.0,13.0,12.0,13.0,342.0,15.0,10.0,19.0,2.0,1.0,5.0,40.0,448.0,75.0,,,93464,4.0,145.0,2.0,6.0,,,159.0,8.0,25.0,7.0,52.0,,,3.0,2.0,6.0,17.0,,6.0,1.0,75.0,364.0,13.0,3.0,2.0,37.0,91.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,58.3,28.0,7.0,2.0,6.0,5.0,41.0,6.0,2.0,477.0,13.0,17.0,24.0,7.0,29.0,2.0,4.0,332.0,12.0,19.0,15.0,113.0,29.0,,16.0,18.0,2.0,15.0,2.0,12.0,15.0,6.0,,,,1.0,1.0,1.0,2.0,5.0,,2.0,,1.0,1.0,2.0,,3.0,1.0,,,,,1.0,1.0,1.0,1.0,3.0,,,1.0,,,5.0,,,2.0,4.0,4.0,2.0,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
17,803330,2015-12-19 15:00:00,"St. Mary's Stadium, Southampton",31636,Away,Tottenham Hotspur,Southampton,2,0,W,2,0,0,0,,73.0,1.0,26.0,23.0,3.0,3.0,4.0,3.0,168.0,1.0,12.0,4.0,9.0,5.0,70.0,181.0,67.0,12.0,20.0,2.0,2.0,2.0,16.0,14.0,1.0,18.0,5.0,13.0,36.0,1.0,150.0,0.0,110.0,9.0,,,2.0,2.0,76.0,50.0,6.0,56.0,1.0,11.0,19.0,6.0,176.0,2.0,8.0,89.0,611.0,7.0,11.0,14.0,259.0,33.0,6.0,13.0,1.0,5.0,3.0,30.0,353.0,58.0,,,97485,2.0,129.0,,3.0,,1.0,155.0,3.0,19.0,5.0,57.0,1.0,,1.0,2.0,6.0,12.0,3.0,3.0,1.0,65.0,278.0,17.0,5.0,,24.0,83.0,1.0,0.0,4.0,3.0,,4.0,0.0,1.0,,49.0,16.0,5.0,3.0,6.0,3.0,36.0,7.0,2.0,383.0,14.0,15.0,18.0,4.0,27.0,,3.0,244.0,8.0,11.0,18.0,65.0,22.0,,11.0,20.0,,9.0,3.0,21.0,12.0,7.0,2.0,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,2.0,,1.0,2.0,,2.0,2.0,2.0,,3.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,,1.0,3.0,3.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,
18,803337,2015-12-26 15:00:00,"White Hart Lane, London",35198,Home,Tottenham Hotspur,Norwich City,3,0,W,2,0,0,0,1.0,61.0,1.0,28.0,19.0,3.0,3.0,3.0,3.0,180.0,3.0,9.0,2.0,12.0,10.0,146.0,168.0,58.0,15.0,12.0,6.0,3.0,2.0,18.0,15.0,1.0,12.0,8.0,7.0,44.0,1.0,196.0,0.0,117.0,4.0,,,,,79.0,57.0,10.0,79.0,,10.0,19.0,1.0,161.0,2.0,7.0,128.0,747.0,7.0,15.0,21.0,404.0,24.0,3.0,5.0,1.0,1.0,2.0,25.0,502.0,52.0,,1.0,93464,4.0,235.0,2.0,9.0,,,265.0,3.0,19.0,8.0,38.0,,,6.0,3.0,3.0,14.0,4.0,5.0,,62.0,428.0,13.0,4.0,3.0,21.0,92.0,1.0,0.0,4.0,1.0,,6.0,0.0,,1.0,59.8,23.0,3.0,2.0,3.0,2.0,51.0,9.0,,533.0,21.0,14.0,22.0,3.0,32.0,3.0,3.0,286.0,8.0,7.0,18.0,82.0,30.0,,3.0,18.0,,10.0,3.0,13.0,11.0,9.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,3.0,,3.0,,,,,2.0,,2.0,2.0,1.0,,4.0,2.0,,4.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,,,1.0,1.0,2.0,3.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
19,803351,2015-12-28 15:00:00,"Vicarage Road, Watford",20730,Away,Tottenham Hotspur,Watford,2,1,W,1,1,0,1,,63.0,,49.0,30.0,5.0,4.0,,1.0,183.0,3.0,10.0,,7.0,3.0,138.0,179.0,48.0,10.0,21.0,1.0,1.0,2.0,22.0,11.0,,22.0,3.0,4.0,58.0,,232.0,0.0,152.0,13.0,,,,1.0,81.0,78.0,3.0,75.0,1.0,19.0,17.0,4.0,171.0,,5.0,129.0,735.0,5.0,2.0,25.0,394.0,21.0,4.0,13.0,2.0,4.0,4.0,35.0,505.0,88.0,,1.0,93464,1.0,181.0,,15.0,,,218.0,8.0,17.0,5.0,53.0,,,1.0,1.0,5.0,13.0,4.0,3.0,,87.0,410.0,11.0,5.0,,21.0,72.0,,0.0,5.0,,1.0,,0.0,3.0,,62.5,29.0,6.0,1.0,5.0,,40.0,3.0,2.0,525.0,25.0,6.0,26.0,7.0,29.0,,3.0,329.0,5.0,4.0,16.0,102.0,30.0,,10.0,12.0,1.0,9.0,3.0,19.0,6.0,3.0,,,,,,2.0,,,2.0,1.0,1.0,,,,,4.0,2.0,,1.0,2.0,4.0,,2.0,1.0,1.0,1.0,,,,1.0,,4.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,803361,2016-01-03 16:00:00,"Goodison Park, Liverpool",38482,Away,Tottenham Hotspur,Everton,1,1,D,1,1,0,0,2.0,68.0,1.0,40.0,25.0,15.0,8.0,2.0,1.0,198.0,4.0,6.0,2.0,18.0,4.0,160.0,151.0,37.0,19.0,14.0,,,,15.0,10.0,3.0,20.0,3.0,21.0,37.0,,291.0,0.0,202.0,11.0,,,,,77.0,86.0,14.0,100.0,1.0,13.0,21.0,4.0,146.0,,8.0,141.0,805.0,15.0,4.0,19.0,487.0,16.0,2.0,9.0,2.0,5.0,4.0,23.0,578.0,74.0,,,93464,3.0,218.0,,9.0,,,242.0,4.0,21.0,6.0,62.0,,,3.0,1.0,7.0,13.0,4.0,5.0,,68.0,505.0,7.0,16.0,2.0,9.0,76.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,,59.2,19.0,8.0,1.0,8.0,11.0,59.0,4.0,,599.0,19.0,17.0,17.0,4.0,33.0,3.0,2.0,372.0,10.0,19.0,7.0,145.0,35.0,,9.0,18.0,1.0,16.0,3.0,10.0,8.0,4.0,,,1.0,,,1.0,1.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
21,803367,2016-01-13 20:00:00,"White Hart Lane, London",35850,Home,Tottenham Hotspur,Leicester City,0,1,L,0,0,0,0,1.0,58.0,6.0,42.0,37.0,11.0,9.0,1.0,3.0,173.0,10.0,5.0,2.0,15.0,5.0,106.0,187.0,56.0,21.0,18.0,2.0,,,42.0,5.0,3.0,28.0,12.0,13.0,15.0,1.0,226.0,0.0,170.0,13.0,1.0,,1.0,1.0,87.0,78.0,11.0,72.0,1.0,30.0,16.0,14.0,178.0,1.0,7.0,103.0,707.0,12.0,5.0,15.0,344.0,25.0,12.0,15.0,1.0,5.0,4.0,34.0,429.0,75.0,,1.0,97485,7.0,142.0,1.0,15.0,,,164.0,10.0,16.0,6.0,63.0,,,2.0,2.0,3.0,10.0,3.0,2.0,2.0,81.0,358.0,10.0,5.0,3.0,35.0,97.0,2.0,0.0,8.0,,1.0,3.0,0.0,6.0,,61.7,26.0,8.0,3.0,3.0,11.0,57.0,16.0,1.0,454.0,15.0,19.0,6.0,5.0,48.0,4.0,2.0,332.0,9.0,12.0,28.0,118.0,18.0,,11.0,14.0,1.0,16.0,3.0,14.0,9.0,16.0,,,1.0,,,,1.0,5.0,,2.0,1.0,1.0,,1.0,,3.0,,,,,,,2.0,,,2.0,,,,,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
22,803378,2016-01-16 12:45:00,"White Hart Lane, London",35854,Home,Tottenham Hotspur,Sunderland,4,1,W,1,1,0,0,2.0,61.0,2.0,23.0,19.0,12.0,11.0,1.0,4.0,200.0,8.0,9.0,4.0,18.0,11.0,159.0,161.0,53.0,26.0,9.0,3.0,3.0,2.0,26.0,15.0,4.0,13.0,8.0,23.0,37.0,1.0,341.0,0.0,219.0,8.0,,1.0,1.0,,72.0,99.0,9.0,81.0,2.0,18.0,16.0,9.0,155.0,1.0,2.0,181.0,811.0,13.0,8.0,11.0,498.0,24.0,3.0,11.0,0.0,1.0,9.0,24.0,596.0,78.0,1.0,,97485,8.0,188.0,1.0,8.0,,3.0,207.0,5.0,16.0,4.0,41.0,,,1.0,1.0,3.0,9.0,3.0,4.0,1.0,48.0,521.0,12.0,6.0,4.0,16.0,82.0,2.0,0.0,3.0,,1.0,2.0,0.0,4.0,,66.6,17.0,2.0,1.0,3.0,6.0,51.0,11.0,,621.0,11.0,12.0,12.0,9.0,44.0,4.0,6.0,440.0,10.0,21.0,17.0,166.0,30.0,,10.0,18.0,1.0,16.0,3.0,16.0,5.0,11.0,1.0,1.0,1.0,,,4.0,,4.0,1.0,2.0,1.0,,3.0,,1.0,3.0,1.0,,2.0,2.0,1.0,,1.0,3.0,,3.0,,,,1.0,,3.0,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,803391,2016-01-23 15:00:00,"Selhurst Park, London",24867,Away,Tottenham Hotspur,Crystal Palace,3,1,W,0,1,0,0,2.0,69.0,1.0,30.0,44.0,15.0,6.0,3.0,5.0,172.0,6.0,15.0,3.0,21.0,11.0,153.0,159.0,61.0,24.0,15.0,5.0,1.0,2.0,23.0,14.0,3.0,40.0,6.0,20.0,30.0,,288.0,0.0,191.0,12.0,1.0,1.0,1.0,2.0,75.0,93.0,16.0,78.0,1.0,17.0,23.0,9.0,155.0,3.0,8.0,130.0,779.0,16.0,9.0,7.0,418.0,27.0,8.0,22.0,2.0,5.0,5.0,29.0,511.0,83.0,,1.0,97485,4.0,154.0,2.0,7.0,,,178.0,5.0,23.0,5.0,56.0,1.0,1.0,1.0,2.0,4.0,12.0,4.0,3.0,1.0,61.0,436.0,11.0,7.0,2.0,26.0,65.0,2.0,0.0,3.0,2.0,1.0,4.0,0.0,4.0,1.0,63.9,26.0,6.0,1.0,5.0,7.0,42.0,10.0,2.0,533.0,7.0,18.0,14.0,6.0,34.0,2.0,1.0,378.0,15.0,20.0,19.0,139.0,27.0,1.0,21.0,17.0,1.0,19.0,3.0,19.0,11.0,10.0,1.0,1.0,1.0,1.0,,3.0,2.0,6.0,2.0,4.0,1.0,3.0,1.0,2.0,,5.0,3.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,
24,803400,2016-02-02 19:45:00,"Carrow Road, Norwich",27067,Away,Tottenham Hotspur,Norwich City,3,0,W,2,0,0,0,1.0,53.0,,29.0,28.0,5.0,8.0,2.0,2.0,151.0,4.0,3.0,2.0,12.0,6.0,92.0,161.0,48.0,17.0,20.0,1.0,2.0,1.0,17.0,17.0,2.0,26.0,8.0,12.0,36.0,1.0,142.0,0.0,101.0,9.0,,,1.0,2.0,57.0,75.0,5.0,70.0,1.0,9.0,18.0,3.0,159.0,2.0,7.0,113.0,629.0,9.0,9.0,15.0,314.0,14.0,4.0,19.0,2.0,3.0,7.0,23.0,404.0,51.0,,,97485,5.0,181.0,2.0,5.0,,,207.0,5.0,18.0,8.0,48.0,,,,,5.0,13.0,4.0,1.0,,80.0,319.0,8.0,2.0,2.0,35.0,87.0,,0.0,6.0,3.0,,4.0,0.0,2.0,1.0,54.2,17.0,3.0,3.0,5.0,2.0,37.0,8.0,2.0,426.0,15.0,14.0,19.0,9.0,29.0,2.0,5.0,236.0,7.0,10.0,13.0,62.0,29.0,,19.0,24.0,,9.0,3.0,6.0,12.0,8.0,3.0,1.0,,,,3.0,,2.0,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,,3.0,3.0,,2.0,,,,1.0,,3.0,,,2.0,6.0,6.0,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,3.0,,,3.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,3.0,,,
25,803409,2016-02-06 15:00:00,"White Hart Lane, London",35997,Home,Tottenham Hotspur,Watford,1,0,W,0,0,0,0,4.0,60.0,3.0,39.0,17.0,6.0,9.0,,3.0,184.0,10.0,17.0,4.0,21.0,8.0,144.0,182.0,51.0,25.0,14.0,7.0,6.0,2.0,39.0,13.0,,14.0,11.0,12.0,47.0,,247.0,0.0,199.0,12.0,,,2.0,1.0,66.0,104.0,14.0,91.0,1.0,28.0,20.0,8.0,179.0,2.0,1.0,136.0,795.0,17.0,7.0,21.0,440.0,16.0,8.0,13.0,0.0,1.0,7.0,22.0,533.0,82.0,1.0,1.0,97485,9.0,217.0,1.0,18.0,,2.0,231.0,6.0,20.0,4.0,56.0,,,3.0,2.0,2.0,20.0,2.0,2.0,1.0,80.0,454.0,9.0,8.0,3.0,32.0,87.0,3.0,0.0,1.0,,,3.0,0.0,7.0,,65.9,22.0,4.0,1.0,2.0,8.0,46.0,15.0,1.0,555.0,21.0,15.0,29.0,9.0,54.0,3.0,8.0,363.0,12.0,12.0,11.0,141.0,32.0,,11.0,14.0,,17.0,3.0,25.0,11.0,15.0,1.0,1.0,,,,1.0,1.0,5.0,1.0,3.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,2.0,,,,,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,803418,2016-02-14 16:15:00,"Etihad Stadium, Manchester",54551,Away,Tottenham Hotspur,Manchester City,2,1,W,0,0,0,0,,70.0,1.0,34.0,34.0,3.0,1.0,3.0,1.0,166.0,1.0,14.0,2.0,3.0,3.0,151.0,167.0,69.0,6.0,18.0,,,1.0,13.0,27.0,1.0,25.0,1.0,22.0,38.0,1.0,228.0,0.0,137.0,17.0,,,1.0,,75.0,60.0,2.0,85.0,1.0,12.0,19.0,6.0,158.0,1.0,14.0,162.0,788.0,2.0,6.0,16.0,448.0,35.0,4.0,13.0,3.0,8.0,1.0,17.0,539.0,63.0,,,97485,2.0,236.0,,5.0,,,259.0,6.0,19.0,9.0,69.0,,,1.0,1.0,3.0,12.0,5.0,4.0,1.0,70.0,463.0,11.0,12.0,,29.0,76.0,1.0,0.0,7.0,1.0,1.0,2.0,0.0,1.0,1.0,54.0,13.0,3.0,1.0,3.0,1.0,41.0,1.0,,564.0,16.0,19.0,23.0,2.0,18.0,,,318.0,5.0,20.0,11.0,93.0,28.0,,10.0,33.0,1.0,5.0,3.0,21.0,11.0,1.0,2.0,,2.0,,,2.0,,,1.0,,,1.0,1.0,,1.0,2.0,1.0,,2.0,1.0,3.0,,2.0,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,,5.0,5.0,3.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
