gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,attFreekickTotal,attBxRight,attSvHighRight,cleanSheet,freekickCross,freekickTotal,attCmissHigh,attMissHigh,attCmissLeft,attHdMiss,attSvHighCentre,attFreekickMiss,attIboxMiss,savedObox,bigChanceCreated,attMissHighLeft,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,attAssistSetplay,attLgCentre,errorLeadToShot,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attSvLowLeft,goalAssistIntentional,forwardGoals,attGoalLowCentre,attOneOnOne,postScoringAtt,attFreekickPost,hitWoodwork,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,penaltySave,attLfGoal,attIboxPost,accurateThroughBall,attOboxGoal,attHdPost,touchesInOppBox,penaltyWon,attCmissHighLeft,attPenGoal,attPostRight,attGoalHighCentre,ownGoals,attIboxOwnGoal,attHdGoal,attGoalHighRight,attPostLeft,defenderGoals,attObxdLeft,clearanceOffLine,attObxRight,goalAssistDeadball,attPenTarget,secondYellow,attCmissHighRight,attSvHighLeft,attemptsIbox,attemptsObox,ptsDroppedWinningPos,attFreekickGoal
11,803271,2015-10-31 15:00:00,"Vicarage Road, Watford",20598,Home,Watford,West Ham United,2,0,W,1,0,0,1,,1.0,62.0,,7.0,38.0,25.0,5.0,6.0,3.0,159.0,8.0,9.0,2.0,4.0,13.0,,1.0,5.0,105.0,149.0,49.0,20.0,2.0,24.0,3.0,,1.0,,2.0,,22.0,13.0,,19.0,7.0,11.0,38.0,187.0,2.0,0.0,159.0,16.0,1.0,,,2.0,61.0,51.0,8.0,59.0,,1.0,16.0,18.0,4.0,3.0,143.0,,5.0,77.0,594.0,10.0,11.0,1.0,8.0,288.0,19.0,7.0,11.0,,2.0,3.0,,5.0,22.0,378.0,80.0,98780,7.0,124.0,9.0,134.0,7.0,1.0,1.0,18.0,6.0,58.0,,3.0,7.0,2.0,9.0,3.0,4.0,74.0,303.0,11.0,6.0,30.0,74.0,,1.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,,6.0,0.0,5.0,1.0,2.0,,50.6,18.0,4.0,3.0,7.0,9.0,42.0,7.0,2.0,400.0,8.0,9.0,23.0,6.0,28.0,4.0,288.0,11.0,10.0,12.0,96.0,29.0,2.0,9.0,17.0,,13.0,3.0,15.0,,2.0,8.0,7.0,2.0,1.0,,2.0,,1.0,3.0,,1.0,2.0,,1.0,,,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,803280,2015-11-07 15:00:00,"King Power Stadium, Leicester",32029,Away,Watford,Leicester City,1,2,L,0,0,0,0,,,73.0,,,39.0,26.0,5.0,,4.0,232.0,1.0,6.0,1.0,1.0,5.0,,,4.0,146.0,192.0,42.0,8.0,,11.0,1.0,,,,1.0,2.0,12.0,7.0,2.0,25.0,2.0,6.0,50.0,199.0,,0.0,167.0,10.0,4.0,,,3.0,86.0,74.0,1.0,69.0,1.0,,10.0,29.0,5.0,3.0,191.0,,7.0,109.0,740.0,5.0,14.0,,16.0,392.0,29.0,11.0,15.0,,,1.0,2.0,4.0,30.0,527.0,99.0,98780,3.0,212.0,5.0,249.0,6.0,1.0,,29.0,8.0,45.0,,1.0,5.0,,9.0,5.0,6.0,96.0,410.0,11.0,10.0,44.0,111.0,,,,,0.0,3.0,4.0,1.0,1.0,2.0,6.0,0.0,,,,,58.7,24.0,4.0,,5.0,,52.0,2.0,3.0,556.0,16.0,8.0,21.0,4.0,23.0,1.0,319.0,8.0,5.0,13.0,93.0,30.0,3.0,15.0,13.0,2.0,6.0,2.0,13.0,1.0,3.0,10.0,2.0,1.0,3.0,,,,,,,,,,,1.0,,,3.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13,803287,2015-11-21 12:45:00,"Vicarage Road, Watford",20702,Home,Watford,Manchester United,1,2,L,0,1,0,0,,,78.0,,2.0,24.0,32.0,2.0,1.0,5.0,172.0,3.0,8.0,1.0,1.0,7.0,,,5.0,68.0,199.0,60.0,10.0,1.0,13.0,4.0,1.0,,,1.0,,15.0,16.0,,24.0,4.0,13.0,43.0,127.0,1.0,0.0,119.0,6.0,4.0,1.0,,2.0,57.0,56.0,6.0,70.0,1.0,,11.0,25.0,5.0,1.0,191.0,,9.0,75.0,623.0,7.0,17.0,,24.0,226.0,31.0,9.0,17.0,,,1.0,2.0,1.0,33.0,355.0,61.0,98780,5.0,122.0,6.0,151.0,4.0,1.0,,25.0,9.0,41.0,1.0,1.0,4.0,,12.0,5.0,5.0,76.0,246.0,12.0,4.0,46.0,86.0,1.0,,1.0,,0.0,2.0,10.0,3.0,1.0,2.0,7.0,0.0,2.0,2.0,,1.0,43.6,27.0,5.0,1.0,4.0,3.0,23.0,4.0,2.0,385.0,24.0,14.0,19.0,2.0,22.0,1.0,249.0,9.0,9.0,12.0,60.0,35.0,1.0,14.0,28.0,2.0,8.0,2.0,12.0,,1.0,13.0,4.0,,4.0,,1.0,,,,,,1.0,,,1.0,,1.0,2.0,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14,803300,2015-11-28 15:00:00,"Villa Park, Birmingham",35057,Away,Watford,Aston Villa,3,2,W,1,1,0,0,1.0,,53.0,1.0,2.0,17.0,35.0,6.0,2.0,4.0,134.0,5.0,5.0,3.0,1.0,8.0,,,6.0,53.0,164.0,42.0,14.0,4.0,21.0,3.0,,1.0,,1.0,,21.0,17.0,1.0,27.0,8.0,13.0,19.0,102.0,1.0,0.0,120.0,13.0,2.0,,,1.0,34.0,42.0,6.0,36.0,5.0,,13.0,16.0,5.0,1.0,156.0,1.0,6.0,40.0,464.0,7.0,9.0,,21.0,150.0,24.0,11.0,6.0,,1.0,3.0,2.0,2.0,23.0,240.0,58.0,98780,5.0,60.0,7.0,78.0,8.0,1.0,,16.0,7.0,59.0,3.0,,3.0,2.0,12.0,6.0,,67.0,157.0,6.0,16.0,44.0,73.0,,,2.0,5.0,0.0,2.0,10.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,,34.9,12.0,3.0,2.0,3.0,6.0,22.0,10.0,4.0,263.0,21.0,5.0,10.0,2.0,30.0,4.0,206.0,11.0,13.0,10.0,66.0,18.0,4.0,6.0,21.0,1.0,12.0,3.0,9.0,,4.0,8.0,10.0,,4.0,,1.0,1.0,,1.0,,,,,,,,1.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
15,803308,2015-12-05 15:00:00,"Vicarage Road, Watford",20422,Home,Watford,Norwich City,2,0,W,1,0,0,0,,2.0,52.0,,1.0,25.0,37.0,4.0,5.0,1.0,172.0,3.0,11.0,2.0,1.0,10.0,,,7.0,89.0,182.0,46.0,14.0,2.0,19.0,5.0,,,1.0,3.0,1.0,13.0,8.0,,31.0,4.0,4.0,39.0,154.0,,0.0,140.0,11.0,1.0,,,3.0,59.0,67.0,8.0,49.0,,1.0,9.0,15.0,2.0,3.0,176.0,1.0,4.0,75.0,594.0,7.0,11.0,,15.0,248.0,24.0,7.0,15.0,1.0,,3.0,2.0,2.0,38.0,363.0,72.0,98780,5.0,107.0,7.0,138.0,4.0,2.0,,15.0,7.0,45.0,1.0,4.0,2.0,1.0,13.0,3.0,1.0,82.0,258.0,9.0,8.0,44.0,87.0,,,2.0,3.0,0.0,4.0,1.0,,2.0,,2.0,0.0,2.0,1.0,,,50.4,30.0,3.0,2.0,3.0,3.0,30.0,4.0,3.0,385.0,15.0,2.0,21.0,4.0,30.0,1.0,260.0,8.0,3.0,15.0,82.0,15.0,4.0,13.0,11.0,,11.0,3.0,18.0,,4.0,6.0,4.0,1.0,3.0,,,,1.0,,,,1.0,,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,2.0,1.0,,2.0,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,
16,803320,2015-12-12 15:00:00,"Stadium of Light, Sunderland",43989,Away,Watford,Sunderland,1,0,W,1,0,0,0,,3.0,75.0,,2.0,39.0,28.0,4.0,3.0,3.0,192.0,2.0,11.0,1.0,,11.0,,,8.0,104.0,181.0,61.0,13.0,1.0,12.0,5.0,2.0,,1.0,4.0,,10.0,16.0,2.0,23.0,2.0,25.0,22.0,217.0,,0.0,130.0,9.0,3.0,2.0,,,93.0,46.0,10.0,78.0,4.0,,8.0,21.0,4.0,1.0,176.0,,8.0,91.0,660.0,10.0,28.0,,18.0,322.0,33.0,20.0,13.0,1.0,,0.0,1.0,1.0,20.0,431.0,77.0,98780,4.0,125.0,4.0,159.0,3.0,1.0,,21.0,21.0,40.0,,2.0,5.0,1.0,23.0,6.0,8.0,97.0,340.0,6.0,11.0,58.0,105.0,2.0,,2.0,3.0,0.0,5.0,8.0,1.0,1.0,,13.0,0.0,2.0,,,,51.4,16.0,6.0,1.0,6.0,3.0,52.0,3.0,,465.0,18.0,5.0,12.0,2.0,21.0,,316.0,10.0,23.0,26.0,81.0,26.0,3.0,12.0,19.0,,13.0,2.0,14.0,,3.0,9.0,3.0,,4.0,,,,1.0,,,,1.0,,,,,,1.0,4.0,,,4.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
17,803326,2015-12-20 13:30:00,"Vicarage Road, Watford",20707,Home,Watford,Liverpool,3,0,W,2,0,0,0,,,61.0,,,27.0,23.0,1.0,1.0,4.0,157.0,3.0,6.0,3.0,1.0,4.0,,,5.0,42.0,196.0,56.0,6.0,1.0,14.0,2.0,,1.0,1.0,1.0,,17.0,22.0,,16.0,7.0,8.0,25.0,93.0,,0.0,130.0,6.0,3.0,,,4.0,47.0,34.0,4.0,30.0,1.0,,10.0,20.0,,,189.0,,7.0,39.0,474.0,3.0,16.0,,18.0,131.0,20.0,14.0,9.0,1.0,1.0,1.0,4.0,,30.0,234.0,82.0,67527,2.0,54.0,9.0,72.0,2.0,1.0,,20.0,10.0,47.0,2.0,1.0,1.0,2.0,14.0,5.0,5.0,86.0,144.0,9.0,8.0,56.0,90.0,,,1.0,,0.0,2.0,9.0,2.0,3.0,,3.0,0.0,2.0,,1.0,,35.1,15.0,4.0,,1.0,1.0,27.0,7.0,4.0,268.0,18.0,13.0,14.0,,26.0,1.0,213.0,4.0,4.0,14.0,58.0,29.0,2.0,7.0,28.0,,5.0,3.0,12.0,,2.0,11.0,7.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,2.0,2.0,,,1.0,,,,,2.0,2.0,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
18,803339,2015-12-26 15:00:00,"Stamford Bridge, London",41630,Away,Watford,Chelsea,2,2,D,1,1,0,0,,,55.0,1.0,3.0,25.0,22.0,5.0,1.0,,143.0,2.0,7.0,2.0,2.0,6.0,1.0,1.0,2.0,65.0,142.0,54.0,12.0,2.0,17.0,,,3.0,,1.0,3.0,14.0,24.0,1.0,18.0,4.0,19.0,15.0,123.0,1.0,0.0,77.0,15.0,,,,,48.0,33.0,1.0,47.0,3.0,1.0,10.0,12.0,3.0,2.0,138.0,2.0,10.0,72.0,517.0,5.0,14.0,,15.0,225.0,23.0,8.0,9.0,,3.0,4.0,6.0,5.0,16.0,296.0,41.0,88935,5.0,122.0,7.0,142.0,11.0,1.0,1.0,12.0,14.0,57.0,,1.0,4.0,,11.0,7.0,7.0,63.0,243.0,6.0,6.0,33.0,79.0,,,,1.0,0.0,3.0,9.0,,2.0,2.0,6.0,0.0,1.0,1.0,1.0,,37.6,10.0,4.0,2.0,4.0,5.0,37.0,4.0,,327.0,15.0,13.0,10.0,5.0,18.0,1.0,199.0,10.0,19.0,13.0,48.0,17.0,6.0,6.0,29.0,2.0,8.0,3.0,15.0,,6.0,8.0,4.0,2.0,1.0,1.0,,,,,1.0,,,,1.0,,,3.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
19,803351,2015-12-28 15:00:00,"Vicarage Road, Watford",20730,Home,Watford,Tottenham Hotspur,1,2,L,1,1,1,0,1.0,,59.0,,3.0,33.0,22.0,4.0,2.0,1.0,140.0,3.0,5.0,1.0,1.0,6.0,,1.0,1.0,66.0,182.0,53.0,9.0,1.0,16.0,,,1.0,1.0,,1.0,15.0,12.0,,15.0,5.0,13.0,30.0,104.0,1.0,0.0,118.0,11.0,,,,,62.0,40.0,3.0,41.0,4.0,2.0,10.0,20.0,2.0,3.0,175.0,1.0,5.0,65.0,521.0,4.0,23.0,,40.0,177.0,25.0,18.0,6.0,1.0,1.0,4.0,,3.0,25.0,281.0,60.0,67527,3.0,87.0,8.0,112.0,4.0,1.0,,20.0,12.0,48.0,,2.0,4.0,1.0,13.0,5.0,4.0,95.0,188.0,13.0,10.0,63.0,72.0,,,,3.0,0.0,7.0,3.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,,,37.5,20.0,4.0,1.0,4.0,4.0,27.0,5.0,,312.0,40.0,7.0,16.0,4.0,38.0,1.0,215.0,7.0,10.0,21.0,51.0,24.0,4.0,6.0,15.0,1.0,5.0,3.0,10.0,1.0,4.0,14.0,5.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,803356,2016-01-02 17:30:00,"Vicarage Road, Watford",20676,Home,Watford,Manchester City,1,2,L,0,0,0,0,,,63.0,1.0,1.0,40.0,19.0,5.0,2.0,3.0,180.0,,17.0,1.0,3.0,6.0,,,4.0,94.0,191.0,61.0,12.0,1.0,13.0,3.0,,,,3.0,2.0,17.0,12.0,,15.0,3.0,22.0,44.0,187.0,,0.0,144.0,6.0,3.0,,1.0,,74.0,63.0,4.0,56.0,3.0,1.0,14.0,19.0,7.0,4.0,187.0,,8.0,80.0,649.0,5.0,19.0,1.0,26.0,283.0,25.0,20.0,9.0,,,1.0,3.0,2.0,37.0,385.0,75.0,88935,3.0,109.0,5.0,127.0,2.0,1.0,,19.0,12.0,56.0,,,2.0,,22.0,8.0,5.0,84.0,296.0,9.0,10.0,51.0,96.0,,,,1.0,0.0,3.0,5.0,1.0,,2.0,4.0,0.0,,1.0,1.0,,48.5,34.0,4.0,1.0,2.0,2.0,46.0,4.0,,410.0,26.0,16.0,26.0,6.0,22.0,,300.0,9.0,21.0,18.0,89.0,31.0,2.0,7.0,18.0,2.0,8.0,1.0,29.0,,2.0,11.0,4.0,,2.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,,,1.0,2.0,2.0,1.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
21,803370,2016-01-13 19:45:00,"St. Mary's Stadium, Southampton",28399,Away,Watford,Southampton,0,2,L,0,1,0,0,,,68.0,,1.0,31.0,29.0,3.0,1.0,4.0,189.0,,6.0,,1.0,3.0,,,1.0,97.0,184.0,40.0,4.0,2.0,20.0,,,,,,,15.0,5.0,1.0,25.0,1.0,34.0,28.0,124.0,,0.0,87.0,11.0,2.0,,,1.0,54.0,34.0,3.0,87.0,7.0,,14.0,21.0,10.0,,180.0,,10.0,92.0,654.0,3.0,16.0,,26.0,326.0,32.0,12.0,5.0,,,2.0,2.0,,20.0,435.0,63.0,98780,,218.0,2.0,264.0,4.0,,,21.0,12.0,57.0,,3.0,5.0,,7.0,5.0,5.0,78.0,342.0,9.0,6.0,43.0,87.0,,,1.0,8.0,0.0,3.0,9.0,3.0,,2.0,3.0,0.0,,1.0,,,49.4,13.0,1.0,1.0,5.0,3.0,40.0,1.0,1.0,465.0,26.0,14.0,11.0,,20.0,,216.0,3.0,30.0,15.0,41.0,27.0,4.0,4.0,11.0,2.0,4.0,3.0,14.0,,4.0,10.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
22,803379,2016-01-18 20:00:00,"Swansea.com Stadium, Swansea",20430,Away,Watford,Swansea City,0,1,L,0,1,0,0,,,58.0,,,44.0,29.0,10.0,2.0,1.0,165.0,4.0,5.0,,4.0,7.0,,1.0,2.0,78.0,172.0,66.0,12.0,3.0,13.0,,,,,1.0,,23.0,23.0,2.0,25.0,3.0,19.0,31.0,158.0,2.0,0.0,124.0,11.0,1.0,,,,60.0,43.0,3.0,57.0,2.0,2.0,20.0,23.0,7.0,5.0,168.0,2.0,4.0,78.0,607.0,6.0,21.0,,21.0,256.0,22.0,18.0,13.0,,,2.0,4.0,4.0,31.0,359.0,59.0,98780,1.0,117.0,9.0,148.0,5.0,,,23.0,8.0,53.0,,,3.0,,15.0,6.0,7.0,88.0,271.0,6.0,14.0,52.0,77.0,,,,1.0,0.0,3.0,6.0,,,1.0,7.0,0.0,2.0,2.0,1.0,,43.3,24.0,4.0,1.0,3.0,3.0,38.0,3.0,,378.0,21.0,11.0,16.0,7.0,29.0,2.0,253.0,9.0,17.0,23.0,74.0,28.0,5.0,11.0,32.0,1.0,7.0,2.0,11.0,,5.0,12.0,3.0,1.0,2.0,1.0,,,,4.0,1.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,803387,2016-01-23 15:00:00,"Vicarage Road, Watford",20611,Home,Watford,Newcastle United,2,1,W,0,0,0,0,,1.0,63.0,,1.0,32.0,17.0,3.0,4.0,1.0,205.0,4.0,12.0,2.0,1.0,10.0,,1.0,5.0,99.0,179.0,83.0,13.0,,17.0,3.0,,,1.0,,1.0,16.0,22.0,,12.0,2.0,27.0,32.0,181.0,3.0,0.0,140.0,10.0,1.0,,,3.0,62.0,57.0,5.0,81.0,2.0,2.0,14.0,16.0,5.0,3.0,174.0,1.0,10.0,88.0,695.0,7.0,17.0,,32.0,338.0,24.0,16.0,8.0,2.0,,2.0,1.0,5.0,26.0,441.0,71.0,98780,5.0,179.0,8.0,197.0,4.0,1.0,,16.0,15.0,52.0,1.0,1.0,,1.0,16.0,1.0,4.0,88.0,356.0,12.0,9.0,53.0,97.0,,,1.0,2.0,0.0,5.0,7.0,,2.0,1.0,10.0,0.0,3.0,,2.0,,51.3,21.0,8.0,,,1.0,39.0,2.0,3.0,473.0,32.0,10.0,17.0,7.0,32.0,1.0,292.0,7.0,23.0,28.0,84.0,26.0,2.0,6.0,31.0,1.0,11.0,3.0,20.0,,2.0,7.0,2.0,1.0,2.0,,1.0,,,1.0,,,,,2.0,1.0,,4.0,1.0,3.0,1.0,,3.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
24,803394,2016-02-03 19:45:00,"Vicarage Road, Watford",20910,Home,Watford,Chelsea,0,0,D,0,0,0,0,,,77.0,,4.0,18.0,21.0,5.0,4.0,4.0,183.0,3.0,12.0,,4.0,10.0,,,3.0,87.0,160.0,62.0,12.0,3.0,11.0,2.0,,1.0,,1.0,2.0,19.0,17.0,1.0,21.0,6.0,38.0,22.0,167.0,,0.0,130.0,10.0,3.0,,,4.0,59.0,50.0,9.0,81.0,3.0,,13.0,17.0,1.0,1.0,160.0,,9.0,98.0,673.0,7.0,11.0,1.0,28.0,335.0,31.0,12.0,8.0,,1.0,2.0,5.0,1.0,27.0,425.0,67.0,98780,3.0,184.0,10.0,211.0,5.0,,2.0,17.0,5.0,54.0,,,5.0,,9.0,3.0,1.0,66.0,348.0,13.0,12.0,49.0,83.0,,,,2.0,0.0,4.0,7.0,2.0,,,3.0,0.0,1.0,5.0,1.0,,45.0,21.0,4.0,2.0,7.0,7.0,46.0,7.0,4.0,449.0,28.0,13.0,11.0,2.0,23.0,2.0,257.0,6.0,34.0,19.0,82.0,29.0,1.0,8.0,20.0,,8.0,3.0,21.0,,1.0,8.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,,1.0,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,803409,2016-02-06 15:00:00,"White Hart Lane, London",35997,Away,Watford,Tottenham Hotspur,0,1,L,0,0,0,0,,,49.0,,,26.0,35.0,1.0,1.0,8.0,139.0,3.0,8.0,,1.0,2.0,,,,55.0,164.0,56.0,3.0,1.0,11.0,,1.0,2.0,,,,9.0,15.0,,32.0,1.0,19.0,15.0,103.0,1.0,0.0,86.0,9.0,5.0,1.0,,3.0,43.0,47.0,1.0,43.0,7.0,,8.0,17.0,2.0,1.0,161.0,,19.0,60.0,535.0,2.0,19.0,,27.0,180.0,30.0,11.0,14.0,,2.0,1.0,8.0,1.0,32.0,267.0,58.0,67527,1.0,91.0,3.0,116.0,8.0,,,17.0,11.0,51.0,,3.0,2.0,,21.0,6.0,4.0,78.0,191.0,11.0,17.0,48.0,82.0,1.0,,,5.0,0.0,2.0,15.0,7.0,,1.0,5.0,0.0,3.0,1.0,,,34.1,23.0,1.0,,2.0,1.0,33.0,1.0,4.0,297.0,27.0,10.0,7.0,2.0,19.0,,190.0,2.0,17.0,14.0,44.0,10.0,8.0,11.0,23.0,1.0,3.0,3.0,12.0,,8.0,10.0,1.0,,,,,,,3.0,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
26,803419,2016-02-13 15:00:00,"Selhurst Park, London",24564,Away,Watford,Crystal Palace,2,1,W,1,1,0,1,,2.0,57.0,,,22.0,34.0,5.0,3.0,4.0,170.0,1.0,7.0,2.0,3.0,7.0,,,4.0,66.0,176.0,70.0,10.0,4.0,31.0,2.0,,,,,,14.0,22.0,,26.0,3.0,17.0,30.0,141.0,1.0,0.0,136.0,14.0,3.0,,,3.0,32.0,63.0,5.0,45.0,1.0,,11.0,13.0,4.0,1.0,168.0,,5.0,63.0,576.0,7.0,13.0,,22.0,209.0,18.0,9.0,19.0,,,1.0,2.0,2.0,26.0,307.0,70.0,98780,3.0,87.0,7.0,115.0,3.0,2.0,,13.0,12.0,72.0,2.0,,3.0,1.0,12.0,10.0,6.0,77.0,227.0,16.0,13.0,47.0,80.0,,,1.0,2.0,0.0,,8.0,1.0,2.0,1.0,3.0,0.0,,,,,46.1,19.0,4.0,1.0,4.0,4.0,32.0,3.0,4.0,344.0,22.0,14.0,13.0,2.0,30.0,1.0,243.0,7.0,15.0,17.0,79.0,26.0,5.0,15.0,30.0,1.0,8.0,2.0,11.0,,5.0,9.0,3.0,3.0,,,,,,,,,1.0,,,,,1.0,3.0,1.0,,,1.0,,1.0,,,,2.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
27,803424,2016-02-27 15:00:00,"Vicarage Road, Watford",20831,Home,Watford,Bournemouth,0,0,D,0,0,0,0,,,64.0,,1.0,28.0,26.0,8.0,2.0,3.0,164.0,8.0,9.0,,4.0,8.0,,2.0,1.0,67.0,169.0,52.0,14.0,3.0,22.0,1.0,,,,,3.0,20.0,10.0,,21.0,4.0,18.0,34.0,116.0,3.0,0.0,124.0,14.0,2.0,,,3.0,41.0,30.0,3.0,37.0,3.0,2.0,16.0,22.0,5.0,5.0,164.0,,6.0,45.0,521.0,5.0,19.0,,16.0,194.0,36.0,14.0,11.0,,,3.0,4.0,5.0,21.0,278.0,70.0,98780,3.0,99.0,9.0,128.0,9.0,,,22.0,13.0,67.0,,3.0,2.0,,13.0,5.0,4.0,88.0,207.0,16.0,13.0,53.0,72.0,,,,,0.0,1.0,5.0,2.0,,,10.0,0.0,6.0,2.0,1.0,1.0,46.9,13.0,3.0,2.0,2.0,4.0,29.0,4.0,3.0,313.0,16.0,16.0,17.0,9.0,34.0,2.0,205.0,11.0,18.0,14.0,67.0,19.0,2.0,11.0,14.0,,9.0,2.0,13.0,,2.0,9.0,4.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,,1.0,2.0,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
