gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,goalAssistOpenplay,attMissHighRight,crosses18yardplus,attOboxMiss,contentiousDecision,attHdTarget,hitWoodwork,attMissHigh,attGoalHighLeft,goalsConceded,attHdMiss,accurateCornersIntobox,goalsConcededIbox,attGoalLowRight,attGoalHighRight,penaltyWon,errorLeadToShot,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,errorLeadToGoal,attLfGoal,attSvLowRight,handBall,attFreekickTotal,shotFastbreak,postScoringAtt,goalFastbreak,attIboxPost,totalFastbreak,freekickTotal,attObxdRight,attMissHighLeft,bigChanceMissed,totalPullBack,attFastbreak,attPostHigh,attFreekickMiss,goalsConcededObox,attOneOnOne,foulThrowIn,attLgCentre,attCmissHighRight,attSvHighLeft,sixYardBlock,attCmissHigh,defenderGoals,attCmissHighLeft,attFreekickTarget,accuratePullBack,attHdPost,attPostRight,clearanceOffLine,attObxdLeft,ownGoals,attFreekickGoal,attSvHighCentre,attIboxOwnGoal,attPostLeft,attSvHighRight,attOboxPost,attGoalHighCentre,attObxLeft,penaltySave
14,803301,2015-11-29 14:05:00,"Boleyn Ground, London",34914,Home,West Ham United,West Bromwich Albion,1,1,D,1,0,0,0,1.0,,58.0,,1.0,,,33.0,24.0,5.0,5.0,3.0,4.0,166.0,,5.0,13.0,1.0,6.0,10.0,2.0,6.0,97.0,149.0,67.0,17.0,,16.0,2.0,4.0,,1.0,1.0,20.0,17.0,3.0,23.0,5.0,15.0,30.0,186.0,,1.0,0.0,123.0,15.0,1.0,1.0,1.0,3.0,1.0,68.0,66.0,4.0,59.0,,3.0,15.0,15.0,148.0,1.0,6.0,113.0,637.0,9.0,13.0,7.0,326.0,19.0,11.0,18.0,,,0.0,,6.0,22.0,413.0,54.0,,,86934,4.0,161.0,7.0,1.0,185.0,8.0,1.0,15.0,8.0,56.0,,,10.0,,13.0,2.0,7.0,59.0,342.0,16.0,4.0,1.0,28.0,89.0,1.0,,0.0,1.0,2.0,2.0,,5.0,0.0,3.0,,1.0,2.0,60.9,19.0,5.0,3.0,10.0,3.0,57.0,5.0,1.0,435.0,7.0,11.0,14.0,8.0,27.0,7.0,270.0,10.0,14.0,19.0,89.0,23.0,,2.0,18.0,20.0,,11.0,3.0,25.0,2.0,5.0,5.0,3.0,,3.0,5.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,1.0,,3.0,1.0,,,,1.0,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,1.0,,,,,,
15,803311,2015-12-05 15:00:00,"Old Trafford, Manchester",75350,Away,West Ham United,Manchester United,0,0,D,0,0,0,0,,,76.0,,,,,31.0,34.0,4.0,,1.0,2.0,118.0,,5.0,8.0,,3.0,7.0,,2.0,66.0,139.0,67.0,9.0,2.0,12.0,1.0,,,,1.0,13.0,18.0,1.0,30.0,2.0,8.0,23.0,99.0,1.0,,0.0,74.0,13.0,1.0,,1.0,3.0,1.0,57.0,30.0,3.0,47.0,5.0,2.0,11.0,13.0,135.0,3.0,13.0,71.0,518.0,4.0,5.0,25.0,208.0,39.0,9.0,18.0,,,0.0,10.0,4.0,18.0,276.0,50.0,,,8380,5.0,128.0,5.0,,145.0,6.0,,13.0,15.0,54.0,,1.0,4.0,,17.0,8.0,9.0,67.0,222.0,10.0,12.0,3.0,28.0,68.0,,,0.0,2.0,6.0,1.0,,1.0,0.0,3.0,,2.0,3.0,37.4,9.0,5.0,,4.0,2.0,32.0,2.0,1.0,302.0,25.0,8.0,11.0,5.0,21.0,3.0,170.0,6.0,8.0,23.0,38.0,26.0,,4.0,18.0,27.0,,6.0,3.0,18.0,4.0,7.0,2.0,,,,3.0,1.0,,,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
16,803318,2015-12-12 15:00:00,"Boleyn Ground, London",34857,Home,West Ham United,Stoke City,0,0,D,0,0,0,0,1.0,,73.0,,,,,22.0,35.0,10.0,4.0,3.0,5.0,135.0,,11.0,9.0,,3.0,18.0,,10.0,66.0,159.0,55.0,24.0,5.0,22.0,7.0,1.0,,4.0,1.0,34.0,12.0,3.0,28.0,11.0,4.0,22.0,158.0,1.0,,0.0,120.0,7.0,1.0,,2.0,2.0,1.0,66.0,39.0,12.0,53.0,,1.0,23.0,11.0,152.0,,9.0,81.0,571.0,17.0,9.0,16.0,238.0,22.0,5.0,20.0,,,1.0,5.0,6.0,24.0,317.0,56.0,,1.0,8380,10.0,100.0,16.0,3.0,119.0,4.0,,11.0,11.0,56.0,,1.0,5.0,,7.0,3.0,4.0,57.0,247.0,9.0,6.0,1.0,24.0,63.0,,,0.0,6.0,7.0,3.0,,4.0,0.0,9.0,,,7.0,46.7,18.0,11.0,1.0,5.0,8.0,28.0,11.0,1.0,335.0,16.0,13.0,11.0,6.0,46.0,3.0,250.0,12.0,4.0,23.0,75.0,34.0,,4.0,17.0,15.0,,18.0,2.0,17.0,4.0,5.0,11.0,3.0,,1.0,5.0,2.0,,4.0,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,1.0,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,2.0,,,1.0,1.0,,,
17,803331,2015-12-20 16:00:00,"Swansea.com Stadium, Swansea",20661,Away,West Ham United,Swansea City,0,0,D,0,0,0,0,,,59.0,,1.0,,,26.0,41.0,5.0,2.0,2.0,2.0,115.0,,4.0,4.0,,1.0,8.0,1.0,2.0,39.0,141.0,36.0,11.0,,16.0,1.0,,1.0,1.0,3.0,21.0,9.0,1.0,29.0,9.0,7.0,22.0,111.0,1.0,,0.0,85.0,9.0,2.0,,,1.0,,52.0,30.0,2.0,43.0,,3.0,12.0,15.0,129.0,,11.0,42.0,459.0,6.0,11.0,26.0,148.0,24.0,8.0,22.0,,1.0,1.0,11.0,6.0,16.0,219.0,35.0,,,97046,4.0,55.0,9.0,1.0,70.0,3.0,,15.0,9.0,51.0,,2.0,5.0,,9.0,11.0,6.0,57.0,162.0,6.0,9.0,2.0,31.0,55.0,,1.0,0.0,2.0,8.0,1.0,,3.0,0.0,,,1.0,2.0,27.3,12.0,4.0,2.0,5.0,3.0,23.0,9.0,1.0,239.0,26.0,6.0,7.0,6.0,24.0,2.0,190.0,7.0,6.0,13.0,56.0,24.0,,4.0,20.0,13.0,,7.0,3.0,16.0,4.0,11.0,9.0,3.0,,,2.0,4.0,,,,,,,2.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
18,803341,2015-12-26 15:00:00,"Villa Park, Birmingham",38193,Away,West Ham United,Aston Villa,1,1,D,1,0,0,0,,,56.0,,2.0,,,20.0,48.0,4.0,1.0,6.0,3.0,132.0,,2.0,9.0,1.0,5.0,6.0,,4.0,60.0,156.0,62.0,10.0,1.0,25.0,1.0,,,1.0,1.0,16.0,13.0,2.0,36.0,6.0,11.0,31.0,123.0,,1.0,0.0,87.0,13.0,4.0,,1.0,4.0,1.0,58.0,49.0,3.0,43.0,1.0,,10.0,12.0,144.0,,9.0,74.0,527.0,3.0,7.0,9.0,206.0,21.0,6.0,27.0,1.0,,3.0,3.0,3.0,23.0,283.0,43.0,,1.0,97046,4.0,101.0,5.0,1.0,120.0,6.0,,12.0,10.0,64.0,,1.0,6.0,1.0,14.0,6.0,6.0,59.0,222.0,12.0,9.0,2.0,28.0,62.0,,,0.0,1.0,9.0,5.0,,1.0,0.0,1.0,,,3.0,40.9,15.0,5.0,1.0,6.0,2.0,27.0,6.0,2.0,309.0,9.0,10.0,19.0,4.0,24.0,3.0,205.0,6.0,10.0,22.0,50.0,21.0,,6.0,23.0,21.0,,7.0,3.0,17.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,
19,803348,2015-12-28 17:30:00,"Boleyn Ground, London",34977,Home,West Ham United,Southampton,2,1,W,0,1,0,0,,1.0,58.0,,2.0,,,31.0,41.0,4.0,,3.0,1.0,171.0,,5.0,6.0,2.0,1.0,9.0,,5.0,87.0,175.0,62.0,13.0,1.0,19.0,3.0,,,1.0,3.0,18.0,20.0,,36.0,3.0,21.0,33.0,139.0,,,0.0,93.0,6.0,2.0,,1.0,1.0,2.0,52.0,47.0,4.0,52.0,,,15.0,16.0,170.0,2.0,8.0,98.0,640.0,8.0,12.0,18.0,284.0,29.0,12.0,27.0,,,1.0,3.0,5.0,24.0,378.0,54.0,,,97046,7.0,166.0,9.0,1.0,198.0,3.0,,16.0,10.0,55.0,,1.0,4.0,2.0,16.0,7.0,2.0,78.0,300.0,12.0,10.0,1.0,41.0,88.0,2.0,2.0,0.0,5.0,7.0,1.0,2.0,7.0,0.0,4.0,,,5.0,49.1,18.0,2.0,1.0,4.0,1.0,48.0,4.0,2.0,408.0,18.0,9.0,21.0,7.0,23.0,3.0,228.0,8.0,17.0,21.0,49.0,19.0,1.0,5.0,25.0,23.0,2.0,10.0,3.0,18.0,5.0,7.0,4.0,,,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,,
20,803355,2016-01-02 12:45:00,"Boleyn Ground, London",34977,Home,West Ham United,Liverpool,2,0,W,1,0,0,0,3.0,,66.0,,,,,25.0,54.0,3.0,7.0,1.0,2.0,146.0,,7.0,3.0,2.0,,13.0,,10.0,42.0,164.0,59.0,18.0,1.0,13.0,7.0,2.0,,5.0,2.0,12.0,15.0,1.0,41.0,2.0,5.0,21.0,103.0,1.0,,0.0,87.0,11.0,,1.0,1.0,,2.0,62.0,42.0,9.0,41.0,5.0,,10.0,16.0,151.0,1.0,9.0,56.0,527.0,10.0,6.0,27.0,172.0,32.0,9.0,34.0,2.0,,1.0,12.0,4.0,21.0,252.0,47.0,1.0,,86934,7.0,93.0,6.0,,117.0,5.0,,16.0,13.0,50.0,1.0,1.0,2.0,2.0,21.0,14.0,7.0,70.0,189.0,8.0,10.0,1.0,32.0,75.0,,1.0,0.0,1.0,9.0,2.0,2.0,1.0,0.0,7.0,2.0,,6.0,35.6,12.0,4.0,2.0,2.0,3.0,29.0,3.0,2.0,285.0,27.0,6.0,11.0,5.0,21.0,3.0,180.0,5.0,5.0,26.0,52.0,20.0,1.0,5.0,29.0,22.0,2.0,14.0,3.0,15.0,5.0,9.0,3.0,2.0,2.0,1.0,4.0,1.0,,3.0,1.0,,,,1.0,,,1.0,,,,,,,,,,2.0,1.0,,1.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,
21,803365,2016-01-12 19:45:00,"Vitality Stadium, Bournemouth",11071,Away,West Ham United,Bournemouth,3,1,W,0,1,0,0,1.0,1.0,66.0,,3.0,,,26.0,20.0,6.0,1.0,3.0,1.0,175.0,,3.0,18.0,3.0,2.0,6.0,,5.0,99.0,182.0,67.0,10.0,1.0,10.0,1.0,,,,,17.0,15.0,1.0,13.0,6.0,12.0,28.0,163.0,,2.0,0.0,128.0,5.0,3.0,3.0,,,,55.0,72.0,3.0,69.0,1.0,1.0,12.0,27.0,175.0,2.0,2.0,89.0,646.0,3.0,19.0,14.0,312.0,25.0,10.0,6.0,1.0,,1.0,4.0,2.0,35.0,409.0,56.0,1.0,,8380,1.0,161.0,9.0,,186.0,2.0,3.0,27.0,7.0,51.0,5.0,4.0,3.0,1.0,17.0,9.0,1.0,63.0,321.0,8.0,18.0,1.0,30.0,91.0,,1.0,0.0,,4.0,,1.0,6.0,0.0,,1.0,3.0,,51.3,24.0,3.0,1.0,3.0,1.0,47.0,7.0,,432.0,14.0,11.0,19.0,4.0,24.0,1.0,263.0,9.0,12.0,21.0,81.0,29.0,,2.0,6.0,21.0,,6.0,3.0,25.0,2.0,11.0,7.0,,1.0,1.0,3.0,3.0,,,,2.0,2.0,1.0,,4.0,,,,,,,,,,1.0,,1.0,,2.0,,,,,,2.0,,,2.0,1.0,,,,1.0,,,,,1.0,,2.0,,,,1.0,,,,1.0,,2.0,,,,,,1.0,,
22,803381,2016-01-16 15:00:00,"St. James' Park, Newcastle",50031,Away,West Ham United,Newcastle United,1,2,L,0,2,0,0,,1.0,64.0,,3.0,,,36.0,17.0,4.0,3.0,8.0,1.0,170.0,1.0,3.0,9.0,1.0,2.0,8.0,1.0,3.0,97.0,161.0,52.0,10.0,1.0,14.0,2.0,,1.0,1.0,1.0,18.0,19.0,,10.0,3.0,18.0,44.0,186.0,,,0.0,114.0,4.0,3.0,,,1.0,1.0,48.0,71.0,3.0,56.0,,2.0,16.0,19.0,154.0,,13.0,113.0,648.0,6.0,12.0,16.0,330.0,26.0,10.0,8.0,,1.0,0.0,5.0,5.0,25.0,409.0,58.0,,,8380,3.0,168.0,11.0,1.0,190.0,2.0,,19.0,12.0,49.0,,1.0,5.0,1.0,20.0,10.0,7.0,70.0,351.0,8.0,7.0,2.0,26.0,77.0,,1.0,0.0,1.0,4.0,5.0,1.0,4.0,0.0,3.0,,,2.0,49.3,18.0,5.0,1.0,5.0,2.0,51.0,3.0,1.0,436.0,16.0,11.0,28.0,5.0,28.0,2.0,264.0,5.0,18.0,12.0,79.0,26.0,,3.0,5.0,23.0,,8.0,3.0,22.0,3.0,9.0,3.0,1.0,,1.0,4.0,3.0,,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
23,803386,2016-01-23 17:30:00,"Boleyn Ground, London",34977,Home,West Ham United,Manchester City,2,2,D,1,1,0,0,,1.0,70.0,,,1.0,1.0,35.0,24.0,2.0,1.0,1.0,1.0,186.0,2.0,5.0,13.0,2.0,3.0,8.0,,3.0,75.0,169.0,68.0,10.0,1.0,26.0,,,,,4.0,22.0,17.0,1.0,19.0,5.0,15.0,45.0,168.0,,,0.0,136.0,11.0,,,,3.0,2.0,80.0,67.0,3.0,67.0,,,17.0,18.0,164.0,1.0,10.0,73.0,626.0,5.0,10.0,11.0,281.0,29.0,7.0,8.0,1.0,,2.0,9.0,5.0,21.0,379.0,72.0,,1.0,8380,6.0,134.0,9.0,1.0,151.0,7.0,2.0,18.0,4.0,64.0,,1.0,8.0,1.0,21.0,6.0,2.0,81.0,297.0,15.0,13.0,2.0,32.0,89.0,2.0,,0.0,1.0,2.0,1.0,2.0,5.0,0.0,4.0,1.0,,2.0,46.7,17.0,4.0,,8.0,2.0,43.0,5.0,2.0,401.0,11.0,3.0,22.0,5.0,29.0,3.0,272.0,6.0,15.0,18.0,78.0,25.0,2.0,3.0,8.0,23.0,,4.0,3.0,26.0,3.0,11.0,5.0,1.0,,,5.0,1.0,,,1.0,,,2.0,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,
24,803392,2016-02-02 19:45:00,"Boleyn Ground, London",34914,Home,West Ham United,Aston Villa,2,0,W,0,0,0,1,,1.0,62.0,1.0,2.0,,,37.0,19.0,10.0,2.0,2.0,4.0,213.0,,6.0,15.0,2.0,3.0,21.0,1.0,6.0,155.0,141.0,57.0,25.0,1.0,16.0,1.0,1.0,,,3.0,20.0,12.0,3.0,13.0,4.0,20.0,42.0,396.0,1.0,,0.0,236.0,9.0,,1.0,,1.0,,158.0,60.0,8.0,118.0,1.0,9.0,17.0,8.0,135.0,2.0,,171.0,857.0,17.0,6.0,17.0,563.0,13.0,2.0,14.0,2.0,,3.0,2.0,13.0,17.0,641.0,114.0,1.0,,8380,6.0,188.0,12.0,,210.0,6.0,1.0,8.0,5.0,53.0,2.0,5.0,6.0,2.0,12.0,5.0,4.0,61.0,578.0,11.0,8.0,2.0,13.0,71.0,3.0,1.0,0.0,3.0,5.0,,2.0,3.0,0.0,3.0,2.0,1.0,4.0,68.0,15.0,4.0,3.0,6.0,3.0,51.0,5.0,,657.0,17.0,15.0,28.0,16.0,34.0,9.0,467.0,18.0,20.0,15.0,199.0,38.0,1.0,3.0,11.0,16.0,1.0,19.0,3.0,20.0,3.0,4.0,5.0,2.0,2.0,1.0,4.0,7.0,,,1.0,2.0,,,3.0,4.0,,,,,,,,,,,,2.0,,2.0,1.0,,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,
25,803411,2016-02-06 17:30:00,"St. Mary's Stadium, Southampton",29161,Away,West Ham United,Southampton,0,1,L,0,1,0,1,,,43.0,,,,,32.0,24.0,8.0,4.0,1.0,1.0,164.0,,9.0,7.0,,3.0,15.0,,2.0,134.0,131.0,48.0,18.0,6.0,14.0,2.0,3.0,1.0,1.0,,33.0,13.0,,21.0,4.0,16.0,30.0,274.0,,,0.0,149.0,10.0,1.0,,,3.0,,91.0,79.0,10.0,72.0,1.0,2.0,29.0,5.0,128.0,1.0,7.0,133.0,714.0,12.0,6.0,5.0,423.0,15.0,4.0,17.0,,1.0,2.0,2.0,5.0,27.0,482.0,58.0,,2.0,85388,6.0,176.0,13.0,2.0,187.0,5.0,,5.0,5.0,45.0,,3.0,5.0,,15.0,1.0,4.0,54.0,441.0,17.0,2.0,3.0,14.0,68.0,,,0.0,,4.0,1.0,,1.0,0.0,7.0,,,3.0,64.8,22.0,3.0,1.0,5.0,10.0,50.0,5.0,,503.0,5.0,10.0,15.0,6.0,47.0,4.0,349.0,11.0,16.0,6.0,110.0,20.0,,,17.0,19.0,,13.0,3.0,16.0,,3.0,5.0,4.0,,1.0,13.0,2.0,1.0,1.0,,3.0,,1.0,2.0,2.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,803421,2016-02-13 15:00:00,"Carrow Road, Norwich",27101,Away,West Ham United,Norwich City,2,2,D,0,0,0,0,2.0,1.0,56.0,,,,,30.0,23.0,5.0,3.0,1.0,2.0,182.0,,2.0,15.0,2.0,5.0,6.0,,6.0,74.0,186.0,68.0,11.0,,21.0,3.0,,,1.0,,21.0,12.0,1.0,18.0,3.0,9.0,33.0,176.0,,1.0,0.0,135.0,11.0,,1.0,,5.0,3.0,61.0,72.0,2.0,59.0,6.0,,18.0,23.0,181.0,,6.0,86.0,629.0,5.0,17.0,23.0,273.0,18.0,9.0,18.0,1.0,,2.0,3.0,4.0,27.0,373.0,68.0,1.0,1.0,85388,4.0,119.0,10.0,2.0,142.0,6.0,2.0,23.0,11.0,62.0,1.0,8.0,4.0,2.0,17.0,7.0,6.0,75.0,293.0,16.0,9.0,,41.0,108.0,,1.0,0.0,1.0,3.0,1.0,1.0,9.0,0.0,1.0,1.0,1.0,1.0,51.6,20.0,2.0,2.0,4.0,,52.0,3.0,3.0,401.0,23.0,11.0,21.0,5.0,29.0,2.0,280.0,7.0,8.0,24.0,91.0,28.0,1.0,3.0,13.0,14.0,,8.0,3.0,25.0,3.0,12.0,3.0,,1.0,2.0,3.0,3.0,,,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,1.0,,,,,,,
27,803430,2016-02-27 12:45:00,"Boleyn Ground, London",34946,Home,West Ham United,Sunderland,1,0,W,1,0,0,0,1.0,,61.0,1.0,1.0,,,41.0,24.0,4.0,4.0,4.0,1.0,190.0,,2.0,13.0,1.0,2.0,5.0,1.0,3.0,86.0,196.0,50.0,9.0,,17.0,,2.0,2.0,,1.0,16.0,15.0,2.0,16.0,4.0,4.0,49.0,156.0,1.0,,0.0,147.0,11.0,2.0,,,1.0,1.0,78.0,55.0,2.0,51.0,2.0,1.0,12.0,19.0,188.0,,6.0,90.0,625.0,5.0,10.0,23.0,277.0,18.0,11.0,14.0,,2.0,1.0,3.0,3.0,26.0,389.0,91.0,,,88812,1.0,142.0,5.0,,173.0,2.0,,19.0,13.0,61.0,,,6.0,1.0,16.0,7.0,6.0,97.0,296.0,6.0,7.0,,42.0,101.0,1.0,,0.0,2.0,6.0,3.0,1.0,3.0,0.0,,,1.0,1.0,52.8,17.0,3.0,1.0,6.0,,46.0,5.0,1.0,417.0,23.0,18.0,24.0,6.0,31.0,3.0,260.0,4.0,4.0,15.0,91.0,29.0,1.0,1.0,11.0,17.0,,8.0,3.0,21.0,1.0,10.0,5.0,,,,6.0,2.0,,,2.0,2.0,,,1.0,2.0,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
28,803438,2016-03-02 19:45:00,"Boleyn Ground, London",34977,Home,West Ham United,Tottenham Hotspur,1,0,W,1,0,0,0,,,62.0,,1.0,1.0,1.0,21.0,33.0,9.0,3.0,2.0,2.0,141.0,,5.0,11.0,1.0,5.0,11.0,,3.0,49.0,205.0,59.0,14.0,4.0,24.0,,1.0,,1.0,1.0,15.0,12.0,2.0,23.0,5.0,8.0,30.0,113.0,1.0,,0.0,132.0,10.0,1.0,1.0,,2.0,1.0,50.0,53.0,6.0,29.0,1.0,,10.0,21.0,195.0,,4.0,47.0,517.0,8.0,10.0,29.0,142.0,21.0,5.0,13.0,1.0,,0.0,1.0,5.0,33.0,235.0,73.0,,1.0,88812,3.0,43.0,6.0,2.0,68.0,4.0,,21.0,13.0,68.0,,7.0,,,13.0,5.0,3.0,71.0,151.0,11.0,4.0,2.0,28.0,73.0,,2.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,34.9,17.0,10.0,,,5.0,26.0,6.0,1.0,266.0,29.0,21.0,12.0,6.0,26.0,3.0,213.0,8.0,7.0,18.0,69.0,21.0,,1.0,11.0,19.0,1.0,9.0,3.0,22.0,1.0,11.0,6.0,1.0,,2.0,2.0,3.0,,,,2.0,,,2.0,3.0,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,
29,803451,2016-03-05 15:00:00,"Goodison Park, Liverpool",39000,Away,West Ham United,Everton,3,2,W,0,1,0,1,,2.0,62.0,2.0,3.0,1.0,,24.0,24.0,7.0,3.0,6.0,1.0,151.0,1.0,8.0,7.0,3.0,3.0,14.0,,5.0,131.0,131.0,52.0,17.0,2.0,8.0,2.0,1.0,3.0,2.0,4.0,35.0,16.0,,19.0,6.0,24.0,15.0,240.0,,,0.0,159.0,13.0,4.0,1.0,,2.0,2.0,74.0,59.0,9.0,66.0,2.0,1.0,29.0,16.0,126.0,3.0,8.0,128.0,702.0,8.0,7.0,16.0,402.0,24.0,4.0,16.0,3.0,3.0,3.0,5.0,5.0,14.0,458.0,47.0,2.0,1.0,97046,7.0,184.0,19.0,2.0,197.0,7.0,1.0,16.0,3.0,49.0,2.0,3.0,7.0,2.0,15.0,7.0,2.0,44.0,416.0,11.0,11.0,3.0,13.0,67.0,1.0,,0.0,,9.0,3.0,3.0,3.0,0.0,6.0,3.0,,4.0,58.4,12.0,5.0,1.0,7.0,5.0,49.0,6.0,2.0,476.0,16.0,11.0,9.0,7.0,54.0,2.0,314.0,10.0,23.0,12.0,131.0,25.0,1.0,5.0,14.0,23.0,2.0,12.0,3.0,15.0,5.0,10.0,6.0,3.0,2.0,,8.0,5.0,3.0,1.0,,1.0,,2.0,1.0,2.0,2.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
