gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attFreekickTotal,interceptionsInBox,freekickTotal,secondYellow,accurateFreekickCross,totalOffside,attMissHigh,attFreekickMiss,attOboxBlocked,attBxRight,postScoringAtt,attIboxPost,cleanSheet,attHdPost,hitWoodwork,errorLeadToShot,attCmissLeft,attPostHigh,attHdMiss,accurateKeeperSweeper,totalKeeperSweeper,ownGoals,totalThroughBall,shieldBallOop,attIboxOwnGoal,goalsConcededObox,bigChanceCreated,bigChanceMissed,attSvLowRight,attSvHighCentre,handBall,attGoalLowLeft,attCmissRight,attSvHighRight,attRfGoal,attCmissHigh,defenderGoals,goalAssistSetplay,goalAssistDeadball,accurateThroughBall,attOneOnOne,errorLeadToGoal,attGoalLowRight,attLfGoal,attMissHighRight,attOboxGoal,attGoalHighCentre,clearanceOffLine,attSvHighLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attHdTarget,attPostRight,attCmissHighRight,foulThrowIn,penaltyWon,attLgCentre,attCmissHighLeft,attPenGoal,attObxLeft,attGoalHighRight,penaltySave,attFreekickGoal
11,803269,2015-10-31 15:00:00,"St. James' Park, Newcastle",47139,Home,Newcastle United,Stoke City,0,0,D,0,0,0,0,,,60.0,3.0,25.0,10.0,4.0,1.0,2.0,5.0,166.0,,8.0,9.0,,4.0,14.0,,6.0,94.0,131.0,52.0,15.0,8.0,4.0,,,,,1.0,28.0,13.0,2.0,10.0,9.0,17.0,27.0,194.0,0.0,146.0,6.0,1.0,,,2.0,3.0,1.0,41.0,67.0,9.0,61.0,1.0,19.0,11.0,8.0,1.0,131.0,,8.0,91.0,591.0,9.0,7.0,13.0,314.0,25.0,1.0,8.0,6.0,,1.0,1.0,5.0,16.0,385.0,62.0,95434,8.0,150.0,8.0,1.0,1.0,174.0,4.0,3.0,11.0,7.0,38.0,9.0,,10.0,1.0,4.0,52.0,336.0,15.0,8.0,5.0,16.0,67.0,,,,1.0,0.0,2.0,4.0,2.0,,,2.0,0.0,4.0,,5.0,52.3,13.0,2.0,1.0,9.0,4.0,44.0,11.0,2.0,412.0,13.0,5.0,9.0,5.0,40.0,4.0,3.0,266.0,8.0,16.0,13.0,103.0,22.0,,2.0,6.0,15.0,,,9.0,2.0,20.0,2.0,8.0,11.0,,1.0,2.0,1.0,,1.0,4.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,,,,2.0,,,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,
12,803276,2015-11-07 12:45:00,"Vitality Stadium, Bournemouth",11155,Away,Newcastle United,Bournemouth,1,0,W,1,0,0,0,,,51.0,,29.0,36.0,,1.0,5.0,,130.0,,1.0,6.0,1.0,1.0,1.0,,1.0,64.0,141.0,55.0,2.0,13.0,,,1.0,,,,3.0,18.0,,31.0,,9.0,37.0,97.0,0.0,77.0,11.0,4.0,,,,1.0,2.0,24.0,48.0,1.0,46.0,,3.0,28.0,,,136.0,,10.0,60.0,505.0,,7.0,15.0,194.0,28.0,,8.0,13.0,1.0,2.0,7.0,,19.0,267.0,55.0,95434,1.0,114.0,2.0,,1.0,139.0,9.0,1.0,28.0,14.0,55.0,2.0,1.0,10.0,10.0,7.0,74.0,210.0,9.0,9.0,,21.0,70.0,,,,6.0,0.0,4.0,16.0,5.0,1.0,,3.0,0.0,1.0,,1.0,32.7,14.0,1.0,,2.0,,31.0,,3.0,300.0,15.0,12.0,15.0,1.0,9.0,,1.0,164.0,,8.0,14.0,39.0,13.0,1.0,4.0,13.0,27.0,,,1.0,3.0,16.0,4.0,23.0,,,,5.0,,,1.0,3.0,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,803285,2015-11-21 15:00:00,"St. James' Park, Newcastle",50151,Home,Newcastle United,Leicester City,0,3,L,0,1,0,0,,,64.0,3.0,34.0,19.0,3.0,3.0,4.0,,183.0,,3.0,8.0,,5.0,5.0,,1.0,115.0,173.0,58.0,9.0,20.0,1.0,1.0,,,,1.0,18.0,16.0,,13.0,4.0,21.0,38.0,142.0,0.0,95.0,9.0,1.0,1.0,,1.0,3.0,5.0,29.0,80.0,4.0,57.0,1.0,14.0,27.0,5.0,2.0,167.0,,15.0,99.0,674.0,4.0,5.0,21.0,328.0,27.0,,5.0,9.0,,4.0,5.0,1.0,28.0,428.0,57.0,95434,4.0,210.0,6.0,,2.0,254.0,6.0,,27.0,9.0,69.0,6.0,,11.0,3.0,7.0,66.0,349.0,11.0,14.0,1.0,21.0,77.0,1.0,,,,0.0,3.0,9.0,3.0,,3.0,3.0,0.0,2.0,,1.0,54.3,23.0,,1.0,6.0,4.0,49.0,4.0,5.0,454.0,21.0,15.0,17.0,4.0,23.0,1.0,2.0,218.0,5.0,18.0,19.0,60.0,27.0,,2.0,7.0,20.0,,3.0,4.0,3.0,20.0,2.0,14.0,4.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
14,803296,2015-11-28 15:00:00,"Selhurst Park, London",24833,Away,Newcastle United,Crystal Palace,1,5,L,1,3,0,0,1.0,1.0,61.0,3.0,26.0,21.0,2.0,3.0,3.0,,157.0,,1.0,9.0,1.0,1.0,4.0,,2.0,94.0,162.0,49.0,7.0,17.0,,,1.0,1.0,,,20.0,15.0,1.0,13.0,5.0,9.0,37.0,168.0,0.0,129.0,13.0,,,,,1.0,4.0,48.0,72.0,3.0,58.0,,15.0,13.0,4.0,,154.0,,9.0,85.0,563.0,3.0,2.0,9.0,275.0,28.0,,3.0,10.0,1.0,1.0,5.0,1.0,19.0,359.0,76.0,95434,4.0,124.0,10.0,,,153.0,6.0,,13.0,15.0,61.0,4.0,1.0,10.0,10.0,5.0,75.0,291.0,5.0,14.0,,26.0,73.0,,,,1.0,0.0,,7.0,,1.0,5.0,,0.0,1.0,1.0,1.0,46.3,16.0,2.0,,4.0,4.0,29.0,5.0,4.0,394.0,9.0,8.0,14.0,1.0,24.0,,1.0,261.0,3.0,9.0,13.0,75.0,21.0,1.0,3.0,6.0,22.0,1.0,4.0,5.0,3.0,19.0,3.0,3.0,5.0,3.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
15,803306,2015-12-06 16:00:00,"St. James' Park, Newcastle",51273,Home,Newcastle United,Liverpool,2,0,W,0,0,0,0,,1.0,70.0,,30.0,22.0,2.0,,1.0,,203.0,,3.0,9.0,2.0,1.0,5.0,1.0,1.0,64.0,185.0,66.0,6.0,34.0,,,1.0,,,1.0,7.0,22.0,,16.0,2.0,24.0,37.0,146.0,0.0,128.0,6.0,,,1.0,,,1.0,21.0,90.0,2.0,68.0,1.0,5.0,17.0,1.0,1.0,179.0,,5.0,54.0,586.0,4.0,15.0,18.0,250.0,29.0,,10.0,11.0,1.0,3.0,2.0,3.0,22.0,357.0,77.0,95434,3.0,121.0,4.0,,,151.0,5.0,1.0,17.0,16.0,76.0,2.0,1.0,15.0,5.0,7.0,81.0,264.0,10.0,10.0,,33.0,94.0,,,,,0.0,2.0,7.0,1.0,2.0,,7.0,0.0,2.0,1.0,1.0,39.8,18.0,3.0,,3.0,1.0,43.0,2.0,1.0,389.0,18.0,11.0,17.0,4.0,15.0,1.0,3.0,245.0,5.0,23.0,21.0,68.0,27.0,,6.0,10.0,26.0,,,4.0,3.0,24.0,6.0,9.0,2.0,,1.0,3.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
16,803316,2015-12-13 16:00:00,"White Hart Lane, London",35768,Away,Newcastle United,Tottenham Hotspur,2,1,W,0,1,0,0,,1.0,67.0,2.0,41.0,25.0,,2.0,7.0,,175.0,2.0,4.0,3.0,2.0,1.0,8.0,,4.0,59.0,186.0,52.0,8.0,15.0,2.0,1.0,1.0,2.0,,1.0,17.0,20.0,,20.0,1.0,22.0,31.0,121.0,0.0,102.0,14.0,4.0,1.0,,,1.0,1.0,37.0,76.0,5.0,54.0,1.0,16.0,24.0,9.0,,181.0,,7.0,47.0,556.0,6.0,10.0,19.0,196.0,25.0,,9.0,15.0,1.0,2.0,5.0,2.0,30.0,298.0,70.0,95434,4.0,102.0,6.0,,2.0,140.0,8.0,,24.0,12.0,50.0,1.0,1.0,18.0,13.0,6.0,89.0,219.0,11.0,4.0,,35.0,95.0,1.0,,,,0.0,3.0,6.0,2.0,2.0,1.0,2.0,0.0,4.0,1.0,3.0,41.7,23.0,4.0,1.0,3.0,2.0,51.0,2.0,1.0,335.0,19.0,6.0,14.0,2.0,25.0,,2.0,212.0,3.0,16.0,14.0,57.0,27.0,,,13.0,25.0,,1.0,6.0,3.0,15.0,,10.0,2.0,5.0,,1.0,,,1.0,4.0,,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,,,1.0,1.0,,,1.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,
17,803322,2015-12-19 17:30:00,"St. James' Park, Newcastle",48234,Home,Newcastle United,Aston Villa,1,1,D,1,0,0,0,,,77.0,,35.0,32.0,,1.0,6.0,1.0,186.0,,9.0,8.0,1.0,2.0,8.0,1.0,4.0,72.0,186.0,65.0,8.0,21.0,3.0,,,1.0,,1.0,24.0,18.0,,26.0,3.0,14.0,42.0,157.0,0.0,155.0,9.0,2.0,,,,2.0,3.0,37.0,94.0,4.0,45.0,2.0,21.0,22.0,4.0,,180.0,,5.0,67.0,594.0,5.0,7.0,12.0,238.0,26.0,,9.0,23.0,1.0,1.0,,4.0,29.0,349.0,84.0,95434,6.0,101.0,15.0,,1.0,124.0,6.0,2.0,22.0,5.0,61.0,6.0,,17.0,5.0,2.0,81.0,249.0,13.0,9.0,2.0,28.0,87.0,,,,1.0,0.0,2.0,7.0,3.0,1.0,1.0,3.0,0.0,7.0,1.0,4.0,47.2,26.0,4.0,1.0,6.0,,43.0,3.0,3.0,370.0,12.0,10.0,15.0,4.0,35.0,2.0,4.0,270.0,3.0,12.0,19.0,87.0,35.0,,2.0,19.0,26.0,,1.0,5.0,3.0,20.0,2.0,6.0,3.0,3.0,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,3.0,3.0,,2.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,
18,803334,2015-12-26 17:30:00,"St. James' Park, Newcastle",51682,Home,Newcastle United,Everton,0,1,L,0,0,0,0,,,60.0,2.0,34.0,28.0,3.0,2.0,6.0,,152.0,,4.0,8.0,,1.0,7.0,,1.0,96.0,125.0,55.0,10.0,17.0,1.0,,,,,5.0,19.0,17.0,,25.0,3.0,16.0,26.0,163.0,0.0,118.0,16.0,5.0,,,,2.0,,37.0,61.0,2.0,50.0,,16.0,18.0,5.0,2.0,122.0,,11.0,67.0,552.0,6.0,11.0,11.0,267.0,42.0,1.0,12.0,11.0,,2.0,8.0,5.0,15.0,340.0,45.0,95434,3.0,128.0,9.0,,,149.0,9.0,,18.0,9.0,72.0,2.0,,7.0,9.0,7.0,53.0,287.0,12.0,22.0,1.0,25.0,63.0,,,,2.0,0.0,2.0,7.0,5.0,,1.0,3.0,0.0,4.0,,5.0,40.9,13.0,,2.0,2.0,3.0,38.0,3.0,,365.0,11.0,13.0,16.0,6.0,21.0,,4.0,235.0,3.0,10.0,12.0,81.0,13.0,,4.0,11.0,23.0,,1.0,9.0,1.0,13.0,4.0,4.0,3.0,1.0,,,,,,,,,1.0,,,,,,,1.0,3.0,,4.0,1.0,1.0,,3.0,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
19,803347,2015-12-28 15:00:00,"The Hawthorns, West Bromwich",26313,Away,Newcastle United,West Bromwich Albion,0,1,L,0,0,0,0,,,41.0,2.0,27.0,47.0,,1.0,3.0,2.0,130.0,,7.0,5.0,,,6.0,,2.0,68.0,135.0,37.0,7.0,18.0,2.0,,,1.0,,,24.0,13.0,,33.0,5.0,20.0,19.0,145.0,0.0,86.0,13.0,3.0,,,,,2.0,36.0,58.0,4.0,61.0,1.0,19.0,17.0,4.0,,121.0,1.0,17.0,75.0,549.0,5.0,8.0,17.0,249.0,18.0,,6.0,23.0,,0.0,11.0,2.0,15.0,313.0,33.0,95434,2.0,126.0,15.0,,,154.0,5.0,,17.0,8.0,58.0,3.0,,12.0,5.0,6.0,54.0,264.0,7.0,10.0,1.0,25.0,58.0,,,,3.0,0.0,1.0,18.0,3.0,,1.0,1.0,0.0,5.0,,1.0,48.3,15.0,1.0,2.0,3.0,2.0,33.0,6.0,3.0,334.0,17.0,13.0,11.0,3.0,21.0,2.0,2.0,204.0,5.0,20.0,10.0,62.0,17.0,,5.0,18.0,15.0,,1.0,5.0,3.0,12.0,5.0,9.0,6.0,1.0,,2.0,,,,1.0,,,,2.0,1.0,1.0,,1.0,2.0,,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,
20,803357,2016-01-02 15:00:00,"Emirates Stadium, London",59257,Away,Newcastle United,Arsenal,0,1,L,0,0,0,0,1.0,,53.0,,40.0,16.0,4.0,4.0,2.0,4.0,155.0,,8.0,17.0,,1.0,11.0,,6.0,122.0,115.0,59.0,15.0,14.0,6.0,1.0,,3.0,,1.0,24.0,13.0,,13.0,2.0,17.0,16.0,205.0,0.0,105.0,9.0,1.0,1.0,,2.0,,3.0,39.0,96.0,6.0,80.0,1.0,22.0,16.0,10.0,,112.0,,12.0,97.0,649.0,11.0,6.0,24.0,366.0,19.0,,11.0,9.0,,2.0,2.0,5.0,15.0,418.0,52.0,95434,8.0,189.0,12.0,,,200.0,5.0,,16.0,15.0,53.0,2.0,,6.0,3.0,10.0,72.0,386.0,10.0,13.0,,24.0,74.0,1.0,,,,0.0,1.0,7.0,2.0,,1.0,2.0,0.0,8.0,,4.0,49.0,13.0,2.0,1.0,2.0,4.0,43.0,4.0,3.0,454.0,24.0,9.0,4.0,5.0,30.0,,5.0,278.0,7.0,15.0,12.0,71.0,25.0,,4.0,8.0,20.0,,1.0,13.0,2.0,27.0,4.0,12.0,4.0,,,6.0,,,,,2.0,,4.0,,,,,,,,1.0,,3.0,,,,,,,,1.0,2.0,,,1.0,,1.0,,,2.0,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,
21,803368,2016-01-12 19:45:00,"St. James' Park, Newcastle",49673,Home,Newcastle United,Manchester United,3,3,D,1,2,0,0,1.0,1.0,66.0,3.0,28.0,14.0,3.0,5.0,1.0,2.0,178.0,,,7.0,3.0,2.0,11.0,,6.0,129.0,155.0,53.0,14.0,8.0,2.0,,1.0,2.0,,1.0,20.0,19.0,1.0,12.0,5.0,17.0,48.0,197.0,0.0,132.0,10.0,1.0,,1.0,,1.0,1.0,22.0,97.0,7.0,75.0,,15.0,20.0,5.0,2.0,153.0,1.0,8.0,132.0,725.0,10.0,7.0,23.0,410.0,34.0,3.0,5.0,6.0,1.0,1.0,3.0,4.0,22.0,491.0,62.0,7933,7.0,231.0,9.0,,,252.0,5.0,,20.0,7.0,49.0,2.0,2.0,17.0,4.0,7.0,50.0,428.0,12.0,10.0,,16.0,77.0,,1.0,,,0.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,,1.0,,54.2,18.0,4.0,2.0,2.0,4.0,50.0,5.0,1.0,514.0,23.0,14.0,32.0,4.0,37.0,,2.0,282.0,9.0,15.0,8.0,90.0,25.0,1.0,3.0,5.0,27.0,,2.0,12.0,3.0,15.0,3.0,15.0,5.0,,,3.0,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,,1.0,2.0,1.0,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,
22,803381,2016-01-16 15:00:00,"St. James' Park, Newcastle",50031,Home,Newcastle United,West Ham United,2,1,W,2,0,0,0,1.0,1.0,73.0,3.0,34.0,21.0,9.0,5.0,2.0,7.0,178.0,,4.0,7.0,2.0,,20.0,,10.0,103.0,150.0,49.0,23.0,12.0,5.0,1.0,2.0,4.0,,3.0,14.0,23.0,3.0,17.0,2.0,25.0,30.0,185.0,0.0,113.0,9.0,,1.0,2.0,,,1.0,59.0,60.0,13.0,76.0,3.0,12.0,17.0,2.0,4.0,146.0,,6.0,100.0,671.0,18.0,11.0,22.0,362.0,33.0,,12.0,13.0,2.0,1.0,2.0,7.0,27.0,440.0,53.0,7933,7.0,190.0,10.0,,,217.0,5.0,,17.0,7.0,52.0,1.0,2.0,18.0,4.0,3.0,66.0,371.0,4.0,9.0,,31.0,71.0,1.0,,,,0.0,2.0,3.0,2.0,1.0,1.0,7.0,0.0,4.0,2.0,,50.7,23.0,4.0,3.0,1.0,5.0,46.0,3.0,2.0,457.0,22.0,9.0,17.0,8.0,19.0,,4.0,254.0,18.0,20.0,14.0,82.0,32.0,,2.0,11.0,24.0,,1.0,22.0,3.0,21.0,2.0,9.0,4.0,,,3.0,,,,2.0,,,2.0,2.0,,,,,,,2.0,,,,,,1.0,2.0,,,2.0,1.0,2.0,2.0,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,
23,803387,2016-01-23 15:00:00,"Vicarage Road, Watford",20611,Away,Newcastle United,Watford,1,2,L,0,0,0,0,,,68.0,1.0,41.0,17.0,1.0,2.0,3.0,1.0,197.0,,10.0,9.0,1.0,1.0,10.0,,2.0,98.0,188.0,52.0,11.0,28.0,,,,1.0,,3.0,28.0,11.0,1.0,13.0,7.0,14.0,46.0,137.0,0.0,122.0,12.0,2.0,,,,,1.0,28.0,85.0,2.0,49.0,4.0,21.0,16.0,8.0,,184.0,,10.0,87.0,632.0,6.0,11.0,17.0,291.0,34.0,,8.0,7.0,1.0,1.0,1.0,8.0,19.0,406.0,67.0,95434,7.0,183.0,13.0,,2.0,211.0,5.0,,16.0,10.0,83.0,6.0,,10.0,3.0,7.0,82.0,310.0,8.0,12.0,3.0,24.0,95.0,,,,1.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,6.0,1.0,6.0,48.7,18.0,4.0,2.0,6.0,1.0,45.0,7.0,1.0,431.0,17.0,18.0,26.0,8.0,34.0,4.0,8.0,248.0,3.0,13.0,17.0,65.0,23.0,,1.0,6.0,18.0,1.0,2.0,7.0,3.0,22.0,1.0,10.0,7.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,5.0,1.0,1.0,,1.0,,,,2.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
24,803401,2016-02-03 19:45:00,"Goodison Park, Liverpool",36061,Away,Newcastle United,Everton,0,3,L,0,1,1,0,,,56.0,,29.0,18.0,4.0,3.0,5.0,3.0,158.0,,2.0,11.0,,1.0,6.0,,3.0,91.0,165.0,49.0,7.0,14.0,2.0,,,1.0,,1.0,17.0,17.0,1.0,15.0,2.0,10.0,21.0,138.0,0.0,96.0,15.0,4.0,,,,1.0,,37.0,87.0,4.0,42.0,1.0,15.0,22.0,5.0,1.0,162.0,,9.0,81.0,586.0,6.0,11.0,14.0,259.0,25.0,,5.0,10.0,,2.0,3.0,2.0,28.0,347.0,40.0,7933,2.0,143.0,9.0,,,170.0,10.0,,22.0,13.0,72.0,5.0,,19.0,9.0,9.0,57.0,279.0,7.0,13.0,,26.0,83.0,,,,,0.0,3.0,3.0,1.0,,3.0,4.0,1.0,2.0,,,44.2,27.0,4.0,1.0,5.0,2.0,47.0,3.0,,372.0,14.0,16.0,12.0,2.0,20.0,,1.0,219.0,4.0,8.0,10.0,63.0,21.0,,4.0,8.0,21.0,,2.0,6.0,3.0,25.0,4.0,13.0,3.0,3.0,,,,,,1.0,,,2.0,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,
25,803410,2016-02-06 15:00:00,"St. James' Park, Newcastle",50152,Home,Newcastle United,West Bromwich Albion,1,0,W,1,0,0,0,1.0,1.0,61.0,2.0,39.0,12.0,10.0,2.0,,4.0,173.0,1.0,6.0,11.0,1.0,,15.0,,7.0,130.0,147.0,52.0,19.0,19.0,3.0,,1.0,3.0,,,29.0,11.0,3.0,11.0,5.0,14.0,30.0,218.0,0.0,141.0,12.0,,,,,,,65.0,80.0,11.0,84.0,1.0,24.0,12.0,8.0,1.0,146.0,,3.0,119.0,704.0,14.0,13.0,20.0,399.0,20.0,1.0,7.0,11.0,1.0,0.0,4.0,4.0,25.0,476.0,59.0,7933,5.0,212.0,16.0,,,229.0,6.0,,12.0,10.0,47.0,4.0,1.0,17.0,4.0,8.0,68.0,424.0,12.0,1.0,,26.0,82.0,,,,,0.0,,4.0,,,,4.0,0.0,6.0,1.0,3.0,68.9,20.0,4.0,1.0,4.0,7.0,58.0,8.0,,506.0,20.0,9.0,21.0,5.0,35.0,,3.0,306.0,14.0,14.0,17.0,96.0,31.0,1.0,,10.0,13.0,,,15.0,2.0,20.0,,5.0,8.0,,,4.0,,,,1.0,1.0,,5.0,2.0,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,,2.0,1.0,,,3.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,
26,803415,2016-02-13 17:30:00,"Stamford Bridge, London",41622,Away,Newcastle United,Chelsea,1,5,L,0,3,0,0,,,64.0,2.0,25.0,16.0,5.0,2.0,2.0,2.0,152.0,,2.0,7.0,1.0,1.0,7.0,,3.0,114.0,150.0,37.0,10.0,12.0,1.0,,1.0,2.0,,1.0,20.0,11.0,1.0,15.0,4.0,9.0,20.0,134.0,0.0,78.0,16.0,1.0,,1.0,,1.0,1.0,31.0,67.0,6.0,84.0,1.0,16.0,24.0,3.0,,149.0,1.0,7.0,102.0,643.0,5.0,3.0,23.0,348.0,36.0,,3.0,7.0,1.0,2.0,3.0,1.0,23.0,425.0,40.0,7933,4.0,235.0,12.0,,1.0,265.0,7.0,,24.0,6.0,57.0,2.0,1.0,20.0,7.0,2.0,64.0,367.0,11.0,8.0,1.0,29.0,73.0,,,,,0.0,2.0,8.0,,,5.0,1.0,0.0,2.0,,1.0,45.1,20.0,3.0,,2.0,5.0,34.0,5.0,1.0,452.0,23.0,14.0,13.0,2.0,24.0,,2.0,207.0,7.0,8.0,6.0,58.0,20.0,,,7.0,14.0,,4.0,9.0,3.0,14.0,,12.0,5.0,2.0,,5.0,,,,,,,3.0,1.0,,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
27,803428,2016-04-19 19:45:00,"St. James' Park, Newcastle",46424,Home,Newcastle United,Manchester City,1,1,D,1,1,0,0,,,89.0,,17.0,33.0,1.0,1.0,4.0,2.0,178.0,,2.0,14.0,1.0,4.0,2.0,,3.0,81.0,192.0,55.0,5.0,22.0,1.0,,1.0,2.0,,,20.0,13.0,1.0,30.0,5.0,20.0,40.0,151.0,0.0,121.0,13.0,3.0,,,,1.0,1.0,46.0,96.0,1.0,58.0,1.0,15.0,27.0,4.0,,189.0,1.0,6.0,76.0,626.0,1.0,12.0,20.0,267.0,38.0,,4.0,14.0,1.0,3.0,1.0,1.0,26.0,374.0,58.0,60252,2.0,128.0,10.0,,,150.0,7.0,,27.0,4.0,69.0,,1.0,20.0,3.0,4.0,60.0,277.0,8.0,7.0,,31.0,78.0,,,,,0.0,3.0,3.0,3.0,1.0,1.0,5.0,0.0,1.0,,1.0,43.2,23.0,6.0,,,,36.0,5.0,1.0,393.0,20.0,16.0,15.0,2.0,25.0,1.0,2.0,263.0,3.0,17.0,14.0,64.0,42.0,,5.0,12.0,19.0,,1.0,5.0,3.0,25.0,5.0,16.0,5.0,1.0,,2.0,,,,2.0,1.0,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
