gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attCmissRight,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attSvHighRight,freekickCross,contentiousDecision,attHdTarget,hitWoodwork,totalPullBack,attCmissHigh,attAssistSetplay,shieldBallOop,attPostRight,bigChanceScored,attGoalLowRight,goals,accurateKeeperSweeper,goalAssistOpenplay,attGoalHighRight,attOneOnOne,penaltyWon,attGoalHighCentre,bigChanceCreated,goalAssist,totalKeeperSweeper,penaltyConceded,attRfGoal,totalOffside,goalsOpenplay,attPenGoal,attSvLowRight,attCmissLeft,punches,attIboxGoal,goalAssistIntentional,penaltyFaced,penGoalsConceded,forwardGoals,accuratePullBack,attFreekickTotal,freekickTotal,attGoalHighLeft,attFreekickTarget,goalsConcededObox,goalAssistSetplay,defenderGoals,attHdGoal,errorLeadToGoal,attLfGoal,cleanSheet,attOboxGoal,midfielderGoals,attPostHigh,attFreekickMiss,sixYardBlock,attLgLeft,attPenTarget,accurateFreekickCross,attGoalLowLeft,attCmissHighLeft,attGoalLowCentre,shotFastbreak,totalFastbreak,attFastbreak,goalAssistDeadball,attObxdLeft,attPostLeft,attSvHighLeft,attLgCentre,clearanceOffLine,penaltySave,attObxRight,attOboxPost,attObxLeft
28,803436,2016-03-01 19:45:00,"Vitality Stadium, Bournemouth",11033,Home,Bournemouth,Southampton,2,0,W,1,0,0,0,49.0,,1.0,33.0,30.0,5.0,1.0,1.0,2.0,149.0,7.0,7.0,5.0,6.0,4.0,62.0,156.0,53.0,9.0,2.0,27.0,1.0,1.0,,28.0,10.0,26.0,9.0,8.0,35.0,167.0,,0.0,125.0,11.0,1.0,,3.0,77.0,70.0,5.0,52.0,2.0,1.0,19.0,14.0,2.0,2.0,152.0,4.0,73.0,529.0,5.0,5.0,10.0,230.0,15.0,,10.0,21.0,0.0,2.0,1.0,24.0,306.0,60.0,,,88498,,84.0,,14.0,2.0,101.0,3.0,14.0,7.0,55.0,,4.0,16.0,2.0,3.0,1.0,74.0,244.0,15.0,6.0,33.0,88.0,0.0,1.0,2.0,1.0,,2.0,,0.0,3.0,1.0,1.0,45.4,17.0,,4.0,,,4.0,3.0,34.0,10.0,3.0,336.0,10.0,6.0,18.0,2.0,32.0,4.0,,263.0,7.0,8.0,20.0,87.0,24.0,3.0,19.0,12.0,,6.0,3.0,14.0,3.0,7.0,10.0,1.0,,,,1.0,,1.0,,3.0,,,,1.0,,,,,2.0,,2.0,,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,
29,803444,2016-03-05 15:00:00,"St. James' Park, Newcastle",52107,Away,Bournemouth,Newcastle United,3,1,W,1,0,0,0,67.0,1.0,5.0,29.0,33.0,4.0,3.0,2.0,3.0,166.0,3.0,19.0,2.0,14.0,5.0,116.0,176.0,76.0,16.0,2.0,12.0,2.0,4.0,3.0,17.0,9.0,30.0,2.0,10.0,39.0,179.0,,0.0,130.0,8.0,1.0,1.0,1.0,66.0,95.0,10.0,68.0,1.0,,15.0,21.0,1.0,1.0,173.0,7.0,98.0,702.0,11.0,4.0,26.0,326.0,21.0,,4.0,21.0,3.0,6.0,4.0,29.0,419.0,59.0,,,88498,6.0,165.0,,13.0,,185.0,3.0,21.0,8.0,61.0,2.0,2.0,19.0,7.0,2.0,1.0,78.0,341.0,14.0,15.0,23.0,91.0,0.0,2.0,5.0,1.0,1.0,,,0.0,2.0,1.0,,50.7,25.0,1.0,6.0,2.0,,2.0,7.0,42.0,4.0,1.0,448.0,26.0,8.0,20.0,4.0,32.0,1.0,3.0,280.0,11.0,10.0,24.0,77.0,35.0,2.0,21.0,20.0,1.0,12.0,3.0,37.0,2.0,10.0,4.0,,,,,1.0,,1.0,,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,3.0,1.0,2.0,1.0,,,,1.0,2.0,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,3.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,803458,2016-03-12 15:00:00,"Vitality Stadium, Bournemouth",11179,Home,Bournemouth,Swansea City,3,2,W,1,1,0,0,57.0,,1.0,33.0,24.0,4.0,4.0,2.0,1.0,148.0,4.0,9.0,2.0,9.0,4.0,89.0,159.0,54.0,12.0,1.0,12.0,,1.0,1.0,13.0,12.0,23.0,3.0,14.0,28.0,158.0,,0.0,111.0,12.0,2.0,,,76.0,71.0,4.0,59.0,5.0,1.0,11.0,25.0,2.0,1.0,158.0,8.0,69.0,587.0,6.0,7.0,25.0,247.0,25.0,,3.0,19.0,1.0,1.0,5.0,30.0,338.0,59.0,,,93538,5.0,110.0,,8.0,2.0,141.0,5.0,25.0,9.0,65.0,2.0,3.0,11.0,5.0,5.0,3.0,77.0,264.0,11.0,12.0,29.0,68.0,0.0,3.0,3.0,2.0,2.0,4.0,,0.0,3.0,2.0,,44.0,26.0,1.0,6.0,2.0,1.0,3.0,2.0,40.0,5.0,,365.0,25.0,9.0,16.0,6.0,19.0,2.0,4.0,237.0,6.0,13.0,16.0,68.0,22.0,3.0,19.0,19.0,2.0,8.0,3.0,29.0,3.0,17.0,5.0,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,3.0,3.0,2.0,1.0,,,,,,2.0,2.0,,2.0,1.0,2.0,,,,,3.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,
31,803464,2016-03-20 16:00:00,"White Hart Lane, London",36084,Away,Bournemouth,Tottenham Hotspur,0,3,L,0,2,0,0,41.0,3.0,,33.0,29.0,,,4.0,,131.0,4.0,20.0,3.0,2.0,,92.0,149.0,60.0,2.0,,16.0,,,1.0,22.0,15.0,26.0,4.0,11.0,37.0,97.0,,0.0,78.0,6.0,3.0,,,42.0,68.0,,42.0,1.0,,18.0,15.0,4.0,,146.0,9.0,73.0,566.0,1.0,5.0,17.0,233.0,19.0,,4.0,17.0,1.0,2.0,2.0,36.0,307.0,36.0,,,88498,2.0,160.0,,12.0,1.0,186.0,3.0,15.0,14.0,48.0,,4.0,10.0,8.0,8.0,1.0,76.0,253.0,11.0,6.0,24.0,65.0,0.0,5.0,4.0,2.0,3.0,,,0.0,4.0,2.0,,37.2,33.0,2.0,1.0,,,4.0,,27.0,5.0,,338.0,17.0,8.0,20.0,2.0,21.0,,2.0,174.0,,10.0,9.0,49.0,16.0,2.0,16.0,20.0,3.0,1.0,3.0,32.0,2.0,7.0,5.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,2.0,,,,,,,,2.0,,,5.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
32,803475,2016-04-02 15:00:00,"Vitality Stadium, Bournemouth",11192,Home,Bournemouth,Manchester City,0,4,L,0,3,0,0,55.0,1.0,1.0,39.0,20.0,5.0,6.0,3.0,,159.0,6.0,12.0,4.0,7.0,2.0,118.0,134.0,47.0,11.0,3.0,7.0,1.0,1.0,3.0,17.0,10.0,16.0,1.0,9.0,33.0,181.0,,0.0,110.0,9.0,3.0,,1.0,66.0,72.0,4.0,68.0,2.0,1.0,16.0,20.0,7.0,1.0,130.0,10.0,114.0,651.0,7.0,1.0,16.0,363.0,24.0,,4.0,5.0,0.0,,3.0,23.0,433.0,40.0,1.0,1.0,93538,3.0,209.0,2.0,6.0,2.0,233.0,5.0,20.0,9.0,55.0,1.0,5.0,11.0,5.0,5.0,1.0,64.0,384.0,8.0,13.0,15.0,68.0,0.0,2.0,4.0,2.0,4.0,1.0,,0.0,6.0,2.0,,45.6,21.0,2.0,1.0,1.0,,5.0,4.0,48.0,4.0,1.0,459.0,16.0,5.0,20.0,5.0,29.0,,4.0,243.0,2.0,9.0,11.0,77.0,25.0,1.0,4.0,17.0,4.0,7.0,3.0,34.0,1.0,10.0,4.0,1.0,2.0,1.0,,1.0,,1.0,,3.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
33,803483,2016-04-09 15:00:00,"Villa Park, Birmingham",31057,Away,Bournemouth,Aston Villa,2,1,W,1,0,0,0,62.0,,1.0,44.0,29.0,5.0,4.0,,1.0,172.0,6.0,9.0,2.0,7.0,3.0,140.0,157.0,54.0,12.0,2.0,16.0,,1.0,2.0,18.0,11.0,22.0,4.0,25.0,44.0,254.0,,0.0,151.0,11.0,,1.0,2.0,96.0,117.0,3.0,95.0,,3.0,14.0,10.0,5.0,2.0,150.0,3.0,141.0,745.0,3.0,4.0,21.0,433.0,18.0,,8.0,17.0,2.0,,4.0,27.0,518.0,73.0,,,93538,4.0,204.0,,8.0,2.0,217.0,5.0,10.0,8.0,66.0,,4.0,15.0,3.0,4.0,1.0,84.0,452.0,13.0,18.0,27.0,92.0,0.0,2.0,3.0,,1.0,2.0,,0.0,4.0,1.0,,58.6,25.0,1.0,3.0,1.0,,4.0,3.0,52.0,8.0,2.0,548.0,21.0,9.0,26.0,6.0,30.0,2.0,4.0,349.0,6.0,24.0,20.0,97.0,33.0,,14.0,13.0,,4.0,3.0,22.0,,4.0,8.0,1.0,,,,,,1.0,,1.0,,,,3.0,,3.0,,,1.0,1.0,2.0,2.0,,,1.0,,,,1.0,2.0,,2.0,1.0,1.0,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
34,803494,2016-04-17 13:30:00,"Vitality Stadium, Bournemouth",11386,Home,Bournemouth,Liverpool,1,2,L,0,2,0,0,75.0,,2.0,41.0,9.0,7.0,6.0,4.0,,189.0,11.0,5.0,5.0,16.0,5.0,129.0,153.0,52.0,18.0,6.0,8.0,4.0,2.0,,24.0,16.0,8.0,3.0,8.0,22.0,208.0,,0.0,131.0,9.0,4.0,,2.0,75.0,89.0,11.0,67.0,1.0,2.0,21.0,24.0,4.0,1.0,152.0,12.0,118.0,720.0,12.0,6.0,20.0,378.0,29.0,1.0,14.0,5.0,0.0,4.0,5.0,29.0,474.0,61.0,,3.0,80498,9.0,207.0,,16.0,2.0,230.0,4.0,24.0,12.0,51.0,,9.0,14.0,7.0,11.0,2.0,71.0,404.0,9.0,13.0,36.0,86.0,0.0,3.0,4.0,4.0,2.0,4.0,,0.0,9.0,7.0,,51.3,29.0,4.0,3.0,,,9.0,8.0,48.0,5.0,5.0,503.0,20.0,16.0,13.0,5.0,25.0,2.0,4.0,297.0,5.0,7.0,16.0,91.0,33.0,1.0,5.0,22.0,2.0,13.0,3.0,10.0,1.0,11.0,5.0,,1.0,,,3.0,,,,1.0,,3.0,,3.0,1.0,3.0,,,,,1.0,,1.0,,,,,,1.0,,,1.0,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
35,803503,2016-04-23 15:00:00,"Vitality Stadium, Bournemouth",11365,Home,Bournemouth,Chelsea,1,4,L,1,2,0,0,67.0,,1.0,24.0,19.0,6.0,2.0,,2.0,169.0,7.0,12.0,1.0,10.0,4.0,97.0,139.0,46.0,13.0,2.0,5.0,3.0,,1.0,26.0,13.0,16.0,6.0,13.0,23.0,189.0,1.0,0.0,151.0,11.0,,,1.0,53.0,96.0,6.0,73.0,1.0,1.0,21.0,22.0,6.0,4.0,136.0,10.0,107.0,645.0,8.0,7.0,14.0,343.0,26.0,1.0,7.0,12.0,1.0,8.0,4.0,21.0,423.0,46.0,,,88498,5.0,182.0,,15.0,,206.0,3.0,22.0,6.0,58.0,1.0,6.0,9.0,6.0,5.0,2.0,52.0,364.0,4.0,19.0,19.0,48.0,0.0,1.0,7.0,,4.0,3.0,,0.0,6.0,3.0,,45.3,20.0,1.0,8.0,1.0,,6.0,3.0,27.0,10.0,1.0,446.0,14.0,10.0,11.0,6.0,31.0,2.0,2.0,266.0,7.0,13.0,10.0,112.0,27.0,1.0,11.0,20.0,3.0,8.0,3.0,26.0,1.0,10.0,10.0,1.0,,1.0,,2.0,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
36,803513,2016-04-30 15:00:00,"Goodison Park, Liverpool",38345,Away,Bournemouth,Everton,1,2,L,1,1,0,0,60.0,1.0,2.0,29.0,31.0,8.0,7.0,3.0,,154.0,4.0,11.0,1.0,14.0,2.0,110.0,148.0,47.0,16.0,5.0,15.0,,2.0,1.0,20.0,11.0,27.0,2.0,7.0,25.0,211.0,1.0,0.0,150.0,8.0,2.0,,,60.0,101.0,7.0,72.0,1.0,4.0,18.0,19.0,5.0,2.0,144.0,7.0,119.0,657.0,12.0,4.0,17.0,358.0,21.0,,9.0,14.0,0.0,2.0,7.0,22.0,438.0,64.0,,,88498,4.0,162.0,1.0,13.0,,184.0,4.0,19.0,6.0,52.0,,5.0,15.0,5.0,2.0,1.0,64.0,369.0,3.0,10.0,31.0,74.0,0.0,5.0,3.0,2.0,2.0,2.0,,0.0,3.0,2.0,,43.5,20.0,2.0,5.0,2.0,,5.0,7.0,42.0,5.0,,455.0,17.0,13.0,12.0,7.0,25.0,1.0,5.0,291.0,7.0,7.0,16.0,113.0,29.0,1.0,13.0,17.0,2.0,14.0,3.0,17.0,1.0,10.0,5.0,,1.0,2.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,803531,2016-05-07 15:00:00,"Vitality Stadium, Bournemouth",11040,Home,Bournemouth,West Bromwich Albion,1,1,D,0,1,0,0,54.0,1.0,,47.0,19.0,6.0,6.0,4.0,3.0,179.0,2.0,11.0,2.0,7.0,4.0,136.0,162.0,49.0,12.0,3.0,12.0,1.0,,1.0,19.0,21.0,14.0,3.0,14.0,43.0,260.0,,0.0,193.0,5.0,3.0,1.0,2.0,88.0,92.0,3.0,108.0,,4.0,16.0,13.0,4.0,3.0,157.0,7.0,144.0,776.0,7.0,3.0,4.0,458.0,23.0,,1.0,9.0,2.0,2.0,4.0,39.0,545.0,93.0,,,93538,1.0,221.0,,11.0,,241.0,2.0,13.0,9.0,49.0,,9.0,14.0,5.0,8.0,,78.0,479.0,8.0,5.0,13.0,73.0,0.0,2.0,3.0,2.0,1.0,2.0,,0.0,1.0,1.0,1.0,68.3,34.0,,2.0,2.0,1.0,10.0,3.0,46.0,5.0,2.0,567.0,4.0,20.0,25.0,5.0,23.0,1.0,2.0,345.0,5.0,13.0,6.0,141.0,19.0,1.0,7.0,24.0,1.0,9.0,3.0,19.0,1.0,4.0,5.0,1.0,,1.0,,1.0,,2.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0
38,803533,2016-05-17 20:00:00,"Old Trafford, Manchester",74363,Away,Bournemouth,Manchester United,1,3,L,0,1,0,0,47.0,1.0,3.0,40.0,10.0,1.0,4.0,2.0,,136.0,2.0,4.0,3.0,3.0,,74.0,116.0,38.0,7.0,1.0,7.0,,1.0,,4.0,11.0,8.0,,7.0,29.0,95.0,1.0,0.0,66.0,8.0,2.0,,2.0,36.0,51.0,2.0,60.0,3.0,1.0,4.0,17.0,1.0,,114.0,8.0,72.0,510.0,3.0,9.0,30.0,247.0,27.0,1.0,12.0,5.0,0.0,4.0,1.0,24.0,315.0,41.0,,,88498,5.0,175.0,,1.0,1.0,198.0,4.0,17.0,10.0,43.0,,4.0,13.0,4.0,7.0,,67.0,268.0,9.0,12.0,21.0,62.0,0.0,2.0,7.0,1.0,3.0,2.0,,0.0,2.0,,,33.7,20.0,,1.0,,,4.0,4.0,37.0,1.0,2.0,342.0,30.0,11.0,15.0,3.0,9.0,,3.0,148.0,3.0,6.0,10.0,35.0,13.0,3.0,4.0,16.0,3.0,6.0,3.0,10.0,3.0,7.0,1.0,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,
