gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attRfTarget,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,attSvHighRight,attSvLowLeft,freekickTotal,bigChanceCreated,totalKeeperSweeper,bigChanceMissed,defenderGoals,goalsConceded,attFreekickMiss,goalsConcededIbox,ptsDroppedWinningPos,attOboxBlocked,attObxdLeft,attMissHighRight,hitWoodwork,accurateThroughBall,totalThroughBall,attBxLeft,accuratePullBack,shotFastbreak,goalAssistOpenplay,goalFastbreak,penaltyWon,totalFastbreak,midfielderGoals,penaltyConceded,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attCmissLeft,clearanceOffLine,attLfGoal,attLgCentre,attGoalHighRight,attCmissHighRight,errorLeadToGoal,goalsConcededObox,postScoringAtt,attIboxPost,sixYardBlock,attFreekickTarget,attPostRight,attGoalLowCentre,contentiousDecision,attOboxGoal,attGoalHighCentre,attSvHighLeft,errorLeadToShot,attFreekickGoal,punches,attGoalHighLeft,ownGoals,attIboxOwnGoal,attPostHigh,attPostLeft,attHdPost,attSvHighCentre,attOboxPost,attFreekickPost,attCmissHighLeft,attObxRight
11,855277,2016-11-06 16:30:00,"King Power Stadium, Leicester",31879,Away,West Bromwich Albion,Leicester City,2,1,W,0,0,0,0,1.0,,57.0,1.0,,1.0,,,34.0,35.0,4.0,3.0,7.0,2.0,158.0,4.0,10.0,2.0,2.0,8.0,,5.0,79.0,163.0,68.0,11.0,23.0,3.0,1.0,1.0,1.0,21.0,10.0,,35.0,4.0,11.0,39.0,136.0,,0.0,113.0,8.0,1.0,1.0,1.0,53.0,49.0,5.0,55.0,2.0,,17.0,26.0,4.0,6.0,2.0,163.0,3.0,66.0,559.0,5.0,18.0,13.0,2.0,18.0,229.0,26.0,2.0,11.0,20.0,1.0,2.0,,3.0,19.0,327.0,62.0,,9089,5.0,114.0,10.0,,129.0,4.0,,26.0,12.0,58.0,,,,15.0,2.0,6.0,,80.0,246.0,6.0,14.0,2.0,39.0,2.0,94.0,,0.0,1.0,5.0,1.0,2.0,2.0,0.0,3.0,1.0,2.0,4.0,40.9,15.0,1.0,6.0,,3.0,38.0,6.0,1.0,358.0,18.0,13.0,19.0,3.0,30.0,1.0,1.0,250.0,4.0,11.0,36.0,58.0,16.0,,2.0,20.0,17.0,1.0,9.0,2.0,11.0,2.0,18.0,6.0,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,1.0,,2.0,,,,,1.0,,,,1.0,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12,855291,2016-11-21 20:00:00,"The Hawthorns, West Bromwich",23016,Home,West Bromwich Albion,Burnley,4,0,W,3,0,0,0,,1.0,58.0,,2.0,,,,38.0,28.0,9.0,4.0,7.0,2.0,152.0,3.0,8.0,4.0,2.0,11.0,1.0,6.0,95.0,139.0,56.0,16.0,28.0,,1.0,1.0,1.0,26.0,7.0,2.0,28.0,3.0,9.0,28.0,182.0,1.0,0.0,139.0,12.0,,1.0,1.0,56.0,65.0,6.0,80.0,2.0,4.0,23.0,14.0,9.0,7.0,4.0,139.0,2.0,74.0,574.0,7.0,10.0,14.0,,7.0,302.0,27.0,1.0,15.0,17.0,3.0,0.0,1.0,5.0,23.0,379.0,66.0,1.0,9089,3.0,134.0,15.0,,158.0,7.0,1.0,14.0,4.0,52.0,1.0,2.0,,8.0,3.0,1.0,2.0,75.0,313.0,12.0,2.0,1.0,43.0,3.0,85.0,,0.0,1.0,3.0,,3.0,,0.0,2.0,2.0,,3.0,45.5,16.0,3.0,3.0,,2.0,46.0,4.0,1.0,401.0,7.0,8.0,17.0,8.0,35.0,1.0,4.0,269.0,9.0,9.0,26.0,97.0,20.0,1.0,,17.0,10.0,,13.0,3.0,10.0,,6.0,4.0,1.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,2.0,,,,,2.0,1.0,1.0,1.0,3.0,1.0,,2.0,3.0,,4.0,4.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
13,855295,2016-11-26 15:00:00,"The MKM Stadium, Hull",18086,Away,West Bromwich Albion,Hull City,1,1,D,1,0,0,0,,,68.0,,2.0,2.0,1.0,1.0,34.0,24.0,4.0,5.0,7.0,3.0,154.0,9.0,11.0,1.0,2.0,9.0,3.0,2.0,96.0,141.0,53.0,11.0,17.0,,,,2.0,34.0,9.0,1.0,24.0,6.0,22.0,34.0,199.0,,0.0,134.0,10.0,3.0,1.0,,50.0,70.0,3.0,62.0,2.0,4.0,28.0,14.0,4.0,10.0,3.0,141.0,4.0,93.0,584.0,7.0,12.0,16.0,,12.0,307.0,34.0,,12.0,19.0,1.0,2.0,2.0,6.0,20.0,390.0,64.0,1.0,9089,5.0,124.0,17.0,,139.0,5.0,,14.0,5.0,38.0,,,4.0,11.0,6.0,3.0,1.0,65.0,314.0,7.0,2.0,1.0,32.0,3.0,73.0,,0.0,1.0,2.0,1.0,1.0,4.0,0.0,6.0,1.0,1.0,5.0,46.7,17.0,4.0,4.0,4.0,2.0,35.0,6.0,,405.0,12.0,8.0,19.0,7.0,40.0,3.0,4.0,300.0,1.0,20.0,23.0,91.0,20.0,,2.0,19.0,12.0,1.0,7.0,3.0,13.0,2.0,6.0,6.0,1.0,,1.0,1.0,2.0,,,,1.0,3.0,2.0,2.0,1.0,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
14,855310,2016-12-03 15:00:00,"The Hawthorns, West Bromwich",22244,Home,West Bromwich Albion,Watford,3,1,W,2,0,0,1,,,71.0,1.0,2.0,,1.0,1.0,20.0,41.0,5.0,3.0,6.0,5.0,138.0,7.0,8.0,3.0,2.0,9.0,2.0,3.0,61.0,155.0,56.0,11.0,19.0,,,,1.0,19.0,8.0,,41.0,3.0,7.0,19.0,89.0,,0.0,95.0,12.0,2.0,1.0,,60.0,40.0,3.0,44.0,5.0,3.0,16.0,20.0,5.0,4.0,3.0,155.0,10.0,55.0,487.0,5.0,7.0,13.0,,16.0,176.0,35.0,2.0,7.0,23.0,3.0,2.0,6.0,6.0,21.0,279.0,65.0,,9089,5.0,103.0,11.0,,127.0,9.0,,20.0,6.0,46.0,,1.0,1.0,9.0,7.0,2.0,1.0,76.0,185.0,6.0,4.0,1.0,44.0,2.0,83.0,,0.0,1.0,4.0,2.0,1.0,2.0,0.0,5.0,2.0,1.0,3.0,40.3,13.0,2.0,4.0,1.0,,25.0,3.0,,298.0,16.0,10.0,6.0,8.0,25.0,2.0,5.0,190.0,5.0,7.0,31.0,46.0,24.0,,4.0,23.0,11.0,1.0,8.0,3.0,9.0,4.0,9.0,3.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,2.0,,,,2.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,
15,855314,2016-12-11 12:00:00,"Stamford Bridge, London",41622,Away,West Bromwich Albion,Chelsea,0,1,L,0,0,0,0,,,57.0,,1.0,,,,21.0,18.0,2.0,2.0,4.0,1.0,126.0,3.0,5.0,,,4.0,1.0,1.0,53.0,149.0,56.0,6.0,18.0,1.0,1.0,,1.0,14.0,15.0,,18.0,1.0,6.0,21.0,101.0,,0.0,99.0,10.0,1.0,,,37.0,48.0,1.0,35.0,1.0,1.0,13.0,14.0,2.0,9.0,2.0,149.0,3.0,69.0,465.0,4.0,14.0,6.0,1.0,17.0,168.0,26.0,,9.0,11.0,,4.0,1.0,3.0,30.0,255.0,52.0,,9089,2.0,85.0,4.0,,109.0,5.0,1.0,14.0,14.0,58.0,,2.0,,12.0,9.0,6.0,1.0,61.0,183.0,6.0,16.0,,36.0,,71.0,1.0,0.0,4.0,3.0,,,5.0,0.0,3.0,,1.0,2.0,33.1,24.0,1.0,4.0,,,33.0,1.0,,283.0,17.0,9.0,9.0,5.0,17.0,,3.0,188.0,2.0,5.0,19.0,49.0,17.0,,5.0,11.0,26.0,,6.0,3.0,10.0,5.0,8.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,855326,2016-12-14 20:00:00,"The Hawthorns, West Bromwich",21467,Home,West Bromwich Albion,Swansea City,3,1,W,0,0,0,0,,,63.0,1.0,1.0,2.0,1.0,1.0,33.0,50.0,4.0,1.0,8.0,4.0,151.0,5.0,8.0,3.0,2.0,11.0,1.0,4.0,70.0,144.0,49.0,13.0,16.0,1.0,,,1.0,14.0,14.0,,50.0,,14.0,13.0,136.0,,0.0,134.0,8.0,2.0,1.0,2.0,32.0,57.0,8.0,59.0,2.0,2.0,14.0,19.0,5.0,6.0,3.0,144.0,8.0,70.0,575.0,8.0,9.0,15.0,,20.0,249.0,34.0,1.0,16.0,31.0,3.0,0.0,3.0,3.0,22.0,336.0,68.0,1.0,9089,7.0,124.0,7.0,1.0,136.0,3.0,,19.0,3.0,57.0,,3.0,2.0,6.0,1.0,,1.0,85.0,255.0,8.0,8.0,,62.0,,81.0,,0.0,1.0,11.0,2.0,3.0,2.0,0.0,5.0,3.0,1.0,4.0,39.5,17.0,1.0,5.0,2.0,4.0,32.0,,2.0,350.0,20.0,18.0,7.0,5.0,24.0,,2.0,228.0,8.0,12.0,17.0,79.0,16.0,3.0,5.0,31.0,18.0,3.0,12.0,3.0,15.0,5.0,11.0,,2.0,1.0,1.0,,,,,1.0,,3.0,,1.0,,1.0,,1.0,,2.0,,,,1.0,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
17,855340,2016-12-17 17:30:00,"The Hawthorns, West Bromwich",26308,Home,West Bromwich Albion,Manchester United,0,2,L,0,1,0,0,,1.0,60.0,,3.0,1.0,,,42.0,23.0,5.0,2.0,5.0,3.0,158.0,4.0,10.0,,3.0,7.0,,1.0,103.0,150.0,56.0,10.0,17.0,,,,3.0,23.0,10.0,1.0,23.0,2.0,8.0,34.0,194.0,,0.0,154.0,9.0,1.0,2.0,,44.0,82.0,2.0,62.0,1.0,2.0,21.0,13.0,5.0,5.0,2.0,150.0,5.0,78.0,582.0,5.0,15.0,16.0,,14.0,291.0,27.0,,17.0,16.0,,3.0,1.0,5.0,23.0,382.0,75.0,1.0,9089,4.0,115.0,14.0,2.0,131.0,4.0,1.0,13.0,3.0,45.0,,3.0,1.0,9.0,5.0,2.0,1.0,71.0,305.0,12.0,4.0,2.0,39.0,1.0,85.0,1.0,0.0,1.0,3.0,,,4.0,0.0,2.0,,2.0,3.0,42.1,16.0,3.0,7.0,1.0,3.0,51.0,2.0,,401.0,14.0,9.0,22.0,6.0,30.0,2.0,4.0,293.0,5.0,6.0,22.0,102.0,20.0,,,16.0,13.0,,7.0,3.0,16.0,,3.0,2.0,,,,,1.0,,,,,1.0,1.0,1.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
18,855342,2016-12-26 15:00:00,"Emirates Stadium, London",59925,Away,West Bromwich Albion,Arsenal,0,1,L,0,0,0,0,1.0,,62.0,,3.0,1.0,,,26.0,30.0,,,3.0,10.0,108.0,5.0,9.0,,,2.0,,1.0,49.0,123.0,52.0,3.0,18.0,1.0,,1.0,,22.0,9.0,,30.0,5.0,8.0,7.0,79.0,,0.0,71.0,7.0,7.0,1.0,,34.0,57.0,2.0,45.0,8.0,,17.0,8.0,,6.0,,123.0,17.0,44.0,440.0,2.0,5.0,11.0,1.0,21.0,160.0,34.0,,16.0,15.0,,1.0,7.0,,12.0,221.0,50.0,1.0,9089,1.0,97.0,10.0,,109.0,1.0,,8.0,11.0,51.0,,4.0,2.0,7.0,9.0,4.0,1.0,69.0,171.0,12.0,13.0,,49.0,1.0,70.0,,0.0,1.0,6.0,7.0,,1.0,0.0,5.0,,1.0,2.0,24.4,8.0,,,2.0,1.0,28.0,5.0,,246.0,21.0,12.0,2.0,1.0,26.0,,1.0,159.0,1.0,8.0,15.0,32.0,15.0,,2.0,15.0,16.0,,2.0,2.0,12.0,2.0,7.0,5.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,855359,2016-12-31 15:00:00,"St. Mary's Stadium, Southampton",30975,Away,West Bromwich Albion,Southampton,2,1,W,1,1,0,1,,,62.0,,,1.0,,,25.0,28.0,4.0,3.0,3.0,,145.0,2.0,9.0,2.0,2.0,4.0,,3.0,38.0,155.0,57.0,7.0,24.0,1.0,,,,11.0,18.0,,28.0,3.0,4.0,15.0,110.0,,0.0,102.0,17.0,,3.0,6.0,50.0,53.0,3.0,53.0,2.0,1.0,8.0,24.0,4.0,,3.0,155.0,5.0,42.0,484.0,2.0,15.0,9.0,1.0,16.0,162.0,26.0,,9.0,16.0,2.0,3.0,2.0,1.0,24.0,245.0,64.0,,9089,3.0,67.0,5.0,1.0,91.0,7.0,,24.0,15.0,73.0,,1.0,2.0,9.0,5.0,3.0,,75.0,175.0,12.0,11.0,,38.0,1.0,85.0,,0.0,2.0,8.0,,1.0,7.0,0.0,1.0,2.0,,1.0,32.2,16.0,,5.0,3.0,1.0,41.0,3.0,6.0,278.0,16.0,20.0,9.0,3.0,23.0,1.0,,198.0,3.0,4.0,16.0,55.0,20.0,1.0,9.0,16.0,22.0,,5.0,3.0,11.0,9.0,13.0,3.0,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,,1.0,1.0,,,,2.0,,,,1.0,,1.0,2.0,,,,,3.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
20,855370,2017-01-02 15:00:00,"The Hawthorns, West Bromwich",23402,Home,West Bromwich Albion,Hull City,3,1,W,0,1,0,0,,,56.0,1.0,3.0,1.0,2.0,2.0,36.0,35.0,2.0,3.0,6.0,5.0,118.0,8.0,11.0,3.0,,7.0,,5.0,89.0,136.0,45.0,8.0,23.0,2.0,1.0,1.0,,32.0,13.0,,35.0,7.0,15.0,18.0,153.0,,0.0,108.0,5.0,3.0,,,35.0,70.0,7.0,55.0,4.0,,25.0,7.0,2.0,13.0,,136.0,9.0,84.0,543.0,5.0,9.0,17.0,2.0,16.0,260.0,29.0,,12.0,18.0,2.0,0.0,2.0,,14.0,329.0,60.0,,9089,4.0,124.0,12.0,,138.0,3.0,,7.0,11.0,50.0,,,2.0,10.0,8.0,4.0,,73.0,269.0,4.0,9.0,,39.0,2.0,81.0,1.0,0.0,4.0,9.0,2.0,3.0,2.0,0.0,5.0,2.0,,4.0,41.0,7.0,,2.0,2.0,3.0,45.0,7.0,,346.0,16.0,9.0,14.0,,28.0,3.0,,240.0,1.0,14.0,13.0,65.0,20.0,,7.0,18.0,18.0,2.0,6.0,3.0,16.0,7.0,4.0,7.0,1.0,1.0,,,,,,,,1.0,,,2.0,1.0,,1.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,855379,2017-01-14 12:30:00,"White Hart Lane, London",31613,Away,West Bromwich Albion,Tottenham Hotspur,0,4,L,0,2,0,0,,,49.0,,5.0,1.0,,,20.0,24.0,1.0,1.0,1.0,8.0,119.0,1.0,3.0,,1.0,1.0,,,43.0,148.0,35.0,3.0,10.0,,,,1.0,9.0,9.0,,24.0,,3.0,22.0,99.0,,0.0,85.0,12.0,7.0,2.0,2.0,34.0,47.0,,44.0,,1.0,9.0,14.0,2.0,2.0,2.0,148.0,11.0,42.0,429.0,1.0,7.0,7.0,,15.0,149.0,19.0,,6.0,11.0,,2.0,3.0,1.0,24.0,219.0,65.0,,9089,1.0,64.0,5.0,1.0,84.0,7.0,,14.0,10.0,60.0,,1.0,3.0,20.0,11.0,4.0,,66.0,162.0,9.0,16.0,,32.0,,72.0,,0.0,,8.0,3.0,,3.0,0.0,1.0,,,,27.1,13.0,,2.0,3.0,1.0,29.0,,2.0,248.0,15.0,17.0,9.0,2.0,18.0,,,173.0,2.0,3.0,10.0,42.0,19.0,,2.0,11.0,13.0,,2.0,3.0,8.0,2.0,5.0,,,,,,,,,,,,,,,4.0,,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
22,855391,2017-01-21 15:00:00,"The Hawthorns, West Bromwich",24380,Home,West Bromwich Albion,Sunderland,2,0,W,2,0,0,0,,2.0,55.0,,1.0,3.0,1.0,,43.0,20.0,5.0,9.0,9.0,3.0,143.0,8.0,10.0,2.0,3.0,11.0,,5.0,79.0,145.0,54.0,14.0,19.0,,1.0,2.0,,25.0,15.0,3.0,20.0,1.0,9.0,35.0,166.0,1.0,0.0,129.0,15.0,,2.0,1.0,49.0,70.0,8.0,56.0,,2.0,24.0,16.0,5.0,7.0,1.0,145.0,3.0,77.0,553.0,8.0,8.0,28.0,,8.0,257.0,28.0,1.0,12.0,11.0,1.0,1.0,4.0,3.0,25.0,334.0,65.0,1.0,9089,7.0,109.0,15.0,2.0,130.0,10.0,,16.0,7.0,56.0,,2.0,,10.0,6.0,2.0,1.0,84.0,267.0,12.0,5.0,2.0,27.0,1.0,78.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,0.0,7.0,1.0,1.0,2.0,44.4,18.0,1.0,1.0,,4.0,44.0,1.0,1.0,355.0,8.0,10.0,18.0,5.0,27.0,1.0,3.0,250.0,3.0,7.0,15.0,89.0,21.0,,2.0,11.0,18.0,,11.0,3.0,17.0,2.0,6.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,2.0,,1.0,,,,1.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,
23,855396,2017-01-31 19:45:00,"Riverside Stadium, Middlesbrough",27316,Away,West Bromwich Albion,Middlesbrough,1,1,D,1,1,0,0,,2.0,47.0,,,4.0,1.0,,28.0,28.0,5.0,5.0,10.0,4.0,120.0,8.0,6.0,1.0,3.0,11.0,,5.0,58.0,155.0,49.0,15.0,20.0,2.0,1.0,,1.0,25.0,13.0,2.0,28.0,3.0,1.0,13.0,154.0,,0.0,127.0,13.0,1.0,4.0,,68.0,56.0,8.0,42.0,3.0,,22.0,15.0,5.0,5.0,1.0,155.0,7.0,68.0,520.0,9.0,7.0,25.0,1.0,11.0,192.0,16.0,,14.0,21.0,1.0,1.0,5.0,3.0,45.0,274.0,68.0,1.0,9089,7.0,55.0,13.0,5.0,68.0,8.0,,15.0,4.0,66.0,1.0,2.0,1.0,10.0,4.0,2.0,2.0,67.0,201.0,12.0,11.0,1.0,48.0,,62.0,,0.0,2.0,4.0,2.0,,2.0,0.0,8.0,,,2.0,38.3,30.0,,2.0,1.0,5.0,28.0,3.0,,288.0,11.0,19.0,8.0,5.0,29.0,,2.0,245.0,8.0,1.0,16.0,79.0,23.0,,3.0,21.0,15.0,,10.0,2.0,9.0,3.0,13.0,3.0,,1.0,1.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,,3.0,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,2.0,2.0,2.0,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,
24,855411,2017-02-04 15:00:00,"The Hawthorns, West Bromwich",23921,Home,West Bromwich Albion,Stoke City,1,0,W,1,0,0,0,,,74.0,,1.0,3.0,,,38.0,37.0,7.0,2.0,8.0,2.0,150.0,3.0,14.0,1.0,7.0,10.0,,4.0,56.0,146.0,64.0,15.0,22.0,,1.0,1.0,1.0,23.0,11.0,3.0,37.0,4.0,8.0,26.0,147.0,1.0,0.0,128.0,6.0,1.0,5.0,2.0,65.0,49.0,5.0,44.0,1.0,4.0,19.0,13.0,7.0,1.0,3.0,146.0,6.0,66.0,530.0,8.0,3.0,24.0,,13.0,211.0,45.0,,14.0,24.0,1.0,2.0,5.0,5.0,14.0,294.0,71.0,1.0,9089,5.0,78.0,13.0,2.0,101.0,4.0,2.0,13.0,6.0,48.0,,3.0,2.0,7.0,6.0,2.0,1.0,85.0,222.0,12.0,4.0,1.0,45.0,1.0,72.0,,0.0,1.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,,2.0,37.7,10.0,2.0,,2.0,4.0,36.0,5.0,2.0,316.0,13.0,9.0,15.0,7.0,33.0,1.0,4.0,238.0,11.0,7.0,22.0,81.0,20.0,,5.0,24.0,16.0,,12.0,3.0,22.0,5.0,7.0,5.0,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,,,1.0,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,855421,2017-02-11 15:00:00,"London Stadium, London",56983,Away,West Bromwich Albion,West Ham United,2,2,D,1,0,0,0,1.0,,63.0,,1.0,2.0,1.0,,15.0,37.0,1.0,2.0,7.0,2.0,141.0,6.0,11.0,2.0,,6.0,,3.0,47.0,150.0,50.0,8.0,14.0,1.0,2.0,1.0,,17.0,12.0,,37.0,5.0,6.0,26.0,100.0,,0.0,88.0,14.0,2.0,,1.0,35.0,37.0,4.0,38.0,4.0,,12.0,19.0,1.0,6.0,,150.0,7.0,54.0,475.0,3.0,7.0,17.0,,15.0,171.0,36.0,,6.0,12.0,2.0,2.0,7.0,2.0,19.0,256.0,46.0,,9089,,85.0,6.0,,116.0,6.0,1.0,19.0,7.0,48.0,,1.0,4.0,15.0,9.0,1.0,,63.0,179.0,7.0,10.0,1.0,33.0,4.0,74.0,,0.0,2.0,7.0,1.0,2.0,2.0,0.0,3.0,,,2.0,34.6,10.0,,3.0,4.0,2.0,27.0,5.0,2.0,280.0,15.0,6.0,13.0,3.0,26.0,3.0,2.0,181.0,4.0,6.0,15.0,48.0,15.0,,4.0,12.0,17.0,1.0,4.0,3.0,16.0,4.0,4.0,5.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,2.0,,1.0,2.0,,,2.0,1.0,,1.0,3.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,2.0,,,,1.0,,,,1.0,,,
26,855431,2017-02-25 15:00:00,"The Hawthorns, West Bromwich",24162,Home,West Bromwich Albion,Bournemouth,2,1,W,2,1,0,0,2.0,1.0,68.0,,2.0,1.0,,,21.0,22.0,5.0,6.0,8.0,3.0,124.0,3.0,6.0,2.0,,10.0,1.0,4.0,59.0,147.0,37.0,13.0,10.0,2.0,,,2.0,23.0,10.0,,22.0,8.0,7.0,21.0,121.0,,0.0,96.0,12.0,3.0,,3.0,42.0,51.0,6.0,46.0,,2.0,15.0,11.0,5.0,5.0,1.0,147.0,6.0,66.0,489.0,7.0,9.0,24.0,1.0,19.0,204.0,35.0,,8.0,12.0,1.0,2.0,2.0,4.0,18.0,273.0,48.0,,9089,4.0,96.0,10.0,,115.0,8.0,,11.0,9.0,44.0,,4.0,1.0,16.0,6.0,5.0,,53.0,214.0,4.0,6.0,2.0,24.0,5.0,63.0,1.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,1.0,,,4.0,32.0,11.0,2.0,2.0,1.0,4.0,26.0,8.0,4.0,295.0,19.0,9.0,5.0,5.0,25.0,2.0,3.0,203.0,3.0,7.0,9.0,62.0,23.0,,4.0,12.0,18.0,,8.0,3.0,15.0,4.0,8.0,8.0,1.0,,,,,,1.0,,,,,,2.0,1.0,,1.0,,3.0,,,1.0,1.0,3.0,2.0,,,1.0,,,,,1.0,2.0,1.0,,,1.0,1.0,3.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,,,,
