gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,goalAssistSetplay,attMissLeft,attSvHighRight,attSvHighLeft,attHdTarget,accurateFreekickCross,attAssistSetplay,attSvLowRight,attCmissLeft,goalsConceded,possWonAtt3rd,attFreekickMiss,goalAssistDeadball,attLfGoal,attGoalLowCentre,attCmissRight,postScoringAtt,attIboxPost,attOboxTarget,attHdPost,hitWoodwork,defenderGoals,overrun,attPostHigh,attSvHighCentre,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededIbox,attPostLeft,punches,accurateKeeperSweeper,totalKeeperSweeper,accurateThroughBall,accuratePullBack,attOneOnOne,shieldBallOop,errorLeadToGoal,goalFastbreak,attGoalHighCentre,attCmissHighLeft,attOboxPost,attPostRight,attGoalHighRight,clearanceOffLine,contentiousDecision,attObxLeft,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attCmissHighRight,ownGoals,attIboxOwnGoal,attFreekickPost,penaltySave,attObpGoal,attFreekickTarget,attLgCentre,attObxdLeft,ptsGainedLosingPos
11,442108,2012-11-10 15:00:00,"DW Stadium, Wigan",17812,Away,West Bromwich Albion,Wigan Athletic,2,1,W,2,1,0,0,1.0,1.0,1.0,43.0,,,3.0,1.0,20.0,34.0,2.0,3.0,2.0,105.0,5.0,6.0,2.0,,9.0,4.0,59.0,143.0,51.0,,,9.0,,10.0,2.0,1.0,1.0,1.0,,19.0,15.0,21.0,8.0,17.0,25.0,136.0,,,,,0.0,95.0,14.0,2.0,1.0,1.0,1.0,,3.0,62.0,31.0,5.0,48.0,1.0,2.0,11.0,,3.0,,130.0,1.0,6.0,65.0,478.0,,7.0,4.0,14.0,19.0,1.0,4.0,20.0,1.0,4.0,2.0,4.0,21.0,52.0,,66749,3.0,81.0,,8.0,,98.0,,,15.0,48.0,,,3.0,4.0,1.0,8.0,8.0,8.0,,,42.0,212.0,9.0,3.0,21.0,63.0,1.0,,0.0,5.0,,2.0,2.0,0.0,2.0,1.0,2.0,34.1,11.0,1.0,2.0,4.0,1.0,34.0,8.0,3.0,277.0,9.0,18.0,13.0,4.0,14.0,3.0,3.0,198.0,4.0,16.0,15.0,65.0,16.0,,10.0,12.0,21.0,1.0,8.0,3.0,10.0,10.0,8.0,,,,,,,,1.0,,,1.0,2.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,,2.0,,,,,1.0,,2.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,442117,2012-11-17 15:00:00,"The Hawthorns, West Bromwich",25933,Home,West Bromwich Albion,Chelsea,2,1,W,1,1,0,0,,,2.0,50.0,1.0,,1.0,1.0,23.0,41.0,4.0,,3.0,137.0,3.0,,2.0,3.0,4.0,5.0,71.0,134.0,40.0,,1.0,9.0,1.0,11.0,2.0,1.0,2.0,2.0,1.0,7.0,17.0,18.0,,12.0,25.0,150.0,,,,,0.0,115.0,7.0,4.0,1.0,,1.0,,,55.0,41.0,3.0,52.0,2.0,2.0,7.0,1.0,2.0,2.0,111.0,2.0,9.0,82.0,521.0,,2.0,6.0,11.0,33.0,,9.0,23.0,2.0,0.0,7.0,1.0,14.0,61.0,1.0,55829,1.0,124.0,,5.0,,141.0,,,12.0,37.0,,1.0,2.0,3.0,2.0,10.0,10.0,5.0,,,45.0,271.0,13.0,6.0,21.0,71.0,1.0,,0.0,12.0,5.0,2.0,1.0,0.0,3.0,2.0,2.0,35.3,10.0,,,3.0,2.0,40.0,,,342.0,10.0,7.0,8.0,2.0,11.0,,,208.0,7.0,11.0,4.0,74.0,6.0,2.0,8.0,10.0,23.0,2.0,8.0,3.0,6.0,8.0,,,,,1.0,,,,,,,1.0,4.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
13,442125,2012-11-24 12:45:00,"Stadium of Light, Sunderland",36390,Away,West Bromwich Albion,Sunderland,4,2,W,2,0,0,0,,,2.0,58.0,1.0,2.0,3.0,,23.0,32.0,6.0,7.0,2.0,175.0,1.0,3.0,4.0,5.0,10.0,6.0,113.0,137.0,53.0,,,14.0,2.0,20.0,1.0,1.0,,2.0,2.0,12.0,13.0,17.0,2.0,23.0,23.0,235.0,,,1.0,1.0,0.0,140.0,16.0,7.0,2.0,1.0,,4.0,,95.0,42.0,4.0,72.0,2.0,3.0,10.0,,3.0,2.0,122.0,2.0,11.0,109.0,652.0,,7.0,7.0,15.0,23.0,1.0,9.0,21.0,2.0,3.0,3.0,6.0,11.0,74.0,,66749,3.0,157.0,2.0,3.0,,169.0,2.0,,8.0,61.0,,5.0,1.0,2.0,3.0,9.0,9.0,5.0,,1.0,42.0,391.0,12.0,9.0,27.0,87.0,1.0,,0.0,7.0,5.0,3.0,1.0,0.0,,,1.0,51.0,8.0,1.0,2.0,2.0,2.0,56.0,2.0,,469.0,13.0,15.0,13.0,6.0,15.0,1.0,3.0,312.0,6.0,21.0,18.0,93.0,25.0,3.0,3.0,9.0,20.0,,12.0,3.0,5.0,3.0,2.0,1.0,,1.0,,,,,1.0,,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,3.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14,442134,2012-11-28 19:45:00,"Swansea.com Stadium, Swansea",20377,Away,West Bromwich Albion,Swansea City,1,3,L,1,3,0,0,,,,47.0,,1.0,1.0,,14.0,22.0,4.0,5.0,,121.0,3.0,4.0,1.0,,5.0,1.0,84.0,127.0,51.0,,,6.0,1.0,8.0,,,,,,13.0,14.0,14.0,2.0,17.0,20.0,178.0,,,,,0.0,120.0,16.0,1.0,,,,,,56.0,33.0,1.0,55.0,1.0,2.0,11.0,,3.0,3.0,119.0,,9.0,106.0,521.0,,5.0,3.0,9.0,18.0,,7.0,11.0,,4.0,4.0,4.0,12.0,57.0,,66749,2.0,123.0,,8.0,,136.0,1.0,,9.0,43.0,,,2.0,1.0,,18.0,4.0,6.0,1.0,,29.0,298.0,11.0,3.0,20.0,61.0,,,0.0,5.0,,1.0,,0.0,2.0,,,35.3,10.0,,,1.0,1.0,40.0,2.0,,366.0,8.0,10.0,13.0,4.0,12.0,1.0,1.0,243.0,1.0,16.0,15.0,82.0,25.0,1.0,4.0,9.0,21.0,,5.0,,10.0,4.0,2.0,,,1.0,,,,,,,,3.0,2.0,,,,,1.0,,,,,,,,,,,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,442147,2012-12-01 15:00:00,"The Hawthorns, West Bromwich",24739,Home,West Bromwich Albion,Stoke City,0,1,L,0,0,0,0,1.0,2.0,,56.0,,,,1.0,39.0,36.0,8.0,6.0,1.0,168.0,5.0,7.0,,2.0,13.0,5.0,112.0,162.0,69.0,,,15.0,5.0,21.0,3.0,,1.0,,1.0,29.0,13.0,23.0,5.0,28.0,30.0,212.0,,,,,0.0,135.0,9.0,,,,,2.0,1.0,52.0,61.0,10.0,60.0,,2.0,24.0,,6.0,2.0,149.0,,3.0,112.0,659.0,,11.0,5.0,6.0,24.0,,10.0,29.0,,0.0,1.0,3.0,28.0,78.0,,66749,3.0,165.0,,16.0,,190.0,,,7.0,57.0,,,4.0,2.0,,10.0,2.0,4.0,1.0,,63.0,372.0,15.0,6.0,29.0,73.0,,,0.0,5.0,1.0,,3.0,0.0,4.0,,3.0,57.2,23.0,1.0,,2.0,6.0,50.0,5.0,1.0,452.0,4.0,18.0,10.0,4.0,28.0,1.0,2.0,291.0,6.0,28.0,30.0,95.0,24.0,,7.0,19.0,17.0,,13.0,3.0,11.0,7.0,5.0,,,1.0,1.0,1.0,2.0,,2.0,,,1.0,3.0,,,,,1.0,,,2.0,,,,1.0,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
16,442149,2012-12-08 15:00:00,"Emirates Stadium, London",60083,Away,West Bromwich Albion,Arsenal,0,2,L,0,1,0,0,,1.0,,50.0,,,,,31.0,30.0,3.0,1.0,,147.0,5.0,6.0,,3.0,6.0,1.0,77.0,146.0,49.0,,,8.0,2.0,24.0,,,,,,14.0,15.0,19.0,4.0,14.0,38.0,115.0,3.0,,,,0.0,76.0,12.0,1.0,,,1.0,4.0,2.0,39.0,36.0,2.0,42.0,1.0,1.0,10.0,,4.0,,146.0,1.0,14.0,83.0,534.0,,3.0,4.0,12.0,19.0,,4.0,14.0,,3.0,6.0,4.0,20.0,52.0,,66749,4.0,149.0,1.0,2.0,2.0,169.0,,,18.0,72.0,,,5.0,6.0,,10.0,5.0,8.0,,,63.0,259.0,10.0,12.0,18.0,79.0,,,0.0,7.0,1.0,,,0.0,3.0,,4.0,41.0,14.0,4.0,1.0,6.0,2.0,37.0,4.0,2.0,349.0,9.0,19.0,18.0,5.0,16.0,2.0,5.0,194.0,3.0,14.0,12.0,35.0,21.0,,4.0,9.0,21.0,,5.0,3.0,11.0,4.0,4.0,,,1.0,,,,2.0,3.0,,,2.0,2.0,,,,,,,,1.0,,,,2.0,,,,2.0,2.0,2.0,2.0,,2.0,,,,,,1.0,,,,,,,,,1.0,,5.0,1.0,3.0,9.0,246.0,322.0,1.0,1.0,,,,,,,,,
17,442168,2012-12-16 16:00:00,"The Hawthorns, West Bromwich",24816,Home,West Bromwich Albion,West Ham United,0,0,D,0,0,0,0,1.0,1.0,,56.0,,,2.0,3.0,32.0,39.0,13.0,7.0,3.0,165.0,7.0,5.0,,3.0,15.0,4.0,80.0,183.0,55.0,,1.0,20.0,3.0,20.0,1.0,,1.0,,3.0,33.0,11.0,19.0,8.0,17.0,30.0,188.0,,1.0,,,0.0,123.0,14.0,1.0,1.0,,,1.0,1.0,62.0,58.0,6.0,52.0,,5.0,25.0,1.0,3.0,7.0,163.0,,7.0,97.0,623.0,,12.0,19.0,13.0,26.0,1.0,10.0,32.0,,3.0,2.0,9.0,22.0,68.0,,66749,4.0,126.0,,21.0,1.0,154.0,,,15.0,52.0,,2.0,2.0,9.0,,16.0,5.0,9.0,1.0,,52.0,307.0,9.0,1.0,28.0,90.0,,,0.0,2.0,,,8.0,0.0,3.0,,2.0,55.3,16.0,1.0,,9.0,6.0,50.0,8.0,1.0,394.0,10.0,8.0,18.0,10.0,14.0,4.0,2.0,273.0,11.0,13.0,29.0,87.0,15.0,,1.0,15.0,12.0,,15.0,2.0,15.0,1.0,8.0,,,2.0,,,,,3.0,,,,3.0,,,,,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,3.0,3.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,442176,2012-12-22 15:00:00,"The Hawthorns, West Bromwich",25799,Home,West Bromwich Albion,Norwich City,2,1,W,1,1,0,0,,,1.0,54.0,1.0,1.0,1.0,,36.0,29.0,6.0,5.0,2.0,144.0,8.0,10.0,2.0,3.0,10.0,6.0,91.0,145.0,54.0,,1.0,13.0,3.0,12.0,3.0,,,1.0,2.0,31.0,13.0,15.0,6.0,19.0,36.0,173.0,1.0,,,,0.0,107.0,14.0,,1.0,1.0,1.0,1.0,1.0,61.0,50.0,6.0,56.0,,2.0,25.0,1.0,6.0,2.0,131.0,1.0,6.0,102.0,584.0,,6.0,7.0,7.0,31.0,,7.0,19.0,1.0,1.0,2.0,4.0,24.0,65.0,,9089,4.0,156.0,1.0,18.0,1.0,169.0,,,9.0,47.0,,,2.0,4.0,1.0,14.0,4.0,8.0,1.0,,56.0,321.0,10.0,6.0,21.0,75.0,,,0.0,5.0,1.0,2.0,3.0,0.0,5.0,1.0,4.0,49.6,21.0,2.0,,4.0,3.0,50.0,6.0,1.0,393.0,4.0,7.0,20.0,4.0,13.0,3.0,2.0,255.0,3.0,18.0,19.0,67.0,18.0,1.0,6.0,10.0,15.0,1.0,6.0,3.0,18.0,6.0,6.0,1.0,,,,,1.0,1.0,3.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
19,442185,2012-12-26 15:00:00,"MATRADE Loftus Road, London",17782,Away,West Bromwich Albion,Queens Park Rangers,2,1,W,1,0,0,0,,3.0,,57.0,,1.0,3.0,,21.0,36.0,7.0,5.0,,170.0,1.0,8.0,2.0,,11.0,4.0,70.0,174.0,55.0,,,12.0,1.0,21.0,3.0,,1.0,1.0,,19.0,23.0,25.0,9.0,23.0,23.0,135.0,1.0,,1.0,,0.0,129.0,13.0,3.0,,1.0,2.0,2.0,2.0,53.0,45.0,4.0,44.0,1.0,3.0,10.0,,1.0,5.0,163.0,1.0,14.0,64.0,552.0,,10.0,8.0,10.0,29.0,,10.0,19.0,1.0,0.0,4.0,7.0,24.0,70.0,,9089,3.0,121.0,1.0,7.0,,143.0,,,10.0,61.0,1.0,,3.0,6.0,1.0,13.0,7.0,4.0,1.0,,56.0,255.0,9.0,9.0,44.0,85.0,,,0.0,14.0,1.0,1.0,2.0,0.0,,,,50.2,14.0,,,6.0,1.0,41.0,9.0,2.0,348.0,10.0,13.0,7.0,7.0,20.0,1.0,2.0,224.0,7.0,20.0,12.0,80.0,18.0,,5.0,13.0,26.0,,12.0,3.0,13.0,5.0,9.0,,,2.0,,,,,,1.0,1.0,1.0,5.0,,,1.0,,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,442193,2012-12-29 15:00:00,"Old Trafford, Manchester",75595,Away,West Bromwich Albion,Manchester United,0,2,L,0,1,0,0,,,,50.0,,,,3.0,19.0,33.0,10.0,4.0,1.0,120.0,5.0,5.0,,4.0,9.0,1.0,87.0,156.0,35.0,,1.0,14.0,6.0,22.0,,,1.0,,1.0,27.0,11.0,18.0,6.0,13.0,24.0,166.0,,,,,0.0,125.0,8.0,5.0,,,,3.0,1.0,53.0,39.0,6.0,56.0,1.0,,21.0,1.0,10.0,3.0,141.0,,16.0,85.0,542.0,,9.0,5.0,7.0,21.0,1.0,5.0,16.0,,0.0,6.0,3.0,30.0,65.0,,9089,1.0,103.0,,8.0,1.0,117.0,,2.0,6.0,53.0,,,,5.0,,8.0,2.0,3.0,,,44.0,264.0,9.0,6.0,26.0,66.0,,,0.0,9.0,6.0,,3.0,0.0,4.0,,,42.0,24.0,,2.0,5.0,9.0,28.0,6.0,1.0,348.0,6.0,11.0,9.0,4.0,21.0,1.0,1.0,258.0,10.0,11.0,6.0,81.0,17.0,,5.0,6.0,15.0,,10.0,3.0,11.0,5.0,6.0,1.0,,3.0,,,,1.0,,,1.0,2.0,6.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
21,442206,2013-01-01 12:45:00,"The Hawthorns, West Bromwich",25436,Home,West Bromwich Albion,Fulham,1,2,L,0,1,0,0,,,1.0,65.0,,,,3.0,29.0,23.0,3.0,5.0,2.0,162.0,13.0,10.0,1.0,3.0,14.0,4.0,94.0,170.0,50.0,,,18.0,3.0,13.0,2.0,1.0,1.0,1.0,1.0,43.0,14.0,15.0,10.0,13.0,28.0,163.0,1.0,,,,0.0,112.0,14.0,,1.0,,1.0,4.0,1.0,51.0,49.0,7.0,48.0,,3.0,33.0,,12.0,,162.0,1.0,2.0,76.0,592.0,1.0,10.0,3.0,11.0,33.0,,9.0,14.0,1.0,0.0,2.0,7.0,25.0,63.0,1.0,9089,9.0,152.0,1.0,17.0,2.0,171.0,1.0,1.0,6.0,61.0,,,2.0,4.0,1.0,15.0,8.0,2.0,,,50.0,302.0,8.0,8.0,24.0,73.0,1.0,,0.0,5.0,1.0,1.0,2.0,0.0,10.0,1.0,6.0,44.7,20.0,5.0,1.0,4.0,6.0,45.0,10.0,1.0,380.0,9.0,13.0,9.0,8.0,29.0,3.0,6.0,252.0,7.0,13.0,15.0,76.0,29.0,1.0,2.0,8.0,17.0,,14.0,3.0,23.0,2.0,10.0,1.0,,2.0,,,1.0,1.0,3.0,,,2.0,,,,,,2.0,2.0,2.0,1.0,,2.0,,2.0,,1.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
22,442216,2013-01-12 15:00:00,"Select Car Leasing Stadium, Reading",23495,Away,West Bromwich Albion,Reading,2,3,L,1,0,0,0,1.0,,1.0,57.0,,1.0,1.0,1.0,25.0,54.0,5.0,8.0,1.0,154.0,5.0,3.0,2.0,1.0,12.0,3.0,73.0,179.0,53.0,,,12.0,1.0,18.0,1.0,2.0,,2.0,1.0,20.0,14.0,25.0,4.0,9.0,39.0,129.0,,,1.0,,0.0,123.0,14.0,,3.0,,,,6.0,59.0,35.0,5.0,52.0,1.0,3.0,16.0,,5.0,3.0,150.0,2.0,7.0,60.0,543.0,,10.0,5.0,10.0,21.0,,10.0,34.0,2.0,1.0,2.0,7.0,19.0,69.0,,9089,4.0,110.0,1.0,11.0,1.0,128.0,,,6.0,42.0,,,2.0,4.0,2.0,10.0,1.0,1.0,,,60.0,234.0,7.0,2.0,33.0,91.0,2.0,,0.0,8.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,42.5,17.0,,1.0,6.0,2.0,30.0,4.0,7.0,339.0,9.0,7.0,10.0,7.0,20.0,2.0,2.0,231.0,3.0,9.0,21.0,64.0,23.0,2.0,5.0,11.0,22.0,,10.0,1.0,5.0,5.0,4.0,,,2.0,,,,,,,1.0,3.0,1.0,,,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
23,442226,2013-01-19 17:30:00,"The Hawthorns, West Bromwich",25583,Home,West Bromwich Albion,Aston Villa,2,2,D,0,2,0,0,,2.0,1.0,51.0,2.0,,1.0,5.0,30.0,27.0,17.0,13.0,2.0,148.0,10.0,10.0,2.0,1.0,25.0,6.0,86.0,144.0,51.0,,,29.0,3.0,23.0,1.0,2.0,1.0,1.0,1.0,34.0,14.0,15.0,7.0,8.0,17.0,199.0,3.0,,1.0,,0.0,170.0,8.0,2.0,2.0,1.0,,2.0,1.0,82.0,58.0,13.0,49.0,,3.0,27.0,,7.0,10.0,132.0,2.0,10.0,91.0,580.0,,22.0,3.0,8.0,27.0,3.0,5.0,16.0,2.0,3.0,4.0,12.0,22.0,76.0,,9089,8.0,113.0,1.0,18.0,1.0,124.0,,,5.0,58.0,1.0,2.0,2.0,5.0,1.0,10.0,5.0,3.0,4.0,,48.0,302.0,10.0,11.0,26.0,68.0,2.0,,0.0,8.0,3.0,1.0,,0.0,7.0,2.0,2.0,57.4,19.0,2.0,1.0,5.0,8.0,35.0,8.0,1.0,374.0,8.0,13.0,8.0,15.0,17.0,3.0,5.0,284.0,13.0,7.0,14.0,129.0,17.0,1.0,4.0,7.0,17.0,,23.0,3.0,13.0,4.0,8.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,2.0,,1.0,,,3.0,,,,3.0,,1.0,2.0,,,,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,442237,2013-01-30 19:45:00,"Goodison Park, Liverpool",31376,Away,West Bromwich Albion,Everton,1,2,L,0,2,0,0,,1.0,1.0,54.0,1.0,,2.0,,26.0,30.0,4.0,4.0,,148.0,1.0,2.0,1.0,1.0,5.0,2.0,75.0,166.0,56.0,,1.0,7.0,2.0,17.0,1.0,,,,1.0,15.0,18.0,17.0,2.0,7.0,23.0,138.0,,,,,0.0,92.0,15.0,2.0,,,,,1.0,67.0,24.0,3.0,52.0,2.0,1.0,13.0,1.0,4.0,1.0,153.0,,9.0,102.0,563.0,,5.0,7.0,12.0,24.0,1.0,9.0,15.0,,2.0,2.0,2.0,30.0,47.0,,9089,1.0,147.0,,9.0,,171.0,,2.0,14.0,53.0,,,6.0,5.0,1.0,6.0,7.0,7.0,,,45.0,284.0,10.0,5.0,28.0,85.0,,,0.0,5.0,2.0,1.0,1.0,0.0,1.0,,2.0,44.1,24.0,1.0,1.0,5.0,2.0,44.0,2.0,1.0,377.0,11.0,11.0,10.0,3.0,13.0,,1.0,221.0,1.0,7.0,19.0,61.0,24.0,1.0,1.0,7.0,25.0,1.0,6.0,3.0,7.0,1.0,2.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,1.0,,5.0,1.0,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
25,442246,2013-02-03 13:30:00,"The Hawthorns, West Bromwich",24978,Home,West Bromwich Albion,Tottenham Hotspur,0,1,L,0,0,1,0,1.0,3.0,,37.0,,,2.0,,9.0,30.0,2.0,5.0,,102.0,,3.0,,2.0,4.0,3.0,61.0,139.0,54.0,,,5.0,,16.0,2.0,,,,2.0,8.0,18.0,15.0,2.0,4.0,21.0,70.0,,,,,0.0,70.0,10.0,4.0,,,1.0,2.0,,39.0,17.0,3.0,31.0,1.0,1.0,6.0,,2.0,1.0,124.0,1.0,10.0,69.0,438.0,,4.0,8.0,12.0,17.0,1.0,5.0,19.0,,1.0,7.0,1.0,28.0,45.0,,9089,,118.0,2.0,2.0,,136.0,,,13.0,51.0,,4.0,6.0,2.0,,9.0,11.0,5.0,,,35.0,188.0,8.0,15.0,22.0,75.0,,,0.0,17.0,4.0,,4.0,1.0,,,,30.3,21.0,,3.0,2.0,,31.0,2.0,,263.0,9.0,9.0,6.0,2.0,12.0,,1.0,135.0,,3.0,23.0,34.0,15.0,,6.0,7.0,20.0,,5.0,3.0,5.0,6.0,2.0,1.0,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,442251,2013-02-11 20:00:00,"Anfield, Liverpool",44752,Away,West Bromwich Albion,Liverpool,2,0,W,0,0,0,0,2.0,,1.0,55.0,,,1.0,,25.0,32.0,3.0,1.0,1.0,140.0,2.0,10.0,2.0,,4.0,3.0,82.0,163.0,55.0,,,5.0,1.0,13.0,,2.0,1.0,1.0,,11.0,19.0,24.0,5.0,20.0,28.0,145.0,,1.0,,,0.0,107.0,11.0,4.0,3.0,,,,4.0,44.0,43.0,3.0,72.0,2.0,,6.0,,1.0,1.0,155.0,1.0,12.0,83.0,589.0,,2.0,2.0,21.0,18.0,,9.0,16.0,2.0,4.0,9.0,1.0,18.0,59.0,,9089,,141.0,,5.0,,167.0,1.0,1.0,11.0,49.0,,1.0,1.0,6.0,1.0,20.0,13.0,4.0,,,56.0,284.0,9.0,8.0,39.0,82.0,2.0,,0.0,13.0,6.0,2.0,,0.0,1.0,1.0,1.0,41.5,14.0,,,6.0,1.0,38.0,5.0,4.0,377.0,13.0,14.0,13.0,1.0,15.0,1.0,,221.0,3.0,19.0,12.0,64.0,23.0,1.0,5.0,11.0,24.0,1.0,4.0,2.0,15.0,5.0,5.0,,1.0,1.0,1.0,,,,,,1.0,,3.0,,1.0,,1.0,,,,1.0,,,1.0,2.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
27,442267,2013-02-23 15:00:00,"The Hawthorns, West Bromwich",25924,Home,West Bromwich Albion,Sunderland,2,1,W,1,0,0,0,,3.0,1.0,51.0,2.0,,1.0,2.0,26.0,28.0,6.0,7.0,1.0,187.0,9.0,4.0,2.0,6.0,13.0,6.0,103.0,149.0,56.0,,1.0,19.0,2.0,13.0,2.0,2.0,3.0,,1.0,24.0,16.0,15.0,5.0,23.0,38.0,264.0,1.0,,,1.0,0.0,177.0,14.0,2.0,2.0,,1.0,4.0,3.0,74.0,64.0,4.0,77.0,,3.0,19.0,1.0,2.0,2.0,136.0,1.0,9.0,120.0,677.0,,11.0,9.0,10.0,14.0,1.0,13.0,15.0,,2.0,4.0,9.0,16.0,73.0,1.0,9089,7.0,151.0,1.0,13.0,2.0,170.0,,,12.0,46.0,1.0,,,4.0,1.0,13.0,4.0,5.0,2.0,1.0,41.0,406.0,9.0,7.0,28.0,83.0,2.0,,0.0,5.0,3.0,2.0,3.0,0.0,9.0,,5.0,58.9,12.0,5.0,2.0,4.0,4.0,56.0,5.0,4.0,487.0,7.0,5.0,23.0,9.0,21.0,,7.0,341.0,6.0,21.0,21.0,135.0,23.0,2.0,8.0,7.0,22.0,,14.0,3.0,11.0,8.0,5.0,,,2.0,,,,3.0,2.0,2.0,1.0,1.0,6.0,,,1.0,,1.0,,,2.0,,,,4.0,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,
