gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,shotFastbreak,cleanSheet,totalFastbreak,bigChanceCreated,attMissHighLeft,accurateThroughBall,bigChanceMissed,totalThroughBall,attFastbreak,attCmissLeft,punches,overrun,shieldBallOop,foulThrowIn,attHdMiss,handBall,attRfTarget,attGoalLowCentre,goals,accuratePullBack,attCmissRight,attPenTarget,goalAssistOpenplay,attGoalHighRight,attMissHighRight,penaltyWon,midfielderGoals,attMissRight,goalAssist,accurateFreekickCross,attSetpiece,attRfGoal,totalPullBack,goalsOpenplay,attSvLowRight,attIboxGoal,goalAssistIntentional,attHdGoal,bigChanceScored,attGoalLowRight,attemptsIbox,attSvHighRight,attSvLowLeft,attemptsObox,touchesInOppBox,errorLeadToShot,clearanceOffLine,forwardGoals,contentiousDecision,attGoalLowLeft,attSvHighLeft,goalAssistSetplay,goalAssistDeadball,defenderGoals,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attObxdLeft,attPenGoal,attFreekickTarget,errorLeadToGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostHigh,attCmissHighRight,attObxdRight,attLgCentre,attLfGoal,attObxRight,attGoalHighCentre,attOboxGoal,ownGoals,attIboxOwnGoal,attObpGoal,attOboxPost,attObxLeft,attOneOnOne,attFreekickGoal,attPostRight,attPostLeft
11,803265,2015-10-31 15:00:00,"The Hawthorns, West Bromwich",24150,Home,West Bromwich Albion,Leicester City,2,3,L,1,0,0,0,,1.0,61.0,,2.0,24.0,27.0,4.0,3.0,2.0,148.0,8.0,16.0,6.0,10.0,6.0,75.0,164.0,67.0,3.0,14.0,23.0,1.0,,,1.0,1.0,27.0,8.0,3.0,21.0,6.0,7.0,8.0,122.0,0.0,110.0,3.0,2.0,1.0,3.0,55.0,35.0,5.0,41.0,5.0,21.0,20.0,3.0,9.0,2.0,158.0,10.0,66.0,565.0,9.0,11.0,1.0,12.0,227.0,30.0,11.0,14.0,,0.0,5.0,5.0,38.0,314.0,63.0,91972,5.0,122.0,11.0,,150.0,2.0,20.0,5.0,53.0,,2.0,6.0,5.0,3.0,1.0,1.0,65.0,236.0,11.0,2.0,,44.0,66.0,0.0,4.0,2.0,3.0,2.0,0.0,6.0,3.0,47.7,26.0,5.0,,,6.0,3.0,25.0,6.0,3.0,330.0,12.0,,23.0,5.0,5.0,28.0,2.0,3.0,207.0,8.0,5.0,28.0,62.0,14.0,6.0,13.0,12.0,3.0,9.0,3.0,18.0,6.0,12.0,6.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,2.0,,1.0,,2.0,,2.0,,2.0,,,,,1.0,,2.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,,2.0,1.0,1.0,,1.0,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12,803281,2015-11-07 15:00:00,"Old Trafford, Manchester",75410,Away,West Bromwich Albion,Manchester United,0,2,L,0,0,1,0,1.0,,69.0,,,26.0,27.0,1.0,1.0,1.0,153.0,4.0,10.0,3.0,3.0,,58.0,163.0,64.0,1.0,4.0,21.0,,,,,2.0,13.0,16.0,,21.0,1.0,4.0,9.0,90.0,0.0,81.0,10.0,1.0,2.0,1.0,16.0,75.0,,43.0,3.0,12.0,18.0,1.0,4.0,,157.0,7.0,50.0,495.0,2.0,8.0,,26.0,178.0,32.0,17.0,10.0,,3.0,5.0,3.0,14.0,281.0,62.0,91972,3.0,103.0,6.0,,129.0,6.0,18.0,10.0,53.0,,,4.0,9.0,6.0,4.0,1.0,84.0,189.0,11.0,7.0,1.0,63.0,87.0,0.0,5.0,1.0,2.0,3.0,1.0,3.0,3.0,32.3,8.0,3.0,,,4.0,1.0,35.0,1.0,1.0,304.0,26.0,,15.0,5.0,3.0,20.0,1.0,3.0,188.0,,4.0,22.0,30.0,23.0,5.0,9.0,21.0,1.0,2.0,3.0,10.0,5.0,8.0,2.0,1.0,,,,1.0,,,1.0,,,1.0,,3.0,,,3.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,803282,2015-11-21 15:00:00,"The Hawthorns, West Bromwich",24343,Home,West Bromwich Albion,Arsenal,2,1,W,2,1,0,0,,,65.0,1.0,,19.0,28.0,1.0,,2.0,111.0,2.0,5.0,2.0,2.0,1.0,40.0,147.0,44.0,1.0,4.0,14.0,,,2.0,,,17.0,13.0,,22.0,3.0,6.0,22.0,84.0,0.0,85.0,14.0,1.0,1.0,2.0,34.0,38.0,1.0,38.0,3.0,14.0,19.0,1.0,6.0,,141.0,7.0,57.0,429.0,,8.0,,25.0,148.0,31.0,10.0,17.0,2.0,3.0,1.0,1.0,15.0,218.0,52.0,91972,1.0,78.0,7.0,,98.0,6.0,19.0,10.0,58.0,,5.0,1.0,10.0,4.0,3.0,,65.0,160.0,7.0,17.0,1.0,34.0,63.0,0.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,27.0,6.0,3.0,1.0,,1.0,1.0,26.0,3.0,2.0,246.0,25.0,,8.0,8.0,2.0,22.0,1.0,1.0,165.0,3.0,4.0,13.0,42.0,20.0,4.0,14.0,20.0,1.0,1.0,3.0,11.0,4.0,11.0,3.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14,803301,2015-11-29 14:05:00,"Boleyn Ground, London",34914,Away,West Bromwich Albion,West Ham United,1,1,D,0,1,0,0,1.0,1.0,45.0,3.0,,35.0,25.0,2.0,2.0,5.0,137.0,6.0,4.0,1.0,5.0,3.0,48.0,142.0,56.0,1.0,7.0,19.0,2.0,2.0,1.0,1.0,3.0,21.0,16.0,1.0,20.0,2.0,6.0,10.0,105.0,0.0,105.0,16.0,3.0,1.0,2.0,41.0,49.0,2.0,43.0,1.0,19.0,16.0,1.0,8.0,1.0,137.0,12.0,46.0,479.0,5.0,8.0,1.0,14.0,181.0,15.0,17.0,12.0,1.0,2.0,3.0,3.0,27.0,245.0,68.0,91972,2.0,92.0,10.0,,105.0,7.0,16.0,12.0,67.0,,2.0,3.0,11.0,5.0,4.0,,83.0,191.0,15.0,13.0,,51.0,76.0,0.0,5.0,2.0,1.0,3.0,0.0,6.0,1.0,39.1,22.0,,,1.0,3.0,,29.0,2.0,2.0,274.0,14.0,,17.0,8.0,4.0,34.0,,3.0,190.0,4.0,4.0,16.0,56.0,23.0,2.0,10.0,23.0,,6.0,1.0,7.0,2.0,11.0,2.0,,,,,1.0,,,1.0,,,2.0,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
15,803310,2015-12-05 15:00:00,"The Hawthorns, West Bromwich",23602,Home,West Bromwich Albion,Tottenham Hotspur,1,1,D,1,1,0,0,,1.0,68.0,1.0,2.0,27.0,15.0,3.0,3.0,2.0,136.0,6.0,7.0,7.0,7.0,4.0,46.0,153.0,47.0,2.0,11.0,10.0,2.0,,2.0,1.0,1.0,25.0,13.0,1.0,13.0,3.0,2.0,14.0,125.0,0.0,120.0,13.0,1.0,4.0,,61.0,52.0,5.0,45.0,4.0,22.0,23.0,2.0,7.0,2.0,151.0,4.0,59.0,485.0,6.0,12.0,1.0,25.0,185.0,22.0,15.0,7.0,2.0,3.0,4.0,2.0,24.0,269.0,68.0,91972,4.0,73.0,11.0,,87.0,8.0,23.0,8.0,51.0,,2.0,5.0,13.0,5.0,3.0,,75.0,192.0,10.0,14.0,,49.0,77.0,0.0,6.0,2.0,1.0,2.0,0.0,4.0,2.0,35.4,19.0,6.0,1.0,1.0,5.0,4.0,35.0,3.0,,286.0,25.0,1.0,12.0,6.0,3.0,27.0,2.0,1.0,224.0,5.0,2.0,15.0,69.0,27.0,3.0,6.0,15.0,1.0,8.0,1.0,10.0,3.0,12.0,3.0,2.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,3.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
16,803321,2015-12-13 16:00:00,"Anfield, Liverpool",44147,Away,West Bromwich Albion,Liverpool,2,2,D,1,1,0,0,1.0,,55.0,4.0,,31.0,41.0,1.0,2.0,6.0,142.0,2.0,5.0,,3.0,2.0,46.0,158.0,40.0,,4.0,13.0,,,,,1.0,13.0,6.0,,37.0,4.0,2.0,9.0,99.0,0.0,95.0,10.0,2.0,1.0,,35.0,60.0,2.0,31.0,6.0,9.0,11.0,,3.0,1.0,154.0,13.0,51.0,457.0,1.0,15.0,,23.0,156.0,29.0,13.0,21.0,,0.0,9.0,1.0,16.0,242.0,74.0,91972,1.0,74.0,5.0,,91.0,3.0,11.0,16.0,52.0,,1.0,,15.0,15.0,8.0,,77.0,171.0,7.0,13.0,,40.0,90.0,0.0,4.0,2.0,2.0,4.0,0.0,,1.0,29.6,7.0,4.0,,,,,43.0,4.0,,270.0,23.0,,15.0,2.0,2.0,17.0,2.0,1.0,192.0,1.0,1.0,20.0,44.0,11.0,5.0,20.0,9.0,1.0,2.0,1.0,7.0,5.0,8.0,4.0,,,,,1.0,,,,1.0,,1.0,1.0,2.0,,,,1.0,,,2.0,,,,,,,,,1.0,2.0,,,,,,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,,2.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
17,803323,2015-12-19 15:00:00,"The Hawthorns, West Bromwich",26127,Home,West Bromwich Albion,Bournemouth,1,2,L,0,0,2,0,1.0,,49.0,3.0,2.0,31.0,18.0,1.0,1.0,4.0,124.0,6.0,5.0,2.0,6.0,2.0,47.0,127.0,37.0,,7.0,11.0,1.0,,,,1.0,20.0,8.0,,11.0,4.0,8.0,12.0,117.0,0.0,105.0,12.0,2.0,1.0,2.0,30.0,62.0,5.0,38.0,3.0,16.0,14.0,,3.0,1.0,120.0,7.0,48.0,417.0,3.0,9.0,,18.0,171.0,23.0,16.0,11.0,,2.0,4.0,1.0,25.0,234.0,62.0,91972,4.0,72.0,12.0,1.0,89.0,9.0,14.0,5.0,49.0,,,2.0,11.0,9.0,1.0,,66.0,183.0,9.0,14.0,2.0,40.0,54.0,0.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,32.6,18.0,2.0,,,2.0,3.0,30.0,4.0,2.0,257.0,18.0,,9.0,10.0,2.0,28.0,2.0,1.0,188.0,3.0,8.0,13.0,63.0,15.0,2.0,9.0,10.0,1.0,4.0,3.0,8.0,2.0,6.0,4.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,2.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
18,803340,2015-12-26 15:00:00,"Swansea.com Stadium, Swansea",20789,Away,West Bromwich Albion,Swansea City,0,1,L,0,1,0,0,,1.0,64.0,,3.0,39.0,10.0,2.0,2.0,1.0,162.0,5.0,5.0,3.0,7.0,3.0,75.0,174.0,40.0,1.0,9.0,7.0,3.0,2.0,,,3.0,32.0,9.0,,9.0,6.0,16.0,41.0,158.0,0.0,134.0,13.0,,1.0,,51.0,69.0,5.0,62.0,3.0,26.0,18.0,1.0,15.0,2.0,173.0,5.0,87.0,586.0,6.0,18.0,2.0,24.0,269.0,20.0,12.0,2.0,,3.0,2.0,2.0,36.0,367.0,81.0,91972,5.0,129.0,10.0,,148.0,6.0,18.0,4.0,43.0,,2.0,3.0,16.0,2.0,3.0,,92.0,282.0,10.0,8.0,1.0,45.0,92.0,0.0,,1.0,1.0,6.0,0.0,3.0,2.0,44.5,28.0,5.0,,,3.0,3.0,47.0,7.0,,386.0,24.0,1.0,10.0,20.0,3.0,36.0,2.0,1.0,270.0,5.0,16.0,11.0,81.0,31.0,2.0,2.0,14.0,1.0,7.0,3.0,10.0,2.0,12.0,7.0,,,,,,,,,,,2.0,1.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,803347,2015-12-28 15:00:00,"The Hawthorns, West Bromwich",26313,Home,West Bromwich Albion,Newcastle United,1,0,W,0,0,0,0,,2.0,55.0,,10.0,31.0,16.0,5.0,6.0,2.0,122.0,10.0,10.0,3.0,16.0,5.0,97.0,159.0,58.0,1.0,22.0,10.0,3.0,2.0,,1.0,,43.0,16.0,1.0,12.0,17.0,20.0,32.0,188.0,0.0,165.0,7.0,1.0,1.0,2.0,22.0,84.0,12.0,45.0,2.0,26.0,17.0,1.0,6.0,2.0,155.0,7.0,79.0,576.0,13.0,10.0,,16.0,244.0,16.0,14.0,10.0,,0.0,2.0,4.0,25.0,321.0,55.0,91972,10.0,82.0,19.0,3.0,99.0,4.0,17.0,5.0,37.0,,2.0,,17.0,,2.0,1.0,50.0,260.0,12.0,5.0,2.0,27.0,58.0,0.0,6.0,2.0,,2.0,0.0,6.0,2.0,51.7,21.0,2.0,1.0,,,12.0,38.0,18.0,2.0,343.0,16.0,,7.0,18.0,5.0,52.0,4.0,2.0,287.0,13.0,16.0,18.0,118.0,32.0,5.0,8.0,20.0,,14.0,3.0,18.0,5.0,8.0,18.0,2.0,,1.0,,2.0,,2.0,1.0,3.0,,,,1.0,1.0,,,,2.0,,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
20,803359,2016-01-02 15:00:00,"The Hawthorns, West Bromwich",23218,Home,West Bromwich Albion,Stoke City,2,1,W,0,0,0,1,,1.0,48.0,1.0,3.0,28.0,16.0,6.0,3.0,2.0,143.0,7.0,7.0,5.0,12.0,5.0,96.0,145.0,47.0,,17.0,18.0,2.0,2.0,,1.0,2.0,22.0,11.0,1.0,13.0,3.0,4.0,39.0,180.0,0.0,148.0,7.0,2.0,5.0,2.0,52.0,66.0,7.0,55.0,1.0,19.0,10.0,,2.0,2.0,142.0,6.0,66.0,537.0,9.0,8.0,,9.0,252.0,18.0,6.0,5.0,,1.0,5.0,5.0,24.0,337.0,67.0,91972,6.0,92.0,12.0,1.0,110.0,5.0,10.0,5.0,44.0,,1.0,3.0,9.0,4.0,2.0,,72.0,265.0,13.0,7.0,2.0,22.0,74.0,0.0,6.0,1.0,1.0,5.0,0.0,6.0,2.0,45.7,17.0,4.0,1.0,2.0,3.0,6.0,33.0,4.0,2.0,360.0,9.0,,6.0,18.0,6.0,38.0,1.0,4.0,272.0,12.0,4.0,11.0,95.0,18.0,2.0,4.0,16.0,1.0,11.0,2.0,14.0,2.0,3.0,4.0,3.0,,,,,2.0,,,,,2.0,1.0,2.0,,,2.0,,2.0,,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
21,803371,2016-01-13 19:45:00,"Stamford Bridge, London",40945,Away,West Bromwich Albion,Chelsea,2,2,D,1,1,0,0,,,58.0,,3.0,17.0,18.0,6.0,4.0,1.0,163.0,8.0,7.0,3.0,10.0,6.0,52.0,167.0,56.0,,13.0,24.0,3.0,2.0,,1.0,1.0,31.0,15.0,1.0,14.0,6.0,10.0,18.0,138.0,0.0,138.0,8.0,1.0,2.0,1.0,50.0,67.0,7.0,47.0,3.0,25.0,19.0,,6.0,3.0,163.0,8.0,55.0,519.0,8.0,11.0,3.0,28.0,202.0,30.0,9.0,8.0,,3.0,4.0,3.0,17.0,287.0,82.0,91972,1.0,81.0,17.0,,95.0,4.0,19.0,10.0,55.0,,1.0,1.0,12.0,7.0,1.0,,67.0,211.0,13.0,11.0,1.0,42.0,80.0,0.0,7.0,1.0,2.0,3.0,0.0,8.0,4.0,38.9,12.0,8.0,2.0,,1.0,3.0,27.0,7.0,1.0,317.0,28.0,,12.0,12.0,4.0,35.0,,1.0,253.0,5.0,9.0,16.0,72.0,13.0,2.0,5.0,21.0,2.0,11.0,3.0,8.0,2.0,10.0,7.0,,,,,,2.0,,,,,1.0,,3.0,1.0,,1.0,,1.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,,2.0,2.0,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,
22,803380,2016-01-16 15:00:00,"St. Mary's Stadium, Southampton",29622,Away,West Bromwich Albion,Southampton,0,3,L,0,2,0,0,1.0,,59.0,1.0,1.0,29.0,21.0,7.0,4.0,1.0,140.0,6.0,5.0,1.0,5.0,,90.0,156.0,52.0,,10.0,17.0,,,2.0,,2.0,26.0,12.0,,16.0,3.0,10.0,30.0,163.0,0.0,115.0,11.0,,2.0,1.0,57.0,68.0,1.0,50.0,2.0,23.0,14.0,,13.0,5.0,151.0,6.0,75.0,527.0,5.0,13.0,,15.0,244.0,27.0,11.0,10.0,2.0,0.0,3.0,4.0,22.0,333.0,77.0,91972,3.0,103.0,8.0,,122.0,7.0,14.0,7.0,50.0,,4.0,3.0,11.0,3.0,6.0,4.0,69.0,260.0,9.0,9.0,,39.0,76.0,0.0,1.0,1.0,3.0,5.0,0.0,6.0,2.0,44.2,15.0,1.0,,,3.0,3.0,42.0,3.0,1.0,355.0,15.0,,11.0,20.0,7.0,31.0,,2.0,259.0,3.0,9.0,24.0,67.0,24.0,3.0,10.0,16.0,2.0,7.0,3.0,8.0,3.0,6.0,3.0,2.0,,,,,,1.0,,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,803382,2016-01-23 15:00:00,"The Hawthorns, West Bromwich",26165,Home,West Bromwich Albion,Aston Villa,0,0,D,0,0,0,0,,,59.0,4.0,,28.0,34.0,2.0,,4.0,125.0,6.0,6.0,3.0,4.0,,57.0,163.0,56.0,,4.0,22.0,,1.0,,,,27.0,14.0,,29.0,2.0,1.0,11.0,114.0,0.0,103.0,7.0,2.0,3.0,2.0,41.0,56.0,1.0,38.0,5.0,25.0,8.0,,13.0,1.0,158.0,6.0,59.0,492.0,3.0,15.0,,23.0,177.0,28.0,11.0,16.0,,0.0,4.0,3.0,23.0,256.0,56.0,91972,,80.0,9.0,,98.0,5.0,8.0,9.0,59.0,,1.0,3.0,15.0,9.0,6.0,1.0,69.0,188.0,13.0,9.0,1.0,45.0,75.0,0.0,6.0,,,5.0,0.0,6.0,1.0,39.4,17.0,6.0,,,3.0,1.0,34.0,2.0,2.0,279.0,23.0,,16.0,7.0,3.0,29.0,,2.0,208.0,3.0,1.0,20.0,56.0,17.0,4.0,15.0,17.0,,3.0,3.0,11.0,4.0,4.0,3.0,1.0,,1.0,,,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
24,803399,2016-02-02 20:00:00,"The Hawthorns, West Bromwich",22062,Home,West Bromwich Albion,Swansea City,1,1,D,0,0,0,0,,,58.0,1.0,3.0,43.0,17.0,3.0,2.0,3.0,161.0,13.0,10.0,2.0,12.0,7.0,85.0,163.0,65.0,1.0,17.0,23.0,3.0,2.0,,2.0,2.0,43.0,8.0,3.0,16.0,7.0,3.0,19.0,171.0,0.0,159.0,12.0,,1.0,,66.0,61.0,6.0,46.0,2.0,36.0,14.0,1.0,11.0,1.0,162.0,9.0,81.0,599.0,11.0,24.0,1.0,27.0,258.0,30.0,15.0,10.0,,0.0,6.0,6.0,22.0,349.0,65.0,91972,9.0,115.0,24.0,,132.0,5.0,14.0,10.0,45.0,,2.0,,17.0,9.0,6.0,2.0,81.0,273.0,13.0,5.0,1.0,45.0,76.0,0.0,7.0,2.0,1.0,10.0,0.0,11.0,5.0,45.3,20.0,9.0,,,,3.0,39.0,7.0,,373.0,27.0,,10.0,11.0,7.0,45.0,2.0,6.0,284.0,9.0,3.0,28.0,99.0,17.0,4.0,9.0,14.0,1.0,12.0,3.0,10.0,4.0,12.0,7.0,,,,,3.0,1.0,,4.0,,,,,1.0,,,4.0,4.0,5.0,1.0,1.0,,,,,,,,,2.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,3.0,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
25,803410,2016-02-06 15:00:00,"St. James' Park, Newcastle",50152,Away,West Bromwich Albion,Newcastle United,0,1,L,0,1,0,0,1.0,,53.0,3.0,2.0,18.0,29.0,4.0,,6.0,118.0,1.0,1.0,2.0,3.0,,43.0,137.0,47.0,2.0,7.0,17.0,,1.0,1.0,,,12.0,15.0,,23.0,4.0,5.0,17.0,79.0,0.0,73.0,12.0,3.0,,2.0,28.0,38.0,2.0,26.0,5.0,8.0,12.0,2.0,5.0,2.0,131.0,9.0,41.0,415.0,3.0,14.0,,28.0,130.0,29.0,10.0,11.0,2.0,3.0,7.0,1.0,19.0,204.0,49.0,91972,2.0,60.0,3.0,,73.0,9.0,12.0,8.0,52.0,1.0,2.0,3.0,11.0,10.0,1.0,2.0,55.0,138.0,10.0,11.0,,33.0,70.0,0.0,8.0,3.0,1.0,2.0,0.0,1.0,,31.1,16.0,3.0,,,3.0,4.0,29.0,4.0,2.0,228.0,28.0,1.0,9.0,8.0,3.0,24.0,,1.0,167.0,7.0,3.0,19.0,35.0,13.0,2.0,10.0,18.0,,4.0,3.0,5.0,2.0,7.0,4.0,2.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,803420,2016-02-13 15:00:00,"Goodison Park, Liverpool",38103,Away,West Bromwich Albion,Everton,1,0,W,1,0,0,0,,,60.0,2.0,1.0,28.0,64.0,1.0,2.0,5.0,121.0,3.0,6.0,2.0,5.0,1.0,34.0,150.0,56.0,,5.0,14.0,,,,,,7.0,10.0,,52.0,1.0,6.0,20.0,80.0,0.0,74.0,12.0,1.0,1.0,3.0,40.0,21.0,2.0,24.0,4.0,6.0,18.0,,2.0,1.0,138.0,16.0,36.0,448.0,3.0,9.0,,16.0,105.0,37.0,9.0,35.0,,4.0,15.0,3.0,12.0,182.0,45.0,91972,1.0,46.0,3.0,,77.0,7.0,18.0,17.0,54.0,,2.0,2.0,21.0,17.0,8.0,,71.0,123.0,10.0,15.0,1.0,35.0,67.0,0.0,14.0,4.0,,3.0,0.0,2.0,,24.1,8.0,2.0,1.0,,2.0,1.0,30.0,1.0,4.0,215.0,16.0,,14.0,9.0,3.0,19.0,1.0,2.0,145.0,1.0,3.0,24.0,40.0,11.0,6.0,32.0,17.0,,2.0,3.0,6.0,6.0,14.0,1.0,,,1.0,,1.0,1.0,,,2.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,,,,,,2.0,1.0,,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
