gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,savedObox,attRfTarget,fouledFinalThird,attFreekickTotal,attBxRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,divingSave,attSvHighLeft,attSvLowLeft,goodHighClaim,interceptionsInBox,freekickTotal,attPostLeft,hitWoodwork,totalKeeperSweeper,attSetpiece,challengeLost,attAssistSetplay,attFreekickTarget,savedIbox,goalsConceded,shieldBallOop,foulThrowIn,totalHighClaim,accurateCornersIntobox,goalsConcededIbox,goalsConcededObox,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attObxdRight,sixYardBlock,attCmissHighLeft,goalAssistIntentional,attSvHighCentre,attHdGoal,bigChanceScored,attGoalLowLeft,attRfGoal,attObxRight,clearanceOffLine,forwardGoals,freekickCross,attGoalHighCentre,attCmissLeft,attFreekickMiss,accuratePullBack,totalPullBack,penaltyWon,attHdTarget,attPenGoal,attGoalHighLeft,attSvHighRight,accurateFreekickCross,ownGoals,attIboxOwnGoal,attPenTarget,goalFastbreak,attPostRight,secondYellow,errorLeadToGoal,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attFreekickPost,attOboxPost,attPostHigh,attHdPost,attFreekickGoal,attObxLeft
11,360573,2011-11-06 16:00:00,"Craven Cottage, London",25698,Away,Tottenham Hotspur,Fulham,3,1,W,2,0,0,0,1.0,60.0,1.0,,33.0,52.0,6.0,4.0,1.0,168.0,2.0,6.0,3.0,5.0,,4.0,93.0,174.0,44.0,9.0,3.0,11.0,,1.0,1.0,,1.0,6.0,13.0,,2.0,25.0,1.0,15.0,29.0,160.0,,,,0.0,116.0,13.0,1.0,1.0,51.0,53.0,5.0,81.0,1.0,5.0,1.0,1.0,147.0,,18.0,109.0,673.0,,2.0,11.0,22.0,19.0,,3.0,32.0,2.0,1.0,13.0,,20.0,77.0,,,7958,1.0,191.0,,4.0,217.0,14.0,45.0,,1.0,,1.0,5.0,1.0,6.0,14.0,4.0,,63.0,349.0,6.0,25.0,91.0,1.0,1.0,,0.0,,11.0,3.0,2.0,0.0,2.0,,46.1,16.0,,2.0,1.0,6.0,3.0,42.0,1.0,451.0,16.0,14.0,15.0,2.0,6.0,1.0,240.0,5.0,13.0,13.0,69.0,28.0,2.0,18.0,19.0,6.0,2.0,11.0,2.0,1.0,2.0,1.0,1.0,1.0,,,2.0,,4.0,,,,2.0,1.0,,,3.0,,4.0,1.0,,11.0,1.0,1.0,,,,1.0,,2.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12,360586,2011-11-21 20:00:00,"White Hart Lane, London",35818,Home,Tottenham Hotspur,Aston Villa,2,0,W,2,0,0,0,2.0,55.0,,1.0,53.0,18.0,11.0,10.0,1.0,214.0,3.0,12.0,2.0,15.0,4.0,6.0,131.0,144.0,49.0,22.0,4.0,20.0,2.0,2.0,,2.0,1.0,27.0,12.0,,2.0,11.0,5.0,11.0,40.0,329.0,2.0,1.0,,0.0,195.0,4.0,2.0,,135.0,104.0,5.0,125.0,6.0,22.0,5.0,7.0,137.0,3.0,3.0,148.0,813.0,,13.0,5.0,13.0,25.0,,4.0,10.0,1.0,0.0,,10.0,25.0,86.0,4.0,,7958,5.0,223.0,2.0,16.0,236.0,7.0,45.0,,6.0,,2.0,9.0,1.0,16.0,,1.0,2.0,69.0,549.0,5.0,10.0,98.0,2.0,1.0,,0.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,70.3,22.0,1.0,4.0,,9.0,5.0,66.0,11.0,618.0,11.0,9.0,31.0,11.0,16.0,4.0,409.0,11.0,11.0,19.0,157.0,14.0,1.0,6.0,13.0,15.0,2.0,19.0,1.0,11.0,,2.0,3.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,5.0,1.0,,1.0,,,,,,,,,1.0,,,2.0,,,1.0,1.0,,2.0,2.0,1.0,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,360598,2011-11-26 15:00:00,"The Hawthorns, West Bromwich",24801,Away,Tottenham Hotspur,West Bromwich Albion,3,1,W,1,1,0,0,,63.0,,3.0,60.0,28.0,10.0,6.0,,151.0,6.0,9.0,3.0,18.0,2.0,11.0,123.0,146.0,47.0,26.0,3.0,9.0,5.0,2.0,2.0,3.0,3.0,23.0,14.0,,3.0,14.0,9.0,10.0,40.0,237.0,1.0,,1.0,0.0,149.0,13.0,3.0,,86.0,74.0,12.0,79.0,5.0,14.0,2.0,3.0,132.0,2.0,7.0,130.0,708.0,,12.0,6.0,14.0,32.0,,5.0,10.0,2.0,1.0,2.0,6.0,23.0,82.0,4.0,,81012,15.0,190.0,2.0,11.0,204.0,10.0,51.0,,5.0,,4.0,7.0,3.0,11.0,4.0,3.0,,78.0,421.0,10.0,13.0,83.0,2.0,2.0,,0.0,2.0,1.0,2.0,6.0,0.0,2.0,4.0,56.2,18.0,3.0,2.0,,7.0,6.0,53.0,10.0,483.0,11.0,16.0,23.0,9.0,11.0,6.0,302.0,16.0,10.0,7.0,116.0,19.0,1.0,5.0,21.0,18.0,1.0,17.0,1.0,10.0,1.0,7.0,2.0,,,,,,1.0,,1.0,,1.0,,,,,1.0,5.0,4.0,,3.0,1.0,1.0,,,4.0,1.0,,,,,1.0,,,,1.0,2.0,,2.0,2.0,3.0,,,3.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
14,360606,2011-12-03 15:00:00,"White Hart Lane, London",35896,Home,Tottenham Hotspur,Bolton Wanderers,3,0,W,1,0,0,1,3.0,67.0,,1.0,57.0,15.0,8.0,8.0,1.0,181.0,4.0,7.0,3.0,24.0,4.0,12.0,149.0,122.0,37.0,27.0,3.0,10.0,7.0,1.0,1.0,4.0,1.0,22.0,11.0,,2.0,10.0,6.0,18.0,26.0,241.0,,1.0,,0.0,150.0,10.0,2.0,2.0,66.0,45.0,14.0,73.0,5.0,16.0,3.0,3.0,117.0,6.0,6.0,139.0,734.0,,20.0,2.0,17.0,28.0,1.0,2.0,7.0,3.0,0.0,6.0,10.0,14.0,57.0,5.0,1.0,7958,12.0,247.0,6.0,12.0,257.0,9.0,45.0,1.0,6.0,,4.0,10.0,1.0,9.0,10.0,5.0,3.0,67.0,484.0,5.0,9.0,82.0,1.0,1.0,,0.0,2.0,6.0,3.0,2.0,0.0,1.0,1.0,58.9,13.0,1.0,6.0,,11.0,4.0,58.0,7.0,542.0,16.0,15.0,17.0,11.0,24.0,7.0,307.0,18.0,16.0,11.0,124.0,21.0,2.0,3.0,14.0,20.0,2.0,12.0,2.0,7.0,3.0,6.0,2.0,1.0,4.0,1.0,,1.0,,,3.0,,1.0,1.0,,1.0,,,6.0,1.0,,1.0,,1.0,,,3.0,,,1.0,2.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
15,360615,2011-12-11 16:00:00,"bet365 Stadium, Stoke",27529,Away,Tottenham Hotspur,Stoke City,1,2,L,0,2,1,0,3.0,47.0,1.0,2.0,45.0,40.0,11.0,4.0,,159.0,4.0,10.0,1.0,16.0,1.0,9.0,134.0,158.0,45.0,19.0,4.0,14.0,2.0,,,2.0,,32.0,11.0,,6.0,26.0,9.0,9.0,30.0,240.0,,,,0.0,173.0,8.0,,,110.0,47.0,12.0,48.0,2.0,24.0,4.0,1.0,144.0,,10.0,130.0,691.0,,12.0,7.0,5.0,33.0,,2.0,25.0,,1.0,3.0,4.0,27.0,62.0,,1.0,7958,4.0,164.0,,20.0,186.0,10.0,41.0,,2.0,,3.0,2.0,,16.0,3.0,6.0,2.0,62.0,400.0,9.0,14.0,56.0,,2.0,1.0,0.0,5.0,7.0,1.0,1.0,1.0,2.0,2.0,64.1,24.0,2.0,3.0,3.0,2.0,6.0,35.0,12.0,471.0,5.0,6.0,18.0,4.0,16.0,3.0,317.0,13.0,9.0,14.0,140.0,9.0,5.0,14.0,12.0,,3.0,17.0,5.0,12.0,1.0,5.0,,,1.0,,,,1.0,1.0,2.0,,,,,1.0,,1.0,7.0,4.0,,3.0,2.0,1.0,1.0,,2.0,2.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,2.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,
16,360626,2011-12-18 15:00:00,"White Hart Lane, London",36021,Home,Tottenham Hotspur,Sunderland,1,0,W,0,0,0,0,1.0,75.0,,3.0,49.0,27.0,9.0,6.0,,207.0,7.0,6.0,1.0,15.0,1.0,4.0,122.0,185.0,46.0,19.0,5.0,9.0,2.0,,1.0,3.0,4.0,25.0,17.0,,1.0,10.0,5.0,16.0,39.0,256.0,,1.0,1.0,0.0,195.0,9.0,,,101.0,59.0,10.0,73.0,2.0,20.0,8.0,2.0,168.0,2.0,2.0,160.0,800.0,,13.0,4.0,13.0,37.0,,5.0,22.0,1.0,1.0,1.0,5.0,30.0,88.0,2.0,,7525,5.0,231.0,2.0,12.0,253.0,10.0,50.0,,4.0,,6.0,10.0,1.0,18.0,6.0,5.0,1.0,64.0,480.0,8.0,15.0,92.0,,,,0.0,4.0,,,1.0,0.0,6.0,1.0,60.3,28.0,1.0,1.0,2.0,10.0,8.0,72.0,6.0,562.0,9.0,26.0,22.0,7.0,25.0,5.0,334.0,11.0,14.0,10.0,150.0,26.0,2.0,9.0,22.0,16.0,3.0,13.0,2.0,6.0,3.0,2.0,3.0,2.0,2.0,,,,3.0,,,2.0,1.0,2.0,,,,,3.0,1.0,,1.0,,4.0,,2.0,1.0,,,4.0,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,360630,2011-12-22 20:00:00,"White Hart Lane, London",36141,Home,Tottenham Hotspur,Chelsea,1,1,D,1,1,0,0,1.0,48.0,,4.0,47.0,25.0,4.0,6.0,,142.0,7.0,15.0,1.0,14.0,,4.0,108.0,152.0,42.0,16.0,3.0,3.0,2.0,,1.0,,3.0,27.0,12.0,,1.0,16.0,6.0,23.0,32.0,179.0,,,,0.0,108.0,15.0,,,74.0,45.0,9.0,72.0,1.0,21.0,5.0,,143.0,3.0,10.0,135.0,692.0,,11.0,6.0,15.0,20.0,1.0,8.0,16.0,1.0,2.0,4.0,5.0,29.0,66.0,1.0,,6254,5.0,220.0,2.0,15.0,234.0,13.0,46.0,,1.0,,3.0,8.0,1.0,15.0,12.0,10.0,,64.0,392.0,8.0,27.0,85.0,,2.0,,0.0,4.0,4.0,1.0,1.0,0.0,6.0,2.0,54.8,24.0,2.0,2.0,2.0,9.0,7.0,53.0,7.0,457.0,8.0,20.0,21.0,5.0,14.0,5.0,250.0,8.0,21.0,6.0,75.0,16.0,3.0,9.0,13.0,11.0,1.0,22.0,3.0,7.0,4.0,2.0,1.0,1.0,3.0,,,,3.0,,,,1.0,1.0,,,,,2.0,2.0,,2.0,1.0,2.0,,,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,360644,2011-12-27 19:30:00,"Carrow Road, Norwich",26807,Away,Tottenham Hotspur,Norwich City,2,0,W,0,0,0,0,3.0,59.0,,1.0,44.0,25.0,9.0,11.0,2.0,182.0,2.0,4.0,2.0,18.0,1.0,6.0,153.0,178.0,41.0,20.0,2.0,9.0,2.0,1.0,2.0,2.0,2.0,31.0,17.0,,2.0,15.0,6.0,19.0,34.0,300.0,,1.0,,0.0,193.0,6.0,1.0,2.0,81.0,103.0,8.0,99.0,5.0,26.0,7.0,5.0,168.0,1.0,4.0,165.0,836.0,,14.0,5.0,21.0,26.0,1.0,5.0,14.0,2.0,1.0,3.0,10.0,26.0,65.0,,,7525,5.0,220.0,1.0,17.0,246.0,7.0,38.0,,3.0,,3.0,10.0,2.0,19.0,5.0,2.0,3.0,70.0,518.0,7.0,29.0,76.0,1.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,0.0,2.0,,59.6,19.0,,1.0,2.0,10.0,3.0,43.0,10.0,599.0,17.0,15.0,18.0,11.0,20.0,6.0,384.0,9.0,16.0,9.0,166.0,19.0,3.0,8.0,21.0,17.0,3.0,9.0,3.0,10.0,2.0,1.0,2.0,1.0,4.0,,,,,,1.0,1.0,,1.0,,,,,3.0,2.0,,,,,,2.0,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
19,360657,2011-12-31 15:00:00,"Liberty Stadium, Swansea",20393,Away,Tottenham Hotspur,Swansea City,1,1,D,1,0,0,0,3.0,65.0,1.0,,31.0,31.0,5.0,7.0,1.0,167.0,5.0,10.0,1.0,6.0,2.0,5.0,107.0,141.0,49.0,10.0,,6.0,2.0,1.0,,,2.0,18.0,18.0,,2.0,21.0,5.0,24.0,18.0,233.0,,,,0.0,141.0,5.0,1.0,1.0,60.0,44.0,2.0,82.0,2.0,13.0,1.0,3.0,131.0,1.0,8.0,97.0,677.0,,6.0,7.0,33.0,33.0,,7.0,16.0,,2.0,3.0,4.0,17.0,67.0,3.0,1.0,7958,2.0,163.0,1.0,12.0,179.0,7.0,41.0,1.0,7.0,,4.0,4.0,1.0,11.0,5.0,1.0,1.0,43.0,391.0,8.0,16.0,77.0,1.0,1.0,,0.0,4.0,10.0,1.0,1.0,0.0,3.0,,44.2,12.0,,2.0,1.0,4.0,,56.0,5.0,453.0,31.0,16.0,13.0,5.0,9.0,2.0,292.0,3.0,22.0,9.0,111.0,23.0,4.0,12.0,22.0,8.0,2.0,20.0,4.0,5.0,2.0,1.0,3.0,1.0,1.0,,,,1.0,,2.0,,7.0,1.0,,,,,5.0,,1.0,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
20,360666,2012-01-03 19:45:00,"White Hart Lane, London",36062,Home,Tottenham Hotspur,West Bromwich Albion,1,0,W,0,0,0,0,3.0,69.0,1.0,3.0,59.0,22.0,12.0,8.0,,187.0,9.0,10.0,1.0,18.0,,5.0,171.0,147.0,47.0,20.0,7.0,7.0,1.0,,1.0,,1.0,35.0,11.0,,3.0,15.0,10.0,36.0,45.0,310.0,,1.0,,0.0,213.0,4.0,,,97.0,70.0,14.0,85.0,,25.0,6.0,2.0,140.0,,4.0,189.0,850.0,,16.0,7.0,26.0,38.0,1.0,1.0,10.0,1.0,0.0,3.0,4.0,19.0,71.0,,,7958,4.0,252.0,,16.0,268.0,9.0,35.0,2.0,3.0,,6.0,5.0,,7.0,4.0,9.0,3.0,80.0,553.0,14.0,11.0,69.0,,1.0,,0.0,1.0,7.0,1.0,2.0,0.0,5.0,2.0,68.2,18.0,2.0,4.0,2.0,5.0,10.0,51.0,14.0,632.0,19.0,19.0,26.0,5.0,26.0,3.0,399.0,10.0,36.0,9.0,161.0,22.0,,8.0,14.0,,3.0,11.0,,14.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,5.0,1.0,,,,3.0,,1.0,4.0,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,360676,2012-01-14 15:00:00,"White Hart Lane, London",36194,Home,Tottenham Hotspur,Wolverhampton Wanderers,1,1,D,0,1,0,0,3.0,69.0,,4.0,48.0,20.0,18.0,12.0,,197.0,10.0,9.0,1.0,19.0,1.0,7.0,139.0,183.0,51.0,28.0,4.0,9.0,2.0,,1.0,5.0,2.0,33.0,9.0,,4.0,6.0,7.0,36.0,34.0,304.0,3.0,,1.0,0.0,201.0,6.0,,1.0,100.0,107.0,9.0,90.0,1.0,26.0,5.0,9.0,169.0,1.0,5.0,149.0,824.0,,17.0,10.0,24.0,30.0,,4.0,15.0,1.0,1.0,,10.0,51.0,89.0,1.0,,7958,7.0,189.0,2.0,19.0,212.0,4.0,47.0,1.0,2.0,,3.0,8.0,1.0,12.0,,4.0,7.0,65.0,483.0,13.0,17.0,83.0,,,,0.0,3.0,1.0,,3.0,0.0,7.0,1.0,68.4,43.0,1.0,3.0,1.0,8.0,8.0,57.0,8.0,575.0,19.0,15.0,20.0,13.0,20.0,4.0,396.0,15.0,35.0,19.0,151.0,27.0,1.0,4.0,10.0,23.0,2.0,22.0,1.0,8.0,,3.0,4.0,2.0,1.0,,1.0,,2.0,,1.0,1.0,2.0,2.0,,,1.0,1.0,4.0,1.0,,2.0,1.0,2.0,,1.0,3.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,2.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
22,360683,2012-01-22 13:30:00,"Etihad Stadium, Manchester",47422,Away,Tottenham Hotspur,Manchester City,2,3,L,0,0,0,0,1.0,59.0,,,38.0,28.0,11.0,9.0,1.0,138.0,,7.0,2.0,10.0,1.0,3.0,115.0,148.0,49.0,14.0,5.0,10.0,1.0,,1.0,,,11.0,13.0,1.0,,19.0,1.0,22.0,39.0,183.0,1.0,,1.0,0.0,110.0,10.0,,1.0,100.0,39.0,4.0,71.0,2.0,10.0,3.0,5.0,139.0,1.0,12.0,128.0,654.0,,9.0,1.0,12.0,27.0,2.0,1.0,16.0,1.0,1.0,6.0,6.0,24.0,48.0,,,7958,,188.0,1.0,7.0,210.0,8.0,56.0,,2.0,,2.0,9.0,2.0,12.0,4.0,4.0,1.0,66.0,371.0,8.0,19.0,73.0,,1.0,1.0,0.0,4.0,9.0,1.0,1.0,0.0,,,46.7,22.0,,2.0,,9.0,5.0,35.0,4.0,452.0,7.0,16.0,14.0,6.0,5.0,1.0,253.0,5.0,22.0,11.0,72.0,20.0,3.0,11.0,23.0,11.0,2.0,14.0,3.0,4.0,,,3.0,,2.0,,5.0,,1.0,,,1.0,2.0,,,,5.0,1.0,13.0,,,1.0,3.0,3.0,,1.0,,3.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
23,360693,2012-01-31 19:45:00,"White Hart Lane, London",35801,Home,Tottenham Hotspur,Wigan Athletic,3,1,W,2,0,0,0,2.0,56.0,1.0,1.0,53.0,11.0,8.0,5.0,2.0,176.0,7.0,8.0,3.0,18.0,2.0,10.0,200.0,119.0,35.0,20.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,18.0,7.0,1.0,3.0,5.0,5.0,58.0,43.0,276.0,1.0,,1.0,0.0,165.0,8.0,2.0,3.0,117.0,39.0,12.0,106.0,2.0,13.0,1.0,2.0,113.0,2.0,3.0,210.0,877.0,,13.0,3.0,19.0,25.0,1.0,4.0,5.0,2.0,0.0,1.0,6.0,24.0,63.0,2.0,1.0,95703,5.0,359.0,1.0,12.0,372.0,10.0,33.0,1.0,4.0,,2.0,9.0,3.0,12.0,6.0,6.0,2.0,69.0,628.0,7.0,13.0,96.0,2.0,4.0,,0.0,2.0,,2.0,,0.0,4.0,5.0,62.3,23.0,3.0,,4.0,9.0,3.0,80.0,5.0,692.0,15.0,11.0,31.0,7.0,12.0,5.0,338.0,10.0,57.0,7.0,130.0,19.0,2.0,2.0,13.0,17.0,3.0,14.0,2.0,5.0,2.0,3.0,1.0,,1.0,,,,,,2.0,,1.0,,,,,,4.0,3.0,,,1.0,2.0,,,3.0,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,
24,360701,2012-02-06 20:00:00,"Anfield, Liverpool",44461,Away,Tottenham Hotspur,Liverpool,0,0,D,0,0,0,0,1.0,57.0,,1.0,38.0,32.0,5.0,4.0,,156.0,5.0,5.0,,6.0,,3.0,121.0,165.0,39.0,10.0,2.0,9.0,2.0,,,2.0,1.0,12.0,15.0,,1.0,15.0,4.0,34.0,35.0,155.0,1.0,1.0,,0.0,100.0,14.0,,,73.0,45.0,4.0,66.0,2.0,8.0,1.0,2.0,148.0,1.0,6.0,124.0,678.0,,5.0,8.0,29.0,42.0,,8.0,7.0,,2.0,6.0,2.0,31.0,51.0,,,95703,4.0,226.0,1.0,7.0,257.0,13.0,49.0,,1.0,,,3.0,,10.0,11.0,8.0,,55.0,376.0,6.0,27.0,82.0,,1.0,2.0,0.0,1.0,8.0,,1.0,0.0,3.0,1.0,48.0,21.0,1.0,1.0,,3.0,3.0,51.0,4.0,467.0,25.0,13.0,20.0,4.0,4.0,2.0,222.0,5.0,31.0,12.0,65.0,10.0,2.0,5.0,16.0,7.0,2.0,16.0,2.0,4.0,2.0,2.0,1.0,,1.0,,,,2.0,,,,5.0,,,,,,5.0,1.0,,2.0,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,360717,2012-02-11 17:30:00,"White Hart Lane, London",36176,Home,Tottenham Hotspur,Newcastle United,5,0,W,4,0,0,0,,62.0,,1.0,64.0,20.0,7.0,9.0,3.0,200.0,4.0,7.0,5.0,14.0,,7.0,195.0,148.0,41.0,18.0,1.0,5.0,1.0,,5.0,1.0,3.0,17.0,15.0,,1.0,14.0,3.0,27.0,50.0,301.0,,1.0,,0.0,171.0,7.0,,1.0,95.0,95.0,8.0,96.0,2.0,14.0,3.0,5.0,142.0,5.0,5.0,185.0,875.0,,8.0,7.0,15.0,25.0,1.0,4.0,15.0,5.0,2.0,2.0,6.0,26.0,65.0,3.0,,7958,9.0,303.0,1.0,10.0,331.0,6.0,37.0,,6.0,1.0,5.0,8.0,5.0,20.0,3.0,5.0,3.0,79.0,600.0,9.0,11.0,87.0,,,,0.0,4.0,3.0,5.0,4.0,0.0,3.0,,65.4,24.0,,1.0,1.0,9.0,2.0,65.0,4.0,676.0,12.0,14.0,33.0,9.0,19.0,4.0,362.0,9.0,27.0,8.0,143.0,27.0,1.0,11.0,17.0,17.0,3.0,13.0,1.0,4.0,1.0,2.0,3.0,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,,,1.0,,5.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,,1.0,,,,5.0,1.0,,4.0,2.0,2.0,,,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,360719,2012-02-26 13:30:00,"Emirates Stadium, London",60106,Away,Tottenham Hotspur,Arsenal,2,5,L,2,2,1,0,2.0,69.0,1.0,,18.0,22.0,5.0,4.0,1.0,136.0,3.0,5.0,2.0,6.0,1.0,5.0,89.0,167.0,63.0,11.0,,11.0,1.0,4.0,1.0,1.0,1.0,15.0,22.0,,2.0,14.0,4.0,21.0,36.0,120.0,1.0,,,0.0,102.0,12.0,4.0,,41.0,28.0,2.0,45.0,2.0,11.0,3.0,3.0,159.0,,15.0,98.0,594.0,,5.0,10.0,22.0,36.0,,1.0,13.0,1.0,2.0,7.0,4.0,17.0,58.0,3.0,,7958,5.0,162.0,,7.0,184.0,11.0,61.0,2.0,6.0,,2.0,5.0,1.0,21.0,8.0,7.0,2.0,45.0,279.0,16.0,14.0,64.0,4.0,1.0,,0.0,3.0,7.0,2.0,1.0,1.0,2.0,2.0,43.1,16.0,2.0,1.0,1.0,5.0,,30.0,5.0,368.0,16.0,20.0,13.0,6.0,15.0,3.0,199.0,5.0,20.0,9.0,55.0,25.0,4.0,8.0,33.0,8.0,3.0,12.0,4.0,5.0,,1.0,4.0,,,,,,2.0,,1.0,1.0,4.0,,,,,,11.0,,,3.0,5.0,3.0,,1.0,1.0,4.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,
27,360736,2012-03-04 16:10:00,"White Hart Lane, London",36034,Home,Tottenham Hotspur,Manchester United,1,3,L,0,1,0,0,2.0,52.0,,2.0,48.0,17.0,9.0,7.0,,149.0,7.0,12.0,1.0,13.0,,6.0,146.0,154.0,41.0,18.0,2.0,9.0,2.0,1.0,,2.0,2.0,23.0,5.0,,3.0,12.0,6.0,28.0,55.0,221.0,1.0,,1.0,0.0,146.0,10.0,,,62.0,73.0,7.0,77.0,2.0,17.0,8.0,2.0,148.0,,4.0,138.0,710.0,,8.0,4.0,25.0,18.0,,4.0,5.0,,1.0,,6.0,28.0,70.0,,,7958,5.0,206.0,1.0,7.0,221.0,6.0,41.0,,3.0,,1.0,5.0,,13.0,2.0,2.0,2.0,73.0,420.0,10.0,11.0,80.0,1.0,3.0,,0.0,3.0,3.0,,,0.0,4.0,3.0,52.1,26.0,3.0,3.0,1.0,5.0,4.0,44.0,7.0,510.0,17.0,12.0,21.0,8.0,24.0,5.0,312.0,8.0,27.0,6.0,105.0,23.0,1.0,2.0,13.0,,3.0,19.0,2.0,7.0,,3.0,,2.0,3.0,1.0,,,,,,,1.0,2.0,,1.0,,1.0,5.0,5.0,,2.0,3.0,3.0,,,3.0,2.0,1.0,2.0,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,
