gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,savedObox,attLfGoal,postScoringAtt,attOboxTarget,attMissHighRight,cleanSheet,midfielderGoals,hitWoodwork,bigChanceMissed,sixYardBlock,attCmissHigh,totalOffside,attOboxPost,attPostHigh,attCmissHighRight,attGoalLowRight,accuratePullBack,attCmissRight,attFreekickTotal,shotFastbreak,totalFastbreak,freekickTotal,attMissHighLeft,attFastbreak,attSvLowRight,punches,attGoalLowCentre,attSvHighLeft,attGoalHighLeft,forwardGoals,handBall,subsGoals,attCmissHighLeft,errorLeadToShot,ownGoals,attIboxOwnGoal,secondYellow,attFreekickMiss,attGoalHighRight,attFreekickTarget,clearanceOffLine,attIboxPost,attSvHighRight,attPostLeft,foulThrowIn,goalFastbreak,errorLeadToGoal,attOneOnOne,penaltyWon,attPenGoal,contentiousDecision,goalsConcededObox,attPostRight,attHdPost,attObxdLeft,attLgRight
11,2367647,2023-11-06 20:00:00,"Tottenham Hotspur Stadium, London",61726,Home,Tottenham Hotspur,Chelsea,1,4,L,1,1,2,0,2.0,,41.0,,1.0,,,13.0,21.0,2.0,3.0,5.0,3.0,2.0,119.0,4.0,7.0,1.0,2.0,5.0,5.0,74.0,111.0,55.0,8.0,1.0,7.0,2.0,2.0,6.0,1.0,2.0,,9.0,17.0,21.0,1.0,9.0,21.0,104.0,,0.0,76.0,12.0,,2.0,,3.0,1.0,42.0,37.0,4.0,61.0,3.0,1.0,8.0,13.0,3.0,,1.0,,111.0,1.0,13.0,63.0,515.0,1.0,3.0,2.0,27.0,,12.0,222.0,25.0,3.0,7.0,1.0,6.0,1.0,3.0,1.0,22.0,278.0,37.0,1.0,2.0,93264,2.0,152.0,4.0,1.0,1.0,176.0,9.0,,,9.0,10.0,53.0,1.0,,4.0,1.0,12.0,4.0,8.0,,35.0,252.0,20.0,16.0,1.0,18.0,,40.0,,0.0,4.0,6.0,3.0,1.0,4.0,1.0,2.0,3.0,,,1.0,38.7,18.0,1.0,,,1.0,4.0,2.0,17.0,1.0,1.0,1.0,317.0,1.0,12.0,4.0,10.0,1.0,16.0,1.0,1.0,150.0,4.0,8.0,4.0,53.0,12.0,1.0,7.0,24.0,,4.0,6.0,5.0,21.0,3.0,1.0,9.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,,,3.0,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
12,2367657,2023-11-11 12:30:00,"Molineux Stadium, Wolverhampton",31642,Away,Tottenham Hotspur,Wolverhampton Wanderers,1,2,L,1,0,0,0,1.0,1.0,57.0,1.0,1.0,,,17.0,27.0,3.0,3.0,3.0,2.0,,198.0,2.0,9.0,1.0,,6.0,2.0,176.0,130.0,56.0,6.0,1.0,10.0,,1.0,,1.0,,,11.0,11.0,27.0,3.0,4.0,20.0,241.0,,0.0,130.0,15.0,,2.0,,1.0,2.0,77.0,87.0,4.0,102.0,1.0,2.0,8.0,19.0,3.0,,,1.0,130.0,1.0,10.0,152.0,827.0,,4.0,1.0,14.0,,7.0,522.0,28.0,,17.0,1.0,,3.0,7.0,2.0,16.0,594.0,53.0,,,93264,1.0,312.0,7.0,,,347.0,12.0,,,4.0,9.0,69.0,,,7.0,1.0,16.0,7.0,6.0,,33.0,551.0,19.0,21.0,1.0,3.0,1.0,67.0,,0.0,2.0,11.0,2.0,1.0,2.0,,0.0,1.0,1.0,,1.0,58.5,15.0,1.0,3.0,,,8.0,2.0,54.0,3.0,,2.0,628.0,,7.0,16.0,9.0,2.0,14.0,1.0,1.0,292.0,2.0,4.0,9.0,106.0,18.0,4.0,17.0,19.0,,2.0,5.0,3.0,16.0,3.0,4.0,4.0,3.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2367667,2023-11-26 14:00:00,"Tottenham Hotspur Stadium, London",61679,Home,Tottenham Hotspur,Aston Villa,1,2,L,1,1,0,0,2.0,,60.0,,,1.0,1.0,22.0,8.0,2.0,7.0,16.0,3.0,5.0,200.0,7.0,12.0,1.0,4.0,16.0,8.0,157.0,113.0,54.0,18.0,1.0,9.0,6.0,1.0,2.0,,2.0,1.0,22.0,12.0,8.0,6.0,8.0,25.0,286.0,,0.0,178.0,11.0,,3.0,1.0,3.0,1.0,90.0,62.0,8.0,124.0,,1.0,16.0,8.0,2.0,1.0,4.0,,113.0,4.0,9.0,152.0,819.0,,13.0,3.0,51.0,,9.0,549.0,14.0,2.0,2.0,1.0,2.0,0.0,2.0,8.0,14.0,609.0,61.0,4.0,,93264,7.0,292.0,9.0,1.0,,308.0,10.0,,2.0,5.0,6.0,49.0,4.0,,6.0,,10.0,6.0,5.0,5.0,40.0,571.0,12.0,11.0,2.0,8.0,4.0,61.0,1.0,0.0,2.0,3.0,,1.0,2.0,1.0,0.0,4.0,1.0,,4.0,62.0,14.0,4.0,7.0,4.0,1.0,6.0,1.0,49.0,9.0,,1.0,633.0,,9.0,5.0,17.0,9.0,37.0,3.0,7.0,347.0,7.0,7.0,9.0,141.0,33.0,3.0,2.0,21.0,,2.0,13.0,3.0,25.0,3.0,3.0,5.0,9.0,3.0,1.0,2.0,1.0,,,1.0,2.0,4.0,,2.0,5.0,,,,,1.0,,,2.0,2.0,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,
14,2367674,2023-12-03 16:30:00,"Etihad Stadium, Manchester",53473,Away,Tottenham Hotspur,Manchester City,3,3,D,1,2,0,0,,1.0,50.0,1.0,,,,9.0,34.0,5.0,2.0,3.0,2.0,1.0,147.0,4.0,5.0,3.0,1.0,7.0,4.0,121.0,113.0,38.0,8.0,3.0,9.0,,2.0,,3.0,1.0,1.0,14.0,6.0,34.0,5.0,2.0,14.0,103.0,1.0,0.0,73.0,14.0,1.0,2.0,,1.0,,29.0,39.0,6.0,73.0,,,9.0,29.0,5.0,,1.0,,113.0,1.0,16.0,131.0,654.0,,3.0,2.0,18.0,,4.0,373.0,27.0,1.0,21.0,3.0,,4.0,4.0,1.0,16.0,440.0,26.0,,,85971,1.0,303.0,7.0,,,338.0,9.0,1.0,,13.0,10.0,38.0,,,5.0,3.0,22.0,2.0,8.0,,30.0,402.0,13.0,9.0,1.0,15.0,2.0,37.0,,0.0,1.0,10.0,1.0,2.0,3.0,,0.0,2.0,1.0,1.0,1.0,45.0,15.0,,4.0,,,5.0,3.0,22.0,8.0,,,472.0,,4.0,1.0,10.0,1.0,12.0,2.0,1.0,148.0,5.0,2.0,8.0,52.0,13.0,3.0,21.0,13.0,1.0,3.0,6.0,4.0,11.0,2.0,3.0,13.0,8.0,1.0,1.0,,1.0,,,2.0,,,,,2.0,,,,,,,,2.0,3.0,,,2.0,,,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
15,2367685,2023-12-07 20:15:00,"Tottenham Hotspur Stadium, London",60733,Home,Tottenham Hotspur,West Ham United,1,2,L,1,0,0,0,3.0,,62.0,,2.0,1.0,1.0,14.0,12.0,7.0,7.0,16.0,3.0,3.0,225.0,5.0,8.0,1.0,4.0,19.0,7.0,219.0,130.0,47.0,23.0,4.0,8.0,5.0,4.0,,,4.0,3.0,28.0,13.0,12.0,7.0,10.0,23.0,478.0,,0.0,367.0,11.0,,2.0,,2.0,1.0,85.0,124.0,10.0,131.0,,1.0,21.0,18.0,7.0,,3.0,2.0,130.0,1.0,7.0,209.0,988.0,,15.0,2.0,59.0,,10.0,693.0,16.0,2.0,4.0,1.0,,3.0,2.0,9.0,14.0,760.0,83.0,3.0,,85971,8.0,244.0,16.0,1.0,,255.0,10.0,,1.0,7.0,5.0,45.0,7.0,1.0,4.0,,15.0,4.0,5.0,3.0,21.0,717.0,10.0,4.0,3.0,5.0,6.0,36.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,,0.0,2.0,1.0,,4.0,75.0,14.0,3.0,7.0,2.0,1.0,4.0,6.0,31.0,8.0,,1.0,784.0,,10.0,15.0,16.0,10.0,64.0,3.0,8.0,557.0,12.0,9.0,11.0,317.0,35.0,1.0,4.0,18.0,1.0,2.0,15.0,5.0,16.0,3.0,1.0,7.0,8.0,1.0,,,1.0,3.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
16,2367696,2023-12-10 16:30:00,"Tottenham Hotspur Stadium, London",61171,Home,Tottenham Hotspur,Newcastle United,4,1,W,2,0,0,0,1.0,4.0,61.0,3.0,2.0,,,21.0,13.0,5.0,6.0,18.0,2.0,5.0,172.0,5.0,16.0,4.0,1.0,20.0,12.0,145.0,132.0,71.0,23.0,1.0,3.0,5.0,5.0,,3.0,2.0,3.0,19.0,22.0,13.0,3.0,8.0,40.0,261.0,,0.0,154.0,10.0,,1.0,4.0,,,51.0,79.0,13.0,79.0,2.0,2.0,16.0,26.0,5.0,,4.0,1.0,132.0,6.0,6.0,140.0,759.0,,15.0,3.0,46.0,2.0,10.0,440.0,21.0,2.0,9.0,3.0,,1.0,2.0,7.0,21.0,515.0,57.0,4.0,,85971,8.0,204.0,12.0,,,232.0,10.0,1.0,2.0,10.0,5.0,48.0,4.0,1.0,7.0,3.0,12.0,3.0,5.0,1.0,38.0,460.0,12.0,8.0,2.0,11.0,2.0,52.0,1.0,0.0,1.0,6.0,2.0,4.0,1.0,3.0,0.0,3.0,3.0,,2.0,56.2,20.0,,4.0,2.0,,7.0,3.0,35.0,3.0,,,536.0,,10.0,17.0,23.0,8.0,23.0,2.0,5.0,323.0,15.0,7.0,13.0,122.0,29.0,1.0,9.0,31.0,,1.0,20.0,5.0,26.0,,1.0,10.0,3.0,,3.0,2.0,3.0,,,1.0,2.0,3.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,2.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,2.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,,
17,2367706,2023-12-15 20:00:00,"The City Ground, Nottingham",29296,Away,Tottenham Hotspur,Nottingham Forest,2,0,W,1,0,1,0,1.0,1.0,52.0,,3.0,,,26.0,27.0,1.0,2.0,11.0,1.0,3.0,170.0,4.0,7.0,2.0,2.0,10.0,6.0,150.0,124.0,59.0,12.0,1.0,13.0,4.0,1.0,,1.0,2.0,,16.0,11.0,27.0,2.0,11.0,19.0,255.0,,0.0,144.0,11.0,,,,1.0,,81.0,75.0,8.0,77.0,1.0,1.0,14.0,17.0,1.0,,7.0,,124.0,2.0,10.0,150.0,749.0,,7.0,2.0,23.0,,5.0,458.0,24.0,2.0,20.0,1.0,,4.0,5.0,2.0,15.0,516.0,62.0,1.0,,93264,6.0,235.0,6.0,,,259.0,11.0,1.0,1.0,6.0,8.0,56.0,3.0,,3.0,2.0,17.0,5.0,8.0,1.0,43.0,486.0,15.0,4.0,2.0,12.0,1.0,67.0,,0.0,4.0,6.0,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,3.0,67.3,14.0,2.0,5.0,1.0,1.0,3.0,4.0,52.0,4.0,,,547.0,,5.0,18.0,12.0,2.0,25.0,1.0,2.0,304.0,7.0,11.0,18.0,118.0,19.0,2.0,20.0,19.0,1.0,,11.0,4.0,18.0,,2.0,6.0,4.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
18,2367715,2023-12-23 15:00:00,"Tottenham Hotspur Stadium, London",61808,Home,Tottenham Hotspur,Everton,2,1,W,2,0,0,0,1.0,1.0,64.0,1.0,2.0,,,18.0,21.0,4.0,4.0,9.0,7.0,3.0,202.0,3.0,10.0,2.0,,11.0,6.0,149.0,142.0,55.0,13.0,,13.0,2.0,2.0,3.0,1.0,1.0,2.0,8.0,15.0,21.0,2.0,10.0,34.0,141.0,,0.0,95.0,6.0,,5.0,1.0,,3.0,53.0,45.0,6.0,81.0,1.0,2.0,6.0,21.0,4.0,,,2.0,142.0,2.0,16.0,151.0,804.0,,10.0,3.0,24.0,,12.0,457.0,28.0,1.0,13.0,1.0,3.0,1.0,4.0,5.0,20.0,545.0,47.0,,,93264,5.0,350.0,6.0,,,393.0,4.0,2.0,1.0,9.0,11.0,44.0,,,12.0,1.0,19.0,2.0,8.0,1.0,46.0,488.0,17.0,8.0,,11.0,2.0,59.0,,0.0,3.0,8.0,6.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,61.2,19.0,1.0,6.0,1.0,1.0,12.0,2.0,35.0,3.0,,3.0,583.0,,12.0,7.0,14.0,5.0,20.0,,3.0,198.0,8.0,9.0,5.0,59.0,13.0,2.0,13.0,23.0,,1.0,11.0,3.0,20.0,,2.0,9.0,3.0,1.0,,,2.0,,,1.0,,1.0,,1.0,2.0,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,2367721,2023-12-28 19:30:00,"American Express Stadium, Falmer",31675,Away,Tottenham Hotspur,Brighton and Hove Albion,2,4,L,0,2,0,0,,2.0,72.0,1.0,5.0,1.0,,19.0,12.0,5.0,5.0,14.0,5.0,1.0,197.0,6.0,13.0,2.0,3.0,16.0,3.0,125.0,139.0,55.0,19.0,3.0,8.0,1.0,1.0,,1.0,1.0,1.0,26.0,8.0,12.0,4.0,14.0,25.0,233.0,,0.0,179.0,6.0,,4.0,,1.0,,71.0,66.0,8.0,97.0,,3.0,22.0,15.0,5.0,,3.0,2.0,139.0,2.0,13.0,118.0,754.0,,13.0,1.0,60.0,,11.0,430.0,20.0,2.0,5.0,2.0,,2.0,2.0,8.0,22.0,508.0,66.0,,,93264,6.0,229.0,18.0,,2.0,254.0,6.0,1.0,3.0,6.0,5.0,36.0,1.0,1.0,7.0,1.0,14.0,2.0,5.0,1.0,37.0,456.0,18.0,6.0,1.0,8.0,2.0,44.0,,0.0,3.0,7.0,5.0,2.0,4.0,,0.0,5.0,2.0,1.0,3.0,54.8,22.0,2.0,17.0,3.0,,7.0,8.0,24.0,6.0,2.0,,537.0,2.0,11.0,10.0,8.0,8.0,45.0,1.0,5.0,309.0,11.0,13.0,8.0,134.0,28.0,,5.0,16.0,1.0,3.0,16.0,3.0,19.0,,,6.0,6.0,,,1.0,,,,,2.0,2.0,1.0,,5.0,,,,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,
20,2367735,2023-12-31 14:00:00,"Tottenham Hotspur Stadium, London",61780,Home,Tottenham Hotspur,Bournemouth,3,1,W,1,0,0,0,1.0,1.0,54.0,1.0,1.0,,,18.0,23.0,2.0,3.0,10.0,3.0,2.0,154.0,2.0,8.0,3.0,1.0,9.0,6.0,117.0,138.0,58.0,12.0,1.0,21.0,2.0,,,3.0,1.0,,12.0,11.0,23.0,3.0,7.0,20.0,145.0,,0.0,97.0,9.0,,1.0,1.0,1.0,,39.0,40.0,5.0,62.0,1.0,1.0,9.0,15.0,2.0,,3.0,,138.0,3.0,16.0,103.0,657.0,,5.0,6.0,36.0,,7.0,326.0,28.0,6.0,7.0,3.0,,3.0,11.0,4.0,14.0,400.0,39.0,4.0,,93264,6.0,212.0,5.0,,,252.0,9.0,2.0,1.0,8.0,13.0,57.0,5.0,,7.0,3.0,23.0,8.0,9.0,1.0,47.0,355.0,18.0,8.0,1.0,23.0,1.0,49.0,,0.0,1.0,13.0,2.0,3.0,1.0,4.0,0.0,1.0,2.0,,2.0,50.8,14.0,1.0,2.0,3.0,,7.0,2.0,29.0,4.0,,,436.0,,7.0,11.0,9.0,4.0,19.0,1.0,3.0,196.0,7.0,6.0,9.0,70.0,13.0,2.0,7.0,23.0,,1.0,11.0,5.0,16.0,,2.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,4.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
21,2367745,2024-01-14 16:30:00,"Old Trafford, Manchester",73489,Away,Tottenham Hotspur,Manchester United,2,2,D,1,2,0,0,,,56.0,,3.0,1.0,1.0,22.0,14.0,4.0,3.0,12.0,,3.0,173.0,8.0,6.0,2.0,2.0,13.0,6.0,161.0,131.0,44.0,16.0,1.0,7.0,3.0,2.0,,1.0,1.0,2.0,36.0,12.0,14.0,12.0,6.0,20.0,229.0,,0.0,115.0,5.0,1.0,,1.0,1.0,2.0,70.0,77.0,9.0,99.0,1.0,1.0,24.0,26.0,4.0,1.0,5.0,2.0,131.0,1.0,6.0,122.0,780.0,,8.0,5.0,33.0,1.0,13.0,477.0,21.0,,7.0,2.0,,1.0,3.0,4.0,19.0,533.0,50.0,1.0,,519321,2.0,276.0,18.0,,,292.0,3.0,,,14.0,9.0,48.0,2.0,,10.0,1.0,17.0,3.0,9.0,1.0,33.0,497.0,8.0,15.0,3.0,2.0,7.0,74.0,1.0,0.0,2.0,8.0,,2.0,2.0,1.0,0.0,4.0,2.0,3.0,5.0,63.7,18.0,1.0,6.0,4.0,,10.0,4.0,57.0,13.0,,2.0,555.0,,13.0,11.0,9.0,6.0,34.0,4.0,3.0,299.0,8.0,6.0,9.0,91.0,19.0,2.0,7.0,22.0,1.0,2.0,9.0,3.0,16.0,,2.0,14.0,13.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,4.0,,1.0,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
22,2367753,2024-01-31 19:30:00,"Tottenham Hotspur Stadium, London",61210,Home,Tottenham Hotspur,Brentford,3,2,W,0,1,0,0,1.0,3.0,58.0,,6.0,,,11.0,29.0,5.0,7.0,14.0,3.0,1.0,208.0,,8.0,3.0,1.0,13.0,5.0,153.0,153.0,54.0,19.0,1.0,20.0,1.0,3.0,,1.0,1.0,1.0,18.0,15.0,29.0,4.0,9.0,20.0,385.0,,0.0,283.0,13.0,3.0,1.0,1.0,,1.0,97.0,84.0,9.0,112.0,,2.0,14.0,23.0,5.0,,5.0,3.0,153.0,1.0,8.0,145.0,849.0,,12.0,1.0,45.0,,9.0,506.0,25.0,2.0,17.0,1.0,,2.0,1.0,4.0,15.0,589.0,80.0,1.0,,513588,6.0,146.0,9.0,,,170.0,13.0,1.0,,10.0,7.0,57.0,2.0,1.0,4.0,3.0,23.0,1.0,5.0,1.0,27.0,531.0,14.0,5.0,,12.0,1.0,57.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,,0.0,,1.0,1.0,1.0,68.2,12.0,1.0,8.0,2.0,,4.0,7.0,39.0,5.0,,1.0,618.0,,9.0,11.0,9.0,7.0,32.0,,4.0,466.0,11.0,9.0,9.0,237.0,20.0,4.0,17.0,23.0,,2.0,18.0,4.0,16.0,,4.0,10.0,5.0,,2.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,,2.0,,2.0,3.0,,1.0,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,
23,2367764,2024-02-03 12:30:00,"Goodison Park, Liverpool",39321,Away,Tottenham Hotspur,Everton,2,2,D,2,1,0,0,2.0,1.0,67.0,,1.0,,,13.0,28.0,5.0,5.0,4.0,2.0,2.0,195.0,1.0,9.0,2.0,,7.0,6.0,110.0,171.0,52.0,9.0,,22.0,1.0,1.0,,2.0,,,11.0,13.0,28.0,3.0,10.0,29.0,147.0,1.0,0.0,102.0,14.0,,2.0,,,3.0,54.0,70.0,6.0,83.0,1.0,,8.0,19.0,5.0,1.0,5.0,1.0,171.0,1.0,8.0,107.0,719.0,,5.0,7.0,18.0,,11.0,364.0,29.0,1.0,13.0,2.0,,0.0,3.0,1.0,30.0,469.0,41.0,,,493125,2.0,239.0,3.0,,,290.0,13.0,1.0,3.0,7.0,8.0,69.0,,,10.0,2.0,20.0,6.0,8.0,,36.0,385.0,8.0,8.0,,13.0,2.0,56.0,,0.0,,9.0,3.0,1.0,2.0,2.0,0.0,,2.0,3.0,,57.4,25.0,,6.0,1.0,1.0,10.0,1.0,33.0,5.0,,3.0,495.0,,11.0,11.0,10.0,2.0,15.0,1.0,1.0,216.0,4.0,10.0,13.0,70.0,22.0,7.0,13.0,22.0,,2.0,7.0,5.0,23.0,2.0,7.0,7.0,5.0,,1.0,,3.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,1.0,,2.0,1.0,,,,2.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
24,2367775,2024-02-10 15:00:00,"Tottenham Hotspur Stadium, London",61445,Home,Tottenham Hotspur,Brighton and Hove Albion,2,1,W,0,1,0,0,1.0,2.0,58.0,,3.0,,,14.0,21.0,6.0,4.0,10.0,2.0,3.0,176.0,2.0,11.0,2.0,3.0,10.0,6.0,130.0,129.0,44.0,16.0,3.0,3.0,3.0,1.0,,1.0,3.0,1.0,20.0,3.0,21.0,6.0,7.0,19.0,233.0,,0.0,165.0,14.0,3.0,2.0,1.0,,,74.0,52.0,7.0,83.0,1.0,2.0,14.0,21.0,6.0,1.0,2.0,2.0,129.0,3.0,5.0,138.0,714.0,,9.0,4.0,31.0,,15.0,423.0,19.0,3.0,12.0,1.0,,2.0,2.0,3.0,21.0,502.0,53.0,2.0,,85971,6.0,216.0,12.0,,1.0,238.0,14.0,1.0,,7.0,2.0,41.0,5.0,,2.0,2.0,10.0,1.0,2.0,1.0,23.0,447.0,13.0,8.0,,6.0,1.0,43.0,1.0,0.0,,6.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,,52.5,20.0,,8.0,1.0,,2.0,6.0,32.0,9.0,1.0,,527.0,1.0,15.0,10.0,8.0,4.0,37.0,,2.0,309.0,12.0,5.0,10.0,124.0,29.0,1.0,12.0,10.0,,1.0,14.0,5.0,17.0,,1.0,7.0,9.0,,1.0,,1.0,,,1.0,,2.0,,,4.0,,,,,,2.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
25,2367787,2024-02-17 15:00:00,"Tottenham Hotspur Stadium, London",61532,Home,Tottenham Hotspur,Wolverhampton Wanderers,1,2,L,0,1,0,0,1.0,1.0,55.0,,4.0,,,10.0,7.0,5.0,6.0,10.0,5.0,1.0,248.0,5.0,11.0,1.0,3.0,12.0,4.0,184.0,149.0,60.0,15.0,,8.0,1.0,,1.0,,,1.0,35.0,13.0,7.0,9.0,9.0,17.0,437.0,,0.0,336.0,8.0,,3.0,2.0,2.0,,115.0,144.0,6.0,119.0,2.0,3.0,26.0,23.0,5.0,,8.0,3.0,149.0,1.0,9.0,197.0,962.0,,10.0,3.0,53.0,1.0,14.0,640.0,18.0,1.0,2.0,,1.0,0.0,1.0,6.0,21.0,723.0,80.0,,1.0,85971,5.0,232.0,16.0,2.0,,251.0,8.0,,1.0,8.0,8.0,39.0,1.0,,4.0,1.0,16.0,3.0,8.0,1.0,17.0,664.0,13.0,7.0,2.0,5.0,2.0,63.0,,0.0,1.0,4.0,3.0,1.0,2.0,1.0,0.0,4.0,,2.0,4.0,71.2,20.0,2.0,13.0,,,4.0,4.0,55.0,10.0,,,748.0,,14.0,11.0,10.0,7.0,59.0,1.0,4.0,532.0,5.0,7.0,13.0,279.0,20.0,2.0,2.0,23.0,,2.0,11.0,5.0,16.0,,2.0,8.0,10.0,2.0,1.0,,2.0,,,1.0,,1.0,3.0,,1.0,,,,,1.0,,,,,,2.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
