gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attFreekickTotal,attSvLowCentre,attMissLeft,attOboxTarget,attOboxGoal,interceptionsInBox,freekickTotal,attOboxMiss,bigChanceMissed,attCmissHigh,attCmissLeft,attFreekickTarget,attSvHighCentre,clearanceOffLine,accurateCornersIntobox,attGoalLowLeft,attGoalLowRight,attLfGoal,accuratePullBack,attCmissRight,penaltyWon,ptsGainedLosingPos,midfielderGoals,attMissRight,contentiousDecision,attMissHighLeft,attObxdLeft,attPenGoal,accurateFlickOn,shieldBallOop,shotFastbreak,attBxRight,postScoringAtt,cleanSheet,totalFastbreak,attPostLeft,attHdTarget,hitWoodwork,attFastbreak,attSvLowRight,attOboxPost,attMissHighRight,totalOffside,errorLeadToShot,goalFastbreak,attGoalHighCentre,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,defenderGoals,foulThrowIn,attHdGoal,attCmissHighRight,accurateKeeperSweeper,attSvHighLeft,totalKeeperSweeper,attFreekickMiss,attGoalHighLeft,attFreekickGoal,attGoalLowCentre,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attIboxPost,attPostHigh,attObxLeft,attHdPost,attPostRight,ownGoals,attIboxOwnGoal,attSvHighRight,errorLeadToGoal
11,2210379,2021-11-05 20:00:00,"St. Mary's Stadium, Southampton",30178.0,Home,Southampton,Aston Villa,1,0,W,1,0,0,0,,,,21.0,60.0,2.0,1.0,20.0,26.0,4.0,2.0,5.0,3.0,157.0,12.0,6.0,12.0,1.0,1.0,7.0,3.0,111.0,149.0,58.0,9.0,1.0,24.0,1.0,,24.0,11.0,,26.0,8.0,5.0,38.0,,166.0,0.0,109.0,12.0,1.0,,2.0,,63.0,42.0,4.0,60.0,16.0,12.0,4.0,2.0,149.0,,8.0,103.0,648.0,5.0,3.0,24.0,14.0,333.0,29.0,2.0,14.0,,2.0,4.0,3.0,19.0,404.0,35.0,,1.0,96787,4.0,187.0,12.0,,1.0,220.0,3.0,,2.0,12.0,9.0,67.0,,2.0,1.0,21.0,6.0,4.0,3.0,56.0,347.0,12.0,9.0,2.0,20.0,3.0,58.0,1.0,0.0,1.0,8.0,1.0,,,0.0,4.0,,3.0,56.4,16.0,1.0,,,2.0,2.0,30.0,10.0,,431.0,14.0,15.0,17.0,4.0,35.0,3.0,235.0,4.0,4.0,20.0,82.0,26.0,1.0,2.0,14.0,14.0,,5.0,3.0,19.0,,2.0,8.0,10.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12,2210387,2021-11-20 15:00:00,"Carrow Road, Norwich",26885.0,Away,Southampton,Norwich City,1,2,L,1,1,0,0,,3.0,,23.0,82.0,1.0,4.0,31.0,14.0,9.0,6.0,8.0,2.0,188.0,12.0,7.0,19.0,1.0,1.0,13.0,5.0,154.0,156.0,61.0,17.0,4.0,23.0,2.0,1.0,26.0,8.0,,14.0,7.0,6.0,51.0,,263.0,0.0,173.0,9.0,1.0,1.0,1.0,,76.0,57.0,11.0,77.0,19.0,10.0,9.0,7.0,156.0,,5.0,149.0,772.0,11.0,3.0,38.0,14.0,460.0,33.0,1.0,9.0,1.0,2.0,2.0,2.0,13.0,554.0,71.0,,,96787,7.0,215.0,11.0,1.0,,248.0,6.0,1.0,2.0,10.0,4.0,52.0,1.0,7.0,1.0,19.0,3.0,1.0,,60.0,471.0,8.0,4.0,1.0,13.0,,77.0,,0.0,2.0,5.0,1.0,1.0,2.0,0.0,4.0,,1.0,63.0,11.0,1.0,5.0,1.0,7.0,8.0,46.0,7.0,,568.0,14.0,8.0,26.0,4.0,39.0,1.0,346.0,10.0,6.0,24.0,134.0,36.0,1.0,2.0,9.0,10.0,2.0,17.0,3.0,27.0,3.0,2.0,2.0,7.0,1.0,,2.0,3.0,2.0,,1.0,,3.0,,,3.0,,1.0,,3.0,,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2210398,2021-11-27 15:00:00,"Anfield, Liverpool",53040.0,Away,Southampton,Liverpool,0,4,L,0,3,0,0,,,,27.0,69.0,2.0,3.0,23.0,30.0,,2.0,7.0,2.0,167.0,14.0,3.0,7.0,,1.0,4.0,3.0,70.0,160.0,50.0,7.0,,14.0,3.0,,14.0,6.0,,30.0,7.0,1.0,31.0,,101.0,0.0,102.0,14.0,1.0,2.0,,,56.0,28.0,3.0,49.0,7.0,14.0,,2.0,160.0,1.0,15.0,52.0,523.0,3.0,8.0,18.0,13.0,215.0,31.0,4.0,17.0,,1.0,5.0,1.0,17.0,309.0,63.0,1.0,,83283,3.0,133.0,5.0,1.0,,144.0,8.0,,,14.0,13.0,49.0,3.0,1.0,,16.0,5.0,6.0,,77.0,231.0,7.0,8.0,1.0,28.0,1.0,77.0,1.0,0.0,2.0,5.0,,,4.0,0.0,2.0,,1.0,35.5,8.0,1.0,6.0,1.0,1.0,3.0,27.0,7.0,,338.0,13.0,2.0,10.0,1.0,32.0,1.0,208.0,4.0,1.0,20.0,43.0,27.0,,1.0,17.0,16.0,4.0,6.0,3.0,18.0,,1.0,10.0,7.0,3.0,,1.0,1.0,,,3.0,,,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2210409,2021-12-01 19:30:00,"St. Mary's Stadium, Southampton",26951.0,Home,Southampton,Leicester City,2,2,D,2,1,0,0,,3.0,2.0,37.0,73.0,1.0,4.0,22.0,17.0,4.0,4.0,11.0,4.0,166.0,22.0,5.0,14.0,2.0,2.0,13.0,7.0,66.0,159.0,60.0,15.0,,35.0,3.0,,15.0,8.0,,17.0,,1.0,38.0,,143.0,0.0,128.0,14.0,4.0,,1.0,2.0,58.0,51.0,10.0,49.0,15.0,15.0,4.0,2.0,159.0,2.0,9.0,75.0,542.0,11.0,10.0,28.0,15.0,227.0,26.0,6.0,11.0,1.0,1.0,3.0,3.0,21.0,329.0,59.0,,1.0,96787,6.0,106.0,12.0,,2.0,127.0,8.0,1.0,,15.0,7.0,72.0,1.0,2.0,,16.0,6.0,1.0,,61.0,244.0,11.0,12.0,1.0,25.0,4.0,75.0,,0.0,1.0,4.0,3.0,2.0,2.0,0.0,5.0,1.0,4.0,44.5,13.0,2.0,7.0,1.0,2.0,4.0,36.0,2.0,2.0,356.0,15.0,7.0,16.0,4.0,33.0,2.0,244.0,7.0,1.0,23.0,72.0,34.0,1.0,,11.0,12.0,2.0,9.0,3.0,18.0,2.0,,7.0,2.0,1.0,,4.0,1.0,2.0,,2.0,,2.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,2.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
15,2210416,2021-12-04 15:00:00,"St. Mary's Stadium, Southampton",28706.0,Home,Southampton,Brighton and Hove Albion,1,1,D,1,0,0,0,,,1.0,20.0,71.0,2.0,2.0,16.0,16.0,3.0,2.0,10.0,3.0,152.0,7.0,3.0,12.0,1.0,2.0,10.0,4.0,65.0,169.0,55.0,14.0,2.0,17.0,3.0,1.0,18.0,9.0,,16.0,5.0,,32.0,,140.0,0.0,140.0,15.0,2.0,,,,67.0,47.0,7.0,32.0,13.0,21.0,4.0,7.0,169.0,2.0,7.0,65.0,518.0,9.0,10.0,34.0,7.0,192.0,33.0,8.0,4.0,1.0,4.0,5.0,3.0,20.0,294.0,51.0,,,96787,6.0,68.0,6.0,,,100.0,4.0,1.0,,21.0,6.0,59.0,,6.0,1.0,18.0,7.0,5.0,3.0,49.0,205.0,12.0,6.0,,29.0,4.0,53.0,,0.0,,2.0,1.0,1.0,1.0,0.0,3.0,,,44.4,14.0,,7.0,,6.0,4.0,17.0,6.0,,314.0,7.0,13.0,13.0,6.0,32.0,4.0,232.0,12.0,,19.0,94.0,25.0,1.0,1.0,4.0,12.0,1.0,9.0,2.0,20.0,2.0,1.0,11.0,6.0,3.0,1.0,3.0,2.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,3.0,,2.0,3.0,,,2.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,2210421,2021-12-11 15:00:00,"Emirates Stadium, London",59653.0,Away,Southampton,Arsenal,0,3,L,0,2,0,0,1.0,3.0,,19.0,55.0,,,25.0,24.0,7.0,4.0,4.0,2.0,129.0,14.0,2.0,2.0,,3.0,7.0,6.0,62.0,138.0,41.0,11.0,3.0,21.0,3.0,,13.0,4.0,,24.0,6.0,1.0,27.0,,107.0,0.0,78.0,9.0,1.0,2.0,1.0,1.0,46.0,45.0,6.0,55.0,7.0,16.0,7.0,1.0,138.0,,11.0,74.0,487.0,6.0,9.0,15.0,8.0,227.0,23.0,4.0,9.0,,0.0,3.0,1.0,20.0,302.0,45.0,,1.0,96787,1.0,132.0,5.0,,,158.0,3.0,,,16.0,8.0,42.0,,,,24.0,4.0,2.0,2.0,64.0,237.0,5.0,5.0,1.0,30.0,2.0,71.0,1.0,0.0,1.0,9.0,2.0,,3.0,0.0,1.0,,1.0,38.7,11.0,1.0,5.0,3.0,,3.0,32.0,8.0,1.0,320.0,8.0,5.0,14.0,2.0,21.0,1.0,175.0,6.0,1.0,22.0,48.0,26.0,,1.0,9.0,12.0,3.0,6.0,2.0,5.0,,1.0,11.0,8.0,3.0,3.0,,,3.0,,,3.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,3.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
17,2210435,2021-12-15 19:30:00,"Selhurst Park, London",22861.0,Away,Southampton,Crystal Palace,2,2,D,2,1,0,0,,,,24.0,72.0,,2.0,23.0,24.0,9.0,4.0,6.0,4.0,136.0,15.0,5.0,7.0,2.0,5.0,9.0,4.0,57.0,170.0,67.0,15.0,2.0,24.0,2.0,1.0,19.0,20.0,,24.0,6.0,,30.0,,107.0,0.0,104.0,20.0,3.0,,5.0,,38.0,34.0,5.0,41.0,13.0,16.0,9.0,3.0,170.0,,9.0,65.0,529.0,3.0,8.0,27.0,11.0,179.0,33.0,8.0,10.0,1.0,4.0,1.0,4.0,23.0,278.0,48.0,,2.0,96787,4.0,91.0,5.0,1.0,4.0,119.0,10.0,2.0,1.0,16.0,5.0,75.0,1.0,,1.0,18.0,,4.0,2.0,56.0,193.0,14.0,11.0,5.0,26.0,4.0,57.0,,0.0,1.0,4.0,4.0,,2.0,0.0,3.0,,4.0,40.3,15.0,1.0,5.0,1.0,,4.0,25.0,6.0,,299.0,11.0,16.0,12.0,7.0,27.0,2.0,199.0,7.0,,22.0,54.0,32.0,1.0,3.0,10.0,24.0,2.0,5.0,3.0,11.0,2.0,3.0,6.0,6.0,,1.0,,2.0,,2.0,,1.0,5.0,,1.0,,,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,3.0,,,,,2.0,,1.0,1.0,,,1.0,,2.0,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
18,2210446,2022-01-11 19:45:00,"St. Mary's Stadium, Southampton",27383.0,Home,Southampton,Brentford,4,1,W,2,1,0,0,,,3.0,28.0,66.0,1.0,,15.0,20.0,4.0,1.0,8.0,3.0,169.0,20.0,3.0,8.0,4.0,1.0,9.0,6.0,73.0,160.0,49.0,12.0,2.0,20.0,3.0,2.0,19.0,8.0,,20.0,5.0,2.0,36.0,1.0,194.0,0.0,130.0,9.0,2.0,1.0,1.0,2.0,74.0,59.0,8.0,80.0,14.0,23.0,4.0,2.0,160.0,3.0,4.0,85.0,598.0,5.0,7.0,17.0,16.0,293.0,25.0,3.0,8.0,3.0,0.0,1.0,1.0,16.0,386.0,65.0,1.0,,91047,4.0,113.0,11.0,,,142.0,5.0,2.0,2.0,23.0,8.0,54.0,1.0,1.0,2.0,15.0,1.0,2.0,2.0,60.0,304.0,8.0,10.0,1.0,26.0,3.0,77.0,,0.0,3.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,48.9,8.0,,5.0,3.0,1.0,2.0,38.0,5.0,2.0,407.0,16.0,10.0,16.0,4.0,24.0,2.0,284.0,9.0,2.0,17.0,84.0,32.0,1.0,,8.0,16.0,1.0,9.0,3.0,13.0,,,13.0,5.0,2.0,,1.0,1.0,,,3.0,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,3.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,2.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,
19,2210459,2021-12-26 15:00:00,"London Stadium, London",41027.0,Away,Southampton,West Ham United,3,2,W,1,0,0,0,,1.0,1.0,30.0,54.0,1.0,1.0,20.0,37.0,5.0,3.0,5.0,2.0,146.0,18.0,3.0,9.0,3.0,1.0,9.0,6.0,89.0,130.0,59.0,11.0,2.0,19.0,1.0,1.0,8.0,10.0,,37.0,2.0,3.0,27.0,,167.0,0.0,92.0,9.0,1.0,,1.0,,60.0,72.0,7.0,71.0,6.0,12.0,6.0,1.0,130.0,,6.0,72.0,568.0,7.0,8.0,12.0,13.0,272.0,26.0,3.0,22.0,2.0,3.0,4.0,2.0,18.0,346.0,52.0,,1.0,96787,3.0,126.0,4.0,,1.0,149.0,2.0,1.0,,12.0,17.0,49.0,,2.0,1.0,18.0,5.0,9.0,,59.0,290.0,10.0,8.0,,24.0,1.0,73.0,2.0,0.0,,10.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,44.2,14.0,,5.0,1.0,2.0,3.0,32.0,2.0,,378.0,13.0,10.0,13.0,2.0,9.0,1.0,237.0,7.0,3.0,21.0,59.0,16.0,,1.0,22.0,19.0,2.0,8.0,3.0,12.0,,1.0,7.0,2.0,2.0,,2.0,,2.0,1.0,2.0,,1.0,,,,,,1.0,,1.0,2.0,1.0,,,1.0,,2.0,2.0,1.0,,1.0,1.0,4.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
20,2210469,2021-12-28 15:00:00,"St. Mary's Stadium, Southampton",31304.0,Home,Southampton,Tottenham Hotspur,1,1,D,1,1,1,0,,1.0,,28.0,66.0,3.0,1.0,25.0,26.0,5.0,2.0,4.0,10.0,114.0,13.0,2.0,5.0,1.0,1.0,5.0,2.0,56.0,134.0,44.0,9.0,3.0,20.0,,,11.0,4.0,,26.0,3.0,2.0,30.0,,138.0,0.0,110.0,15.0,1.0,1.0,1.0,3.0,60.0,56.0,3.0,45.0,8.0,17.0,5.0,,134.0,,14.0,75.0,461.0,5.0,5.0,9.0,10.0,190.0,22.0,7.0,13.0,,2.0,5.0,2.0,17.0,265.0,58.0,,,96787,2.0,65.0,7.0,,,79.0,8.0,1.0,,17.0,6.0,49.0,1.0,1.0,,13.0,7.0,1.0,,65.0,201.0,3.0,5.0,,22.0,,60.0,,0.0,2.0,7.0,7.0,1.0,1.0,1.0,2.0,,2.0,34.6,8.0,2.0,6.0,1.0,1.0,4.0,22.0,3.0,3.0,290.0,10.0,6.0,11.0,3.0,19.0,2.0,222.0,5.0,2.0,21.0,69.0,26.0,,2.0,13.0,15.0,1.0,7.0,2.0,8.0,2.0,2.0,6.0,3.0,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
21,2210479,2022-03-10 19:30:00,"St. Mary's Stadium, Southampton",31016.0,Home,Southampton,Newcastle United,1,2,L,1,1,0,0,1.0,1.0,1.0,16.0,70.0,2.0,4.0,29.0,13.0,3.0,2.0,11.0,1.0,202.0,5.0,6.0,12.0,1.0,1.0,9.0,5.0,165.0,168.0,53.0,14.0,1.0,20.0,3.0,,29.0,5.0,,13.0,11.0,8.0,45.0,,324.0,0.0,223.0,6.0,,2.0,1.0,1.0,125.0,77.0,6.0,130.0,18.0,17.0,3.0,6.0,168.0,2.0,5.0,151.0,858.0,6.0,10.0,32.0,9.0,533.0,21.0,5.0,2.0,,1.0,4.0,3.0,19.0,633.0,74.0,1.0,,96787,4.0,227.0,11.0,1.0,,248.0,3.0,,2.0,17.0,3.0,54.0,5.0,10.0,1.0,16.0,3.0,2.0,,60.0,545.0,7.0,8.0,3.0,17.0,5.0,73.0,,0.0,1.0,5.0,,1.0,2.0,0.0,3.0,,6.0,67.8,16.0,1.0,7.0,1.0,10.0,5.0,37.0,12.0,2.0,648.0,9.0,12.0,25.0,4.0,41.0,2.0,429.0,6.0,8.0,19.0,171.0,31.0,,3.0,2.0,15.0,2.0,9.0,3.0,21.0,3.0,3.0,8.0,12.0,1.0,,,2.0,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,3.0,,,,,,,,1.0,,,,,,2.0,1.0,1.0,2.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,
22,2210490,2022-01-15 15:00:00,"Molineux Stadium, Wolverhampton",30057.0,Away,Southampton,Wolverhampton Wanderers,1,3,L,0,1,0,0,,1.0,,30.0,66.0,,,15.0,8.0,4.0,1.0,8.0,2.0,158.0,17.0,5.0,10.0,1.0,2.0,9.0,10.0,89.0,157.0,51.0,13.0,,13.0,7.0,,28.0,5.0,1.0,8.0,10.0,5.0,29.0,,191.0,0.0,124.0,14.0,2.0,4.0,1.0,1.0,81.0,48.0,8.0,68.0,18.0,20.0,5.0,4.0,157.0,3.0,8.0,122.0,628.0,8.0,4.0,28.0,9.0,336.0,25.0,3.0,3.0,,3.0,1.0,1.0,29.0,416.0,58.0,1.0,,91047,6.0,168.0,13.0,,1.0,190.0,6.0,1.0,,20.0,3.0,59.0,2.0,2.0,,12.0,1.0,3.0,,37.0,354.0,12.0,9.0,1.0,12.0,2.0,61.0,1.0,0.0,1.0,2.0,2.0,,3.0,0.0,3.0,,4.0,57.3,16.0,,3.0,2.0,2.0,,38.0,10.0,1.0,437.0,9.0,18.0,12.0,3.0,40.0,,275.0,8.0,4.0,19.0,85.0,34.0,,1.0,3.0,10.0,3.0,8.0,3.0,15.0,,1.0,9.0,10.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,3.0,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
23,2210499,2022-01-22 17:30:00,"St. Mary's Stadium, Southampton",31178.0,Home,Southampton,Manchester City,1,1,D,1,0,0,0,,1.0,,27.0,63.0,1.0,1.0,15.0,37.0,1.0,1.0,6.0,4.0,128.0,10.0,2.0,8.0,1.0,1.0,4.0,3.0,49.0,131.0,43.0,7.0,,13.0,1.0,1.0,5.0,14.0,,37.0,2.0,1.0,42.0,,68.0,0.0,55.0,13.0,4.0,1.0,1.0,,34.0,24.0,3.0,44.0,3.0,21.0,1.0,,131.0,,11.0,57.0,478.0,1.0,7.0,7.0,12.0,180.0,37.0,,17.0,1.0,3.0,7.0,1.0,12.0,256.0,35.0,,1.0,96787,1.0,127.0,2.0,,1.0,161.0,6.0,1.0,,21.0,12.0,62.0,,4.0,1.0,15.0,9.0,8.0,,48.0,193.0,4.0,15.0,2.0,8.0,3.0,47.0,,0.0,1.0,11.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,25.8,8.0,1.0,2.0,,4.0,1.0,18.0,2.0,,278.0,12.0,12.0,16.0,3.0,7.0,2.0,122.0,3.0,1.0,11.0,27.0,13.0,,5.0,17.0,20.0,1.0,3.0,3.0,17.0,2.0,5.0,10.0,2.0,,,1.0,1.0,1.0,,3.0,,,2.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,3.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,
24,2210510,2022-02-09 19:45:00,"Tottenham Hotspur Stadium, London",54012.0,Away,Southampton,Tottenham Hotspur,3,2,W,1,1,0,0,,,1.0,26.0,60.0,1.0,1.0,23.0,21.0,8.0,2.0,15.0,2.0,145.0,14.0,5.0,9.0,3.0,,15.0,10.0,118.0,139.0,47.0,23.0,2.0,30.0,6.0,3.0,20.0,6.0,,21.0,8.0,,40.0,,258.0,0.0,183.0,13.0,,2.0,,1.0,103.0,78.0,11.0,92.0,12.0,11.0,8.0,6.0,139.0,4.0,7.0,117.0,664.0,9.0,7.0,32.0,10.0,376.0,23.0,2.0,6.0,3.0,3.0,3.0,4.0,19.0,454.0,74.0,1.0,,96787,10.0,134.0,6.0,,1.0,144.0,10.0,1.0,1.0,11.0,4.0,70.0,1.0,6.0,3.0,12.0,2.0,2.0,2.0,53.0,387.0,7.0,9.0,3.0,13.0,7.0,65.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,3.0,8.0,52.3,12.0,3.0,8.0,,6.0,3.0,30.0,8.0,2.0,472.0,10.0,13.0,18.0,10.0,33.0,5.0,348.0,13.0,,17.0,132.0,21.0,2.0,,6.0,14.0,2.0,14.0,3.0,14.0,,,4.0,8.0,4.0,,4.0,5.0,1.0,,2.0,,4.0,3.0,,1.0,,1.0,,2.0,2.0,,,1.0,,,3.0,1.0,1.0,,,,,1.0,,,3.0,1.0,,,,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,,
25,2210516,2022-02-12 12:30:00,"Old Trafford, Manchester",73084.0,Away,Southampton,Manchester United,1,1,D,0,1,0,0,2.0,,,32.0,63.0,,2.0,17.0,14.0,7.0,3.0,6.0,6.0,139.0,15.0,,12.0,1.0,1.0,11.0,4.0,98.0,123.0,53.0,13.0,1.0,18.0,2.0,1.0,7.0,10.0,,14.0,3.0,4.0,32.0,,165.0,0.0,110.0,13.0,3.0,,1.0,,65.0,63.0,6.0,74.0,4.0,15.0,7.0,2.0,123.0,1.0,11.0,119.0,604.0,10.0,5.0,21.0,19.0,326.0,31.0,5.0,8.0,1.0,0.0,2.0,5.0,18.0,400.0,38.0,1.0,,96787,3.0,182.0,1.0,,,203.0,8.0,1.0,,15.0,7.0,53.0,1.0,4.0,1.0,10.0,1.0,3.0,2.0,46.0,347.0,12.0,10.0,,19.0,1.0,73.0,,0.0,,1.0,7.0,1.0,1.0,0.0,,1.0,,47.7,10.0,,4.0,1.0,4.0,3.0,45.0,4.0,1.0,430.0,19.0,6.0,13.0,6.0,18.0,1.0,234.0,10.0,4.0,12.0,78.0,22.0,1.0,1.0,8.0,17.0,1.0,11.0,3.0,20.0,,1.0,8.0,4.0,3.0,,,1.0,1.0,,3.0,,5.0,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,1.0,,3.0,,,,,1.0,,,2.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
26,2210528,2022-02-19 15:00:00,"St. Mary's Stadium, Southampton",31312.0,Home,Southampton,Everton,2,0,W,0,0,0,0,,1.0,1.0,27.0,92.0,,3.0,29.0,13.0,4.0,2.0,15.0,,198.0,14.0,3.0,13.0,2.0,3.0,17.0,11.0,106.0,171.0,67.0,19.0,,13.0,7.0,2.0,14.0,10.0,,13.0,4.0,3.0,37.0,1.0,231.0,0.0,148.0,6.0,,4.0,2.0,1.0,91.0,50.0,13.0,79.0,10.0,15.0,4.0,2.0,171.0,4.0,2.0,123.0,725.0,13.0,10.0,27.0,16.0,388.0,37.0,9.0,6.0,2.0,0.0,4.0,4.0,11.0,491.0,69.0,2.0,1.0,96787,1.0,171.0,6.0,1.0,1.0,209.0,4.0,1.0,,15.0,6.0,47.0,2.0,6.0,2.0,27.0,7.0,4.0,2.0,66.0,399.0,9.0,8.0,2.0,32.0,1.0,87.0,,0.0,,4.0,,2.0,,0.0,2.0,1.0,2.0,55.8,9.0,,7.0,6.0,6.0,3.0,55.0,4.0,1.0,506.0,16.0,9.0,19.0,5.0,23.0,1.0,311.0,15.0,2.0,24.0,107.0,41.0,,,6.0,21.0,,16.0,3.0,24.0,,,9.0,4.0,8.0,1.0,4.0,,2.0,,4.0,1.0,2.0,3.0,1.0,,1.0,,,1.0,,2.0,,,1.0,,,1.0,1.0,,,,,2.0,2.0,,3.0,2.0,1.0,,1.0,,2.0,,1.0,,,4.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,
