gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attLfGoal,goals,accuratePullBack,accurateKeeperSweeper,goalAssistOpenplay,goalAssist,totalKeeperSweeper,accurateThroughBall,errorLeadToShot,totalPullBack,goalsOpenplay,punches,attIboxGoal,goalAssistIntentional,forwardGoals,postScoringAtt,attIboxPost,attSvHighRight,cleanSheet,attSvLowLeft,goodHighClaim,contentiousDecision,attPostLeft,sixYardBlock,attSvHighCentre,totalHighClaim,attOneOnOne,attLgCentre,attFreekickTarget,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attSvHighLeft,attRfGoal,attOboxPost,attPostRight,attHdGoal,handBall,secondYellow,ownGoals,attIboxOwnGoal,attGoalLowRight,goalFastbreak,attOboxGoal,midfielderGoals,attGoalHighRight,attPostHigh,attGoalHighCentre,attMissHighLeft,attGoalHighLeft,attGoalLowCentre,defenderGoals,attCmissHighLeft,foulThrowIn,attHdPost,penaltyWon,attPenMiss,attPenGoal,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,attCmissHighRight,attFreekickMiss,attObxdLeft
11,803262,2015-10-31 15:00:00,"Swansea.com Stadium, Swansea",20937,Away,Arsenal,Swansea City,3,0,W,0,0,0,0,,2.0,65.0,2.0,1.0,26.0,19.0,5.0,7.0,3.0,,171.0,3.0,14.0,3.0,11.0,,5.0,98.0,119.0,54.0,1.0,14.0,1.0,11.0,1.0,1.0,2.0,1.0,2.0,19.0,13.0,1.0,17.0,3.0,21.0,29.0,235.0,1.0,0.0,158.0,7.0,2.0,1.0,2.0,71.0,52.0,5.0,66.0,3.0,1.0,16.0,27.0,1.0,2.0,3.0,117.0,3.0,2.0,126.0,655.0,7.0,11.0,,1.0,21.0,371.0,36.0,7.0,9.0,0.0,3.0,6.0,17.0,440.0,59.0,,99127,4.0,153.0,1.0,12.0,1.0,171.0,5.0,27.0,3.0,37.0,,2.0,1.0,5.0,11.0,5.0,3.0,2.0,42.0,385.0,12.0,10.0,2.0,15.0,68.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,,7.0,0.0,1.0,1.0,3.0,45.8,16.0,2.0,2.0,1.0,5.0,2.0,47.0,4.0,461.0,21.0,5.0,17.0,7.0,20.0,2.0,4.0,309.0,4.0,18.0,12.0,116.0,20.0,5.0,8.0,16.0,,9.0,3.0,18.0,,5.0,12.0,4.0,1.0,1.0,3.0,,,1.0,2.0,,,1.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,1.0,,2.0,,,,,2.0,,,,3.0,1.0,1.0,,1.0,,,1.0,,,,,2.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
12,803279,2015-11-08 16:00:00,"Emirates Stadium, London",60060,Home,Arsenal,Tottenham Hotspur,1,1,D,0,1,0,0,,1.0,65.0,,1.0,34.0,20.0,1.0,3.0,3.0,1.0,194.0,8.0,5.0,4.0,10.0,,4.0,94.0,181.0,68.0,,10.0,,16.0,2.0,,,1.0,3.0,23.0,25.0,1.0,16.0,7.0,24.0,44.0,186.0,,0.0,164.0,12.0,3.0,,5.0,67.0,80.0,5.0,60.0,2.0,,16.0,28.0,,4.0,,177.0,4.0,10.0,110.0,693.0,5.0,9.0,1.0,1.0,13.0,318.0,28.0,5.0,12.0,0.0,3.0,5.0,32.0,427.0,68.0,2.0,99127,7.0,166.0,3.0,7.0,3.0,188.0,5.0,28.0,11.0,63.0,,4.0,1.0,5.0,18.0,4.0,8.0,1.0,67.0,344.0,16.0,16.0,4.0,22.0,87.0,,,2.0,0.0,4.0,6.0,3.0,1.0,3.0,0.0,6.0,,4.0,54.9,29.0,2.0,3.0,,5.0,1.0,44.0,7.0,458.0,13.0,16.0,24.0,5.0,37.0,2.0,4.0,293.0,2.0,16.0,12.0,112.0,26.0,4.0,10.0,35.0,1.0,4.0,3.0,11.0,,4.0,12.0,7.0,,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,
13,803282,2015-11-21 15:00:00,"The Hawthorns, West Bromwich",24343,Away,Arsenal,West Bromwich Albion,1,2,L,1,2,0,0,,1.0,66.0,,1.0,19.0,17.0,4.0,6.0,,1.0,207.0,5.0,17.0,4.0,6.0,,3.0,190.0,153.0,58.0,1.0,11.0,,13.0,1.0,,,,3.0,23.0,10.0,1.0,14.0,5.0,20.0,50.0,346.0,1.0,0.0,218.0,10.0,,,1.0,82.0,72.0,2.0,89.0,2.0,,18.0,17.0,1.0,2.0,3.0,150.0,2.0,4.0,198.0,872.0,5.0,7.0,,1.0,17.0,570.0,27.0,2.0,10.0,2.0,1.0,4.0,12.0,663.0,62.0,1.0,99127,5.0,249.0,2.0,15.0,1.0,271.0,5.0,17.0,2.0,44.0,,8.0,1.0,6.0,12.0,1.0,2.0,2.0,41.0,590.0,13.0,5.0,,11.0,62.0,,1.0,,0.0,2.0,3.0,,2.0,,0.0,5.0,,1.0,73.0,10.0,,4.0,1.0,6.0,1.0,45.0,5.0,684.0,17.0,11.0,25.0,7.0,41.0,,3.0,436.0,4.0,19.0,14.0,163.0,29.0,4.0,9.0,13.0,2.0,7.0,3.0,26.0,,4.0,7.0,5.0,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,
14,803292,2015-11-29 16:15:00,"Carrow Road, Norwich",27091,Away,Arsenal,Norwich City,1,1,D,1,1,0,0,,1.0,52.0,1.0,1.0,27.0,22.0,5.0,7.0,2.0,1.0,181.0,5.0,9.0,1.0,10.0,1.0,3.0,178.0,144.0,45.0,1.0,12.0,3.0,10.0,2.0,,2.0,,2.0,28.0,8.0,,15.0,5.0,30.0,32.0,358.0,1.0,0.0,211.0,6.0,2.0,,,98.0,106.0,5.0,82.0,2.0,1.0,23.0,11.0,1.0,8.0,2.0,137.0,1.0,3.0,184.0,813.0,9.0,8.0,,,15.0,529.0,24.0,3.0,6.0,1.0,1.0,5.0,23.0,602.0,71.0,,99127,2.0,194.0,1.0,15.0,,217.0,3.0,11.0,9.0,39.0,,7.0,2.0,1.0,15.0,4.0,6.0,,46.0,547.0,8.0,8.0,,13.0,72.0,,1.0,1.0,0.0,1.0,3.0,,1.0,2.0,0.0,4.0,1.0,1.0,63.2,21.0,1.0,3.0,1.0,1.0,4.0,54.0,6.0,625.0,15.0,10.0,15.0,5.0,40.0,1.0,3.0,436.0,4.0,27.0,14.0,172.0,23.0,1.0,4.0,14.0,1.0,11.0,3.0,15.0,,1.0,5.0,6.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,
15,803309,2015-12-05 15:00:00,"Emirates Stadium, London",59937,Home,Arsenal,Sunderland,3,1,W,1,1,0,0,,1.0,78.0,1.0,2.0,22.0,20.0,6.0,3.0,5.0,2.0,230.0,1.0,9.0,1.0,14.0,,7.0,202.0,139.0,54.0,,16.0,3.0,16.0,3.0,,2.0,1.0,1.0,13.0,17.0,1.0,18.0,2.0,28.0,23.0,388.0,,0.0,247.0,7.0,5.0,,1.0,125.0,78.0,10.0,92.0,1.0,3.0,11.0,16.0,,2.0,2.0,137.0,3.0,7.0,189.0,894.0,11.0,3.0,1.0,1.0,16.0,603.0,33.0,2.0,12.0,1.0,1.0,4.0,12.0,687.0,91.0,,99127,5.0,232.0,2.0,8.0,,246.0,3.0,16.0,10.0,39.0,,6.0,1.0,6.0,11.0,5.0,4.0,,48.0,619.0,11.0,5.0,1.0,12.0,88.0,,1.0,1.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,,2.0,2.0,72.5,11.0,,6.0,2.0,6.0,5.0,66.0,3.0,713.0,16.0,8.0,17.0,4.0,30.0,1.0,2.0,480.0,11.0,25.0,15.0,185.0,30.0,5.0,11.0,20.0,1.0,15.0,3.0,14.0,,5.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,1.0,3.0,2.0,1.0,,,,,2.0,2.0,,,,,2.0,,,,2.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,
16,803312,2015-12-13 13:30:00,"Villa Park, Birmingham",33285,Away,Arsenal,Aston Villa,2,0,W,2,0,0,0,,,51.0,2.0,,28.0,20.0,1.0,1.0,2.0,1.0,186.0,3.0,7.0,2.0,6.0,,4.0,123.0,139.0,47.0,,8.0,1.0,13.0,2.0,1.0,,1.0,,13.0,12.0,,16.0,4.0,21.0,32.0,221.0,1.0,0.0,131.0,7.0,,2.0,,65.0,65.0,4.0,93.0,4.0,1.0,9.0,12.0,,2.0,,135.0,1.0,7.0,120.0,686.0,4.0,7.0,1.0,,9.0,420.0,20.0,4.0,12.0,0.0,4.0,2.0,18.0,491.0,50.0,,99127,6.0,222.0,,7.0,,240.0,4.0,12.0,16.0,45.0,,1.0,5.0,2.0,17.0,11.0,12.0,1.0,57.0,440.0,8.0,9.0,1.0,18.0,92.0,1.0,1.0,,0.0,1.0,5.0,,,2.0,0.0,1.0,1.0,2.0,54.2,14.0,1.0,4.0,1.0,2.0,1.0,66.0,5.0,522.0,9.0,14.0,19.0,3.0,29.0,2.0,3.0,295.0,5.0,20.0,14.0,92.0,18.0,2.0,8.0,18.0,,6.0,3.0,9.0,,2.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,
17,803327,2015-12-21 20:00:00,"Emirates Stadium, London",60053,Home,Arsenal,Manchester City,2,1,W,2,0,0,0,1.0,1.0,72.0,2.0,,25.0,29.0,2.0,4.0,5.0,2.0,164.0,2.0,12.0,1.0,8.0,,5.0,74.0,153.0,61.0,,8.0,,10.0,2.0,,1.0,3.0,,17.0,13.0,1.0,20.0,4.0,18.0,40.0,174.0,1.0,0.0,117.0,5.0,1.0,,,79.0,46.0,5.0,64.0,2.0,1.0,13.0,24.0,,5.0,,144.0,3.0,11.0,84.0,609.0,6.0,10.0,,,24.0,276.0,33.0,3.0,10.0,0.0,6.0,3.0,18.0,350.0,59.0,,99127,3.0,128.0,3.0,8.0,,150.0,2.0,24.0,9.0,43.0,,6.0,3.0,2.0,15.0,9.0,6.0,1.0,52.0,300.0,15.0,9.0,,14.0,83.0,,,,0.0,2.0,8.0,3.0,1.0,3.0,0.0,1.0,,,37.3,14.0,,,2.0,2.0,,50.0,4.0,386.0,24.0,10.0,21.0,3.0,27.0,1.0,3.0,253.0,4.0,16.0,14.0,74.0,29.0,4.0,9.0,20.0,,8.0,3.0,21.0,,4.0,16.0,4.0,,1.0,2.0,,,2.0,2.0,,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
18,803332,2015-12-26 19:45:00,"St. Mary's Stadium, Southampton",31669,Away,Arsenal,Southampton,0,4,L,0,1,0,0,1.0,2.0,52.0,1.0,,18.0,20.0,1.0,2.0,1.0,2.0,175.0,8.0,9.0,2.0,7.0,,5.0,157.0,141.0,48.0,,8.0,,7.0,4.0,,,4.0,2.0,22.0,7.0,1.0,18.0,4.0,24.0,29.0,265.0,,0.0,159.0,9.0,1.0,,2.0,73.0,85.0,4.0,87.0,3.0,,18.0,11.0,,6.0,,139.0,1.0,9.0,152.0,759.0,5.0,10.0,1.0,,16.0,467.0,25.0,4.0,12.0,0.0,4.0,3.0,25.0,545.0,50.0,,99127,6.0,230.0,1.0,10.0,,253.0,5.0,11.0,7.0,46.0,,2.0,1.0,6.0,17.0,5.0,5.0,1.0,50.0,487.0,10.0,9.0,2.0,22.0,72.0,,,1.0,0.0,,3.0,,4.0,6.0,0.0,6.0,2.0,4.0,64.8,24.0,3.0,,,6.0,,49.0,4.0,571.0,16.0,20.0,14.0,3.0,31.0,2.0,3.0,340.0,2.0,23.0,18.0,120.0,21.0,1.0,12.0,11.0,3.0,6.0,3.0,11.0,,1.0,6.0,4.0,,,,,2.0,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,803343,2015-12-28 17:30:00,"Emirates Stadium, London",59983,Home,Arsenal,Bournemouth,2,0,W,1,0,0,0,,2.0,73.0,2.0,2.0,23.0,11.0,1.0,3.0,3.0,1.0,180.0,8.0,7.0,1.0,11.0,1.0,6.0,141.0,139.0,48.0,,12.0,,8.0,3.0,2.0,1.0,1.0,1.0,28.0,16.0,1.0,11.0,8.0,14.0,32.0,234.0,,0.0,156.0,7.0,1.0,2.0,1.0,78.0,77.0,7.0,79.0,3.0,1.0,20.0,22.0,,2.0,,139.0,5.0,4.0,130.0,726.0,5.0,5.0,1.0,2.0,23.0,441.0,28.0,3.0,6.0,2.0,4.0,3.0,14.0,506.0,43.0,,99127,4.0,227.0,4.0,17.0,,243.0,5.0,22.0,7.0,46.0,,7.0,1.0,3.0,20.0,6.0,2.0,2.0,53.0,453.0,8.0,11.0,3.0,16.0,78.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,,2.0,0.0,2.0,,5.0,51.4,14.0,3.0,5.0,1.0,3.0,2.0,51.0,9.0,530.0,23.0,12.0,21.0,4.0,38.0,6.0,4.0,315.0,4.0,13.0,15.0,119.0,30.0,,6.0,18.0,,7.0,3.0,15.0,,,15.0,9.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,,2.0,1.0,,2.0,2.0,,,,,1.0,2.0,1.0,,,1.0,,1.0,2.0,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
20,803357,2016-01-02 15:00:00,"Emirates Stadium, London",59257,Home,Arsenal,Newcastle United,1,0,W,0,0,0,0,,,56.0,,1.0,29.0,13.0,3.0,5.0,6.0,2.0,191.0,7.0,13.0,3.0,15.0,2.0,3.0,113.0,131.0,53.0,,15.0,1.0,12.0,2.0,1.0,1.0,,3.0,25.0,15.0,,12.0,7.0,21.0,23.0,238.0,,0.0,150.0,10.0,3.0,1.0,1.0,72.0,67.0,5.0,68.0,2.0,3.0,18.0,15.0,,1.0,2.0,130.0,2.0,11.0,96.0,677.0,12.0,14.0,,,17.0,385.0,24.0,9.0,8.0,2.0,4.0,10.0,22.0,448.0,48.0,,99127,6.0,167.0,1.0,16.0,,180.0,8.0,15.0,8.0,59.0,,5.0,2.0,7.0,15.0,4.0,4.0,4.0,46.0,398.0,8.0,17.0,2.0,15.0,78.0,1.0,1.0,,0.0,4.0,4.0,6.0,,7.0,0.0,3.0,1.0,4.0,51.0,21.0,4.0,2.0,3.0,7.0,2.0,56.0,7.0,468.0,17.0,14.0,9.0,10.0,40.0,4.0,8.0,313.0,6.0,20.0,14.0,115.0,19.0,2.0,8.0,19.0,,11.0,3.0,19.0,,2.0,4.0,7.0,,,1.0,2.0,,,1.0,,,1.0,2.0,,,1.0,1.0,,,,,1.0,,2.0,,,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
21,803362,2016-01-13 20:00:00,"Anfield, Liverpool",44109,Away,Arsenal,Liverpool,3,3,D,2,2,0,0,1.0,1.0,82.0,2.0,2.0,30.0,40.0,3.0,7.0,3.0,1.0,188.0,3.0,6.0,3.0,12.0,,5.0,71.0,158.0,48.0,1.0,14.0,2.0,17.0,2.0,,2.0,2.0,2.0,6.0,13.0,,35.0,3.0,14.0,23.0,146.0,,0.0,135.0,7.0,2.0,,1.0,75.0,26.0,6.0,46.0,3.0,2.0,3.0,19.0,1.0,2.0,1.0,153.0,3.0,12.0,73.0,589.0,8.0,18.0,,,17.0,250.0,34.0,14.0,15.0,0.0,10.0,5.0,10.0,346.0,67.0,1.0,99127,6.0,128.0,3.0,,1.0,146.0,4.0,19.0,12.0,54.0,,4.0,5.0,1.0,16.0,10.0,6.0,,61.0,271.0,8.0,11.0,1.0,29.0,83.0,,,1.0,0.0,,9.0,1.0,3.0,3.0,0.0,2.0,,1.0,40.5,10.0,1.0,6.0,1.0,2.0,4.0,45.0,3.0,378.0,17.0,14.0,8.0,5.0,16.0,1.0,4.0,238.0,6.0,11.0,14.0,77.0,29.0,6.0,14.0,20.0,2.0,11.0,3.0,13.0,1.0,6.0,10.0,3.0,1.0,2.0,3.0,,,1.0,2.0,,1.0,,,2.0,,3.0,2.0,2.0,,,,,,4.0,,,,,4.0,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
22,803372,2016-01-17 16:15:00,"bet365 Stadium, Stoke",27683,Away,Arsenal,Stoke City,0,0,D,0,0,0,0,,1.0,66.0,2.0,1.0,21.0,34.0,4.0,3.0,5.0,1.0,194.0,3.0,16.0,2.0,7.0,,3.0,117.0,163.0,55.0,,8.0,3.0,21.0,2.0,,3.0,,,16.0,7.0,1.0,25.0,5.0,28.0,28.0,213.0,,0.0,145.0,10.0,4.0,,3.0,67.0,67.0,6.0,70.0,1.0,,11.0,16.0,,1.0,,154.0,1.0,7.0,114.0,707.0,6.0,5.0,1.0,,21.0,365.0,28.0,11.0,17.0,0.0,6.0,1.0,19.0,460.0,53.0,,99127,1.0,176.0,1.0,7.0,,201.0,5.0,16.0,8.0,45.0,,3.0,,7.0,21.0,7.0,2.0,,55.0,386.0,16.0,8.0,1.0,26.0,85.0,,1.0,,0.0,2.0,6.0,4.0,,1.0,0.0,1.0,2.0,1.0,55.0,19.0,,2.0,,7.0,4.0,47.0,6.0,495.0,21.0,6.0,9.0,1.0,31.0,2.0,1.0,310.0,4.0,25.0,14.0,97.0,26.0,1.0,14.0,11.0,,6.0,2.0,19.0,,1.0,6.0,6.0,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
23,803384,2016-01-24 16:00:00,"Emirates Stadium, London",60072,Home,Arsenal,Chelsea,0,1,L,0,1,1,0,,,61.0,1.0,1.0,17.0,14.0,2.0,4.0,4.0,1.0,157.0,1.0,19.0,4.0,9.0,,1.0,128.0,145.0,56.0,,9.0,,10.0,1.0,,,,4.0,22.0,13.0,,12.0,4.0,14.0,26.0,212.0,,0.0,170.0,14.0,2.0,,4.0,62.0,63.0,2.0,65.0,2.0,1.0,18.0,14.0,,1.0,2.0,143.0,1.0,10.0,116.0,671.0,9.0,5.0,,,17.0,366.0,30.0,5.0,8.0,1.0,4.0,7.0,22.0,439.0,53.0,,99127,7.0,174.0,2.0,13.0,2.0,195.0,10.0,14.0,4.0,56.0,,6.0,1.0,7.0,13.0,2.0,2.0,1.0,35.0,385.0,12.0,10.0,,13.0,65.0,,1.0,,0.0,2.0,7.0,4.0,1.0,,1.0,1.0,,,46.6,21.0,,2.0,,7.0,1.0,45.0,6.0,466.0,17.0,14.0,15.0,7.0,35.0,,5.0,293.0,5.0,8.0,9.0,125.0,18.0,3.0,7.0,17.0,1.0,7.0,3.0,28.0,,3.0,4.0,6.0,,,,1.0,3.0,,,3.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,
24,803397,2016-02-02 19:45:00,"Emirates Stadium, London",60044,Home,Arsenal,Southampton,0,0,D,0,0,0,0,,3.0,77.0,2.0,5.0,32.0,14.0,1.0,5.0,3.0,5.0,190.0,13.0,14.0,3.0,19.0,1.0,11.0,141.0,176.0,69.0,,22.0,,8.0,10.0,,4.0,4.0,1.0,33.0,13.0,1.0,10.0,12.0,16.0,37.0,276.0,1.0,0.0,175.0,11.0,,,1.0,106.0,74.0,13.0,76.0,3.0,1.0,21.0,26.0,,4.0,,172.0,3.0,6.0,128.0,807.0,13.0,7.0,3.0,,22.0,414.0,26.0,9.0,6.0,2.0,7.0,6.0,18.0,502.0,58.0,1.0,99127,12.0,176.0,5.0,16.0,1.0,199.0,8.0,26.0,7.0,54.0,2.0,3.0,,13.0,17.0,8.0,4.0,2.0,46.0,439.0,17.0,3.0,6.0,15.0,78.0,,2.0,,0.0,4.0,3.0,1.0,,3.0,0.0,8.0,1.0,7.0,66.7,16.0,4.0,5.0,,14.0,5.0,56.0,13.0,535.0,22.0,20.0,24.0,6.0,48.0,5.0,6.0,369.0,6.0,14.0,17.0,135.0,28.0,,6.0,23.0,,15.0,2.0,26.0,,,12.0,13.0,,,,2.0,,,,,1.0,1.0,2.0,,,,,,,,2.0,1.0,2.0,4.0,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
25,803402,2016-02-07 13:30:00,"Vitality Stadium, Bournemouth",11357,Away,Arsenal,Bournemouth,2,0,W,2,0,0,0,,,73.0,2.0,,26.0,32.0,4.0,1.0,4.0,2.0,180.0,1.0,7.0,,8.0,,5.0,116.0,164.0,41.0,,10.0,3.0,9.0,3.0,,1.0,2.0,1.0,10.0,17.0,,23.0,3.0,24.0,27.0,240.0,,0.0,149.0,8.0,3.0,,,110.0,57.0,6.0,78.0,1.0,,7.0,17.0,,3.0,1.0,155.0,1.0,6.0,113.0,698.0,5.0,8.0,1.0,,26.0,378.0,30.0,8.0,6.0,1.0,6.0,2.0,17.0,462.0,63.0,,99127,2.0,154.0,1.0,4.0,,165.0,5.0,17.0,12.0,50.0,,4.0,6.0,4.0,20.0,11.0,7.0,,64.0,393.0,5.0,11.0,1.0,32.0,91.0,,,,0.0,,7.0,2.0,,3.0,0.0,,2.0,1.0,49.3,14.0,,7.0,2.0,5.0,3.0,47.0,3.0,487.0,26.0,13.0,15.0,2.0,26.0,1.0,1.0,332.0,8.0,23.0,10.0,101.0,28.0,5.0,6.0,19.0,,9.0,3.0,16.0,,5.0,11.0,3.0,1.0,,2.0,,,2.0,2.0,,1.0,,1.0,2.0,,2.0,2.0,,,,,1.0,,2.0,1.0,,,1.0,2.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
26,803412,2016-02-14 12:00:00,"Emirates Stadium, London",60009,Home,Arsenal,Leicester City,2,1,W,0,1,0,1,,1.0,85.0,1.0,6.0,29.0,18.0,2.0,3.0,2.0,1.0,230.0,20.0,16.0,3.0,19.0,2.0,6.0,179.0,185.0,72.0,,24.0,,17.0,4.0,,,3.0,5.0,50.0,11.0,,12.0,10.0,19.0,44.0,395.0,,0.0,285.0,9.0,2.0,,4.0,140.0,106.0,10.0,93.0,5.0,5.0,40.0,25.0,,8.0,2.0,179.0,2.0,3.0,169.0,943.0,13.0,8.0,2.0,,15.0,565.0,36.0,2.0,12.0,4.0,,9.0,29.0,656.0,76.0,2.0,99127,16.0,203.0,1.0,28.0,1.0,223.0,7.0,25.0,3.0,71.0,,2.0,5.0,6.0,12.0,4.0,3.0,2.0,47.0,578.0,9.0,9.0,4.0,9.0,80.0,,1.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,13.0,1.0,5.0,72.1,28.0,2.0,8.0,2.0,6.0,6.0,55.0,11.0,671.0,15.0,21.0,27.0,12.0,57.0,7.0,10.0,498.0,12.0,17.0,30.0,235.0,33.0,,10.0,17.0,1.0,18.0,3.0,32.0,,,10.0,11.0,1.0,,2.0,1.0,3.0,1.0,2.0,3.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,1.0,3.0,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,
