gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attObpGoal,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,attOboxPost,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,interceptionsInBox,attGoalHighCentre,contentiousDecision,accurateLaunches,totalKeeperSweeper,errorLeadToShot,sixYardBlock,totalPullBack,attMissHigh,punches,savedIbox,goalsConceded,clearanceOffLine,totalHighClaim,effectiveBlockedCross,attHdGoal,goalsConcededIbox,blockedCross,attOneOnOne,goodHighClaim,totalFlickOn,foulThrowIn,ptsDroppedWinningPos,goalsConcededObox,attGoalLowLeft,attBxRight,midfielderGoals,attHdTarget,attGoalHighLeft,accurateFlickOn,shieldBallOop,attCmissRight,attMissLeft,attCmissHigh,attCmissLeft,attSvHighCentre,attFreekickMiss,attIboxPost,attMissHighRight,penaltyWon,freekickCross,attPenGoal,attPostHigh,ownGoals,attIboxOwnGoal,shotFastbreak,totalFastbreak,accurateFreekickCross,attFastbreak,attCmissHighRight,attOboxGoal,winningGoal,keeperGoals,subsGoals,attFreekickGoal,accuratePullBack,attObxLeft,ptsGainedLosingPos,secondYellow,attHdPost,attObxdRight,penaltySave,penaltyConceded,penaltyFaced,goalFastbreak,attPostRight,penGoalsConceded,attFreekickTarget,errorLeadToGoal,attObxdLeft,attSvHighLeft,attCmissHighLeft
11,2128393,2020-12-06 16:30:00,"Tottenham Hotspur Stadium, London",2000.0,Away,Arsenal,Tottenham Hotspur,0,2,L,0,2,0,0,,,,34.0,55.0,0.0,1.0,1.0,,,17.0,10.0,5.0,3.0,6.0,1.0,0.0,,172.0,0.0,17.0,9.0,11.0,0.0,8.0,6.0,2.0,168.0,155.0,60.0,1.0,11.0,1.0,19.0,2.0,,,44.0,11.0,0.0,10.0,8.0,5.0,36.0,345.0,,,0.0,214.0,12.0,,1.0,136.0,60.0,3.0,107.0,,4.0,36.0,11.0,5.0,1.0,12.0,4.0,155.0,,2.0,,185.0,826.0,5.0,36.0,,5.0,533.0,7.0,,7.0,,2.0,1.0,3.0,17.0,614.0,63.0,,98745,5.0,212.0,,20.0,1.0,223.0,6.0,0.0,11.0,2.0,49.0,,0.0,,4.0,0.0,15.0,3.0,1.0,36.0,548.0,15.0,5.0,1.0,6.0,,69.0,0.0,,0.0,3.0,3.0,0.0,,0.0,9.0,,4.0,69.8,13.0,2.0,6.0,,4.0,2.0,51.0,9.0,632.0,5.0,5.0,17.0,7.0,65.0,,3.0,453.0,4.0,5.0,19.0,162.0,38.0,,7.0,15.0,9.0,2.0,19.0,5.0,9.0,1.0,1.0,,,0.0,,2.0,1.0,,,,2.0,,,2.0,,,,0.0,1.0,,,,2.0,1.0,,1.0,0.0,,0.0,2.0,0.0,,,1.0,,1.0,,,,,1.0,,4.0,0.0,,0.0,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12,2128396,2020-12-13 19:15:00,"Emirates Stadium, London",2000.0,Home,Arsenal,Burnley,0,1,L,0,0,1,0,,1.0,,28.0,50.0,,1.0,3.0,,,24.0,10.0,5.0,4.0,12.0,2.0,,3.0,183.0,,12.0,7.0,4.0,,1.0,16.0,6.0,142.0,163.0,36.0,,18.0,3.0,25.0,6.0,,,38.0,5.0,,10.0,8.0,2.0,34.0,217.0,1.0,,0.0,181.0,5.0,1.0,1.0,71.0,80.0,11.0,82.0,,3.0,30.0,14.0,6.0,,8.0,3.0,163.0,3.0,8.0,,150.0,757.0,15.0,39.0,,8.0,439.0,20.0,,5.0,,2.0,3.0,5.0,31.0,526.0,73.0,,98745,9.0,252.0,3.0,20.0,1.0,281.0,4.0,,14.0,11.0,46.0,,,3.0,5.0,,16.0,3.0,6.0,61.0,462.0,10.0,4.0,1.0,16.0,3.0,72.0,,1.0,0.0,2.0,4.0,,,1.0,5.0,,4.0,64.7,27.0,2.0,2.0,1.0,5.0,6.0,34.0,13.0,557.0,8.0,7.0,17.0,6.0,48.0,2.0,3.0,314.0,9.0,1.0,10.0,139.0,21.0,,5.0,12.0,14.0,3.0,9.0,6.0,13.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,3.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,3.0,,,,,1.0,,2.0,,1.0,,1.0,2.0,,,2.0,,,,,2.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
13,2128406,2020-12-16 18:00:00,"Emirates Stadium, London",,Home,Arsenal,Southampton,1,1,D,0,1,1,0,2.0,1.0,1.0,33.0,57.0,1.0,1.0,1.0,,,27.0,28.0,4.0,3.0,5.0,2.0,,2.0,134.0,,15.0,1.0,8.0,1.0,2.0,8.0,4.0,72.0,115.0,46.0,,9.0,1.0,11.0,2.0,1.0,1.0,11.0,6.0,,28.0,1.0,2.0,34.0,107.0,,,0.0,93.0,13.0,,,58.0,23.0,6.0,52.0,,,10.0,17.0,4.0,,2.0,2.0,115.0,1.0,5.0,,82.0,517.0,5.0,15.0,1.0,17.0,250.0,27.0,,14.0,1.0,1.0,2.0,2.0,18.0,320.0,57.0,,80201,4.0,156.0,,6.0,2.0,175.0,8.0,1.0,17.0,5.0,41.0,,,1.0,7.0,1.0,13.0,8.0,2.0,56.0,262.0,13.0,8.0,2.0,17.0,,64.0,,1.0,0.0,1.0,7.0,1.0,,1.0,1.0,1.0,1.0,35.2,17.0,,1.0,1.0,7.0,2.0,33.0,2.0,340.0,17.0,5.0,16.0,3.0,16.0,,,176.0,5.0,2.0,18.0,50.0,21.0,1.0,14.0,8.0,7.0,3.0,14.0,9.0,2.0,1.0,2.0,1.0,4.0,,,3.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,2.0,,1.0,2.0,,,3.0,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
14,2128420,2020-12-19 17:30:00,"Goodison Park, Liverpool",2000.0,Away,Arsenal,Everton,1,2,L,1,2,0,0,,,1.0,29.0,49.0,,1.0,3.0,,,30.0,11.0,3.0,7.0,9.0,1.0,1.0,1.0,165.0,,16.0,5.0,9.0,1.0,3.0,10.0,2.0,135.0,109.0,37.0,1.0,13.0,1.0,14.0,1.0,,,19.0,6.0,,11.0,2.0,2.0,22.0,255.0,,,0.0,170.0,9.0,1.0,,80.0,73.0,4.0,97.0,,3.0,17.0,14.0,4.0,1.0,5.0,3.0,109.0,,4.0,,154.0,718.0,10.0,39.0,1.0,8.0,471.0,23.0,2.0,4.0,,3.0,3.0,6.0,16.0,532.0,68.0,,98745,3.0,239.0,,12.0,,255.0,6.0,,14.0,8.0,42.0,,,,6.0,,16.0,6.0,7.0,54.0,489.0,9.0,7.0,,8.0,1.0,59.0,,,0.0,2.0,4.0,1.0,,0.0,5.0,,2.0,57.8,13.0,2.0,3.0,3.0,6.0,4.0,41.0,3.0,551.0,8.0,8.0,6.0,7.0,28.0,,4.0,315.0,4.0,2.0,10.0,135.0,17.0,1.0,4.0,9.0,10.0,3.0,13.0,9.0,3.0,,1.0,,1.0,,,4.0,,,1.0,2.0,1.0,,,2.0,,1.0,2.0,,2.0,2.0,,1.0,,,,,1.0,3.0,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
15,2128426,2020-12-26 17:30:00,"Emirates Stadium, London",,Home,Arsenal,Chelsea,3,1,W,2,0,0,0,,,1.0,35.0,46.0,,1.0,2.0,,,17.0,18.0,3.0,5.0,12.0,2.0,1.0,4.0,143.0,1.0,17.0,1.0,7.0,3.0,4.0,6.0,7.0,55.0,146.0,49.0,1.0,15.0,2.0,36.0,4.0,1.0,1.0,16.0,7.0,1.0,18.0,4.0,8.0,26.0,99.0,1.0,,0.0,108.0,13.0,1.0,1.0,54.0,37.0,5.0,54.0,,1.0,12.0,15.0,3.0,1.0,2.0,,146.0,1.0,11.0,,76.0,505.0,5.0,24.0,1.0,7.0,213.0,27.0,,12.0,1.0,2.0,4.0,1.0,24.0,301.0,46.0,,98745,6.0,131.0,2.0,9.0,,160.0,10.0,2.0,15.0,14.0,67.0,,,1.0,4.0,1.0,10.0,8.0,6.0,52.0,229.0,10.0,9.0,,12.0,2.0,56.0,,2.0,0.0,2.0,9.0,2.0,,0.0,1.0,,,39.0,15.0,,2.0,1.0,4.0,4.0,21.0,7.0,328.0,7.0,5.0,10.0,4.0,18.0,,3.0,184.0,10.0,8.0,16.0,70.0,10.0,1.0,12.0,16.0,11.0,3.0,12.0,6.0,7.0,,,,3.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,1.0,2.0,,1.0,8.0,,,,,2.0,2.0,,1.0,4.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,
16,2128436,2020-12-29 18:00:00,"American Express Stadium, Falmer",,Away,Arsenal,Brighton and Hove Albion,1,0,W,0,0,0,0,,,,26.0,61.0,1.0,,2.0,,,23.0,14.0,2.0,3.0,9.0,2.0,,1.0,147.0,,17.0,4.0,5.0,1.0,4.0,9.0,3.0,137.0,117.0,37.0,1.0,11.0,,24.0,2.0,,1.0,13.0,5.0,,14.0,3.0,3.0,33.0,177.0,,1.0,0.0,94.0,4.0,2.0,1.0,85.0,50.0,5.0,80.0,,3.0,10.0,17.0,2.0,1.0,1.0,2.0,117.0,1.0,9.0,,147.0,679.0,7.0,16.0,,10.0,427.0,25.0,,5.0,1.0,0.0,6.0,4.0,17.0,490.0,50.0,,98745,5.0,265.0,1.0,7.0,1.0,292.0,3.0,1.0,17.0,7.0,58.0,1.0,,,8.0,1.0,13.0,4.0,3.0,55.0,438.0,11.0,13.0,1.0,14.0,3.0,67.0,,,0.0,1.0,5.0,1.0,,0.0,4.0,1.0,2.0,50.3,13.0,1.0,3.0,2.0,8.0,2.0,43.0,4.0,511.0,10.0,11.0,17.0,6.0,23.0,,4.0,232.0,6.0,2.0,12.0,67.0,21.0,,5.0,10.0,6.0,3.0,11.0,9.0,4.0,1.0,,,2.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,3.0,,,3.0,,,4.0,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
17,2128455,2021-01-02 20:00:00,"The Hawthorns, West Bromwich",,Away,Arsenal,West Bromwich Albion,4,0,W,2,0,0,0,,3.0,3.0,35.0,75.0,,2.0,1.0,,,23.0,16.0,4.0,9.0,17.0,3.0,1.0,4.0,194.0,2.0,19.0,4.0,12.0,4.0,2.0,16.0,12.0,156.0,158.0,48.0,,21.0,1.0,27.0,8.0,,3.0,21.0,11.0,1.0,16.0,5.0,4.0,28.0,215.0,,1.0,0.0,159.0,4.0,1.0,3.0,87.0,71.0,11.0,107.0,,,16.0,18.0,4.0,,2.0,3.0,158.0,4.0,4.0,,166.0,817.0,12.0,35.0,1.0,16.0,510.0,42.0,1.0,9.0,3.0,2.0,1.0,5.0,19.0,612.0,54.0,1.0,98745,6.0,304.0,2.0,12.0,1.0,345.0,2.0,3.0,18.0,3.0,54.0,1.0,1.0,2.0,7.0,4.0,16.0,3.0,1.0,53.0,515.0,7.0,10.0,1.0,20.0,1.0,63.0,,2.0,0.0,,3.0,4.0,,0.0,3.0,2.0,2.0,61.9,17.0,1.0,2.0,2.0,7.0,2.0,42.0,5.0,623.0,16.0,7.0,11.0,7.0,34.0,1.0,4.0,299.0,10.0,4.0,15.0,108.0,23.0,2.0,9.0,14.0,19.0,3.0,18.0,6.0,5.0,,3.0,,2.0,1.0,,3.0,,,,,1.0,,1.0,,,1.0,2.0,,,2.0,1.0,,,,,,,4.0,1.0,1.0,,,,,4.0,,1.0,,,,1.0,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,2128456,2021-01-14 20:00:00,"Emirates Stadium, London",,Home,Arsenal,Crystal Palace,0,0,D,0,0,0,0,,1.0,,34.0,69.0,,,,,,29.0,8.0,6.0,4.0,5.0,2.0,,3.0,186.0,,21.0,6.0,18.0,,3.0,7.0,4.0,186.0,140.0,63.0,,11.0,2.0,14.0,2.0,,,25.0,8.0,,8.0,7.0,2.0,42.0,320.0,,1.0,0.0,211.0,11.0,2.0,,80.0,102.0,4.0,118.0,,1.0,18.0,18.0,6.0,,,2.0,140.0,,8.0,,202.0,875.0,5.0,24.0,,10.0,584.0,20.0,1.0,3.0,,1.0,4.0,3.0,13.0,675.0,82.0,,98745,3.0,286.0,,15.0,1.0,306.0,7.0,,18.0,6.0,56.0,,,1.0,7.0,,12.0,4.0,6.0,47.0,600.0,11.0,17.0,2.0,9.0,5.0,62.0,,,0.0,2.0,3.0,,,0.0,3.0,,3.0,67.3,13.0,3.0,6.0,1.0,7.0,2.0,46.0,7.0,692.0,10.0,5.0,30.0,5.0,34.0,3.0,3.0,411.0,4.0,2.0,17.0,159.0,34.0,,3.0,17.0,5.0,3.0,27.0,8.0,7.0,,3.0,2.0,,,,2.0,,,,2.0,,,2.0,,,,1.0,,,1.0,,,4.0,,,,,,,,,2.0,,1.0,3.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2128466,2021-01-18 20:00:00,"Emirates Stadium, London",,Home,Arsenal,Newcastle United,3,0,W,0,0,0,0,,,1.0,36.0,67.0,,,1.0,,,31.0,12.0,6.0,9.0,14.0,1.0,2.0,2.0,175.0,2.0,26.0,7.0,9.0,3.0,4.0,15.0,6.0,179.0,113.0,33.0,1.0,20.0,2.0,16.0,3.0,1.0,3.0,26.0,5.0,,12.0,5.0,7.0,37.0,290.0,,1.0,0.0,182.0,9.0,,3.0,88.0,109.0,7.0,106.0,,2.0,21.0,14.0,6.0,1.0,3.0,4.0,113.0,2.0,3.0,,174.0,798.0,9.0,35.0,1.0,9.0,557.0,22.0,2.0,9.0,3.0,0.0,1.0,8.0,10.0,618.0,84.0,,98745,8.0,287.0,2.0,17.0,1.0,302.0,1.0,1.0,14.0,6.0,45.0,,,4.0,5.0,3.0,13.0,1.0,3.0,48.0,570.0,8.0,9.0,3.0,5.0,2.0,61.0,,,0.0,1.0,2.0,3.0,,0.0,4.0,2.0,4.0,66.4,10.0,3.0,6.0,2.0,5.0,3.0,44.0,7.0,634.0,9.0,7.0,26.0,11.0,32.0,3.0,6.0,358.0,6.0,6.0,9.0,144.0,34.0,,9.0,7.0,16.0,3.0,13.0,4.0,7.0,,,,,1.0,1.0,2.0,,,,1.0,3.0,,1.0,,,,,,,,,,,1.0,,,,2.0,3.0,1.0,,,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,
20,2128484,2021-01-26 20:15:00,"St. Mary's Stadium, Southampton",,Away,Arsenal,Southampton,3,1,W,2,1,0,0,,1.0,3.0,29.0,49.0,1.0,2.0,,,,31.0,15.0,2.0,5.0,7.0,4.0,2.0,1.0,140.0,1.0,15.0,3.0,12.0,3.0,2.0,8.0,5.0,82.0,136.0,49.0,,9.0,,10.0,2.0,,3.0,16.0,8.0,,15.0,3.0,7.0,33.0,138.0,,,0.0,124.0,6.0,2.0,,75.0,37.0,5.0,59.0,,1.0,13.0,15.0,2.0,,4.0,1.0,136.0,4.0,8.0,,72.0,536.0,4.0,22.0,,7.0,255.0,19.0,,8.0,3.0,2.0,3.0,3.0,22.0,329.0,48.0,3.0,98745,3.0,138.0,1.0,7.0,,166.0,4.0,1.0,15.0,9.0,47.0,3.0,,2.0,5.0,3.0,19.0,5.0,4.0,59.0,273.0,11.0,14.0,1.0,16.0,1.0,54.0,,,0.0,2.0,4.0,2.0,,0.0,2.0,3.0,1.0,42.0,19.0,1.0,6.0,2.0,5.0,,29.0,5.0,353.0,7.0,11.0,17.0,4.0,21.0,1.0,3.0,203.0,3.0,7.0,11.0,86.0,18.0,1.0,8.0,15.0,8.0,3.0,18.0,7.0,5.0,,2.0,,,,,3.0,,1.0,,,1.0,1.0,2.0,1.0,,,2.0,,1.0,2.0,1.0,,4.0,,,,1.0,1.0,2.0,,,1.0,,1.0,2.0,1.0,,,,,,,2.0,,,,,2.0,2.0,,2.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,
21,2128486,2021-01-30 17:30:00,"Emirates Stadium, London",,Home,Arsenal,Manchester United,0,0,D,0,0,0,0,,,,32.0,58.0,,2.0,3.0,,,15.0,21.0,8.0,5.0,8.0,3.0,,2.0,157.0,,14.0,5.0,6.0,,6.0,10.0,3.0,98.0,108.0,45.0,3.0,17.0,3.0,12.0,2.0,1.0,,12.0,7.0,,21.0,4.0,3.0,25.0,168.0,1.0,1.0,0.0,121.0,9.0,1.0,,62.0,48.0,5.0,68.0,1.0,2.0,8.0,19.0,9.0,3.0,,4.0,108.0,,8.0,,113.0,606.0,8.0,17.0,1.0,13.0,340.0,31.0,,12.0,,1.0,3.0,5.0,9.0,416.0,50.0,,98745,4.0,189.0,,5.0,,217.0,5.0,,19.0,8.0,37.0,1.0,,,4.0,,5.0,6.0,1.0,43.0,352.0,16.0,6.0,2.0,9.0,3.0,51.0,,1.0,0.0,,7.0,,1.0,0.0,3.0,,1.0,43.3,7.0,,3.0,1.0,4.0,6.0,24.0,4.0,436.0,13.0,7.0,12.0,8.0,21.0,2.0,3.0,231.0,10.0,3.0,10.0,88.0,20.0,,12.0,13.0,11.0,3.0,9.0,13.0,4.0,,1.0,1.0,3.0,,,,,,2.0,,2.0,,1.0,,,,2.0,,,2.0,,,,,,,,3.0,,1.0,,,,,3.0,,,,1.0,,,,3.0,,1.0,,,2.0,2.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,
22,2128502,2021-02-02 18:00:00,"Molineux Stadium, Wolverhampton",,Away,Arsenal,Wolverhampton Wanderers,1,2,L,1,1,2,0,1.0,2.0,,26.0,43.0,,3.0,2.0,,,10.0,25.0,3.0,4.0,6.0,5.0,,,133.0,,14.0,2.0,8.0,1.0,1.0,6.0,3.0,133.0,88.0,43.0,,9.0,3.0,11.0,2.0,1.0,1.0,12.0,7.0,1.0,25.0,5.0,7.0,21.0,193.0,,,0.0,98.0,8.0,2.0,,42.0,77.0,5.0,84.0,,,7.0,9.0,3.0,,2.0,,88.0,1.0,7.0,1.0,138.0,639.0,5.0,23.0,2.0,4.0,420.0,16.0,,11.0,1.0,2.0,,1.0,8.0,469.0,45.0,1.0,98745,4.0,244.0,1.0,4.0,,253.0,5.0,1.0,9.0,5.0,46.0,1.0,,3.0,6.0,1.0,10.0,4.0,4.0,30.0,435.0,10.0,18.0,,9.0,1.0,57.0,,1.0,0.0,2.0,9.0,1.0,,2.0,2.0,,,45.4,8.0,,2.0,2.0,6.0,5.0,41.0,6.0,488.0,4.0,7.0,5.0,1.0,24.0,,,247.0,5.0,6.0,12.0,66.0,17.0,,11.0,13.0,8.0,3.0,11.0,7.0,6.0,,,,,,3.0,3.0,1.0,,,1.0,,,2.0,2.0,,2.0,4.0,,1.0,4.0,,2.0,1.0,,3.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,
23,2128506,2021-02-06 12:30:00,"Villa Park, Birmingham",,Away,Arsenal,Aston Villa,0,1,L,0,1,0,0,1.0,3.0,,33.0,65.0,,3.0,3.0,,,17.0,9.0,4.0,5.0,10.0,7.0,,,199.0,,17.0,8.0,5.0,,3.0,10.0,3.0,163.0,145.0,47.0,1.0,14.0,2.0,24.0,1.0,,,40.0,7.0,,9.0,6.0,11.0,28.0,298.0,1.0,,0.0,200.0,12.0,4.0,1.0,95.0,79.0,6.0,81.0,,4.0,34.0,21.0,4.0,1.0,11.0,,145.0,,9.0,,154.0,793.0,9.0,44.0,,6.0,508.0,28.0,,3.0,,2.0,1.0,4.0,15.0,583.0,65.0,,98745,7.0,232.0,,19.0,1.0,258.0,7.0,,21.0,3.0,63.0,,,,6.0,,17.0,3.0,3.0,36.0,522.0,11.0,10.0,1.0,16.0,2.0,61.0,,,0.0,2.0,3.0,,,0.0,7.0,,3.0,66.4,14.0,3.0,2.0,,6.0,5.0,45.0,7.0,597.0,6.0,8.0,18.0,6.0,44.0,1.0,6.0,379.0,6.0,11.0,19.0,172.0,29.0,,3.0,12.0,10.0,3.0,15.0,7.0,7.0,,1.0,2.0,2.0,,,3.0,,,,2.0,2.0,1.0,4.0,1.0,,,1.0,,1.0,1.0,,,3.0,,,,,3.0,,,,2.0,,2.0,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
24,2128516,2021-02-14 16:30:00,"Emirates Stadium, London",,Home,Arsenal,Leeds United,4,2,W,3,0,0,0,,,2.0,41.0,63.0,1.0,1.0,2.0,,,19.0,15.0,5.0,4.0,8.0,3.0,,1.0,157.0,1.0,26.0,2.0,7.0,4.0,3.0,11.0,5.0,100.0,136.0,39.0,,13.0,3.0,14.0,,1.0,3.0,9.0,2.0,,15.0,4.0,13.0,38.0,146.0,1.0,,0.0,95.0,8.0,1.0,,56.0,49.0,8.0,82.0,,,5.0,17.0,5.0,,,1.0,136.0,2.0,5.0,,84.0,596.0,8.0,35.0,1.0,16.0,307.0,16.0,1.0,7.0,3.0,0.0,2.0,3.0,23.0,398.0,45.0,,98745,5.0,179.0,1.0,4.0,,208.0,3.0,3.0,17.0,7.0,39.0,,1.0,2.0,11.0,3.0,14.0,4.0,3.0,59.0,323.0,15.0,7.0,,20.0,,67.0,,,0.0,,5.0,4.0,,0.0,1.0,2.0,1.0,45.9,20.0,,4.0,1.0,11.0,5.0,27.0,4.0,423.0,16.0,3.0,13.0,3.0,21.0,1.0,1.0,224.0,8.0,10.0,12.0,58.0,31.0,3.0,7.0,5.0,12.0,3.0,14.0,10.0,4.0,,,1.0,4.0,,1.0,2.0,,1.0,,3.0,,1.0,2.0,2.0,,,,1.0,2.0,,,,4.0,,,,2.0,,,,,1.0,4.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,
25,2128526,2021-02-21 16:30:00,"Emirates Stadium, London",,Home,Arsenal,Manchester City,0,1,L,0,1,0,0,,1.0,,24.0,45.0,,,3.0,,,19.0,12.0,2.0,4.0,5.0,2.0,,,147.0,,9.0,3.0,10.0,,,4.0,1.0,128.0,109.0,38.0,,7.0,,9.0,,,,14.0,3.0,,12.0,1.0,8.0,40.0,147.0,,,0.0,97.0,11.0,1.0,,52.0,33.0,3.0,75.0,,2.0,13.0,9.0,2.0,,3.0,1.0,109.0,,12.0,,129.0,608.0,4.0,19.0,,6.0,387.0,19.0,,3.0,,2.0,6.0,1.0,9.0,454.0,39.0,,98745,2.0,263.0,,10.0,,290.0,9.0,,9.0,11.0,44.0,1.0,,1.0,6.0,,19.0,3.0,10.0,40.0,407.0,8.0,19.0,,10.0,,45.0,,,0.0,,3.0,,,0.0,2.0,,,45.0,8.0,,1.0,1.0,6.0,3.0,32.0,1.0,479.0,6.0,1.0,24.0,3.0,22.0,1.0,2.0,203.0,3.0,7.0,13.0,62.0,18.0,,3.0,8.0,7.0,4.0,14.0,5.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,2.0,,,,,2.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2128540,2021-02-28 12:00:00,"King Power Stadium, Leicester",,Away,Arsenal,Leicester City,3,1,W,2,1,0,0,,,2.0,31.0,59.0,,2.0,2.0,1.0,1.0,27.0,10.0,6.0,5.0,6.0,2.0,1.0,1.0,160.0,,19.0,9.0,9.0,3.0,6.0,8.0,4.0,146.0,142.0,45.0,,12.0,2.0,14.0,,,,23.0,8.0,,10.0,7.0,10.0,29.0,213.0,,,0.0,143.0,3.0,,1.0,67.0,92.0,5.0,84.0,,4.0,16.0,15.0,6.0,,3.0,3.0,142.0,,6.0,,117.0,690.0,7.0,21.0,,9.0,408.0,24.0,,5.0,1.0,1.0,2.0,3.0,25.0,493.0,60.0,,98745,3.0,215.0,,8.0,1.0,247.0,2.0,1.0,15.0,3.0,44.0,,1.0,1.0,4.0,1.0,12.0,2.0,1.0,60.0,419.0,14.0,6.0,,22.0,2.0,56.0,,,0.0,3.0,2.0,3.0,,0.0,6.0,1.0,2.0,55.8,23.0,,4.0,,5.0,4.0,33.0,7.0,507.0,9.0,8.0,15.0,4.0,25.0,3.0,1.0,283.0,5.0,10.0,13.0,111.0,25.0,1.0,5.0,9.0,8.0,3.0,22.0,6.0,7.0,1.0,,1.0,3.0,,2.0,5.0,1.0,,2.0,1.0,,,,1.0,,,,1.0,1.0,,,,5.0,,,,3.0,,1.0,,,1.0,,3.0,,,,,,,,1.0,5.0,1.0,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,
