gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attRfTarget,accuratePullBack,attOboxBlocked,attBxRight,attSvLowCentre,attOboxTarget,attMissHighRight,attOboxGoal,midfielderGoals,freekickCross,interceptionsInBox,contentiousDecision,attHdTarget,totalPullBack,attSvLowRight,goalsConceded,attCmissHighRight,accurateCrossNocorner,attSvHighCentre,clearanceOffLine,goalsConcededIbox,attFreekickTotal,freekickTotal,attMissHighLeft,errorLeadToShot,penaltyConceded,attCmissHighLeft,attCmissLeft,penaltyFaced,penGoalsConceded,attFreekickMiss,attLfGoal,ptsGainedLosingPos,attSvHighLeft,sixYardBlock,attGoalHighLeft,attFreekickTarget,errorLeadToGoal,attGoalLowCentre,ptsDroppedWinningPos,postScoringAtt,penaltyWon,attGoalHighCentre,secondYellow,attPostLeft,hitWoodwork,attCmissHigh,attPenGoal,attFreekickGoal,attOboxPost,goalsConcededObox,attCmissRight,attIboxPost,defenderGoals,attPostRight,attHdGoal,attSvHighRight,penaltySave,accurateFreekickCross,attPostHigh,foulThrowIn,attGoalHighRight,attLgCentre,attHdPost
11,1059803,2019-11-02 15:00:00,"Emirates Stadium, London",60383.0,Home,Arsenal,Wolverhampton Wanderers,1,1,D,1,0,0,0,2.0,1.0,58.0,1.0,2.0,1.0,18.0,20.0,1.0,4.0,9.0,7.0,173.0,8.0,10.0,1.0,1.0,7.0,4.0,145.0,137.0,48.0,10.0,18.0,3.0,,,1.0,,3.0,32.0,10.0,20.0,5.0,13.0,27.0,,257.0,,0.0,174.0,6.0,3.0,,1.0,,71.0,94.0,3.0,89.0,,27.0,22.0,1.0,8.0,1.0,137.0,1.0,15.0,132.0,766.0,4.0,,26.0,7.0,444.0,25.0,2.0,12.0,1.0,,0.0,12.0,4.0,22.0,512.0,59.0,,98980,7.0,216.0,,18.0,1.0,241.0,3.0,,22.0,5.0,57.0,3.0,2.0,6.0,1.0,9.0,9.0,5.0,1.0,42.0,465.0,15.0,11.0,2.0,14.0,2.0,61.0,,,0.0,2.0,9.0,5.0,1.0,,0.0,1.0,,2.0,57.5,18.0,2.0,5.0,1.0,6.0,1.0,43.0,8.0,,539.0,7.0,17.0,8.0,5.0,38.0,2.0,4.0,330.0,4.0,12.0,7.0,129.0,19.0,1.0,3.0,12.0,16.0,7.0,3.0,15.0,3.0,13.0,8.0,,,,,1.0,,,,2.0,,1.0,,,1.0,1.0,,,,,1.0,,6.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12,1059814,2019-11-09 17:30:00,"King Power Stadium, Leicester",32209.0,Away,Arsenal,Leicester City,0,2,L,0,0,0,0,,,59.0,,1.0,2.0,23.0,15.0,3.0,4.0,5.0,5.0,146.0,2.0,10.0,,,6.0,1.0,120.0,132.0,42.0,8.0,9.0,1.0,,1.0,,,1.0,16.0,13.0,15.0,4.0,5.0,39.0,,165.0,,0.0,116.0,10.0,2.0,,,2.0,47.0,65.0,4.0,88.0,2.0,12.0,17.0,3.0,1.0,2.0,132.0,1.0,9.0,124.0,673.0,6.0,2.0,18.0,7.0,379.0,32.0,,7.0,,1.0,1.0,3.0,2.0,19.0,453.0,45.0,1.0,98980,5.0,238.0,1.0,11.0,,271.0,6.0,,17.0,11.0,46.0,2.0,2.0,9.0,,16.0,10.0,10.0,1.0,51.0,401.0,10.0,9.0,,11.0,,51.0,,1.0,0.0,3.0,5.0,4.0,,,0.0,,1.0,,49.8,18.0,,3.0,,9.0,3.0,28.0,4.0,2.0,478.0,7.0,9.0,22.0,4.0,26.0,,2.0,223.0,4.0,4.0,4.0,91.0,14.0,,1.0,7.0,18.0,8.0,2.0,20.0,1.0,8.0,4.0,,,,,1.0,1.0,1.0,,,,,,,,2.0,,,1.0,1.0,2.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
13,1059823,2019-11-23 15:00:00,"Emirates Stadium, London",60295.0,Home,Arsenal,Southampton,2,2,D,1,1,0,0,1.0,1.0,54.0,,2.0,4.0,17.0,17.0,,4.0,12.0,4.0,159.0,12.0,20.0,2.0,6.0,9.0,5.0,132.0,147.0,79.0,12.0,9.0,3.0,1.0,,,,,32.0,13.0,17.0,5.0,4.0,22.0,,222.0,,0.0,131.0,13.0,3.0,1.0,,,79.0,58.0,6.0,70.0,2.0,27.0,19.0,,5.0,,147.0,,11.0,126.0,729.0,5.0,3.0,29.0,15.0,374.0,22.0,2.0,9.0,,,6.0,5.0,3.0,23.0,453.0,58.0,,98980,10.0,194.0,1.0,18.0,2.0,219.0,6.0,2.0,19.0,14.0,52.0,3.0,2.0,2.0,2.0,20.0,10.0,11.0,,37.0,404.0,19.0,13.0,4.0,12.0,3.0,59.0,1.0,1.0,0.0,2.0,8.0,2.0,2.0,2.0,0.0,,,2.0,61.0,22.0,1.0,3.0,1.0,2.0,4.0,33.0,6.0,,487.0,15.0,8.0,9.0,3.0,36.0,2.0,2.0,300.0,5.0,4.0,15.0,99.0,27.0,2.0,,9.0,25.0,7.0,3.0,30.0,,9.0,6.0,1.0,1.0,,,1.0,,,,1.0,,,,,4.0,1.0,,1.0,1.0,1.0,2.0,,10.0,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,2.0,1.0,1.0,,,
14,1059838,2019-12-01 14:00:00,"Carrow Road, Norwich",27067.0,Away,Arsenal,Norwich City,2,2,D,1,2,0,0,1.0,2.0,51.0,,1.0,6.0,34.0,14.0,3.0,1.0,13.0,6.0,178.0,10.0,10.0,2.0,2.0,8.0,7.0,130.0,143.0,48.0,16.0,11.0,4.0,,,,,,37.0,7.0,14.0,12.0,2.0,39.0,,251.0,,0.0,179.0,10.0,5.0,,1.0,,94.0,81.0,7.0,93.0,,25.0,13.0,3.0,4.0,,143.0,,10.0,140.0,742.0,4.0,7.0,45.0,9.0,447.0,21.0,1.0,8.0,,,1.0,2.0,1.0,28.0,524.0,63.0,,98980,8.0,218.0,,19.0,,234.0,8.0,2.0,13.0,7.0,46.0,1.0,,3.0,,16.0,5.0,4.0,1.0,55.0,459.0,7.0,13.0,4.0,7.0,7.0,63.0,,1.0,0.0,3.0,7.0,5.0,2.0,2.0,0.0,,,3.0,60.1,25.0,1.0,7.0,1.0,3.0,8.0,41.0,12.0,,541.0,9.0,8.0,24.0,1.0,45.0,5.0,1.0,344.0,11.0,2.0,15.0,132.0,19.0,,1.0,8.0,16.0,8.0,3.0,14.0,1.0,4.0,12.0,,1.0,,,2.0,,2.0,1.0,2.0,1.0,,,2.0,2.0,2.0,1.0,2.0,3.0,,2.0,,5.0,,,1.0,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,1.0,,
15,1059842,2019-12-05 20:15:00,"Emirates Stadium, London",60164.0,Home,Arsenal,Brighton and Hove Albion,1,2,L,0,1,0,0,1.0,,56.0,,2.0,2.0,22.0,13.0,3.0,2.0,9.0,7.0,133.0,7.0,15.0,1.0,2.0,10.0,5.0,110.0,123.0,55.0,12.0,23.0,3.0,1.0,,,,2.0,22.0,9.0,13.0,8.0,6.0,39.0,,146.0,,0.0,114.0,10.0,4.0,1.0,1.0,,52.0,51.0,6.0,56.0,2.0,14.0,14.0,3.0,3.0,1.0,123.0,1.0,15.0,90.0,606.0,8.0,1.0,26.0,8.0,310.0,19.0,1.0,6.0,1.0,,3.0,6.0,4.0,21.0,369.0,47.0,1.0,98980,5.0,186.0,1.0,11.0,,200.0,6.0,,14.0,6.0,48.0,1.0,7.0,12.0,,23.0,5.0,5.0,,45.0,325.0,10.0,7.0,1.0,11.0,4.0,47.0,1.0,,0.0,2.0,9.0,5.0,1.0,,0.0,1.0,,4.0,49.2,20.0,1.0,4.0,,12.0,3.0,23.0,9.0,,389.0,8.0,5.0,23.0,4.0,30.0,2.0,3.0,211.0,6.0,5.0,11.0,82.0,19.0,1.0,2.0,6.0,19.0,7.0,3.0,21.0,2.0,8.0,9.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,5.0,,,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
16,1059861,2019-12-09 20:00:00,"London Stadium, London",59936.0,Away,Arsenal,West Ham United,3,1,W,0,1,0,0,,2.0,62.0,2.0,2.0,3.0,30.0,16.0,3.0,2.0,7.0,3.0,207.0,2.0,12.0,3.0,2.0,8.0,3.0,188.0,138.0,54.0,10.0,13.0,,,1.0,3.0,,,9.0,7.0,16.0,2.0,5.0,32.0,,191.0,,0.0,126.0,6.0,3.0,,,1.0,68.0,70.0,6.0,118.0,,7.0,13.0,3.0,1.0,2.0,138.0,3.0,6.0,162.0,864.0,5.0,4.0,21.0,9.0,562.0,38.0,,12.0,3.0,1.0,0.0,3.0,2.0,26.0,652.0,38.0,,98980,4.0,395.0,1.0,5.0,,435.0,4.0,2.0,13.0,8.0,52.0,4.0,,7.0,3.0,11.0,5.0,7.0,2.0,54.0,584.0,12.0,7.0,,15.0,1.0,68.0,,,0.0,,4.0,1.0,3.0,2.0,0.0,2.0,,1.0,64.2,24.0,1.0,2.0,,7.0,4.0,45.0,3.0,1.0,675.0,9.0,13.0,18.0,3.0,18.0,,1.0,249.0,7.0,5.0,18.0,96.0,14.0,1.0,2.0,12.0,12.0,9.0,3.0,26.0,2.0,5.0,3.0,,,,,,,1.0,1.0,,,1.0,,2.0,1.0,1.0,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1059862,2019-12-15 16:30:00,"Emirates Stadium, London",60031.0,Home,Arsenal,Manchester City,0,3,L,0,3,0,0,1.0,,49.0,,2.0,,23.0,10.0,4.0,3.0,2.0,4.0,144.0,2.0,10.0,,5.0,3.0,1.0,139.0,124.0,58.0,6.0,15.0,1.0,,,,,2.0,20.0,12.0,10.0,2.0,8.0,35.0,,145.0,,0.0,90.0,9.0,4.0,,,,49.0,71.0,,80.0,1.0,18.0,12.0,4.0,2.0,3.0,124.0,,8.0,119.0,674.0,3.0,5.0,14.0,12.0,387.0,26.0,5.0,3.0,,,1.0,4.0,3.0,18.0,447.0,33.0,,98980,1.0,276.0,1.0,12.0,,299.0,7.0,,12.0,9.0,55.0,1.0,2.0,5.0,,15.0,6.0,8.0,1.0,49.0,419.0,23.0,11.0,,12.0,,59.0,,1.0,0.0,3.0,3.0,2.0,,1.0,0.0,,,1.0,42.4,16.0,1.0,2.0,1.0,5.0,1.0,34.0,3.0,,482.0,12.0,9.0,11.0,4.0,21.0,,1.0,203.0,2.0,8.0,9.0,68.0,16.0,,1.0,3.0,16.0,6.0,3.0,22.0,1.0,5.0,3.0,1.0,,,,,,1.0,,1.0,,,,,4.0,3.0,,,,,3.0,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,1059875,2019-12-21 12:30:00,"Goodison Park, Liverpool",39336.0,Away,Arsenal,Everton,0,0,D,0,0,0,0,,,54.0,,,,35.0,24.0,1.0,1.0,5.0,,156.0,3.0,13.0,,1.0,6.0,2.0,122.0,137.0,53.0,6.0,15.0,2.0,,1.0,,,1.0,16.0,10.0,24.0,4.0,8.0,29.0,,135.0,1.0,0.0,81.0,11.0,,,,1.0,52.0,64.0,2.0,78.0,1.0,12.0,13.0,1.0,3.0,1.0,137.0,1.0,5.0,128.0,678.0,5.0,7.0,8.0,6.0,388.0,30.0,4.0,15.0,,1.0,3.0,4.0,4.0,30.0,462.0,43.0,,98980,2.0,271.0,1.0,8.0,,301.0,5.0,,13.0,11.0,52.0,1.0,1.0,3.0,,19.0,4.0,7.0,,64.0,403.0,10.0,12.0,1.0,19.0,2.0,66.0,,,0.0,4.0,5.0,,,,0.0,,1.0,1.0,57.0,26.0,1.0,1.0,1.0,3.0,,40.0,4.0,1.0,484.0,6.0,6.0,14.0,4.0,19.0,2.0,3.0,199.0,4.0,6.0,18.0,50.0,19.0,,3.0,15.0,14.0,4.0,2.0,22.0,3.0,6.0,4.0,1.0,,,,2.0,,,1.0,1.0,,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1059882,2019-12-26 15:00:00,"Vitality Stadium, Bournemouth",10234.0,Away,Arsenal,Bournemouth,1,1,D,0,1,0,0,,1.0,56.0,,1.0,6.0,26.0,19.0,6.0,4.0,11.0,3.0,179.0,5.0,8.0,1.0,,12.0,2.0,148.0,133.0,35.0,17.0,14.0,,1.0,,,,2.0,24.0,6.0,19.0,3.0,6.0,35.0,,270.0,,0.0,163.0,13.0,3.0,1.0,1.0,2.0,80.0,80.0,6.0,105.0,,21.0,20.0,6.0,5.0,2.0,133.0,,9.0,167.0,796.0,12.0,2.0,38.0,13.0,510.0,20.0,,10.0,,,4.0,3.0,6.0,24.0,584.0,60.0,1.0,98980,8.0,255.0,,16.0,,280.0,8.0,1.0,20.0,7.0,51.0,3.0,,6.0,1.0,15.0,3.0,3.0,3.0,50.0,520.0,5.0,9.0,,10.0,1.0,71.0,1.0,1.0,0.0,4.0,8.0,2.0,1.0,2.0,0.0,,,,60.5,24.0,,8.0,1.0,6.0,9.0,51.0,3.0,2.0,599.0,13.0,8.0,19.0,6.0,32.0,1.0,4.0,343.0,13.0,5.0,12.0,129.0,21.0,,4.0,10.0,10.0,16.0,3.0,16.0,4.0,9.0,3.0,1.0,1.0,,,1.0,,3.0,1.0,,1.0,,,1.0,,,,,4.0,,1.0,,4.0,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
20,1059892,2019-12-29 14:00:00,"Emirates Stadium, London",60309.0,Home,Arsenal,Chelsea,1,2,L,1,0,0,0,,1.0,60.0,,,,16.0,20.0,1.0,2.0,6.0,2.0,150.0,3.0,10.0,1.0,2.0,6.0,2.0,106.0,132.0,60.0,7.0,15.0,,,,,,3.0,9.0,11.0,20.0,2.0,7.0,27.0,,125.0,,0.0,81.0,13.0,1.0,,,,30.0,49.0,1.0,62.0,2.0,7.0,20.0,1.0,,,132.0,1.0,10.0,109.0,615.0,3.0,3.0,17.0,12.0,315.0,25.0,3.0,11.0,1.0,,5.0,3.0,5.0,17.0,396.0,41.0,,98980,4.0,215.0,,6.0,,247.0,7.0,,20.0,8.0,60.0,,2.0,6.0,,12.0,3.0,6.0,,49.0,337.0,18.0,15.0,2.0,22.0,3.0,64.0,,2.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,,1.0,2.0,42.1,15.0,1.0,4.0,,6.0,,31.0,2.0,,427.0,12.0,9.0,10.0,5.0,21.0,2.0,5.0,189.0,3.0,7.0,17.0,53.0,23.0,,2.0,11.0,16.0,3.0,3.0,18.0,2.0,12.0,2.0,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,2.0,,,,,2.0,,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
21,1059902,2020-01-01 20:00:00,"Emirates Stadium, London",60328.0,Home,Arsenal,Manchester United,2,0,W,2,0,0,0,,2.0,61.0,,2.0,1.0,43.0,18.0,2.0,4.0,8.0,4.0,164.0,5.0,13.0,2.0,,8.0,4.0,118.0,118.0,54.0,10.0,9.0,2.0,2.0,1.0,,,1.0,15.0,10.0,18.0,1.0,11.0,35.0,,154.0,1.0,0.0,109.0,11.0,1.0,2.0,1.0,,66.0,58.0,3.0,104.0,1.0,14.0,21.0,2.0,2.0,1.0,118.0,,5.0,127.0,715.0,7.0,3.0,29.0,15.0,415.0,30.0,3.0,8.0,,1.0,2.0,3.0,5.0,20.0,488.0,45.0,,98980,3.0,286.0,,12.0,,314.0,4.0,1.0,21.0,8.0,51.0,,,8.0,1.0,17.0,5.0,4.0,1.0,72.0,435.0,15.0,19.0,1.0,17.0,2.0,55.0,2.0,3.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,,1.0,1.0,48.8,20.0,,5.0,,8.0,1.0,33.0,1.0,,513.0,15.0,6.0,25.0,5.0,19.0,1.0,3.0,214.0,5.0,10.0,7.0,80.0,15.0,,1.0,8.0,19.0,8.0,3.0,19.0,1.0,13.0,1.0,,,,,1.0,,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,
22,1059915,2020-01-11 12:30:00,"Selhurst Park, London",25468.0,Away,Arsenal,Crystal Palace,1,1,D,1,0,1,0,1.0,1.0,64.0,1.0,,1.0,38.0,19.0,,2.0,6.0,1.0,174.0,1.0,7.0,1.0,1.0,3.0,4.0,110.0,175.0,49.0,7.0,13.0,3.0,,1.0,1.0,,,10.0,10.0,19.0,4.0,5.0,49.0,,147.0,,0.0,107.0,22.0,,,,,59.0,51.0,2.0,86.0,,6.0,19.0,1.0,1.0,1.0,175.0,1.0,4.0,117.0,691.0,1.0,4.0,18.0,9.0,359.0,22.0,6.0,13.0,1.0,1.0,3.0,2.0,1.0,33.0,459.0,51.0,,98980,1.0,235.0,1.0,5.0,,277.0,16.0,1.0,19.0,10.0,68.0,,1.0,8.0,1.0,22.0,2.0,7.0,2.0,68.0,381.0,14.0,8.0,1.0,22.0,2.0,63.0,,,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,57.3,24.0,1.0,5.0,1.0,8.0,1.0,38.0,4.0,,487.0,9.0,12.0,26.0,2.0,16.0,1.0,1.0,220.0,4.0,4.0,11.0,72.0,29.0,,,13.0,17.0,4.0,3.0,20.0,,4.0,4.0,,,,,2.0,,,1.0,1.0,,,,1.0,,,1.0,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,
23,1059922,2020-01-18 15:00:00,"Emirates Stadium, London",60310.0,Home,Arsenal,Sheffield United,1,1,D,1,0,0,0,1.0,1.0,74.0,,1.0,1.0,20.0,16.0,4.0,4.0,7.0,2.0,186.0,4.0,12.0,1.0,3.0,8.0,4.0,150.0,161.0,55.0,11.0,28.0,2.0,1.0,1.0,,,,17.0,8.0,16.0,4.0,1.0,40.0,,191.0,,0.0,143.0,9.0,1.0,1.0,,,90.0,67.0,5.0,90.0,2.0,13.0,17.0,4.0,3.0,2.0,161.0,,9.0,141.0,758.0,6.0,4.0,21.0,12.0,437.0,35.0,4.0,7.0,,1.0,1.0,3.0,3.0,23.0,546.0,54.0,,98980,2.0,270.0,,10.0,1.0,314.0,4.0,1.0,17.0,7.0,64.0,1.0,3.0,7.0,1.0,12.0,3.0,6.0,1.0,58.0,457.0,9.0,9.0,2.0,24.0,1.0,66.0,1.0,,0.0,1.0,5.0,2.0,1.0,2.0,0.0,,,1.0,61.0,21.0,,5.0,1.0,7.0,2.0,33.0,4.0,,567.0,12.0,8.0,19.0,5.0,26.0,2.0,3.0,270.0,6.0,1.0,22.0,101.0,27.0,,2.0,7.0,13.0,8.0,1.0,24.0,2.0,10.0,4.0,1.0,,,,1.0,,1.0,3.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
24,1059939,2020-01-21 20:15:00,"Stamford Bridge, London",40577.0,Away,Arsenal,Chelsea,2,2,D,0,1,1,0,,1.0,50.0,1.0,2.0,,27.0,31.0,1.0,1.0,1.0,6.0,142.0,,9.0,2.0,,2.0,2.0,84.0,138.0,54.0,2.0,21.0,,1.0,,2.0,1.0,,18.0,12.0,31.0,4.0,6.0,32.0,1.0,103.0,,0.0,85.0,6.0,3.0,1.0,,,47.0,51.0,2.0,76.0,,14.0,14.0,1.0,1.0,,138.0,1.0,15.0,83.0,579.0,,5.0,16.0,5.0,285.0,25.0,2.0,18.0,2.0,,1.0,6.0,,23.0,359.0,44.0,,98980,1.0,198.0,,13.0,,233.0,4.0,1.0,14.0,9.0,56.0,,1.0,5.0,2.0,14.0,4.0,2.0,,58.0,301.0,11.0,11.0,,14.0,,54.0,1.0,,0.0,,17.0,4.0,1.0,1.0,1.0,,,,41.2,21.0,,5.0,,5.0,,26.0,5.0,,385.0,5.0,10.0,15.0,,15.0,,,170.0,1.0,5.0,13.0,50.0,13.0,,2.0,18.0,21.0,2.0,3.0,17.0,2.0,4.0,5.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,2.0,,,,,2.0,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
25,1059943,2020-02-02 14:00:00,"Turf Moor, Burnley",21048.0,Away,Arsenal,Burnley,0,0,D,0,0,0,0,,,55.0,,1.0,3.0,25.0,23.0,4.0,3.0,9.0,2.0,156.0,4.0,11.0,,1.0,11.0,2.0,109.0,146.0,54.0,13.0,22.0,1.0,,,,,3.0,21.0,13.0,23.0,5.0,3.0,32.0,,169.0,1.0,0.0,100.0,11.0,1.0,,,1.0,54.0,50.0,5.0,68.0,1.0,16.0,12.0,4.0,6.0,1.0,146.0,2.0,11.0,129.0,658.0,10.0,3.0,19.0,8.0,353.0,26.0,1.0,14.0,,,3.0,2.0,6.0,20.0,435.0,50.0,1.0,98980,6.0,207.0,2.0,9.0,,252.0,8.0,,12.0,12.0,60.0,1.0,1.0,5.0,,12.0,4.0,8.0,1.0,61.0,372.0,8.0,7.0,1.0,18.0,3.0,69.0,,1.0,0.0,3.0,5.0,1.0,,,0.0,,1.0,3.0,57.3,17.0,3.0,,2.0,5.0,5.0,40.0,7.0,1.0,462.0,8.0,11.0,13.0,6.0,29.0,1.0,5.0,231.0,7.0,3.0,18.0,80.0,22.0,,7.0,14.0,17.0,10.0,3.0,20.0,7.0,5.0,7.0,,,,,2.0,,2.0,1.0,,1.0,,,,1.0,1.0,,,2.0,,,,3.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
26,1059952,2020-02-16 16:30:00,"Emirates Stadium, London",60188.0,Home,Arsenal,Newcastle United,4,0,W,0,0,0,0,2.0,4.0,55.0,1.0,1.0,1.0,24.0,15.0,5.0,6.0,10.0,2.0,145.0,3.0,12.0,4.0,3.0,13.0,7.0,193.0,111.0,49.0,15.0,16.0,2.0,,,4.0,,2.0,24.0,7.0,15.0,4.0,4.0,25.0,,346.0,1.0,0.0,202.0,15.0,1.0,,1.0,,95.0,80.0,7.0,91.0,,20.0,6.0,5.0,10.0,3.0,111.0,5.0,5.0,214.0,816.0,8.0,,36.0,10.0,570.0,24.0,1.0,9.0,4.0,,2.0,3.0,6.0,12.0,627.0,65.0,1.0,98980,9.0,242.0,1.0,9.0,,259.0,9.0,1.0,6.0,3.0,61.0,3.0,1.0,5.0,4.0,12.0,5.0,2.0,,39.0,585.0,9.0,13.0,1.0,5.0,2.0,70.0,,,0.0,,6.0,1.0,4.0,,0.0,4.0,1.0,2.0,68.4,11.0,1.0,2.0,1.0,5.0,2.0,57.0,5.0,,643.0,10.0,7.0,13.0,6.0,36.0,1.0,2.0,408.0,7.0,3.0,16.0,172.0,23.0,,1.0,9.0,12.0,12.0,3.0,23.0,1.0,2.0,5.0,,2.0,,,1.0,4.0,1.0,,,1.0,1.0,,3.0,1.0,1.0,,,5.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,2.0,,,1.0,,1.0,,,,1.0,,,,,2.0,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,
