gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attIboxBlocked,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attMissHighRight,cleanSheet,interceptionsInBox,totalKeeperSweeper,accurateThroughBall,errorLeadToShot,shieldBallOop,bigChanceScored,attLfGoal,attGoalLowCentre,shotFastbreak,attSvHighRight,totalFastbreak,bigChanceCreated,attMissHighLeft,attCmissHighLeft,attPenGoal,attFastbreak,attSvLowRight,punches,overrun,forwardGoals,accuratePullBack,attMissLeft,ptsGainedLosingPos,attCmissHigh,ownGoals,attCmissLeft,attIboxOwnGoal,attGoalHighRight,attOboxGoal,sixYardBlock,penaltyConceded,attGoalHighLeft,penaltyFaced,penGoalsConceded,goalFastbreak,attOneOnOne,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostRight,attObxLeft,attHdPost,attPostHigh,errorLeadToGoal,attHdTarget,attFreekickTarget,attFreekickMiss,attPostLeft,attOboxPost,attFreekickGoal,foulThrowIn,attObpGoal,clearanceOffLine,attCmissHighRight,attLgLeft,attSvHighLeft,attGoalHighCentre,attObxdLeft
11,855273,2016-11-06 12:00:00,"Emirates Stadium, London",60039,Home,Arsenal,Tottenham Hotspur,1,1,D,1,0,0,0,,,67.0,,,,,,23.0,17.0,8.0,2.0,7.0,2.0,1.0,199.0,4.0,4.0,1.0,4.0,12.0,,2.0,85.0,184.0,61.0,,,15.0,2.0,17.0,2.0,1.0,,26.0,17.0,17.0,6.0,10.0,43.0,200.0,,0.0,190.0,11.0,2.0,,,3.0,,91.0,54.0,6.0,47.0,1.0,20.0,29.0,8.0,,6.0,5.0,184.0,7.0,92.0,644.0,,10.0,10.0,29.0,36.0,281.0,20.0,2.0,13.0,,1.0,,6.0,20.0,391.0,58.0,,98745,6.0,102.0,,11.0,,132.0,6.0,,2.0,29.0,10.0,55.0,4.0,,7.0,2.0,,11.0,3.0,3.0,3.0,58.0,298.0,16.0,13.0,2.0,19.0,4.0,80.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,,4.0,45.7,18.0,2.0,9.0,,1.0,2.0,4.0,38.0,7.0,,423.0,36.0,11.0,18.0,9.0,45.0,2.0,3.0,317.0,9.0,9.0,19.0,132.0,31.0,1.0,13.0,23.0,,1.0,11.0,3.0,8.0,2.0,1.0,14.0,7.0,,2.0,1.0,1.0,,3.0,,5.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,
12,855284,2016-11-19 12:30:00,"Old Trafford, Manchester",75264,Away,Arsenal,Manchester United,1,1,D,0,0,0,0,,,75.0,1.0,,3.0,,,23.0,31.0,3.0,,2.0,4.0,,200.0,1.0,11.0,1.0,1.0,3.0,,1.0,126.0,171.0,71.0,,,5.0,1.0,12.0,,,1.0,13.0,17.0,31.0,2.0,23.0,29.0,253.0,,0.0,164.0,11.0,1.0,,,,2.0,84.0,57.0,1.0,79.0,,11.0,21.0,3.0,,4.0,2.0,171.0,6.0,147.0,758.0,,2.0,13.0,11.0,15.0,409.0,33.0,11.0,17.0,1.0,3.0,2.0,2.0,23.0,522.0,69.0,,84450,1.0,182.0,,7.0,,213.0,8.0,,2.0,21.0,6.0,54.0,,,,2.0,1.0,16.0,6.0,3.0,1.0,52.0,434.0,13.0,10.0,,28.0,1.0,91.0,0.0,10.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,54.5,21.0,1.0,4.0,,,2.0,1.0,57.0,4.0,2.0,552.0,15.0,16.0,10.0,3.0,23.0,,1.0,352.0,3.0,22.0,24.0,117.0,30.0,5.0,17.0,23.0,1.0,1.0,4.0,3.0,18.0,,5.0,7.0,4.0,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,855292,2016-11-27 14:15:00,"Emirates Stadium, London",59978,Home,Arsenal,Bournemouth,3,1,W,1,1,0,0,,,70.0,1.0,1.0,,,,22.0,20.0,3.0,5.0,13.0,2.0,,176.0,3.0,11.0,3.0,5.0,14.0,,3.0,118.0,140.0,62.0,,,16.0,1.0,14.0,,1.0,2.0,23.0,19.0,20.0,2.0,16.0,32.0,241.0,,0.0,183.0,12.0,2.0,1.0,,4.0,,76.0,73.0,8.0,64.0,2.0,21.0,25.0,3.0,,2.0,2.0,140.0,7.0,108.0,693.0,,11.0,6.0,47.0,20.0,363.0,22.0,7.0,12.0,2.0,3.0,1.0,6.0,22.0,441.0,62.0,,84450,7.0,144.0,1.0,15.0,1.0,160.0,9.0,2.0,1.0,25.0,7.0,56.0,4.0,,1.0,5.0,3.0,16.0,2.0,4.0,,43.0,382.0,13.0,13.0,1.0,18.0,,62.0,0.0,10.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,2.0,51.5,20.0,1.0,10.0,2.0,,5.0,6.0,41.0,3.0,,466.0,20.0,13.0,17.0,7.0,38.0,,5.0,329.0,9.0,16.0,14.0,133.0,30.0,7.0,12.0,24.0,1.0,1.0,15.0,3.0,15.0,,7.0,14.0,3.0,,5.0,1.0,,,1.0,,1.0,1.0,,,,3.0,,1.0,,,,3.0,2.0,,,,,,,2.0,1.0,2.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
14,855311,2016-12-03 17:30:00,"London Stadium, London",56980,Away,Arsenal,West Ham United,5,1,W,1,0,0,0,,1.0,66.0,3.0,1.0,,,,26.0,20.0,5.0,4.0,14.0,2.0,4.0,196.0,4.0,16.0,5.0,2.0,17.0,,10.0,98.0,143.0,61.0,,,19.0,1.0,10.0,4.0,,4.0,11.0,11.0,20.0,2.0,6.0,29.0,236.0,,0.0,173.0,11.0,,2.0,3.0,2.0,1.0,56.0,80.0,11.0,72.0,1.0,9.0,18.0,5.0,,1.0,1.0,143.0,6.0,117.0,681.0,,10.0,12.0,36.0,17.0,374.0,23.0,4.0,10.0,4.0,3.0,2.0,5.0,24.0,464.0,61.0,1.0,84450,10.0,152.0,3.0,6.0,1.0,173.0,5.0,4.0,4.0,18.0,7.0,36.0,3.0,,2.0,6.0,5.0,16.0,4.0,3.0,1.0,56.0,384.0,9.0,4.0,2.0,21.0,1.0,83.0,0.0,3.0,2.0,3.0,1.0,7.0,0.0,3.0,2.0,2.0,49.5,19.0,2.0,8.0,3.0,,6.0,3.0,42.0,2.0,1.0,483.0,17.0,4.0,18.0,6.0,30.0,1.0,5.0,321.0,13.0,5.0,20.0,129.0,26.0,3.0,10.0,17.0,,1.0,17.0,3.0,24.0,,3.0,8.0,2.0,1.0,2.0,,,1.0,1.0,,2.0,,2.0,1.0,,2.0,1.0,1.0,,,,5.0,,,,,2.0,,2.0,3.0,1.0,3.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,855312,2016-12-10 15:00:00,"Emirates Stadium, London",59964,Home,Arsenal,Stoke City,3,1,W,1,1,0,0,,,49.0,,2.0,3.0,,,23.0,16.0,4.0,3.0,17.0,4.0,3.0,168.0,3.0,10.0,3.0,1.0,17.0,,6.0,157.0,116.0,41.0,,,21.0,2.0,15.0,2.0,7.0,3.0,17.0,10.0,16.0,2.0,10.0,42.0,317.0,,0.0,235.0,9.0,2.0,2.0,1.0,1.0,,80.0,91.0,11.0,66.0,2.0,15.0,13.0,4.0,,2.0,1.0,116.0,7.0,148.0,725.0,,14.0,3.0,40.0,13.0,444.0,14.0,1.0,7.0,3.0,0.0,2.0,6.0,25.0,515.0,60.0,1.0,98745,6.0,149.0,,12.0,,158.0,3.0,2.0,1.0,13.0,9.0,44.0,7.0,,3.0,5.0,3.0,7.0,5.0,5.0,2.0,46.0,463.0,6.0,5.0,,12.0,3.0,57.0,0.0,7.0,1.0,3.0,1.0,,0.0,3.0,2.0,2.0,64.4,25.0,1.0,9.0,3.0,,5.0,8.0,40.0,7.0,1.0,539.0,13.0,7.0,27.0,7.0,42.0,,6.0,398.0,15.0,10.0,11.0,182.0,21.0,2.0,7.0,14.0,1.0,1.0,18.0,3.0,18.0,,2.0,10.0,7.0,,6.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,2.0,3.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,855328,2016-12-13 19:45:00,"Goodison Park, Liverpool",39510,Away,Arsenal,Everton,1,2,L,1,1,0,1,,1.0,72.0,,,,,,20.0,24.0,2.0,3.0,7.0,2.0,1.0,200.0,1.0,8.0,1.0,3.0,6.0,,3.0,131.0,168.0,58.0,,1.0,9.0,,23.0,2.0,,,10.0,11.0,24.0,3.0,13.0,53.0,239.0,,0.0,172.0,10.0,1.0,,1.0,1.0,,61.0,53.0,,71.0,1.0,7.0,26.0,2.0,1.0,3.0,1.0,168.0,10.0,128.0,737.0,,5.0,13.0,30.0,14.0,404.0,32.0,3.0,11.0,,1.0,5.0,6.0,22.0,507.0,61.0,,98745,7.0,182.0,2.0,3.0,2.0,208.0,5.0,1.0,7.0,26.0,10.0,65.0,4.0,,2.0,5.0,,21.0,4.0,3.0,2.0,45.0,420.0,10.0,11.0,1.0,16.0,1.0,76.0,0.0,8.0,2.0,,2.0,1.0,0.0,,,2.0,58.5,21.0,2.0,5.0,,,5.0,,47.0,3.0,,530.0,14.0,16.0,30.0,6.0,36.0,1.0,5.0,332.0,4.0,11.0,21.0,117.0,28.0,4.0,11.0,19.0,,2.0,5.0,3.0,15.0,3.0,4.0,11.0,3.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,1.0,3.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,
17,855335,2016-12-18 16:00:00,"Etihad Stadium, Manchester",54409,Away,Arsenal,Manchester City,1,2,L,1,0,0,0,,,47.0,,,1.0,,,29.0,27.0,3.0,,3.0,3.0,,162.0,2.0,11.0,1.0,1.0,4.0,,1.0,83.0,138.0,48.0,,,6.0,,20.0,,1.0,1.0,8.0,10.0,27.0,,11.0,17.0,138.0,,0.0,76.0,13.0,2.0,1.0,,1.0,1.0,45.0,38.0,1.0,56.0,1.0,8.0,19.0,3.0,,2.0,3.0,138.0,9.0,87.0,565.0,,3.0,5.0,10.0,14.0,269.0,25.0,11.0,13.0,1.0,2.0,2.0,3.0,18.0,354.0,41.0,,98745,2.0,152.0,,5.0,,189.0,10.0,1.0,,19.0,14.0,60.0,,,1.0,5.0,1.0,10.0,5.0,8.0,2.0,71.0,288.0,9.0,9.0,,34.0,1.0,71.0,0.0,8.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,39.4,17.0,1.0,,,,5.0,,33.0,1.0,1.0,388.0,14.0,12.0,7.0,5.0,14.0,,2.0,207.0,5.0,11.0,13.0,47.0,8.0,5.0,13.0,15.0,,2.0,5.0,3.0,18.0,3.0,5.0,10.0,1.0,1.0,,1.0,,,,,2.0,1.0,,,3.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,855342,2016-12-26 15:00:00,"Emirates Stadium, London",59925,Home,Arsenal,West Bromwich Albion,1,0,W,0,0,0,0,,3.0,65.0,,1.0,,,,29.0,23.0,9.0,9.0,17.0,1.0,5.0,212.0,7.0,13.0,1.0,,21.0,,11.0,243.0,124.0,51.0,,,26.0,1.0,15.0,7.0,,1.0,18.0,11.0,23.0,3.0,36.0,50.0,551.0,,0.0,400.0,12.0,1.0,,4.0,,,91.0,98.0,15.0,97.0,1.0,15.0,8.0,9.0,,3.0,5.0,124.0,3.0,261.0,989.0,,20.0,4.0,55.0,11.0,715.0,27.0,5.0,13.0,1.0,3.0,1.0,6.0,15.0,793.0,91.0,,98745,9.0,187.0,2.0,12.0,,201.0,6.0,,2.0,8.0,5.0,52.0,4.0,,,6.0,1.0,14.0,,1.0,,48.0,731.0,6.0,9.0,,10.0,3.0,66.0,0.0,5.0,1.0,1.0,,1.0,0.0,6.0,1.0,5.0,75.6,15.0,1.0,6.0,6.0,1.0,6.0,7.0,53.0,6.0,1.0,813.0,11.0,12.0,29.0,8.0,51.0,1.0,2.0,630.0,12.0,35.0,18.0,345.0,26.0,1.0,13.0,15.0,1.0,,23.0,3.0,18.0,,1.0,1.0,6.0,,6.0,1.0,1.0,3.0,2.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,2.0,,,,3.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,
19,855352,2017-01-01 16:00:00,"Emirates Stadium, London",59975,Home,Arsenal,Crystal Palace,2,0,W,1,0,0,0,,2.0,71.0,,,2.0,,,36.0,36.0,8.0,9.0,14.0,4.0,3.0,194.0,4.0,10.0,2.0,4.0,16.0,3.0,7.0,159.0,140.0,57.0,,1.0,22.0,3.0,23.0,3.0,1.0,1.0,20.0,18.0,36.0,4.0,29.0,46.0,341.0,,0.0,231.0,9.0,3.0,1.0,3.0,1.0,1.0,99.0,72.0,12.0,85.0,3.0,16.0,16.0,8.0,1.0,4.0,3.0,140.0,4.0,199.0,837.0,,15.0,8.0,46.0,9.0,522.0,33.0,5.0,22.0,1.0,1.0,1.0,4.0,20.0,613.0,67.0,,98745,7.0,204.0,1.0,11.0,,226.0,5.0,,5.0,16.0,8.0,59.0,2.0,,2.0,6.0,2.0,3.0,3.0,4.0,1.0,58.0,541.0,7.0,7.0,,9.0,4.0,83.0,0.0,4.0,2.0,2.0,,3.0,0.0,4.0,1.0,1.0,64.1,18.0,,7.0,3.0,,6.0,10.0,64.0,8.0,1.0,637.0,9.0,17.0,27.0,5.0,47.0,,2.0,431.0,12.0,26.0,15.0,175.0,22.0,,22.0,25.0,1.0,,17.0,3.0,13.0,,,3.0,8.0,,7.0,,2.0,2.0,,1.0,,,2.0,,,,1.0,,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,855362,2017-01-03 19:45:00,"Vitality Stadium, Bournemouth",11202,Away,Arsenal,Bournemouth,3,3,D,0,2,0,1,,1.0,67.0,2.0,1.0,2.0,,,29.0,11.0,5.0,6.0,9.0,3.0,,217.0,4.0,7.0,3.0,1.0,13.0,,4.0,138.0,161.0,49.0,,,14.0,2.0,17.0,,,3.0,24.0,13.0,11.0,6.0,15.0,59.0,278.0,,0.0,213.0,12.0,1.0,1.0,,1.0,2.0,73.0,64.0,9.0,65.0,2.0,18.0,19.0,5.0,,7.0,2.0,161.0,6.0,151.0,762.0,,10.0,10.0,35.0,12.0,453.0,32.0,5.0,5.0,3.0,3.0,1.0,4.0,21.0,547.0,73.0,,98745,5.0,195.0,,10.0,,225.0,3.0,,1.0,19.0,5.0,54.0,5.0,,3.0,6.0,3.0,17.0,7.0,3.0,,60.0,469.0,9.0,15.0,,25.0,1.0,79.0,0.0,4.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,60.4,17.0,1.0,4.0,2.0,,6.0,5.0,48.0,7.0,2.0,571.0,12.0,7.0,34.0,5.0,54.0,1.0,3.0,370.0,5.0,15.0,16.0,164.0,21.0,2.0,5.0,17.0,2.0,3.0,13.0,3.0,12.0,,2.0,11.0,7.0,2.0,3.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,3.0,1.0,1.0,3.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,855378,2017-01-14 15:00:00,"Swansea.com Stadium, Swansea",20875,Away,Arsenal,Swansea City,4,0,W,1,0,0,0,,2.0,58.0,,,2.0,,,34.0,20.0,4.0,5.0,10.0,3.0,2.0,179.0,1.0,9.0,4.0,1.0,10.0,,6.0,170.0,126.0,53.0,,,14.0,,10.0,1.0,1.0,,7.0,14.0,20.0,2.0,16.0,40.0,267.0,,0.0,196.0,8.0,2.0,1.0,2.0,1.0,,96.0,66.0,9.0,91.0,1.0,5.0,9.0,4.0,,1.0,1.0,126.0,6.0,165.0,766.0,,10.0,4.0,36.0,21.0,488.0,25.0,8.0,12.0,,0.0,3.0,1.0,18.0,580.0,62.0,1.0,84450,6.0,241.0,1.0,3.0,,264.0,2.0,2.0,3.0,9.0,10.0,42.0,2.0,,,7.0,2.0,8.0,6.0,6.0,,56.0,507.0,11.0,12.0,,18.0,,82.0,0.0,3.0,1.0,4.0,,1.0,0.0,1.0,,1.0,56.8,16.0,,7.0,2.0,,7.0,6.0,60.0,2.0,,605.0,21.0,9.0,23.0,2.0,29.0,,1.0,348.0,8.0,14.0,17.0,145.0,18.0,3.0,12.0,17.0,,,14.0,3.0,12.0,,3.0,2.0,2.0,,6.0,,,3.0,,1.0,,,,1.0,5.0,2.0,,,,,,1.0,1.0,,,,2.0,1.0,,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,855383,2017-01-22 14:15:00,"Emirates Stadium, London",59955,Home,Arsenal,Burnley,2,1,W,0,0,1,0,,2.0,61.0,1.0,,3.0,1.0,1.0,36.0,37.0,9.0,5.0,15.0,6.0,3.0,200.0,5.0,16.0,2.0,5.0,19.0,1.0,8.0,152.0,134.0,54.0,,,24.0,2.0,13.0,2.0,1.0,,21.0,6.0,37.0,4.0,13.0,45.0,300.0,1.0,0.0,218.0,12.0,4.0,1.0,4.0,2.0,1.0,76.0,79.0,14.0,75.0,3.0,17.0,8.0,9.0,,3.0,3.0,134.0,7.0,151.0,795.0,,17.0,4.0,49.0,7.0,481.0,27.0,4.0,23.0,1.0,1.0,3.0,5.0,23.0,551.0,64.0,,98745,7.0,207.0,,12.0,2.0,224.0,5.0,1.0,1.0,8.0,6.0,53.0,3.0,1.0,2.0,5.0,,10.0,6.0,3.0,2.0,61.0,502.0,11.0,4.0,1.0,14.0,4.0,77.0,0.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,5.0,69.8,20.0,1.0,3.0,4.0,,5.0,9.0,55.0,10.0,1.0,578.0,7.0,18.0,32.0,7.0,43.0,1.0,4.0,375.0,14.0,10.0,17.0,175.0,20.0,,23.0,11.0,1.0,1.0,17.0,3.0,24.0,,,1.0,10.0,1.0,7.0,,1.0,4.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,3.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,
23,855393,2017-01-31 19:45:00,"Emirates Stadium, London",60035,Home,Arsenal,Watford,1,2,L,0,2,0,0,1.0,2.0,64.0,,1.0,1.0,,,29.0,18.0,6.0,4.0,14.0,4.0,2.0,192.0,5.0,15.0,1.0,7.0,14.0,,5.0,147.0,160.0,70.0,,1.0,20.0,3.0,25.0,4.0,3.0,1.0,27.0,14.0,18.0,8.0,18.0,40.0,282.0,,0.0,199.0,12.0,3.0,1.0,3.0,4.0,,88.0,61.0,9.0,78.0,1.0,19.0,17.0,6.0,1.0,3.0,3.0,160.0,6.0,181.0,820.0,,11.0,5.0,44.0,8.0,484.0,26.0,1.0,11.0,1.0,3.0,2.0,5.0,26.0,575.0,77.0,1.0,98745,9.0,226.0,,12.0,1.0,250.0,8.0,1.0,1.0,17.0,7.0,70.0,4.0,,2.0,7.0,1.0,13.0,4.0,5.0,,52.0,503.0,15.0,12.0,2.0,6.0,5.0,81.0,0.0,5.0,3.0,1.0,2.0,3.0,0.0,4.0,1.0,3.0,73.5,22.0,1.0,3.0,2.0,,7.0,7.0,52.0,9.0,,598.0,8.0,20.0,22.0,8.0,51.0,1.0,4.0,375.0,13.0,18.0,20.0,149.0,26.0,1.0,11.0,20.0,,1.0,12.0,3.0,19.0,,1.0,9.0,9.0,1.0,4.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,4.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
24,855402,2017-02-04 12:30:00,"Stamford Bridge, London",41490,Away,Arsenal,Chelsea,1,3,L,0,1,0,0,1.0,1.0,71.0,1.0,,1.0,,,21.0,22.0,3.0,1.0,6.0,3.0,,172.0,6.0,15.0,1.0,2.0,7.0,,5.0,154.0,154.0,65.0,,,9.0,2.0,17.0,4.0,,1.0,33.0,18.0,22.0,11.0,13.0,32.0,287.0,,0.0,182.0,8.0,1.0,,1.0,1.0,,98.0,71.0,6.0,70.0,,22.0,16.0,3.0,,7.0,1.0,154.0,8.0,165.0,779.0,,5.0,7.0,15.0,11.0,444.0,25.0,1.0,15.0,1.0,1.0,2.0,1.0,17.0,532.0,62.0,,98745,4.0,191.0,2.0,14.0,,222.0,5.0,,,16.0,6.0,60.0,1.0,,3.0,12.0,1.0,13.0,5.0,5.0,1.0,50.0,472.0,14.0,17.0,1.0,13.0,5.0,71.0,0.0,10.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,5.0,58.3,15.0,1.0,9.0,1.0,1.0,12.0,2.0,46.0,13.0,,561.0,11.0,14.0,16.0,2.0,48.0,3.0,1.0,372.0,3.0,12.0,11.0,146.0,24.0,4.0,15.0,25.0,1.0,2.0,4.0,3.0,20.0,,4.0,7.0,13.0,,,,,,,,1.0,,,,,1.0,,,,,,3.0,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,3.0,,,,,,,,,,,,,
25,855413,2017-02-11 12:30:00,"Emirates Stadium, London",59962,Home,Arsenal,Hull City,2,0,W,1,0,0,1,,3.0,71.0,1.0,,,,,21.0,26.0,2.0,6.0,15.0,4.0,1.0,173.0,1.0,17.0,2.0,2.0,10.0,2.0,7.0,124.0,132.0,56.0,,,17.0,,13.0,5.0,2.0,,9.0,17.0,26.0,3.0,11.0,41.0,224.0,1.0,0.0,187.0,12.0,2.0,,1.0,1.0,1.0,71.0,39.0,5.0,59.0,2.0,6.0,12.0,2.0,,,2.0,132.0,7.0,127.0,665.0,,9.0,6.0,41.0,9.0,378.0,28.0,2.0,16.0,,3.0,,5.0,19.0,463.0,57.0,,98745,9.0,166.0,2.0,5.0,,188.0,3.0,1.0,6.0,12.0,8.0,48.0,1.0,,4.0,6.0,1.0,9.0,2.0,2.0,2.0,57.0,389.0,7.0,11.0,1.0,18.0,2.0,79.0,0.0,8.0,4.0,2.0,,,0.0,,,2.0,49.1,17.0,1.0,6.0,2.0,,6.0,2.0,50.0,3.0,1.0,483.0,9.0,10.0,24.0,8.0,29.0,1.0,6.0,304.0,8.0,11.0,12.0,132.0,27.0,3.0,16.0,21.0,,,14.0,3.0,22.0,,3.0,8.0,3.0,2.0,2.0,,2.0,,1.0,1.0,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,,,2.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
26,855428,2017-05-10 19:45:00,"St. Mary's Stadium, Southampton",31474,Away,Arsenal,Southampton,2,0,W,0,0,0,0,,1.0,67.0,1.0,,1.0,,,21.0,23.0,2.0,3.0,9.0,3.0,,174.0,6.0,10.0,2.0,1.0,10.0,,4.0,142.0,141.0,52.0,,,11.0,,14.0,1.0,1.0,2.0,17.0,9.0,23.0,4.0,12.0,38.0,280.0,,0.0,178.0,5.0,2.0,,,,1.0,61.0,67.0,8.0,61.0,1.0,13.0,17.0,2.0,,4.0,1.0,141.0,8.0,127.0,682.0,,6.0,4.0,31.0,13.0,396.0,28.0,2.0,13.0,2.0,2.0,3.0,2.0,20.0,482.0,63.0,,98745,6.0,136.0,,9.0,2.0,168.0,5.0,,,17.0,10.0,38.0,,,1.0,8.0,2.0,13.0,6.0,3.0,,49.0,410.0,8.0,9.0,2.0,13.0,3.0,56.0,0.0,5.0,2.0,2.0,,1.0,0.0,4.0,2.0,4.0,53.0,13.0,1.0,3.0,1.0,1.0,8.0,4.0,38.0,5.0,1.0,504.0,13.0,5.0,25.0,3.0,34.0,2.0,2.0,353.0,4.0,11.0,19.0,135.0,27.0,1.0,13.0,16.0,1.0,,6.0,3.0,15.0,,1.0,7.0,5.0,,4.0,,1.0,1.0,,1.0,,,,,1.0,2.0,1.0,1.0,,,,2.0,,,,,,,4.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
