gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attCmissRight,attMissLeft,attOboxTarget,attSetpiece,shieldBallOop,attSvHighCentre,attFreekickTotal,attMissHighRight,midfielderGoals,freekickTotal,overrun,attCmissHighRight,attBxLeft,attLfGoal,attBxRight,attGoalHighRight,attOboxGoal,bigChanceMissed,totalPullBack,attFreekickGoal,punches,accuratePullBack,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,attPostLeft,hitWoodwork,attFastbreak,attPostHigh,goalsConcededObox,secondYellow,attCmissHigh,attSvLowRight,attFreekickTarget,attSvHighRight,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,attOneOnOne,attGoalHighCentre,attGoalLowRight,goalFastbreak,cleanSheet,penaltyWon,defenderGoals,attPenGoal,attOboxPost,attSvHighLeft,ownGoals,attIboxOwnGoal,clearanceOffLine,attFreekickMiss,attCmissLeft,attPostRight,foulThrowIn,attObxLeft,attFreekickPost,attLgCentre,attObxRight,attObxdLeft
11,803270,2015-11-01 13:30:00,"Goodison Park, Liverpool",36617,Away,Sunderland,Everton,2,6,L,1,2,0,0,,,49.0,2.0,2.0,3.0,32.0,26.0,6.0,7.0,3.0,4.0,145.0,,4.0,13.0,2.0,,12.0,9.0,71.0,111.0,50.0,17.0,2.0,12.0,4.0,2.0,2.0,5.0,14.0,13.0,19.0,1.0,4.0,25.0,160.0,0.0,124.0,5.0,1.0,,,2.0,37.0,48.0,10.0,45.0,1.0,1.0,13.0,8.0,5.0,1.0,104.0,,1.0,9.0,65.0,498.0,,10.0,11.0,,17.0,236.0,17.0,,8.0,9.0,2.0,2.0,2.0,1.0,2.0,17.0,298.0,64.0,,,7958,4.0,98.0,8.0,,,107.0,4.0,1.0,8.0,10.0,32.0,1.0,2.0,5.0,2.0,6.0,7.0,5.0,,70.0,254.0,6.0,7.0,,29.0,71.0,0.0,6.0,1.0,2.0,6.0,3.0,0.0,3.0,1.0,1.0,32.6,11.0,,2.0,5.0,5.0,35.0,1.0,,2.0,326.0,,17.0,4.0,13.0,3.0,31.0,1.0,,233.0,9.0,4.0,13.0,77.0,20.0,2.0,3.0,7.0,19.0,1.0,6.0,16.0,3.0,17.0,,3.0,6.0,1.0,3.0,,,3.0,,,,,,,,,,3.0,,3.0,,,1.0,2.0,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
12,803277,2015-11-07 15:00:00,"Stadium of Light, Sunderland",41781,Home,Sunderland,Southampton,0,1,L,0,0,0,0,,,70.0,,1.0,1.0,27.0,52.0,4.0,2.0,3.0,2.0,161.0,,3.0,5.0,,2.0,4.0,3.0,53.0,164.0,53.0,9.0,,29.0,3.0,,,,14.0,11.0,45.0,2.0,11.0,29.0,123.0,0.0,113.0,10.0,,,,,56.0,29.0,2.0,46.0,5.0,2.0,12.0,15.0,4.0,4.0,157.0,,,9.0,54.0,521.0,,3.0,23.0,1.0,17.0,199.0,38.0,,16.0,27.0,,,1.0,4.0,2.0,19.0,286.0,77.0,,,7958,3.0,86.0,8.0,,1.0,106.0,4.0,,15.0,5.0,55.0,,2.0,1.0,,14.0,5.0,2.0,2.0,78.0,206.0,11.0,3.0,1.0,48.0,78.0,0.0,7.0,3.0,,1.0,8.0,0.0,1.0,,2.0,35.8,13.0,1.0,3.0,1.0,1.0,31.0,3.0,1.0,,314.0,1.0,17.0,7.0,11.0,5.0,24.0,2.0,1.0,222.0,4.0,11.0,24.0,54.0,22.0,,7.0,26.0,13.0,,1.0,5.0,3.0,12.0,,7.0,12.0,3.0,,,1.0,,1.0,1.0,,1.0,,,1.0,2.0,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
13,803290,2015-11-23 20:00:00,"Selhurst Park, London",24361,Away,Sunderland,Crystal Palace,1,0,W,0,0,0,0,,1.0,52.0,,6.0,1.0,18.0,66.0,3.0,5.0,7.0,1.0,123.0,1.0,3.0,12.0,1.0,5.0,8.0,4.0,40.0,141.0,74.0,12.0,1.0,18.0,2.0,,1.0,1.0,7.0,22.0,55.0,2.0,11.0,19.0,84.0,0.0,90.0,11.0,2.0,,1.0,2.0,28.0,35.0,2.0,28.0,,2.0,5.0,17.0,2.0,1.0,130.0,1.0,,6.0,53.0,481.0,,5.0,16.0,1.0,12.0,138.0,26.0,,8.0,40.0,1.0,,3.0,4.0,6.0,21.0,208.0,55.0,2.0,,7958,7.0,66.0,2.0,,,86.0,8.0,,17.0,12.0,54.0,2.0,3.0,2.0,1.0,10.0,13.0,1.0,2.0,59.0,147.0,17.0,10.0,2.0,26.0,66.0,0.0,11.0,1.0,1.0,,5.0,0.0,1.0,1.0,2.0,33.4,20.0,1.0,,2.0,2.0,22.0,2.0,,2.0,244.0,,12.0,10.0,8.0,6.0,19.0,2.0,5.0,165.0,5.0,11.0,20.0,42.0,17.0,1.0,6.0,36.0,26.0,,,8.0,3.0,17.0,,6.0,8.0,2.0,1.0,,2.0,1.0,2.0,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
14,803298,2015-11-28 15:00:00,"Stadium of Light, Sunderland",41516,Home,Sunderland,Stoke City,2,0,W,0,0,0,1,,,61.0,1.0,1.0,2.0,30.0,14.0,9.0,5.0,3.0,1.0,156.0,,6.0,9.0,2.0,4.0,13.0,5.0,105.0,117.0,52.0,18.0,4.0,12.0,3.0,2.0,,,21.0,15.0,10.0,8.0,18.0,25.0,211.0,0.0,152.0,4.0,2.0,1.0,1.0,1.0,48.0,53.0,7.0,64.0,2.0,1.0,13.0,13.0,5.0,4.0,113.0,,1.0,4.0,111.0,602.0,,10.0,11.0,1.0,14.0,349.0,23.0,,5.0,7.0,1.0,2.0,0.0,1.0,6.0,12.0,409.0,62.0,1.0,,7958,2.0,161.0,7.0,1.0,,168.0,1.0,1.0,13.0,10.0,39.0,8.0,,5.0,1.0,17.0,3.0,5.0,2.0,56.0,366.0,9.0,15.0,2.0,12.0,59.0,0.0,5.0,2.0,1.0,,4.0,0.0,3.0,1.0,1.0,48.2,10.0,,7.0,6.0,6.0,37.0,9.0,,1.0,436.0,,14.0,2.0,16.0,7.0,51.0,3.0,3.0,289.0,12.0,18.0,17.0,104.0,20.0,,3.0,5.0,18.0,,,12.0,3.0,15.0,,3.0,5.0,9.0,1.0,,2.0,,2.0,,,2.0,2.0,,2.0,,,2.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,
15,803309,2015-12-05 15:00:00,"Emirates Stadium, London",59937,Away,Sunderland,Arsenal,1,3,L,1,1,0,0,,,66.0,,1.0,,20.0,34.0,5.0,2.0,3.0,2.0,126.0,,3.0,5.0,1.0,1.0,8.0,4.0,46.0,130.0,39.0,11.0,1.0,15.0,3.0,,,2.0,18.0,10.0,26.0,2.0,7.0,20.0,91.0,0.0,91.0,11.0,1.0,,1.0,,28.0,32.0,4.0,34.0,5.0,2.0,16.0,16.0,4.0,3.0,122.0,3.0,,10.0,51.0,443.0,,8.0,10.0,,20.0,170.0,39.0,,5.0,16.0,,,1.0,6.0,4.0,17.0,233.0,54.0,2.0,,78108,3.0,98.0,11.0,,,111.0,7.0,,16.0,10.0,54.0,3.0,1.0,2.0,,6.0,6.0,5.0,2.0,57.0,186.0,6.0,9.0,,25.0,67.0,0.0,3.0,3.0,1.0,3.0,4.0,0.0,2.0,,2.0,27.5,10.0,2.0,1.0,2.0,1.0,29.0,2.0,,,257.0,,20.0,14.0,8.0,6.0,28.0,1.0,3.0,164.0,7.0,5.0,16.0,49.0,21.0,,1.0,15.0,13.0,,3.0,9.0,3.0,11.0,,1.0,11.0,2.0,2.0,,,1.0,1.0,1.0,,,2.0,,,2.0,,,,2.0,,,3.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
16,803320,2015-12-12 15:00:00,"Stadium of Light, Sunderland",43989,Home,Sunderland,Watford,0,1,L,0,1,0,0,,,79.0,,2.0,1.0,27.0,28.0,6.0,6.0,6.0,1.0,197.0,,8.0,11.0,,1.0,10.0,2.0,69.0,186.0,40.0,14.0,,26.0,1.0,,,1.0,35.0,5.0,19.0,7.0,11.0,38.0,163.0,0.0,149.0,6.0,3.0,1.0,1.0,1.0,50.0,73.0,2.0,69.0,2.0,6.0,28.0,20.0,10.0,5.0,177.0,1.0,,9.0,81.0,624.0,,10.0,9.0,,17.0,289.0,30.0,2.0,8.0,14.0,,1.0,1.0,4.0,8.0,21.0,396.0,78.0,,4.0,7958,5.0,149.0,17.0,,,171.0,2.0,,20.0,5.0,61.0,1.0,3.0,3.0,,9.0,4.0,5.0,,70.0,304.0,9.0,11.0,,31.0,78.0,0.0,3.0,5.0,,1.0,2.0,0.0,7.0,,1.0,48.6,18.0,1.0,5.0,3.0,1.0,37.0,8.0,,1.0,416.0,,17.0,12.0,18.0,11.0,41.0,1.0,6.0,280.0,7.0,11.0,12.0,85.0,37.0,,,13.0,8.0,,1.0,13.0,3.0,18.0,,,12.0,8.0,1.0,2.0,1.0,1.0,,,,,2.0,,,4.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,
17,803329,2015-12-19 15:00:00,"Stamford Bridge, London",41562,Away,Sunderland,Chelsea,1,3,L,0,2,0,0,,1.0,61.0,1.0,2.0,1.0,16.0,32.0,4.0,7.0,4.0,,130.0,,2.0,11.0,1.0,4.0,7.0,3.0,53.0,128.0,68.0,11.0,1.0,12.0,1.0,1.0,,,6.0,18.0,25.0,2.0,10.0,25.0,97.0,0.0,85.0,12.0,1.0,1.0,2.0,,32.0,37.0,3.0,39.0,2.0,2.0,4.0,9.0,,2.0,121.0,,,11.0,58.0,476.0,,6.0,8.0,1.0,18.0,179.0,31.0,1.0,3.0,13.0,,1.0,3.0,4.0,4.0,22.0,258.0,53.0,1.0,1.0,7958,2.0,99.0,2.0,,1.0,115.0,6.0,1.0,9.0,8.0,56.0,1.0,3.0,6.0,,5.0,6.0,6.0,1.0,55.0,194.0,12.0,16.0,1.0,23.0,72.0,0.0,2.0,2.0,1.0,3.0,,0.0,1.0,,1.0,32.8,17.0,,2.0,6.0,2.0,34.0,2.0,1.0,,280.0,1.0,18.0,12.0,11.0,6.0,24.0,1.0,4.0,171.0,3.0,10.0,18.0,37.0,21.0,,3.0,10.0,27.0,,3.0,7.0,3.0,16.0,,3.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
18,803338,2015-12-26 15:00:00,"Etihad Stadium, Manchester",54523,Away,Sunderland,Manchester City,1,4,L,0,3,0,0,,1.0,56.0,1.0,2.0,,35.0,24.0,2.0,4.0,5.0,,122.0,,7.0,7.0,1.0,4.0,8.0,3.0,70.0,117.0,49.0,11.0,,12.0,2.0,,,,14.0,16.0,17.0,1.0,6.0,18.0,123.0,0.0,97.0,11.0,5.0,1.0,3.0,1.0,41.0,29.0,2.0,46.0,4.0,2.0,13.0,15.0,5.0,2.0,110.0,2.0,,12.0,68.0,476.0,,6.0,6.0,,15.0,216.0,29.0,,13.0,7.0,,,1.0,3.0,6.0,9.0,275.0,54.0,1.0,,7958,7.0,122.0,5.0,,1.0,134.0,8.0,,15.0,9.0,54.0,3.0,1.0,3.0,,12.0,7.0,5.0,3.0,64.0,238.0,9.0,16.0,2.0,23.0,70.0,0.0,6.0,3.0,1.0,4.0,2.0,0.0,6.0,,5.0,33.6,5.0,5.0,,3.0,,45.0,1.0,1.0,1.0,306.0,,15.0,12.0,8.0,8.0,27.0,1.0,6.0,186.0,2.0,6.0,15.0,56.0,17.0,1.0,2.0,7.0,20.0,,3.0,5.0,3.0,10.0,,2.0,13.0,1.0,2.0,2.0,3.0,,3.0,,,,,,,3.0,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
19,803345,2015-12-30 19:45:00,"Stadium of Light, Sunderland",45765,Home,Sunderland,Liverpool,0,1,L,0,0,0,0,,,59.0,,3.0,,23.0,46.0,5.0,4.0,5.0,1.0,151.0,,2.0,9.0,,3.0,6.0,3.0,64.0,194.0,60.0,8.0,2.0,22.0,2.0,1.0,,2.0,19.0,10.0,26.0,6.0,5.0,22.0,119.0,0.0,103.0,8.0,3.0,,2.0,1.0,34.0,66.0,4.0,43.0,2.0,2.0,13.0,18.0,2.0,2.0,174.0,,,10.0,68.0,556.0,,6.0,11.0,,15.0,205.0,22.0,1.0,9.0,23.0,,1.0,1.0,4.0,2.0,37.0,299.0,62.0,,,7958,2.0,99.0,9.0,,,117.0,4.0,,18.0,10.0,53.0,,1.0,4.0,,16.0,7.0,2.0,,72.0,216.0,14.0,8.0,,38.0,81.0,0.0,4.0,2.0,,1.0,2.0,0.0,,,,42.3,28.0,,2.0,4.0,2.0,31.0,6.0,,1.0,326.0,,15.0,12.0,11.0,3.0,19.0,2.0,1.0,228.0,4.0,5.0,24.0,48.0,27.0,,1.0,16.0,13.0,,1.0,5.0,3.0,13.0,,1.0,7.0,6.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
20,803352,2016-01-02 15:00:00,"Stadium of Light, Sunderland",41535,Home,Sunderland,Aston Villa,3,1,W,1,0,0,0,1.0,,73.0,1.0,,2.0,24.0,33.0,6.0,6.0,2.0,2.0,165.0,,5.0,5.0,3.0,3.0,12.0,5.0,87.0,164.0,64.0,13.0,1.0,15.0,2.0,1.0,2.0,1.0,21.0,19.0,21.0,2.0,4.0,28.0,130.0,0.0,112.0,8.0,1.0,1.0,2.0,,48.0,48.0,8.0,48.0,1.0,2.0,19.0,13.0,8.0,4.0,152.0,,,5.0,81.0,571.0,,8.0,9.0,,14.0,270.0,35.0,,8.0,17.0,2.0,1.0,3.0,,4.0,27.0,357.0,64.0,,1.0,7958,6.0,156.0,9.0,,,177.0,6.0,1.0,13.0,6.0,48.0,,2.0,2.0,2.0,14.0,3.0,3.0,1.0,70.0,281.0,13.0,13.0,2.0,33.0,79.0,0.0,3.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,44.9,22.0,1.0,2.0,2.0,3.0,35.0,3.0,,,381.0,,14.0,11.0,13.0,5.0,26.0,2.0,1.0,225.0,5.0,4.0,26.0,61.0,30.0,2.0,1.0,14.0,21.0,,1.0,9.0,3.0,8.0,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
21,803364,2016-01-13 19:45:00,"Swansea.com Stadium, Swansea",20140,Away,Sunderland,Swansea City,4,2,W,1,2,0,1,,3.0,52.0,1.0,3.0,,27.0,33.0,,1.0,3.0,,156.0,,3.0,6.0,4.0,1.0,6.0,4.0,89.0,122.0,42.0,7.0,,8.0,1.0,,2.0,,17.0,18.0,22.0,3.0,9.0,30.0,200.0,0.0,127.0,12.0,,,1.0,1.0,97.0,38.0,3.0,82.0,1.0,1.0,14.0,12.0,3.0,,111.0,3.0,1.0,4.0,103.0,594.0,,4.0,3.0,,9.0,340.0,23.0,,3.0,15.0,2.0,,2.0,2.0,3.0,13.0,404.0,64.0,3.0,,7958,1.0,158.0,10.0,,1.0,166.0,4.0,3.0,12.0,7.0,41.0,4.0,2.0,4.0,3.0,9.0,6.0,2.0,,61.0,355.0,9.0,11.0,,17.0,79.0,0.0,8.0,,4.0,2.0,1.0,0.0,3.0,2.0,,48.8,13.0,,4.0,4.0,,45.0,6.0,1.0,1.0,430.0,1.0,9.0,6.0,18.0,3.0,32.0,,2.0,281.0,6.0,9.0,7.0,87.0,17.0,3.0,4.0,13.0,22.0,,2.0,7.0,3.0,11.0,,4.0,7.0,6.0,1.0,1.0,1.0,,,1.0,,,,,,,,2.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,
22,803378,2016-01-16 12:45:00,"White Hart Lane, London",35854,Away,Sunderland,Tottenham Hotspur,1,4,L,1,1,0,0,1.0,1.0,62.0,1.0,4.0,,30.0,33.0,3.0,2.0,7.0,1.0,158.0,,,6.0,1.0,2.0,5.0,2.0,54.0,157.0,41.0,5.0,1.0,17.0,,2.0,1.0,1.0,7.0,14.0,28.0,1.0,6.0,30.0,102.0,0.0,96.0,13.0,6.0,,,3.0,65.0,21.0,3.0,52.0,2.0,,6.0,16.0,2.0,1.0,152.0,1.0,,14.0,52.0,501.0,,4.0,8.0,,10.0,193.0,22.0,,5.0,18.0,1.0,2.0,2.0,6.0,2.0,22.0,284.0,56.0,1.0,,7958,,108.0,4.0,,1.0,132.0,5.0,,16.0,11.0,53.0,1.0,3.0,3.0,1.0,12.0,12.0,3.0,,82.0,210.0,8.0,9.0,,31.0,86.0,0.0,11.0,3.0,1.0,4.0,2.0,0.0,,1.0,,33.4,16.0,,1.0,3.0,1.0,37.0,3.0,1.0,3.0,316.0,1.0,10.0,14.0,15.0,2.0,17.0,,1.0,191.0,3.0,6.0,9.0,49.0,29.0,,3.0,17.0,19.0,,3.0,4.0,3.0,10.0,1.0,3.0,11.0,3.0,,,1.0,1.0,,3.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
23,803383,2016-01-23 15:00:00,"Stadium of Light, Sunderland",41367,Home,Sunderland,Bournemouth,1,1,D,1,1,0,0,,,52.0,,1.0,2.0,23.0,37.0,5.0,4.0,4.0,1.0,164.0,1.0,3.0,6.0,1.0,3.0,7.0,5.0,75.0,178.0,50.0,10.0,2.0,13.0,2.0,,1.0,2.0,20.0,16.0,24.0,3.0,4.0,33.0,150.0,0.0,123.0,5.0,1.0,,3.0,3.0,74.0,40.0,6.0,57.0,2.0,1.0,17.0,22.0,4.0,1.0,165.0,1.0,,8.0,81.0,592.0,,6.0,8.0,2.0,17.0,257.0,25.0,,3.0,16.0,1.0,,1.0,2.0,1.0,23.0,348.0,63.0,1.0,,7958,3.0,123.0,10.0,,,143.0,2.0,,22.0,14.0,47.0,5.0,2.0,2.0,1.0,11.0,7.0,5.0,,65.0,270.0,9.0,7.0,,16.0,84.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,42.7,20.0,,3.0,3.0,4.0,40.0,3.0,,3.0,377.0,,17.0,12.0,15.0,1.0,34.0,,,254.0,4.0,4.0,15.0,72.0,15.0,,1.0,12.0,20.0,,1.0,7.0,2.0,17.0,1.0,1.0,11.0,3.0,1.0,1.0,,2.0,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
24,803396,2016-02-02 19:45:00,"Stadium of Light, Sunderland",38852,Home,Sunderland,Manchester City,0,1,L,0,1,0,0,,,58.0,,1.0,1.0,22.0,39.0,5.0,3.0,1.0,1.0,184.0,,3.0,15.0,,5.0,6.0,3.0,81.0,188.0,77.0,11.0,2.0,19.0,2.0,,,,26.0,21.0,34.0,8.0,17.0,44.0,167.0,0.0,163.0,6.0,,1.0,3.0,,58.0,69.0,4.0,70.0,2.0,,18.0,16.0,5.0,2.0,183.0,1.0,,4.0,76.0,650.0,,4.0,7.0,1.0,15.0,276.0,24.0,,9.0,21.0,,,1.0,2.0,2.0,26.0,387.0,81.0,,1.0,7958,5.0,127.0,10.0,,,142.0,3.0,,16.0,8.0,64.0,1.0,4.0,1.0,,10.0,3.0,3.0,3.0,68.0,291.0,15.0,19.0,2.0,31.0,77.0,0.0,4.0,,,1.0,2.0,0.0,2.0,,2.0,49.6,22.0,1.0,3.0,1.0,3.0,32.0,8.0,,,411.0,,15.0,18.0,13.0,5.0,44.0,1.0,2.0,295.0,6.0,14.0,14.0,90.0,27.0,,,17.0,33.0,,1.0,5.0,3.0,18.0,,,12.0,8.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,
25,803408,2016-02-06 15:00:00,"Anfield, Liverpool",44179,Away,Sunderland,Liverpool,2,2,D,0,0,0,0,1.0,,50.0,1.0,,,20.0,46.0,5.0,4.0,3.0,,142.0,,2.0,3.0,2.0,3.0,6.0,2.0,58.0,166.0,40.0,7.0,1.0,8.0,,,1.0,,7.0,15.0,31.0,2.0,5.0,18.0,92.0,0.0,92.0,12.0,2.0,,1.0,,36.0,44.0,2.0,38.0,4.0,2.0,5.0,14.0,2.0,3.0,151.0,1.0,,9.0,44.0,464.0,,4.0,8.0,,16.0,167.0,24.0,,7.0,19.0,1.0,,1.0,4.0,4.0,23.0,260.0,56.0,,,7958,1.0,85.0,2.0,,,109.0,3.0,1.0,14.0,12.0,49.0,,2.0,2.0,1.0,11.0,7.0,2.0,,74.0,175.0,4.0,15.0,1.0,36.0,86.0,0.0,7.0,3.0,1.0,2.0,2.0,0.0,1.0,,,28.7,15.0,,,2.0,1.0,28.0,2.0,,,282.0,,16.0,11.0,9.0,4.0,16.0,1.0,1.0,180.0,3.0,4.0,14.0,44.0,21.0,1.0,6.0,16.0,19.0,,2.0,5.0,3.0,8.0,1.0,6.0,6.0,2.0,,,2.0,,,2.0,,2.0,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,,
26,803414,2016-02-13 12:45:00,"Stadium of Light, Sunderland",41687,Home,Sunderland,Manchester United,2,1,W,1,1,0,0,,,59.0,,2.0,4.0,21.0,46.0,8.0,5.0,5.0,3.0,146.0,,7.0,7.0,2.0,3.0,12.0,5.0,30.0,151.0,49.0,21.0,2.0,10.0,3.0,,,1.0,17.0,11.0,34.0,6.0,8.0,20.0,92.0,0.0,98.0,7.0,1.0,1.0,1.0,,37.0,47.0,7.0,42.0,4.0,4.0,11.0,13.0,1.0,5.0,139.0,1.0,,8.0,33.0,465.0,,9.0,12.0,1.0,22.0,142.0,22.0,,11.0,15.0,,,2.0,5.0,5.0,18.0,214.0,63.0,,,7958,6.0,73.0,9.0,2.0,,88.0,3.0,1.0,13.0,13.0,38.0,,2.0,,,9.0,4.0,5.0,1.0,58.0,158.0,15.0,5.0,3.0,29.0,66.0,0.0,8.0,3.0,1.0,1.0,2.0,0.0,5.0,,2.0,33.7,12.0,1.0,1.0,,6.0,28.0,6.0,,,251.0,,22.0,12.0,6.0,10.0,22.0,2.0,5.0,180.0,13.0,7.0,11.0,49.0,31.0,,,10.0,16.0,,1.0,12.0,3.0,12.0,,,7.0,6.0,,,3.0,1.0,2.0,,,2.0,2.0,1.0,2.0,2.0,,3.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,
27,803430,2016-02-27 12:45:00,"Boleyn Ground, London",34946,Away,Sunderland,West Ham United,0,1,L,0,1,0,0,3.0,,60.0,,2.0,1.0,27.0,26.0,5.0,3.0,2.0,2.0,174.0,,1.0,7.0,,4.0,9.0,4.0,80.0,197.0,61.0,13.0,2.0,15.0,3.0,,,2.0,12.0,21.0,20.0,6.0,3.0,44.0,124.0,0.0,117.0,9.0,3.0,1.0,,,52.0,40.0,4.0,49.0,4.0,4.0,6.0,18.0,2.0,3.0,191.0,1.0,,5.0,74.0,587.0,,8.0,8.0,1.0,15.0,234.0,24.0,,9.0,15.0,,,0.0,,5.0,39.0,355.0,74.0,,,7958,4.0,123.0,4.0,,,152.0,2.0,,18.0,8.0,50.0,,2.0,4.0,,15.0,4.0,2.0,1.0,78.0,246.0,11.0,13.0,1.0,32.0,98.0,0.0,5.0,,,1.0,3.0,0.0,,,2.0,47.2,24.0,1.0,3.0,4.0,3.0,38.0,6.0,,,377.0,,15.0,8.0,12.0,6.0,36.0,1.0,2.0,237.0,8.0,3.0,17.0,57.0,23.0,,3.0,13.0,26.0,,1.0,9.0,1.0,16.0,1.0,3.0,9.0,6.0,1.0,4.0,,1.0,,3.0,1.0,3.0,,,3.0,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,
