gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,attHdTarget,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,fouledFinalThird,attCmissRight,attOboxBlocked,postScoringAtt,attSvLowCentre,totalFastbreak,freekickCross,secondYellow,attObxdRight,totalFlickOn,hitWoodwork,accurateFreekickCross,errorLeadToShot,totalPullBack,attAssistSetplay,attOboxPost,attPostHigh,accurateFlickOn,shieldBallOop,attHdMiss,possWonAtt3rd,clearanceOffLine,attOpenplay,attBxRight,attIboxPost,cleanSheet,bigChanceCreated,attHdPost,accurateThroughBall,bigChanceMissed,totalThroughBall,attSvLowRight,attGoalLowLeft,attMissHighRight,attSetpiece,goalsOpenplay,forwardGoals,attLfGoal,attFreekickTotal,attGoalHighRight,attOboxGoal,freekickTotal,sixYardBlock,defenderGoals,attFreekickGoal,punches,attLfTarget,attSvHighLeft,attGoalHighLeft,attHdGoal,errorLeadToGoal,attCmissHigh,accuratePullBack,goalFastbreak,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attFreekickTarget,ownGoals,attObxdLeft,penGoalsConceded,attPenTarget,penaltyWon,attFreekickMiss,attSvHighRight,attPostLeft,attGoalHighCentre,attCmissHighLeft,attCmissHighRight,attGoalLowCentre,foulThrowIn,attPostRight,penaltySave,attPenGoal,attFreekickPost,attObxRight
11,360575,2011-11-05 15:00:00,"Old Trafford, Manchester",75570,Away,Sunderland,Manchester United,0,1,L,0,1,0,0,1.0,58.0,,2.0,1.0,36.0,34.0,6.0,2.0,1.0,131.0,5.0,3.0,,7.0,1.0,92.0,144.0,43.0,9.0,11.0,,,,,,3.0,17.0,16.0,1.0,17.0,2.0,10.0,24.0,161.0,0.0,122.0,15.0,3.0,,1.0,3.0,32.0,69.0,2.0,54.0,3.0,1.0,15.0,5.0,4.0,127.0,9.0,87.0,543.0,7.0,,24.0,25.0,1.0,19.0,14.0,,,2.0,4.0,5.0,18.0,78.0,98769,2.0,121.0,9.0,,135.0,,6.0,40.0,2.0,2.0,8.0,5.0,1.0,1.0,69.0,277.0,5.0,8.0,49.0,79.0,,,0.0,,6.0,4.0,,1.0,0.0,4.0,,2.0,42.7,12.0,,,2.0,2.0,35.0,2.0,,3.0,364.0,17.0,5.0,12.0,6.0,13.0,1.0,2.0,246.0,5.0,8.0,11.0,72.0,21.0,3.0,5.0,24.0,1.0,3.0,5.0,3.0,2.0,,,,1.0,,,,,,,12.0,,,,,,,,5.0,,2.0,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12,360584,2011-11-19 15:00:00,"Stadium of Light, Sunderland",37688,Home,Sunderland,Fulham,0,0,D,0,0,0,0,,59.0,,2.0,3.0,39.0,14.0,5.0,3.0,1.0,188.0,10.0,6.0,,10.0,3.0,115.0,167.0,42.0,13.0,23.0,2.0,,,1.0,,2.0,38.0,10.0,1.0,9.0,6.0,17.0,39.0,257.0,0.0,190.0,8.0,1.0,,1.0,2.0,79.0,96.0,7.0,81.0,,,32.0,15.0,2.0,162.0,8.0,108.0,674.0,8.0,2.0,9.0,25.0,,6.0,7.0,,1.0,1.0,7.0,3.0,17.0,94.0,98769,5.0,150.0,16.0,,166.0,,8.0,48.0,5.0,3.0,10.0,7.0,1.0,,67.0,397.0,12.0,4.0,26.0,96.0,,1.0,0.0,3.0,7.0,2.0,,,0.0,8.0,,3.0,51.9,16.0,2.0,,3.0,5.0,53.0,6.0,,2.0,492.0,8.0,8.0,24.0,5.0,30.0,2.0,1.0,364.0,6.0,16.0,10.0,134.0,20.0,,4.0,14.0,,2.0,11.0,,6.0,,2.0,,2.0,2.0,2.0,,1.0,,,7.0,2.0,,,1.0,2.0,,2.0,2.0,,,3.0,1.0,8.0,,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,360596,2011-11-26 15:00:00,"Stadium of Light, Sunderland",37883,Home,Sunderland,Wigan Athletic,1,2,L,1,1,0,0,,67.0,,1.0,,34.0,7.0,7.0,6.0,4.0,169.0,8.0,8.0,1.0,13.0,9.0,104.0,158.0,58.0,19.0,7.0,5.0,,,,,3.0,32.0,24.0,3.0,4.0,3.0,10.0,52.0,210.0,0.0,169.0,12.0,,1.0,1.0,1.0,56.0,78.0,7.0,49.0,,1.0,29.0,6.0,2.0,155.0,6.0,109.0,621.0,10.0,2.0,11.0,26.0,1.0,4.0,4.0,,,3.0,3.0,6.0,21.0,84.0,98769,5.0,132.0,19.0,1.0,144.0,,6.0,49.0,2.0,3.0,9.0,6.0,3.0,1.0,68.0,334.0,13.0,12.0,16.0,96.0,,,0.0,,2.0,1.0,1.0,2.0,0.0,7.0,,3.0,52.9,19.0,1.0,,3.0,3.0,50.0,3.0,1.0,1.0,431.0,8.0,15.0,25.0,7.0,30.0,1.0,5.0,319.0,10.0,8.0,7.0,107.0,23.0,2.0,1.0,30.0,2.0,3.0,11.0,2.0,3.0,,5.0,1.0,3.0,,5.0,,4.0,,,10.0,,2.0,,1.0,3.0,,,6.0,,1.0,2.0,,14.0,3.0,,,2.0,,2.0,3.0,3.0,2.0,,1.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
14,360608,2011-12-04 16:00:00,"Molineux Stadium, Wolverhampton",25145,Away,Sunderland,Wolverhampton Wanderers,1,2,L,0,0,0,0,,70.0,,1.0,2.0,31.0,42.0,8.0,2.0,6.0,168.0,6.0,5.0,1.0,15.0,9.0,86.0,192.0,50.0,20.0,27.0,6.0,,4.0,1.0,1.0,2.0,17.0,21.0,2.0,20.0,3.0,12.0,32.0,180.0,0.0,144.0,12.0,4.0,1.0,,4.0,40.0,67.0,10.0,59.0,1.0,2.0,14.0,9.0,3.0,169.0,9.0,99.0,647.0,13.0,2.0,23.0,38.0,,10.0,31.0,1.0,1.0,3.0,8.0,5.0,27.0,81.0,98769,7.0,118.0,5.0,,149.0,,5.0,57.0,2.0,1.0,12.0,8.0,,1.0,71.0,292.0,10.0,9.0,43.0,111.0,4.0,,0.0,,8.0,2.0,1.0,2.0,0.0,5.0,,3.0,45.1,17.0,1.0,,1.0,5.0,48.0,3.0,,4.0,412.0,12.0,5.0,13.0,6.0,25.0,1.0,3.0,280.0,15.0,10.0,8.0,86.0,16.0,5.0,13.0,27.0,2.0,2.0,9.0,6.0,3.0,,1.0,,3.0,,6.0,5.0,,,,5.0,,,,2.0,1.0,,,,1.0,1.0,1.0,,16.0,4.0,,,1.0,,3.0,2.0,7.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
15,360616,2011-12-11 13:30:00,"Stadium of Light, Sunderland",39863,Home,Sunderland,Blackburn Rovers,2,1,W,0,1,0,0,,69.0,,,2.0,36.0,24.0,17.0,9.0,2.0,219.0,11.0,10.0,2.0,11.0,5.0,104.0,216.0,41.0,23.0,10.0,2.0,,,,,5.0,57.0,16.0,1.0,11.0,9.0,15.0,44.0,293.0,0.0,230.0,11.0,1.0,2.0,1.0,3.0,111.0,104.0,8.0,83.0,1.0,1.0,48.0,24.0,8.0,203.0,2.0,137.0,771.0,11.0,,13.0,16.0,,2.0,16.0,,,2.0,,3.0,26.0,120.0,98769,4.0,136.0,22.0,,152.0,1.0,3.0,46.0,2.0,11.0,5.0,1.0,1.0,3.0,66.0,418.0,7.0,6.0,22.0,95.0,,2.0,0.0,1.0,,1.0,,1.0,0.0,7.0,,,67.6,23.0,,,11.0,8.0,46.0,9.0,,3.0,543.0,9.0,13.0,23.0,10.0,40.0,4.0,2.0,448.0,14.0,14.0,6.0,147.0,31.0,,6.0,18.0,1.0,2.0,16.0,,9.0,,4.0,,6.0,,,,2.0,,,12.0,1.0,,,1.0,,,,4.0,,,2.0,,19.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,1.0,2.0,3.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,
16,360626,2011-12-18 15:00:00,"White Hart Lane, London",36021,Away,Sunderland,Tottenham Hotspur,0,1,L,0,0,0,0,,63.0,,1.0,,24.0,19.0,6.0,2.0,4.0,137.0,4.0,3.0,,6.0,4.0,77.0,170.0,50.0,8.0,10.0,1.0,,,2.0,,1.0,17.0,28.0,3.0,14.0,,26.0,30.0,159.0,0.0,127.0,8.0,1.0,,1.0,1.0,75.0,61.0,3.0,65.0,3.0,1.0,17.0,7.0,2.0,165.0,10.0,88.0,581.0,6.0,,28.0,32.0,,11.0,7.0,,2.0,2.0,7.0,3.0,19.0,93.0,98769,1.0,113.0,7.0,,137.0,,13.0,46.0,3.0,2.0,11.0,9.0,5.0,1.0,53.0,268.0,5.0,6.0,31.0,87.0,,,0.0,1.0,6.0,2.0,,1.0,0.0,4.0,,,39.7,11.0,1.0,,2.0,1.0,38.0,,,1.0,367.0,23.0,16.0,11.0,3.0,19.0,,1.0,247.0,6.0,23.0,9.0,71.0,23.0,4.0,6.0,33.0,,3.0,9.0,4.0,,1.0,5.0,,1.0,,2.0,,3.0,,,16.0,,,,,,,,6.0,2.0,,3.0,,7.0,,,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
17,360629,2011-12-21 20:00:00,"Kiyan Prince Foundation Stadium, London",16167,Away,Sunderland,Queens Park Rangers,3,2,W,1,0,0,0,1.0,53.0,1.0,3.0,4.0,18.0,43.0,10.0,3.0,3.0,135.0,8.0,10.0,3.0,13.0,6.0,51.0,200.0,72.0,19.0,26.0,1.0,,5.0,,,3.0,25.0,20.0,2.0,16.0,11.0,20.0,20.0,122.0,0.0,114.0,12.0,2.0,1.0,,2.0,51.0,37.0,8.0,48.0,1.0,1.0,14.0,4.0,4.0,173.0,11.0,60.0,572.0,10.0,,26.0,22.0,,7.0,16.0,2.0,,2.0,9.0,5.0,30.0,80.0,98769,5.0,77.0,9.0,,95.0,1.0,10.0,63.0,4.0,1.0,10.0,10.0,3.0,,53.0,191.0,10.0,5.0,28.0,91.0,5.0,2.0,0.0,1.0,8.0,1.0,3.0,2.0,0.0,2.0,2.0,3.0,42.8,20.0,1.0,,1.0,8.0,32.0,11.0,,3.0,294.0,25.0,16.0,7.0,5.0,16.0,6.0,,224.0,11.0,18.0,25.0,58.0,13.0,1.0,6.0,27.0,2.0,2.0,15.0,1.0,11.0,,1.0,,4.0,1.0,1.0,5.0,1.0,,,14.0,1.0,1.0,,,1.0,,,5.0,1.0,,2.0,1.0,9.0,,1.0,,2.0,1.0,,2.0,,1.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,1.0,2.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,
18,360646,2011-12-26 15:00:00,"Stadium of Light, Sunderland",43619,Home,Sunderland,Everton,1,1,D,1,0,0,0,1.0,53.0,,,2.0,42.0,24.0,6.0,6.0,,161.0,5.0,3.0,1.0,10.0,2.0,79.0,190.0,43.0,12.0,20.0,1.0,,1.0,,1.0,,19.0,12.0,,13.0,5.0,14.0,41.0,169.0,0.0,131.0,7.0,2.0,1.0,,1.0,45.0,58.0,7.0,65.0,1.0,2.0,14.0,4.0,1.0,179.0,8.0,71.0,578.0,8.0,1.0,20.0,23.0,1.0,15.0,16.0,1.0,,0.0,3.0,3.0,24.0,88.0,98769,3.0,112.0,7.0,1.0,137.0,,10.0,42.0,5.0,1.0,27.0,3.0,2.0,,79.0,276.0,14.0,1.0,45.0,96.0,1.0,,0.0,1.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,48.3,15.0,1.0,,1.0,7.0,51.0,5.0,1.0,1.0,376.0,13.0,10.0,18.0,3.0,28.0,1.0,2.0,258.0,4.0,14.0,10.0,78.0,19.0,2.0,11.0,16.0,1.0,3.0,8.0,2.0,5.0,,,,5.0,,,,,,,8.0,,,,,1.0,,,2.0,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,1.0,2.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,
19,360656,2012-01-01 15:00:00,"Stadium of Light, Sunderland",40625,Home,Sunderland,Manchester City,1,0,W,0,0,0,0,,56.0,,2.0,,19.0,50.0,5.0,2.0,2.0,119.0,,4.0,1.0,7.0,3.0,71.0,171.0,38.0,8.0,12.0,1.0,,,,1.0,2.0,11.0,16.0,1.0,27.0,1.0,9.0,21.0,124.0,0.0,87.0,7.0,3.0,,1.0,1.0,56.0,59.0,4.0,42.0,5.0,,10.0,5.0,2.0,148.0,14.0,61.0,513.0,5.0,,18.0,25.0,,11.0,13.0,1.0,,2.0,6.0,3.0,27.0,47.0,98769,,82.0,5.0,,102.0,,15.0,49.0,,1.0,12.0,13.0,5.0,,47.0,206.0,6.0,10.0,30.0,87.0,,1.0,0.0,3.0,10.0,3.0,1.0,,0.0,,1.0,,31.2,22.0,,,1.0,2.0,39.0,1.0,,1.0,293.0,14.0,10.0,9.0,3.0,11.0,,1.0,202.0,6.0,8.0,8.0,52.0,23.0,2.0,10.0,20.0,,3.0,14.0,2.0,1.0,,1.0,,2.0,,1.0,,,,,11.0,,,,,1.0,,,2.0,1.0,,,,6.0,2.0,,1.0,3.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
20,360667,2012-01-03 19:45:00,"DW Stadium, Wigan",15871,Away,Sunderland,Wigan Athletic,4,1,W,1,0,0,0,1.0,47.0,,3.0,2.0,30.0,21.0,4.0,3.0,,116.0,7.0,8.0,4.0,8.0,6.0,63.0,123.0,36.0,11.0,5.0,2.0,,1.0,1.0,1.0,,21.0,13.0,,10.0,6.0,15.0,35.0,124.0,0.0,77.0,7.0,1.0,4.0,,1.0,46.0,45.0,6.0,60.0,3.0,1.0,16.0,3.0,1.0,112.0,7.0,73.0,485.0,6.0,1.0,21.0,26.0,,4.0,10.0,1.0,1.0,0.0,7.0,2.0,11.0,47.0,98769,2.0,129.0,12.0,,145.0,1.0,13.0,30.0,2.0,3.0,8.0,16.0,6.0,1.0,55.0,246.0,10.0,7.0,17.0,75.0,1.0,,0.0,1.0,9.0,1.0,2.0,1.0,0.0,6.0,1.0,3.0,36.6,9.0,1.0,1.0,3.0,3.0,37.0,6.0,,1.0,312.0,17.0,8.0,20.0,2.0,6.0,2.0,1.0,188.0,5.0,15.0,3.0,51.0,10.0,4.0,4.0,15.0,,3.0,12.0,4.0,6.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,6.0,,1.0,,,1.0,,,,,1.0,3.0,1.0,9.0,1.0,,,3.0,,,2.0,,,,,1.0,3.0,,2.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,
21,360671,2012-01-14 15:00:00,"Stamford Bridge, London",41696,Away,Sunderland,Chelsea,0,1,L,0,1,0,0,,52.0,,4.0,,37.0,20.0,2.0,4.0,2.0,129.0,6.0,9.0,,8.0,3.0,79.0,143.0,45.0,9.0,13.0,2.0,1.0,1.0,2.0,,2.0,21.0,17.0,1.0,10.0,2.0,15.0,29.0,133.0,0.0,89.0,9.0,4.0,,,1.0,52.0,37.0,3.0,56.0,4.0,2.0,19.0,9.0,1.0,133.0,12.0,86.0,538.0,8.0,1.0,16.0,21.0,1.0,15.0,11.0,,2.0,1.0,6.0,5.0,20.0,65.0,98769,4.0,143.0,8.0,,166.0,,14.0,50.0,,3.0,8.0,13.0,4.0,,63.0,270.0,9.0,11.0,29.0,78.0,1.0,1.0,0.0,,8.0,2.0,,1.0,0.0,5.0,,1.0,39.8,17.0,2.0,1.0,3.0,1.0,42.0,2.0,,1.0,350.0,11.0,13.0,15.0,5.0,22.0,1.0,4.0,205.0,4.0,14.0,6.0,51.0,19.0,3.0,6.0,21.0,1.0,3.0,13.0,3.0,2.0,,2.0,2.0,1.0,,1.0,1.0,2.0,,,7.0,,,,,,,,1.0,1.0,,2.0,,8.0,,,,3.0,,,3.0,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
22,360687,2012-01-21 15:00:00,"Stadium of Light, Sunderland",36904,Home,Sunderland,Swansea City,2,0,W,1,0,0,0,,64.0,,1.0,5.0,12.0,22.0,6.0,4.0,1.0,132.0,4.0,5.0,2.0,10.0,3.0,56.0,152.0,42.0,15.0,6.0,,,3.0,2.0,2.0,3.0,15.0,23.0,1.0,12.0,1.0,8.0,36.0,133.0,0.0,101.0,10.0,2.0,2.0,1.0,,47.0,52.0,7.0,47.0,3.0,1.0,14.0,6.0,3.0,142.0,5.0,53.0,489.0,6.0,,22.0,28.0,,5.0,9.0,2.0,2.0,0.0,6.0,3.0,20.0,59.0,98769,6.0,73.0,7.0,,95.0,2.0,14.0,45.0,1.0,1.0,13.0,11.0,9.0,,39.0,202.0,6.0,14.0,26.0,72.0,3.0,2.0,0.0,2.0,4.0,2.0,1.0,,0.0,4.0,1.0,1.0,30.9,12.0,1.0,,1.0,6.0,31.0,2.0,,1.0,288.0,15.0,9.0,16.0,6.0,17.0,,2.0,208.0,9.0,8.0,3.0,59.0,26.0,2.0,6.0,28.0,,3.0,11.0,2.0,2.0,,1.0,,1.0,1.0,,3.0,1.0,,,6.0,1.0,,,,2.0,,,1.0,1.0,1.0,5.0,,13.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
23,360691,2012-02-01 20:00:00,"Stadium of Light, Sunderland",34476,Home,Sunderland,Norwich City,3,0,W,2,0,0,0,,54.0,1.0,1.0,1.0,28.0,35.0,7.0,5.0,1.0,161.0,5.0,10.0,3.0,11.0,5.0,95.0,188.0,62.0,12.0,31.0,2.0,,1.0,1.0,1.0,3.0,18.0,19.0,1.0,18.0,3.0,29.0,36.0,190.0,0.0,137.0,6.0,1.0,1.0,1.0,,83.0,76.0,8.0,61.0,,,15.0,7.0,2.0,171.0,6.0,78.0,602.0,9.0,1.0,18.0,23.0,,11.0,19.0,1.0,1.0,1.0,4.0,3.0,31.0,83.0,98769,3.0,98.0,5.0,,129.0,1.0,12.0,58.0,3.0,2.0,6.0,8.0,6.0,,52.0,283.0,14.0,2.0,39.0,82.0,1.0,,0.0,2.0,6.0,1.0,2.0,,0.0,4.0,1.0,2.0,49.1,21.0,,,2.0,4.0,38.0,3.0,,1.0,395.0,14.0,11.0,16.0,3.0,19.0,1.0,1.0,284.0,5.0,27.0,12.0,89.0,25.0,1.0,11.0,26.0,,3.0,18.0,1.0,3.0,,3.0,,3.0,,1.0,1.0,3.0,,,17.0,,1.0,,,1.0,,,4.0,,,1.0,,10.0,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,,,1.0,1.0,,,,,3.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,360706,2012-02-04 15:00:00,"bet365 Stadium, Stoke",27717,Away,Sunderland,Stoke City,1,0,W,0,0,0,1,1.0,60.0,,2.0,1.0,23.0,38.0,2.0,1.0,,162.0,4.0,4.0,1.0,4.0,1.0,77.0,219.0,53.0,6.0,15.0,,,,1.0,1.0,1.0,17.0,20.0,,19.0,5.0,20.0,26.0,123.0,0.0,96.0,7.0,2.0,1.0,,1.0,56.0,48.0,2.0,63.0,1.0,1.0,12.0,5.0,1.0,200.0,3.0,65.0,590.0,2.0,,23.0,28.0,,7.0,19.0,1.0,1.0,1.0,3.0,2.0,31.0,65.0,98769,2.0,129.0,6.0,,160.0,1.0,13.0,44.0,2.0,,18.0,6.0,4.0,1.0,70.0,248.0,11.0,3.0,47.0,101.0,,1.0,0.0,3.0,5.0,1.0,1.0,,0.0,3.0,1.0,2.0,51.1,15.0,,,,2.0,34.0,5.0,,2.0,367.0,13.0,16.0,10.0,3.0,13.0,1.0,2.0,224.0,3.0,20.0,12.0,47.0,25.0,1.0,12.0,26.0,,1.0,8.0,1.0,5.0,,1.0,,1.0,,,,1.0,,,13.0,,,,,1.0,,,,,2.0,,,4.0,1.0,,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
25,360715,2012-02-11 15:00:00,"Stadium of Light, Sunderland",40312,Home,Sunderland,Arsenal,1,2,L,0,0,0,0,,38.0,1.0,,1.0,16.0,34.0,4.0,6.0,,120.0,4.0,5.0,1.0,2.0,3.0,63.0,157.0,36.0,10.0,15.0,,,,,,2.0,19.0,15.0,2.0,14.0,7.0,2.0,24.0,102.0,0.0,81.0,9.0,1.0,1.0,,2.0,51.0,38.0,1.0,46.0,1.0,,12.0,2.0,1.0,137.0,6.0,61.0,485.0,1.0,,14.0,19.0,1.0,3.0,22.0,,,2.0,6.0,1.0,24.0,53.0,98769,2.0,121.0,10.0,,140.0,,7.0,57.0,2.0,1.0,8.0,8.0,,1.0,42.0,219.0,8.0,9.0,26.0,58.0,,,0.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,,1.0,30.6,15.0,1.0,,1.0,3.0,24.0,7.0,,2.0,290.0,12.0,6.0,10.0,4.0,9.0,3.0,3.0,169.0,3.0,2.0,2.0,44.0,15.0,6.0,12.0,21.0,1.0,1.0,23.0,6.0,7.0,1.0,3.0,,2.0,,1.0,,,,1.0,5.0,,,,,1.0,,,2.0,,1.0,,,7.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,360727,2012-02-25 15:00:00,"The Hawthorns, West Bromwich",25311,Away,Sunderland,West Bromwich Albion,0,4,L,0,2,0,0,,54.0,,3.0,1.0,24.0,38.0,8.0,1.0,3.0,130.0,2.0,5.0,,8.0,3.0,91.0,164.0,38.0,10.0,8.0,,,1.0,,,3.0,21.0,14.0,3.0,19.0,,1.0,26.0,132.0,0.0,95.0,8.0,4.0,,,2.0,43.0,56.0,4.0,56.0,,1.0,21.0,9.0,4.0,145.0,13.0,92.0,583.0,8.0,,12.0,28.0,,5.0,18.0,,,1.0,4.0,4.0,31.0,56.0,66797,1.0,160.0,11.0,,178.0,,5.0,45.0,1.0,1.0,10.0,7.0,2.0,1.0,46.0,290.0,6.0,12.0,21.0,83.0,1.0,,0.0,1.0,7.0,3.0,,4.0,0.0,2.0,,1.0,39.4,17.0,,,1.0,2.0,42.0,,,2.0,369.0,12.0,8.0,11.0,5.0,11.0,,1.0,212.0,8.0,1.0,7.0,56.0,20.0,7.0,9.0,20.0,4.0,3.0,14.0,7.0,,,1.0,,1.0,,3.0,1.0,1.0,,,5.0,,1.0,1.0,,,,,3.0,1.0,1.0,2.0,,9.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
27,360733,2012-03-04 12:00:00,"St. James' Park, Newcastle",52388,Away,Sunderland,Newcastle United,1,1,D,1,0,2,0,1.0,62.0,,1.0,,10.0,53.0,5.0,2.0,2.0,109.0,1.0,5.0,1.0,4.0,4.0,64.0,180.0,53.0,8.0,13.0,2.0,,1.0,,,1.0,14.0,19.0,1.0,19.0,4.0,14.0,27.0,74.0,0.0,65.0,15.0,3.0,,,3.0,28.0,30.0,4.0,23.0,2.0,,10.0,2.0,1.0,146.0,16.0,62.0,488.0,3.0,,19.0,32.0,,4.0,33.0,,,4.0,11.0,,13.0,44.0,7631,2.0,97.0,7.0,1.0,126.0,1.0,17.0,58.0,2.0,,7.0,14.0,6.0,,36.0,170.0,14.0,11.0,26.0,72.0,1.0,,0.0,,19.0,3.0,1.0,1.0,2.0,1.0,,,36.9,8.0,,,,3.0,27.0,4.0,1.0,3.0,258.0,15.0,13.0,9.0,1.0,9.0,,,146.0,6.0,12.0,11.0,31.0,18.0,7.0,13.0,23.0,1.0,3.0,12.0,7.0,4.0,,2.0,,3.0,,2.0,1.0,1.0,,,8.0,,,,1.0,1.0,,,3.0,1.0,,3.0,,5.0,1.0,,,1.0,,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,
