gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,totalScoringAtt,aerialLost,attIboxTarget,attObxLeft,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,attLfGoal,goals,attCmissRight,attOboxBlocked,attBxRight,goalAssistOpenplay,midfielderGoals,attPostLeft,attHdPost,goalAssist,attRfGoal,defenderGoals,goalsOpenplay,attMissHigh,attIboxGoal,attOboxPost,goalAssistIntentional,foulThrowIn,attBxLeft,attSvHighCentre,blockedScoringAtt,goalsConcededIbox,errorLeadToGoal,attGoalLowRight,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,attMissHighRight,cleanSheet,attOboxGoal,freekickTotal,attHdTarget,attMissHighLeft,attFreekickGoal,attFreekickTarget,shieldBallOop,attCmissHigh,attFreekickMiss,attemptsIbox,attemptsObox,touchesInOppBox,accurateThroughBall,attCorner,clearanceOffLine,sixYardBlock,punches,contentiousDecision,accuratePullBack,totalPullBack,attGoalHighLeft,forwardGoals,attGoalHighCentre,attLgCentre,attPenGoal,shotFastbreak,attCmissHighLeft,attFastbreak,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,attCmissHighRight,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attPostRight,attIboxOwnGoal,attHdGoal,secondYellow,goalFastbreak,penaltySave
11,695009,2013-11-10 16:10:00,"Swansea.com Stadium, Swansea",19242,Away,Stoke City,Swansea City,3,3,D,2,0,0,0,,1.0,,46.0,,22.0,35.0,1.0,2.0,3.0,,129.0,3.0,2.0,2.0,4.0,3.0,61.0,126.0,64.0,,6.0,17.0,,,,,,8.0,,18.0,,35.0,3.0,17.0,29.0,121.0,1.0,0.0,99.0,15.0,2.0,,,,1.0,1.0,38.0,66.0,3.0,50.0,1.0,1.0,5.0,12.0,2.0,1.0,126.0,2.0,12.0,52.0,493.0,1.0,19.0,,19.0,192.0,19.0,14.0,16.0,2.0,3.0,7.0,1.0,16.0,273.0,52.0,,1.0,77305,5.0,89.0,,2.0,1.0,105.0,5.0,12.0,9.0,59.0,1.0,,4.0,12.0,5.0,8.0,36.0,207.0,10.0,12.0,1.0,20.0,71.0,,,0.0,1.0,14.0,3.0,,3.0,6.0,0.0,1.0,1.0,34.9,12.0,1.0,,1.0,4.0,46.0,3.0,1.0,292.0,19.0,15.0,15.0,,2.0,12.0,2.0,1.0,195.0,2.0,17.0,26.0,52.0,18.0,1.0,16.0,28.0,3.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0,1.0,2.0,3.0,,,,2.0,2.0,,,2.0,1.0,,2.0,,3.0,,2.0,,,,1.0,3.0,,,,2.0,2.0,1.0,,,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
12,695017,2013-11-23 15:00:00,"bet365 Stadium, Stoke",26007,Home,Stoke City,Sunderland,2,0,W,1,0,0,1,,1.0,2.0,50.0,2.0,36.0,19.0,8.0,8.0,3.0,,139.0,5.0,6.0,2.0,15.0,5.0,117.0,119.0,48.0,,17.0,12.0,2.0,,,1.0,3.0,29.0,,9.0,1.0,19.0,3.0,34.0,39.0,215.0,,0.0,119.0,11.0,2.0,1.0,,1.0,2.0,2.0,58.0,87.0,9.0,92.0,,1.0,26.0,8.0,11.0,4.0,119.0,1.0,3.0,107.0,626.0,13.0,10.0,,11.0,375.0,15.0,8.0,11.0,1.0,2.0,5.0,6.0,16.0,448.0,51.0,,,77305,6.0,172.0,,13.0,,184.0,2.0,8.0,10.0,36.0,4.0,2.0,5.0,10.0,8.0,10.0,54.0,382.0,5.0,8.0,,21.0,82.0,,1.0,0.0,,7.0,1.0,,,4.0,0.0,4.0,3.0,49.9,12.0,2.0,,3.0,5.0,56.0,3.0,2.0,455.0,11.0,4.0,23.0,,7.0,28.0,1.0,3.0,300.0,6.0,32.0,22.0,82.0,25.0,3.0,11.0,15.0,17.0,2.0,8.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,,3.0,1.0,2.0,2.0,,,2.0,1.0,,2.0,1.0,2.0,,2.0,,1.0,1.0,5.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,3.0,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
13,695024,2013-11-30 15:00:00,"Goodison Park, Liverpool",35513,Away,Stoke City,Everton,0,4,L,0,1,0,0,1.0,1.0,1.0,66.0,2.0,30.0,25.0,1.0,2.0,8.0,2.0,161.0,4.0,8.0,1.0,4.0,3.0,96.0,144.0,71.0,,4.0,8.0,3.0,,,2.0,,18.0,,21.0,,25.0,3.0,21.0,36.0,162.0,,0.0,117.0,16.0,4.0,,,,,1.0,67.0,49.0,4.0,61.0,7.0,,15.0,9.0,8.0,,144.0,,13.0,91.0,619.0,4.0,28.0,,20.0,303.0,27.0,12.0,12.0,1.0,3.0,5.0,,20.0,391.0,55.0,,,77305,2.0,161.0,,7.0,,184.0,2.0,9.0,7.0,52.0,,4.0,5.0,14.0,9.0,6.0,49.0,319.0,8.0,12.0,,21.0,81.0,1.0,,0.0,,9.0,6.0,,4.0,7.0,0.0,4.0,,46.0,17.0,,,4.0,5.0,53.0,3.0,1.0,409.0,20.0,10.0,22.0,,,16.0,,,243.0,2.0,18.0,28.0,74.0,27.0,2.0,12.0,30.0,4.0,2.0,16.0,2.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,3.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,695036,2013-12-04 19:45:00,"bet365 Stadium, Stoke",25014,Home,Stoke City,Cardiff City,0,0,D,0,0,0,0,,,,56.0,2.0,36.0,19.0,7.0,6.0,3.0,1.0,199.0,6.0,10.0,2.0,10.0,2.0,101.0,182.0,77.0,,17.0,28.0,2.0,,,2.0,4.0,27.0,,11.0,,19.0,2.0,38.0,54.0,215.0,,0.0,148.0,11.0,1.0,,,,1.0,3.0,106.0,64.0,3.0,77.0,2.0,1.0,25.0,15.0,9.0,5.0,182.0,1.0,7.0,101.0,720.0,9.0,20.0,,14.0,358.0,22.0,12.0,8.0,,2.0,7.0,7.0,45.0,461.0,79.0,,,77305,7.0,159.0,2.0,15.0,2.0,186.0,4.0,15.0,8.0,60.0,2.0,6.0,2.0,14.0,7.0,4.0,61.0,368.0,11.0,5.0,1.0,27.0,109.0,,,0.0,1.0,5.0,1.0,,,8.0,0.0,5.0,3.0,59.2,35.0,3.0,,1.0,2.0,57.0,2.0,3.0,478.0,14.0,12.0,31.0,,11.0,28.0,1.0,6.0,319.0,7.0,34.0,42.0,95.0,28.0,2.0,8.0,15.0,13.0,2.0,14.0,2.0,9.0,2.0,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,4.0,,,,1.0,,1.0,4.0,1.0,,1.0,,,,,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,695047,2013-12-07 15:00:00,"bet365 Stadium, Stoke",25154,Home,Stoke City,Chelsea,3,2,W,1,1,0,0,2.0,,,62.0,4.0,31.0,21.0,4.0,2.0,4.0,,149.0,8.0,8.0,,8.0,3.0,75.0,153.0,67.0,,9.0,20.0,,,,,1.0,24.0,,15.0,,21.0,5.0,25.0,39.0,145.0,,0.0,113.0,14.0,1.0,1.0,,,,4.0,37.0,83.0,4.0,58.0,2.0,1.0,19.0,8.0,10.0,,153.0,1.0,5.0,79.0,566.0,5.0,15.0,,11.0,256.0,22.0,7.0,17.0,1.0,4.0,3.0,4.0,17.0,342.0,69.0,,,77305,4.0,128.0,1.0,9.0,,148.0,2.0,8.0,15.0,63.0,,2.0,6.0,19.0,10.0,12.0,60.0,265.0,6.0,17.0,,32.0,91.0,,1.0,0.0,,2.0,,,2.0,5.0,0.0,6.0,1.0,42.9,14.0,1.0,,1.0,6.0,50.0,5.0,4.0,361.0,11.0,10.0,25.0,,4.0,17.0,2.0,4.0,237.0,6.0,21.0,35.0,62.0,23.0,4.0,17.0,21.0,8.0,3.0,12.0,4.0,3.0,5.0,,1.0,,2.0,3.0,1.0,2.0,,2.0,2.0,,,3.0,1.0,,2.0,1.0,1.0,,2.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,2.0,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
16,695055,2013-12-14 17:30:00,"The MKM Stadium, Hull",23324,Away,Stoke City,Hull City,0,0,D,0,0,0,0,,1.0,,51.0,2.0,33.0,53.0,4.0,1.0,4.0,1.0,183.0,6.0,2.0,3.0,6.0,2.0,133.0,167.0,51.0,,11.0,15.0,2.0,,1.0,1.0,2.0,18.0,1.0,16.0,,53.0,5.0,19.0,22.0,194.0,,0.0,113.0,13.0,4.0,1.0,,,2.0,1.0,70.0,66.0,2.0,70.0,,3.0,13.0,10.0,3.0,3.0,167.0,1.0,6.0,121.0,734.0,4.0,20.0,1.0,14.0,387.0,20.0,19.0,41.0,,0.0,5.0,4.0,25.0,491.0,69.0,1.0,,77305,5.0,209.0,1.0,8.0,,231.0,,10.0,6.0,48.0,1.0,4.0,4.0,16.0,7.0,4.0,59.0,397.0,10.0,6.0,2.0,48.0,107.0,1.0,,0.0,,7.0,2.0,1.0,,5.0,0.0,3.0,3.0,53.8,17.0,1.0,,1.0,4.0,58.0,5.0,1.0,507.0,14.0,14.0,9.0,,8.0,23.0,3.0,4.0,294.0,7.0,19.0,18.0,63.0,22.0,3.0,41.0,22.0,7.0,3.0,3.0,3.0,4.0,5.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,695067,2013-12-21 15:00:00,"bet365 Stadium, Stoke",26003,Home,Stoke City,Aston Villa,2,1,W,0,0,0,0,,,,51.0,,23.0,32.0,3.0,4.0,3.0,,138.0,9.0,3.0,3.0,8.0,2.0,61.0,174.0,78.0,,12.0,16.0,,,1.0,,2.0,25.0,1.0,12.0,,32.0,6.0,16.0,25.0,114.0,,0.0,108.0,13.0,1.0,1.0,,,2.0,2.0,44.0,67.0,3.0,42.0,,2.0,19.0,9.0,5.0,2.0,174.0,3.0,6.0,47.0,517.0,4.0,16.0,1.0,3.0,169.0,13.0,15.0,24.0,,1.0,6.0,5.0,36.0,264.0,68.0,1.0,,77305,5.0,78.0,1.0,12.0,2.0,104.0,,9.0,16.0,52.0,2.0,3.0,5.0,11.0,8.0,12.0,54.0,183.0,17.0,6.0,2.0,36.0,102.0,,,0.0,1.0,7.0,3.0,,1.0,7.0,0.0,6.0,3.0,53.5,24.0,3.0,,,5.0,52.0,6.0,2.0,288.0,3.0,18.0,9.0,,6.0,18.0,3.0,3.0,209.0,5.0,16.0,47.0,60.0,27.0,2.0,24.0,16.0,6.0,2.0,7.0,2.0,3.0,6.0,2.0,,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,2.0,,,,4.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,
19,695089,2013-12-29 16:00:00,"White Hart Lane, London",36072,Away,Stoke City,Tottenham Hotspur,0,3,L,0,1,0,0,1.0,1.0,,51.0,2.0,18.0,37.0,1.0,1.0,4.0,,133.0,1.0,4.0,1.0,1.0,1.0,42.0,138.0,52.0,,2.0,9.0,1.0,,,1.0,1.0,10.0,,17.0,,37.0,1.0,10.0,19.0,92.0,,0.0,83.0,14.0,1.0,,,,,1.0,25.0,37.0,1.0,53.0,2.0,,9.0,16.0,3.0,1.0,138.0,,12.0,64.0,488.0,1.0,15.0,,16.0,196.0,24.0,8.0,19.0,,2.0,3.0,,24.0,279.0,57.0,,1.0,77305,1.0,113.0,,6.0,,148.0,1.0,16.0,10.0,54.0,,4.0,2.0,8.0,8.0,5.0,40.0,204.0,6.0,15.0,,20.0,72.0,,,0.0,1.0,6.0,2.0,,3.0,6.0,0.0,1.0,1.0,32.5,18.0,,,3.0,2.0,40.0,1.0,1.0,292.0,16.0,9.0,11.0,,1.0,15.0,,,154.0,,10.0,18.0,44.0,18.0,4.0,19.0,24.0,1.0,3.0,12.0,4.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,1.0,,,,2.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
20,695097,2014-01-01 15:00:00,"bet365 Stadium, Stoke",25832,Home,Stoke City,Everton,1,1,D,0,0,0,0,,,2.0,68.0,2.0,18.0,22.0,6.0,3.0,3.0,,149.0,7.0,11.0,1.0,9.0,4.0,69.0,148.0,63.0,,10.0,10.0,2.0,,,1.0,,23.0,,16.0,1.0,22.0,2.0,13.0,25.0,148.0,,0.0,115.0,16.0,2.0,,,,1.0,,51.0,63.0,7.0,48.0,5.0,1.0,21.0,15.0,7.0,1.0,148.0,,10.0,59.0,540.0,8.0,11.0,,20.0,230.0,38.0,10.0,11.0,,4.0,7.0,2.0,13.0,310.0,65.0,1.0,,77305,2.0,100.0,,13.0,,120.0,4.0,15.0,12.0,57.0,1.0,1.0,,17.0,6.0,9.0,41.0,241.0,9.0,11.0,1.0,30.0,76.0,2.0,,0.0,3.0,5.0,1.0,,1.0,4.0,0.0,6.0,2.0,39.5,10.0,1.0,,3.0,,45.0,2.0,,325.0,20.0,16.0,12.0,,2.0,18.0,1.0,1.0,228.0,5.0,12.0,25.0,72.0,22.0,2.0,11.0,22.0,9.0,3.0,16.0,2.0,9.0,2.0,,1.0,1.0,,1.0,1.0,3.0,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,4.0,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
21,695109,2014-01-12 16:10:00,"bet365 Stadium, Stoke",27160,Home,Stoke City,Liverpool,3,5,L,2,2,0,0,,,,67.0,,25.0,25.0,5.0,5.0,5.0,,170.0,12.0,10.0,4.0,10.0,4.0,102.0,167.0,54.0,,13.0,15.0,1.0,,1.0,1.0,,51.0,1.0,11.0,,25.0,11.0,20.0,29.0,205.0,,0.0,147.0,10.0,1.0,,,,4.0,,39.0,101.0,6.0,63.0,,3.0,40.0,17.0,14.0,2.0,167.0,,12.0,77.0,658.0,6.0,21.0,1.0,18.0,314.0,23.0,8.0,8.0,1.0,1.0,,4.0,28.0,399.0,67.0,,,61595,7.0,132.0,,22.0,1.0,145.0,4.0,17.0,7.0,59.0,2.0,1.0,3.0,12.0,2.0,5.0,47.0,325.0,8.0,11.0,2.0,21.0,86.0,,,0.0,2.0,2.0,5.0,,5.0,8.0,0.0,9.0,4.0,51.0,27.0,1.0,,5.0,3.0,56.0,11.0,,412.0,18.0,14.0,16.0,,5.0,31.0,3.0,2.0,318.0,3.0,13.0,25.0,102.0,33.0,1.0,8.0,13.0,11.0,1.0,19.0,1.0,11.0,11.0,,1.0,2.0,2.0,3.0,,2.0,,2.0,1.0,,1.0,2.0,,,3.0,,2.0,,2.0,,1.0,,4.0,5.0,2.0,2.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
22,695113,2014-01-18 15:00:00,"Selhurst Park, London",24440,Away,Stoke City,Crystal Palace,0,1,L,0,0,0,0,,,,58.0,1.0,39.0,38.0,8.0,5.0,5.0,,178.0,8.0,9.0,1.0,14.0,2.0,116.0,181.0,77.0,,17.0,27.0,2.0,,,1.0,2.0,24.0,,17.0,,38.0,2.0,23.0,52.0,162.0,,0.0,122.0,13.0,4.0,1.0,,1.0,1.0,,61.0,55.0,5.0,55.0,2.0,5.0,22.0,13.0,5.0,6.0,181.0,,7.0,105.0,689.0,12.0,11.0,,9.0,329.0,25.0,10.0,26.0,2.0,2.0,1.0,9.0,21.0,440.0,74.0,,,82970,7.0,185.0,,16.0,1.0,212.0,2.0,13.0,11.0,67.0,,2.0,5.0,17.0,5.0,10.0,60.0,339.0,9.0,8.0,2.0,26.0,95.0,,2.0,0.0,2.0,4.0,4.0,,1.0,3.0,0.0,7.0,5.0,56.3,13.0,3.0,,2.0,5.0,51.0,3.0,,454.0,9.0,10.0,31.0,,11.0,28.0,1.0,5.0,266.0,7.0,23.0,38.0,72.0,24.0,7.0,26.0,23.0,14.0,3.0,19.0,7.0,6.0,3.0,,,2.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,,,,1.0,,4.0,1.0,1.0,,,2.0,,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,695127,2014-01-29 19:45:00,"Stadium of Light, Sunderland",34745,Away,Stoke City,Sunderland,0,1,L,0,1,1,0,,,2.0,59.0,3.0,31.0,11.0,2.0,6.0,5.0,2.0,164.0,4.0,6.0,1.0,10.0,5.0,95.0,149.0,69.0,,15.0,14.0,5.0,,1.0,1.0,2.0,18.0,1.0,20.0,,11.0,3.0,30.0,37.0,203.0,,0.0,119.0,15.0,4.0,1.0,,2.0,,,52.0,58.0,4.0,70.0,,1.0,15.0,10.0,10.0,1.0,149.0,1.0,9.0,100.0,618.0,8.0,16.0,1.0,4.0,331.0,23.0,10.0,8.0,1.0,2.0,4.0,6.0,20.0,409.0,74.0,,1.0,82970,6.0,146.0,2.0,5.0,1.0,166.0,3.0,10.0,9.0,64.0,1.0,,2.0,15.0,7.0,4.0,56.0,345.0,16.0,14.0,2.0,25.0,89.0,2.0,,0.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,51.9,15.0,3.0,,4.0,2.0,52.0,3.0,,429.0,4.0,16.0,20.0,,7.0,30.0,2.0,5.0,281.0,4.0,28.0,23.0,80.0,25.0,1.0,8.0,26.0,10.0,3.0,13.0,1.0,6.0,3.0,,,2.0,,,1.0,1.0,2.0,,,,1.0,,,,,2.0,,,,1.0,2.0,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
24,695138,2014-02-01 15:00:00,"bet365 Stadium, Stoke",26547,Home,Stoke City,Manchester United,2,1,W,1,0,0,0,,1.0,2.0,59.0,3.0,18.0,48.0,8.0,6.0,3.0,1.0,141.0,3.0,12.0,2.0,8.0,4.0,42.0,160.0,57.0,,13.0,14.0,,,,1.0,3.0,21.0,,14.0,3.0,48.0,7.0,12.0,29.0,99.0,,0.0,79.0,18.0,2.0,1.0,,2.0,2.0,6.0,54.0,36.0,5.0,38.0,1.0,2.0,14.0,15.0,3.0,4.0,160.0,,12.0,45.0,516.0,6.0,19.0,,12.0,165.0,24.0,12.0,24.0,1.0,2.0,7.0,3.0,23.0,249.0,55.0,,,82970,5.0,80.0,,9.0,1.0,94.0,9.0,15.0,7.0,64.0,,3.0,4.0,15.0,7.0,6.0,41.0,176.0,7.0,10.0,1.0,30.0,79.0,,,0.0,2.0,10.0,,,1.0,9.0,0.0,2.0,1.0,37.7,17.0,1.0,,5.0,5.0,42.0,7.0,6.0,266.0,12.0,10.0,12.0,,8.0,13.0,1.0,4.0,193.0,6.0,12.0,22.0,36.0,16.0,3.0,24.0,18.0,9.0,3.0,26.0,3.0,9.0,7.0,,,1.0,1.0,2.0,2.0,,,1.0,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,
25,695147,2014-02-08 15:00:00,"St. Mary's Stadium, Southampton",27987,Away,Stoke City,Southampton,2,2,D,2,2,0,0,2.0,2.0,2.0,57.0,1.0,31.0,33.0,1.0,2.0,3.0,,140.0,6.0,7.0,2.0,5.0,4.0,63.0,161.0,59.0,,5.0,15.0,1.0,,,2.0,,23.0,,16.0,1.0,33.0,4.0,14.0,34.0,119.0,,0.0,90.0,14.0,1.0,1.0,,,2.0,3.0,71.0,38.0,4.0,44.0,1.0,1.0,19.0,16.0,4.0,,161.0,2.0,8.0,69.0,539.0,3.0,13.0,,8.0,219.0,18.0,11.0,18.0,,4.0,6.0,1.0,29.0,305.0,62.0,,,82970,1.0,116.0,,13.0,,136.0,4.0,16.0,10.0,58.0,1.0,4.0,4.0,17.0,10.0,7.0,52.0,229.0,7.0,10.0,,31.0,85.0,,,0.0,1.0,7.0,2.0,,2.0,2.0,0.0,4.0,2.0,39.6,21.0,1.0,,1.0,5.0,50.0,4.0,4.0,316.0,8.0,14.0,22.0,1.0,1.0,15.0,2.0,1.0,203.0,1.0,14.0,26.0,49.0,29.0,5.0,18.0,21.0,4.0,2.0,16.0,5.0,8.0,4.0,2.0,,,,2.0,,,1.0,1.0,,,,2.0,1.0,,1.0,,1.0,,2.0,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,3.0,,,,,,1.0,,,,1.0,,,1.0,,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,
26,695154,2014-02-12 19:45:00,"bet365 Stadium, Stoke",24822,Home,Stoke City,Swansea City,1,1,D,1,0,0,0,,,2.0,76.0,1.0,25.0,27.0,4.0,3.0,1.0,1.0,143.0,,8.0,1.0,4.0,4.0,62.0,176.0,78.0,,7.0,13.0,1.0,,1.0,1.0,,12.0,1.0,24.0,2.0,27.0,2.0,17.0,38.0,109.0,,0.0,96.0,11.0,,,,1.0,2.0,1.0,42.0,33.0,3.0,48.0,2.0,,10.0,17.0,2.0,2.0,176.0,2.0,9.0,54.0,538.0,4.0,21.0,1.0,17.0,186.0,27.0,13.0,11.0,2.0,2.0,5.0,1.0,26.0,290.0,62.0,,2.0,82970,2.0,88.0,2.0,6.0,,112.0,7.0,17.0,6.0,72.0,,,1.0,17.0,5.0,6.0,53.0,197.0,10.0,23.0,,32.0,76.0,,,0.0,4.0,5.0,,,1.0,4.0,0.0,,,35.7,18.0,,,13.0,1.0,45.0,2.0,1.0,307.0,17.0,13.0,15.0,,3.0,25.0,,,207.0,4.0,16.0,31.0,42.0,29.0,4.0,11.0,30.0,6.0,3.0,20.0,4.0,12.0,2.0,,1.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,2.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,695165,2014-02-22 15:00:00,"Etihad Stadium, Manchester",47038,Away,Stoke City,Manchester City,0,1,L,0,0,0,0,,,1.0,45.0,6.0,23.0,36.0,4.0,3.0,6.0,1.0,94.0,3.0,1.0,3.0,6.0,2.0,44.0,117.0,45.0,,7.0,12.0,,,,1.0,,10.0,,14.0,2.0,36.0,3.0,5.0,26.0,69.0,,0.0,76.0,13.0,3.0,1.0,,,,,28.0,28.0,2.0,34.0,4.0,3.0,7.0,21.0,3.0,1.0,117.0,,6.0,59.0,422.0,5.0,10.0,,14.0,148.0,32.0,10.0,16.0,,1.0,5.0,4.0,11.0,213.0,49.0,,1.0,61595,1.0,94.0,,4.0,1.0,108.0,4.0,21.0,13.0,50.0,1.0,3.0,3.0,7.0,13.0,8.0,49.0,160.0,15.0,7.0,1.0,23.0,63.0,1.0,,0.0,1.0,8.0,,,1.0,1.0,0.0,2.0,2.0,25.9,8.0,2.0,,1.0,3.0,26.0,3.0,,231.0,14.0,8.0,14.0,,4.0,13.0,1.0,3.0,133.0,2.0,5.0,14.0,37.0,7.0,4.0,16.0,16.0,4.0,3.0,13.0,4.0,13.0,3.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,695177,2014-03-01 15:00:00,"bet365 Stadium, Stoke",26711,Home,Stoke City,Arsenal,1,0,W,0,0,0,0,,,,63.0,1.0,40.0,29.0,1.0,1.0,2.0,1.0,170.0,6.0,4.0,3.0,5.0,4.0,83.0,168.0,60.0,,8.0,23.0,2.0,,,,1.0,19.0,,14.0,1.0,29.0,3.0,17.0,55.0,154.0,1.0,0.0,117.0,13.0,1.0,2.0,,1.0,2.0,5.0,48.0,83.0,3.0,72.0,,2.0,16.0,16.0,7.0,1.0,168.0,,6.0,100.0,633.0,5.0,27.0,,17.0,301.0,26.0,9.0,14.0,1.0,3.0,3.0,2.0,22.0,402.0,69.0,1.0,,82970,5.0,167.0,1.0,7.0,,191.0,5.0,7.0,8.0,53.0,,5.0,6.0,20.0,4.0,6.0,74.0,315.0,10.0,5.0,,27.0,99.0,2.0,,0.0,2.0,4.0,1.0,,,15.0,0.0,4.0,2.0,43.4,17.0,,,2.0,6.0,49.0,3.0,5.0,425.0,17.0,6.0,30.0,,4.0,25.0,2.0,3.0,253.0,5.0,16.0,29.0,62.0,22.0,4.0,14.0,19.0,6.0,2.0,11.0,4.0,7.0,3.0,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,,,6.0,2.0,15.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
