matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2293027,22,2023-02-05 14:00:00,"The City Ground, Nottingham",29363.0,Away,Leeds,Nott'm Forest,0,1,L,0,1,0,0,,10.0,4.0,3.0,3.0,,,1.0,,1.0,,,,9.0,6.0,36.0,86.0,585.0,438.0,69.9,21.0,19.0,14.0,2.0,10.0,10.0,7.0,2.0,,,9.0,14.0,212.0,1.0,1.0,,,,72.0,77.0,30.0,28.0,2.0,2.0,3.0,14.0,14.0,0.0,0.0,,,3.0
2293034,23,2023-02-12 14:00:00,"Elland Road, Leeds",36919.0,Home,Leeds,Man Utd,0,2,L,0,0,0,0,,16.0,6.0,4.0,6.0,,,1.0,,2.0,,,,9.0,6.0,29.0,48.0,251.0,170.0,33.0,23.0,23.0,13.0,10.0,14.0,14.0,12.0,1.0,1.0,,9.0,21.0,144.0,3.0,2.0,,,,61.0,61.0,16.0,12.0,7.0,7.0,3.0,10.0,13.0,0.0,0.0,,,3.0
2293044,24,2023-02-18 15:00:00,"Goodison Park, Liverpool",39232.0,Away,Leeds,Everton,0,1,L,0,0,0,0,,8.0,,4.0,4.0,,,1.0,,1.0,,,,7.0,4.0,31.0,61.0,400.0,276.0,50.0,14.0,24.0,14.0,11.0,18.0,18.0,10.0,4.0,,1.0,16.0,10.0,179.0,3.0,1.0,,,,62.0,63.0,20.0,18.0,4.0,4.0,,6.0,8.0,0.0,0.0,,,
2293054,25,2023-02-25 15:00:00,"Elland Road, Leeds",36641.0,Home,Leeds,Southampton,1,0,W,0,0,0,0,1.0,14.0,4.0,6.0,4.0,,,,,,,,1.0,9.0,7.0,36.0,57.0,520.0,440.0,60.6,39.0,23.0,15.0,8.0,12.0,12.0,11.0,3.0,,,10.0,13.0,150.0,2.0,,,1.0,,55.0,61.0,12.0,11.0,9.0,9.0,,15.0,13.0,0.0,0.0,,,2.0
2293064,26,2023-03-04 15:00:00,"Stamford Bridge, London",39905.0,Away,Leeds,Chelsea,0,1,L,0,0,0,0,,11.0,2.0,6.0,3.0,,,,,,,,,7.0,4.0,22.0,45.0,425.0,337.0,42.8,21.0,23.0,15.0,12.0,13.0,13.0,7.0,2.0,,,11.0,17.0,152.0,2.0,1.0,,,,61.0,58.0,16.0,14.0,7.0,7.0,2.0,7.0,11.0,0.0,0.0,,,2.0
2293074,27,2023-03-11 15:00:00,"Elland Road, Leeds",36471.0,Home,Leeds,Brighton,2,2,D,1,1,0,0,2.0,12.0,4.0,3.0,5.0,,,,,,,,2.0,10.0,7.0,21.0,34.0,378.0,310.0,38.0,25.0,14.0,10.0,21.0,26.0,26.0,13.0,3.0,,,14.0,17.0,125.0,2.0,2.0,,,,35.0,62.0,5.0,12.0,4.0,4.0,,12.0,9.0,0.0,0.0,,,3.0
2293089,28,2023-03-18 15:00:00,"Molineux Stadium, Wolverhampton",31570.0,Away,Leeds,Wolves,4,2,W,1,0,0,2,4.0,11.0,4.0,5.0,2.0,,,2.0,2.0,,,,3.0,7.0,5.0,14.0,44.0,294.0,199.0,34.1,17.0,21.0,14.0,9.0,34.0,34.0,11.0,5.0,1.0,1.0,10.0,8.0,150.0,6.0,2.0,,,,52.0,55.0,11.0,16.0,4.0,4.0,,9.0,13.0,0.0,0.0,,,
2293091,29,2023-04-01 15:00:00,"Emirates Stadium, London",60283.0,Away,Leeds,Arsenal,1,4,L,0,1,0,0,1.0,7.0,5.0,1.0,1.0,,,,,,,,,5.0,4.0,15.0,51.0,307.0,220.0,32.9,16.0,21.0,12.0,13.0,13.0,13.0,11.0,6.0,1.0,,13.0,9.0,125.0,1.0,4.0,,,,50.0,60.0,12.0,20.0,3.0,3.0,,13.0,11.0,0.0,0.0,,,1.0
2293103,30,2023-04-09 14:00:00,"Elland Road, Leeds",36427.0,Home,Leeds,Crystal Palace,1,5,L,1,1,0,0,1.0,11.0,7.0,4.0,,,,1.0,,1.0,,,1.0,8.0,6.0,31.0,62.0,403.0,305.0,48.0,22.0,34.0,19.0,13.0,23.0,23.0,10.0,4.0,,,33.0,17.0,161.0,2.0,5.0,,,,65.0,89.0,16.0,23.0,2.0,2.0,1.0,11.0,8.0,0.0,0.0,,,2.0
2293113,31,2023-04-17 20:00:00,"Elland Road, Leeds",36657.0,Home,Leeds,Liverpool,1,6,L,0,2,0,0,1.0,13.0,3.0,7.0,3.0,,,1.0,1.0,1.0,1.0,,,10.0,5.0,20.0,33.0,296.0,204.0,26.4,14.0,13.0,7.0,11.0,17.0,17.0,7.0,2.0,,,12.0,10.0,142.0,1.0,6.0,,,,45.0,48.0,10.0,9.0,4.0,4.0,1.0,6.0,11.0,0.0,0.0,,,1.0
2293125,32,2023-04-22 12:30:00,"Craven Cottage, London",24356.0,Away,Leeds,Fulham,1,2,L,0,0,0,0,1.0,10.0,2.0,4.0,4.0,,,,,1.0,,,,6.0,5.0,28.0,59.0,392.0,284.0,50.7,16.0,24.0,12.0,14.0,28.0,28.0,8.0,4.0,,,16.0,12.0,162.0,3.0,2.0,,,,61.0,66.0,22.0,16.0,6.0,6.0,1.0,15.0,10.0,0.0,0.0,,,2.0
2293132,33,2023-04-25 20:00:00,"Elland Road, Leeds",36666.0,Home,Leeds,Leicester,1,1,D,1,0,0,0,1.0,13.0,3.0,6.0,4.0,,,3.0,1.0,2.0,,,1.0,8.0,4.0,23.0,61.0,307.0,197.0,40.8,13.0,22.0,11.0,11.0,25.0,25.0,10.0,6.0,2.0,,10.0,11.0,163.0,2.0,1.0,,,,58.0,63.0,16.0,18.0,3.0,3.0,1.0,14.0,15.0,0.0,0.0,,,4.0
2293140,34,2023-04-30 14:00:00,"Vitality Stadium, Bournemouth",10434.0,Away,Leeds,Bournemouth,1,4,L,1,2,0,0,1.0,15.0,6.0,7.0,2.0,,,1.0,1.0,,,,1.0,10.0,5.0,27.0,70.0,500.0,402.0,57.9,28.0,19.0,8.0,6.0,14.0,14.0,11.0,3.0,,2.0,11.0,16.0,155.0,3.0,4.0,,,,66.0,61.0,23.0,12.0,5.0,6.0,1.0,14.0,11.0,0.0,0.0,,,1.0
2293154,35,2023-05-06 15:00:00,"Etihad Stadium, Manchester",53406.0,Away,Leeds,Man City,1,2,L,0,2,0,0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,3.0,2.0,16.0,36.0,201.0,120.0,19.1,5.0,10.0,5.0,4.0,27.0,27.0,10.0,2.0,1.0,,14.0,5.0,113.0,4.0,2.0,,,,26.0,49.0,12.0,13.0,1.0,1.0,,16.0,3.0,0.0,0.0,,,3.0
2293166,36,2023-05-13 12:30:00,"Elland Road, Leeds",36955.0,Home,Leeds,Newcastle,2,2,D,1,1,1,0,2.0,9.0,4.0,3.0,2.0,,,,1.0,1.0,,,,4.0,1.0,22.0,54.0,253.0,163.0,36.1,18.0,23.0,12.0,15.0,26.0,26.0,11.0,6.0,,,18.0,13.0,131.0,3.0,2.0,,,,50.0,71.0,11.0,18.0,2.0,2.0,1.0,16.0,13.0,0.0,0.0,1.0,,
2293178,37,2023-05-21 13:30:00,"London Stadium, London",62478.0,Away,Leeds,West Ham,1,3,L,1,1,0,0,1.0,12.0,3.0,6.0,3.0,,,,,,,,1.0,9.0,5.0,44.0,73.0,350.0,255.0,41.2,26.0,23.0,14.0,6.0,21.0,21.0,16.0,6.0,,,11.0,4.0,147.0,6.0,3.0,,,,45.0,66.0,12.0,34.0,5.0,5.0,1.0,11.0,6.0,0.0,0.0,,,1.0
2293186,38,2023-05-28 16:30:00,"Elland Road, Leeds",36871.0,Home,Leeds,Spurs,1,4,L,0,1,0,0,1.0,19.0,2.0,7.0,10.0,,,1.0,,1.0,,,1.0,12.0,7.0,59.0,81.0,441.0,341.0,52.1,44.0,22.0,12.0,9.0,6.0,6.0,12.0,1.0,,1.0,13.0,19.0,178.0,3.0,4.0,,,,62.0,71.0,30.0,25.0,12.0,12.0,,8.0,5.0,0.0,0.0,,,1.0
