matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2562103,21,2026-01-07 20:15:00,"St. James' Park, Newcastle",52176,Away,Leeds,Newcastle,3,4,L,2,1,0,0,3.0,14.0,6.0,5.0,3.0,1.8919,2.2222,2.0,1.0,2.0,1.0,0.713836,2.0,9.0,6.0,28.0,62.0,334.0,256.0,37.5,26.0,17.0,7.0,16.0,33.0,33.0,4.0,5.0,,,8.0,8.0,133.0,3.0,4.0,2.8711,,0.0,52.0,53.0,19.0,23.0,4.0,4.0,1.0,10.0,9.0,0.0,0.0,1.0,1.0,,123382.0
2562108,22,2026-01-17 15:00:00,"Elland Road, Leeds",36300,Home,Leeds,Fulham,1,0,W,0,0,0,0,1.0,14.0,5.0,8.0,1.0,1.4306,1.119,5.0,1.0,4.0,,0.907655,1.0,12.0,6.0,32.0,55.0,402.0,311.0,46.3,22.0,10.0,8.0,7.0,13.0,13.0,7.0,2.0,1.0,,3.0,11.0,151.0,1.0,0.0,0.0899,1.0,0.0,46.0,52.0,22.0,27.0,7.0,7.0,,6.0,11.0,0.0,0.0,,0.0,8.0,116379.77
2562120,23,2026-01-26 20:00:00,"Hill Dickinson Stadium, Liverpool",51979,Away,Leeds,Everton,1,1,D,1,0,0,0,1.0,14.0,4.0,7.0,3.0,1.377,0.7943,2.0,1.0,2.0,1.0,0.714133,1.0,8.0,5.0,24.0,57.0,394.0,304.0,41.9,23.0,31.0,20.0,10.0,44.0,44.0,9.0,4.0,2.0,,10.0,7.0,151.0,2.0,1.0,0.9973,,0.0,63.0,73.0,23.0,31.0,4.0,4.0,,13.0,9.0,0.0,0.0,,0.0,,118619.72
2562128,24,2026-01-31 15:00:00,"Elland Road, Leeds",36858,Home,Leeds,Arsenal,0,4,L,0,2,0,0,0.0,3.0,1.0,1.0,1.0,0.15,0.4179,,,,,0.179203,,2.0,2.0,23.0,53.0,395.0,316.0,49.5,21.0,16.0,6.0,10.0,36.0,36.0,6.0,3.0,1.0,,10.0,4.0,139.0,4.0,4.0,1.5138,,0.0,47.0,52.0,18.0,18.0,4.0,4.0,,10.0,7.0,0.0,0.0,,0.0,,108407.35
2562140,25,2026-02-06 20:00:00,"Elland Road, Leeds",36835,Home,Leeds,Nott'm Forest,3,1,W,2,0,0,0,3.0,14.0,5.0,3.0,6.0,2.504,2.9396,5.0,3.0,4.0,1.0,1.40175,3.0,11.0,9.0,24.0,48.0,477.0,398.0,56.4,30.0,22.0,16.0,5.0,36.0,36.0,6.0,4.0,1.0,,10.0,9.0,126.0,5.0,1.0,1.4936,,0.0,63.0,52.0,18.0,19.0,5.0,5.0,1.0,9.0,12.0,0.0,0.0,,0.0,1.0,115654.28
2562147,26,2026-02-10 19:30:00,"Stamford Bridge, London",39253,Away,Leeds,Chelsea,2,2,D,0,1,0,0,2.0,4.0,2.0,,2.0,1.441,1.7439,1.0,2.0,,,0.552799,1.0,2.0,2.0,12.0,40.0,336.0,274.0,34.2,17.0,11.0,6.0,9.0,33.0,33.0,5.0,7.0,1.0,,5.0,12.0,108.0,2.0,2.0,1.4537,,0.0,38.0,46.0,17.0,14.0,1.0,1.0,1.0,13.0,9.0,0.0,0.0,1.0,1.0,1.0,113569.38
2562155,27,2026-02-21 15:00:00,"Villa Park, Birmingham",43048,Away,Leeds,Aston Villa,1,1,D,1,0,0,0,1.0,14.0,4.0,6.0,4.0,1.3541,1.1031,2.0,,2.0,,0.699291,,9.0,5.0,19.0,36.0,256.0,182.0,33.2,21.0,22.0,13.0,11.0,40.0,40.0,11.0,5.0,,,8.0,9.0,118.0,3.0,1.0,1.8303,,0.0,53.0,61.0,15.0,23.0,2.0,2.0,1.0,16.0,11.0,0.0,0.0,,0.0,5.0,113815.1
2562170,28,2026-02-28 17:30:00,"Elland Road, Leeds",36838,Home,Leeds,Man City,0,1,L,0,1,0,0,0.0,14.0,2.0,7.0,5.0,1.4907,0.4695,3.0,,3.0,,0.868708,,10.0,5.0,33.0,40.0,311.0,229.0,33.0,25.0,14.0,5.0,9.0,26.0,26.0,8.0,4.0,1.0,,16.0,7.0,139.0,4.0,1.0,2.6259,,0.0,32.0,59.0,9.0,16.0,5.0,5.0,2.0,10.0,8.0,0.0,0.0,,0.0,1.0,116914.08
2562180,29,2026-03-03 19:30:00,"Elland Road, Leeds",36713,Home,Leeds,Sunderland,0,1,L,0,0,0,0,0.0,18.0,4.0,5.0,9.0,1.1503,0.7287,1.0,1.0,,1.0,0.64384,1.0,10.0,8.0,37.0,65.0,550.0,455.0,70.3,25.0,16.0,6.0,6.0,20.0,20.0,5.0,2.0,,,2.0,8.0,162.0,,1.0,0.6468,,0.0,62.0,56.0,24.0,25.0,9.0,9.0,1.0,15.0,19.0,0.0,0.0,,0.0,2.0,117588.76
2562189,30,2026-03-15 14:00:00,"Selhurst Park, London",25155,Away,Leeds,Crystal Palace,0,0,D,0,0,1,0,0.0,10.0,3.0,4.0,3.0,1.116,0.3586,,,1.0,,0.532992,,5.0,4.0,31.0,50.0,228.0,142.0,33.4,20.0,15.0,8.0,6.0,55.0,55.0,11.0,6.0,,,5.0,3.0,139.0,,0.0,,1.0,0.0,57.0,61.0,28.0,38.0,3.0,3.0,2.0,11.0,11.0,0.0,0.0,1.0,0.0,2.0,106537.31
2562200,31,2026-03-21 20:00:00,"Elland Road, Leeds",36386,Home,Leeds,Brentford,0,0,D,0,0,0,0,0.0,14.0,4.0,3.0,7.0,0.5243,0.7239,,,,,0.953413,,11.0,8.0,48.0,55.0,461.0,369.0,57.0,33.0,15.0,6.0,8.0,38.0,38.0,9.0,1.0,,,7.0,4.0,167.0,2.0,0.0,0.1875,1.0,0.0,68.0,64.0,39.0,41.0,6.0,6.0,,6.0,9.0,0.0,0.0,,0.0,1.0,120761.96
2562211,32,2026-04-13 20:00:00,"Old Trafford, Manchester",74018,Away,Leeds,Man Utd,2,1,W,2,0,0,1,2.0,15.0,6.0,4.0,5.0,2.5715,1.4379,3.0,,4.0,,1.97283,1.0,11.0,7.0,29.0,59.0,453.0,376.0,47.3,32.0,12.0,8.0,7.0,37.0,37.0,5.0,8.0,,,7.0,10.0,123.0,6.0,1.0,1.8,,0.0,45.0,62.0,13.0,24.0,4.0,4.0,1.0,15.0,11.0,0.0,0.0,,0.0,,116526.66
2562220,33,2026-04-18 15:00:00,"Elland Road, Leeds",36840,Home,Leeds,Wolves,3,0,W,2,0,0,0,3.0,17.0,6.0,7.0,4.0,2.8204,2.5074,5.0,3.0,4.0,,0.616886,2.0,14.0,9.0,28.0,51.0,465.0,378.0,56.1,29.0,12.0,6.0,15.0,22.0,22.0,8.0,4.0,,,5.0,17.0,159.0,1.0,0.0,0.2952,1.0,0.0,43.0,53.0,11.0,16.0,5.0,5.0,2.0,9.0,15.0,0.0,0.0,1.0,1.0,,112699.73
2562225,33,2026-04-22 20:00:00,"Vitality Stadium, Bournemouth",11226,Away,Leeds,Bournemouth,2,2,D,0,0,0,0,2.0,10.0,3.0,5.0,2.0,0.8096,0.9467,1.0,,1.0,2.0,0.930288,,7.0,4.0,23.0,53.0,315.0,236.0,40.1,27.0,22.0,14.0,6.0,62.0,62.0,14.0,5.0,1.0,,11.0,4.0,120.0,5.0,2.0,2.0244,,0.0,64.0,54.0,28.0,24.0,1.0,1.0,,10.0,6.0,0.0,0.0,,0.0,1.0,112134.6
2562241,35,2026-05-01 20:00:00,"Elland Road, Leeds",36265,Home,Leeds,Burnley,3,1,W,1,0,0,0,3.0,18.0,8.0,5.0,5.0,1.6399,2.2961,1.0,2.0,,,0.760065,2.0,13.0,11.0,26.0,66.0,452.0,359.0,47.6,26.0,10.0,7.0,12.0,13.0,13.0,8.0,3.0,,,7.0,8.0,140.0,2.0,1.0,0.3651,,0.0,45.0,53.0,23.0,21.0,5.0,5.0,,12.0,10.0,0.0,0.0,,0.0,,118691.09
2562253,36,2026-05-11 20:00:00,"Tottenham Hotspur Stadium, London",61048,Away,Leeds,Spurs,1,1,D,0,0,0,0,1.0,11.0,4.0,6.0,1.0,1.3449,2.5906,1.0,1.0,1.0,2.0,0.573222,,8.0,3.0,20.0,65.0,336.0,243.0,43.0,13.0,25.0,19.0,9.0,47.0,47.0,10.0,6.0,1.0,,12.0,13.0,145.0,1.0,1.0,0.9667,,0.0,62.0,65.0,21.0,26.0,2.0,2.0,1.0,7.0,11.0,0.0,0.0,1.0,1.0,3.0,112769.66
2562261,37,2026-05-17 15:00:00,"Elland Road, Leeds",36880,Home,Leeds,Brighton,1,0,W,0,0,0,0,1.0,7.0,1.0,3.0,3.0,0.3883,0.8287,,1.0,,,0.379917,,5.0,2.0,29.0,51.0,280.0,188.0,33.7,17.0,12.0,5.0,3.0,37.0,37.0,7.0,6.0,,,6.0,4.0,134.0,7.0,0.0,0.6314,1.0,0.0,46.0,44.0,20.0,24.0,7.0,7.0,,9.0,7.0,0.0,0.0,,0.0,3.0,112937.66
2562274,38,2026-05-24 16:00:00,"London Stadium, London",62471,Away,Leeds,West Ham,0,3,L,0,0,0,0,0.0,13.0,3.0,6.0,4.0,1.5929,0.463,2.0,,2.0,,1.35947,,10.0,6.0,29.0,52.0,453.0,374.0,57.8,27.0,21.0,9.0,7.0,26.0,26.0,7.0,3.0,2.0,,8.0,8.0,132.0,5.0,3.0,3.2661,,0.0,53.0,44.0,15.0,10.0,4.0,4.0,1.0,14.0,10.0,0.0,0.0,,0.0,1.0,100873.87
