gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,attLfGoal,goals,goalAssistOpenplay,cleanSheet,attOboxGoal,attOboxMiss,goalAssist,attRfGoal,totalThroughBall,accurateKeeperThrows,goalsOpenplay,attGoalHighLeft,punches,goalAssistIntentional,keeperThrows,forwardGoals,goalsConcededObox,attIboxBlocked,errorLeadToShot,sixYardBlock,attAssistSetplay,attCorner,attBxLeft,attLfTarget,attGoalLowRight,midfielderGoals,attSvLowLeft,ptsDroppedWinningPos,attCmissRight,attHdTarget,ownGoals,attFreekickTarget,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,totalPullBack,defenderGoals,attIboxGoal,attSvHighCentre,attHdGoal,postScoringAtt,accurateKeeperSweeper,attIboxPost,contentiousDecision,attHdPost,hitWoodwork,totalKeeperSweeper,attPostHigh,foulThrowIn,bigChanceScored,attGoalLowCentre,penaltyWon,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,goalFastbreak,attLgCentre,attOboxPost,accurateFreekickCross,attGoalHighCentre,attMissHighLeft,errorLeadToGoal,shieldBallOop,attGoalHighRight,penaltySave,attOneOnOne,accurateThroughBall,accuratePullBack,attFreekickGoal,attSvHighLeft,ptsGainedLosingPos,secondYellow,attObxLeft,attFreekickMiss,attFreekickPost
11,855274,2016-11-05 15:00:00,"Turf Moor, Burnley",19196,Home,Burnley,Crystal Palace,3,2,W,2,0,0,0,58.0,,39.0,44.0,4.0,7.0,9.0,3.0,2.0,158.0,5.0,4.0,2.0,9.0,7.0,63.0,148.0,57.0,,14.0,,27.0,4.0,1.0,2.0,2.0,1.0,16.0,19.0,,44.0,4.0,2.0,26.0,117.0,1.0,,0.0,80.0,11.0,2.0,2.0,2.0,2.0,40.0,45.0,6.0,42.0,2.0,1.0,12.0,18.0,5.0,,4.0,148.0,1.0,8.0,65.0,514.0,7.0,20.0,13.0,8.0,203.0,26.0,16.0,35.0,1.0,4.0,3.0,15.0,301.0,56.0,91979,4.0,102.0,,6.0,,130.0,6.0,18.0,7.0,59.0,,3.0,5.0,8.0,,1.0,87.0,214.0,12.0,14.0,42.0,99.0,1.0,1.0,,0.0,2.0,7.0,3.0,2.0,3.0,0.0,5.0,,38.2,10.0,,1.0,1.0,,48.0,4.0,2.0,328.0,8.0,7.0,11.0,6.0,25.0,,2.0,214.0,7.0,2.0,20.0,36.0,17.0,4.0,35.0,23.0,2.0,14.0,3.0,5.0,4.0,10.0,4.0,1.0,1.0,2.0,3.0,2.0,,1.0,4.0,2.0,1.0,,1.0,3.0,,,2.0,1.0,1.0,,1.0,,,,,,2.0,,1.0,1.0,,1.0,,,,,,,,,2.0,,,,1.0,,1.0,,,1.0,,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,
12,855291,2016-11-21 20:00:00,"The Hawthorns, West Bromwich",23016,Away,Burnley,West Bromwich Albion,0,4,L,0,3,0,0,53.0,2.0,47.0,38.0,3.0,2.0,2.0,2.0,,156.0,3.0,2.0,2.0,4.0,2.0,136.0,134.0,52.0,1.0,5.0,1.0,26.0,,,1.0,1.0,,18.0,8.0,2.0,38.0,2.0,9.0,43.0,196.0,1.0,,0.0,134.0,12.0,1.0,,1.0,2.0,49.0,66.0,2.0,73.0,1.0,1.0,16.0,14.0,3.0,1.0,8.0,134.0,1.0,7.0,117.0,654.0,4.0,13.0,13.0,9.0,369.0,17.0,12.0,29.0,0.0,2.0,2.0,15.0,454.0,75.0,91979,,196.0,1.0,7.0,1.0,212.0,7.0,14.0,10.0,56.0,,3.0,11.0,9.0,6.0,,83.0,389.0,12.0,8.0,27.0,76.0,,,,0.0,2.0,4.0,,4.0,2.0,0.0,3.0,,54.5,15.0,,5.0,1.0,,44.0,3.0,2.0,482.0,9.0,6.0,26.0,2.0,33.0,,2.0,288.0,3.0,9.0,28.0,82.0,19.0,3.0,29.0,10.0,3.0,3.0,3.0,6.0,3.0,8.0,3.0,,,,,,,,,,,1.0,12.0,,,,,12.0,,1.0,,3.0,,,,,2.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,855293,2016-11-26 12:30:00,"Turf Moor, Burnley",21794,Home,Burnley,Manchester City,1,2,L,1,1,0,0,54.0,2.0,31.0,21.0,5.0,1.0,5.0,3.0,1.0,144.0,5.0,5.0,5.0,7.0,5.0,47.0,166.0,52.0,,10.0,3.0,30.0,3.0,,,2.0,,18.0,11.0,1.0,21.0,5.0,3.0,25.0,97.0,,,0.0,113.0,8.0,3.0,,4.0,1.0,32.0,40.0,7.0,34.0,5.0,,13.0,8.0,5.0,,4.0,166.0,,12.0,41.0,454.0,7.0,18.0,20.0,19.0,133.0,16.0,11.0,9.0,2.0,8.0,,19.0,234.0,74.0,98747,2.0,54.0,,5.0,6.0,68.0,3.0,8.0,10.0,53.0,,4.0,11.0,9.0,4.0,,90.0,146.0,14.0,2.0,45.0,93.0,,2.0,,0.0,,8.0,1.0,2.0,7.0,0.0,4.0,4.0,33.3,15.0,,2.0,5.0,,36.0,5.0,1.0,266.0,19.0,11.0,12.0,,34.0,1.0,,216.0,5.0,3.0,23.0,44.0,26.0,9.0,9.0,12.0,2.0,3.0,3.0,8.0,9.0,5.0,5.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,2.0,,2.0,,,,1.0,,1.0,,3.0,,2.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
14,855307,2016-12-03 15:00:00,"bet365 Stadium, Stoke",27306,Away,Burnley,Stoke City,0,2,L,0,2,0,0,70.0,1.0,35.0,36.0,7.0,1.0,7.0,2.0,3.0,138.0,7.0,3.0,3.0,10.0,4.0,73.0,152.0,55.0,2.0,14.0,2.0,26.0,2.0,,2.0,1.0,2.0,23.0,14.0,2.0,36.0,9.0,7.0,30.0,155.0,2.0,,0.0,157.0,13.0,1.0,,1.0,1.0,49.0,48.0,5.0,58.0,1.0,1.0,14.0,9.0,7.0,2.0,6.0,152.0,,6.0,70.0,545.0,8.0,12.0,32.0,20.0,235.0,27.0,15.0,24.0,2.0,3.0,5.0,27.0,320.0,80.0,98747,4.0,98.0,,7.0,,106.0,5.0,9.0,5.0,67.0,,5.0,11.0,4.0,3.0,,74.0,246.0,6.0,11.0,39.0,73.0,,1.0,1.0,0.0,2.0,4.0,1.0,2.0,5.0,0.0,3.0,1.0,44.1,19.0,1.0,7.0,5.0,,34.0,9.0,1.0,339.0,20.0,12.0,14.0,5.0,44.0,4.0,2.0,256.0,12.0,6.0,30.0,91.0,29.0,,24.0,17.0,2.0,8.0,3.0,8.0,,3.0,9.0,,,,,,,,3.0,,,1.0,1.0,,,,,1.0,,,3.0,,,2.0,4.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
15,855313,2016-12-10 15:00:00,"Turf Moor, Burnley",19680,Home,Burnley,Bournemouth,3,2,W,2,1,0,0,54.0,1.0,37.0,32.0,3.0,4.0,12.0,2.0,2.0,146.0,6.0,5.0,1.0,13.0,7.0,31.0,140.0,50.0,,15.0,,35.0,4.0,1.0,1.0,2.0,1.0,10.0,9.0,,32.0,4.0,3.0,18.0,93.0,1.0,,0.0,106.0,14.0,2.0,1.0,1.0,,37.0,30.0,8.0,34.0,1.0,2.0,6.0,17.0,3.0,,1.0,140.0,1.0,8.0,31.0,434.0,7.0,14.0,27.0,20.0,126.0,28.0,19.0,16.0,2.0,6.0,5.0,20.0,209.0,72.0,91979,7.0,52.0,1.0,4.0,3.0,66.0,10.0,17.0,10.0,63.0,2.0,5.0,15.0,10.0,5.0,2.0,88.0,139.0,17.0,7.0,54.0,73.0,1.0,,1.0,0.0,1.0,11.0,1.0,2.0,5.0,0.0,3.0,4.0,30.6,15.0,2.0,3.0,2.0,,31.0,4.0,,242.0,20.0,7.0,8.0,6.0,30.0,3.0,4.0,186.0,7.0,1.0,17.0,45.0,15.0,7.0,16.0,12.0,2.0,6.0,3.0,5.0,7.0,11.0,4.0,,1.0,2.0,3.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,2.0,,1.0,4.0,6.0,2.0,,1.0,2.0,1.0,,1.0,2.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
16,855327,2016-12-14 19:45:00,"London Stadium, London",56990,Away,Burnley,West Ham United,0,1,L,0,1,0,0,50.0,3.0,33.0,17.0,5.0,2.0,3.0,6.0,1.0,156.0,3.0,3.0,2.0,4.0,2.0,63.0,146.0,48.0,1.0,8.0,2.0,31.0,1.0,,,,2.0,10.0,9.0,1.0,17.0,1.0,9.0,39.0,106.0,,,0.0,109.0,15.0,2.0,,,,34.0,28.0,2.0,36.0,,1.0,9.0,14.0,5.0,1.0,3.0,146.0,1.0,10.0,57.0,453.0,4.0,23.0,15.0,7.0,183.0,15.0,8.0,10.0,2.0,3.0,2.0,22.0,286.0,72.0,91979,,94.0,2.0,6.0,1.0,116.0,8.0,14.0,10.0,56.0,1.0,3.0,10.0,10.0,5.0,1.0,81.0,197.0,11.0,6.0,31.0,79.0,,2.0,1.0,0.0,,6.0,3.0,1.0,8.0,0.0,2.0,1.0,41.6,18.0,1.0,,2.0,,33.0,1.0,,312.0,7.0,5.0,19.0,4.0,33.0,1.0,2.0,206.0,5.0,6.0,27.0,51.0,20.0,2.0,10.0,11.0,1.0,6.0,2.0,5.0,2.0,8.0,1.0,,,,,,,,2.0,,,,7.0,,,,,7.0,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
17,855339,2016-12-18 16:00:00,"White Hart Lane, London",31467,Away,Burnley,Tottenham Hotspur,1,2,L,1,1,0,0,69.0,4.0,32.0,36.0,1.0,2.0,4.0,7.0,1.0,159.0,3.0,5.0,1.0,1.0,2.0,62.0,173.0,54.0,,5.0,1.0,24.0,1.0,,,1.0,,17.0,18.0,,36.0,2.0,10.0,33.0,117.0,,,0.0,101.0,11.0,3.0,,1.0,1.0,56.0,52.0,1.0,46.0,4.0,,15.0,24.0,1.0,,6.0,173.0,1.0,13.0,58.0,522.0,1.0,16.0,17.0,16.0,188.0,26.0,15.0,20.0,2.0,9.0,,16.0,293.0,66.0,91979,1.0,88.0,1.0,8.0,1.0,104.0,5.0,24.0,13.0,65.0,1.0,2.0,11.0,17.0,5.0,1.0,98.0,202.0,10.0,14.0,53.0,99.0,,,,0.0,,11.0,3.0,2.0,4.0,0.0,3.0,,39.8,9.0,,6.0,2.0,,38.0,2.0,1.0,325.0,16.0,8.0,16.0,1.0,20.0,,1.0,238.0,3.0,10.0,19.0,43.0,24.0,4.0,20.0,22.0,2.0,4.0,3.0,13.0,4.0,11.0,2.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,2.0,,,,,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
18,855343,2016-12-26 15:00:00,"Turf Moor, Burnley",21562,Home,Burnley,Middlesbrough,1,0,W,0,0,0,0,66.0,1.0,34.0,14.0,4.0,2.0,2.0,2.0,2.0,172.0,,6.0,4.0,4.0,4.0,51.0,186.0,55.0,1.0,6.0,,24.0,1.0,,,2.0,1.0,17.0,6.0,2.0,14.0,6.0,11.0,41.0,106.0,1.0,,0.0,115.0,17.0,1.0,,2.0,2.0,43.0,25.0,4.0,43.0,4.0,,11.0,16.0,4.0,1.0,2.0,186.0,,4.0,55.0,496.0,3.0,16.0,13.0,15.0,173.0,15.0,16.0,7.0,6.0,1.0,,26.0,290.0,77.0,91979,2.0,84.0,,7.0,2.0,111.0,8.0,16.0,8.0,61.0,,3.0,17.0,4.0,4.0,,81.0,190.0,18.0,13.0,42.0,99.0,,,1.0,0.0,,3.0,1.0,,4.0,0.0,,,45.6,19.0,,3.0,,,42.0,7.0,2.0,321.0,15.0,8.0,18.0,2.0,35.0,,,227.0,4.0,9.0,25.0,49.0,34.0,,7.0,10.0,,2.0,3.0,9.0,,6.0,7.0,1.0,,,1.0,,1.0,,2.0,1.0,1.0,,7.0,,,,1.0,7.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
19,855353,2016-12-31 15:00:00,"Turf Moor, Burnley",21124,Home,Burnley,Sunderland,4,1,W,1,0,0,0,74.0,1.0,37.0,10.0,5.0,6.0,11.0,2.0,1.0,171.0,4.0,6.0,3.0,14.0,6.0,62.0,166.0,47.0,,16.0,1.0,18.0,2.0,,2.0,1.0,2.0,22.0,17.0,,10.0,6.0,5.0,30.0,120.0,1.0,,0.0,107.0,10.0,,,,,40.0,43.0,6.0,51.0,4.0,5.0,16.0,10.0,5.0,,5.0,166.0,2.0,5.0,60.0,518.0,11.0,8.0,20.0,12.0,222.0,36.0,14.0,3.0,1.0,3.0,8.0,25.0,322.0,70.0,85017,6.0,117.0,,11.0,1.0,141.0,3.0,10.0,7.0,53.0,,3.0,14.0,6.0,2.0,,96.0,233.0,9.0,16.0,49.0,102.0,,,1.0,0.0,,2.0,1.0,1.0,2.0,0.0,3.0,1.0,45.8,17.0,,3.0,2.0,,42.0,6.0,,344.0,12.0,10.0,12.0,8.0,33.0,1.0,4.0,225.0,9.0,5.0,11.0,59.0,26.0,3.0,3.0,21.0,1.0,13.0,3.0,8.0,3.0,5.0,6.0,1.0,,1.0,4.0,2.0,,,4.0,2.0,3.0,2.0,4.0,3.0,,,2.0,4.0,4.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,4.0,1.0,,,,,,,,4.0,1.0,,,,,,,,,,,4.0,3.0,1.0,,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,
20,855365,2017-01-02 15:00:00,"Etihad Stadium, Manchester",54463,Away,Burnley,Manchester City,1,2,L,0,0,0,1,48.0,1.0,44.0,19.0,5.0,2.0,6.0,1.0,,150.0,8.0,7.0,4.0,6.0,3.0,74.0,157.0,66.0,2.0,11.0,2.0,34.0,2.0,,,1.0,3.0,25.0,10.0,,19.0,7.0,10.0,32.0,113.0,1.0,,0.0,116.0,11.0,1.0,,1.0,,39.0,48.0,3.0,55.0,1.0,2.0,18.0,18.0,5.0,2.0,3.0,157.0,,5.0,78.0,534.0,5.0,9.0,18.0,12.0,235.0,21.0,5.0,10.0,3.0,7.0,3.0,24.0,333.0,69.0,85017,4.0,142.0,,14.0,,160.0,6.0,18.0,8.0,62.0,,3.0,13.0,9.0,5.0,,89.0,247.0,11.0,9.0,34.0,79.0,,,,0.0,1.0,8.0,,2.0,2.0,0.0,5.0,3.0,45.0,20.0,2.0,1.0,2.0,,31.0,8.0,,357.0,12.0,5.0,17.0,6.0,39.0,3.0,3.0,222.0,6.0,10.0,31.0,55.0,21.0,,10.0,15.0,1.0,5.0,3.0,11.0,,9.0,8.0,,,,1.0,,,,3.0,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,4.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
21,855372,2017-01-14 15:00:00,"Turf Moor, Burnley",20254,Home,Burnley,Southampton,1,0,W,0,0,0,0,66.0,2.0,23.0,47.0,7.0,3.0,2.0,5.0,2.0,134.0,1.0,7.0,4.0,6.0,3.0,54.0,161.0,53.0,3.0,9.0,1.0,32.0,,1.0,,,1.0,15.0,8.0,2.0,47.0,2.0,8.0,14.0,88.0,,,0.0,109.0,14.0,1.0,1.0,1.0,,52.0,33.0,3.0,35.0,2.0,2.0,13.0,17.0,7.0,3.0,5.0,161.0,,15.0,69.0,509.0,4.0,17.0,8.0,12.0,168.0,22.0,11.0,26.0,1.0,8.0,3.0,27.0,264.0,65.0,91979,2.0,92.0,,7.0,1.0,110.0,8.0,17.0,11.0,66.0,,,12.0,5.0,2.0,1.0,81.0,179.0,13.0,10.0,47.0,81.0,1.0,,1.0,0.0,3.0,7.0,3.0,,8.0,0.0,,1.0,40.9,21.0,1.0,3.0,2.0,,32.0,2.0,,292.0,12.0,10.0,6.0,4.0,21.0,1.0,1.0,197.0,5.0,7.0,22.0,47.0,33.0,9.0,26.0,12.0,,4.0,3.0,10.0,9.0,8.0,2.0,,,,1.0,,1.0,1.0,3.0,,1.0,,4.0,,,1.0,,4.0,,,1.0,,1.0,2.0,1.0,,,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
22,855383,2017-01-22 14:15:00,"Emirates Stadium, London",59955,Away,Burnley,Arsenal,1,2,L,0,0,0,1,54.0,4.0,33.0,33.0,6.0,1.0,7.0,6.0,6.0,108.0,5.0,4.0,3.0,7.0,7.0,55.0,124.0,53.0,1.0,13.0,1.0,17.0,3.0,,2.0,1.0,1.0,20.0,16.0,3.0,33.0,4.0,3.0,20.0,81.0,,,0.0,94.0,11.0,5.0,,1.0,,27.0,28.0,6.0,29.0,5.0,1.0,16.0,8.0,6.0,1.0,9.0,124.0,,15.0,45.0,431.0,5.0,4.0,23.0,15.0,149.0,27.0,12.0,19.0,3.0,8.0,1.0,10.0,206.0,60.0,91979,4.0,82.0,,6.0,1.0,95.0,7.0,8.0,11.0,54.0,,,14.0,9.0,3.0,1.0,83.0,158.0,11.0,16.0,40.0,62.0,,2.0,,0.0,1.0,10.0,2.0,2.0,1.0,0.0,3.0,2.0,30.2,6.0,1.0,4.0,3.0,,23.0,4.0,,237.0,15.0,10.0,15.0,3.0,34.0,2.0,1.0,162.0,10.0,3.0,13.0,51.0,13.0,3.0,19.0,26.0,2.0,8.0,3.0,5.0,3.0,7.0,4.0,,,,1.0,,,,2.0,,1.0,1.0,4.0,,,,,4.0,1.0,,2.0,,,2.0,2.0,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,
23,855394,2017-01-31 19:45:00,"Turf Moor, Burnley",19202,Home,Burnley,Leicester City,1,0,W,0,0,0,0,54.0,4.0,39.0,38.0,9.0,9.0,15.0,5.0,2.0,192.0,8.0,5.0,2.0,20.0,3.0,83.0,193.0,81.0,,24.0,4.0,31.0,2.0,,3.0,,4.0,29.0,9.0,,38.0,10.0,8.0,51.0,204.0,,,0.0,167.0,4.0,,,,1.0,55.0,57.0,9.0,59.0,,3.0,19.0,22.0,9.0,,10.0,193.0,1.0,7.0,88.0,659.0,14.0,18.0,32.0,7.0,278.0,18.0,11.0,28.0,1.0,5.0,11.0,40.0,400.0,104.0,91979,6.0,90.0,,9.0,2.0,114.0,3.0,22.0,2.0,53.0,2.0,1.0,15.0,6.0,,5.0,98.0,286.0,8.0,7.0,50.0,106.0,,1.0,3.0,0.0,2.0,2.0,1.0,,10.0,0.0,2.0,5.0,59.9,34.0,3.0,1.0,9.0,,51.0,10.0,1.0,422.0,7.0,9.0,26.0,12.0,50.0,6.0,7.0,337.0,10.0,8.0,52.0,95.0,18.0,3.0,28.0,16.0,,11.0,3.0,8.0,3.0,5.0,10.0,1.0,,1.0,1.0,,1.0,,5.0,1.0,,1.0,3.0,,,1.0,1.0,3.0,,,5.0,2.0,1.0,5.0,10.0,3.0,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
24,855410,2017-02-04 15:00:00,"Vicarage Road, Watford",20178,Away,Burnley,Watford,1,2,L,0,2,1,0,80.0,2.0,34.0,25.0,6.0,3.0,5.0,5.0,3.0,176.0,3.0,4.0,3.0,5.0,7.0,57.0,180.0,72.0,1.0,11.0,2.0,25.0,3.0,,,1.0,,13.0,16.0,3.0,25.0,6.0,4.0,23.0,85.0,,1.0,0.0,87.0,10.0,3.0,,,,28.0,33.0,4.0,49.0,3.0,,8.0,15.0,6.0,1.0,4.0,180.0,,7.0,56.0,519.0,3.0,7.0,8.0,13.0,190.0,45.0,14.0,13.0,0.0,6.0,1.0,22.0,314.0,68.0,91979,5.0,122.0,1.0,4.0,2.0,175.0,6.0,15.0,4.0,56.0,,4.0,10.0,9.0,1.0,1.0,102.0,204.0,10.0,8.0,67.0,83.0,,1.0,,0.0,,3.0,3.0,2.0,3.0,1.0,1.0,1.0,39.6,14.0,,,3.0,,36.0,6.0,,338.0,13.0,12.0,12.0,1.0,26.0,2.0,,176.0,7.0,3.0,34.0,35.0,26.0,1.0,13.0,24.0,2.0,4.0,3.0,6.0,1.0,9.0,6.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,4.0,,,1.0,,4.0,1.0,,1.0,,,2.0,3.0,,2.0,,,1.0,,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,855414,2017-02-12 13:30:00,"Turf Moor, Burnley",21744,Home,Burnley,Chelsea,1,1,D,1,1,0,0,70.0,,34.0,44.0,4.0,3.0,3.0,1.0,2.0,140.0,3.0,4.0,1.0,4.0,4.0,59.0,154.0,38.0,1.0,7.0,1.0,14.0,2.0,,1.0,3.0,,7.0,4.0,1.0,44.0,1.0,4.0,26.0,99.0,1.0,,0.0,103.0,12.0,1.0,,,,39.0,47.0,3.0,38.0,2.0,,6.0,17.0,4.0,1.0,3.0,154.0,1.0,7.0,54.0,479.0,4.0,12.0,18.0,19.0,170.0,29.0,10.0,19.0,3.0,5.0,1.0,22.0,266.0,63.0,91979,1.0,86.0,2.0,3.0,,106.0,7.0,17.0,10.0,61.0,,3.0,15.0,6.0,6.0,,88.0,182.0,10.0,22.0,48.0,88.0,,,,0.0,1.0,1.0,1.0,1.0,5.0,0.0,3.0,,28.3,14.0,,3.0,2.0,,34.0,1.0,,291.0,19.0,10.0,11.0,1.0,19.0,,,192.0,4.0,4.0,16.0,43.0,30.0,1.0,19.0,10.0,1.0,6.0,2.0,8.0,1.0,11.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,2.0,,1.0,,,2.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,
26,855425,2017-02-25 15:00:00,"The MKM Stadium, Hull",20156,Away,Burnley,Hull City,1,1,D,0,0,1,0,54.0,,25.0,32.0,6.0,5.0,5.0,,,145.0,4.0,5.0,3.0,6.0,3.0,36.0,145.0,42.0,2.0,11.0,3.0,28.0,1.0,,,,2.0,16.0,3.0,1.0,32.0,3.0,6.0,29.0,73.0,,,0.0,91.0,13.0,,,1.0,2.0,41.0,20.0,3.0,22.0,,1.0,13.0,9.0,6.0,2.0,4.0,145.0,1.0,10.0,37.0,409.0,4.0,12.0,14.0,10.0,127.0,20.0,6.0,18.0,1.0,5.0,3.0,20.0,218.0,67.0,91979,1.0,67.0,,8.0,2.0,79.0,4.0,9.0,14.0,55.0,,6.0,6.0,5.0,6.0,,80.0,136.0,8.0,6.0,42.0,90.0,,1.0,2.0,0.0,1.0,6.0,,1.0,2.0,1.0,2.0,1.0,33.2,13.0,,4.0,4.0,,32.0,3.0,3.0,240.0,10.0,8.0,15.0,4.0,27.0,2.0,2.0,177.0,5.0,5.0,20.0,39.0,21.0,3.0,18.0,9.0,1.0,5.0,3.0,6.0,3.0,8.0,3.0,1.0,,,1.0,,,,2.0,1.0,1.0,,2.0,,,1.0,1.0,2.0,,,1.0,,,1.0,2.0,3.0,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,
