gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attBxRight,goalAssistOpenplay,attSvLowCentre,goalAssist,accurateFreekickCross,sixYardBlock,attSetpiece,penaltyConceded,attCmissHigh,goalsOpenplay,attGoalHighLeft,accurateFlickOn,accurateCrossNocorner,goalAssistIntentional,penaltyFaced,penGoalsConceded,attHdGoal,handBall,postScoringAtt,attIboxPost,midfielderGoals,contentiousDecision,attPostLeft,hitWoodwork,errorLeadToShot,punches,attFreekickMiss,attLfGoal,attMissHighRight,attOboxGoal,attHdTarget,attCmissHighLeft,clearanceOffLine,attPostRight,errorLeadToGoal,shotFastbreak,goalFastbreak,cleanSheet,totalFastbreak,attSvHighLeft,attLgCentre,attFastbreak,attFreekickGoal,attOneOnOne,attGoalHighCentre,penaltySave,ownGoals,attIboxOwnGoal,attPenTarget,ptsGainedLosingPos,attGoalHighRight,attCmissHighRight,shieldBallOop,attSvHighCentre,ptsDroppedWinningPos,goalsConcededObox,attPostHigh,defenderGoals,attOboxPost,foulThrowIn,attObxdRight,attFreekickPost
11,855279,2016-11-05 15:00:00,"Etihad Stadium, Manchester",54294,Home,Manchester City,Middlesbrough,1,1,D,1,0,0,0,1.0,1.0,59.0,,1.0,2.0,28.0,14.0,11.0,8.0,14.0,2.0,4.0,156.0,7.0,17.0,1.0,5.0,20.0,1.0,1.0,7.0,192.0,139.0,62.0,1.0,25.0,5.0,14.0,4.0,,2.0,33.0,11.0,2.0,14.0,7.0,16.0,33.0,407.0,,,0.0,294.0,7.0,1.0,3.0,1.0,,105.0,104.0,10.0,88.0,1.0,5.0,26.0,7.0,11.0,1.0,4.0,4.0,139.0,2.0,3.0,196.0,838.0,15.0,2.0,44.0,15.0,534.0,19.0,,1.0,12.0,,1.0,1.0,10.0,23.0,611.0,96.0,,97299,8.0,154.0,2.0,21.0,170.0,6.0,,,1.0,7.0,3.0,54.0,2.0,5.0,1.0,10.0,2.0,3.0,2.0,,55.0,554.0,14.0,16.0,4.0,17.0,5.0,52.0,1.0,,0.0,,1.0,2.0,1.0,1.0,1.0,0.0,3.0,71.0,21.0,2.0,4.0,3.0,1.0,7.0,33.0,8.0,,632.0,15.0,10.0,21.0,11.0,55.0,3.0,6.0,495.0,14.0,14.0,16.0,245.0,35.0,1.0,1.0,12.0,15.0,1.0,19.0,3.0,24.0,1.0,5.0,8.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,4.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,
12,855282,2016-11-19 15:00:00,"Selhurst Park, London",25529,Away,Manchester City,Crystal Palace,2,1,W,1,0,0,0,1.0,1.0,68.0,1.0,,1.0,29.0,39.0,2.0,3.0,8.0,1.0,1.0,172.0,6.0,13.0,2.0,3.0,8.0,,1.0,4.0,106.0,167.0,59.0,,10.0,,20.0,2.0,3.0,1.0,22.0,15.0,,39.0,7.0,12.0,17.0,183.0,1.0,,0.0,128.0,15.0,1.0,1.0,1.0,3.0,45.0,90.0,5.0,68.0,1.0,2.0,15.0,25.0,2.0,,1.0,2.0,167.0,2.0,6.0,101.0,662.0,5.0,3.0,25.0,9.0,322.0,30.0,1.0,2.0,24.0,3.0,2.0,2.0,3.0,29.0,423.0,57.0,,86173,6.0,160.0,1.0,13.0,194.0,6.0,,2.0,,25.0,7.0,70.0,1.0,1.0,4.0,10.0,2.0,5.0,,,78.0,337.0,12.0,11.0,1.0,37.0,3.0,92.0,,,0.0,,2.0,2.0,1.0,2.0,1.0,0.0,,61.7,27.0,,5.0,1.0,4.0,1.0,47.0,7.0,3.0,447.0,9.0,17.0,8.0,5.0,30.0,2.0,3.0,275.0,6.0,11.0,19.0,87.0,25.0,,1.0,24.0,15.0,1.0,6.0,3.0,22.0,1.0,6.0,7.0,,1.0,1.0,,,1.0,,2.0,,,1.0,,,1.0,1.0,1.0,4.0,2.0,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
13,855293,2016-11-26 12:30:00,"Turf Moor, Burnley",21794,Away,Manchester City,Burnley,2,1,W,1,1,0,0,1.0,2.0,68.0,1.0,1.0,6.0,24.0,53.0,9.0,6.0,12.0,4.0,2.0,185.0,1.0,2.0,2.0,1.0,18.0,,,5.0,129.0,150.0,52.0,,21.0,2.0,23.0,1.0,1.0,2.0,18.0,10.0,2.0,53.0,3.0,18.0,14.0,228.0,,,0.0,159.0,15.0,3.0,1.0,1.0,1.0,45.0,90.0,12.0,95.0,2.0,1.0,15.0,8.0,9.0,,1.0,5.0,150.0,2.0,5.0,136.0,749.0,15.0,7.0,38.0,8.0,426.0,28.0,1.0,7.0,35.0,1.0,3.0,4.0,6.0,17.0,519.0,54.0,,86173,8.0,216.0,,13.0,243.0,5.0,,1.0,,8.0,4.0,53.0,3.0,3.0,7.0,13.0,5.0,2.0,3.0,,69.0,443.0,7.0,5.0,1.0,37.0,4.0,87.0,1.0,,0.0,,2.0,5.0,3.0,2.0,1.0,0.0,,66.7,17.0,,3.0,,7.0,8.0,38.0,8.0,1.0,545.0,8.0,10.0,4.0,8.0,21.0,1.0,2.0,320.0,15.0,18.0,30.0,123.0,22.0,2.0,2.0,35.0,13.0,,16.0,3.0,5.0,2.0,3.0,8.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,,,1.0,,2.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,1.0,,,,,,
14,855305,2016-12-03 12:30:00,"Etihad Stadium, Manchester",54457,Home,Manchester City,Chelsea,1,3,L,1,0,2,0,2.0,,64.0,,,2.0,21.0,17.0,3.0,6.0,11.0,1.0,3.0,158.0,6.0,11.0,1.0,1.0,12.0,,1.0,5.0,148.0,149.0,42.0,,14.0,,6.0,3.0,,1.0,36.0,9.0,2.0,17.0,6.0,5.0,19.0,273.0,1.0,,0.0,172.0,14.0,1.0,,,,69.0,117.0,6.0,78.0,1.0,1.0,30.0,27.0,3.0,,5.0,1.0,149.0,2.0,7.0,157.0,741.0,10.0,4.0,32.0,22.0,438.0,28.0,2.0,4.0,6.0,1.0,2.0,1.0,6.0,22.0,518.0,59.0,1.0,97299,4.0,189.0,3.0,25.0,216.0,7.0,,,,27.0,6.0,54.0,1.0,2.0,4.0,9.0,3.0,3.0,1.0,,52.0,456.0,8.0,18.0,2.0,20.0,2.0,56.0,1.0,1.0,0.0,,2.0,2.0,1.0,1.0,3.0,2.0,4.0,60.7,19.0,4.0,11.0,1.0,4.0,2.0,38.0,9.0,,541.0,22.0,13.0,6.0,7.0,37.0,2.0,5.0,361.0,4.0,4.0,13.0,133.0,19.0,,1.0,6.0,11.0,3.0,12.0,3.0,16.0,1.0,13.0,9.0,,,,,2.0,,2.0,,,,,,,,,,4.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,3.0,,1.0,,,,,
15,855316,2016-12-10 17:30:00,"King Power Stadium, Leicester",31966,Away,Manchester City,Leicester City,2,4,L,0,3,0,0,,,53.0,,1.0,4.0,38.0,27.0,8.0,9.0,11.0,2.0,1.0,183.0,7.0,13.0,2.0,4.0,15.0,2.0,2.0,4.0,201.0,135.0,49.0,1.0,19.0,3.0,18.0,1.0,1.0,2.0,42.0,3.0,1.0,27.0,9.0,13.0,21.0,433.0,,,0.0,279.0,7.0,2.0,,2.0,,98.0,142.0,8.0,100.0,1.0,5.0,33.0,11.0,8.0,1.0,7.0,3.0,135.0,,8.0,215.0,903.0,14.0,3.0,43.0,11.0,615.0,29.0,,3.0,22.0,2.0,1.0,1.0,7.0,21.0,680.0,68.0,,97299,8.0,207.0,,24.0,222.0,5.0,,,2.0,11.0,5.0,45.0,,3.0,7.0,16.0,3.0,5.0,1.0,,54.0,633.0,10.0,6.0,,15.0,1.0,57.0,,1.0,0.0,,,3.0,1.0,1.0,4.0,0.0,3.0,77.9,20.0,1.0,1.0,1.0,7.0,7.0,43.0,11.0,,699.0,11.0,9.0,12.0,8.0,57.0,1.0,5.0,519.0,7.0,12.0,19.0,242.0,16.0,,,22.0,7.0,3.0,17.0,3.0,18.0,,5.0,11.0,2.0,,,,2.0,1.0,2.0,1.0,,1.0,,,,1.0,,3.0,6.0,1.0,,,,,,,,1.0,,,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,
16,855329,2016-12-14 20:00:00,"Etihad Stadium, Manchester",51527,Home,Manchester City,Watford,2,0,W,1,0,0,0,,2.0,57.0,,1.0,1.0,25.0,34.0,5.0,2.0,8.0,2.0,5.0,189.0,4.0,11.0,2.0,8.0,12.0,,,7.0,126.0,138.0,68.0,,13.0,1.0,10.0,4.0,,,20.0,13.0,1.0,34.0,1.0,16.0,21.0,237.0,1.0,,0.0,206.0,16.0,1.0,1.0,4.0,,93.0,69.0,8.0,77.0,2.0,2.0,19.0,19.0,5.0,,3.0,2.0,138.0,3.0,2.0,109.0,707.0,9.0,4.0,31.0,11.0,383.0,26.0,,4.0,26.0,,1.0,,4.0,20.0,473.0,55.0,1.0,97299,3.0,172.0,1.0,12.0,194.0,7.0,,1.0,,19.0,4.0,53.0,4.0,3.0,1.0,9.0,3.0,2.0,1.0,,56.0,405.0,20.0,16.0,1.0,23.0,3.0,57.0,2.0,,0.0,,3.0,2.0,1.0,2.0,,0.0,1.0,63.4,20.0,1.0,5.0,2.0,1.0,2.0,34.0,5.0,,501.0,11.0,8.0,13.0,4.0,36.0,1.0,1.0,327.0,10.0,16.0,20.0,155.0,25.0,,1.0,26.0,20.0,,10.0,3.0,14.0,1.0,12.0,5.0,1.0,,,,,2.0,1.0,2.0,,,,,,2.0,1.0,1.0,3.0,2.0,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,
17,855335,2016-12-18 16:00:00,"Etihad Stadium, Manchester",54409,Home,Manchester City,Arsenal,2,1,W,0,1,0,0,2.0,1.0,60.0,1.0,,1.0,30.0,20.0,5.0,8.0,9.0,,,197.0,5.0,9.0,2.0,2.0,12.0,,1.0,5.0,154.0,141.0,60.0,,14.0,1.0,13.0,2.0,1.0,2.0,21.0,12.0,1.0,20.0,6.0,11.0,28.0,326.0,,,0.0,219.0,9.0,,2.0,,,89.0,121.0,7.0,98.0,,2.0,15.0,19.0,5.0,,2.0,3.0,141.0,3.0,3.0,145.0,773.0,8.0,5.0,26.0,11.0,483.0,11.0,1.0,5.0,14.0,1.0,4.0,,5.0,26.0,569.0,75.0,2.0,97299,5.0,181.0,2.0,13.0,197.0,6.0,,,,19.0,7.0,48.0,4.0,4.0,3.0,9.0,3.0,3.0,,,62.0,502.0,12.0,11.0,2.0,16.0,3.0,76.0,,1.0,0.0,,1.0,1.0,,2.0,1.0,0.0,4.0,60.6,22.0,3.0,7.0,2.0,3.0,2.0,51.0,8.0,,594.0,11.0,11.0,12.0,7.0,31.0,3.0,3.0,418.0,2.0,10.0,20.0,162.0,39.0,1.0,1.0,14.0,19.0,1.0,10.0,3.0,13.0,1.0,9.0,8.0,1.0,,,,1.0,2.0,1.0,2.0,,,1.0,,,2.0,,2.0,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
18,855345,2016-12-26 17:15:00,"The MKM Stadium, Hull",23134,Away,Manchester City,Hull City,3,0,W,0,0,0,0,2.0,2.0,58.0,2.0,2.0,2.0,17.0,33.0,8.0,8.0,8.0,2.0,2.0,218.0,3.0,6.0,3.0,2.0,13.0,,1.0,6.0,183.0,131.0,45.0,1.0,16.0,2.0,14.0,1.0,1.0,,16.0,6.0,3.0,33.0,6.0,24.0,21.0,328.0,,1.0,0.0,203.0,14.0,,1.0,,,94.0,68.0,7.0,95.0,,2.0,10.0,18.0,8.0,1.0,2.0,3.0,131.0,1.0,6.0,187.0,857.0,11.0,3.0,32.0,5.0,576.0,20.0,1.0,1.0,21.0,1.0,0.0,3.0,6.0,12.0,661.0,56.0,,97299,3.0,265.0,,8.0,294.0,8.0,,1.0,,18.0,8.0,46.0,1.0,1.0,8.0,9.0,4.0,3.0,1.0,1.0,44.0,590.0,10.0,7.0,1.0,14.0,2.0,76.0,,,0.0,1.0,1.0,4.0,1.0,3.0,,0.0,1.0,67.3,12.0,,4.0,1.0,8.0,4.0,46.0,7.0,,683.0,5.0,6.0,11.0,6.0,30.0,1.0,2.0,405.0,7.0,24.0,15.0,163.0,24.0,,4.0,21.0,14.0,,12.0,3.0,14.0,4.0,10.0,7.0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
19,855357,2016-12-31 17:30:00,"Anfield, Liverpool",53120,Away,Manchester City,Liverpool,0,1,L,0,1,0,0,2.0,,73.0,,,,20.0,33.0,7.0,7.0,2.0,,,185.0,1.0,16.0,,3.0,6.0,,1.0,2.0,135.0,185.0,79.0,1.0,9.0,3.0,20.0,,,2.0,17.0,16.0,2.0,33.0,5.0,9.0,38.0,223.0,,,0.0,130.0,12.0,,,1.0,,69.0,68.0,2.0,89.0,1.0,2.0,12.0,16.0,7.0,1.0,2.0,2.0,185.0,,2.0,166.0,790.0,5.0,2.0,12.0,13.0,443.0,25.0,,3.0,23.0,,1.0,1.0,4.0,25.0,551.0,68.0,1.0,97299,,239.0,,9.0,268.0,5.0,,,,16.0,8.0,58.0,1.0,2.0,3.0,18.0,3.0,4.0,,,58.0,461.0,12.0,7.0,1.0,19.0,1.0,104.0,,1.0,0.0,,5.0,4.0,,,1.0,0.0,,57.0,18.0,,1.0,1.0,3.0,3.0,56.0,6.0,,575.0,13.0,16.0,17.0,4.0,22.0,1.0,2.0,324.0,2.0,9.0,28.0,83.0,43.0,,,23.0,23.0,1.0,7.0,2.0,23.0,,8.0,6.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,855365,2017-01-02 15:00:00,"Etihad Stadium, Manchester",54463,Home,Manchester City,Burnley,2,1,W,0,0,1,0,,,54.0,,,4.0,16.0,45.0,9.0,4.0,5.0,1.0,1.0,173.0,2.0,9.0,2.0,3.0,11.0,,,3.0,102.0,143.0,62.0,,14.0,3.0,31.0,,2.0,,14.0,6.0,1.0,45.0,4.0,11.0,20.0,175.0,,,0.0,123.0,11.0,,,2.0,,46.0,72.0,7.0,74.0,2.0,2.0,10.0,18.0,9.0,,2.0,4.0,143.0,,6.0,101.0,649.0,10.0,3.0,25.0,9.0,345.0,20.0,,4.0,27.0,2.0,4.0,3.0,4.0,19.0,426.0,56.0,1.0,97299,2.0,186.0,,6.0,210.0,6.0,,2.0,,18.0,6.0,66.0,2.0,3.0,5.0,13.0,5.0,2.0,2.0,,56.0,359.0,11.0,7.0,,31.0,2.0,69.0,1.0,,0.0,,2.0,8.0,2.0,1.0,1.0,1.0,,55.0,15.0,,1.0,,5.0,7.0,31.0,8.0,,450.0,9.0,7.0,7.0,4.0,18.0,,,254.0,10.0,11.0,34.0,87.0,24.0,,3.0,27.0,9.0,1.0,12.0,3.0,20.0,3.0,9.0,8.0,1.0,,,1.0,2.0,1.0,,1.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
21,855373,2017-01-15 13:30:00,"Goodison Park, Liverpool",39588,Away,Manchester City,Everton,0,4,L,0,1,0,0,,,61.0,,,,25.0,23.0,8.0,2.0,5.0,,3.0,198.0,5.0,11.0,,8.0,8.0,,,5.0,191.0,135.0,56.0,2.0,13.0,4.0,8.0,4.0,2.0,3.0,18.0,9.0,1.0,23.0,5.0,25.0,31.0,345.0,,,0.0,230.0,7.0,,1.0,3.0,3.0,89.0,61.0,5.0,98.0,2.0,1.0,13.0,22.0,8.0,2.0,2.0,3.0,135.0,,5.0,185.0,866.0,6.0,7.0,27.0,13.0,571.0,31.0,,3.0,14.0,2.0,2.0,1.0,3.0,19.0,650.0,66.0,2.0,97299,3.0,253.0,,8.0,273.0,4.0,,,,22.0,1.0,52.0,4.0,4.0,7.0,13.0,1.0,1.0,,,39.0,593.0,17.0,16.0,2.0,11.0,3.0,60.0,1.0,2.0,0.0,1.0,3.0,3.0,,,4.0,0.0,3.0,70.8,17.0,1.0,2.0,,7.0,4.0,45.0,6.0,3.0,672.0,13.0,14.0,15.0,4.0,38.0,2.0,1.0,417.0,8.0,22.0,17.0,181.0,21.0,,1.0,14.0,12.0,4.0,7.0,1.0,18.0,1.0,5.0,6.0,,,,,2.0,,2.0,,1.0,,1.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,855387,2017-01-21 17:30:00,"Etihad Stadium, Manchester",54402,Home,Manchester City,Tottenham Hotspur,2,2,D,0,0,0,0,2.0,2.0,69.0,,,1.0,32.0,21.0,3.0,7.0,14.0,,2.0,189.0,4.0,15.0,2.0,3.0,13.0,,,7.0,108.0,169.0,53.0,,17.0,,17.0,4.0,4.0,6.0,22.0,16.0,1.0,21.0,4.0,9.0,35.0,211.0,,,0.0,179.0,10.0,,2.0,2.0,1.0,88.0,66.0,5.0,83.0,3.0,,19.0,26.0,3.0,,4.0,2.0,169.0,2.0,3.0,93.0,698.0,10.0,3.0,39.0,19.0,342.0,24.0,,7.0,10.0,4.0,2.0,1.0,8.0,26.0,453.0,71.0,3.0,97299,9.0,154.0,2.0,13.0,185.0,7.0,,,,26.0,3.0,57.0,7.0,3.0,5.0,10.0,3.0,2.0,2.0,,71.0,361.0,6.0,11.0,3.0,29.0,2.0,81.0,1.0,3.0,0.0,,3.0,4.0,,2.0,2.0,0.0,4.0,54.6,23.0,3.0,10.0,2.0,5.0,1.0,47.0,5.0,1.0,473.0,19.0,16.0,18.0,9.0,33.0,1.0,7.0,310.0,6.0,8.0,10.0,120.0,27.0,,2.0,10.0,22.0,2.0,14.0,3.0,18.0,2.0,14.0,5.0,,,,2.0,2.0,,,,1.0,,1.0,,2.0,2.0,,1.0,4.0,,,,,,,,2.0,2.0,,,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,2.0,2.0,,,,,1.0,,
23,855399,2017-02-01 19:45:00,"London Stadium, London",56980,Away,Manchester City,West Ham United,4,0,W,3,0,0,0,,4.0,52.0,2.0,1.0,1.0,23.0,12.0,4.0,6.0,7.0,1.0,,213.0,4.0,14.0,4.0,5.0,6.0,,1.0,4.0,172.0,116.0,52.0,2.0,11.0,1.0,16.0,,,2.0,14.0,10.0,,12.0,3.0,27.0,31.0,232.0,,1.0,0.0,138.0,14.0,,,,,64.0,81.0,3.0,129.0,1.0,2.0,11.0,13.0,4.0,2.0,,3.0,116.0,2.0,1.0,159.0,816.0,3.0,5.0,25.0,7.0,574.0,23.0,,3.0,9.0,1.0,3.0,4.0,3.0,21.0,652.0,59.0,2.0,97299,4.0,363.0,,11.0,391.0,8.0,,2.0,1.0,13.0,4.0,50.0,3.0,3.0,4.0,5.0,5.0,2.0,1.0,1.0,46.0,591.0,10.0,9.0,1.0,16.0,3.0,64.0,,,0.0,,1.0,2.0,,4.0,,0.0,1.0,70.3,19.0,1.0,5.0,,4.0,2.0,39.0,4.0,,673.0,7.0,10.0,19.0,5.0,19.0,1.0,2.0,296.0,4.0,26.0,14.0,104.0,19.0,1.0,1.0,9.0,13.0,,5.0,3.0,17.0,1.0,5.0,4.0,2.0,,,,1.0,2.0,,2.0,,,,,,3.0,,1.0,3.0,2.0,,,,,,,3.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,855407,2017-02-05 13:30:00,"Etihad Stadium, Manchester",54065,Home,Manchester City,Swansea City,2,1,W,1,0,0,0,,2.0,59.0,,1.0,6.0,38.0,29.0,2.0,5.0,14.0,1.0,2.0,173.0,7.0,16.0,2.0,2.0,12.0,,,5.0,210.0,138.0,60.0,1.0,17.0,1.0,19.0,2.0,1.0,3.0,26.0,14.0,1.0,29.0,8.0,13.0,32.0,422.0,,,0.0,242.0,9.0,1.0,,,,98.0,122.0,7.0,107.0,,,18.0,19.0,3.0,1.0,3.0,1.0,138.0,3.0,1.0,212.0,905.0,9.0,5.0,46.0,8.0,605.0,23.0,,8.0,20.0,1.0,2.0,,5.0,15.0,681.0,80.0,,97299,9.0,209.0,3.0,15.0,228.0,5.0,,2.0,1.0,19.0,5.0,54.0,2.0,4.0,4.0,12.0,3.0,3.0,1.0,,57.0,624.0,13.0,5.0,3.0,20.0,5.0,57.0,,,0.0,1.0,1.0,3.0,,2.0,1.0,0.0,3.0,69.1,14.0,2.0,5.0,1.0,4.0,7.0,44.0,10.0,,702.0,8.0,15.0,21.0,5.0,47.0,3.0,4.0,500.0,9.0,13.0,15.0,191.0,27.0,2.0,1.0,20.0,17.0,,11.0,3.0,24.0,1.0,10.0,10.0,1.0,,,1.0,2.0,,2.0,,,1.0,,,1.0,2.0,,5.0,4.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,
25,855412,2017-02-13 20:00:00,"Vitality Stadium, Bournemouth",11129,Away,Manchester City,Bournemouth,2,0,W,1,0,0,0,2.0,1.0,60.0,,1.0,2.0,31.0,32.0,6.0,5.0,11.0,1.0,2.0,196.0,3.0,15.0,2.0,2.0,12.0,,1.0,5.0,138.0,131.0,53.0,,17.0,2.0,11.0,3.0,1.0,2.0,18.0,12.0,1.0,32.0,4.0,13.0,26.0,276.0,,,0.0,176.0,11.0,1.0,,1.0,4.0,100.0,73.0,6.0,116.0,2.0,1.0,14.0,21.0,6.0,,3.0,3.0,131.0,4.0,1.0,148.0,816.0,11.0,3.0,34.0,9.0,507.0,27.0,1.0,5.0,13.0,1.0,3.0,4.0,6.0,29.0,581.0,59.0,2.0,97299,3.0,249.0,4.0,10.0,275.0,6.0,,1.0,,21.0,1.0,52.0,5.0,2.0,6.0,14.0,4.0,1.0,2.0,,55.0,522.0,7.0,16.0,1.0,21.0,2.0,59.0,1.0,1.0,0.0,,4.0,3.0,,2.0,,0.0,1.0,62.3,25.0,1.0,5.0,1.0,6.0,4.0,40.0,7.0,4.0,598.0,9.0,11.0,18.0,8.0,26.0,,4.0,341.0,11.0,12.0,11.0,141.0,18.0,1.0,2.0,13.0,20.0,,14.0,3.0,20.0,2.0,9.0,7.0,1.0,,,,3.0,,2.0,,1.0,1.0,1.0,,,1.0,,1.0,3.0,,,,,,1.0,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,
26,855427,2017-04-27 20:00:00,"Etihad Stadium, Manchester",54176,Home,Manchester City,Manchester United,0,0,D,0,0,0,1,3.0,,69.0,,,1.0,16.0,10.0,11.0,5.0,8.0,1.0,3.0,203.0,8.0,14.0,,2.0,16.0,,,6.0,168.0,147.0,52.0,,19.0,4.0,7.0,2.0,,2.0,24.0,15.0,4.0,10.0,5.0,21.0,20.0,360.0,2.0,,0.0,228.0,10.0,1.0,2.0,2.0,1.0,87.0,91.0,10.0,85.0,,,19.0,28.0,11.0,,6.0,3.0,147.0,1.0,2.0,187.0,851.0,15.0,7.0,30.0,13.0,545.0,23.0,,3.0,5.0,,1.0,1.0,6.0,20.0,632.0,71.0,,61366,4.0,204.0,1.0,11.0,216.0,7.0,,,,28.0,1.0,50.0,1.0,2.0,4.0,14.0,1.0,1.0,3.0,,35.0,556.0,8.0,12.0,1.0,13.0,3.0,68.0,1.0,,0.0,,7.0,4.0,1.0,,,0.0,2.0,69.2,20.0,1.0,7.0,,4.0,5.0,42.0,7.0,1.0,643.0,13.0,11.0,7.0,8.0,28.0,3.0,4.0,451.0,12.0,19.0,11.0,183.0,35.0,,2.0,5.0,19.0,,15.0,3.0,24.0,2.0,15.0,7.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,5.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
