gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accurateCross,cleanSheet,goodHighClaim,interceptionsInBox,contentiousDecision,attCmissHigh,totalOffside,punches,accurateCrossNocorner,totalHighClaim,attFreekickMiss,handBall,attGoalLowLeft,attGoalLowRight,attPenTarget,shotFastbreak,goalAssistOpenplay,totalFastbreak,attSvHighLeft,attSvLowLeft,goalAssist,attSetpiece,attRfGoal,defenderGoals,goalsOpenplay,attCorner,attFastbreak,goalAssistIntentional,attHdMiss,forwardGoals,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostHigh,accurateCornersIntobox,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,accurateFreekickCross,foulThrowIn,attHdGoal,attObxLeft,attGoalHighRight,attSvHighRight,attOboxGoal,attCmissRight,attPostLeft,attMissHighLeft,shieldBallOop,clearanceOffLine,ptsGainedLosingPos,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighCentre,sixYardBlock,ownGoals,attIboxOwnGoal,goalsConcededObox,goalFastbreak,attOneOnOne,attGoalHighLeft,attObxdLeft,attLgCentre,attLgLeft,attLgRight,attFreekickGoal,ptsDroppedWinningPos,attCmissHighLeft,attPostRight,attPenMiss
27,855432,2017-03-04 15:00:00,"King Power Stadium, Leicester",31971,Home,Leicester City,Hull City,3,1,W,1,1,0,0,1.0,1.0,65.0,1.0,3.0,23.0,21.0,9.0,4.0,8.0,3.0,,2.0,173.0,1.0,8.0,3.0,2.0,11.0,1.0,5.0,75.0,173.0,60.0,,17.0,,26.0,1.0,,,1.0,1.0,27.0,17.0,2.0,21.0,6.0,12.0,38.0,207.0,4.0,,0.0,149.0,12.0,2.0,1.0,,120.0,55.0,5.0,49.0,3.0,21.0,25.0,9.0,,6.0,6.0,173.0,2.0,6.0,99.0,598.0,6.0,12.0,32.0,,12.0,266.0,17.0,3.0,13.0,,1.0,1.0,6.0,18.0,361.0,76.0,,,78412,5.0,85.0,2.0,15.0,99.0,4.0,1.0,25.0,12.0,59.0,1.0,1.0,16.0,4.0,6.0,,,67.0,285.0,12.0,6.0,3.0,28.0,86.0,1.0,,0.0,,,4.0,2.0,2.0,1.0,3.0,0.0,3.0,49.5,9.0,5.0,,,1.0,3.0,35.0,10.0,396.0,12.0,8.0,20.0,9.0,39.0,3.0,324.0,10.0,12.0,18.0,96.0,38.0,2.0,13.0,22.0,1.0,7.0,2.0,16.0,2.0,14.0,10.0,7.0,,1.0,,,,1.0,,4.0,1.0,,1.0,,1.0,,,1.0,,,1.0,2.0,1.0,2.0,1.0,1.0,7.0,,1.0,3.0,,,,,,,3.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,3.0,,,,,1.0,,,,,,,,,,,,,,,
28,855443,2017-04-26 19:45:00,"Emirates Stadium, London",59829,Away,Leicester City,Arsenal,0,1,L,0,0,0,0,1.0,,62.0,3.0,2.0,18.0,39.0,,3.0,7.0,5.0,,1.0,130.0,,3.0,,3.0,5.0,,3.0,68.0,138.0,48.0,,7.0,,29.0,3.0,2.0,,1.0,2.0,10.0,11.0,,39.0,1.0,12.0,29.0,95.0,,,0.0,82.0,13.0,3.0,,2.0,40.0,64.0,3.0,45.0,,9.0,13.0,,,2.0,,138.0,,5.0,74.0,503.0,4.0,15.0,13.0,1.0,18.0,211.0,39.0,11.0,20.0,,4.0,1.0,2.0,21.0,294.0,49.0,,,90714,3.0,128.0,,5.0,150.0,6.0,,13.0,6.0,57.0,,,11.0,8.0,2.0,,,64.0,222.0,9.0,8.0,1.0,40.0,65.0,1.0,2.0,0.0,,1.0,12.0,2.0,,1.0,7.0,0.0,1.0,31.1,15.0,3.0,1.0,1.0,,2.0,24.0,1.0,317.0,18.0,8.0,9.0,2.0,16.0,2.0,177.0,3.0,10.0,20.0,40.0,15.0,6.0,20.0,16.0,1.0,3.0,2.0,5.0,6.0,7.0,1.0,1.0,,2.0,1.0,,,6.0,,1.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
29,855461,2017-03-18 15:00:00,"London Stadium, London",56979,Away,Leicester City,West Ham United,3,2,W,3,1,0,0,,2.0,76.0,1.0,2.0,26.0,28.0,2.0,6.0,8.0,4.0,2.0,2.0,176.0,2.0,8.0,3.0,2.0,9.0,,5.0,63.0,171.0,54.0,1.0,11.0,,35.0,,1.0,,,1.0,11.0,17.0,2.0,28.0,4.0,14.0,33.0,131.0,1.0,,0.0,107.0,14.0,3.0,1.0,1.0,63.0,71.0,6.0,46.0,2.0,7.0,12.0,3.0,1.0,,,171.0,4.0,12.0,69.0,530.0,6.0,10.0,15.0,,5.0,226.0,30.0,6.0,16.0,,1.0,5.0,3.0,18.0,323.0,70.0,3.0,,90714,2.0,104.0,2.0,6.0,132.0,8.0,,12.0,12.0,81.0,3.0,1.0,9.0,8.0,1.0,,,88.0,234.0,10.0,13.0,,40.0,94.0,,,0.0,1.0,3.0,6.0,4.0,2.0,2.0,3.0,0.0,1.0,41.4,9.0,5.0,3.0,1.0,1.0,2.0,36.0,5.0,354.0,5.0,7.0,19.0,4.0,24.0,4.0,233.0,4.0,12.0,16.0,52.0,32.0,3.0,16.0,23.0,1.0,6.0,3.0,21.0,3.0,5.0,5.0,1.0,,3.0,,,,,3.0,1.0,3.0,,,,,,1.0,1.0,1.0,,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,,,,,,,,2.0,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,2.0,1.0,,1.0,,,,,,,
30,855466,2017-04-01 15:00:00,"King Power Stadium, Leicester",31958,Home,Leicester City,Stoke City,2,0,W,1,0,0,0,6.0,,65.0,,3.0,16.0,28.0,11.0,10.0,12.0,2.0,,2.0,171.0,,8.0,2.0,3.0,13.0,1.0,10.0,93.0,170.0,64.0,,23.0,3.0,40.0,3.0,1.0,,5.0,4.0,20.0,9.0,5.0,28.0,8.0,6.0,33.0,170.0,,,0.0,129.0,7.0,2.0,1.0,3.0,73.0,68.0,11.0,37.0,1.0,12.0,28.0,11.0,,3.0,2.0,170.0,1.0,9.0,93.0,614.0,10.0,13.0,16.0,,19.0,263.0,21.0,5.0,14.0,,1.0,3.0,2.0,19.0,366.0,59.0,,,90714,4.0,109.0,1.0,6.0,133.0,4.0,2.0,28.0,11.0,68.0,,4.0,17.0,1.0,1.0,1.0,,61.0,277.0,11.0,10.0,1.0,23.0,87.0,1.0,1.0,0.0,,1.0,4.0,2.0,1.0,,4.0,0.0,1.0,48.3,14.0,1.0,3.0,,4.0,6.0,40.0,10.0,394.0,19.0,7.0,8.0,7.0,29.0,4.0,281.0,11.0,5.0,25.0,76.0,34.0,3.0,14.0,20.0,,14.0,3.0,12.0,3.0,13.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,2.0,2.0,2.0,,2.0,2.0,5.0,2.0,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,
31,855475,2017-04-04 19:45:00,"King Power Stadium, Leicester",31757,Home,Leicester City,Sunderland,2,0,W,0,0,0,0,1.0,,64.0,1.0,2.0,27.0,34.0,8.0,5.0,11.0,4.0,1.0,3.0,165.0,,4.0,2.0,3.0,16.0,,8.0,85.0,144.0,50.0,,19.0,4.0,24.0,4.0,3.0,,1.0,2.0,24.0,8.0,2.0,34.0,4.0,16.0,33.0,195.0,2.0,,0.0,138.0,12.0,,,2.0,59.0,84.0,11.0,59.0,1.0,20.0,21.0,8.0,,7.0,2.0,144.0,,9.0,91.0,612.0,10.0,10.0,20.0,2.0,10.0,296.0,28.0,5.0,24.0,,0.0,4.0,5.0,27.0,370.0,69.0,,1.0,78412,6.0,124.0,,11.0,143.0,4.0,,21.0,9.0,55.0,1.0,1.0,11.0,6.0,1.0,,,64.0,312.0,12.0,2.0,4.0,25.0,83.0,4.0,1.0,0.0,,1.0,6.0,2.0,2.0,,1.0,0.0,4.0,54.7,19.0,4.0,2.0,,1.0,6.0,38.0,5.0,400.0,10.0,14.0,19.0,5.0,33.0,3.0,281.0,10.0,13.0,23.0,98.0,25.0,3.0,24.0,11.0,,13.0,3.0,8.0,3.0,14.0,5.0,7.0,1.0,1.0,1.0,,,1.0,,6.0,1.0,,1.0,,1.0,,,2.0,,,,2.0,3.0,,,2.0,1.0,,2.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,
32,855484,2017-04-09 16:00:00,"Goodison Park, Liverpool",39573,Away,Leicester City,Everton,2,4,L,2,3,0,0,,1.0,58.0,2.0,1.0,27.0,31.0,,,4.0,3.0,,1.0,154.0,1.0,10.0,2.0,3.0,4.0,,4.0,86.0,158.0,54.0,1.0,6.0,,19.0,2.0,,1.0,2.0,,19.0,11.0,,31.0,5.0,14.0,25.0,169.0,,,0.0,120.0,15.0,1.0,1.0,2.0,71.0,72.0,4.0,55.0,1.0,14.0,17.0,2.0,1.0,6.0,1.0,158.0,1.0,7.0,87.0,578.0,2.0,9.0,11.0,1.0,14.0,266.0,25.0,7.0,12.0,1.0,2.0,4.0,,23.0,361.0,72.0,,,90714,2.0,113.0,,6.0,130.0,8.0,,17.0,7.0,63.0,,3.0,8.0,5.0,3.0,,,80.0,279.0,8.0,13.0,1.0,42.0,82.0,,,0.0,,1.0,4.0,1.0,1.0,4.0,4.0,0.0,2.0,39.9,11.0,1.0,1.0,,3.0,1.0,35.0,6.0,382.0,14.0,12.0,14.0,1.0,22.0,,271.0,4.0,13.0,18.0,70.0,25.0,1.0,12.0,18.0,4.0,3.0,3.0,16.0,1.0,8.0,6.0,3.0,,1.0,,,,,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,,,1.0,,2.0,,1.0,2.0,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,3.0,,,
33,855492,2017-04-15 15:00:00,"Selhurst Park, London",25504,Away,Leicester City,Crystal Palace,2,2,D,1,0,0,0,,,71.0,,1.0,27.0,32.0,1.0,4.0,5.0,2.0,1.0,,149.0,1.0,13.0,2.0,2.0,3.0,,2.0,54.0,173.0,64.0,,6.0,1.0,28.0,,1.0,,,,20.0,20.0,,32.0,5.0,12.0,27.0,131.0,1.0,,0.0,113.0,16.0,2.0,,1.0,57.0,57.0,3.0,41.0,1.0,15.0,20.0,1.0,,6.0,,173.0,,11.0,67.0,511.0,1.0,14.0,15.0,,11.0,186.0,29.0,9.0,21.0,,2.0,5.0,,29.0,281.0,69.0,,,90714,3.0,70.0,,8.0,94.0,9.0,1.0,20.0,13.0,75.0,,1.0,7.0,4.0,6.0,,,82.0,198.0,8.0,13.0,,43.0,84.0,,,0.0,,,8.0,2.0,2.0,2.0,5.0,0.0,2.0,42.1,12.0,3.0,1.0,,1.0,2.0,35.0,5.0,311.0,11.0,12.0,14.0,2.0,35.0,2.0,237.0,,9.0,20.0,64.0,31.0,4.0,21.0,24.0,2.0,4.0,3.0,20.0,4.0,13.0,5.0,3.0,,1.0,1.0,1.0,,,,3.0,1.0,,,1.0,,,1.0,1.0,2.0,,,2.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,
34,855507,2017-05-18 19:45:00,"King Power Stadium, Leicester",31351,Home,Leicester City,Tottenham Hotspur,1,6,L,0,2,0,0,2.0,1.0,69.0,3.0,1.0,27.0,16.0,6.0,7.0,5.0,6.0,1.0,2.0,136.0,1.0,11.0,1.0,3.0,6.0,,5.0,66.0,147.0,55.0,,12.0,3.0,13.0,2.0,2.0,1.0,2.0,,21.0,17.0,2.0,16.0,2.0,7.0,29.0,108.0,,,0.0,88.0,11.0,3.0,,4.0,65.0,52.0,5.0,56.0,,19.0,12.0,7.0,,2.0,2.0,147.0,,12.0,63.0,519.0,5.0,10.0,14.0,,13.0,212.0,34.0,8.0,9.0,1.0,3.0,3.0,1.0,24.0,290.0,48.0,,,90714,3.0,126.0,,13.0,141.0,7.0,,12.0,12.0,61.0,,3.0,14.0,14.0,2.0,1.0,,68.0,231.0,8.0,21.0,1.0,27.0,69.0,1.0,,0.0,,1.0,4.0,3.0,1.0,6.0,4.0,0.0,1.0,37.3,21.0,5.0,,,3.0,4.0,22.0,4.0,321.0,13.0,6.0,13.0,3.0,20.0,1.0,201.0,4.0,6.0,12.0,50.0,23.0,4.0,9.0,24.0,4.0,8.0,3.0,22.0,4.0,7.0,4.0,3.0,,,2.0,1.0,,4.0,,2.0,,,1.0,,,,,,,,,,4.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,2.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,
35,855521,2017-04-29 15:00:00,"The Hawthorns, West Bromwich",24611,Away,Leicester City,West Bromwich Albion,1,0,W,1,0,0,0,,1.0,59.0,2.0,,26.0,30.0,2.0,4.0,4.0,4.0,,,135.0,,6.0,1.0,4.0,4.0,,1.0,57.0,156.0,53.0,,6.0,1.0,35.0,,3.0,1.0,,1.0,22.0,14.0,,30.0,3.0,13.0,19.0,152.0,,,0.0,125.0,9.0,2.0,,1.0,83.0,58.0,2.0,52.0,2.0,19.0,17.0,2.0,,7.0,1.0,156.0,1.0,9.0,79.0,514.0,3.0,2.0,12.0,,15.0,207.0,23.0,4.0,16.0,1.0,2.0,4.0,2.0,20.0,282.0,75.0,1.0,,78412,1.0,75.0,,11.0,95.0,4.0,1.0,17.0,14.0,68.0,1.0,3.0,8.0,7.0,3.0,,,81.0,225.0,14.0,8.0,,35.0,74.0,,,0.0,,1.0,5.0,2.0,1.0,,,0.0,,45.2,8.0,3.0,,,3.0,1.0,25.0,6.0,323.0,15.0,12.0,11.0,4.0,28.0,2.0,250.0,2.0,12.0,16.0,71.0,21.0,6.0,16.0,17.0,,4.0,2.0,10.0,6.0,9.0,6.0,2.0,1.0,1.0,,,,1.0,,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
36,855527,2017-05-06 15:00:00,"King Power Stadium, Leicester",31628,Home,Leicester City,Watford,3,0,W,1,0,0,0,1.0,,61.0,4.0,1.0,28.0,29.0,5.0,5.0,6.0,7.0,1.0,1.0,138.0,,5.0,3.0,3.0,6.0,,5.0,76.0,147.0,62.0,2.0,11.0,2.0,22.0,1.0,2.0,,1.0,,29.0,17.0,1.0,29.0,7.0,6.0,25.0,147.0,1.0,,0.0,107.0,8.0,4.0,3.0,,76.0,42.0,5.0,32.0,,23.0,16.0,5.0,2.0,11.0,2.0,147.0,,8.0,87.0,541.0,5.0,13.0,28.0,,17.0,231.0,25.0,9.0,14.0,,0.0,2.0,1.0,14.0,300.0,47.0,1.0,1.0,90714,2.0,106.0,,12.0,122.0,2.0,,16.0,11.0,53.0,1.0,5.0,16.0,6.0,1.0,1.0,,67.0,248.0,10.0,12.0,,27.0,70.0,1.0,,0.0,,,1.0,3.0,3.0,,4.0,0.0,,41.9,10.0,6.0,1.0,,6.0,3.0,35.0,10.0,333.0,17.0,5.0,15.0,3.0,37.0,1.0,240.0,6.0,5.0,24.0,68.0,17.0,2.0,14.0,24.0,,6.0,3.0,12.0,2.0,9.0,10.0,5.0,1.0,3.0,2.0,,1.0,5.0,,5.0,3.0,1.0,,,2.0,,3.0,1.0,4.0,,,1.0,,2.0,,2.0,3.0,3.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
37,855535,2017-05-13 12:30:00,"Etihad Stadium, Manchester",54407,Away,Leicester City,Manchester City,1,2,L,1,2,0,0,,,63.0,1.0,1.0,28.0,21.0,3.0,2.0,6.0,3.0,1.0,3.0,126.0,,5.0,1.0,3.0,5.0,,4.0,54.0,135.0,40.0,,9.0,1.0,18.0,2.0,1.0,2.0,2.0,,16.0,11.0,1.0,21.0,3.0,11.0,29.0,84.0,1.0,1.0,0.0,76.0,16.0,2.0,,2.0,40.0,45.0,4.0,35.0,1.0,13.0,17.0,3.0,,3.0,1.0,135.0,1.0,12.0,61.0,453.0,3.0,10.0,13.0,,22.0,167.0,23.0,8.0,6.0,2.0,3.0,7.0,1.0,22.0,248.0,59.0,2.0,1.0,90714,3.0,106.0,2.0,8.0,130.0,10.0,1.0,17.0,8.0,56.0,2.0,3.0,13.0,5.0,5.0,1.0,,74.0,187.0,11.0,9.0,1.0,29.0,68.0,,,0.0,,1.0,9.0,2.0,1.0,2.0,4.0,0.0,1.0,34.2,18.0,,,,3.0,2.0,26.0,3.0,276.0,22.0,9.0,14.0,3.0,21.0,2.0,162.0,6.0,10.0,7.0,37.0,28.0,2.0,6.0,17.0,2.0,6.0,3.0,11.0,2.0,7.0,3.0,3.0,,,3.0,2.0,,,1.0,2.0,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0
38,855546,2017-05-21 15:00:00,"King Power Stadium, Leicester",32000,Home,Leicester City,Bournemouth,1,1,D,0,1,0,0,1.0,1.0,68.0,3.0,6.0,38.0,10.0,3.0,6.0,17.0,3.0,,1.0,164.0,,14.0,1.0,4.0,15.0,,4.0,85.0,157.0,73.0,,20.0,1.0,23.0,3.0,3.0,1.0,1.0,4.0,25.0,15.0,,10.0,8.0,11.0,52.0,205.0,,,0.0,127.0,11.0,1.0,,2.0,80.0,58.0,7.0,67.0,4.0,17.0,13.0,3.0,,8.0,2.0,157.0,2.0,2.0,96.0,629.0,9.0,13.0,40.0,1.0,12.0,310.0,31.0,4.0,7.0,1.0,4.0,4.0,8.0,30.0,389.0,62.0,,,90714,11.0,128.0,1.0,7.0,146.0,6.0,,13.0,7.0,66.0,,2.0,12.0,8.0,5.0,,,68.0,324.0,10.0,12.0,5.0,17.0,76.0,,1.0,0.0,,6.0,1.0,,1.0,1.0,6.0,0.0,6.0,48.6,20.0,4.0,,,2.0,7.0,42.0,9.0,412.0,12.0,6.0,30.0,9.0,48.0,7.0,291.0,8.0,9.0,23.0,88.0,26.0,,7.0,26.0,1.0,10.0,2.0,28.0,,10.0,9.0,9.0,,1.0,3.0,1.0,,5.0,,6.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,5.0,1.0,,,,,,3.0,,,,1.0,,,,,1.0,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
