gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvHighLeft,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attOneOnOne,cleanSheet,attMissRight,attGoalHighCentre,bigChanceCreated,attHdTarget,accurateThroughBall,sixYardBlock,totalThroughBall,totalOffside,attLfGoal,attSvHighRight,attSvLowLeft,freekickCross,attObxdRight,attMissHighLeft,penaltyConceded,attObxdLeft,defenderGoals,attFreekickTarget,attSvHighCentre,penaltyFaced,penGoalsConceded,goalsConcededIbox,handBall,attGoalLowRight,attGoalLowCentre,shotFastbreak,goalFastbreak,totalFastbreak,attSetpiece,attRfGoal,attFastbreak,punches,forwardGoals,postScoringAtt,attPostLeft,attLgCentre,attCmissLeft,attOboxPost,clearanceOffLine,contentiousDecision,totalPullBack,attPenTarget,penaltyWon,attCmissHighRight,attObxLeft,accurateFreekickCross,attPostHigh,attObxRight,attCmissRight,attIboxPost,attHdPost,attPenGoal,ptsDroppedWinningPos,errorLeadToGoal,ownGoals,attIboxOwnGoal,attOboxGoal,attCmissHighLeft,attObpGoal,attGoalHighRight,attGoalHighLeft,attPostRight,goalAssistDeadball,attPenMiss,foulThrowIn,accuratePullBack,attFreekickPost
11,855273,2016-11-06 12:00:00,"Emirates Stadium, London",60039,Away,Tottenham Hotspur,Arsenal,1,1,D,0,1,0,0,,2.0,61.0,,,,32.0,35.0,3.0,4.0,7.0,2.0,,199.0,4.0,13.0,1.0,3.0,7.0,3.0,121.0,174.0,55.0,,10.0,,19.0,2.0,,1.0,,2.0,3.0,12.0,10.0,,35.0,,5.0,36.0,181.0,,0.0,132.0,17.0,1.0,1.0,,,,66.0,67.0,1.0,76.0,2.0,12.0,29.0,3.0,,2.0,3.0,174.0,8.0,126.0,731.0,7.0,5.0,16.0,1.0,15.0,372.0,30.0,4.0,21.0,,1.0,2.0,4.0,6.0,22.0,489.0,71.0,,97485,5.0,218.0,,9.0,256.0,9.0,29.0,12.0,61.0,,2.0,,9.0,8.0,6.0,3.0,82.0,395.0,11.0,4.0,,26.0,,96.0,,0.0,1.0,7.0,2.0,1.0,1.0,3.0,0.0,4.0,,,2.0,54.3,17.0,2.0,4.0,1.0,2.0,,51.0,2.0,,522.0,15.0,,16.0,10.0,7.0,22.0,,4.0,278.0,4.0,4.0,17.0,76.0,19.0,2.0,21.0,15.0,,8.0,3.0,20.0,2.0,15.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,
12,855289,2016-11-19 17:30:00,"White Hart Lane, London",31212,Home,Tottenham Hotspur,West Ham United,3,2,W,0,1,0,1,,1.0,61.0,1.0,,2.0,39.0,20.0,5.0,6.0,8.0,1.0,1.0,172.0,3.0,14.0,3.0,5.0,5.0,6.0,163.0,149.0,56.0,2.0,14.0,2.0,13.0,2.0,,2.0,,1.0,2.0,27.0,12.0,1.0,20.0,4.0,8.0,24.0,253.0,,0.0,156.0,13.0,3.0,,,1.0,,85.0,64.0,4.0,85.0,,23.0,13.0,6.0,2.0,6.0,3.0,149.0,7.0,175.0,801.0,3.0,1.0,29.0,,5.0,488.0,22.0,3.0,13.0,,2.0,3.0,4.0,1.0,26.0,567.0,77.0,,97485,4.0,261.0,1.0,17.0,273.0,8.0,13.0,4.0,68.0,,7.0,2.0,10.0,4.0,4.0,1.0,60.0,511.0,16.0,20.0,2.0,8.0,2.0,78.0,,0.0,2.0,5.0,1.0,3.0,2.0,,0.0,3.0,,,1.0,66.9,21.0,,5.0,2.0,7.0,4.0,54.0,4.0,,595.0,5.0,2.0,11.0,11.0,4.0,39.0,,1.0,349.0,7.0,8.0,12.0,104.0,24.0,5.0,13.0,15.0,,7.0,3.0,25.0,5.0,5.0,4.0,3.0,,,,1.0,,1.0,1.0,,,,2.0,1.0,,2.0,,,,1.0,,,,,1.0,1.0,2.0,,,2.0,,,,2.0,2.0,,,2.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
13,855294,2016-11-26 17:30:00,"Stamford Bridge, London",41513,Away,Tottenham Hotspur,Chelsea,1,2,L,1,1,0,0,1.0,1.0,65.0,1.0,3.0,,44.0,22.0,8.0,3.0,4.0,3.0,3.0,156.0,2.0,18.0,1.0,3.0,10.0,6.0,117.0,159.0,72.0,1.0,12.0,1.0,12.0,4.0,,,1.0,1.0,1.0,19.0,14.0,1.0,22.0,8.0,3.0,36.0,236.0,1.0,0.0,147.0,16.0,,,2.0,1.0,,85.0,60.0,7.0,67.0,1.0,11.0,20.0,8.0,1.0,6.0,5.0,159.0,5.0,119.0,671.0,8.0,5.0,13.0,,10.0,353.0,23.0,4.0,14.0,1.0,,1.0,1.0,3.0,23.0,433.0,80.0,1.0,97485,1.0,137.0,,5.0,146.0,11.0,20.0,9.0,58.0,,3.0,1.0,22.0,4.0,5.0,2.0,79.0,371.0,13.0,7.0,1.0,17.0,2.0,75.0,1.0,0.0,2.0,3.0,,,2.0,1.0,0.0,1.0,,,1.0,54.1,19.0,,7.0,1.0,3.0,1.0,43.0,8.0,,459.0,10.0,1.0,16.0,14.0,5.0,25.0,1.0,,332.0,8.0,3.0,21.0,99.0,26.0,2.0,14.0,22.0,,9.0,3.0,25.0,2.0,6.0,8.0,,,,,,,,1.0,,,,3.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,1.0,,,,,,,,,
14,855309,2016-12-03 15:00:00,"White Hart Lane, London",31663,Home,Tottenham Hotspur,Swansea City,5,0,W,2,0,0,0,,2.0,61.0,3.0,,1.0,41.0,27.0,13.0,5.0,15.0,,7.0,186.0,3.0,19.0,5.0,4.0,22.0,15.0,155.0,149.0,66.0,2.0,28.0,5.0,12.0,6.0,2.0,,3.0,4.0,3.0,17.0,12.0,4.0,27.0,5.0,11.0,55.0,250.0,,0.0,177.0,11.0,,,,3.0,,67.0,55.0,16.0,95.0,1.0,12.0,21.0,13.0,2.0,4.0,4.0,149.0,,139.0,811.0,19.0,2.0,44.0,,6.0,474.0,22.0,1.0,16.0,3.0,,0.0,1.0,6.0,25.0,555.0,77.0,,97485,7.0,244.0,3.0,7.0,254.0,6.0,21.0,1.0,52.0,,2.0,4.0,19.0,1.0,,2.0,58.0,491.0,17.0,6.0,,7.0,,78.0,3.0,0.0,4.0,,,5.0,,1.0,0.0,3.0,1.0,1.0,2.0,60.0,23.0,1.0,4.0,5.0,2.0,6.0,53.0,5.0,,575.0,6.0,1.0,12.0,38.0,7.0,36.0,,3.0,338.0,20.0,11.0,14.0,124.0,32.0,3.0,16.0,16.0,,25.0,3.0,30.0,3.0,16.0,5.0,2.0,,1.0,1.0,2.0,,3.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,
15,855318,2016-12-11 14:15:00,"Old Trafford, Manchester",75271,Away,Tottenham Hotspur,Manchester United,0,1,L,0,1,0,0,,1.0,64.0,,1.0,2.0,36.0,32.0,9.0,3.0,3.0,4.0,3.0,145.0,4.0,16.0,,5.0,10.0,4.0,99.0,168.0,67.0,2.0,12.0,2.0,20.0,,1.0,,,1.0,1.0,26.0,17.0,4.0,32.0,6.0,11.0,35.0,209.0,1.0,0.0,154.0,17.0,,3.0,,,,50.0,76.0,6.0,73.0,3.0,20.0,16.0,9.0,2.0,7.0,3.0,168.0,8.0,112.0,663.0,8.0,4.0,14.0,,10.0,313.0,26.0,8.0,22.0,,,3.0,5.0,4.0,31.0,400.0,81.0,2.0,97485,2.0,128.0,1.0,11.0,152.0,9.0,16.0,9.0,61.0,,2.0,,13.0,6.0,5.0,,66.0,333.0,19.0,5.0,2.0,21.0,1.0,73.0,,0.0,3.0,3.0,3.0,,1.0,1.0,0.0,2.0,,1.0,2.0,59.8,18.0,1.0,6.0,,2.0,4.0,36.0,8.0,,429.0,10.0,,11.0,18.0,4.0,29.0,2.0,1.0,303.0,7.0,10.0,13.0,113.0,28.0,1.0,22.0,22.0,,8.0,3.0,26.0,1.0,6.0,8.0,,,,,2.0,,1.0,,,,,,,,2.0,2.0,,,,,,2.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,855331,2016-12-14 20:00:00,"White Hart Lane, London",31347,Home,Tottenham Hotspur,Hull City,3,0,W,1,0,0,0,,1.0,67.0,1.0,2.0,5.0,48.0,26.0,18.0,9.0,9.0,5.0,5.0,194.0,2.0,13.0,3.0,6.0,21.0,9.0,192.0,126.0,46.0,3.0,27.0,7.0,19.0,1.0,2.0,3.0,2.0,2.0,1.0,17.0,5.0,5.0,26.0,4.0,15.0,30.0,297.0,2.0,0.0,175.0,6.0,,3.0,,3.0,2.0,70.0,74.0,16.0,110.0,,13.0,17.0,18.0,3.0,5.0,6.0,126.0,6.0,174.0,862.0,19.0,5.0,32.0,1.0,5.0,570.0,24.0,4.0,20.0,2.0,3.0,0.0,4.0,5.0,14.0,650.0,65.0,,93264,4.0,293.0,,7.0,318.0,5.0,17.0,2.0,50.0,,8.0,2.0,9.0,4.0,2.0,1.0,77.0,588.0,14.0,10.0,,21.0,1.0,85.0,,0.0,1.0,5.0,3.0,3.0,,1.0,0.0,1.0,2.0,1.0,,63.4,12.0,,5.0,1.0,8.0,12.0,55.0,5.0,2.0,670.0,5.0,,8.0,19.0,6.0,27.0,1.0,,369.0,18.0,15.0,13.0,142.0,26.0,2.0,20.0,6.0,,20.0,3.0,20.0,2.0,13.0,5.0,2.0,,,1.0,2.0,,1.0,,,,,2.0,2.0,,3.0,1.0,,,,,,1.0,1.0,,,,,,,,,,3.0,1.0,,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,
17,855339,2016-12-18 16:00:00,"White Hart Lane, London",31467,Home,Tottenham Hotspur,Burnley,2,1,W,1,1,0,0,,2.0,72.0,,,2.0,38.0,52.0,16.0,14.0,13.0,1.0,4.0,162.0,5.0,14.0,2.0,3.0,25.0,9.0,125.0,143.0,65.0,1.0,30.0,7.0,19.0,3.0,2.0,1.0,2.0,4.0,2.0,30.0,11.0,4.0,52.0,7.0,13.0,24.0,264.0,,0.0,170.0,10.0,3.0,1.0,,1.0,,90.0,87.0,14.0,64.0,1.0,24.0,24.0,17.0,1.0,8.0,6.0,143.0,4.0,131.0,740.0,21.0,13.0,28.0,1.0,9.0,380.0,29.0,7.0,43.0,2.0,1.0,1.0,2.0,11.0,26.0,458.0,49.0,,97485,4.0,142.0,,14.0,161.0,2.0,24.0,6.0,54.0,2.0,7.0,2.0,11.0,1.0,5.0,4.0,66.0,401.0,11.0,5.0,2.0,29.0,6.0,71.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,1.0,2.0,60.2,24.0,1.0,2.0,4.0,7.0,9.0,38.0,11.0,,482.0,9.0,,12.0,18.0,12.0,42.0,3.0,5.0,351.0,14.0,13.0,24.0,140.0,33.0,3.0,43.0,16.0,,22.0,3.0,24.0,3.0,13.0,11.0,,,,,4.0,,,1.0,1.0,1.0,2.0,,2.0,,1.0,2.0,,1.0,,,1.0,,,,,1.0,,1.0,,2.0,,2.0,1.0,,2.0,,,1.0,,,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,
18,855349,2016-12-28 19:45:00,"St. Mary's Stadium, Southampton",31853,Away,Tottenham Hotspur,Southampton,4,1,W,1,1,0,1,,1.0,63.0,,1.0,2.0,23.0,18.0,7.0,6.0,10.0,1.0,,190.0,2.0,8.0,4.0,3.0,11.0,5.0,172.0,167.0,54.0,,17.0,3.0,14.0,,1.0,2.0,1.0,,1.0,20.0,24.0,1.0,18.0,4.0,12.0,31.0,305.0,2.0,0.0,213.0,16.0,3.0,,,2.0,2.0,64.0,94.0,8.0,96.0,2.0,17.0,17.0,7.0,,4.0,3.0,167.0,5.0,164.0,825.0,7.0,4.0,25.0,1.0,5.0,502.0,24.0,1.0,7.0,2.0,2.0,4.0,4.0,3.0,23.0,601.0,71.0,2.0,97485,6.0,218.0,1.0,12.0,252.0,6.0,17.0,5.0,62.0,,7.0,3.0,13.0,4.0,4.0,2.0,55.0,521.0,7.0,5.0,2.0,20.0,4.0,67.0,,0.0,3.0,2.0,,4.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,65.7,19.0,,2.0,3.0,7.0,5.0,39.0,10.0,2.0,622.0,5.0,,17.0,14.0,7.0,40.0,2.0,3.0,390.0,9.0,12.0,10.0,166.0,29.0,2.0,7.0,29.0,2.0,11.0,3.0,19.0,2.0,7.0,10.0,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,1.0,2.0,,,,,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,2.0,,,1.0,1.0,,,
19,855361,2017-01-01 13:30:00,"Vicarage Road, Watford",20882,Away,Tottenham Hotspur,Watford,4,1,W,3,0,0,0,,1.0,65.0,1.0,,1.0,40.0,17.0,8.0,9.0,11.0,1.0,1.0,182.0,4.0,5.0,4.0,4.0,15.0,6.0,141.0,150.0,52.0,1.0,19.0,1.0,13.0,,2.0,2.0,3.0,1.0,4.0,17.0,17.0,2.0,17.0,3.0,13.0,49.0,226.0,,0.0,163.0,6.0,,1.0,,2.0,1.0,63.0,90.0,6.0,101.0,,16.0,17.0,8.0,1.0,9.0,4.0,150.0,4.0,154.0,779.0,11.0,3.0,25.0,1.0,8.0,461.0,23.0,1.0,10.0,3.0,2.0,0.0,3.0,9.0,32.0,557.0,68.0,,97485,4.0,258.0,,6.0,286.0,2.0,17.0,4.0,42.0,1.0,5.0,4.0,13.0,2.0,3.0,4.0,70.0,480.0,11.0,5.0,1.0,14.0,1.0,86.0,1.0,0.0,1.0,,1.0,4.0,1.0,2.0,0.0,4.0,3.0,,1.0,66.2,29.0,1.0,10.0,1.0,5.0,2.0,55.0,3.0,1.0,578.0,8.0,,13.0,27.0,11.0,31.0,2.0,6.0,309.0,9.0,10.0,14.0,116.0,26.0,2.0,10.0,22.0,,15.0,3.0,11.0,2.0,10.0,3.0,4.0,,2.0,,2.0,,3.0,,1.0,,2.0,3.0,1.0,,,1.0,,,,,,1.0,,,,1.0,1.0,2.0,,,,,2.0,3.0,,,2.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,
20,855369,2017-01-04 20:00:00,"White Hart Lane, London",31491,Home,Tottenham Hotspur,Chelsea,2,0,W,1,0,0,0,,,60.0,,1.0,,43.0,26.0,6.0,1.0,3.0,2.0,,162.0,3.0,11.0,2.0,5.0,5.0,2.0,110.0,159.0,63.0,1.0,9.0,1.0,16.0,,,1.0,2.0,,5.0,13.0,19.0,,26.0,1.0,7.0,30.0,162.0,,0.0,109.0,9.0,,1.0,,,,48.0,74.0,3.0,66.0,,12.0,20.0,6.0,1.0,4.0,5.0,159.0,6.0,102.0,633.0,3.0,5.0,12.0,,7.0,323.0,15.0,8.0,6.0,2.0,1.0,3.0,3.0,2.0,30.0,420.0,58.0,,97485,1.0,175.0,,5.0,205.0,6.0,20.0,11.0,54.0,,4.0,2.0,10.0,5.0,5.0,,84.0,334.0,8.0,11.0,,29.0,,81.0,,0.0,4.0,6.0,1.0,2.0,,2.0,0.0,3.0,2.0,,2.0,45.5,22.0,,6.0,1.0,4.0,1.0,44.0,1.0,,440.0,7.0,1.0,9.0,14.0,6.0,21.0,,1.0,248.0,6.0,7.0,20.0,66.0,33.0,1.0,6.0,24.0,2.0,7.0,3.0,21.0,1.0,9.0,1.0,2.0,,,1.0,,,2.0,,,,1.0,2.0,,,,3.0,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,2.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,
21,855379,2017-01-14 12:30:00,"White Hart Lane, London",31613,Home,Tottenham Hotspur,West Bromwich Albion,4,0,W,2,0,0,0,,1.0,53.0,1.0,,2.0,46.0,20.0,11.0,3.0,10.0,,6.0,203.0,5.0,16.0,4.0,2.0,18.0,11.0,174.0,139.0,60.0,,21.0,1.0,10.0,3.0,2.0,2.0,3.0,2.0,1.0,23.0,15.0,5.0,20.0,3.0,4.0,37.0,347.0,1.0,0.0,176.0,11.0,,,,,,110.0,98.0,13.0,130.0,1.0,20.0,14.0,11.0,,4.0,5.0,139.0,1.0,163.0,876.0,14.0,4.0,24.0,1.0,6.0,567.0,20.0,1.0,11.0,3.0,2.0,0.0,1.0,5.0,26.0,648.0,70.0,1.0,93264,7.0,246.0,2.0,14.0,259.0,6.0,14.0,5.0,35.0,,6.0,3.0,20.0,2.0,4.0,3.0,70.0,588.0,12.0,3.0,1.0,12.0,5.0,78.0,2.0,0.0,1.0,,,4.0,,,0.0,4.0,3.0,1.0,1.0,72.9,22.0,,2.0,,6.0,3.0,50.0,8.0,,670.0,6.0,,5.0,23.0,7.0,32.0,1.0,2.0,434.0,17.0,4.0,10.0,135.0,26.0,,11.0,22.0,,15.0,3.0,24.0,,9.0,8.0,2.0,,,1.0,2.0,,4.0,1.0,2.0,1.0,2.0,1.0,,,4.0,2.0,,,,,,,,,,,2.0,,1.0,,,,1.0,3.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
22,855387,2017-01-21 17:30:00,"Etihad Stadium, Manchester",54402,Away,Tottenham Hotspur,Manchester City,2,2,D,0,0,0,0,,,59.0,1.0,1.0,,29.0,31.0,2.0,2.0,3.0,5.0,,175.0,1.0,11.0,2.0,,4.0,2.0,82.0,174.0,57.0,,6.0,1.0,10.0,,,3.0,1.0,,1.0,12.0,12.0,,31.0,3.0,3.0,29.0,122.0,1.0,0.0,91.0,7.0,1.0,3.0,,,1.0,42.0,58.0,2.0,55.0,4.0,9.0,26.0,3.0,,2.0,2.0,174.0,14.0,87.0,622.0,1.0,9.0,8.0,,12.0,266.0,23.0,3.0,14.0,1.0,3.0,4.0,1.0,2.0,40.0,372.0,57.0,3.0,97485,2.0,166.0,,7.0,198.0,2.0,26.0,10.0,53.0,,5.0,2.0,14.0,3.0,7.0,,71.0,287.0,10.0,15.0,2.0,26.0,2.0,74.0,,0.0,4.0,5.0,4.0,2.0,2.0,3.0,0.0,,1.0,,2.0,45.4,34.0,1.0,1.0,,5.0,1.0,32.0,4.0,2.0,399.0,12.0,,16.0,14.0,3.0,25.0,1.0,1.0,213.0,2.0,3.0,17.0,43.0,23.0,6.0,14.0,19.0,1.0,4.0,3.0,17.0,6.0,12.0,4.0,2.0,,,,1.0,,1.0,,,,4.0,5.0,,,,,,,,1.0,,,,,,2.0,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,
23,855397,2017-01-31 19:45:00,"Stadium of Light, Sunderland",40058,Away,Tottenham Hotspur,Sunderland,0,0,D,0,0,0,0,,1.0,48.0,,,5.0,38.0,21.0,7.0,5.0,7.0,1.0,2.0,186.0,6.0,10.0,,2.0,10.0,3.0,141.0,162.0,41.0,1.0,14.0,2.0,19.0,,2.0,,,1.0,,35.0,7.0,3.0,21.0,6.0,6.0,37.0,297.0,,0.0,220.0,13.0,,,,,,84.0,87.0,6.0,86.0,,29.0,15.0,7.0,1.0,8.0,2.0,162.0,3.0,144.0,762.0,7.0,6.0,30.0,,2.0,446.0,24.0,3.0,11.0,,,0.0,2.0,3.0,41.0,535.0,85.0,,97485,,177.0,2.0,20.0,200.0,6.0,15.0,5.0,58.0,1.0,1.0,,7.0,,5.0,3.0,66.0,468.0,9.0,6.0,2.0,15.0,5.0,67.0,1.0,0.0,3.0,2.0,1.0,,,,0.0,3.0,,,2.0,71.6,36.0,2.0,3.0,3.0,2.0,7.0,45.0,12.0,,557.0,2.0,,20.0,14.0,4.0,52.0,3.0,2.0,392.0,7.0,6.0,12.0,170.0,17.0,2.0,11.0,11.0,,8.0,3.0,14.0,2.0,5.0,12.0,,,,1.0,,,2.0,,,1.0,2.0,3.0,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
24,855409,2017-02-04 17:30:00,"White Hart Lane, London",31949,Home,Tottenham Hotspur,Middlesbrough,1,0,W,0,0,0,0,,2.0,53.0,,,2.0,33.0,24.0,6.0,8.0,11.0,,1.0,189.0,6.0,6.0,1.0,4.0,14.0,5.0,151.0,175.0,55.0,,17.0,4.0,22.0,3.0,1.0,,,2.0,1.0,33.0,16.0,1.0,24.0,10.0,9.0,33.0,324.0,,0.0,211.0,8.0,,,,,,103.0,84.0,8.0,83.0,,23.0,10.0,6.0,,2.0,1.0,175.0,5.0,160.0,816.0,12.0,6.0,43.0,2.0,4.0,482.0,20.0,2.0,14.0,,,0.0,3.0,6.0,36.0,566.0,93.0,,97485,8.0,176.0,2.0,18.0,196.0,4.0,10.0,7.0,68.0,,4.0,,16.0,3.0,4.0,1.0,66.0,494.0,11.0,8.0,2.0,15.0,3.0,78.0,2.0,0.0,3.0,2.0,,1.0,,2.0,0.0,3.0,,,3.0,65.2,32.0,1.0,1.0,2.0,4.0,6.0,53.0,11.0,,583.0,4.0,,16.0,18.0,6.0,47.0,3.0,4.0,420.0,6.0,9.0,19.0,162.0,27.0,2.0,14.0,20.0,,13.0,3.0,21.0,2.0,5.0,11.0,1.0,,,1.0,2.0,,2.0,1.0,1.0,,3.0,5.0,,,,3.0,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
25,855415,2017-02-11 17:30:00,"Anfield, Liverpool",53159,Away,Tottenham Hotspur,Liverpool,0,2,L,0,2,0,0,,1.0,63.0,,,1.0,47.0,35.0,2.0,1.0,5.0,7.0,1.0,193.0,2.0,13.0,,2.0,5.0,2.0,88.0,186.0,62.0,1.0,7.0,,13.0,2.0,1.0,,,1.0,2.0,13.0,13.0,,35.0,3.0,14.0,31.0,138.0,,0.0,106.0,14.0,,4.0,,,1.0,45.0,63.0,3.0,67.0,2.0,10.0,27.0,2.0,1.0,1.0,2.0,186.0,11.0,73.0,641.0,5.0,12.0,7.0,,11.0,277.0,24.0,16.0,12.0,,1.0,5.0,4.0,2.0,28.0,397.0,58.0,2.0,97485,3.0,161.0,1.0,8.0,204.0,9.0,27.0,5.0,50.0,1.0,4.0,,19.0,6.0,2.0,1.0,88.0,297.0,12.0,6.0,,43.0,,84.0,,0.0,3.0,10.0,7.0,,2.0,6.0,0.0,2.0,,1.0,2.0,49.1,18.0,1.0,1.0,1.0,4.0,1.0,41.0,3.0,1.0,421.0,11.0,1.0,10.0,19.0,4.0,25.0,,2.0,230.0,4.0,13.0,18.0,64.0,27.0,3.0,12.0,20.0,,5.0,3.0,20.0,3.0,10.0,3.0,,,1.0,,,,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
26,855429,2017-02-26 13:30:00,"White Hart Lane, London",31864,Home,Tottenham Hotspur,Stoke City,4,0,W,4,0,0,0,,1.0,56.0,2.0,,2.0,31.0,25.0,10.0,5.0,11.0,3.0,4.0,174.0,4.0,10.0,4.0,6.0,19.0,9.0,156.0,136.0,48.0,,21.0,3.0,14.0,2.0,4.0,,1.0,1.0,,14.0,10.0,3.0,25.0,5.0,12.0,24.0,270.0,1.0,0.0,156.0,11.0,,2.0,,,,83.0,71.0,13.0,98.0,1.0,10.0,14.0,10.0,,2.0,2.0,136.0,5.0,160.0,782.0,14.0,8.0,30.0,1.0,7.0,483.0,27.0,3.0,15.0,3.0,,2.0,,6.0,26.0,566.0,67.0,1.0,97485,4.0,238.0,,8.0,263.0,8.0,14.0,2.0,53.0,,6.0,2.0,15.0,,1.0,1.0,55.0,504.0,14.0,8.0,2.0,14.0,2.0,69.0,1.0,0.0,4.0,5.0,3.0,2.0,,5.0,0.0,2.0,3.0,,1.0,64.3,24.0,1.0,2.0,,6.0,5.0,46.0,8.0,,588.0,7.0,,12.0,11.0,7.0,24.0,3.0,4.0,339.0,15.0,12.0,13.0,117.0,21.0,1.0,15.0,11.0,,16.0,3.0,18.0,1.0,4.0,8.0,1.0,2.0,,1.0,3.0,1.0,1.0,,,,,1.0,2.0,,2.0,,,1.0,,,,,1.0,,,,,1.0,,,,,3.0,2.0,,,4.0,1.0,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,2.0,,,,,,2.0,,,,
