gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,accurateKeeperSweeper,attOboxTarget,attMissHighRight,attSvHighRight,interceptionsInBox,secondYellow,attHdTarget,totalKeeperSweeper,accurateThroughBall,sixYardBlock,totalThroughBall,attBxLeft,attSvHighCentre,accurateCornersIntobox,penaltySave,attGoalLowLeft,goalAssistSetplay,attCmissRight,attFreekickTotal,freekickTotal,bigChanceCreated,bigChanceMissed,attSetpiece,penaltyConceded,attRfGoal,attMissHigh,punches,attCmissHighRight,clearanceOffLine,penaltyFaced,attFreekickMiss,forwardGoals,ptsDroppedWinningPos,shotFastbreak,attMissLeft,cleanSheet,totalFastbreak,attSvLowLeft,errorLeadToShot,attFastbreak,attCmissLeft,attHdMiss,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostHigh,attOboxGoal,midfielderGoals,attGoalHighLeft,attObxRight,attPostRight,bigChanceScored,attGoalLowRight,attGoalLowCentre,attFreekickPost,attPostLeft,attOboxPost,attHdGoal,goalAssistDeadball,penaltyWon,attSvHighLeft,attGoalHighCentre,attCmissHigh,attPenGoal,attFreekickTarget,shieldBallOop,attOneOnOne,attHdPost,totalPullBack,attObpGoal,penGoalsConceded,attCmissHighLeft,accuratePullBack,ptsGainedLosingPos,attObxLeft,ownGoals,attIboxOwnGoal,goalFastbreak,foulThrowIn,attObxdRight,attPenTarget,attPenMiss,attObxdLeft,attLgLeft
11,855272,2016-11-05 15:00:00,"Vitality Stadium, Bournemouth",11084,Home,Bournemouth,Sunderland,1,2,L,1,1,0,1,,1.0,61.0,1.0,4.0,30.0,21.0,6.0,8.0,16.0,2.0,,169.0,7.0,17.0,1.0,6.0,18.0,7.0,158.0,134.0,56.0,22.0,1.0,14.0,3.0,3.0,1.0,3.0,30.0,11.0,,21.0,3.0,15.0,18.0,298.0,0.0,235.0,14.0,2.0,4.0,,82.0,74.0,11.0,74.0,2.0,27.0,14.0,6.0,4.0,2.0,134.0,6.0,136.0,751.0,15.0,2.0,52.0,4.0,435.0,34.0,1.0,3.0,14.0,1.0,3.0,5.0,7.0,17.0,507.0,56.0,,90105,10.0,173.0,19.0,187.0,10.0,14.0,2.0,55.0,,1.0,4.0,1.0,14.0,3.0,1.0,50.0,464.0,17.0,10.0,2.0,16.0,6.0,56.0,,0.0,5.0,2.0,1.0,1.0,2.0,,0.0,4.0,1.0,3.0,69.8,17.0,9.0,4.0,5.0,38.0,12.0,,537.0,4.0,13.0,8.0,10.0,46.0,7.0,380.0,10.0,14.0,7.0,191.0,12.0,2.0,14.0,15.0,2.0,14.0,3.0,22.0,,2.0,6.0,12.0,,5.0,,3.0,,1.0,2.0,,,1.0,2.0,,6.0,1.0,1.0,3.0,,1.0,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,,,,1.0,,,3.0,,5.0,,,,,,1.0,3.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
12,855287,2016-11-19 15:00:00,"bet365 Stadium, Stoke",27815,Away,Bournemouth,Stoke City,1,0,W,1,0,0,0,,,60.0,2.0,,20.0,42.0,3.0,1.0,5.0,5.0,,150.0,1.0,7.0,1.0,3.0,7.0,2.0,78.0,148.0,61.0,8.0,1.0,27.0,1.0,2.0,,,8.0,15.0,,42.0,2.0,9.0,20.0,171.0,0.0,119.0,10.0,3.0,1.0,,50.0,89.0,2.0,53.0,3.0,6.0,8.0,3.0,,1.0,148.0,9.0,72.0,568.0,6.0,8.0,12.0,7.0,242.0,22.0,,1.0,21.0,1.0,3.0,4.0,5.0,25.0,309.0,57.0,1.0,90105,2.0,96.0,5.0,112.0,6.0,8.0,19.0,76.0,1.0,3.0,5.0,,18.0,5.0,7.0,59.0,266.0,17.0,14.0,,17.0,,85.0,,0.0,1.0,3.0,4.0,1.0,,2.0,0.0,1.0,1.0,2.0,48.9,19.0,1.0,5.0,1.0,46.0,4.0,,353.0,7.0,13.0,8.0,5.0,23.0,3.0,249.0,5.0,9.0,18.0,74.0,26.0,2.0,21.0,21.0,,6.0,2.0,20.0,,2.0,5.0,4.0,,1.0,1.0,,,,,,,1.0,2.0,,4.0,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,3.0,1.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
13,855292,2016-11-27 14:15:00,"Emirates Stadium, London",59978,Away,Bournemouth,Arsenal,1,3,L,1,1,0,0,,1.0,72.0,,,27.0,33.0,2.0,3.0,7.0,,,162.0,7.0,13.0,1.0,3.0,7.0,3.0,104.0,162.0,56.0,9.0,1.0,14.0,2.0,,,1.0,27.0,13.0,,33.0,9.0,16.0,29.0,181.0,0.0,138.0,13.0,,1.0,1.0,63.0,90.0,3.0,67.0,2.0,18.0,25.0,2.0,6.0,1.0,162.0,13.0,99.0,672.0,6.0,6.0,21.0,19.0,319.0,40.0,1.0,3.0,17.0,,5.0,6.0,4.0,27.0,409.0,59.0,,90105,5.0,163.0,11.0,189.0,8.0,25.0,7.0,62.0,,4.0,6.0,,15.0,3.0,5.0,61.0,337.0,12.0,11.0,1.0,20.0,3.0,65.0,,0.0,2.0,3.0,,1.0,3.0,4.0,0.0,3.0,,3.0,48.5,25.0,4.0,6.0,1.0,30.0,10.0,1.0,432.0,19.0,7.0,12.0,5.0,33.0,4.0,270.0,3.0,16.0,14.0,97.0,22.0,5.0,17.0,17.0,3.0,4.0,3.0,30.0,1.0,5.0,11.0,10.0,,1.0,,,,,3.0,,,,,,2.0,1.0,,4.0,,1.0,,1.0,,,2.0,2.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,3.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
14,855302,2016-12-04 13:30:00,"Vitality Stadium, Bournemouth",11183,Home,Bournemouth,Liverpool,4,3,W,0,2,0,0,2.0,2.0,63.0,,1.0,15.0,38.0,4.0,5.0,8.0,,1.0,129.0,5.0,11.0,4.0,4.0,5.0,8.0,94.0,137.0,59.0,12.0,1.0,12.0,3.0,,1.0,2.0,13.0,14.0,,38.0,3.0,6.0,24.0,144.0,0.0,87.0,9.0,,1.0,3.0,43.0,62.0,5.0,57.0,,10.0,13.0,4.0,2.0,2.0,137.0,6.0,96.0,592.0,3.0,6.0,22.0,12.0,277.0,34.0,2.0,2.0,25.0,2.0,2.0,1.0,,18.0,343.0,42.0,,90105,7.0,162.0,7.0,189.0,6.0,13.0,10.0,50.0,2.0,1.0,5.0,2.0,22.0,4.0,9.0,40.0,301.0,15.0,11.0,,22.0,1.0,60.0,,0.0,4.0,9.0,,4.0,3.0,1.0,0.0,4.0,1.0,,39.8,10.0,2.0,5.0,2.0,32.0,4.0,3.0,376.0,12.0,15.0,7.0,2.0,22.0,,200.0,7.0,6.0,13.0,57.0,20.0,3.0,25.0,20.0,1.0,7.0,3.0,15.0,1.0,3.0,7.0,4.0,1.0,2.0,1.0,1.0,,,1.0,,,2.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,3.0,,3.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,1.0,3.0,,,,,,,,,,
15,855313,2016-12-10 15:00:00,"Turf Moor, Burnley",19680,Away,Bournemouth,Burnley,2,3,L,1,2,0,0,1.0,1.0,56.0,,1.0,42.0,45.0,10.0,9.0,8.0,4.0,1.0,179.0,2.0,7.0,2.0,1.0,13.0,4.0,128.0,153.0,63.0,18.0,5.0,17.0,1.0,1.0,1.0,1.0,25.0,5.0,1.0,45.0,2.0,10.0,28.0,290.0,0.0,220.0,18.0,3.0,,,91.0,102.0,5.0,87.0,4.0,23.0,17.0,10.0,8.0,4.0,153.0,12.0,151.0,753.0,10.0,13.0,29.0,10.0,413.0,31.0,,11.0,32.0,2.0,2.0,2.0,8.0,28.0,503.0,65.0,,90105,4.0,159.0,15.0,190.0,9.0,17.0,8.0,50.0,1.0,,4.0,1.0,13.0,3.0,3.0,76.0,447.0,14.0,5.0,1.0,26.0,5.0,65.0,,0.0,2.0,4.0,4.0,2.0,3.0,4.0,0.0,1.0,1.0,,69.4,23.0,1.0,4.0,6.0,46.0,11.0,,545.0,10.0,4.0,19.0,8.0,43.0,4.0,380.0,9.0,9.0,35.0,176.0,16.0,2.0,32.0,7.0,2.0,10.0,3.0,15.0,,2.0,6.0,11.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,4.0,3.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,1.0,,,2.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
16,855322,2016-12-13 19:45:00,"Vitality Stadium, Bournemouth",11068,Home,Bournemouth,Leicester City,1,0,W,1,0,0,0,,1.0,70.0,1.0,1.0,33.0,44.0,4.0,3.0,4.0,4.0,,193.0,1.0,10.0,1.0,1.0,7.0,3.0,130.0,149.0,67.0,9.0,2.0,21.0,1.0,1.0,,,17.0,10.0,,44.0,2.0,11.0,33.0,235.0,0.0,181.0,5.0,1.0,,1.0,84.0,101.0,4.0,85.0,,15.0,14.0,5.0,4.0,2.0,149.0,10.0,127.0,761.0,6.0,9.0,16.0,11.0,426.0,32.0,,7.0,25.0,,0.0,4.0,3.0,26.0,506.0,70.0,,88498,2.0,213.0,11.0,226.0,1.0,14.0,7.0,47.0,,4.0,5.0,1.0,17.0,2.0,4.0,63.0,447.0,14.0,5.0,1.0,24.0,,71.0,2.0,0.0,2.0,11.0,3.0,1.0,,2.0,0.0,1.0,,,62.9,22.0,7.0,6.0,3.0,40.0,4.0,1.0,535.0,11.0,10.0,20.0,3.0,28.0,1.0,326.0,6.0,11.0,24.0,127.0,22.0,2.0,25.0,19.0,,8.0,3.0,17.0,,2.0,4.0,4.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,
17,855332,2016-12-18 13:30:00,"Vitality Stadium, Bournemouth",11113,Home,Bournemouth,Southampton,1,3,L,1,1,0,0,1.0,1.0,74.0,2.0,2.0,31.0,36.0,2.0,3.0,8.0,4.0,,140.0,6.0,12.0,1.0,2.0,8.0,5.0,119.0,152.0,63.0,10.0,1.0,18.0,3.0,,,2.0,21.0,13.0,,36.0,4.0,10.0,26.0,236.0,0.0,172.0,6.0,3.0,,2.0,74.0,81.0,7.0,73.0,,17.0,22.0,2.0,4.0,,152.0,7.0,122.0,692.0,7.0,7.0,26.0,15.0,342.0,33.0,,8.0,21.0,1.0,0.0,3.0,1.0,26.0,425.0,60.0,,90105,7.0,138.0,13.0,161.0,4.0,22.0,6.0,59.0,1.0,,6.0,,17.0,7.0,3.0,62.0,368.0,12.0,10.0,,30.0,1.0,51.0,,0.0,3.0,4.0,3.0,1.0,3.0,1.0,0.0,6.0,1.0,4.0,46.9,20.0,4.0,6.0,3.0,29.0,7.0,2.0,454.0,15.0,12.0,19.0,2.0,30.0,2.0,314.0,3.0,8.0,18.0,128.0,29.0,4.0,21.0,21.0,2.0,8.0,3.0,25.0,,4.0,9.0,7.0,,1.0,,1.0,1.0,,1.0,,2.0,,,,,1.0,2.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,3.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
18,855344,2016-12-26 15:00:00,"Stamford Bridge, London",41384,Away,Bournemouth,Chelsea,0,3,L,0,1,0,0,,1.0,50.0,1.0,2.0,30.0,12.0,2.0,2.0,5.0,2.0,,188.0,2.0,9.0,,5.0,5.0,3.0,148.0,126.0,42.0,7.0,1.0,7.0,2.0,1.0,,1.0,12.0,8.0,,12.0,2.0,6.0,28.0,291.0,0.0,148.0,14.0,2.0,2.0,,88.0,68.0,4.0,95.0,,10.0,19.0,2.0,2.0,,126.0,9.0,160.0,742.0,4.0,,10.0,9.0,485.0,24.0,,4.0,6.0,,1.0,3.0,1.0,14.0,562.0,77.0,1.0,90105,4.0,220.0,6.0,244.0,6.0,19.0,11.0,59.0,,1.0,8.0,,12.0,6.0,9.0,58.0,509.0,13.0,27.0,1.0,18.0,,89.0,,0.0,5.0,5.0,1.0,,3.0,,0.0,2.0,,2.0,55.6,10.0,3.0,8.0,3.0,68.0,5.0,,591.0,9.0,9.0,14.0,1.0,21.0,1.0,359.0,3.0,6.0,10.0,111.0,13.0,3.0,6.0,10.0,3.0,4.0,3.0,12.0,,3.0,7.0,5.0,,2.0,,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,
19,855360,2016-12-31 15:00:00,"Swansea.com Stadium, Swansea",20316,Away,Bournemouth,Swansea City,3,0,W,2,0,0,0,,,68.0,2.0,,32.0,19.0,4.0,3.0,6.0,5.0,1.0,177.0,2.0,10.0,3.0,2.0,8.0,6.0,144.0,129.0,57.0,11.0,,19.0,2.0,3.0,2.0,1.0,14.0,12.0,,19.0,1.0,19.0,21.0,236.0,0.0,145.0,9.0,1.0,2.0,2.0,73.0,76.0,4.0,107.0,,13.0,15.0,5.0,3.0,3.0,129.0,7.0,143.0,753.0,6.0,7.0,15.0,16.0,464.0,27.0,,8.0,10.0,2.0,0.0,4.0,4.0,14.0,546.0,63.0,,90105,1.0,249.0,8.0,269.0,4.0,15.0,8.0,49.0,,2.0,9.0,3.0,10.0,7.0,5.0,63.0,483.0,14.0,9.0,,25.0,,77.0,,0.0,1.0,4.0,3.0,2.0,,2.0,0.0,2.0,2.0,,54.9,12.0,2.0,9.0,,43.0,3.0,2.0,571.0,16.0,11.0,10.0,5.0,25.0,2.0,316.0,8.0,17.0,17.0,103.0,27.0,4.0,10.0,16.0,,10.0,3.0,13.0,,4.0,9.0,3.0,1.0,3.0,,1.0,1.0,,3.0,,,,4.0,,4.0,,1.0,,,,,,1.0,1.0,3.0,1.0,,,2.0,1.0,1.0,,,,,1.0,,2.0,3.0,1.0,3.0,1.0,,2.0,1.0,,,,,,,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,2.0,,,,,,1.0,,,1.0,,,,,,
20,855362,2017-01-03 19:45:00,"Vitality Stadium, Bournemouth",11202,Home,Bournemouth,Arsenal,3,3,D,2,0,1,0,,,70.0,1.0,,31.0,42.0,7.0,3.0,6.0,1.0,1.0,154.0,2.0,15.0,3.0,4.0,9.0,6.0,76.0,143.0,54.0,13.0,2.0,16.0,1.0,,2.0,1.0,11.0,8.0,,42.0,1.0,8.0,15.0,158.0,0.0,144.0,10.0,,1.0,2.0,64.0,91.0,4.0,76.0,2.0,10.0,19.0,7.0,2.0,3.0,143.0,9.0,70.0,583.0,6.0,12.0,24.0,12.0,258.0,30.0,,17.0,23.0,2.0,3.0,5.0,5.0,15.0,346.0,61.0,1.0,90105,3.0,119.0,7.0,140.0,5.0,19.0,8.0,49.0,1.0,2.0,7.0,2.0,9.0,5.0,2.0,79.0,275.0,10.0,7.0,1.0,50.0,2.0,71.0,,0.0,1.0,7.0,,3.0,3.0,4.0,1.0,1.0,1.0,1.0,39.6,13.0,4.0,7.0,2.0,31.0,4.0,2.0,376.0,12.0,11.0,9.0,5.0,21.0,2.0,247.0,9.0,7.0,17.0,95.0,24.0,6.0,23.0,12.0,3.0,8.0,3.0,22.0,,6.0,8.0,4.0,1.0,3.0,,2.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,2.0,2.0,1.0,,,,2.0,,,,,,,1.0,2.0,,3.0,,,1.0,,,2.0,1.0,,,1.0,,,,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,
21,855374,2017-01-14 15:00:00,"The MKM Stadium, Hull",17963,Away,Bournemouth,Hull City,1,3,L,1,1,0,0,,2.0,52.0,,1.0,22.0,26.0,3.0,3.0,5.0,1.0,,174.0,2.0,16.0,1.0,2.0,6.0,6.0,148.0,150.0,48.0,8.0,,20.0,3.0,,,4.0,19.0,5.0,,26.0,3.0,21.0,29.0,225.0,0.0,170.0,11.0,,1.0,,90.0,55.0,5.0,87.0,1.0,16.0,11.0,3.0,8.0,1.0,150.0,10.0,163.0,752.0,6.0,9.0,18.0,14.0,450.0,29.0,,5.0,20.0,,1.0,2.0,1.0,24.0,543.0,67.0,,90105,5.0,246.0,7.0,270.0,6.0,11.0,9.0,48.0,,3.0,6.0,,10.0,5.0,2.0,59.0,469.0,13.0,6.0,,21.0,,75.0,,0.0,2.0,4.0,1.0,1.0,3.0,4.0,0.0,2.0,,,60.8,22.0,1.0,6.0,1.0,40.0,5.0,,572.0,14.0,7.0,7.0,1.0,34.0,,321.0,5.0,19.0,13.0,114.0,15.0,2.0,20.0,8.0,3.0,7.0,3.0,22.0,,2.0,4.0,5.0,,3.0,,2.0,,,1.0,,,,,,3.0,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,,
22,855382,2017-01-21 15:00:00,"Vitality Stadium, Bournemouth",11123,Home,Bournemouth,Watford,2,2,D,0,1,0,0,,1.0,55.0,1.0,3.0,36.0,28.0,5.0,5.0,10.0,1.0,1.0,196.0,3.0,14.0,2.0,2.0,12.0,5.0,139.0,176.0,55.0,15.0,1.0,24.0,2.0,2.0,2.0,,35.0,8.0,,28.0,4.0,16.0,40.0,237.0,0.0,204.0,6.0,1.0,3.0,,91.0,79.0,8.0,69.0,3.0,31.0,17.0,5.0,5.0,3.0,176.0,3.0,122.0,731.0,10.0,6.0,27.0,3.0,393.0,36.0,1.0,4.0,14.0,2.0,1.0,5.0,4.0,35.0,497.0,64.0,,90105,5.0,181.0,23.0,215.0,2.0,17.0,6.0,43.0,,3.0,2.0,2.0,12.0,7.0,4.0,74.0,415.0,15.0,4.0,,25.0,1.0,73.0,,0.0,1.0,4.0,,2.0,2.0,1.0,0.0,3.0,2.0,3.0,62.9,28.0,4.0,2.0,4.0,31.0,9.0,,526.0,3.0,5.0,21.0,6.0,42.0,3.0,346.0,7.0,15.0,19.0,154.0,13.0,,14.0,9.0,2.0,14.0,3.0,19.0,,,8.0,9.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,2.0,2.0,,,,,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,
23,855392,2017-01-31 19:45:00,"Vitality Stadium, Bournemouth",11286,Home,Bournemouth,Crystal Palace,0,2,L,0,0,0,0,,1.0,52.0,,,36.0,21.0,8.0,4.0,2.0,2.0,,128.0,4.0,15.0,,6.0,7.0,2.0,136.0,136.0,63.0,10.0,3.0,24.0,,,,,19.0,10.0,,21.0,1.0,26.0,33.0,231.0,0.0,144.0,14.0,2.0,6.0,,64.0,72.0,3.0,57.0,2.0,18.0,11.0,8.0,5.0,3.0,136.0,6.0,132.0,655.0,5.0,1.0,15.0,12.0,358.0,29.0,,5.0,11.0,,0.0,1.0,4.0,31.0,422.0,67.0,2.0,90105,2.0,150.0,7.0,168.0,5.0,11.0,10.0,62.0,,1.0,6.0,,20.0,5.0,2.0,69.0,377.0,22.0,7.0,2.0,11.0,2.0,61.0,1.0,0.0,1.0,3.0,2.0,,2.0,,0.0,3.0,,2.0,65.1,25.0,3.0,6.0,3.0,32.0,2.0,1.0,453.0,12.0,10.0,18.0,5.0,26.0,2.0,304.0,4.0,24.0,12.0,109.0,13.0,3.0,11.0,14.0,2.0,6.0,3.0,22.0,1.0,3.0,3.0,2.0,,1.0,,2.0,1.0,,2.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,1.0,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
24,855404,2017-02-04 15:00:00,"Goodison Park, Liverpool",39026,Away,Bournemouth,Everton,3,6,L,0,3,0,0,,4.0,60.0,2.0,1.0,38.0,21.0,9.0,10.0,8.0,4.0,1.0,175.0,3.0,8.0,3.0,4.0,13.0,8.0,141.0,129.0,51.0,18.0,1.0,11.0,3.0,1.0,1.0,3.0,19.0,18.0,,21.0,6.0,18.0,29.0,271.0,0.0,185.0,4.0,1.0,1.0,1.0,84.0,85.0,7.0,76.0,3.0,13.0,11.0,10.0,2.0,7.0,129.0,12.0,163.0,754.0,8.0,2.0,25.0,8.0,451.0,24.0,,7.0,10.0,2.0,1.0,3.0,6.0,21.0,525.0,66.0,,90105,2.0,209.0,10.0,221.0,2.0,11.0,4.0,57.0,,,8.0,2.0,10.0,3.0,3.0,57.0,477.0,13.0,20.0,3.0,20.0,4.0,65.0,,0.0,2.0,4.0,2.0,3.0,6.0,,0.0,2.0,2.0,,54.3,20.0,3.0,8.0,2.0,45.0,8.0,1.0,555.0,8.0,11.0,17.0,8.0,32.0,1.0,353.0,8.0,17.0,10.0,135.0,24.0,2.0,10.0,21.0,6.0,11.0,3.0,19.0,1.0,2.0,7.0,8.0,,1.0,1.0,2.0,,,,,,2.0,3.0,,5.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,2.0,1.0,,,,,,2.0,,,4.0,,,2.0,,,1.0,,,,,1.0,,,1.0,,,,3.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,
25,855412,2017-02-13 20:00:00,"Vitality Stadium, Bournemouth",11129,Home,Bournemouth,Manchester City,0,2,L,0,1,0,0,,1.0,51.0,1.0,1.0,32.0,26.0,4.0,4.0,1.0,4.0,,139.0,1.0,16.0,,2.0,3.0,1.0,91.0,135.0,52.0,5.0,3.0,11.0,,,,,13.0,10.0,,26.0,1.0,7.0,24.0,130.0,0.0,124.0,8.0,3.0,2.0,,56.0,53.0,3.0,46.0,,12.0,21.0,4.0,3.0,,135.0,12.0,86.0,555.0,3.0,6.0,15.0,11.0,264.0,23.0,,6.0,13.0,,2.0,4.0,,23.0,336.0,58.0,,90105,1.0,153.0,7.0,165.0,4.0,21.0,9.0,53.0,,2.0,1.0,,13.0,6.0,3.0,68.0,282.0,11.0,15.0,,24.0,1.0,60.0,,0.0,3.0,7.0,3.0,,2.0,,0.0,1.0,,1.0,37.7,19.0,5.0,2.0,4.0,29.0,3.0,,362.0,11.0,11.0,13.0,,29.0,,210.0,,4.0,11.0,76.0,19.0,1.0,13.0,16.0,2.0,4.0,3.0,25.0,,1.0,12.0,3.0,1.0,,,1.0,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,
26,855431,2017-02-25 15:00:00,"The Hawthorns, West Bromwich",24162,Away,Bournemouth,West Bromwich Albion,1,2,L,1,2,0,0,1.0,1.0,68.0,,,32.0,22.0,6.0,3.0,6.0,2.0,,173.0,8.0,6.0,1.0,3.0,11.0,4.0,185.0,150.0,44.0,12.0,2.0,9.0,1.0,,,,24.0,12.0,,22.0,4.0,32.0,27.0,309.0,0.0,202.0,5.0,,1.0,2.0,107.0,93.0,5.0,101.0,1.0,20.0,11.0,6.0,9.0,2.0,150.0,8.0,190.0,840.0,8.0,5.0,26.0,7.0,534.0,33.0,1.0,3.0,14.0,,0.0,4.0,6.0,24.0,624.0,76.0,1.0,90105,5.0,252.0,10.0,277.0,,11.0,5.0,37.0,,,5.0,,16.0,5.0,4.0,70.0,553.0,10.0,6.0,3.0,26.0,2.0,72.0,,0.0,1.0,8.0,2.0,1.0,2.0,2.0,0.0,6.0,,3.0,68.0,22.0,1.0,6.0,2.0,46.0,6.0,2.0,649.0,7.0,11.0,10.0,6.0,36.0,4.0,396.0,6.0,31.0,10.0,151.0,27.0,5.0,14.0,18.0,1.0,7.0,3.0,13.0,1.0,5.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,2.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,1.0,3.0,,2.0,,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
