gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,saves,attCmissRight,divingSave,goodHighClaim,interceptionsInBox,outfielderBlock,penaltyConceded,savedIbox,accurateFlickOn,penaltyFaced,totalHighClaim,penGoalsConceded,attGoalLowCentre,goalAssistOpenplay,attOboxGoal,attSvHighLeft,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attFreekickMiss,accurateCornersIntobox,attObxLeft,attOneOnOne,bigChanceCreated,attHdTarget,hitWoodwork,bigChanceMissed,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attGoalHighRight,attSvHighRight,cleanSheet,contentiousDecision,attPostHigh,bigChanceScored,attGoalLowRight,accuratePullBack,midfielderGoals,goalAssistIntentional,attSvHighCentre,clearanceOffLine,attPostLeft,errorLeadToShot,goalAssistSetplay,goalAssistDeadball,penaltyWon,sixYardBlock,attPenGoal,foulThrowIn,goalsConcededObox,accurateKeeperSweeper,attHdPost,totalKeeperSweeper,handBall,attPostRight,attHdGoal,errorLeadToGoal,attGoalHighLeft,punches,defenderGoals,secondYellow,attCmissHighRight,attObxdLeft,attObpGoal,attGoalHighCentre,attPenTarget,penaltySave,attPenPost,attOboxPost
11,855276,2016-11-06 14:15:00,"The MKM Stadium, Hull",17768,Away,Southampton,Hull City,1,2,L,1,0,0,0,,51.0,1.0,6.0,26.0,13.0,5.0,4.0,13.0,,5.0,189.0,11.0,8.0,1.0,6.0,15.0,7.0,178.0,137.0,52.0,1.0,19.0,1.0,17.0,4.0,1.0,,,34.0,6.0,2.0,13.0,10.0,27.0,41.0,336.0,,0.0,208.0,15.0,,2.0,4.0,65.0,117.0,11.0,83.0,2.0,24.0,12.0,6.0,1.0,8.0,3.0,137.0,4.0,175.0,800.0,12.0,7.0,43.0,7.0,525.0,16.0,1.0,7.0,11.0,5.0,4.0,26.0,607.0,77.0,1.0,97032,8.0,212.0,12.0,,220.0,8.0,1.0,12.0,6.0,49.0,1.0,1.0,1.0,1.0,,10.0,2.0,2.0,1.0,58.0,537.0,12.0,5.0,3.0,25.0,4.0,87.0,4.0,,0.0,,2.0,1.0,1.0,2.0,0.0,6.0,,3.0,66.6,26.0,1.0,,4.0,,1.0,7.0,54.0,10.0,625.0,7.0,8.0,25.0,5.0,48.0,1.0,439.0,12.0,26.0,25.0,156.0,26.0,1.0,2.0,11.0,8.0,2.0,13.0,3.0,13.0,2.0,9.0,10.0,,,1.0,,,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,5.0,1.0,,,1.0,1.0,,3.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12,855286,2016-11-19 15:00:00,"St. Mary's Stadium, Southampton",31848,Home,Southampton,Liverpool,0,0,D,0,0,0,0,,68.0,,,32.0,20.0,2.0,2.0,1.0,,,178.0,2.0,13.0,,,2.0,,62.0,177.0,71.0,,3.0,1.0,18.0,,,,2.0,8.0,21.0,,20.0,1.0,7.0,22.0,100.0,,0.0,88.0,8.0,,,,51.0,47.0,1.0,62.0,,7.0,40.0,2.0,,2.0,1.0,177.0,9.0,66.0,575.0,2.0,7.0,4.0,18.0,225.0,38.0,,11.0,9.0,1.0,1.0,25.0,339.0,56.0,,97032,1.0,145.0,5.0,,185.0,2.0,,40.0,11.0,60.0,,2.0,2.0,,,12.0,6.0,5.0,,73.0,243.0,10.0,13.0,,35.0,,79.0,,1.0,0.0,,1.0,8.0,,,0.0,2.0,3.0,1.0,35.4,18.0,1.0,,,,1.0,1.0,35.0,1.0,368.0,18.0,9.0,14.0,2.0,16.0,1.0,191.0,,6.0,23.0,43.0,22.0,,6.0,9.0,25.0,,3.0,3.0,26.0,6.0,21.0,1.0,,2.0,,3.0,,3.0,5.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
13,855299,2016-11-27 16:30:00,"St. Mary's Stadium, Southampton",31132,Home,Southampton,Everton,1,0,W,1,0,0,0,,70.0,1.0,2.0,23.0,20.0,6.0,1.0,11.0,,4.0,189.0,8.0,13.0,1.0,2.0,13.0,7.0,99.0,148.0,68.0,,17.0,1.0,23.0,4.0,,1.0,,25.0,18.0,2.0,20.0,5.0,20.0,27.0,227.0,1.0,0.0,148.0,11.0,,2.0,1.0,94.0,75.0,8.0,73.0,2.0,20.0,19.0,6.0,,4.0,3.0,148.0,8.0,100.0,679.0,11.0,8.0,27.0,20.0,347.0,32.0,1.0,6.0,8.0,0.0,5.0,18.0,436.0,57.0,,97032,7.0,146.0,15.0,1.0,161.0,9.0,1.0,19.0,10.0,67.0,,3.0,,1.0,,6.0,5.0,5.0,2.0,59.0,365.0,15.0,10.0,1.0,28.0,2.0,91.0,3.0,,0.0,,2.0,2.0,1.0,,0.0,6.0,,5.0,52.9,14.0,1.0,,6.0,1.0,1.0,3.0,50.0,5.0,461.0,20.0,18.0,19.0,7.0,31.0,3.0,325.0,11.0,19.0,19.0,106.0,29.0,1.0,3.0,8.0,22.0,,14.0,3.0,18.0,3.0,12.0,5.0,1.0,1.0,,,,1.0,1.0,,,3.0,,,,,1.0,,,1.0,,,1.0,,2.0,,,4.0,2.0,1.0,3.0,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
14,855303,2016-12-03 15:00:00,"Selhurst Park, London",25393,Away,Southampton,Crystal Palace,0,3,L,0,2,0,0,1.0,64.0,,2.0,32.0,29.0,5.0,7.0,12.0,,1.0,156.0,6.0,17.0,,1.0,12.0,3.0,102.0,156.0,84.0,,17.0,2.0,22.0,2.0,2.0,,3.0,31.0,24.0,1.0,29.0,8.0,15.0,23.0,215.0,1.0,0.0,163.0,13.0,,1.0,2.0,77.0,66.0,5.0,79.0,3.0,23.0,23.0,5.0,,7.0,2.0,156.0,5.0,121.0,685.0,12.0,7.0,30.0,9.0,346.0,27.0,,5.0,20.0,1.0,7.0,18.0,439.0,70.0,,97032,4.0,151.0,14.0,,179.0,7.0,,23.0,4.0,61.0,,,,2.0,,9.0,4.0,1.0,2.0,64.0,360.0,11.0,4.0,,22.0,3.0,56.0,2.0,1.0,0.0,,1.0,4.0,,3.0,0.0,6.0,,4.0,58.4,18.0,2.0,,5.0,4.0,3.0,4.0,26.0,9.0,458.0,9.0,14.0,11.0,10.0,45.0,7.0,310.0,6.0,14.0,23.0,117.0,26.0,,1.0,20.0,34.0,3.0,14.0,3.0,25.0,1.0,12.0,9.0,1.0,1.0,,,1.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
15,855319,2016-12-11 14:15:00,"St. Mary's Stadium, Southampton",28976,Home,Southampton,Middlesbrough,1,0,W,0,0,0,0,,72.0,,3.0,28.0,20.0,4.0,2.0,10.0,1.0,1.0,182.0,9.0,10.0,1.0,1.0,11.0,3.0,138.0,172.0,52.0,,14.0,2.0,17.0,2.0,,,,25.0,7.0,,20.0,4.0,21.0,44.0,208.0,,0.0,120.0,14.0,,1.0,1.0,80.0,94.0,6.0,73.0,3.0,21.0,18.0,4.0,,7.0,1.0,172.0,4.0,117.0,716.0,8.0,9.0,23.0,19.0,381.0,25.0,,2.0,7.0,4.0,5.0,30.0,489.0,64.0,1.0,97032,6.0,197.0,13.0,,215.0,8.0,,18.0,5.0,62.0,2.0,3.0,3.0,1.0,,11.0,2.0,4.0,3.0,71.0,396.0,12.0,8.0,2.0,26.0,3.0,102.0,1.0,,0.0,,2.0,2.0,,,0.0,7.0,,4.0,55.1,27.0,3.0,,2.0,2.0,1.0,5.0,54.0,4.0,510.0,19.0,18.0,19.0,6.0,30.0,5.0,320.0,8.0,20.0,19.0,70.0,42.0,1.0,1.0,7.0,11.0,,11.0,3.0,15.0,1.0,9.0,4.0,,1.0,1.0,1.0,,,4.0,,2.0,2.0,,,,,1.0,1.0,,1.0,,,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
16,855330,2016-12-14 20:00:00,"bet365 Stadium, Stoke",27002,Away,Southampton,Stoke City,0,0,D,0,0,0,1,2.0,60.0,,1.0,26.0,17.0,10.0,7.0,5.0,,2.0,163.0,5.0,10.0,,5.0,12.0,4.0,174.0,145.0,49.0,2.0,15.0,3.0,17.0,1.0,,2.0,1.0,41.0,10.0,3.0,17.0,7.0,16.0,22.0,367.0,1.0,0.0,245.0,10.0,,1.0,3.0,93.0,98.0,4.0,82.0,2.0,34.0,8.0,10.0,2.0,5.0,4.0,145.0,4.0,141.0,767.0,9.0,5.0,35.0,11.0,483.0,15.0,2.0,6.0,9.0,2.0,7.0,23.0,546.0,71.0,,97032,2.0,130.0,26.0,1.0,148.0,4.0,1.0,8.0,4.0,49.0,,,2.0,6.0,,17.0,1.0,1.0,1.0,44.0,492.0,9.0,7.0,2.0,15.0,4.0,57.0,1.0,,0.0,1.0,3.0,3.0,,,0.0,2.0,1.0,2.0,71.7,20.0,2.0,,7.0,1.0,6.0,4.0,40.0,11.0,560.0,11.0,13.0,13.0,7.0,58.0,3.0,453.0,6.0,16.0,12.0,215.0,32.0,,1.0,9.0,19.0,,8.0,3.0,13.0,1.0,3.0,11.0,1.0,3.0,,,1.0,,1.0,,2.0,2.0,,1.0,,,,,,,,,,,3.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
17,855332,2016-12-18 13:30:00,"Vitality Stadium, Bournemouth",11113,Away,Southampton,Bournemouth,3,1,W,1,1,0,0,1.0,78.0,,,41.0,22.0,7.0,3.0,7.0,1.0,4.0,188.0,4.0,10.0,3.0,1.0,10.0,8.0,123.0,155.0,59.0,,14.0,2.0,18.0,3.0,1.0,3.0,1.0,23.0,18.0,2.0,22.0,3.0,16.0,30.0,249.0,1.0,0.0,168.0,12.0,3.0,1.0,,108.0,76.0,7.0,82.0,1.0,20.0,22.0,7.0,,7.0,2.0,155.0,8.0,126.0,721.0,7.0,8.0,27.0,8.0,411.0,32.0,,6.0,15.0,3.0,3.0,21.0,495.0,67.0,,97032,3.0,179.0,13.0,,199.0,9.0,,22.0,8.0,63.0,1.0,1.0,2.0,1.0,,12.0,2.0,3.0,1.0,72.0,424.0,6.0,12.0,,20.0,,83.0,1.0,,0.0,,1.0,7.0,2.0,1.0,0.0,4.0,,1.0,53.1,17.0,1.0,,8.0,1.0,2.0,2.0,53.0,4.0,519.0,8.0,11.0,19.0,4.0,31.0,2.0,343.0,10.0,15.0,18.0,116.0,29.0,2.0,3.0,15.0,25.0,1.0,14.0,3.0,20.0,3.0,13.0,4.0,1.0,4.0,,,3.0,1.0,3.0,,3.0,5.0,,3.0,,1.0,3.0,1.0,,3.0,,2.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,
18,855349,2016-12-28 19:45:00,"St. Mary's Stadium, Southampton",31853,Home,Southampton,Tottenham Hotspur,1,4,L,1,1,1,0,1.0,69.0,1.0,1.0,24.0,23.0,4.0,1.0,5.0,,,152.0,3.0,5.0,1.0,3.0,6.0,2.0,68.0,160.0,62.0,,9.0,3.0,10.0,,2.0,,2.0,19.0,20.0,1.0,23.0,2.0,5.0,32.0,100.0,1.0,0.0,82.0,7.0,,,6.0,45.0,57.0,3.0,48.0,,17.0,17.0,4.0,,2.0,,160.0,10.0,51.0,530.0,4.0,8.0,9.0,11.0,205.0,32.0,,6.0,10.0,1.0,3.0,20.0,294.0,41.0,3.0,97032,2.0,124.0,9.0,3.0,152.0,5.0,,17.0,7.0,54.0,,,2.0,1.0,,11.0,7.0,2.0,,71.0,221.0,15.0,8.0,1.0,30.0,,73.0,1.0,1.0,0.0,,3.0,10.0,1.0,4.0,1.0,3.0,,2.0,34.3,19.0,1.0,,8.0,1.0,1.0,4.0,31.0,2.0,319.0,11.0,20.0,13.0,3.0,28.0,3.0,186.0,6.0,5.0,14.0,46.0,25.0,,6.0,10.0,28.0,4.0,6.0,3.0,14.0,6.0,10.0,2.0,1.0,1.0,,,,,5.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
19,855359,2016-12-31 15:00:00,"St. Mary's Stadium, Southampton",30975,Home,Southampton,West Bromwich Albion,1,2,L,1,1,1,0,,69.0,,2.0,36.0,29.0,5.0,5.0,5.0,,,184.0,3.0,11.0,1.0,3.0,7.0,1.0,148.0,179.0,73.0,,10.0,,16.0,,,,2.0,38.0,17.0,,29.0,8.0,17.0,50.0,260.0,,0.0,168.0,13.0,,,3.0,93.0,94.0,3.0,94.0,3.0,30.0,24.0,5.0,,8.0,5.0,179.0,3.0,146.0,800.0,5.0,10.0,18.0,7.0,457.0,24.0,1.0,3.0,16.0,1.0,4.0,20.0,551.0,61.0,1.0,97032,1.0,218.0,19.0,2.0,239.0,4.0,1.0,24.0,3.0,57.0,,,1.0,4.0,,18.0,4.0,1.0,,62.0,475.0,17.0,9.0,1.0,13.0,3.0,71.0,,,0.0,,4.0,3.0,1.0,2.0,1.0,1.0,,2.0,67.8,19.0,1.0,,7.0,2.0,4.0,2.0,38.0,8.0,572.0,7.0,15.0,29.0,7.0,43.0,1.0,371.0,3.0,17.0,24.0,126.0,34.0,1.0,2.0,16.0,22.0,1.0,5.0,3.0,18.0,2.0,11.0,8.0,,1.0,2.0,1.0,1.0,,1.0,,1.0,5.0,,1.0,,,,,,1.0,,,,,2.0,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,
20,855364,2017-01-02 15:00:00,"Goodison Park, Liverpool",38891,Away,Southampton,Everton,0,3,L,0,0,0,0,,69.0,,,20.0,34.0,5.0,3.0,7.0,,3.0,170.0,6.0,8.0,,1.0,8.0,3.0,74.0,178.0,51.0,,12.0,3.0,20.0,2.0,3.0,1.0,1.0,26.0,17.0,1.0,34.0,7.0,17.0,32.0,177.0,1.0,0.0,117.0,14.0,,1.0,1.0,84.0,52.0,3.0,64.0,2.0,19.0,20.0,5.0,,7.0,1.0,178.0,10.0,95.0,645.0,7.0,8.0,17.0,21.0,282.0,27.0,1.0,4.0,15.0,1.0,5.0,25.0,381.0,51.0,,88900,3.0,126.0,11.0,,148.0,4.0,,20.0,8.0,67.0,,3.0,2.0,3.0,1.0,18.0,7.0,2.0,1.0,51.0,297.0,5.0,11.0,1.0,22.0,2.0,91.0,1.0,,0.0,,2.0,10.0,,3.0,0.0,2.0,,3.0,46.0,18.0,3.0,,7.0,,3.0,3.0,43.0,8.0,403.0,21.0,16.0,15.0,6.0,26.0,5.0,281.0,6.0,16.0,14.0,83.0,29.0,,1.0,15.0,24.0,3.0,10.0,3.0,15.0,1.0,10.0,8.0,1.0,3.0,,2.0,1.0,1.0,6.0,1.0,2.0,,1.0,2.0,1.0,,,,,,3.0,,,,4.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
21,855372,2017-01-14 15:00:00,"Turf Moor, Burnley",20254,Away,Southampton,Burnley,0,1,L,0,0,0,0,1.0,73.0,,7.0,27.0,41.0,5.0,8.0,15.0,,2.0,175.0,7.0,10.0,,2.0,14.0,5.0,92.0,157.0,66.0,,20.0,1.0,22.0,3.0,3.0,,4.0,40.0,9.0,2.0,41.0,5.0,19.0,37.0,209.0,,0.0,131.0,14.0,,1.0,2.0,81.0,66.0,7.0,52.0,2.0,35.0,17.0,5.0,,12.0,2.0,157.0,2.0,86.0,657.0,12.0,13.0,28.0,16.0,301.0,29.0,1.0,8.0,24.0,2.0,7.0,23.0,380.0,53.0,,97032,8.0,115.0,21.0,1.0,135.0,9.0,1.0,17.0,7.0,53.0,,1.0,2.0,4.0,,18.0,7.0,3.0,,60.0,317.0,14.0,7.0,2.0,30.0,2.0,71.0,2.0,1.0,0.0,,1.0,2.0,,1.0,0.0,6.0,,5.0,59.1,20.0,2.0,,3.0,3.0,4.0,8.0,39.0,7.0,405.0,16.0,10.0,22.0,7.0,46.0,5.0,310.0,7.0,18.0,32.0,95.0,33.0,,3.0,24.0,13.0,,16.0,2.0,12.0,3.0,9.0,7.0,2.0,2.0,2.0,1.0,,,2.0,,,5.0,,1.0,,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,
22,855389,2017-01-22 12:00:00,"St. Mary's Stadium, Southampton",30548,Home,Southampton,Leicester City,3,0,W,2,0,0,0,,68.0,2.0,1.0,28.0,21.0,6.0,3.0,14.0,2.0,3.0,214.0,7.0,6.0,3.0,3.0,13.0,7.0,94.0,205.0,61.0,,20.0,2.0,32.0,2.0,4.0,1.0,4.0,34.0,9.0,2.0,21.0,7.0,13.0,47.0,219.0,3.0,0.0,150.0,8.0,,2.0,3.0,104.0,68.0,6.0,75.0,,27.0,33.0,6.0,,5.0,2.0,205.0,3.0,117.0,719.0,12.0,17.0,31.0,16.0,351.0,21.0,1.0,6.0,17.0,0.0,7.0,22.0,477.0,63.0,,97032,8.0,150.0,19.0,1.0,195.0,4.0,,33.0,15.0,68.0,1.0,,3.0,4.0,,16.0,8.0,6.0,2.0,62.0,362.0,10.0,12.0,,21.0,,85.0,1.0,,0.0,,2.0,2.0,3.0,,0.0,6.0,,4.0,60.1,20.0,3.0,,6.0,1.0,4.0,3.0,32.0,7.0,500.0,16.0,13.0,26.0,10.0,35.0,8.0,339.0,13.0,11.0,35.0,107.0,34.0,2.0,2.0,17.0,12.0,,18.0,3.0,10.0,2.0,14.0,7.0,1.0,2.0,,1.0,,1.0,2.0,,1.0,8.0,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,2.0,,2.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
23,855398,2017-01-31 19:45:00,"Swansea.com Stadium, Swansea",20359,Away,Southampton,Swansea City,1,2,L,0,1,0,0,,66.0,1.0,2.0,28.0,17.0,4.0,3.0,6.0,,1.0,175.0,3.0,13.0,1.0,3.0,9.0,2.0,144.0,137.0,60.0,,10.0,1.0,23.0,,1.0,,1.0,26.0,9.0,1.0,17.0,4.0,17.0,42.0,224.0,1.0,0.0,143.0,19.0,,,1.0,76.0,86.0,5.0,95.0,1.0,22.0,14.0,4.0,,11.0,2.0,137.0,6.0,139.0,731.0,7.0,6.0,23.0,4.0,457.0,26.0,1.0,5.0,12.0,0.0,4.0,15.0,537.0,70.0,,88900,2.0,248.0,10.0,1.0,262.0,8.0,2.0,14.0,3.0,57.0,,1.0,1.0,2.0,,10.0,6.0,,1.0,63.0,469.0,10.0,4.0,1.0,17.0,,75.0,,,0.0,,3.0,5.0,1.0,2.0,0.0,3.0,,1.0,56.9,14.0,1.0,,8.0,1.0,2.0,3.0,48.0,4.0,553.0,4.0,7.0,20.0,5.0,35.0,3.0,317.0,6.0,15.0,19.0,98.0,29.0,1.0,2.0,12.0,18.0,2.0,9.0,3.0,21.0,2.0,12.0,4.0,3.0,3.0,,2.0,,,3.0,,,3.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,
24,855408,2017-02-04 15:00:00,"St. Mary's Stadium, Southampton",31891,Home,Southampton,West Ham United,1,3,L,1,2,0,0,1.0,70.0,,3.0,21.0,19.0,7.0,7.0,13.0,1.0,4.0,154.0,9.0,10.0,1.0,3.0,12.0,7.0,134.0,132.0,54.0,2.0,21.0,,24.0,3.0,1.0,,3.0,25.0,11.0,3.0,19.0,3.0,24.0,38.0,193.0,2.0,0.0,119.0,12.0,,4.0,1.0,75.0,69.0,6.0,60.0,1.0,22.0,20.0,8.0,2.0,8.0,5.0,132.0,2.0,127.0,674.0,10.0,8.0,21.0,13.0,371.0,30.0,2.0,1.0,13.0,0.0,6.0,29.0,452.0,61.0,,88900,11.0,205.0,13.0,,228.0,7.0,1.0,20.0,4.0,55.0,,2.0,2.0,2.0,,8.0,4.0,1.0,3.0,45.0,389.0,15.0,5.0,1.0,13.0,3.0,74.0,1.0,,0.0,1.0,2.0,2.0,1.0,3.0,0.0,7.0,,5.0,55.1,26.0,3.0,,4.0,1.0,2.0,3.0,41.0,3.0,475.0,13.0,9.0,20.0,11.0,28.0,6.0,272.0,9.0,22.0,14.0,85.0,33.0,1.0,3.0,13.0,15.0,1.0,16.0,2.0,16.0,3.0,10.0,3.0,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,3.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,
25,855419,2017-02-11 15:00:00,"Stadium of Light, Sunderland",39931,Away,Southampton,Sunderland,4,0,W,2,0,0,0,4.0,81.0,1.0,2.0,27.0,22.0,5.0,7.0,10.0,,,187.0,7.0,6.0,4.0,1.0,14.0,8.0,128.0,128.0,49.0,,15.0,1.0,18.0,3.0,,,1.0,23.0,18.0,2.0,22.0,2.0,16.0,37.0,246.0,1.0,0.0,171.0,15.0,,1.0,,60.0,96.0,11.0,79.0,2.0,21.0,16.0,5.0,,6.0,2.0,128.0,2.0,130.0,709.0,10.0,7.0,25.0,20.0,424.0,36.0,,4.0,13.0,0.0,3.0,13.0,505.0,65.0,,88900,6.0,198.0,15.0,,210.0,11.0,1.0,16.0,3.0,55.0,,4.0,2.0,,,6.0,4.0,1.0,,60.0,437.0,11.0,7.0,1.0,24.0,1.0,76.0,1.0,1.0,0.0,,,6.0,4.0,,0.0,6.0,,2.0,53.8,11.0,1.0,,1.0,4.0,,3.0,35.0,2.0,524.0,20.0,13.0,18.0,4.0,30.0,2.0,337.0,5.0,15.0,9.0,136.0,41.0,2.0,,13.0,23.0,,14.0,2.0,8.0,,11.0,2.0,1.0,1.0,1.0,,,1.0,4.0,,,2.0,,,,1.0,3.0,,1.0,3.0,1.0,2.0,3.0,,1.0,,,3.0,1.0,,2.0,,,,,,1.0,,,1.0,1.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
26,855428,2017-05-10 19:45:00,"St. Mary's Stadium, Southampton",31474,Home,Southampton,Arsenal,0,2,L,0,0,0,0,1.0,66.0,,2.0,27.0,24.0,6.0,6.0,8.0,,1.0,166.0,11.0,9.0,,4.0,12.0,3.0,98.0,144.0,38.0,1.0,14.0,1.0,19.0,2.0,1.0,2.0,1.0,33.0,6.0,1.0,24.0,4.0,13.0,30.0,202.0,,0.0,144.0,8.0,,,2.0,96.0,70.0,5.0,69.0,4.0,29.0,17.0,6.0,1.0,9.0,4.0,144.0,9.0,100.0,634.0,11.0,4.0,22.0,16.0,342.0,31.0,2.0,4.0,12.0,1.0,6.0,30.0,417.0,54.0,,88900,3.0,159.0,18.0,1.0,178.0,5.0,1.0,17.0,8.0,52.0,,,2.0,3.0,,13.0,2.0,3.0,1.0,57.0,350.0,5.0,10.0,,17.0,,60.0,,1.0,0.0,,3.0,5.0,,2.0,0.0,9.0,,4.0,47.0,25.0,2.0,,6.0,3.0,3.0,3.0,35.0,5.0,433.0,16.0,13.0,18.0,8.0,34.0,4.0,288.0,4.0,12.0,14.0,103.0,25.0,,1.0,12.0,10.0,2.0,12.0,3.0,12.0,1.0,10.0,5.0,1.0,2.0,,1.0,,3.0,3.0,,1.0,2.0,,,,,,,1.0,,,,,1.0,2.0,,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
