gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowCentre,attCmissRight,attObxLeft,shotFastbreak,attBxRight,goalAssistOpenplay,attOneOnOne,attSvHighRight,cleanSheet,totalFastbreak,midfielderGoals,bigChanceCreated,attMissHighLeft,goalAssist,accurateThroughBall,bigChanceMissed,attSetpiece,totalThroughBall,attCmissHighLeft,goalsOpenplay,attMissHigh,attFastbreak,attCmissLeft,accurateCrossNocorner,goalAssistIntentional,attBxLeft,attHdGoal,attGoalHighRight,attCmissHigh,attSvLowRight,attLfTarget,goalAssistSetplay,goalAssistDeadball,attMissHighRight,ptsDroppedWinningPos,attGoalLowLeft,postScoringAtt,penaltyWon,attFreekickPost,attPostLeft,hitWoodwork,accurateFreekickCross,attRfGoal,totalPullBack,attPenGoal,punches,attOboxPost,shieldBallOop,accuratePullBack,attIboxPost,ptsGainedLosingPos,attPostHigh,foulThrowIn,clearanceOffLine,forwardGoals,secondYellow,attObxRight,attOboxGoal,attHdTarget,attFreekickMiss,attHdPost,errorLeadToShot,attSvHighCentre,attLgCentre,attFreekickGoal,attPenTarget,attCmissHighRight,attPostRight,attFreekickTarget,attGoalHighLeft,goalFastbreak,attObxdLeft,penaltySave,attSvHighLeft,attGoalHighCentre
11,855281,2016-11-05 15:00:00,"London Stadium, London",56970,Home,West Ham United,Stoke City,1,1,D,0,0,0,0,,,60.0,,2.0,1.0,26.0,26.0,4.0,1.0,5.0,3.0,,,190.0,6.0,13.0,1.0,1.0,7.0,2.0,120.0,139.0,56.0,1.0,9.0,,21.0,1.0,,1.0,,25.0,11.0,1.0,26.0,6.0,15.0,26.0,183.0,0.0,113.0,11.0,1.0,1.0,,1.0,67.0,66.0,3.0,73.0,1.0,3.0,19.0,10.0,4.0,1.0,4.0,3.0,139.0,,6.0,115.0,680.0,4.0,7.0,9.0,7.0,397.0,24.0,7.0,19.0,1.0,4.0,1.0,4.0,24.0,478.0,63.0,86934,4.0,233.0,15.0,,,257.0,8.0,10.0,7.0,50.0,,4.0,6.0,8.0,6.0,2.0,64.0,410.0,9.0,2.0,3.0,31.0,4.0,77.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,5.0,58.1,21.0,3.0,3.0,6.0,1.0,42.0,6.0,,2.0,498.0,,7.0,8.0,17.0,6.0,27.0,3.0,3.0,266.0,3.0,13.0,21.0,79.0,26.0,3.0,19.0,14.0,1.0,4.0,3.0,21.0,1.0,3.0,4.0,6.0,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,2.0,,,3.0,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12,855289,2016-11-19 17:30:00,"White Hart Lane, London",31212,Away,West Ham United,Tottenham Hotspur,2,3,L,1,0,1,0,,,68.0,,1.0,2.0,35.0,39.0,4.0,3.0,7.0,3.0,,,132.0,3.0,20.0,2.0,2.0,8.0,3.0,45.0,132.0,68.0,1.0,11.0,3.0,12.0,1.0,,,1.0,15.0,19.0,,39.0,4.0,10.0,28.0,109.0,0.0,90.0,16.0,3.0,,,1.0,61.0,23.0,6.0,53.0,2.0,,11.0,13.0,4.0,1.0,4.0,1.0,132.0,,8.0,64.0,525.0,6.0,5.0,19.0,23.0,194.0,32.0,14.0,23.0,,2.0,2.0,2.0,18.0,269.0,44.0,86934,6.0,106.0,7.0,,1.0,127.0,11.0,13.0,6.0,56.0,,6.0,2.0,9.0,6.0,3.0,82.0,212.0,13.0,14.0,1.0,40.0,5.0,72.0,0.0,5.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,33.1,16.0,,1.0,2.0,5.0,30.0,5.0,1.0,1.0,294.0,1.0,23.0,8.0,15.0,3.0,17.0,3.0,1.0,182.0,6.0,9.0,13.0,56.0,30.0,6.0,23.0,22.0,3.0,4.0,3.0,27.0,1.0,6.0,8.0,5.0,2.0,1.0,,,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,2.0,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
13,855298,2016-11-27 16:30:00,"Old Trafford, Manchester",75313,Away,West Ham United,Manchester United,1,1,D,1,1,0,0,,,59.0,,2.0,,35.0,38.0,2.0,2.0,3.0,7.0,,1.0,119.0,6.0,12.0,1.0,4.0,5.0,2.0,54.0,132.0,52.0,1.0,6.0,,25.0,1.0,1.0,,1.0,18.0,15.0,,38.0,4.0,13.0,19.0,113.0,0.0,81.0,16.0,5.0,,2.0,3.0,39.0,44.0,2.0,44.0,1.0,1.0,14.0,13.0,3.0,1.0,2.0,3.0,132.0,,13.0,61.0,474.0,3.0,4.0,17.0,12.0,173.0,26.0,10.0,13.0,1.0,1.0,2.0,3.0,18.0,237.0,42.0,86934,2.0,84.0,10.0,,,109.0,6.0,13.0,14.0,64.0,,2.0,3.0,9.0,4.0,4.0,79.0,191.0,14.0,9.0,1.0,33.0,1.0,69.0,0.0,2.0,8.0,5.0,1.0,1.0,2.0,0.0,2.0,31.6,14.0,1.0,2.0,3.0,,28.0,4.0,,3.0,278.0,,12.0,14.0,8.0,4.0,18.0,3.0,1.0,187.0,2.0,13.0,10.0,55.0,19.0,6.0,13.0,16.0,1.0,3.0,3.0,14.0,,6.0,6.0,4.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,2.0,,,3.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,2.0,,,,,,,2.0,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,
14,855311,2016-12-03 17:30:00,"London Stadium, London",56980,Home,West Ham United,Arsenal,1,5,L,0,1,0,0,2.0,1.0,67.0,,1.0,1.0,24.0,28.0,4.0,3.0,6.0,5.0,,,164.0,3.0,4.0,1.0,3.0,8.0,3.0,129.0,146.0,36.0,1.0,10.0,1.0,20.0,2.0,1.0,,1.0,17.0,9.0,,28.0,3.0,14.0,45.0,258.0,0.0,158.0,10.0,4.0,1.0,,,95.0,71.0,4.0,70.0,3.0,,14.0,18.0,4.0,1.0,8.0,2.0,146.0,1.0,14.0,128.0,667.0,8.0,2.0,17.0,18.0,375.0,26.0,1.0,14.0,1.0,3.0,3.0,4.0,20.0,461.0,64.0,86934,4.0,138.0,6.0,,,161.0,5.0,18.0,8.0,61.0,,,2.0,9.0,5.0,2.0,66.0,393.0,10.0,16.0,,22.0,,87.0,0.0,2.0,2.0,4.0,1.0,5.0,,0.0,3.0,50.5,14.0,1.0,4.0,2.0,2.0,44.0,3.0,,,491.0,,18.0,9.0,23.0,5.0,26.0,,2.0,347.0,4.0,13.0,10.0,111.0,29.0,1.0,14.0,12.0,3.0,8.0,3.0,12.0,1.0,1.0,10.0,3.0,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,2.0,,,3.0,,1.0,3.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
15,855317,2016-12-11 16:30:00,"Anfield, Liverpool",53068,Away,West Ham United,Liverpool,2,2,D,2,1,0,0,,1.0,62.0,,1.0,,34.0,50.0,4.0,2.0,3.0,1.0,,1.0,147.0,1.0,4.0,2.0,2.0,4.0,3.0,57.0,151.0,44.0,1.0,8.0,1.0,19.0,1.0,2.0,,1.0,15.0,8.0,,50.0,4.0,3.0,26.0,105.0,0.0,91.0,8.0,1.0,,,5.0,60.0,37.0,2.0,45.0,2.0,1.0,11.0,11.0,5.0,1.0,4.0,3.0,151.0,,16.0,54.0,503.0,3.0,11.0,4.0,22.0,176.0,30.0,6.0,27.0,2.0,0.0,9.0,2.0,23.0,272.0,50.0,86934,2.0,91.0,7.0,,,119.0,4.0,11.0,12.0,43.0,,2.0,5.0,11.0,3.0,7.0,82.0,195.0,7.0,7.0,1.0,30.0,1.0,82.0,0.0,,11.0,,1.0,2.0,3.0,0.0,,32.9,17.0,,5.0,5.0,1.0,30.0,4.0,,6.0,303.0,,22.0,6.0,7.0,4.0,22.0,,1.0,199.0,5.0,2.0,22.0,48.0,14.0,6.0,27.0,11.0,2.0,5.0,2.0,8.0,1.0,6.0,5.0,4.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,1.0,,,,,2.0,1.0,,,,,,,2.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
16,855327,2016-12-14 19:45:00,"London Stadium, London",56990,Home,West Ham United,Burnley,1,0,W,1,0,0,0,,1.0,59.0,,1.0,2.0,42.0,29.0,10.0,6.0,10.0,2.0,,3.0,165.0,7.0,6.0,1.0,2.0,15.0,7.0,108.0,127.0,56.0,,20.0,1.0,27.0,3.0,2.0,1.0,2.0,16.0,5.0,3.0,29.0,3.0,11.0,40.0,206.0,0.0,146.0,12.0,2.0,1.0,,1.0,60.0,63.0,6.0,68.0,2.0,3.0,13.0,14.0,10.0,,5.0,4.0,127.0,1.0,3.0,99.0,610.0,11.0,9.0,20.0,8.0,333.0,19.0,13.0,16.0,2.0,0.0,2.0,9.0,16.0,411.0,66.0,86934,6.0,153.0,8.0,,,173.0,2.0,14.0,4.0,48.0,,,6.0,12.0,5.0,4.0,80.0,352.0,15.0,3.0,4.0,35.0,5.0,89.0,0.0,1.0,1.0,1.0,1.0,,2.0,0.0,4.0,58.4,10.0,2.0,1.0,6.0,3.0,56.0,6.0,,1.0,440.0,,8.0,5.0,19.0,10.0,27.0,3.0,4.0,283.0,9.0,11.0,31.0,98.0,24.0,3.0,16.0,7.0,,12.0,3.0,12.0,,3.0,6.0,6.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,2.0,,,,2.0,,1.0,4.0,,2.0,,,1.0,3.0,1.0,,,1.0,,1.0,2.0,1.0,,1.0,2.0,,1.0,,,,2.0,,,,,,,,,,,,2.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,
17,855341,2016-12-17 15:00:00,"London Stadium, London",56952,Home,West Ham United,Hull City,1,0,W,0,0,0,0,,1.0,52.0,1.0,1.0,3.0,31.0,38.0,9.0,5.0,10.0,4.0,,4.0,144.0,6.0,9.0,1.0,6.0,13.0,6.0,106.0,125.0,46.0,3.0,19.0,6.0,21.0,3.0,,2.0,1.0,23.0,5.0,2.0,38.0,10.0,15.0,26.0,200.0,0.0,123.0,13.0,3.0,,1.0,1.0,40.0,82.0,10.0,59.0,2.0,2.0,13.0,10.0,9.0,3.0,5.0,1.0,125.0,,11.0,110.0,624.0,8.0,12.0,18.0,21.0,333.0,30.0,10.0,25.0,,2.0,4.0,3.0,15.0,394.0,57.0,86934,7.0,150.0,7.0,,,165.0,3.0,10.0,10.0,56.0,,1.0,3.0,7.0,5.0,5.0,73.0,344.0,8.0,5.0,5.0,36.0,7.0,82.0,0.0,2.0,6.0,4.0,1.0,,3.0,0.0,5.0,56.3,12.0,3.0,1.0,3.0,9.0,50.0,10.0,,1.0,419.0,,21.0,9.0,15.0,4.0,28.0,5.0,3.0,277.0,9.0,15.0,22.0,86.0,16.0,3.0,25.0,7.0,,8.0,3.0,20.0,,3.0,7.0,10.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,,2.0,,,,,,
18,855350,2016-12-26 15:00:00,"Swansea.com Stadium, Swansea",20757,Away,West Ham United,Swansea City,4,1,W,1,0,0,0,,,58.0,1.0,3.0,2.0,44.0,37.0,3.0,5.0,11.0,6.0,2.0,2.0,156.0,4.0,11.0,4.0,1.0,12.0,7.0,82.0,133.0,69.0,,14.0,1.0,16.0,2.0,,2.0,1.0,15.0,12.0,1.0,37.0,4.0,19.0,36.0,160.0,0.0,90.0,12.0,4.0,,1.0,1.0,80.0,31.0,9.0,77.0,1.0,2.0,11.0,22.0,3.0,,3.0,1.0,133.0,,10.0,93.0,604.0,9.0,14.0,21.0,10.0,297.0,26.0,14.0,21.0,,0.0,1.0,3.0,18.0,381.0,49.0,60706,4.0,162.0,7.0,,,180.0,7.0,22.0,11.0,50.0,1.0,1.0,1.0,10.0,4.0,7.0,83.0,318.0,9.0,6.0,,40.0,1.0,77.0,0.0,,8.0,3.0,4.0,1.0,7.0,0.0,2.0,43.8,14.0,1.0,,1.0,3.0,43.0,4.0,,1.0,408.0,,10.0,9.0,24.0,4.0,18.0,2.0,3.0,243.0,7.0,16.0,31.0,62.0,26.0,4.0,21.0,20.0,1.0,13.0,3.0,19.0,,4.0,17.0,4.0,4.0,1.0,2.0,,,,2.0,,,,,2.0,4.0,,3.0,,1.0,,,,3.0,,,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
19,855356,2016-12-31 15:00:00,"King Power Stadium, Leicester",32060,Away,West Ham United,Leicester City,0,1,L,0,1,0,0,,,60.0,,1.0,3.0,43.0,21.0,13.0,8.0,11.0,4.0,,4.0,180.0,7.0,8.0,,6.0,11.0,5.0,120.0,170.0,68.0,3.0,24.0,6.0,19.0,2.0,1.0,1.0,3.0,29.0,7.0,3.0,21.0,7.0,8.0,42.0,188.0,0.0,124.0,8.0,2.0,2.0,4.0,2.0,60.0,58.0,4.0,61.0,3.0,2.0,22.0,15.0,13.0,3.0,7.0,4.0,170.0,,9.0,120.0,682.0,9.0,22.0,25.0,7.0,352.0,31.0,13.0,13.0,1.0,3.0,2.0,7.0,25.0,462.0,53.0,86934,7.0,187.0,11.0,1.0,,221.0,3.0,15.0,9.0,51.0,,2.0,5.0,11.0,3.0,6.0,69.0,368.0,10.0,9.0,2.0,25.0,3.0,86.0,0.0,2.0,7.0,2.0,,1.0,6.0,0.0,5.0,60.3,20.0,4.0,2.0,5.0,9.0,55.0,7.0,,2.0,481.0,,7.0,12.0,22.0,10.0,40.0,2.0,5.0,289.0,11.0,6.0,40.0,81.0,21.0,3.0,13.0,10.0,1.0,15.0,3.0,11.0,,3.0,4.0,7.0,,,,,,,,,,,,,,,,,2.0,3.0,2.0,,,4.0,,,5.0,,1.0,,,,2.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,
20,855371,2017-01-02 17:15:00,"London Stadium, London",56996,Home,West Ham United,Manchester United,0,2,L,0,0,1,0,,1.0,60.0,,,1.0,25.0,18.0,5.0,,3.0,4.0,,2.0,163.0,3.0,13.0,,3.0,7.0,2.0,77.0,137.0,46.0,,8.0,,8.0,1.0,,1.0,3.0,12.0,9.0,1.0,18.0,2.0,11.0,33.0,136.0,0.0,101.0,9.0,4.0,,2.0,1.0,46.0,53.0,3.0,59.0,1.0,2.0,10.0,16.0,5.0,,4.0,4.0,137.0,2.0,8.0,97.0,569.0,6.0,7.0,11.0,12.0,291.0,36.0,13.0,9.0,,2.0,2.0,4.0,18.0,366.0,46.0,86934,2.0,176.0,4.0,,,203.0,7.0,16.0,8.0,40.0,,,6.0,17.0,5.0,1.0,52.0,309.0,13.0,6.0,1.0,25.0,1.0,60.0,0.0,2.0,1.0,4.0,,2.0,4.0,1.0,2.0,36.2,14.0,1.0,1.0,6.0,1.0,32.0,2.0,,1.0,396.0,,12.0,10.0,16.0,5.0,19.0,,1.0,205.0,6.0,10.0,8.0,65.0,14.0,2.0,9.0,13.0,2.0,6.0,3.0,21.0,1.0,2.0,6.0,2.0,,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,855381,2017-01-14 15:00:00,"London Stadium, London",56984,Home,West Ham United,Crystal Palace,3,0,W,0,0,0,0,,1.0,55.0,1.0,1.0,1.0,40.0,28.0,6.0,5.0,8.0,1.0,1.0,,110.0,6.0,13.0,3.0,4.0,10.0,3.0,93.0,135.0,65.0,1.0,14.0,3.0,20.0,,,,2.0,15.0,12.0,,28.0,2.0,10.0,45.0,146.0,0.0,106.0,10.0,2.0,,1.0,1.0,65.0,43.0,6.0,45.0,,,13.0,14.0,6.0,1.0,3.0,3.0,135.0,,3.0,94.0,540.0,5.0,9.0,19.0,6.0,238.0,24.0,9.0,20.0,,4.0,3.0,4.0,28.0,318.0,51.0,86934,2.0,114.0,9.0,,,135.0,7.0,14.0,7.0,49.0,,1.0,3.0,12.0,7.0,4.0,68.0,254.0,13.0,4.0,2.0,20.0,,67.0,0.0,1.0,2.0,,3.0,,3.0,0.0,1.0,44.1,21.0,,2.0,3.0,4.0,32.0,2.0,,1.0,342.0,,6.0,8.0,27.0,7.0,23.0,1.0,4.0,222.0,8.0,10.0,20.0,73.0,21.0,5.0,20.0,19.0,,10.0,3.0,22.0,,5.0,6.0,2.0,2.0,1.0,,,1.0,2.0,3.0,1.0,,1.0,2.0,,2.0,2.0,3.0,1.0,,2.0,1.0,2.0,3.0,3.0,1.0,,5.0,3.0,3.0,,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,3.0,,,,,1.0,,,,,,,,,,,1.0,,,,
22,855388,2017-01-21 15:00:00,"Riverside Stadium, Middlesbrough",30848,Away,West Ham United,Middlesbrough,3,1,W,2,1,0,0,,1.0,63.0,1.0,,1.0,33.0,49.0,4.0,1.0,9.0,1.0,1.0,2.0,125.0,5.0,6.0,3.0,1.0,11.0,5.0,73.0,130.0,54.0,,13.0,2.0,21.0,1.0,,1.0,2.0,12.0,15.0,1.0,49.0,4.0,10.0,39.0,139.0,0.0,113.0,14.0,1.0,1.0,,1.0,53.0,29.0,7.0,60.0,1.0,1.0,8.0,14.0,4.0,,,1.0,130.0,,7.0,80.0,541.0,9.0,9.0,20.0,13.0,239.0,31.0,4.0,28.0,,1.0,4.0,4.0,17.0,313.0,62.0,86934,5.0,121.0,8.0,,,139.0,6.0,14.0,8.0,64.0,,,3.0,14.0,4.0,4.0,73.0,255.0,7.0,13.0,,18.0,2.0,74.0,0.0,,7.0,1.0,3.0,1.0,3.0,0.0,2.0,38.5,10.0,1.0,2.0,3.0,3.0,34.0,5.0,,1.0,338.0,,13.0,10.0,22.0,5.0,21.0,2.0,4.0,211.0,10.0,9.0,23.0,75.0,21.0,5.0,28.0,18.0,1.0,11.0,3.0,15.0,,5.0,8.0,5.0,2.0,1.0,,,1.0,1.0,1.0,,,,2.0,,4.0,,2.0,3.0,3.0,,4.0,,2.0,1.0,1.0,2.0,3.0,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,
23,855399,2017-02-01 19:45:00,"London Stadium, London",56980,Home,West Ham United,Manchester City,0,4,L,0,3,0,0,,1.0,60.0,,,,25.0,24.0,5.0,3.0,1.0,,,1.0,108.0,4.0,9.0,,3.0,3.0,1.0,70.0,116.0,50.0,2.0,6.0,4.0,14.0,,,1.0,,11.0,11.0,1.0,24.0,2.0,12.0,26.0,109.0,0.0,85.0,11.0,,,1.0,,41.0,39.0,2.0,51.0,2.0,,9.0,13.0,5.0,2.0,1.0,,116.0,1.0,7.0,52.0,444.0,3.0,6.0,9.0,23.0,195.0,26.0,8.0,14.0,,3.0,2.0,1.0,15.0,256.0,46.0,86934,,106.0,7.0,,1.0,119.0,9.0,13.0,5.0,52.0,,6.0,,10.0,4.0,4.0,59.0,211.0,14.0,14.0,,28.0,1.0,62.0,0.0,1.0,4.0,,,4.0,1.0,0.0,,29.7,7.0,,5.0,,4.0,32.0,2.0,1.0,,281.0,1.0,23.0,9.0,14.0,1.0,18.0,,1.0,173.0,3.0,12.0,16.0,49.0,26.0,1.0,14.0,13.0,4.0,3.0,3.0,14.0,1.0,1.0,8.0,2.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,,,1.0,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,855408,2017-02-04 15:00:00,"St. Mary's Stadium, Southampton",31891,Away,West Ham United,Southampton,3,1,W,2,1,0,0,,,68.0,,3.0,,43.0,26.0,3.0,1.0,2.0,6.0,,,167.0,3.0,5.0,3.0,2.0,4.0,4.0,74.0,141.0,55.0,1.0,6.0,1.0,14.0,1.0,,1.0,1.0,13.0,10.0,,26.0,2.0,12.0,30.0,159.0,0.0,99.0,15.0,4.0,,1.0,1.0,57.0,58.0,3.0,70.0,1.0,,11.0,20.0,4.0,1.0,5.0,1.0,141.0,,13.0,83.0,561.0,3.0,10.0,6.0,11.0,278.0,25.0,7.0,14.0,,2.0,3.0,1.0,15.0,365.0,69.0,86934,1.0,141.0,5.0,,,163.0,10.0,20.0,13.0,54.0,,3.0,2.0,9.0,8.0,8.0,76.0,297.0,12.0,10.0,,23.0,1.0,87.0,0.0,2.0,3.0,3.0,1.0,1.0,5.0,0.0,,44.9,10.0,,1.0,2.0,1.0,57.0,2.0,,1.0,394.0,,11.0,8.0,21.0,1.0,15.0,,,244.0,5.0,7.0,24.0,55.0,33.0,2.0,14.0,15.0,1.0,4.0,3.0,12.0,,2.0,10.0,2.0,1.0,2.0,,,,,1.0,1.0,,,,2.0,1.0,,1.0,2.0,,,2.0,,1.0,,,,3.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,3.0,1.0,,,,,1.0,,3.0,,,,1.0,,,2.0,,,,1.0,,,1.0,,,,,,,1.0,,,
25,855421,2017-02-11 15:00:00,"London Stadium, London",56983,Home,West Ham United,West Bromwich Albion,2,2,D,0,1,0,0,,,62.0,,,3.0,37.0,19.0,9.0,7.0,7.0,1.0,2.0,2.0,181.0,8.0,10.0,2.0,3.0,12.0,4.0,136.0,149.0,48.0,1.0,16.0,5.0,15.0,1.0,,,2.0,28.0,6.0,1.0,19.0,6.0,19.0,45.0,246.0,0.0,166.0,7.0,,1.0,2.0,,80.0,79.0,10.0,83.0,,2.0,22.0,19.0,9.0,1.0,5.0,2.0,149.0,4.0,7.0,135.0,731.0,10.0,4.0,34.0,7.0,428.0,27.0,7.0,13.0,,3.0,1.0,2.0,20.0,515.0,68.0,86934,2.0,207.0,15.0,3.0,,225.0,5.0,19.0,3.0,50.0,,3.0,6.0,15.0,1.0,,72.0,445.0,13.0,11.0,1.0,23.0,1.0,82.0,0.0,2.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0,65.4,18.0,,1.0,6.0,8.0,54.0,7.0,,,535.0,,7.0,10.0,24.0,4.0,37.0,2.0,2.0,338.0,7.0,16.0,14.0,115.0,27.0,1.0,13.0,11.0,2.0,13.0,3.0,17.0,1.0,1.0,15.0,7.0,1.0,1.0,,,,1.0,1.0,,,,,2.0,,,1.0,,,1.0,,,2.0,,,1.0,6.0,,1.0,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
26,855430,2017-02-25 17:30:00,"Vicarage Road, Watford",20702,Away,West Ham United,Watford,1,1,D,0,1,1,0,,1.0,65.0,1.0,,2.0,41.0,31.0,6.0,6.0,6.0,,1.0,,193.0,3.0,14.0,1.0,4.0,9.0,2.0,100.0,149.0,68.0,1.0,13.0,2.0,31.0,1.0,,,,28.0,12.0,,31.0,5.0,7.0,36.0,168.0,0.0,120.0,14.0,,,3.0,,59.0,73.0,5.0,64.0,,2.0,23.0,12.0,7.0,1.0,5.0,5.0,149.0,1.0,5.0,106.0,675.0,9.0,8.0,18.0,12.0,350.0,23.0,6.0,23.0,,1.0,5.0,4.0,25.0,435.0,52.0,86934,5.0,205.0,15.0,1.0,1.0,235.0,7.0,12.0,8.0,63.0,,2.0,2.0,14.0,4.0,3.0,82.0,370.0,18.0,7.0,,28.0,2.0,84.0,0.0,,4.0,,1.0,1.0,4.0,1.0,2.0,64.4,23.0,1.0,6.0,2.0,4.0,47.0,6.0,1.0,,463.0,1.0,12.0,10.0,19.0,7.0,30.0,1.0,1.0,256.0,5.0,7.0,22.0,83.0,32.0,2.0,23.0,14.0,1.0,9.0,2.0,17.0,,2.0,6.0,6.0,1.0,,1.0,,2.0,,,,1.0,,2.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,2.0,,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,
