gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowRight,attLfGoal,accuratePullBack,attBxRight,accurateKeeperSweeper,attMissLeft,interceptionsInBox,attMissRight,attHdTarget,totalKeeperSweeper,sixYardBlock,totalPullBack,defenderGoals,attAssistSetplay,attSvLowRight,attBxLeft,attCmissRight,penaltyWon,contentiousDecision,accurateFreekickCross,attPenGoal,attGoalHighLeft,ptsDroppedWinningPos,errorLeadToGoal,shotFastbreak,attOneOnOne,totalFastbreak,attFastbreak,attSvHighCentre,secondYellow,attMissHighLeft,ptsGainedLosingPos,attCmissLeft,attFreekickMiss,attSvHighLeft,attMissHighRight,attLgCentre,attGoalHighRight,midfielderGoals,attGoalHighCentre,attGoalLowLeft,cleanSheet,clearanceOffLine,attSvHighRight,hitWoodwork,attOboxGoal,attCmissHighLeft,attCmissHighRight,postScoringAtt,attPostLeft,attOboxPost,attObxLeft,attObxdLeft,goalAssistSetplay,goalAssistDeadball,attHdGoal
28,855450,2017-04-26 19:45:00,"Riverside Stadium, Middlesbrough",30742,Away,Sunderland,Middlesbrough,0,1,L,0,1,0,0,1.0,2.0,,67.0,,1.0,44.0,23.0,6.0,3.0,4.0,1.0,1.0,171.0,,6.0,9.0,,2.0,8.0,4.0,94.0,167.0,77.0,1.0,10.0,1.0,28.0,2.0,,1.0,19.0,11.0,2.0,23.0,5.0,14.0,45.0,181.0,0.0,155.0,11.0,1.0,,1.0,1.0,62.0,47.0,5.0,61.0,14.0,16.0,6.0,1.0,6.0,3.0,167.0,,2.0,90.0,609.0,7.0,14.0,15.0,17.0,286.0,20.0,12.0,14.0,,3.0,1.0,3.0,19.0,390.0,75.0,1.0,,7958,3.0,127.0,,7.0,1.0,,148.0,7.0,,16.0,7.0,55.0,1.0,,2.0,6.0,3.0,,17.0,4.0,5.0,2.0,82.0,302.0,14.0,5.0,27.0,2.0,80.0,,0.0,1.0,3.0,3.0,1.0,,1.0,9.0,0.0,5.0,,1.0,2.0,51.1,18.0,1.0,4.0,3.0,2.0,43.0,5.0,,1.0,416.0,,17.0,9.0,21.0,4.0,39.0,1.0,1.0,287.0,5.0,14.0,39.0,93.0,37.0,,4.0,,14.0,15.0,1.0,6.0,3.0,13.0,4.0,10.0,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,
29,855458,2017-03-18 15:00:00,"Stadium of Light, Sunderland",41518,Home,Sunderland,Burnley,0,0,D,0,0,0,0,1.0,2.0,,64.0,1.0,1.0,27.0,51.0,7.0,4.0,7.0,3.0,2.0,141.0,,7.0,4.0,,,11.0,5.0,57.0,148.0,50.0,,14.0,1.0,31.0,4.0,,2.0,19.0,12.0,1.0,51.0,2.0,6.0,26.0,102.0,0.0,101.0,14.0,1.0,1.0,1.0,2.0,48.0,50.0,7.0,39.0,17.0,7.0,7.0,,6.0,5.0,148.0,2.0,9.0,60.0,487.0,9.0,8.0,15.0,10.0,170.0,24.0,7.0,31.0,,3.0,6.0,4.0,19.0,262.0,68.0,,1.0,80935,4.0,91.0,2.0,10.0,2.0,,114.0,9.0,,7.0,15.0,59.0,1.0,,2.0,,4.0,,13.0,7.0,7.0,1.0,85.0,186.0,7.0,7.0,41.0,2.0,88.0,1.0,0.0,,1.0,5.0,2.0,,,3.0,0.0,7.0,,,2.0,44.0,17.0,1.0,3.0,4.0,2.0,31.0,3.0,,2.0,297.0,,10.0,5.0,11.0,7.0,26.0,,2.0,202.0,8.0,6.0,24.0,49.0,18.0,,2.0,,31.0,15.0,,10.0,2.0,8.0,2.0,2.0,3.0,,,,,,,1.0,,3.0,1.0,,,,,2.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
30,855471,2017-04-01 15:00:00,"Vicarage Road, Watford",20805,Away,Sunderland,Watford,0,1,L,0,0,0,0,,1.0,,44.0,1.0,2.0,26.0,34.0,8.0,4.0,3.0,9.0,2.0,132.0,,3.0,3.0,,2.0,9.0,3.0,60.0,151.0,47.0,1.0,11.0,4.0,28.0,1.0,,2.0,26.0,7.0,2.0,34.0,8.0,10.0,24.0,124.0,0.0,122.0,8.0,5.0,,1.0,1.0,43.0,55.0,8.0,52.0,19.0,15.0,8.0,1.0,9.0,2.0,151.0,,15.0,58.0,498.0,9.0,10.0,11.0,5.0,190.0,13.0,9.0,20.0,,3.0,8.0,1.0,28.0,267.0,62.0,,,80935,2.0,87.0,,9.0,1.0,,102.0,3.0,,15.0,11.0,63.0,,,2.0,,2.0,,11.0,8.0,5.0,,63.0,208.0,12.0,8.0,26.0,,71.0,1.0,0.0,,1.0,13.0,8.0,,1.0,3.0,0.0,2.0,,,,43.3,25.0,,2.0,2.0,6.0,35.0,9.0,,1.0,302.0,,5.0,10.0,11.0,2.0,41.0,1.0,,226.0,7.0,9.0,23.0,66.0,16.0,,7.0,,20.0,9.0,1.0,9.0,2.0,12.0,7.0,5.0,9.0,,,,,,1.0,,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,855475,2017-04-04 19:45:00,"King Power Stadium, Leicester",31757,Away,Sunderland,Leicester City,0,2,L,0,0,0,0,1.0,,,62.0,2.0,3.0,35.0,27.0,6.0,3.0,9.0,6.0,3.0,148.0,,4.0,2.0,,4.0,10.0,3.0,67.0,152.0,55.0,1.0,15.0,1.0,23.0,2.0,,1.0,22.0,13.0,1.0,27.0,6.0,16.0,27.0,127.0,0.0,120.0,13.0,4.0,,3.0,2.0,74.0,61.0,4.0,53.0,16.0,21.0,6.0,1.0,11.0,4.0,152.0,,11.0,60.0,528.0,7.0,10.0,13.0,14.0,208.0,27.0,12.0,18.0,,1.0,6.0,6.0,28.0,298.0,64.0,,,80935,6.0,100.0,,2.0,2.0,,119.0,6.0,,21.0,9.0,50.0,,,,3.0,2.0,,8.0,8.0,3.0,2.0,80.0,223.0,11.0,4.0,32.0,2.0,87.0,1.0,0.0,,1.0,5.0,4.0,,2.0,4.0,0.0,2.0,,,2.0,45.3,22.0,2.0,1.0,2.0,4.0,37.0,6.0,,2.0,328.0,,14.0,9.0,11.0,8.0,28.0,2.0,4.0,231.0,10.0,11.0,24.0,68.0,22.0,,3.0,,18.0,18.0,2.0,10.0,3.0,4.0,3.0,7.0,6.0,,,,,,,2.0,,1.0,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,2.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,
32,855488,2017-04-09 13:30:00,"Stadium of Light, Sunderland",43779,Home,Sunderland,Manchester United,0,3,L,0,1,1,0,,2.0,,57.0,5.0,1.0,26.0,24.0,6.0,4.0,3.0,6.0,2.0,112.0,,3.0,11.0,,5.0,6.0,4.0,50.0,121.0,59.0,2.0,9.0,1.0,19.0,1.0,,2.0,15.0,12.0,3.0,24.0,4.0,6.0,25.0,80.0,0.0,88.0,14.0,3.0,1.0,2.0,,38.0,25.0,3.0,36.0,11.0,17.0,6.0,2.0,6.0,2.0,121.0,1.0,6.0,39.0,426.0,6.0,11.0,14.0,23.0,137.0,27.0,7.0,9.0,,1.0,4.0,3.0,17.0,198.0,54.0,,,80935,,81.0,1.0,3.0,,,90.0,8.0,,17.0,7.0,56.0,,,,2.0,2.0,,9.0,12.0,3.0,2.0,67.0,158.0,20.0,12.0,31.0,,66.0,,0.0,2.0,,5.0,1.0,,3.0,,1.0,2.0,,,,29.7,10.0,,1.0,3.0,2.0,26.0,4.0,,,237.0,,23.0,9.0,15.0,3.0,29.0,1.0,1.0,162.0,5.0,5.0,12.0,40.0,13.0,,4.0,,9.0,16.0,2.0,7.0,2.0,13.0,4.0,9.0,4.0,1.0,,,1.0,,,1.0,3.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
33,855498,2017-04-15 15:00:00,"Stadium of Light, Sunderland",40168,Home,Sunderland,West Ham United,2,2,D,1,1,0,1,,,,62.0,1.0,3.0,42.0,21.0,5.0,5.0,7.0,1.0,1.0,150.0,,2.0,7.0,2.0,5.0,8.0,4.0,75.0,131.0,44.0,2.0,14.0,1.0,14.0,1.0,,1.0,18.0,14.0,1.0,21.0,6.0,11.0,43.0,176.0,0.0,133.0,14.0,1.0,1.0,1.0,1.0,77.0,46.0,5.0,57.0,12.0,17.0,7.0,2.0,3.0,4.0,131.0,1.0,4.0,85.0,545.0,6.0,4.0,23.0,11.0,273.0,27.0,12.0,10.0,,1.0,2.0,3.0,23.0,349.0,70.0,,,80935,5.0,111.0,1.0,8.0,2.0,,125.0,9.0,2.0,17.0,5.0,49.0,1.0,,2.0,2.0,,1.0,16.0,3.0,3.0,3.0,73.0,285.0,10.0,9.0,31.0,1.0,63.0,,0.0,,2.0,1.0,,1.0,2.0,1.0,0.0,1.0,,,1.0,47.6,22.0,,4.0,,4.0,38.0,7.0,,1.0,367.0,,11.0,8.0,30.0,6.0,32.0,1.0,2.0,260.0,8.0,11.0,10.0,87.0,26.0,1.0,,,10.0,17.0,2.0,9.0,3.0,11.0,,11.0,7.0,,1.0,,,1.0,,,,2.0,1.0,,1.0,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,
34,855503,2017-05-16 19:45:00,"Emirates Stadium, London",59510,Away,Sunderland,Arsenal,0,2,L,0,0,0,0,,2.0,,49.0,1.0,,23.0,32.0,3.0,4.0,3.0,11.0,,121.0,,2.0,9.0,,5.0,4.0,2.0,76.0,109.0,41.0,,6.0,2.0,18.0,2.0,,,10.0,10.0,,32.0,3.0,6.0,17.0,122.0,0.0,90.0,10.0,8.0,1.0,2.0,,44.0,60.0,4.0,65.0,8.0,13.0,3.0,,2.0,1.0,109.0,,24.0,74.0,508.0,4.0,4.0,11.0,10.0,235.0,24.0,8.0,10.0,,2.0,12.0,,9.0,298.0,43.0,,,7958,1.0,131.0,,4.0,,,146.0,9.0,,13.0,11.0,46.0,,,1.0,3.0,2.0,,4.0,12.0,,,73.0,251.0,11.0,9.0,27.0,,67.0,2.0,0.0,,,17.0,10.0,,2.0,2.0,0.0,2.0,,,,37.5,9.0,,,2.0,2.0,22.0,3.0,,,336.0,,10.0,5.0,5.0,2.0,22.0,,1.0,200.0,2.0,6.0,7.0,51.0,12.0,,5.0,,10.0,15.0,2.0,6.0,3.0,13.0,5.0,7.0,3.0,,,,,,,1.0,4.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,855518,2017-04-29 15:00:00,"Stadium of Light, Sunderland",38394,Home,Sunderland,Bournemouth,0,1,L,0,0,0,0,,1.0,,64.0,3.0,2.0,25.0,20.0,7.0,5.0,10.0,5.0,4.0,139.0,,1.0,8.0,,2.0,11.0,5.0,66.0,142.0,63.0,,17.0,1.0,16.0,3.0,,1.0,20.0,19.0,2.0,20.0,5.0,7.0,33.0,142.0,0.0,140.0,13.0,1.0,2.0,1.0,,50.0,33.0,5.0,55.0,15.0,13.0,7.0,,6.0,4.0,142.0,2.0,11.0,78.0,541.0,11.0,12.0,28.0,17.0,236.0,26.0,5.0,7.0,,3.0,5.0,6.0,19.0,308.0,61.0,,,80935,3.0,112.0,2.0,8.0,1.0,,126.0,7.0,,13.0,6.0,51.0,,,,4.0,3.0,,15.0,4.0,2.0,3.0,62.0,253.0,8.0,9.0,20.0,4.0,71.0,,0.0,,1.0,5.0,3.0,,1.0,3.0,0.0,1.0,,1.0,1.0,40.9,16.0,1.0,4.0,3.0,3.0,33.0,6.0,,,338.0,,17.0,12.0,18.0,9.0,35.0,,5.0,232.0,11.0,6.0,20.0,93.0,19.0,,4.0,,7.0,27.0,1.0,12.0,1.0,11.0,4.0,9.0,6.0,,,,,3.0,,,2.0,4.0,,,,,,,,3.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,2.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,
36,855526,2017-05-06 15:00:00,"The MKM Stadium, Hull",22480,Away,Sunderland,Hull City,2,0,W,0,0,0,0,1.0,,2.0,62.0,2.0,,35.0,27.0,3.0,2.0,8.0,5.0,3.0,144.0,1.0,5.0,10.0,2.0,4.0,9.0,5.0,64.0,138.0,56.0,1.0,12.0,1.0,8.0,2.0,,1.0,15.0,11.0,1.0,27.0,4.0,11.0,16.0,148.0,0.0,130.0,8.0,3.0,1.0,3.0,2.0,56.0,44.0,3.0,49.0,11.0,15.0,4.0,1.0,4.0,2.0,138.0,4.0,8.0,60.0,502.0,6.0,6.0,23.0,13.0,200.0,27.0,6.0,13.0,2.0,1.0,6.0,6.0,20.0,280.0,63.0,,,80935,4.0,77.0,2.0,4.0,2.0,,97.0,3.0,1.0,15.0,17.0,32.0,1.0,,1.0,4.0,1.0,,9.0,8.0,9.0,2.0,75.0,220.0,10.0,4.0,27.0,2.0,84.0,3.0,0.0,1.0,1.0,7.0,4.0,2.0,,3.0,0.0,3.0,2.0,1.0,3.0,40.5,16.0,2.0,1.0,1.0,1.0,38.0,4.0,,2.0,317.0,,13.0,7.0,6.0,6.0,28.0,2.0,4.0,235.0,7.0,10.0,20.0,81.0,19.0,1.0,7.0,,13.0,16.0,,7.0,1.0,16.0,7.0,4.0,4.0,,,,,1.0,,2.0,3.0,2.0,,,,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,2.0,1.0,1.0
37,855538,2017-05-13 15:00:00,"Stadium of Light, Sunderland",38781,Home,Sunderland,Swansea City,0,2,L,0,2,0,0,2.0,,,53.0,1.0,2.0,37.0,18.0,3.0,,9.0,1.0,4.0,144.0,,5.0,8.0,,2.0,8.0,4.0,112.0,132.0,43.0,2.0,13.0,1.0,16.0,2.0,,3.0,22.0,16.0,2.0,18.0,7.0,17.0,37.0,198.0,0.0,136.0,13.0,,,,,87.0,54.0,4.0,76.0,15.0,12.0,4.0,2.0,6.0,1.0,132.0,,2.0,109.0,621.0,6.0,,16.0,10.0,356.0,21.0,4.0,12.0,,4.0,,4.0,26.0,427.0,72.0,,,80935,3.0,171.0,1.0,9.0,1.0,,189.0,8.0,,12.0,2.0,45.0,,,1.0,2.0,5.0,,13.0,1.0,1.0,,70.0,364.0,5.0,2.0,24.0,3.0,72.0,1.0,0.0,1.0,,4.0,,,2.0,,0.0,3.0,,,2.0,52.8,20.0,2.0,4.0,5.0,3.0,37.0,8.0,,,441.0,,10.0,13.0,20.0,6.0,33.0,2.0,5.0,274.0,11.0,16.0,9.0,98.0,19.0,,2.0,,12.0,21.0,2.0,7.0,2.0,12.0,2.0,6.0,8.0,,,,,2.0,,2.0,1.0,3.0,,,,,,2.0,1.0,2.0,2.0,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
38,855544,2017-05-21 15:00:00,"Stamford Bridge, London",41618,Away,Sunderland,Chelsea,1,5,L,1,1,0,0,,,1.0,46.0,2.0,,30.0,35.0,4.0,,3.0,3.0,1.0,109.0,,1.0,9.0,1.0,3.0,3.0,3.0,54.0,90.0,39.0,1.0,7.0,2.0,10.0,2.0,,,8.0,12.0,,35.0,1.0,8.0,19.0,80.0,0.0,56.0,15.0,1.0,1.0,2.0,3.0,42.0,27.0,2.0,48.0,7.0,11.0,4.0,1.0,1.0,2.0,90.0,,19.0,58.0,440.0,2.0,4.0,4.0,14.0,193.0,19.0,5.0,17.0,,1.0,8.0,1.0,8.0,239.0,40.0,,,77762,2.0,132.0,,4.0,2.0,,144.0,11.0,1.0,11.0,15.0,53.0,,,,1.0,4.0,,6.0,9.0,7.0,,64.0,211.0,8.0,12.0,19.0,1.0,66.0,,0.0,,1.0,11.0,1.0,1.0,5.0,1.0,0.0,,,,1.0,29.5,7.0,,1.0,4.0,2.0,35.0,1.0,,3.0,269.0,,14.0,12.0,12.0,2.0,11.0,1.0,,133.0,6.0,8.0,5.0,33.0,15.0,,4.0,,17.0,17.0,5.0,3.0,2.0,13.0,4.0,4.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,3.0,2.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
