gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attLgCentre,totalPullBack,handBall,attGoalLowLeft,goals,attPenTarget,goalAssistOpenplay,penaltyWon,ptsGainedLosingPos,attSvLowLeft,contentiousDecision,attHdTarget,goalAssist,sixYardBlock,attCmissHigh,defenderGoals,totalOffside,goalsOpenplay,attIboxGoal,goalAssistIntentional,attBxLeft,attSvHighCentre,attHdGoal,bigChanceScored,attLfGoal,attGoalHighRight,attSvHighLeft,midfielderGoals,attMissHighLeft,errorLeadToShot,totalThroughBall,attGoalHighLeft,forwardGoals,goalsConcededObox,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attOboxGoal,attObxdRight,attRfGoal,attFreekickTarget,shotFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,clearanceOffLine,postScoringAtt,attIboxPost,attSvHighRight,attPostLeft,attHdPost,hitWoodwork,attPenMiss,accurateThroughBall,attPostHigh,attPenGoal,attOboxPost,attPostRight,ptsDroppedWinningPos,cleanSheet,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attGoalHighCentre
27,855440,2017-03-04 15:00:00,"The Hawthorns, West Bromwich",24051,Away,Crystal Palace,West Bromwich Albion,2,0,W,0,0,0,0,1.0,61.0,1.0,3.0,35.0,31.0,2.0,6.0,8.0,1.0,,152.0,4.0,12.0,1.0,7.0,,4.0,64.0,161.0,76.0,,10.0,1.0,14.0,2.0,1.0,,1.0,,26.0,15.0,,31.0,5.0,9.0,29.0,1.0,161.0,1.0,0.0,150.0,12.0,1.0,1.0,2.0,61.0,74.0,5.0,50.0,1.0,1.0,21.0,9.0,2.0,,9.0,1.0,161.0,3.0,3.0,75.0,547.0,5.0,10.0,25.0,19.0,231.0,23.0,11.0,24.0,,1.0,5.0,2.0,18.0,322.0,79.0,,86417,4.0,83.0,2.0,11.0,,97.0,7.0,9.0,8.0,40.0,3.0,20.0,8.0,3.0,,88.0,240.0,8.0,1.0,1.0,41.0,2.0,77.0,,,,0.0,1.0,5.0,,,2.0,,0.0,3.0,,2.0,48.6,14.0,1.0,3.0,3.0,4.0,37.0,5.0,3.0,341.0,19.0,,7.0,15.0,2.0,34.0,1.0,1.0,270.0,2.0,9.0,37.0,91.0,27.0,3.0,24.0,21.0,,8.0,3.0,18.0,3.0,2.0,5.0,,,2.0,,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,,2.0,2.0,1.0,3.0,,,1.0,2.0,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
28,855446,2017-04-26 20:00:00,"Selhurst Park, London",25596,Home,Crystal Palace,Tottenham Hotspur,0,1,L,0,0,0,0,,75.0,1.0,3.0,25.0,26.0,1.0,,5.0,3.0,1.0,139.0,6.0,8.0,3.0,5.0,,1.0,50.0,164.0,69.0,,6.0,,20.0,1.0,,,,,15.0,15.0,,26.0,2.0,6.0,33.0,,87.0,,0.0,92.0,13.0,1.0,3.0,,47.0,34.0,3.0,38.0,2.0,1.0,13.0,23.0,1.0,,3.0,1.0,164.0,,10.0,37.0,478.0,3.0,13.0,17.0,16.0,142.0,43.0,9.0,13.0,,3.0,6.0,2.0,15.0,231.0,53.0,2.0,86417,4.0,76.0,,7.0,1.0,97.0,4.0,23.0,13.0,68.0,1.0,16.0,8.0,5.0,1.0,81.0,157.0,15.0,11.0,2.0,40.0,2.0,81.0,,,,0.0,3.0,11.0,2.0,1.0,4.0,,0.0,4.0,,2.0,31.1,11.0,1.0,6.0,1.0,3.0,33.0,2.0,,264.0,16.0,,22.0,14.0,2.0,20.0,2.0,1.0,182.0,4.0,6.0,22.0,44.0,19.0,4.0,13.0,24.0,,3.0,3.0,10.0,4.0,15.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,855453,2017-03-18 15:00:00,"Selhurst Park, London",25109,Home,Crystal Palace,Watford,1,0,W,0,0,0,0,,64.0,2.0,2.0,19.0,43.0,2.0,2.0,5.0,2.0,,154.0,3.0,10.0,4.0,5.0,,,46.0,154.0,64.0,,7.0,,19.0,,,,,2.0,21.0,13.0,,43.0,3.0,4.0,18.0,,100.0,,0.0,103.0,8.0,1.0,7.0,2.0,45.0,45.0,1.0,35.0,1.0,,18.0,18.0,2.0,,1.0,2.0,154.0,1.0,2.0,49.0,496.0,3.0,5.0,18.0,7.0,177.0,34.0,6.0,31.0,,0.0,,3.0,19.0,264.0,67.0,,86417,3.0,90.0,1.0,10.0,1.0,119.0,3.0,18.0,9.0,50.0,3.0,16.0,4.0,4.0,2.0,70.0,187.0,14.0,9.0,1.0,37.0,1.0,66.0,,1.0,,0.0,2.0,2.0,,,2.0,,0.0,2.0,2.0,1.0,43.0,14.0,1.0,5.0,3.0,2.0,26.0,3.0,3.0,284.0,7.0,,8.0,8.0,5.0,35.0,1.0,3.0,186.0,4.0,4.0,23.0,55.0,21.0,2.0,31.0,18.0,,5.0,3.0,17.0,2.0,12.0,3.0,,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,
30,855464,2017-04-01 15:00:00,"Stamford Bridge, London",41489,Away,Crystal Palace,Chelsea,2,1,W,2,1,0,0,1.0,53.0,3.0,,29.0,47.0,2.0,3.0,6.0,10.0,,117.0,3.0,13.0,5.0,7.0,,3.0,42.0,113.0,56.0,,8.0,,11.0,1.0,,,,1.0,9.0,8.0,,47.0,3.0,6.0,20.0,,106.0,,0.0,112.0,14.0,5.0,3.0,3.0,56.0,30.0,3.0,39.0,2.0,1.0,6.0,14.0,2.0,,2.0,2.0,113.0,2.0,16.0,31.0,450.0,4.0,11.0,17.0,16.0,143.0,27.0,12.0,16.0,,2.0,8.0,4.0,11.0,195.0,59.0,1.0,86417,4.0,59.0,1.0,1.0,2.0,76.0,7.0,14.0,14.0,54.0,4.0,16.0,8.0,8.0,3.0,66.0,162.0,12.0,9.0,1.0,35.0,1.0,68.0,1.0,,,0.0,1.0,9.0,7.0,1.0,3.0,,0.0,2.0,1.0,1.0,27.1,10.0,1.0,6.0,4.0,,36.0,3.0,3.0,229.0,16.0,,12.0,12.0,5.0,13.0,1.0,3.0,162.0,4.0,5.0,15.0,75.0,8.0,3.0,16.0,16.0,1.0,5.0,3.0,21.0,3.0,10.0,3.0,,,,,2.0,2.0,,2.0,,3.0,,,,2.0,,1.0,,2.0,2.0,2.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,855481,2017-04-05 19:45:00,"St. Mary's Stadium, Southampton",29968,Away,Crystal Palace,Southampton,1,3,L,1,1,0,0,1.0,44.0,1.0,5.0,37.0,29.0,6.0,4.0,11.0,4.0,1.0,134.0,7.0,7.0,4.0,14.0,1.0,3.0,51.0,133.0,65.0,2.0,17.0,3.0,14.0,,,,,,23.0,12.0,2.0,29.0,10.0,4.0,22.0,,119.0,1.0,0.0,94.0,11.0,4.0,2.0,4.0,43.0,21.0,9.0,32.0,2.0,2.0,13.0,18.0,6.0,2.0,3.0,1.0,133.0,3.0,19.0,37.0,457.0,8.0,19.0,20.0,10.0,148.0,25.0,14.0,17.0,,1.0,6.0,4.0,17.0,221.0,64.0,,86417,7.0,56.0,2.0,8.0,2.0,84.0,5.0,18.0,13.0,41.0,2.0,14.0,6.0,8.0,1.0,70.0,168.0,15.0,8.0,4.0,39.0,6.0,65.0,1.0,,1.0,0.0,2.0,11.0,5.0,3.0,5.0,,0.0,3.0,,3.0,38.5,14.0,2.0,2.0,2.0,8.0,39.0,11.0,4.0,254.0,10.0,1.0,6.0,15.0,6.0,30.0,4.0,4.0,193.0,10.0,4.0,26.0,56.0,12.0,5.0,17.0,17.0,3.0,7.0,3.0,12.0,5.0,7.0,12.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,2.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,3.0,,,,,,1.0
32,855483,2017-04-10 20:00:00,"Selhurst Park, London",25648,Home,Crystal Palace,Arsenal,3,0,W,1,0,0,0,1.0,69.0,1.0,2.0,25.0,37.0,4.0,6.0,13.0,3.0,1.0,133.0,6.0,11.0,3.0,15.0,,6.0,32.0,145.0,63.0,,17.0,2.0,21.0,3.0,2.0,2.0,,4.0,19.0,14.0,,37.0,3.0,4.0,28.0,,99.0,,0.0,105.0,11.0,3.0,2.0,,48.0,24.0,8.0,35.0,8.0,1.0,16.0,11.0,4.0,,5.0,2.0,145.0,1.0,8.0,33.0,455.0,12.0,12.0,34.0,19.0,131.0,35.0,10.0,21.0,2.0,0.0,2.0,7.0,14.0,204.0,53.0,,86417,9.0,58.0,,9.0,3.0,78.0,3.0,11.0,11.0,68.0,1.0,14.0,3.0,5.0,1.0,62.0,151.0,10.0,17.0,1.0,27.0,1.0,64.0,1.0,1.0,,0.0,3.0,8.0,2.0,,4.0,,0.0,5.0,1.0,3.0,27.8,6.0,2.0,3.0,1.0,4.0,27.0,5.0,,233.0,19.0,,13.0,6.0,7.0,27.0,1.0,5.0,174.0,8.0,4.0,21.0,69.0,23.0,2.0,21.0,22.0,,12.0,3.0,18.0,2.0,7.0,5.0,,,,,1.0,3.0,,2.0,1.0,,1.0,,1.0,2.0,,,,5.0,2.0,3.0,2.0,2.0,,,2.0,,,,3.0,1.0,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0
33,855492,2017-04-15 15:00:00,"Selhurst Park, London",25504,Home,Crystal Palace,Leicester City,2,2,D,0,1,0,0,1.0,64.0,,3.0,34.0,24.0,4.0,5.0,11.0,,1.0,177.0,10.0,13.0,3.0,10.0,,4.0,108.0,173.0,75.0,,15.0,2.0,20.0,2.0,1.0,,,1.0,32.0,13.0,,24.0,8.0,11.0,28.0,,178.0,,0.0,161.0,10.0,,2.0,1.0,81.0,56.0,7.0,53.0,,2.0,24.0,20.0,4.0,,11.0,2.0,173.0,2.0,5.0,82.0,661.0,7.0,10.0,36.0,19.0,291.0,33.0,15.0,19.0,,0.0,2.0,3.0,34.0,396.0,73.0,1.0,86417,4.0,141.0,1.0,11.0,2.0,167.0,2.0,20.0,7.0,64.0,4.0,12.0,1.0,3.0,2.0,78.0,309.0,16.0,13.0,2.0,41.0,1.0,84.0,2.0,,,0.0,1.0,5.0,,2.0,1.0,,0.0,8.0,,3.0,57.9,31.0,2.0,1.0,4.0,5.0,43.0,8.0,1.0,420.0,19.0,,15.0,13.0,6.0,49.0,2.0,4.0,285.0,7.0,9.0,28.0,105.0,26.0,2.0,19.0,19.0,2.0,12.0,2.0,22.0,2.0,7.0,8.0,,,,2.0,,2.0,,1.0,,1.0,,,,1.0,,,,,2.0,2.0,1.0,2.0,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
34,855508,2017-04-23 16:30:00,"Anfield, Liverpool",53086,Away,Crystal Palace,Liverpool,2,1,W,1,1,0,0,,57.0,,,22.0,34.0,2.0,2.0,5.0,,1.0,131.0,4.0,16.0,1.0,6.0,1.0,3.0,35.0,152.0,74.0,,7.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,13.0,17.0,,34.0,3.0,8.0,29.0,,90.0,,0.0,94.0,10.0,,1.0,1.0,46.0,38.0,4.0,29.0,1.0,1.0,10.0,17.0,2.0,,1.0,1.0,152.0,2.0,7.0,39.0,459.0,4.0,10.0,16.0,14.0,129.0,29.0,6.0,16.0,1.0,2.0,5.0,2.0,24.0,208.0,56.0,,86417,3.0,54.0,,8.0,3.0,72.0,5.0,17.0,15.0,63.0,3.0,15.0,7.0,6.0,1.0,72.0,140.0,8.0,19.0,,33.0,1.0,71.0,,,1.0,0.0,3.0,4.0,,1.0,2.0,,0.0,3.0,,1.0,27.7,19.0,,2.0,3.0,1.0,23.0,3.0,1.0,234.0,14.0,,17.0,13.0,3.0,17.0,1.0,2.0,175.0,4.0,8.0,22.0,47.0,21.0,6.0,16.0,28.0,,3.0,3.0,22.0,6.0,11.0,3.0,,,,2.0,,2.0,,1.0,,3.0,,,,2.0,,,,3.0,1.0,2.0,2.0,,,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
35,855512,2017-04-29 17:30:00,"Selhurst Park, London",25013,Home,Crystal Palace,Burnley,0,2,L,0,1,0,0,1.0,55.0,,4.0,37.0,22.0,4.0,2.0,11.0,1.0,4.0,182.0,11.0,18.0,3.0,12.0,,5.0,103.0,188.0,68.0,,15.0,,30.0,3.0,,,1.0,1.0,41.0,7.0,2.0,22.0,9.0,13.0,38.0,,223.0,,0.0,194.0,11.0,1.0,3.0,1.0,96.0,77.0,8.0,59.0,1.0,3.0,32.0,20.0,4.0,,16.0,2.0,188.0,,6.0,119.0,697.0,9.0,8.0,42.0,6.0,331.0,28.0,15.0,13.0,,2.0,4.0,4.0,38.0,437.0,75.0,1.0,86417,5.0,136.0,,13.0,1.0,161.0,3.0,20.0,8.0,57.0,2.0,16.0,3.0,5.0,1.0,83.0,348.0,11.0,,3.0,50.0,8.0,71.0,1.0,,,0.0,3.0,4.0,1.0,2.0,2.0,,0.0,8.0,,4.0,63.5,37.0,2.0,5.0,2.0,4.0,32.0,14.0,1.0,463.0,6.0,,16.0,22.0,6.0,53.0,3.0,4.0,343.0,9.0,11.0,26.0,124.0,20.0,3.0,13.0,13.0,2.0,6.0,2.0,23.0,3.0,3.0,14.0,,,1.0,1.0,,,,,,,2.0,1.0,,,3.0,,,2.0,,,,4.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,855529,2017-05-06 12:30:00,"Etihad Stadium, Manchester",54119,Away,Crystal Palace,Manchester City,0,5,L,0,1,0,0,,54.0,1.0,,29.0,19.0,3.0,2.0,2.0,7.0,1.0,119.0,1.0,10.0,3.0,2.0,,2.0,59.0,129.0,50.0,,5.0,1.0,15.0,1.0,,,,,11.0,11.0,1.0,19.0,2.0,4.0,23.0,,105.0,,0.0,92.0,8.0,5.0,1.0,3.0,36.0,27.0,1.0,35.0,4.0,,9.0,11.0,3.0,,2.0,1.0,129.0,,22.0,52.0,444.0,2.0,6.0,15.0,16.0,167.0,27.0,11.0,7.0,,3.0,4.0,1.0,15.0,232.0,54.0,,86417,1.0,85.0,,6.0,,101.0,6.0,11.0,11.0,60.0,5.0,20.0,4.0,5.0,1.0,59.0,189.0,12.0,21.0,,27.0,,56.0,1.0,,,0.0,3.0,9.0,6.0,5.0,2.0,,0.0,1.0,,1.0,30.7,12.0,,,6.0,1.0,29.0,3.0,3.0,265.0,16.0,,8.0,11.0,2.0,22.0,,1.0,175.0,2.0,4.0,12.0,52.0,17.0,1.0,7.0,16.0,4.0,5.0,3.0,18.0,1.0,4.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
37,855533,2017-05-14 12:00:00,"Selhurst Park, London",25176,Home,Crystal Palace,Hull City,4,0,W,2,0,0,0,,57.0,,,16.0,38.0,3.0,5.0,9.0,,,106.0,4.0,2.0,3.0,9.0,1.0,4.0,31.0,116.0,54.0,1.0,12.0,1.0,12.0,,,2.0,,2.0,14.0,12.0,,38.0,3.0,1.0,24.0,2.0,75.0,,0.0,101.0,13.0,1.0,2.0,3.0,33.0,31.0,3.0,20.0,1.0,3.0,11.0,16.0,3.0,1.0,2.0,2.0,116.0,2.0,6.0,43.0,384.0,5.0,2.0,21.0,13.0,111.0,20.0,3.0,17.0,2.0,3.0,3.0,6.0,11.0,173.0,64.0,,86417,5.0,49.0,,7.0,1.0,65.0,6.0,16.0,10.0,47.0,5.0,8.0,3.0,4.0,2.0,58.0,120.0,12.0,9.0,2.0,22.0,2.0,55.0,,1.0,,0.0,,7.0,,,,,0.0,2.0,1.0,2.0,29.7,9.0,1.0,3.0,5.0,1.0,14.0,3.0,3.0,200.0,13.0,1.0,7.0,9.0,7.0,24.0,2.0,5.0,149.0,5.0,1.0,21.0,54.0,23.0,2.0,17.0,19.0,,7.0,3.0,8.0,2.0,12.0,3.0,1.0,,1.0,,,4.0,,1.0,1.0,,,,,2.0,,,,3.0,2.0,4.0,2.0,1.0,,1.0,4.0,1.0,,,2.0,,,2.0,,1.0,,1.0,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,
38,855548,2017-05-21 15:00:00,"Old Trafford, Manchester",75254,Away,Crystal Palace,Manchester United,0,2,L,0,2,0,0,,58.0,,1.0,33.0,5.0,4.0,2.0,2.0,,1.0,128.0,4.0,10.0,6.0,2.0,,1.0,84.0,128.0,53.0,2.0,6.0,2.0,5.0,,,,,,23.0,12.0,1.0,5.0,4.0,10.0,33.0,,176.0,,0.0,148.0,10.0,,1.0,,79.0,22.0,1.0,67.0,3.0,,19.0,19.0,4.0,2.0,5.0,1.0,128.0,,6.0,81.0,537.0,2.0,10.0,22.0,14.0,280.0,16.0,10.0,2.0,,0.0,4.0,1.0,21.0,338.0,74.0,,86417,2.0,122.0,,13.0,,134.0,6.0,19.0,4.0,52.0,5.0,13.0,3.0,2.0,,59.0,294.0,16.0,12.0,,22.0,2.0,54.0,1.0,,,0.0,1.0,3.0,,2.0,5.0,,0.0,4.0,,1.0,41.2,18.0,,10.0,5.0,3.0,32.0,6.0,,360.0,14.0,,15.0,21.0,2.0,34.0,,,249.0,3.0,9.0,13.0,100.0,27.0,1.0,2.0,14.0,2.0,2.0,3.0,20.0,1.0,12.0,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,
