gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfGoal,attRfTarget,shotFastbreak,attSvLowCentre,attOboxGoal,penaltyWon,totalFastbreak,midfielderGoals,goodHighClaim,errorLeadToShot,totalPullBack,goalsOpenplay,attPenGoal,attFastbreak,punches,savedIbox,shieldBallOop,attBxLeft,totalHighClaim,forwardGoals,attGoalHighRight,attOneOnOne,accurateThroughBall,totalThroughBall,attFreekickGoal,attSvHighCentre,attGoalLowRight,goalAssistOpenplay,goalAssist,goalAssistIntentional,errorLeadToGoal,attHdTarget,attObxdLeft,attGoalHighLeft,attCmissLeft,attFreekickTarget,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,penaltyConceded,penaltyFaced,penGoalsConceded,attMissHighRight,ptsGainedLosingPos,attCmissHigh,attSvHighRight,cleanSheet,postScoringAtt,attIboxPost,attSvHighLeft,attFreekickPost,attHdPost,hitWoodwork,attOboxPost,attPostHigh,foulThrowIn,attPostRight,secondYellow,clearanceOffLine,attLgCentre,attObxRight,goalFastbreak,attGoalHighCentre,attPostLeft,penaltySave
11,1059802,2019-11-02 12:30:00,"Vitality Stadium, Bournemouth",10669.0,Home,Bournemouth,Manchester United,1,0,W,1,0,0,0,,3.0,1.0,60.0,,4.0,1.0,24.0,33.0,4.0,6.0,9.0,4.0,171.0,3.0,5.0,1.0,2.0,8.0,,6.0,73.0,158.0,44.0,1.0,13.0,2.0,7.0,5.0,,1.0,13.0,7.0,,33.0,1.0,2.0,22.0,138.0,0.0,131.0,14.0,2.0,,1.0,82.0,33.0,5.0,58.0,2.0,2.0,12.0,21.0,4.0,1.0,4.0,2.0,158.0,2.0,,5.0,64.0,581.0,7.0,12.0,24.0,19.0,245.0,35.0,1.0,6.0,16.0,4.0,5.0,3.0,21.0,339.0,53.0,,90105,5.0,127.0,2.0,7.0,,1.0,149.0,7.0,1.0,21.0,8.0,47.0,,1.0,2.0,22.0,10.0,3.0,,66.0,262.0,12.0,10.0,,29.0,,71.0,2.0,0.0,1.0,10.0,1.0,,6.0,0.0,3.0,,42.6,19.0,,2.0,2.0,3.0,31.0,4.0,366.0,19.0,1.0,10.0,10.0,4.0,22.0,,2.0,230.0,7.0,2.0,15.0,77.0,19.0,5.0,16.0,13.0,,11.0,1.0,13.0,,5.0,8.0,4.0,,,2.0,,3.0,,,,,,,,1.0,,,1.0,,1.0,3.0,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12,1059817,2019-11-09 15:00:00,"St. James' Park, Newcastle",44424.0,Away,Bournemouth,Newcastle United,1,2,L,1,1,0,0,,2.0,,58.0,1.0,4.0,2.0,24.0,24.0,7.0,8.0,9.0,7.0,171.0,4.0,9.0,1.0,5.0,9.0,3.0,4.0,164.0,148.0,52.0,1.0,16.0,3.0,23.0,3.0,2.0,1.0,24.0,10.0,,24.0,3.0,4.0,35.0,252.0,0.0,144.0,5.0,4.0,1.0,4.0,102.0,80.0,5.0,67.0,,3.0,21.0,9.0,7.0,1.0,6.0,4.0,148.0,,,12.0,157.0,778.0,8.0,4.0,26.0,8.0,453.0,23.0,1.0,1.0,12.0,0.0,6.0,4.0,25.0,541.0,67.0,,90105,4.0,221.0,2.0,11.0,,,251.0,2.0,,9.0,5.0,55.0,,1.0,11.0,16.0,9.0,3.0,2.0,56.0,469.0,10.0,9.0,,10.0,5.0,62.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,0.0,4.0,2.0,66.1,24.0,1.0,3.0,11.0,5.0,40.0,4.0,559.0,8.0,1.0,6.0,11.0,7.0,40.0,,3.0,332.0,5.0,4.0,19.0,102.0,21.0,2.0,12.0,14.0,2.0,10.0,3.0,21.0,3.0,2.0,2.0,4.0,,1.0,,,1.0,,,,1.0,1.0,2.0,1.0,,,,1.0,3.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
13,1059822,2019-11-23 15:00:00,"Vitality Stadium, Bournemouth",10539.0,Home,Bournemouth,Wolverhampton Wanderers,1,2,L,0,2,1,0,,,,45.0,,2.0,1.0,18.0,18.0,2.0,1.0,7.0,5.0,130.0,3.0,9.0,1.0,2.0,5.0,,2.0,114.0,128.0,39.0,,9.0,2.0,22.0,1.0,1.0,1.0,18.0,6.0,,18.0,5.0,6.0,29.0,122.0,0.0,103.0,10.0,2.0,,2.0,40.0,54.0,2.0,76.0,1.0,1.0,13.0,17.0,2.0,,3.0,,128.0,1.0,,7.0,123.0,608.0,4.0,1.0,13.0,12.0,340.0,21.0,,5.0,7.0,2.0,4.0,3.0,21.0,419.0,51.0,,90105,3.0,236.0,1.0,8.0,1.0,6.0,260.0,5.0,,17.0,6.0,49.0,1.0,,5.0,12.0,11.0,1.0,1.0,55.0,355.0,9.0,7.0,,21.0,3.0,71.0,,0.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0,3.0,46.6,20.0,2.0,2.0,5.0,3.0,40.0,5.0,443.0,12.0,,6.0,11.0,4.0,34.0,1.0,4.0,201.0,5.0,5.0,12.0,59.0,14.0,3.0,7.0,9.0,1.0,,3.0,14.0,,3.0,4.0,5.0,1.0,,1.0,,,,,,,,,,,,,,4.0,,1.0,,,,,,2.0,,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,
14,1059840,2019-11-30 15:00:00,"Tottenham Hotspur Stadium, London",59626.0,Away,Bournemouth,Tottenham Hotspur,2,3,L,0,1,0,0,,3.0,,56.0,,,5.0,24.0,19.0,7.0,11.0,12.0,2.0,170.0,4.0,14.0,2.0,3.0,14.0,1.0,6.0,112.0,151.0,44.0,1.0,20.0,1.0,30.0,,4.0,3.0,23.0,6.0,4.0,19.0,8.0,3.0,35.0,159.0,0.0,111.0,12.0,1.0,1.0,2.0,69.0,55.0,7.0,58.0,2.0,2.0,15.0,14.0,8.0,1.0,3.0,2.0,151.0,,1.0,11.0,115.0,649.0,13.0,3.0,29.0,15.0,341.0,31.0,1.0,3.0,10.0,2.0,2.0,7.0,20.0,433.0,49.0,,90105,8.0,203.0,,10.0,1.0,1.0,234.0,8.0,,14.0,8.0,78.0,,,1.0,13.0,3.0,4.0,1.0,53.0,358.0,9.0,17.0,1.0,11.0,4.0,72.0,,0.0,2.0,4.0,1.0,3.0,1.0,0.0,2.0,3.0,47.4,19.0,3.0,1.0,1.0,6.0,43.0,8.0,455.0,15.0,,11.0,15.0,8.0,35.0,2.0,6.0,244.0,6.0,3.0,14.0,72.0,21.0,1.0,10.0,8.0,3.0,14.0,2.0,22.0,,1.0,2.0,8.0,,2.0,1.0,,3.0,1.0,,,,1.0,1.0,2.0,1.0,,,,2.0,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,
15,1059849,2019-12-03 19:30:00,"Selhurst Park, London",23497.0,Away,Bournemouth,Crystal Palace,0,1,L,0,0,0,1,1.0,2.0,,53.0,,1.0,1.0,25.0,18.0,2.0,2.0,4.0,1.0,171.0,3.0,13.0,,2.0,5.0,,3.0,155.0,141.0,71.0,,6.0,,18.0,2.0,1.0,1.0,30.0,12.0,1.0,18.0,8.0,5.0,28.0,295.0,0.0,191.0,15.0,1.0,1.0,2.0,115.0,65.0,3.0,92.0,2.0,1.0,22.0,11.0,2.0,,5.0,1.0,141.0,,,4.0,157.0,769.0,4.0,1.0,31.0,8.0,488.0,23.0,,2.0,8.0,3.0,2.0,2.0,18.0,561.0,62.0,,90105,3.0,207.0,,15.0,,1.0,225.0,7.0,,11.0,6.0,58.0,,,8.0,15.0,3.0,4.0,,47.0,499.0,6.0,11.0,1.0,15.0,1.0,71.0,,0.0,4.0,6.0,,1.0,,0.0,2.0,1.0,69.2,15.0,1.0,3.0,8.0,1.0,49.0,9.0,575.0,8.0,,8.0,19.0,2.0,37.0,1.0,1.0,380.0,3.0,5.0,26.0,152.0,18.0,,8.0,26.0,1.0,4.0,3.0,21.0,,,3.0,9.0,,,1.0,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1059852,2019-12-07 15:00:00,"Vitality Stadium, Bournemouth",10832.0,Home,Bournemouth,Liverpool,0,3,L,0,2,0,0,,,,72.0,,2.0,2.0,15.0,35.0,,2.0,3.0,6.0,137.0,1.0,6.0,,,3.0,,,66.0,133.0,39.0,,3.0,,14.0,,1.0,,3.0,7.0,,35.0,,3.0,32.0,60.0,0.0,63.0,5.0,5.0,,,44.0,38.0,2.0,46.0,3.0,1.0,3.0,10.0,,,2.0,,133.0,,,17.0,56.0,467.0,3.0,6.0,7.0,16.0,186.0,39.0,,3.0,14.0,0.0,4.0,1.0,15.0,282.0,39.0,,90105,1.0,139.0,,1.0,,,177.0,2.0,,10.0,10.0,41.0,,5.0,4.0,7.0,4.0,3.0,,67.0,198.0,6.0,12.0,,28.0,,62.0,,0.0,1.0,4.0,,3.0,,0.0,1.0,,26.2,14.0,,2.0,4.0,2.0,15.0,1.0,305.0,16.0,,5.0,6.0,1.0,7.0,,1.0,131.0,1.0,1.0,15.0,28.0,21.0,2.0,14.0,12.0,3.0,3.0,3.0,11.0,,2.0,3.0,1.0,,,,,,,,,,,,2.0,,,,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1059864,2019-12-14 15:00:00,"Stamford Bridge, London",40243.0,Away,Bournemouth,Chelsea,1,0,W,0,0,0,0,,,1.0,57.0,,1.0,8.0,16.0,47.0,,2.0,11.0,5.0,139.0,2.0,9.0,1.0,2.0,8.0,,2.0,52.0,153.0,50.0,,11.0,,31.0,1.0,,1.0,16.0,5.0,,47.0,4.0,3.0,33.0,89.0,0.0,105.0,14.0,2.0,1.0,2.0,61.0,36.0,7.0,42.0,,,12.0,15.0,,,2.0,,153.0,1.0,1.0,15.0,60.0,530.0,5.0,5.0,24.0,19.0,181.0,28.0,,2.0,26.0,2.0,8.0,1.0,27.0,270.0,53.0,,90105,8.0,105.0,,8.0,4.0,,127.0,5.0,1.0,15.0,6.0,65.0,,1.0,5.0,14.0,3.0,5.0,,66.0,192.0,9.0,5.0,2.0,26.0,5.0,63.0,,0.0,1.0,9.0,1.0,,1.0,0.0,,1.0,33.0,20.0,,3.0,5.0,8.0,21.0,4.0,293.0,19.0,,8.0,12.0,1.0,23.0,2.0,1.0,182.0,8.0,2.0,25.0,57.0,16.0,3.0,26.0,7.0,,4.0,1.0,16.0,,3.0,8.0,4.0,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,4.0,,2.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
18,1059872,2019-12-21 15:00:00,"Vitality Stadium, Bournemouth",10020.0,Home,Bournemouth,Burnley,0,1,L,0,0,0,0,,,,57.0,,,,23.0,31.0,2.0,,1.0,,159.0,3.0,5.0,,4.0,2.0,1.0,,105.0,149.0,63.0,,3.0,,24.0,,,,21.0,10.0,,31.0,3.0,1.0,39.0,151.0,0.0,152.0,13.0,,,5.0,80.0,53.0,,64.0,,2.0,18.0,15.0,2.0,,5.0,2.0,149.0,,1.0,1.0,109.0,635.0,2.0,5.0,13.0,6.0,322.0,22.0,,2.0,19.0,2.0,1.0,2.0,24.0,415.0,57.0,,90105,1.0,190.0,,8.0,,,216.0,3.0,,15.0,3.0,48.0,,2.0,12.0,12.0,1.0,1.0,1.0,61.0,338.0,20.0,,,20.0,2.0,72.0,,0.0,,5.0,,1.0,3.0,0.0,3.0,1.0,64.8,20.0,1.0,1.0,13.0,,40.0,4.0,437.0,6.0,,7.0,17.0,3.0,39.0,,1.0,242.0,2.0,1.0,24.0,101.0,21.0,3.0,19.0,15.0,1.0,1.0,2.0,11.0,,3.0,6.0,4.0,,,,,,,,,,1.0,,2.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1059882,2019-12-26 15:00:00,"Vitality Stadium, Bournemouth",10234.0,Home,Bournemouth,Arsenal,1,1,D,1,0,0,0,,2.0,1.0,55.0,,1.0,3.0,20.0,24.0,2.0,5.0,9.0,1.0,146.0,1.0,9.0,1.0,2.0,8.0,2.0,4.0,88.0,128.0,51.0,1.0,12.0,,12.0,2.0,3.0,,19.0,7.0,1.0,24.0,6.0,6.0,32.0,146.0,0.0,107.0,5.0,1.0,2.0,1.0,67.0,50.0,5.0,62.0,1.0,3.0,13.0,21.0,3.0,1.0,3.0,2.0,128.0,2.0,1.0,11.0,87.0,580.0,5.0,2.0,22.0,7.0,281.0,29.0,1.0,2.0,15.0,4.0,9.0,3.0,21.0,357.0,47.0,,90105,2.0,160.0,2.0,9.0,,,189.0,2.0,1.0,21.0,11.0,35.0,,1.0,8.0,16.0,6.0,9.0,1.0,37.0,305.0,12.0,8.0,2.0,12.0,2.0,54.0,,0.0,1.0,3.0,1.0,1.0,1.0,0.0,,1.0,39.5,17.0,1.0,6.0,8.0,3.0,39.0,8.0,383.0,7.0,,8.0,17.0,5.0,23.0,1.0,3.0,213.0,5.0,4.0,14.0,72.0,12.0,3.0,15.0,16.0,1.0,8.0,2.0,11.0,2.0,3.0,8.0,8.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,2.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,
20,1059893,2019-12-28 12:30:00,"American Express Stadium, Falmer",30441.0,Away,Bournemouth,Brighton and Hove Albion,0,2,L,0,1,0,0,1.0,,,56.0,,2.0,3.0,15.0,30.0,4.0,3.0,6.0,4.0,135.0,1.0,6.0,,,7.0,,2.0,118.0,140.0,54.0,,10.0,2.0,24.0,2.0,,1.0,8.0,9.0,,30.0,2.0,5.0,34.0,154.0,0.0,99.0,11.0,3.0,,1.0,62.0,64.0,4.0,54.0,1.0,,6.0,14.0,4.0,,1.0,2.0,140.0,,,7.0,106.0,600.0,6.0,10.0,14.0,13.0,298.0,21.0,,4.0,16.0,2.0,4.0,3.0,19.0,390.0,38.0,,90105,5.0,164.0,,4.0,,1.0,186.0,5.0,,14.0,9.0,67.0,,,6.0,11.0,9.0,8.0,,41.0,317.0,9.0,11.0,1.0,13.0,2.0,60.0,,0.0,2.0,9.0,,2.0,3.0,0.0,,1.0,44.9,18.0,1.0,2.0,6.0,5.0,29.0,2.0,413.0,13.0,,16.0,13.0,3.0,12.0,1.0,1.0,235.0,6.0,4.0,22.0,66.0,27.0,1.0,16.0,18.0,2.0,7.0,3.0,13.0,,1.0,5.0,2.0,,,2.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
21,1059911,2020-01-01 17:30:00,"London Stadium, London",59917.0,Away,Bournemouth,West Ham United,0,4,L,0,3,0,0,1.0,2.0,,62.0,,,,19.0,21.0,,2.0,3.0,3.0,179.0,1.0,13.0,,,3.0,,2.0,177.0,148.0,58.0,,3.0,,18.0,2.0,,,15.0,10.0,,21.0,2.0,11.0,33.0,179.0,0.0,120.0,12.0,2.0,,,67.0,65.0,2.0,93.0,1.0,,13.0,17.0,,,8.0,,148.0,1.0,1.0,10.0,169.0,808.0,3.0,3.0,14.0,6.0,521.0,29.0,,4.0,12.0,2.0,2.0,1.0,19.0,600.0,57.0,,90105,,361.0,1.0,5.0,,,386.0,4.0,,17.0,8.0,62.0,,3.0,3.0,26.0,4.0,8.0,,40.0,539.0,3.0,10.0,,13.0,,64.0,,0.0,2.0,9.0,,4.0,2.0,0.0,1.0,1.0,57.4,18.0,,4.0,3.0,,40.0,2.0,618.0,6.0,,16.0,21.0,1.0,25.0,,,247.0,,10.0,22.0,83.0,25.0,4.0,12.0,20.0,3.0,3.0,3.0,20.0,,4.0,6.0,2.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,3.0,2.0,2.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,
22,1059912,2020-01-12 14:00:00,"Vitality Stadium, Bournemouth",10384.0,Home,Bournemouth,Watford,0,3,L,0,1,0,0,,1.0,,59.0,,,,20.0,15.0,8.0,6.0,2.0,2.0,188.0,3.0,9.0,,5.0,6.0,,1.0,147.0,188.0,59.0,1.0,10.0,2.0,42.0,,,3.0,21.0,6.0,1.0,15.0,5.0,7.0,41.0,210.0,0.0,156.0,3.0,1.0,,2.0,92.0,53.0,2.0,59.0,1.0,1.0,16.0,22.0,8.0,1.0,3.0,5.0,188.0,,,13.0,142.0,742.0,5.0,2.0,18.0,11.0,400.0,29.0,2.0,4.0,9.0,1.0,7.0,4.0,25.0,510.0,61.0,,90105,1.0,213.0,,11.0,,1.0,249.0,1.0,,22.0,7.0,81.0,,,5.0,22.0,5.0,4.0,1.0,56.0,420.0,13.0,10.0,1.0,20.0,1.0,74.0,1.0,0.0,2.0,5.0,,3.0,,0.0,2.0,1.0,56.7,22.0,1.0,1.0,5.0,2.0,38.0,5.0,536.0,11.0,,14.0,16.0,7.0,33.0,1.0,2.0,308.0,3.0,7.0,30.0,103.0,24.0,1.0,9.0,8.0,3.0,7.0,3.0,22.0,,1.0,8.0,5.0,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
23,1059928,2020-01-18 15:00:00,"Carrow Road, Norwich",26781.0,Away,Bournemouth,Norwich City,0,1,L,0,1,1,1,1.0,,,61.0,,1.0,2.0,29.0,21.0,1.0,1.0,5.0,3.0,138.0,5.0,4.0,,3.0,6.0,,3.0,62.0,144.0,59.0,,6.0,,22.0,3.0,,,14.0,9.0,,21.0,5.0,6.0,22.0,98.0,0.0,93.0,10.0,3.0,2.0,1.0,55.0,42.0,4.0,51.0,1.0,,9.0,14.0,1.0,,2.0,1.0,144.0,2.0,,7.0,65.0,493.0,3.0,15.0,17.0,18.0,201.0,25.0,,13.0,9.0,2.0,5.0,1.0,17.0,293.0,48.0,,90105,4.0,121.0,2.0,6.0,2.0,1.0,144.0,8.0,,14.0,12.0,57.0,,3.0,6.0,13.0,9.0,6.0,1.0,64.0,214.0,8.0,13.0,2.0,32.0,3.0,59.0,,0.0,,4.0,,1.0,4.0,1.0,3.0,3.0,34.0,13.0,,6.0,6.0,2.0,29.0,5.0,316.0,18.0,,8.0,10.0,1.0,20.0,2.0,,186.0,1.0,4.0,28.0,46.0,23.0,3.0,9.0,19.0,1.0,2.0,3.0,9.0,,3.0,8.0,5.0,,,,,,,,,,1.0,,1.0,,,,1.0,3.0,2.0,,1.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,1059932,2020-01-21 19:30:00,"Vitality Stadium, Bournemouth",10065.0,Home,Bournemouth,Brighton and Hove Albion,3,1,W,2,0,0,0,1.0,,1.0,69.0,,4.0,4.0,19.0,20.0,3.0,7.0,8.0,7.0,146.0,1.0,4.0,3.0,2.0,9.0,1.0,3.0,61.0,148.0,44.0,,11.0,,18.0,1.0,1.0,1.0,10.0,5.0,,20.0,4.0,3.0,25.0,104.0,0.0,108.0,9.0,4.0,,2.0,62.0,27.0,6.0,50.0,3.0,2.0,6.0,25.0,3.0,,,3.0,148.0,1.0,,9.0,46.0,495.0,7.0,8.0,28.0,21.0,189.0,26.0,,4.0,10.0,1.0,7.0,3.0,12.0,272.0,42.0,1.0,90105,6.0,102.0,1.0,4.0,1.0,1.0,134.0,4.0,1.0,25.0,11.0,56.0,,2.0,3.0,16.0,12.0,4.0,1.0,54.0,205.0,12.0,14.0,1.0,22.0,1.0,51.0,,0.0,1.0,8.0,3.0,1.0,1.0,0.0,1.0,1.0,34.7,6.0,,6.0,3.0,4.0,21.0,5.0,303.0,21.0,,10.0,11.0,4.0,23.0,,1.0,179.0,3.0,3.0,18.0,63.0,26.0,3.0,10.0,10.0,1.0,9.0,2.0,10.0,,3.0,13.0,5.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,2.0,2.0,,1.0,,3.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
25,1059942,2020-02-01 15:00:00,"Vitality Stadium, Bournemouth",10722.0,Home,Bournemouth,Aston Villa,2,1,W,2,0,1,0,,2.0,2.0,54.0,2.0,,2.0,25.0,36.0,8.0,9.0,8.0,4.0,155.0,4.0,7.0,2.0,6.0,8.0,,6.0,59.0,152.0,63.0,2.0,16.0,3.0,27.0,1.0,,2.0,13.0,10.0,3.0,36.0,,2.0,18.0,119.0,0.0,125.0,10.0,,,4.0,48.0,64.0,5.0,33.0,2.0,1.0,13.0,17.0,8.0,2.0,1.0,1.0,152.0,3.0,1.0,15.0,56.0,524.0,5.0,7.0,25.0,21.0,174.0,31.0,,11.0,22.0,1.0,4.0,3.0,23.0,272.0,57.0,3.0,90105,7.0,73.0,2.0,8.0,,6.0,101.0,2.0,,17.0,14.0,51.0,1.0,1.0,2.0,16.0,3.0,5.0,1.0,73.0,188.0,13.0,10.0,2.0,36.0,,59.0,,0.0,3.0,8.0,2.0,1.0,2.0,1.0,4.0,,39.6,20.0,,4.0,2.0,5.0,25.0,1.0,303.0,21.0,,3.0,4.0,5.0,21.0,,3.0,215.0,5.0,,31.0,70.0,10.0,4.0,22.0,12.0,1.0,8.0,,9.0,,4.0,7.0,1.0,,2.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,2.0,,,1.0,,4.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,2.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,
26,1059959,2020-02-09 14:00:00,"Bramall Lane, Sheffield",30361.0,Away,Bournemouth,Sheffield United,1,2,L,1,1,0,0,,1.0,1.0,69.0,,,1.0,21.0,47.0,2.0,7.0,8.0,3.0,166.0,3.0,5.0,1.0,2.0,8.0,1.0,2.0,79.0,163.0,53.0,,10.0,,41.0,1.0,,1.0,15.0,5.0,,47.0,2.0,9.0,34.0,151.0,0.0,147.0,8.0,2.0,,2.0,79.0,46.0,2.0,55.0,,3.0,13.0,13.0,2.0,,4.0,2.0,163.0,,,14.0,91.0,613.0,7.0,9.0,24.0,7.0,268.0,32.0,1.0,7.0,23.0,3.0,6.0,6.0,22.0,369.0,65.0,,90105,7.0,135.0,,7.0,1.0,1.0,167.0,3.0,,13.0,8.0,78.0,,1.0,4.0,18.0,2.0,3.0,2.0,61.0,283.0,10.0,13.0,1.0,25.0,2.0,65.0,,0.0,3.0,8.0,1.0,2.0,3.0,0.0,2.0,2.0,45.7,18.0,2.0,5.0,4.0,1.0,23.0,4.0,391.0,7.0,,9.0,15.0,7.0,25.0,1.0,5.0,239.0,1.0,8.0,28.0,96.0,25.0,7.0,23.0,10.0,2.0,7.0,3.0,13.0,3.0,7.0,6.0,4.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,4.0,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
