gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attRfTarget,accuratePullBack,attCmissRight,attOboxBlocked,attIboxTarget,attBxRight,attSvLowCentre,attOneOnOne,attMissHighRight,cleanSheet,attOboxGoal,attSvLowLeft,contentiousDecision,attMissHighLeft,bigChanceMissed,sixYardBlock,totalPullBack,attCmissHigh,attMissHigh,attAssistSetplay,attSvLowRight,punches,shieldBallOop,effectiveBlockedCross,blockedCross,accurateFreekickCross,attCmissLeft,attFreekickTotal,goalAssistOpenplay,goodHighClaim,freekickTotal,totalHighClaim,attFreekickMiss,attSvHighLeft,attCmissHighLeft,foulThrowIn,attGoalHighCentre,attHdTarget,penaltyWon,hitWoodwork,attPenGoal,goalsConcededObox,attFreekickTarget,errorLeadToGoal,attPenMiss,clearanceOffLine,shotFastbreak,totalFastbreak,attFastbreak,postScoringAtt,attIboxPost,attHdPost,attPostHigh,attOboxPost,attPostRight,secondYellow,attSvHighRight,attPostLeft,ownGoals,attObxRight,attIboxOwnGoal,attObpGoal,goalFastbreak,attPenTarget,attFreekickPost,attObxdLeft
11,918994,2017-11-05 16:30:00,"Goodison Park, Liverpool",38609,Away,Watford,Everton,2,3,L,0,0,0,0,,,2.0,68.0,2.0,,1.0,1.0,1.0,35.0,23.0,4.0,3.0,7.0,2.0,199.0,,6.0,13.0,2.0,3.0,9.0,3.0,105.0,185.0,75.0,11.0,25.0,,4.0,25.0,11.0,,1.0,23.0,4.0,9.0,39.0,226.0,0.0,178.0,12.0,,2.0,,1.0,103.0,72.0,4.0,55.0,,,21.0,20.0,4.0,6.0,2.0,185.0,4.0,7.0,113.0,688.0,,4.0,12.0,28.0,6.0,335.0,23.0,13.0,10.0,2.0,1.0,2.0,2.0,4.0,36.0,446.0,67.0,,,85624,4.0,136.0,14.0,,1.0,170.0,5.0,1.0,20.0,4.0,61.0,,1.0,1.0,5.0,1.0,21.0,2.0,4.0,73.0,356.0,14.0,5.0,38.0,72.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,0.0,3.0,2.0,3.0,62.1,32.0,2.0,5.0,2.0,,5.0,2.0,45.0,5.0,1.0,472.0,1.0,6.0,12.0,20.0,6.0,42.0,3.0,4.0,327.0,5.0,9.0,34.0,123.0,34.0,1.0,10.0,14.0,1.0,3.0,7.0,3.0,21.0,3.0,6.0,5.0,,,1.0,,,1.0,,,1.0,,,,,,,1.0,3.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,2.0,,1.0,,,,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,919011,2017-11-19 16:00:00,"Vicarage Road, Watford",20018,Home,Watford,West Ham United,2,0,W,1,0,0,0,,2.0,,70.0,1.0,,2.0,,,26.0,24.0,5.0,6.0,12.0,5.0,188.0,,4.0,7.0,2.0,1.0,14.0,7.0,168.0,142.0,51.0,17.0,23.0,,2.0,21.0,9.0,,3.0,24.0,3.0,7.0,43.0,329.0,0.0,208.0,13.0,,2.0,,1.0,102.0,92.0,8.0,76.0,,4.0,18.0,17.0,5.0,5.0,2.0,142.0,,8.0,182.0,782.0,,12.0,11.0,31.0,9.0,500.0,29.0,6.0,13.0,2.0,,1.0,1.0,6.0,12.0,597.0,72.0,,,85624,8.0,190.0,12.0,,,211.0,6.0,,17.0,4.0,51.0,,,,2.0,2.0,16.0,2.0,2.0,51.0,515.0,9.0,9.0,16.0,78.0,0.0,3.0,1.0,6.0,2.0,,4.0,0.0,4.0,,1.0,58.5,11.0,,3.0,3.0,1.0,2.0,2.0,38.0,3.0,,614.0,,9.0,3.0,20.0,8.0,29.0,,6.0,424.0,10.0,7.0,22.0,167.0,35.0,2.0,13.0,13.0,,,15.0,3.0,10.0,,6.0,3.0,1.0,2.0,2.0,,2.0,,2.0,1.0,3.0,,,1.0,,,1.0,1.0,,,2.0,,1.0,,1.0,2.0,,1.0,1.0,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,919018,2017-11-25 15:00:00,"St. James' Park, Newcastle",52188,Away,Watford,Newcastle United,3,0,W,2,0,0,0,,1.0,1.0,70.0,,,1.0,,,36.0,34.0,3.0,6.0,9.0,2.0,179.0,1.0,4.0,4.0,3.0,1.0,12.0,4.0,98.0,172.0,61.0,12.0,28.0,1.0,1.0,15.0,19.0,,,34.0,3.0,6.0,36.0,147.0,0.0,118.0,13.0,,2.0,,1.0,75.0,54.0,5.0,66.0,1.0,3.0,12.0,18.0,3.0,3.0,3.0,172.0,4.0,8.0,98.0,628.0,,10.0,13.0,20.0,13.0,304.0,31.0,16.0,21.0,2.0,1.0,2.0,5.0,7.0,19.0,414.0,63.0,1.0,,85624,5.0,172.0,8.0,,,217.0,8.0,1.0,18.0,9.0,64.0,1.0,,1.0,5.0,2.0,13.0,4.0,2.0,83.0,315.0,7.0,11.0,45.0,78.0,0.0,,6.0,2.0,3.0,,4.0,0.0,4.0,2.0,1.0,47.6,12.0,1.0,2.0,3.0,,6.0,1.0,38.0,3.0,,441.0,,13.0,9.0,21.0,7.0,23.0,,4.0,239.0,5.0,5.0,23.0,73.0,23.0,2.0,21.0,27.0,,,11.0,3.0,7.0,,4.0,3.0,1.0,1.0,1.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,1.0,3.0,,,,2.0,,1.0,2.0,,3.0,3.0,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14,919027,2017-11-28 20:00:00,"Vicarage Road, Watford",20552,Home,Watford,Manchester United,2,4,L,0,3,0,0,,,1.0,68.0,2.0,1.0,2.0,,,18.0,24.0,4.0,1.0,8.0,2.0,184.0,,4.0,14.0,2.0,3.0,10.0,3.0,121.0,145.0,55.0,12.0,16.0,,,25.0,12.0,,,24.0,5.0,7.0,23.0,237.0,0.0,159.0,12.0,,2.0,1.0,1.0,75.0,55.0,6.0,57.0,1.0,2.0,20.0,18.0,4.0,5.0,2.0,145.0,,8.0,134.0,702.0,,8.0,6.0,33.0,13.0,396.0,27.0,7.0,14.0,1.0,,2.0,6.0,4.0,25.0,476.0,62.0,,,85624,7.0,178.0,14.0,,,201.0,5.0,2.0,18.0,7.0,54.0,,,,3.0,1.0,19.0,7.0,4.0,41.0,411.0,9.0,13.0,20.0,61.0,0.0,4.0,5.0,2.0,2.0,4.0,4.0,0.0,3.0,1.0,3.0,59.4,23.0,1.0,3.0,,,3.0,4.0,36.0,5.0,,496.0,,13.0,11.0,10.0,5.0,32.0,1.0,2.0,320.0,7.0,7.0,16.0,120.0,34.0,,14.0,16.0,,1.0,10.0,3.0,17.0,,3.0,5.0,,,,,1.0,2.0,1.0,,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
15,919041,2017-12-02 15:00:00,"Vicarage Road, Watford",20278,Home,Watford,Tottenham Hotspur,1,1,D,1,1,0,1,,1.0,,62.0,,1.0,2.0,1.0,1.0,35.0,24.0,3.0,1.0,3.0,1.0,145.0,,4.0,4.0,1.0,3.0,5.0,2.0,99.0,154.0,51.0,6.0,15.0,,1.0,26.0,12.0,,1.0,24.0,7.0,4.0,30.0,175.0,0.0,129.0,16.0,,,,1.0,68.0,59.0,4.0,48.0,2.0,,19.0,19.0,3.0,1.0,1.0,154.0,,2.0,107.0,591.0,,4.0,8.0,22.0,11.0,300.0,25.0,13.0,13.0,1.0,,4.0,2.0,1.0,24.0,377.0,59.0,,,85624,3.0,145.0,17.0,,,167.0,10.0,,19.0,3.0,59.0,,1.0,1.0,6.0,,12.0,6.0,1.0,53.0,316.0,8.0,7.0,21.0,61.0,0.0,2.0,2.0,,1.0,1.0,4.0,0.0,3.0,1.0,1.0,50.5,14.0,,3.0,,,9.0,2.0,35.0,7.0,,399.0,,11.0,16.0,18.0,2.0,34.0,1.0,,258.0,3.0,3.0,19.0,90.0,24.0,,13.0,20.0,1.0,1.0,3.0,3.0,9.0,2.0,5.0,7.0,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,
16,919043,2017-12-09 15:00:00,"Turf Moor, Burnley",19479,Away,Watford,Burnley,0,1,L,0,1,1,0,,,,60.0,,2.0,,,,21.0,34.0,4.0,4.0,7.0,4.0,185.0,,9.0,4.0,,1.0,8.0,2.0,72.0,170.0,58.0,11.0,41.0,,5.0,21.0,3.0,,,34.0,4.0,10.0,35.0,158.0,0.0,107.0,12.0,,4.0,,1.0,39.0,67.0,1.0,66.0,6.0,,17.0,20.0,4.0,8.0,3.0,170.0,1.0,4.0,71.0,580.0,,7.0,12.0,26.0,14.0,262.0,30.0,15.0,16.0,,,0.0,1.0,7.0,20.0,369.0,47.0,,,85624,3.0,127.0,8.0,,,162.0,5.0,,20.0,5.0,66.0,1.0,,3.0,3.0,,12.0,4.0,2.0,71.0,276.0,10.0,5.0,51.0,83.0,0.0,2.0,3.0,2.0,,1.0,5.0,1.0,6.0,,3.0,51.0,6.0,2.0,,,1.0,4.0,1.0,31.0,5.0,,394.0,,14.0,6.0,13.0,8.0,34.0,3.0,5.0,253.0,4.0,9.0,34.0,71.0,18.0,,16.0,10.0,,1.0,4.0,2.0,6.0,,6.0,5.0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,2.0,1.0,,3.0,,3.0,3.0,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,919054,2017-12-12 20:00:00,"Selhurst Park, London",23566,Away,Watford,Crystal Palace,1,2,L,1,0,1,0,,,1.0,68.0,,1.0,1.0,,,19.0,26.0,2.0,1.0,5.0,2.0,158.0,,4.0,4.0,1.0,2.0,5.0,2.0,66.0,177.0,55.0,7.0,35.0,,,20.0,8.0,1.0,,26.0,6.0,6.0,36.0,136.0,0.0,112.0,18.0,,2.0,1.0,2.0,78.0,35.0,4.0,47.0,1.0,2.0,14.0,11.0,2.0,2.0,1.0,177.0,2.0,8.0,81.0,550.0,,4.0,15.0,19.0,17.0,225.0,31.0,6.0,13.0,1.0,,1.0,4.0,1.0,24.0,324.0,54.0,,1.0,85624,2.0,110.0,10.0,,,133.0,12.0,,11.0,10.0,72.0,,,,4.0,1.0,20.0,6.0,7.0,52.0,242.0,14.0,8.0,26.0,79.0,0.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,46.4,9.0,,2.0,2.0,,4.0,2.0,39.0,6.0,,352.0,,17.0,5.0,14.0,3.0,34.0,,2.0,239.0,5.0,3.0,16.0,58.0,31.0,,13.0,21.0,1.0,2.0,7.0,3.0,12.0,3.0,6.0,6.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
18,919071,2017-12-16 15:00:00,"Vicarage Road, Watford",20026,Home,Watford,Huddersfield Town,1,4,L,0,2,1,1,1.0,1.0,,57.0,,,3.0,,,28.0,14.0,3.0,3.0,10.0,3.0,181.0,,4.0,10.0,1.0,3.0,10.0,3.0,90.0,159.0,65.0,13.0,24.0,1.0,2.0,22.0,9.0,,,14.0,8.0,15.0,25.0,164.0,0.0,103.0,12.0,,1.0,1.0,4.0,56.0,65.0,3.0,73.0,1.0,3.0,14.0,25.0,3.0,3.0,2.0,159.0,,13.0,108.0,662.0,,7.0,8.0,24.0,12.0,336.0,24.0,9.0,6.0,,1.0,2.0,4.0,7.0,32.0,427.0,55.0,,,85624,5.0,196.0,7.0,2.0,1.0,222.0,6.0,1.0,25.0,5.0,66.0,,,3.0,5.0,,13.0,2.0,5.0,62.0,356.0,17.0,7.0,32.0,83.0,0.0,1.0,7.0,5.0,,4.0,2.0,1.0,1.0,,2.0,59.4,28.0,2.0,2.0,3.0,,5.0,3.0,46.0,8.0,1.0,452.0,1.0,12.0,20.0,9.0,7.0,23.0,3.0,5.0,252.0,7.0,14.0,21.0,70.0,26.0,,6.0,18.0,,4.0,8.0,3.0,14.0,,6.0,8.0,1.0,,1.0,,,,2.0,2.0,,,,,1.0,1.0,2.0,,,,1.0,,2.0,3.0,,1.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,
19,919074,2017-12-23 15:00:00,"Amex Stadium, Falmer",30473,Away,Watford,Brighton and Hove Albion,0,1,L,0,0,0,0,1.0,1.0,,59.0,,1.0,1.0,,,33.0,27.0,5.0,2.0,7.0,2.0,177.0,,5.0,13.0,,2.0,9.0,1.0,95.0,162.0,65.0,12.0,38.0,2.0,1.0,19.0,10.0,,,27.0,2.0,9.0,38.0,154.0,0.0,110.0,11.0,,1.0,,2.0,46.0,77.0,4.0,52.0,1.0,3.0,18.0,17.0,5.0,6.0,1.0,162.0,1.0,8.0,73.0,607.0,,6.0,10.0,15.0,10.0,266.0,30.0,10.0,11.0,,2.0,0.0,3.0,5.0,34.0,368.0,52.0,,,85624,4.0,139.0,10.0,1.0,,170.0,5.0,,17.0,12.0,79.0,,,,5.0,,17.0,6.0,9.0,73.0,288.0,8.0,19.0,39.0,72.0,0.0,2.0,6.0,1.0,,1.0,4.0,0.0,5.0,,4.0,48.3,28.0,4.0,3.0,1.0,,5.0,5.0,34.0,4.0,,397.0,,10.0,11.0,20.0,6.0,27.0,1.0,5.0,246.0,6.0,7.0,25.0,69.0,19.0,,11.0,19.0,,,8.0,3.0,16.0,,5.0,4.0,,,,,1.0,4.0,1.0,,,,1.0,,,,,1.0,2.0,,,,,3.0,,1.0,1.0,3.0,3.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
20,919091,2017-12-26 15:00:00,"Vicarage Road, Watford",20308,Home,Watford,Leicester City,2,1,W,1,1,0,0,1.0,,1.0,81.0,,1.0,3.0,,,23.0,30.0,1.0,2.0,10.0,4.0,173.0,,5.0,13.0,2.0,4.0,8.0,1.0,57.0,189.0,68.0,11.0,30.0,,3.0,20.0,14.0,,,30.0,7.0,12.0,35.0,149.0,0.0,136.0,7.0,3.0,3.0,,1.0,73.0,80.0,2.0,49.0,1.0,2.0,13.0,17.0,1.0,3.0,1.0,189.0,1.0,8.0,76.0,575.0,,6.0,10.0,21.0,16.0,220.0,30.0,9.0,13.0,,,3.0,2.0,6.0,28.0,329.0,65.0,1.0,,85624,4.0,90.0,9.0,2.0,,118.0,3.0,1.0,17.0,5.0,66.0,1.0,1.0,4.0,3.0,,22.0,3.0,3.0,58.0,234.0,13.0,15.0,35.0,79.0,0.0,2.0,8.0,3.0,2.0,1.0,1.0,0.0,2.0,,1.0,49.8,20.0,1.0,5.0,2.0,,5.0,3.0,35.0,8.0,,355.0,,16.0,9.0,17.0,7.0,27.0,3.0,5.0,257.0,8.0,9.0,22.0,76.0,36.0,,13.0,20.0,,1.0,6.0,3.0,19.0,,2.0,8.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,1.0,2.0,,,1.0,2.0,,1.0,,2.0,2.0,1.0,2.0,,,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,
21,919101,2017-12-30 15:00:00,"Vicarage Road, Watford",20002,Home,Watford,Swansea City,1,2,L,1,0,0,0,1.0,1.0,1.0,65.0,1.0,1.0,1.0,,,29.0,20.0,2.0,3.0,7.0,2.0,177.0,,4.0,8.0,1.0,2.0,7.0,4.0,124.0,136.0,70.0,9.0,16.0,,1.0,16.0,16.0,,,20.0,1.0,20.0,33.0,217.0,0.0,142.0,14.0,,2.0,1.0,2.0,104.0,62.0,4.0,88.0,,2.0,15.0,27.0,2.0,5.0,2.0,136.0,1.0,4.0,111.0,681.0,,7.0,6.0,15.0,8.0,398.0,22.0,9.0,11.0,,,4.0,1.0,3.0,22.0,479.0,60.0,2.0,,85624,5.0,199.0,8.0,,,222.0,11.0,,27.0,6.0,61.0,2.0,,3.0,3.0,1.0,7.0,5.0,5.0,59.0,412.0,13.0,13.0,27.0,77.0,0.0,3.0,8.0,1.0,1.0,2.0,3.0,0.0,3.0,,2.0,51.1,18.0,,3.0,1.0,,3.0,1.0,54.0,1.0,,500.0,,8.0,15.0,21.0,4.0,25.0,1.0,2.0,294.0,4.0,19.0,28.0,97.0,36.0,,11.0,21.0,1.0,2.0,9.0,3.0,12.0,3.0,11.0,1.0,,,1.0,,2.0,,3.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,919108,2018-01-02 20:00:00,"Etihad Stadium, Manchester",53556,Away,Watford,Manchester City,1,3,L,0,2,0,0,,1.0,1.0,69.0,,1.0,1.0,,,12.0,22.0,1.0,2.0,5.0,5.0,115.0,1.0,1.0,8.0,1.0,,5.0,4.0,57.0,120.0,46.0,7.0,6.0,1.0,1.0,3.0,20.0,,,22.0,1.0,3.0,20.0,79.0,0.0,58.0,12.0,,4.0,,,27.0,40.0,4.0,40.0,3.0,1.0,2.0,18.0,2.0,,2.0,120.0,1.0,14.0,49.0,441.0,,3.0,5.0,10.0,18.0,171.0,36.0,5.0,11.0,1.0,1.0,1.0,3.0,1.0,21.0,238.0,36.0,1.0,,85624,,104.0,2.0,1.0,,125.0,8.0,1.0,18.0,10.0,48.0,2.0,,3.0,3.0,1.0,13.0,5.0,3.0,48.0,182.0,8.0,16.0,23.0,57.0,0.0,2.0,9.0,4.0,1.0,3.0,2.0,0.0,,1.0,,23.3,14.0,,3.0,3.0,,3.0,1.0,23.0,1.0,,261.0,,18.0,11.0,5.0,2.0,11.0,1.0,,139.0,5.0,3.0,5.0,25.0,20.0,1.0,11.0,25.0,,3.0,6.0,3.0,11.0,,9.0,1.0,,,2.0,,,,3.0,1.0,2.0,,,,,1.0,2.0,,,,,,,1.0,,,,2.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,
23,919121,2018-01-13 15:00:00,"Vicarage Road, Watford",20018,Home,Watford,Southampton,2,2,D,0,2,0,0,1.0,,2.0,56.0,,1.0,1.0,,,35.0,21.0,5.0,1.0,11.0,2.0,180.0,1.0,7.0,4.0,2.0,1.0,13.0,4.0,115.0,186.0,60.0,16.0,26.0,1.0,1.0,28.0,11.0,,1.0,21.0,5.0,4.0,34.0,221.0,0.0,169.0,11.0,1.0,1.0,1.0,2.0,77.0,64.0,5.0,61.0,,5.0,23.0,28.0,5.0,12.0,3.0,186.0,1.0,7.0,108.0,686.0,,9.0,15.0,34.0,12.0,334.0,23.0,13.0,13.0,1.0,1.0,0.0,2.0,8.0,38.0,438.0,68.0,,,85624,10.0,136.0,9.0,3.0,,171.0,5.0,,28.0,6.0,63.0,,,,4.0,2.0,24.0,3.0,2.0,64.0,350.0,13.0,12.0,28.0,76.0,0.0,2.0,4.0,1.0,2.0,2.0,8.0,0.0,5.0,1.0,5.0,55.6,28.0,4.0,4.0,,,4.0,2.0,44.0,5.0,,464.0,,12.0,11.0,19.0,10.0,53.0,2.0,7.0,321.0,8.0,3.0,29.0,120.0,20.0,1.0,13.0,14.0,1.0,2.0,11.0,3.0,8.0,,8.0,5.0,1.0,,2.0,,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,1.0,1.0,3.0,,,,,,,,,1.0,2.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
24,919127,2018-01-20 15:00:00,"King Power Stadium, Leicester",31891,Away,Watford,Leicester City,0,2,L,0,1,0,0,,1.0,,60.0,,,2.0,,,24.0,21.0,6.0,2.0,5.0,3.0,177.0,,3.0,9.0,,1.0,7.0,3.0,71.0,159.0,68.0,11.0,14.0,,1.0,21.0,16.0,,2.0,21.0,5.0,7.0,25.0,134.0,0.0,100.0,10.0,,3.0,,,62.0,36.0,6.0,42.0,3.0,,16.0,18.0,6.0,7.0,2.0,159.0,1.0,8.0,66.0,559.0,,6.0,19.0,13.0,9.0,239.0,32.0,12.0,9.0,,,0.0,1.0,1.0,19.0,330.0,48.0,1.0,,85624,4.0,123.0,9.0,1.0,1.0,143.0,5.0,,18.0,6.0,57.0,1.0,,3.0,4.0,,11.0,1.0,4.0,58.0,254.0,11.0,19.0,36.0,82.0,0.0,3.0,4.0,3.0,,2.0,6.0,0.0,2.0,,1.0,46.6,12.0,1.0,1.0,1.0,,4.0,4.0,43.0,5.0,1.0,356.0,1.0,9.0,11.0,13.0,4.0,29.0,1.0,2.0,234.0,8.0,7.0,22.0,58.0,17.0,,9.0,27.0,,2.0,7.0,3.0,13.0,,8.0,5.0,,,2.0,,,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,3.0,3.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,919141,2018-01-31 20:00:00,"bet365 Stadium, Stoke",27458,Away,Watford,Stoke City,0,0,D,0,0,0,0,,2.0,,62.0,,1.0,3.0,,,31.0,38.0,4.0,6.0,7.0,4.0,169.0,,2.0,6.0,,1.0,9.0,2.0,58.0,169.0,69.0,11.0,43.0,,1.0,14.0,9.0,,,38.0,5.0,4.0,35.0,116.0,0.0,109.0,12.0,,1.0,,2.0,52.0,39.0,4.0,28.0,2.0,2.0,10.0,10.0,4.0,2.0,3.0,169.0,,9.0,45.0,484.0,,8.0,19.0,19.0,8.0,168.0,20.0,10.0,22.0,,,3.0,3.0,5.0,28.0,268.0,67.0,,1.0,94924,7.0,71.0,6.0,2.0,,96.0,3.0,,10.0,9.0,76.0,,,,1.0,,14.0,2.0,5.0,79.0,185.0,11.0,11.0,41.0,83.0,0.0,3.0,2.0,3.0,,,5.0,0.0,2.0,,1.0,51.6,13.0,1.0,2.0,,,1.0,4.0,32.0,6.0,,300.0,,8.0,6.0,17.0,5.0,34.0,1.0,2.0,218.0,4.0,2.0,40.0,61.0,29.0,,22.0,13.0,,,8.0,3.0,10.0,,6.0,6.0,,,,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,919151,2018-02-05 20:00:00,"Vicarage Road, Watford",20157,Home,Watford,Chelsea,4,1,W,1,0,0,1,1.0,2.0,2.0,61.0,3.0,,3.0,,,31.0,11.0,10.0,5.0,11.0,2.0,150.0,,6.0,12.0,4.0,2.0,17.0,8.0,92.0,128.0,56.0,21.0,16.0,,3.0,18.0,10.0,,4.0,11.0,5.0,8.0,30.0,194.0,0.0,121.0,11.0,,2.0,1.0,1.0,56.0,58.0,10.0,63.0,,6.0,13.0,17.0,10.0,2.0,5.0,128.0,1.0,5.0,102.0,584.0,,13.0,11.0,33.0,17.0,317.0,24.0,9.0,7.0,3.0,,2.0,2.0,7.0,21.0,392.0,49.0,1.0,,94924,6.0,138.0,10.0,1.0,,155.0,4.0,2.0,17.0,4.0,54.0,1.0,,1.0,2.0,3.0,12.0,2.0,2.0,46.0,326.0,7.0,12.0,17.0,75.0,0.0,,2.0,2.0,4.0,1.0,3.0,0.0,4.0,2.0,1.0,44.6,16.0,1.0,5.0,2.0,1.0,2.0,4.0,45.0,6.0,,407.0,,17.0,10.0,19.0,9.0,32.0,2.0,4.0,270.0,15.0,8.0,20.0,91.0,26.0,2.0,7.0,19.0,,,18.0,3.0,18.0,,4.0,6.0,1.0,2.0,2.0,,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,3.0,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,3.0,4.0,3.0,,,,,,,,,,,,,,1.0,,,
