gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,goalAssistSetplay,goalAssistDeadball,saves,goals,attGoalHighRight,divingSave,midfielderGoals,interceptionsInBox,bigChanceCreated,goalAssist,accurateThroughBall,bigChanceMissed,totalThroughBall,attMissHigh,savedIbox,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,goalsConcededObox,handBall,attGoalLowLeft,goalAssistOpenplay,sixYardBlock,penaltyConceded,goalsOpenplay,attSvLowRight,penaltyFaced,penGoalsConceded,forwardGoals,bigChanceScored,attemptsIbox,postScoringAtt,attIboxPost,penaltyWon,goodHighClaim,attemptsObox,contentiousDecision,subsGoals,attHdPost,touchesInOppBox,hitWoodwork,attRfGoal,attCmissHigh,attPenGoal,attCorner,attPostHigh,totalHighClaim,attFreekickMiss,punches,foulThrowIn,attGoalLowRight,attLfGoal,attOneOnOne,attSvLowLeft,attFreekickPost,attOboxPost,accurateKeeperSweeper,attHdTarget,totalKeeperSweeper,ownGoals,attIboxOwnGoal,attOboxGoal,cleanSheet,defenderGoals,errorLeadToShot,attObxdLeft,attSvHighCentre,attGoalLowCentre,attPostRight,accuratePullBack,totalPullBack,attCmissHighLeft,attGoalHighLeft,errorLeadToGoal,clearanceOffLine,goalFastbreak,attFreekickGoal,attObxRight,attGoalHighCentre,attPostLeft,attObxdRight,attSvHighLeft,attCmissHighRight,secondYellow,attFreekickTarget
11,695008,2013-11-10 14:05:00,"Stadium of Light, Sunderland",40137,Home,Sunderland,Manchester City,1,0,W,1,0,0,0,1.0,47.0,,28.0,37.0,3.0,2.0,,134.0,1.0,3.0,,4.0,1.0,2.0,92.0,119.0,48.0,,5.0,1.0,12.0,,,,,1.0,10.0,11.0,1.0,37.0,,12.0,19.0,126.0,,,0.0,79.0,6.0,,,53.0,57.0,3.0,63.0,1.0,10.0,8.0,,4.0,1.0,119.0,10.0,89.0,567.0,3.0,5.0,18.0,285.0,23.0,,6.0,24.0,0.0,8.0,1.0,9.0,357.0,45.0,,88601,1.0,173.0,6.0,,193.0,2.0,8.0,17.0,34.0,,4.0,9.0,14.0,9.0,52.0,298.0,13.0,6.0,,28.0,83.0,,,0.0,1.0,14.0,,1.0,0.0,1.0,1.0,36.9,8.0,1.0,,4.0,1.0,37.0,,378.0,18.0,7.0,9.0,2.0,9.0,,1.0,195.0,2.0,12.0,14.0,48.0,15.0,12.0,24.0,18.0,,5.0,3.0,7.0,12.0,4.0,,4.0,,,4.0,1.0,,2.0,,5.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,4.0,,1.0,,,,,1.0,,,,,4.0,,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,695017,2013-11-23 15:00:00,"bet365 Stadium, Stoke",26007,Away,Sunderland,Stoke City,0,2,L,0,1,1,0,,47.0,2.0,33.0,24.0,8.0,6.0,3.0,137.0,2.0,8.0,2.0,9.0,,3.0,133.0,129.0,36.0,1.0,11.0,3.0,22.0,1.0,,,,,21.0,5.0,2.0,24.0,4.0,15.0,40.0,220.0,,,0.0,120.0,5.0,,2.0,62.0,75.0,6.0,81.0,1.0,18.0,7.0,1.0,8.0,3.0,129.0,9.0,108.0,644.0,8.0,6.0,7.0,376.0,21.0,,3.0,14.0,1.0,5.0,3.0,25.0,442.0,54.0,,88601,3.0,174.0,8.0,1.0,194.0,,7.0,10.0,48.0,2.0,11.0,17.0,8.0,4.0,48.0,392.0,10.0,6.0,1.0,18.0,70.0,,,0.0,,3.0,2.0,2.0,1.0,1.0,,50.1,22.0,,,11.0,5.0,43.0,7.0,459.0,7.0,8.0,21.0,3.0,16.0,2.0,,286.0,4.0,15.0,12.0,92.0,15.0,,14.0,6.0,2.0,9.0,3.0,15.0,,4.0,7.0,1.0,,,3.0,,,1.0,,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,695021,2013-11-30 15:00:00,"Villa Park, Birmingham",33036,Away,Sunderland,Aston Villa,0,0,D,0,0,0,0,,55.0,,41.0,23.0,3.0,1.0,,171.0,2.0,7.0,3.0,4.0,1.0,1.0,83.0,150.0,55.0,2.0,7.0,1.0,17.0,1.0,,,,2.0,20.0,11.0,,23.0,2.0,20.0,38.0,141.0,,,0.0,104.0,12.0,1.0,1.0,62.0,56.0,1.0,67.0,1.0,18.0,13.0,2.0,6.0,3.0,150.0,5.0,98.0,601.0,4.0,18.0,9.0,300.0,25.0,,7.0,13.0,1.0,2.0,3.0,21.0,396.0,57.0,,77454,2.0,180.0,11.0,,206.0,2.0,13.0,11.0,43.0,5.0,5.0,12.0,8.0,6.0,75.0,319.0,13.0,7.0,,22.0,93.0,,1.0,0.0,,7.0,,6.0,0.0,2.0,1.0,49.1,21.0,,1.0,5.0,1.0,53.0,6.0,419.0,9.0,6.0,25.0,5.0,14.0,,2.0,233.0,5.0,18.0,21.0,63.0,19.0,8.0,13.0,15.0,,3.0,3.0,11.0,8.0,2.0,6.0,3.0,,,4.0,,,2.0,,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,1.0,,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
14,695037,2013-12-04 19:45:00,"Stadium of Light, Sunderland",40652,Home,Sunderland,Chelsea,3,4,L,1,2,0,0,,42.0,2.0,18.0,20.0,6.0,5.0,,152.0,1.0,7.0,4.0,5.0,,3.0,87.0,155.0,47.0,1.0,12.0,3.0,18.0,,,1.0,,3.0,21.0,15.0,,20.0,5.0,17.0,51.0,121.0,,,0.0,104.0,15.0,,1.0,45.0,46.0,4.0,69.0,1.0,16.0,12.0,1.0,7.0,3.0,155.0,10.0,83.0,579.0,4.0,7.0,9.0,278.0,18.0,,1.0,10.0,4.0,2.0,1.0,27.0,373.0,60.0,,77454,4.0,172.0,8.0,2.0,197.0,,12.0,16.0,70.0,,4.0,10.0,10.0,12.0,49.0,292.0,14.0,21.0,,24.0,80.0,,,0.0,,5.0,4.0,2.0,0.0,1.0,,45.0,22.0,,,4.0,5.0,40.0,6.0,391.0,9.0,13.0,22.0,4.0,17.0,,1.0,215.0,7.0,15.0,11.0,58.0,18.0,,10.0,17.0,3.0,5.0,3.0,11.0,,5.0,6.0,1.0,1.0,,2.0,3.0,,,,2.0,,1.0,,,,,1.0,3.0,1.0,3.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,
15,695048,2013-12-07 17:30:00,"Stadium of Light, Sunderland",37963,Home,Sunderland,Tottenham Hotspur,1,2,L,1,1,0,0,,51.0,,25.0,13.0,4.0,2.0,3.0,154.0,4.0,3.0,2.0,9.0,,4.0,91.0,141.0,59.0,,11.0,2.0,16.0,1.0,,,1.0,1.0,25.0,25.0,2.0,13.0,3.0,17.0,39.0,151.0,,,0.0,107.0,14.0,1.0,1.0,66.0,40.0,4.0,72.0,1.0,22.0,10.0,,8.0,,141.0,12.0,102.0,618.0,8.0,11.0,12.0,326.0,22.0,,3.0,4.0,2.0,8.0,5.0,19.0,402.0,55.0,,77454,5.0,190.0,13.0,1.0,211.0,1.0,10.0,10.0,60.0,2.0,7.0,7.0,11.0,5.0,52.0,337.0,9.0,11.0,1.0,18.0,76.0,,1.0,0.0,,10.0,2.0,2.0,0.0,4.0,3.0,47.0,15.0,3.0,1.0,7.0,2.0,38.0,4.0,419.0,12.0,11.0,23.0,5.0,17.0,,5.0,233.0,6.0,15.0,20.0,69.0,17.0,3.0,4.0,28.0,2.0,9.0,3.0,12.0,3.0,6.0,4.0,3.0,,,4.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,2.0,3.0,1.0,1.0,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,2.0,,1.0,,,,,1.0,,,,,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
16,695060,2013-12-14 15:00:00,"Boleyn Ground, London",31843,Away,Sunderland,West Ham United,0,0,D,0,0,0,0,2.0,49.0,3.0,26.0,15.0,11.0,4.0,4.0,159.0,8.0,6.0,,16.0,,6.0,101.0,151.0,58.0,,19.0,4.0,31.0,4.0,,1.0,1.0,,29.0,17.0,2.0,15.0,7.0,19.0,31.0,217.0,1.0,1.0,0.0,144.0,5.0,1.0,1.0,79.0,65.0,11.0,58.0,3.0,22.0,9.0,,7.0,4.0,151.0,6.0,101.0,636.0,14.0,11.0,11.0,333.0,19.0,1.0,6.0,8.0,0.0,1.0,5.0,27.0,405.0,63.0,1.0,77454,3.0,134.0,14.0,,149.0,,9.0,16.0,74.0,1.0,6.0,13.0,5.0,7.0,46.0,343.0,11.0,16.0,2.0,22.0,89.0,,,0.0,2.0,2.0,,6.0,0.0,5.0,1.0,58.7,20.0,1.0,1.0,6.0,7.0,48.0,9.0,419.0,11.0,16.0,20.0,6.0,14.0,3.0,1.0,299.0,14.0,18.0,20.0,111.0,20.0,2.0,8.0,22.0,,13.0,3.0,12.0,2.0,3.0,9.0,1.0,,,2.0,,,2.0,,,1.0,,2.0,1.0,3.0,,1.0,,,,4.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,3.0,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
17,695068,2013-12-21 15:00:00,"Stadium of Light, Sunderland",37778,Home,Sunderland,Norwich City,0,0,D,0,0,1,0,,59.0,1.0,41.0,14.0,14.0,2.0,3.0,166.0,5.0,10.0,4.0,14.0,1.0,4.0,131.0,145.0,51.0,1.0,18.0,3.0,16.0,2.0,2.0,,2.0,3.0,22.0,11.0,2.0,14.0,5.0,23.0,38.0,207.0,2.0,,0.0,161.0,13.0,2.0,,46.0,76.0,6.0,71.0,2.0,17.0,8.0,1.0,7.0,9.0,145.0,9.0,121.0,685.0,12.0,10.0,8.0,397.0,30.0,,9.0,9.0,2.0,4.0,8.0,21.0,473.0,73.0,,77454,3.0,206.0,10.0,2.0,223.0,1.0,8.0,10.0,56.0,1.0,5.0,14.0,5.0,7.0,64.0,408.0,10.0,6.0,2.0,23.0,66.0,2.0,1.0,0.0,1.0,7.0,,3.0,1.0,2.0,2.0,58.8,18.0,,1.0,5.0,4.0,35.0,6.0,489.0,8.0,16.0,22.0,10.0,26.0,3.0,,288.0,14.0,21.0,19.0,113.0,16.0,4.0,9.0,12.0,,12.0,3.0,19.0,4.0,2.0,6.0,2.0,,,5.0,,,4.0,,2.0,1.0,,,2.0,4.0,2.0,3.0,,,3.0,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,,,,3.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
19,695082,2013-12-28 17:30:00,"Cardiff City Stadium, Cardiff",27247,Away,Sunderland,Cardiff City,2,2,D,0,1,0,0,3.0,54.0,4.0,24.0,15.0,8.0,8.0,4.0,166.0,9.0,4.0,4.0,15.0,2.0,9.0,117.0,145.0,37.0,,21.0,2.0,12.0,4.0,,1.0,1.0,,31.0,10.0,3.0,15.0,5.0,21.0,29.0,216.0,1.0,,0.0,138.0,10.0,,1.0,62.0,57.0,12.0,58.0,4.0,26.0,10.0,,11.0,3.0,145.0,7.0,124.0,667.0,11.0,8.0,7.0,363.0,20.0,1.0,4.0,7.0,2.0,2.0,3.0,25.0,447.0,58.0,1.0,77454,8.0,171.0,14.0,2.0,192.0,2.0,10.0,6.0,40.0,2.0,9.0,13.0,9.0,3.0,41.0,378.0,13.0,6.0,2.0,18.0,76.0,,,0.0,2.0,7.0,2.0,1.0,0.0,8.0,,55.9,22.0,,,10.0,6.0,45.0,6.0,465.0,7.0,10.0,12.0,6.0,26.0,1.0,3.0,304.0,12.0,19.0,9.0,101.0,23.0,2.0,7.0,13.0,1.0,17.0,3.0,6.0,2.0,9.0,6.0,4.0,,,5.0,2.0,,1.0,1.0,,2.0,2.0,,2.0,,,1.0,2.0,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,2.0,3.0,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,2.0,,1.0,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
20,695098,2014-01-01 15:00:00,"Stadium of Light, Sunderland",39757,Home,Sunderland,Aston Villa,0,1,L,0,1,0,0,,49.0,3.0,37.0,9.0,11.0,6.0,1.0,158.0,4.0,10.0,1.0,16.0,1.0,1.0,138.0,134.0,47.0,,17.0,5.0,10.0,,,1.0,,4.0,32.0,13.0,1.0,9.0,5.0,13.0,37.0,276.0,1.0,,0.0,167.0,8.0,,1.0,86.0,82.0,8.0,72.0,1.0,27.0,11.0,,9.0,5.0,134.0,9.0,155.0,707.0,16.0,6.0,5.0,440.0,19.0,,1.0,2.0,4.0,4.0,8.0,22.0,505.0,70.0,,98769,3.0,183.0,17.0,,198.0,1.0,11.0,7.0,42.0,4.0,5.0,9.0,4.0,5.0,51.0,455.0,10.0,7.0,,13.0,73.0,,2.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,,64.8,20.0,,1.0,5.0,8.0,58.0,10.0,523.0,5.0,14.0,21.0,8.0,21.0,,3.0,357.0,11.0,12.0,10.0,129.0,24.0,,2.0,17.0,1.0,15.0,3.0,15.0,,4.0,10.0,2.0,,,3.0,,,2.0,,2.0,1.0,,,1.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,2.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
21,695104,2014-01-11 15:00:00,"Craven Cottage, London",25564,Away,Sunderland,Fulham,4,1,W,2,0,0,0,1.0,57.0,,33.0,24.0,4.0,3.0,1.0,137.0,2.0,6.0,6.0,6.0,,6.0,59.0,129.0,51.0,1.0,10.0,1.0,13.0,1.0,1.0,,1.0,1.0,15.0,16.0,1.0,24.0,3.0,5.0,29.0,127.0,,,0.0,96.0,12.0,4.0,2.0,60.0,42.0,3.0,57.0,1.0,12.0,9.0,1.0,1.0,1.0,129.0,9.0,68.0,500.0,4.0,17.0,7.0,227.0,34.0,,13.0,18.0,3.0,1.0,3.0,18.0,296.0,53.0,,98769,4.0,120.0,9.0,3.0,146.0,,9.0,17.0,50.0,,2.0,7.0,8.0,7.0,54.0,245.0,15.0,8.0,,35.0,84.0,1.0,,0.0,4.0,10.0,1.0,8.0,0.0,1.0,2.0,41.1,16.0,2.0,,2.0,1.0,44.0,6.0,321.0,7.0,10.0,20.0,3.0,8.0,1.0,2.0,190.0,5.0,4.0,13.0,64.0,15.0,3.0,18.0,18.0,1.0,4.0,3.0,13.0,3.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,,,,,,1.0,,,1.0,1.0,,,,2.0,,,,1.0,2.0,,,,,,,2.0,1.0,1.0,,,3.0,,1.0,,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,
22,695117,2014-01-18 12:45:00,"Stadium of Light, Sunderland",38115,Home,Sunderland,Southampton,2,2,D,1,2,0,0,2.0,66.0,2.0,36.0,22.0,3.0,3.0,1.0,136.0,3.0,4.0,1.0,8.0,,5.0,69.0,168.0,57.0,,10.0,2.0,22.0,1.0,,2.0,,1.0,20.0,18.0,2.0,22.0,4.0,4.0,39.0,106.0,,,0.0,101.0,8.0,,1.0,48.0,36.0,7.0,41.0,,16.0,8.0,,5.0,,168.0,7.0,61.0,528.0,5.0,21.0,16.0,201.0,29.0,,11.0,14.0,2.0,3.0,1.0,32.0,288.0,61.0,,82263,1.0,106.0,10.0,,130.0,1.0,8.0,10.0,52.0,5.0,5.0,15.0,10.0,5.0,74.0,209.0,8.0,7.0,1.0,39.0,91.0,,,0.0,3.0,7.0,2.0,7.0,0.0,2.0,1.0,36.5,23.0,1.0,3.0,5.0,4.0,40.0,4.0,307.0,16.0,11.0,23.0,1.0,15.0,1.0,1.0,197.0,6.0,1.0,23.0,61.0,18.0,6.0,14.0,23.0,1.0,5.0,3.0,9.0,6.0,4.0,4.0,4.0,,,6.0,2.0,1.0,6.0,1.0,,1.0,2.0,,1.0,,,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,2.0,2.0,,,1.0,1.0,,,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,,1.0,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,
23,695127,2014-01-29 19:45:00,"Stadium of Light, Sunderland",34745,Home,Sunderland,Stoke City,1,0,W,1,0,0,1,1.0,59.0,2.0,38.0,32.0,7.0,4.0,4.0,138.0,3.0,14.0,4.0,13.0,,6.0,106.0,126.0,64.0,1.0,16.0,2.0,23.0,2.0,,4.0,2.0,3.0,8.0,16.0,3.0,32.0,1.0,14.0,36.0,181.0,1.0,,0.0,106.0,16.0,1.0,,45.0,63.0,7.0,61.0,,7.0,12.0,1.0,3.0,2.0,126.0,13.0,97.0,621.0,13.0,6.0,7.0,312.0,24.0,1.0,10.0,17.0,2.0,3.0,6.0,16.0,378.0,59.0,,88372,2.0,151.0,4.0,1.0,166.0,6.0,12.0,9.0,69.0,1.0,6.0,11.0,2.0,2.0,58.0,329.0,14.0,6.0,,23.0,85.0,,3.0,0.0,1.0,3.0,,2.0,0.0,3.0,1.0,48.1,15.0,1.0,1.0,6.0,4.0,48.0,2.0,402.0,7.0,17.0,19.0,6.0,12.0,,4.0,244.0,11.0,13.0,14.0,69.0,20.0,2.0,17.0,23.0,,13.0,3.0,23.0,2.0,6.0,3.0,,,,6.0,1.0,,2.0,1.0,,1.0,,,1.0,,1.0,5.0,1.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,4.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
24,695137,2014-02-01 12:45:00,"St. James' Park, Newcastle",52280,Away,Sunderland,Newcastle United,3,0,W,2,0,0,0,1.0,62.0,1.0,23.0,28.0,5.0,7.0,1.0,128.0,6.0,9.0,6.0,13.0,1.0,5.0,77.0,146.0,59.0,1.0,16.0,2.0,26.0,2.0,3.0,1.0,1.0,,14.0,14.0,,28.0,2.0,8.0,30.0,147.0,,,0.0,111.0,13.0,6.0,3.0,55.0,58.0,6.0,43.0,2.0,12.0,17.0,1.0,2.0,4.0,146.0,12.0,68.0,542.0,7.0,7.0,7.0,222.0,31.0,2.0,8.0,14.0,2.0,8.0,7.0,23.0,287.0,53.0,1.0,88372,4.0,93.0,7.0,4.0,111.0,5.0,17.0,12.0,66.0,,4.0,15.0,16.0,1.0,55.0,234.0,18.0,5.0,5.0,35.0,88.0,3.0,,0.0,1.0,7.0,,1.0,0.0,5.0,2.0,49.0,18.0,2.0,4.0,4.0,3.0,34.0,3.0,316.0,7.0,14.0,21.0,8.0,10.0,1.0,3.0,219.0,7.0,7.0,18.0,76.0,9.0,2.0,14.0,16.0,,10.0,2.0,19.0,2.0,7.0,3.0,7.0,,,9.0,3.0,,1.0,2.0,2.0,2.0,1.0,,1.0,,3.0,3.0,3.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,2.0,1.0,,,1.0,3.0,,1.0,1.0,1.0,4.0,,,,,,1.0,1.0,2.0,1.0,,,4.0,1.0,,,1.0,2.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,,
25,695148,2014-02-08 15:00:00,"Stadium of Light, Sunderland",42810,Home,Sunderland,Hull City,0,2,L,0,1,1,0,1.0,57.0,,29.0,21.0,5.0,2.0,2.0,150.0,4.0,8.0,2.0,3.0,1.0,3.0,101.0,131.0,41.0,1.0,7.0,2.0,23.0,,,1.0,1.0,1.0,14.0,8.0,3.0,21.0,2.0,14.0,42.0,149.0,,,0.0,112.0,12.0,,,50.0,46.0,2.0,75.0,1.0,12.0,12.0,1.0,6.0,,131.0,15.0,82.0,590.0,3.0,8.0,15.0,306.0,33.0,,11.0,9.0,1.0,4.0,1.0,15.0,384.0,59.0,,88372,,177.0,6.0,1.0,196.0,3.0,12.0,10.0,56.0,1.0,9.0,14.0,10.0,6.0,59.0,322.0,16.0,9.0,,33.0,82.0,,,0.0,1.0,6.0,2.0,3.0,1.0,4.0,,43.8,12.0,,,9.0,2.0,42.0,2.0,408.0,15.0,5.0,20.0,2.0,13.0,,2.0,226.0,5.0,11.0,8.0,73.0,10.0,5.0,9.0,10.0,2.0,5.0,3.0,15.0,5.0,4.0,2.0,4.0,,,7.0,,,6.0,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,6.0,,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
26,695159,2014-04-16 19:45:00,"Etihad Stadium, Manchester",47046,Away,Sunderland,Manchester City,2,2,D,0,1,0,0,,66.0,,43.0,14.0,3.0,2.0,1.0,140.0,4.0,17.0,2.0,11.0,1.0,3.0,96.0,136.0,57.0,,11.0,,10.0,1.0,1.0,1.0,1.0,3.0,21.0,16.0,,14.0,6.0,10.0,41.0,171.0,1.0,,0.0,84.0,10.0,2.0,2.0,62.0,45.0,3.0,75.0,1.0,15.0,13.0,,7.0,3.0,136.0,10.0,93.0,613.0,6.0,5.0,12.0,324.0,35.0,1.0,10.0,7.0,3.0,2.0,8.0,16.0,387.0,44.0,1.0,88601,3.0,171.0,6.0,1.0,193.0,4.0,13.0,12.0,64.0,1.0,7.0,7.0,6.0,6.0,59.0,338.0,13.0,13.0,3.0,28.0,71.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,43.2,9.0,3.0,2.0,7.0,,46.0,6.0,404.0,12.0,22.0,35.0,8.0,14.0,1.0,5.0,232.0,6.0,10.0,8.0,65.0,20.0,6.0,7.0,20.0,2.0,8.0,2.0,26.0,6.0,5.0,6.0,2.0,,,2.0,2.0,,1.0,,2.0,3.0,2.0,2.0,2.0,3.0,2.0,,2.0,2.0,1.0,,,,,,2.0,,,2.0,,,,2.0,1.0,,,,,2.0,,,,,,,2.0,1.0,,,,2.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,,,,,
27,695170,2014-02-22 15:00:00,"Emirates Stadium, London",60012,Away,Sunderland,Arsenal,1,4,L,0,3,0,0,,51.0,1.0,27.0,19.0,4.0,1.0,2.0,125.0,3.0,5.0,4.0,4.0,1.0,3.0,85.0,103.0,36.0,1.0,7.0,,12.0,2.0,,,,,14.0,11.0,,19.0,2.0,21.0,26.0,136.0,1.0,,0.0,91.0,11.0,3.0,3.0,51.0,44.0,2.0,68.0,2.0,12.0,15.0,1.0,3.0,3.0,103.0,6.0,94.0,530.0,3.0,4.0,9.0,293.0,21.0,,1.0,12.0,1.0,2.0,2.0,19.0,354.0,50.0,1.0,88372,1.0,175.0,6.0,2.0,189.0,2.0,11.0,1.0,44.0,4.0,4.0,9.0,6.0,1.0,50.0,308.0,10.0,8.0,1.0,14.0,62.0,,,0.0,,7.0,4.0,1.0,0.0,3.0,,35.2,17.0,,4.0,4.0,1.0,37.0,3.0,372.0,9.0,10.0,12.0,3.0,22.0,,,197.0,6.0,19.0,6.0,59.0,17.0,4.0,12.0,15.0,4.0,4.0,3.0,8.0,4.0,11.0,3.0,4.0,,,5.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,3.0,,,,2.0,4.0,,1.0,,22.0,,1.0,,,,,2.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,
