gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attOneOnOne,divingSave,goodHighClaim,attHdTarget,goalAssist,errorLeadToShot,totalPullBack,attMissHigh,goalAssistIntentional,shieldBallOop,attSvHighCentre,clearanceOffLine,totalHighClaim,forwardGoals,accurateKeeperSweeper,totalKeeperSweeper,penaltySave,bigChanceScored,savedObox,penaltyWon,ptsGainedLosingPos,penaltyConceded,attCmissHigh,attCmissHighRight,penaltyFaced,accuratePullBack,sixYardBlock,attIboxPost,attOboxTarget,attSvHighLeft,attHdPost,attPostHigh,errorLeadToGoal,goalAssistDeadball,contentiousDecision,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickMiss,attCmissHighLeft,ptsDroppedWinningPos,attSvHighRight,attObxdLeft,attIboxOwnGoal,attPostRight,attPenTarget,attFreekickTarget,penGoalsConceded,foulThrowIn,attObxdRight,attLgRight,attLgCentre
11,2562002,2025-11-08 17:30:00,"Stadium of Light, Sunderland",46799.0,Home,Sunderland,Arsenal,2,2,D,1.0,0.0,0,0,1.0,,,29.0,0.0,0.0,2.0,0.8198,12.0,39.0,,1.0,6.0,5.0,0.0,1.0,109.0,1.0,,2.0,2.0,1.0,5.0,,2.0,63.0,109.0,50.0,6.0,,31.0,1.0,,,,1.0,11.0,8.0,1.0,39.0,2.0,4.0,15.0,1.3769,117.0,,,0.0,0.0,78.0,13.0,0.0,,0.0,,2.0,36.0,30.0,3.0,45.0,,1.0,9.0,9.0,,0.0,0.0,6.0,,109.0,1.0,12.0,1.0,,70.0,457.0,4.0,3.0,14.0,,6.0,216.0,13.0,,6.0,21.0,2.0,4.0,2.0,0.332842,17.0,266.0,43.0,,,33.56,441264,4.0,109.0,,1.0,1.0,123.0,4.0,109501.67,2.0,5.0,6.0,60.0,0.0,2.0,1.0,2.0,3.0,1.0,12.0,5.0,,0.0,41.0,226.0,13.0,8.0,,23.0,1.0,55.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,2.0,4.0,2.0,,2.0,1.0,0.0,,,35.2,6.0,,,2.0,3.0,2.0,23.0,2.0,287.0,6.0,7.0,9.0,2.0,28.0,,2.0,175.0,5.0,4.0,21.0,51.0,7.0,4.0,21.0,16.0,0.0,1.0,4.0,4.0,7.0,0.4357,4.0,5.0,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,2.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,
12,2562009,2025-11-22 15:00:00,"Craven Cottage, London",27560.0,Away,Sunderland,Fulham,0,1,L,0.0,0.0,0,0,0.0,2.0,1.0,42.0,0.0,0.0,1.0,0.1832,17.0,25.0,,1.0,4.0,4.0,0.0,,151.0,0.0,2.0,3.0,0.0,,4.0,,2.0,78.0,127.0,43.0,4.0,,12.0,2.0,,1.0,,,14.0,9.0,0.0,25.0,3.0,5.0,21.0,1.2667,125.0,,,0.0,0.0,100.0,13.0,0.0,,0.0,1.0,,46.0,58.0,3.0,58.0,1.0,1.0,11.0,18.0,,0.0,0.0,3.0,,127.0,,18.0,0.0,,86.0,546.0,3.0,4.0,22.0,,9.0,287.0,17.0,,5.0,14.0,3.0,6.0,1.0,0.566845,17.0,352.0,51.0,1.0,,34.23,549912,,176.0,,8.0,,194.0,4.0,110724.16,0.0,6.0,11.0,36.0,0.0,3.0,0.0,3.0,4.0,0.0,19.0,6.0,5.0,0.0,49.0,299.0,5.0,2.0,1.0,19.0,1.0,71.0,,0.0,0.0,,,0.0,1.0,0.0,,7.0,3.0,0.0,,1.0,2.0,0.0,1.0,1.0,43.1,9.0,,1.0,1.0,4.0,1.0,35.0,4.0,373.0,9.0,8.0,8.0,1.0,22.0,1.0,1.0,193.0,2.0,5.0,14.0,68.0,17.0,4.0,14.0,21.0,0.0,1.0,3.0,4.0,6.0,0.174,4.0,6.0,4.0,,,,,,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,2562022,2025-11-29 15:00:00,"Stadium of Light, Sunderland",46973.0,Home,Sunderland,Bournemouth,3,2,W,1.0,2.0,0,1,1.0,1.0,1.0,55.0,1.0,1.0,2.0,1.8154,13.0,26.0,2.0,3.0,10.0,4.0,1.0,2.0,139.0,0.0,6.0,9.0,3.0,2.0,10.0,1.0,6.0,71.0,148.0,56.0,12.0,1.0,15.0,2.0,1.0,3.0,,1.0,22.0,8.0,0.0,26.0,5.0,9.0,21.0,2.9543,127.0,,,0.0,0.0,117.0,14.0,0.0,1.0,2.0,1.0,2.0,35.0,74.0,6.0,48.0,1.0,3.0,17.0,12.0,2.0,1.0,0.0,9.0,1.0,148.0,1.0,13.0,1.0,,76.0,521.0,8.0,7.0,29.0,,8.0,221.0,17.0,,6.0,13.0,5.0,4.0,4.0,0.657495,12.0,310.0,58.0,1.0,1.0,33.49,437505,4.0,119.0,1.0,6.0,2.0,141.0,6.0,116032.94,1.0,5.0,8.0,50.0,0.0,2.0,0.0,1.0,5.0,0.0,14.0,5.0,5.0,1.0,50.0,240.0,12.0,3.0,,31.0,1.0,56.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,,3.0,4.0,3.0,,2.0,2.0,0.0,5.0,2.0,42.5,9.0,1.0,8.0,2.0,6.0,2.0,22.0,6.0,334.0,8.0,5.0,6.0,4.0,34.0,1.0,3.0,215.0,7.0,9.0,21.0,71.0,22.0,3.0,13.0,14.0,1.0,1.0,8.0,4.0,23.0,1.2772,3.0,5.0,6.0,2.0,,,,,1.0,2.0,,2.0,1.0,2.0,,1.0,,,,2.0,,,,,1.0,,1.0,3.0,,,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,
14,2562031,2025-12-03 20:15:00,"Anfield, Liverpool",60414.0,Away,Sunderland,Liverpool,1,1,D,0.0,0.0,0,0,0.0,1.0,2.0,42.0,1.0,0.0,1.0,0.4488,24.0,47.0,4.0,2.0,4.0,4.0,0.0,3.0,114.0,0.0,3.0,3.0,1.0,1.0,4.0,,6.0,78.0,121.0,44.0,9.0,1.0,18.0,2.0,1.0,1.0,1.0,1.0,12.0,7.0,0.0,47.0,3.0,2.0,30.0,1.0034,88.0,,,1.0,0.0,85.0,5.0,0.0,1.0,1.0,,1.0,46.0,31.0,3.0,51.0,,,9.0,16.0,5.0,0.0,0.0,3.0,1.0,121.0,1.0,14.0,0.0,1.0,61.0,491.0,2.0,2.0,16.0,2.0,9.0,205.0,16.0,,6.0,25.0,1.0,10.0,1.0,0.314723,15.0,278.0,43.0,2.0,,34.11,434399,1.0,133.0,1.0,6.0,2.0,154.0,2.0,112505.92,1.0,7.0,11.0,39.0,1.0,2.0,0.0,2.0,2.0,1.0,6.0,10.0,7.0,0.0,73.0,218.0,10.0,5.0,1.0,32.0,2.0,55.0,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0,7.0,2.0,0.0,,1.0,1.0,0.0,1.0,1.0,32.0,10.0,,5.0,2.0,2.0,1.0,18.0,3.0,304.0,9.0,6.0,13.0,2.0,23.0,2.0,1.0,162.0,6.0,2.0,17.0,44.0,10.0,3.0,25.0,15.0,0.0,1.0,4.0,3.0,9.0,0.4208,3.0,7.0,3.0,,1.0,3.0,,1.0,,5.0,,1.0,2.0,,1.0,,,1.0,,5.0,,,,,,2.0,,,,,,,,,1.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,0.0338,1.0,,2.0,,1.0,1.0,,,,,,,,
15,2562041,2025-12-06 15:00:00,"Etihad Stadium, Manchester",52436.0,Away,Sunderland,Manchester City,0,3,L,0.0,2.0,1,0,1.0,,,45.0,0.0,0.0,3.0,0.5867,20.0,28.0,3.0,3.0,5.0,2.0,0.0,1.0,122.0,0.0,1.0,3.0,0.0,,5.0,,1.0,84.0,108.0,42.0,8.0,,11.0,1.0,2.0,2.0,1.0,1.0,13.0,13.0,0.0,28.0,4.0,6.0,35.0,2.2269,82.0,1.0,,0.0,0.0,55.0,10.0,0.0,2.0,0.0,1.0,1.0,35.0,30.0,3.0,62.0,1.0,,9.0,15.0,3.0,0.0,0.0,1.0,3.0,108.0,,15.0,0.0,,79.0,498.0,4.0,2.0,7.0,1.0,8.0,263.0,29.0,1.0,1.0,9.0,0.0,5.0,2.0,0.294619,14.0,325.0,29.0,1.0,,34.15,549912,1.0,196.0,1.0,7.0,,225.0,8.0,111794.09,0.0,7.0,9.0,40.0,0.0,1.0,0.0,3.0,3.0,0.0,12.0,3.0,5.0,0.0,48.0,277.0,9.0,11.0,1.0,14.0,2.0,44.0,2.0,0.0,0.0,,1.0,0.0,,0.0,2.0,6.0,3.0,0.0,1.0,3.0,,1.0,,1.0,36.1,13.0,,6.0,1.0,3.0,3.0,24.0,5.0,347.0,8.0,2.0,16.0,4.0,17.0,1.0,,135.0,4.0,6.0,10.0,32.0,5.0,1.0,9.0,20.0,0.0,2.0,6.0,5.0,9.0,0.7086,1.0,7.0,5.0,,,,,1.0,1.0,2.0,,,,,1.0,,1.0,,1.0,2.0,,3.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
16,2562053,2025-12-14 14:00:00,"Stadium of Light, Sunderland",47158.0,Home,Sunderland,Newcastle United,1,0,W,0.0,0.0,0,0,0.0,,,47.0,0.0,0.0,1.0,0.2443,18.0,29.0,2.0,2.0,3.0,2.0,0.0,1.0,148.0,0.0,2.0,7.0,1.0,,4.0,1.0,1.0,89.0,145.0,54.0,5.0,1.0,27.0,1.0,,1.0,,,14.0,7.0,0.0,29.0,3.0,9.0,30.0,0.286,178.0,,1.0,0.0,0.0,154.0,10.0,0.0,,0.0,,,55.0,80.0,2.0,72.0,1.0,1.0,11.0,10.0,2.0,0.0,0.0,4.0,1.0,145.0,1.0,2.0,0.0,,85.0,558.0,4.0,9.0,15.0,,11.0,298.0,20.0,,7.0,19.0,5.0,3.0,2.0,0.420658,19.0,377.0,69.0,,,33.93,549912,,126.0,1.0,7.0,,141.0,6.0,110421.36,0.0,1.0,5.0,53.0,0.0,,0.0,,7.0,0.0,22.0,4.0,1.0,0.0,61.0,302.0,10.0,8.0,,31.0,,63.0,,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,6.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,46.6,10.0,1.0,4.0,,8.0,2.0,25.0,3.0,394.0,11.0,6.0,13.0,2.0,35.0,1.0,1.0,267.0,2.0,9.0,27.0,99.0,9.0,2.0,19.0,10.0,0.0,0.0,4.0,3.0,9.0,0.2959,2.0,1.0,3.0,,,,,,1.0,3.0,,,,3.0,2.0,,,,,3.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2562057,2025-12-20 15:00:00,"American Express Stadium, Falmer",31426.0,Away,Sunderland,Brighton and Hove Albion,0,0,D,0.0,0.0,0,0,0.0,2.0,2.0,49.0,0.0,0.0,3.0,0.6288,24.0,22.0,5.0,5.0,9.0,4.0,0.0,2.0,139.0,0.0,5.0,2.0,0.0,1.0,9.0,,6.0,73.0,129.0,57.0,14.0,1.0,21.0,4.0,2.0,1.0,,2.0,14.0,15.0,0.0,22.0,4.0,3.0,32.0,0.2371,127.0,,1.0,0.0,0.0,100.0,15.0,0.0,2.0,0.0,1.0,1.0,43.0,49.0,6.0,57.0,1.0,2.0,10.0,13.0,5.0,0.0,0.0,2.0,2.0,129.0,1.0,7.0,0.0,,65.0,529.0,8.0,5.0,26.0,1.0,9.0,243.0,20.0,,5.0,15.0,2.0,5.0,3.0,1.14651,17.0,312.0,50.0,1.0,,32.99,484420,5.0,133.0,2.0,7.0,2.0,157.0,6.0,112106.29,0.0,6.0,9.0,59.0,0.0,1.0,0.0,1.0,7.0,0.0,18.0,9.0,5.0,0.0,58.0,255.0,10.0,13.0,1.0,24.0,1.0,55.0,2.0,0.0,0.0,,,0.0,,0.0,2.0,3.0,1.0,0.0,,0.0,1.0,0.0,4.0,4.0,43.2,9.0,2.0,2.0,1.0,7.0,4.0,23.0,4.0,334.0,9.0,6.0,18.0,4.0,29.0,1.0,2.0,191.0,5.0,3.0,20.0,64.0,16.0,2.0,15.0,25.0,0.0,0.0,10.0,3.0,8.0,1.3847,2.0,6.0,4.0,,,4.0,,,,1.0,2.0,,,,,,2.0,1.0,,1.0,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
18,2562073,2025-12-28 14:00:00,"Stadium of Light, Sunderland",46675.0,Home,Sunderland,Leeds United,1,1,D,1.0,0.0,0,0,0.0,,,34.0,0.0,1.0,2.0,0.51,25.0,42.0,,1.0,8.0,4.0,0.0,1.0,142.0,0.0,3.0,5.0,1.0,1.0,8.0,,3.0,86.0,123.0,46.0,8.0,,27.0,2.0,1.0,1.0,1.0,1.0,14.0,8.0,0.0,42.0,3.0,5.0,30.0,1.2205,147.0,,,0.0,0.0,92.0,7.0,0.0,1.0,1.0,1.0,1.0,59.0,44.0,5.0,59.0,,,11.0,25.0,,0.0,0.0,1.0,,123.0,2.0,11.0,0.0,,106.0,596.0,6.0,4.0,21.0,1.0,5.0,301.0,19.0,,2.0,26.0,1.0,6.0,3.0,0.731443,19.0,371.0,45.0,2.0,1.0,32.74,484420,2.0,178.0,2.0,9.0,1.0,207.0,3.0,112285.43,1.0,12.0,9.0,52.0,0.0,2.0,0.0,4.0,7.0,0.0,13.0,6.0,8.0,0.0,46.0,322.0,8.0,4.0,1.0,13.0,1.0,55.0,1.0,0.0,0.0,1.0,,0.0,,0.0,5.0,9.0,3.0,1.0,,1.0,,0.0,2.0,3.0,43.2,14.0,1.0,,3.0,7.0,2.0,33.0,3.0,393.0,5.0,4.0,13.0,3.0,22.0,1.0,2.0,200.0,4.0,5.0,20.0,72.0,7.0,4.0,26.0,14.0,0.0,1.0,4.0,3.0,15.0,0.7013,4.0,12.0,3.0,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,2.0,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,
19,2562083,2026-01-01 20:00:00,"Stadium of Light, Sunderland",46920.0,Home,Sunderland,Manchester City,0,0,D,0.0,0.0,0,0,0.0,,1.0,52.0,0.0,0.0,,0.6132,22.0,31.0,3.0,2.0,7.0,4.0,0.0,3.0,122.0,0.0,3.0,9.0,0.0,,6.0,,4.0,61.0,138.0,47.0,10.0,2.0,9.0,4.0,,1.0,,1.0,9.0,15.0,0.0,31.0,3.0,6.0,29.0,0.7447,112.0,1.0,1.0,0.0,0.0,110.0,9.0,0.0,,0.0,,,53.0,31.0,4.0,49.0,3.0,1.0,6.0,19.0,3.0,0.0,0.0,2.0,1.0,138.0,2.0,12.0,0.0,,72.0,508.0,5.0,4.0,22.0,,17.0,207.0,17.0,,3.0,17.0,1.0,5.0,2.0,0.527424,19.0,283.0,60.0,1.0,,34.19,564406,3.0,112.0,2.0,4.0,,124.0,9.0,113428.77,0.0,11.0,10.0,57.0,0.0,1.0,0.0,,3.0,0.0,20.0,2.0,9.0,0.0,52.0,221.0,6.0,16.0,1.0,22.0,1.0,56.0,,0.0,0.0,1.0,,0.0,,0.0,2.0,5.0,4.0,0.0,,0.0,1.0,0.0,2.0,2.0,32.3,15.0,2.0,4.0,,3.0,2.0,28.0,3.0,304.0,17.0,15.0,16.0,4.0,21.0,1.0,3.0,189.0,6.0,6.0,14.0,58.0,23.0,1.0,17.0,18.0,0.0,0.0,9.0,2.0,17.0,0.883,1.0,11.0,3.0,,,2.0,,1.0,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2562093,2026-01-04 15:00:00,"Tottenham Hotspur Stadium, London",60877.0,Away,Sunderland,Tottenham Hotspur,1,1,D,0.0,1.0,0,0,0.0,,,50.0,0.0,0.0,3.0,1.6161,20.0,27.0,1.0,3.0,9.0,3.0,1.0,1.0,140.0,0.0,4.0,7.0,1.0,1.0,8.0,,3.0,82.0,138.0,60.0,10.0,,20.0,2.0,,3.0,1.0,2.0,21.0,13.0,0.0,27.0,4.0,9.0,33.0,1.1573,138.0,,,0.0,0.0,93.0,6.0,0.0,,0.0,1.0,1.0,53.0,38.0,5.0,59.0,2.0,,17.0,20.0,1.0,0.0,0.0,11.0,1.0,138.0,,9.0,0.0,,101.0,569.0,7.0,5.0,20.0,1.0,9.0,274.0,18.0,,1.0,15.0,3.0,2.0,3.0,0.565332,20.0,357.0,54.0,,1.0,32.98,484420,5.0,160.0,,5.0,,184.0,3.0,111969.2,0.0,8.0,10.0,51.0,0.0,1.0,0.0,2.0,6.0,1.0,11.0,4.0,8.0,0.0,49.0,294.0,9.0,10.0,1.0,16.0,2.0,53.0,,1.0,0.0,,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,,1.0,,0.0,4.0,3.0,51.3,16.0,1.0,4.0,1.0,6.0,3.0,28.0,5.0,382.0,9.0,8.0,15.0,4.0,44.0,,2.0,219.0,4.0,8.0,27.0,53.0,19.0,4.0,15.0,17.0,0.0,1.0,6.0,3.0,14.0,0.4363,4.0,8.0,5.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
21,2562097,2026-01-07 19:30:00,"Gtech Community Stadium, Brentford",17016.0,Away,Sunderland,Brentford,0,3,L,0.0,1.0,0,0,0.0,,1.0,48.0,0.0,0.0,2.0,0.9991,21.0,26.0,4.0,3.0,7.0,3.0,0.0,2.0,137.0,0.0,2.0,3.0,0.0,4.0,5.0,,3.0,87.0,114.0,41.0,11.0,2.0,17.0,2.0,,,,1.0,13.0,6.0,0.0,26.0,3.0,12.0,28.0,3.1614,138.0,,,0.0,0.0,101.0,13.0,0.0,,0.0,,2.0,42.0,59.0,2.0,66.0,2.0,1.0,10.0,9.0,4.0,0.0,0.0,3.0,1.0,114.0,1.0,14.0,0.0,,99.0,542.0,4.0,6.0,21.0,,10.0,291.0,16.0,,5.0,19.0,1.0,3.0,3.0,0.600465,11.0,363.0,55.0,,1.0,32.59,484420,7.0,178.0,2.0,5.0,1.0,195.0,6.0,106216.92,0.0,5.0,10.0,42.0,0.0,,0.0,1.0,5.0,0.0,17.0,4.0,8.0,0.0,56.0,314.0,13.0,4.0,1.0,24.0,3.0,64.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,7.0,3.0,0.0,,3.0,2.0,0.0,2.0,1.0,49.5,9.0,1.0,4.0,,5.0,4.0,38.0,4.0,389.0,10.0,5.0,12.0,4.0,21.0,,3.0,207.0,7.0,10.0,18.0,59.0,19.0,,19.0,7.0,0.0,3.0,4.0,5.0,6.0,1.7221,,5.0,4.0,,,2.0,,,,3.0,,,3.0,,2.0,,1.0,,,4.0,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,0.0576,,,,,,,,1.0,1.0,,,,,
22,2562112,2026-01-17 15:00:00,"Stadium of Light, Sunderland",47257.0,Home,Sunderland,Crystal Palace,2,1,W,1.0,1.0,0,0,0.0,,1.0,38.0,0.0,1.0,,2.6411,21.0,35.0,3.0,4.0,10.0,1.0,0.0,2.0,158.0,0.0,7.0,6.0,2.0,1.0,7.0,1.0,7.0,121.0,146.0,59.0,13.0,1.0,24.0,5.0,,,,2.0,18.0,11.0,0.0,35.0,3.0,9.0,41.0,1.0447,168.0,,,0.0,0.0,131.0,8.0,0.0,,1.0,1.0,,56.0,41.0,5.0,65.0,,1.0,15.0,19.0,3.0,1.0,0.0,6.0,2.0,146.0,2.0,5.0,0.0,,112.0,657.0,5.0,5.0,18.0,1.0,11.0,346.0,12.0,1.0,3.0,19.0,3.0,2.0,2.0,0.569065,25.0,430.0,62.0,,,32.93,441264,8.0,204.0,2.0,9.0,2.0,231.0,1.0,105911.72,2.0,4.0,7.0,47.0,0.0,2.0,0.0,,3.0,2.0,19.0,1.0,5.0,0.0,57.0,365.0,14.0,3.0,1.0,20.0,1.0,55.0,,0.0,0.0,1.0,,0.0,2.0,0.0,2.0,4.0,1.0,2.0,,1.0,2.0,0.0,6.0,3.0,57.3,14.0,1.0,1.0,1.0,3.0,1.0,30.0,3.0,456.0,11.0,5.0,17.0,5.0,41.0,1.0,3.0,243.0,6.0,8.0,27.0,85.0,17.0,3.0,19.0,15.0,0.0,1.0,6.0,2.0,13.0,1.7126,3.0,4.0,3.0,,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,1.0,1.0,0.0329,,,,,,,,,,,,,,
23,2562124,2026-01-24 12:30:00,"London Stadium, London",62456.0,Away,Sunderland,West Ham United,1,3,L,0.0,3.0,0,0,1.0,,1.0,44.0,1.0,0.0,,1.094,22.0,30.0,3.0,1.0,4.0,2.0,0.0,,140.0,0.0,4.0,2.0,1.0,2.0,5.0,,2.0,104.0,135.0,44.0,7.0,1.0,15.0,,,1.0,,1.0,17.0,6.0,0.0,30.0,3.0,8.0,20.0,1.2161,161.0,1.0,,0.0,0.0,100.0,16.0,0.0,,0.0,,,49.0,68.0,2.0,50.0,,,14.0,13.0,3.0,0.0,0.0,6.0,1.0,135.0,3.0,7.0,0.0,,112.0,595.0,4.0,3.0,13.0,1.0,3.0,321.0,17.0,2.0,3.0,20.0,4.0,3.0,3.0,0.323591,25.0,389.0,55.0,,,32.51,577669,2.0,178.0,2.0,8.0,1.0,196.0,10.0,105724.98,0.0,3.0,3.0,60.0,0.0,,0.0,1.0,5.0,1.0,19.0,6.0,3.0,0.0,41.0,335.0,9.0,4.0,,13.0,1.0,64.0,,0.0,0.0,,,0.0,1.0,0.0,1.0,3.0,1.0,1.0,,3.0,1.0,0.0,3.0,3.0,52.9,19.0,2.0,1.0,,5.0,1.0,42.0,3.0,406.0,3.0,15.0,10.0,4.0,29.0,1.0,3.0,227.0,3.0,8.0,21.0,64.0,19.0,,20.0,13.0,1.0,2.0,3.0,5.0,12.0,0.6697,,3.0,3.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
24,2562132,2026-02-02 20:00:00,"Stadium of Light, Sunderland",46370.0,Home,Sunderland,Burnley,3,0,W,2.0,0.0,0,0,0.0,1.0,1.0,52.0,0.0,1.0,2.0,1.3807,27.0,25.0,4.0,3.0,10.0,,0.0,2.0,139.0,0.0,1.0,9.0,3.0,3.0,12.0,,5.0,99.0,118.0,41.0,14.0,,15.0,2.0,,,,3.0,10.0,7.0,1.0,25.0,1.0,10.0,32.0,,170.0,1.0,1.0,1.0,0.0,106.0,12.0,0.0,,2.0,,2.0,57.0,56.0,7.0,80.0,,1.0,9.0,21.0,4.0,0.0,0.0,2.0,2.0,118.0,2.0,2.0,0.0,,108.0,596.0,9.0,4.0,25.0,,9.0,345.0,24.0,1.0,8.0,16.0,1.0,1.0,4.0,0.774451,17.0,409.0,70.0,,1.0,34.74,441264,9.0,186.0,2.0,5.0,2.0,205.0,8.0,113324.36,2.0,9.0,6.0,40.0,0.0,,0.0,,3.0,2.0,19.0,3.0,5.0,0.0,54.0,355.0,9.0,1.0,1.0,22.0,1.0,58.0,,0.0,0.0,,,0.0,,0.0,1.0,2.0,,1.0,,0.0,3.0,0.0,1.0,1.0,44.2,13.0,1.0,3.0,1.0,3.0,2.0,34.0,1.0,426.0,9.0,9.0,17.0,7.0,19.0,,5.0,231.0,10.0,9.0,15.0,68.0,20.0,1.0,16.0,9.0,0.0,0.0,11.0,4.0,14.0,1.51664,1.0,9.0,1.0,,2.0,3.0,,,,1.0,,2.0,,,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
