gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,shotFastbreak,attBxRight,attSvHighRight,totalFastbreak,hitWoodwork,attFastbreak,goalsConceded,goalsConcededIbox,handBall,penaltySave,goalAssistOpenplay,goalAssist,penaltyConceded,goalAssistIntentional,penaltyFaced,attHdGoal,attGoalLowLeft,attLfGoal,attGoalLowCentre,attOneOnOne,penaltyWon,ptsGainedLosingPos,attPenGoal,forwardGoals,ptsDroppedWinningPos,sixYardBlock,attGoalHighRight,attCmissHighLeft,shieldBallOop,penGoalsConceded,accurateThroughBall,errorLeadToShot,totalThroughBall,attOboxGoal,attGoalHighLeft,errorLeadToGoal,postScoringAtt,attPostLeft,attOboxPost,contentiousDecision,ownGoals,attIboxOwnGoal,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,defenderGoals,attFreekickGoal,attFreekickMiss,attGoalHighCentre,attLgCentre,foulThrowIn,goalFastbreak,attObxLeft,attLgRight,attIboxPost,attHdPost,attPostHigh,attCmissHighRight,clearanceOffLine,accuratePullBack,attObpGoal,attPostRight
11,855280,2016-11-06 15:00:00,"Swansea.com Stadium, Swansea",20938,Home,Swansea City,Manchester United,1,3,L,0,3,0,0,,1.0,53.0,1.0,,,31.0,15.0,4.0,2.0,3.0,,,151.0,3.0,9.0,1.0,2.0,5.0,1.0,1.0,110.0,121.0,50.0,,7.0,3.0,18.0,,,,2.0,9.0,12.0,,15.0,2.0,22.0,38.0,143.0,,,0.0,92.0,9.0,,,,,2.0,,43.0,46.0,3.0,66.0,,1.0,7.0,20.0,4.0,,2.0,1.0,121.0,1.0,7.0,120.0,606.0,3.0,6.0,6.0,,8.0,345.0,28.0,,1.0,5.0,,0.0,1.0,2.0,21.0,418.0,58.0,1.0,97615,3.0,224.0,,3.0,2.0,245.0,1.0,,,20.0,10.0,57.0,,,2.0,,7.0,2.0,4.0,,63.0,364.0,16.0,11.0,1.0,10.0,2.0,67.0,,,,0.0,,4.0,,,1.0,2.0,0.0,2.0,2.0,37.1,19.0,1.0,2.0,,,2.0,3.0,42.0,2.0,,447.0,8.0,10.0,19.0,3.0,12.0,1.0,2.0,211.0,3.0,20.0,9.0,52.0,21.0,5.0,5.0,17.0,3.0,3.0,18.0,5.0,12.0,2.0,,,,,,,3.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12,855283,2016-11-19 15:00:00,"Goodison Park, Liverpool",38773,Away,Swansea City,Everton,1,1,D,1,0,0,0,,1.0,66.0,,1.0,,16.0,50.0,2.0,1.0,4.0,5.0,2.0,146.0,6.0,3.0,1.0,4.0,4.0,,3.0,61.0,149.0,40.0,1.0,6.0,,23.0,1.0,1.0,,,12.0,11.0,1.0,50.0,2.0,15.0,24.0,102.0,,,0.0,101.0,12.0,2.0,,,1.0,1.0,7.0,23.0,69.0,1.0,43.0,3.0,1.0,10.0,15.0,2.0,1.0,5.0,1.0,149.0,,9.0,58.0,523.0,3.0,8.0,10.0,,20.0,192.0,34.0,1.0,5.0,27.0,1.0,2.0,2.0,3.0,18.0,280.0,50.0,1.0,97615,3.0,108.0,,4.0,,145.0,7.0,1.0,,15.0,9.0,60.0,1.0,4.0,5.0,,7.0,5.0,3.0,1.0,73.0,204.0,13.0,9.0,1.0,40.0,1.0,66.0,,,,0.0,1.0,2.0,10.0,4.0,1.0,2.0,0.0,5.0,2.0,37.3,10.0,2.0,1.0,,,6.0,,20.0,3.0,8.0,308.0,20.0,14.0,9.0,3.0,23.0,1.0,2.0,175.0,3.0,14.0,9.0,56.0,16.0,9.0,27.0,15.0,3.0,2.0,6.0,9.0,9.0,3.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,855300,2016-11-26 15:00:00,"Swansea.com Stadium, Swansea",20276,Home,Swansea City,Crystal Palace,5,4,W,1,1,0,0,,3.0,45.0,1.0,,1.0,42.0,33.0,7.0,6.0,11.0,1.0,2.0,165.0,4.0,8.0,5.0,8.0,9.0,,9.0,82.0,133.0,70.0,2.0,18.0,1.0,33.0,3.0,,2.0,3.0,30.0,13.0,1.0,33.0,10.0,12.0,29.0,155.0,,,0.0,124.0,12.0,1.0,,2.0,2.0,4.0,4.0,30.0,87.0,6.0,58.0,,1.0,20.0,17.0,7.0,2.0,1.0,4.0,133.0,2.0,11.0,66.0,585.0,5.0,12.0,24.0,2.0,6.0,267.0,15.0,1.0,8.0,16.0,,4.0,3.0,3.0,17.0,339.0,59.0,1.0,97615,2.0,142.0,1.0,15.0,4.0,161.0,7.0,2.0,,17.0,7.0,70.0,,2.0,4.0,1.0,8.0,2.0,5.0,2.0,68.0,293.0,24.0,10.0,2.0,18.0,4.0,64.0,,,,0.0,,,6.0,1.0,4.0,5.0,0.0,3.0,2.0,56.5,13.0,,6.0,2.0,,4.0,2.0,38.0,10.0,4.0,371.0,6.0,7.0,14.0,7.0,41.0,1.0,3.0,240.0,10.0,12.0,21.0,86.0,15.0,2.0,16.0,18.0,8.0,3.0,16.0,2.0,6.0,10.0,,3.0,,,1.0,,4.0,4.0,,,1.0,2.0,,1.0,,,2.0,3.0,1.0,,,3.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
14,855309,2016-12-03 15:00:00,"White Hart Lane, London",31663,Away,Swansea City,Tottenham Hotspur,0,5,L,0,2,0,0,,,57.0,,4.0,,35.0,39.0,1.0,1.0,,10.0,,153.0,1.0,6.0,,2.0,1.0,,,72.0,153.0,52.0,,1.0,1.0,14.0,,,,,14.0,14.0,,39.0,,7.0,24.0,110.0,,,0.0,66.0,17.0,6.0,,,,2.0,,39.0,76.0,1.0,73.0,1.0,,14.0,21.0,1.0,,5.0,,153.0,,15.0,81.0,572.0,1.0,6.0,4.0,,12.0,257.0,27.0,,14.0,14.0,,4.0,6.0,,22.0,349.0,48.0,,97615,,167.0,,7.0,,203.0,10.0,,1.0,21.0,8.0,66.0,,4.0,3.0,,9.0,13.0,3.0,,74.0,276.0,11.0,19.0,,39.0,,76.0,,,1.0,0.0,,1.0,5.0,6.0,,2.0,0.0,1.0,,40.0,15.0,,5.0,,,3.0,1.0,42.0,,,379.0,12.0,11.0,10.0,,16.0,,,190.0,,7.0,12.0,32.0,18.0,1.0,14.0,23.0,1.0,3.0,11.0,1.0,5.0,,,,,,,,5.0,5.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
15,855320,2016-12-10 15:00:00,"Swansea.com Stadium, Swansea",20453,Home,Swansea City,Sunderland,3,0,W,0,0,0,0,1.0,2.0,68.0,,1.0,,21.0,19.0,4.0,3.0,10.0,2.0,,183.0,10.0,5.0,3.0,3.0,11.0,,5.0,113.0,145.0,42.0,,14.0,2.0,10.0,2.0,,1.0,3.0,33.0,13.0,,19.0,6.0,9.0,38.0,232.0,1.0,1.0,0.0,176.0,10.0,2.0,,1.0,,1.0,2.0,99.0,103.0,5.0,76.0,5.0,1.0,27.0,13.0,4.0,,7.0,2.0,145.0,2.0,6.0,105.0,680.0,5.0,4.0,25.0,1.0,17.0,377.0,22.0,,,4.0,,1.0,5.0,6.0,27.0,460.0,83.0,1.0,97615,7.0,167.0,1.0,19.0,3.0,180.0,6.0,2.0,,13.0,6.0,43.0,,1.0,6.0,1.0,9.0,5.0,4.0,2.0,44.0,389.0,7.0,7.0,4.0,10.0,2.0,71.0,1.0,,,0.0,,3.0,4.0,1.0,3.0,,0.0,8.0,7.0,61.7,22.0,5.0,10.0,1.0,,6.0,2.0,46.0,7.0,2.0,477.0,17.0,9.0,16.0,7.0,43.0,2.0,5.0,330.0,4.0,8.0,10.0,122.0,28.0,3.0,4.0,20.0,8.0,2.0,12.0,3.0,7.0,7.0,,,,,,,,,,,1.0,2.0,,2.0,,1.0,1.0,,,,1.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
16,855326,2016-12-14 20:00:00,"The Hawthorns, West Bromwich",21467,Away,Swansea City,West Bromwich Albion,1,3,L,0,0,0,0,,1.0,54.0,,,3.0,27.0,27.0,1.0,1.0,8.0,1.0,2.0,186.0,7.0,8.0,1.0,2.0,6.0,,4.0,132.0,169.0,57.0,1.0,9.0,,17.0,2.0,1.0,1.0,1.0,37.0,15.0,1.0,27.0,10.0,25.0,41.0,189.0,,,0.0,99.0,8.0,1.0,2.0,1.0,,1.0,2.0,76.0,58.0,4.0,81.0,,1.0,27.0,19.0,1.0,1.0,5.0,,169.0,,8.0,121.0,731.0,2.0,11.0,19.0,1.0,8.0,404.0,14.0,,3.0,16.0,1.0,0.0,4.0,2.0,25.0,497.0,61.0,,97615,7.0,240.0,1.0,21.0,,266.0,4.0,1.0,,19.0,9.0,49.0,,1.0,4.0,1.0,16.0,5.0,4.0,,64.0,422.0,8.0,8.0,4.0,19.0,4.0,92.0,,,,0.0,1.0,5.0,,1.0,1.0,4.0,0.0,3.0,3.0,60.5,24.0,,3.0,,,4.0,3.0,54.0,11.0,2.0,520.0,8.0,11.0,18.0,2.0,41.0,4.0,2.0,291.0,5.0,23.0,16.0,56.0,31.0,,16.0,25.0,4.0,3.0,15.0,,8.0,11.0,,,,,,,3.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,855336,2016-12-17 15:00:00,"Riverside Stadium, Middlesbrough",28302,Away,Swansea City,Middlesbrough,0,3,L,0,2,0,0,,,56.0,,1.0,3.0,30.0,9.0,8.0,1.0,6.0,1.0,1.0,192.0,7.0,11.0,,,11.0,1.0,2.0,125.0,165.0,55.0,,14.0,3.0,26.0,1.0,,,2.0,31.0,11.0,1.0,9.0,7.0,22.0,47.0,256.0,,,0.0,180.0,11.0,,,,1.0,,2.0,59.0,97.0,6.0,91.0,1.0,2.0,24.0,18.0,8.0,,6.0,4.0,165.0,,5.0,115.0,724.0,10.0,2.0,23.0,1.0,13.0,406.0,25.0,,5.0,7.0,1.0,0.0,1.0,5.0,31.0,502.0,101.0,,97615,5.0,171.0,,18.0,,188.0,8.0,,,18.0,6.0,60.0,,3.0,4.0,,14.0,5.0,3.0,2.0,65.0,420.0,10.0,6.0,1.0,16.0,1.0,78.0,,,,0.0,,3.0,3.0,,,1.0,0.0,6.0,3.0,56.9,30.0,2.0,3.0,,1.0,4.0,6.0,48.0,8.0,2.0,523.0,13.0,12.0,15.0,6.0,42.0,1.0,2.0,366.0,10.0,19.0,19.0,115.0,23.0,1.0,7.0,17.0,13.0,3.0,16.0,1.0,9.0,8.0,,,,,,,3.0,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,855350,2016-12-26 15:00:00,"Swansea.com Stadium, Swansea",20757,Home,Swansea City,West Ham United,1,4,L,0,1,0,0,3.0,,62.0,,1.0,,34.0,17.0,4.0,7.0,10.0,3.0,1.0,196.0,6.0,6.0,1.0,2.0,11.0,,7.0,121.0,149.0,50.0,1.0,14.0,1.0,31.0,3.0,,1.0,4.0,26.0,13.0,3.0,17.0,6.0,16.0,27.0,209.0,,,0.0,128.0,10.0,2.0,,,,2.0,1.0,69.0,79.0,7.0,75.0,,1.0,20.0,22.0,4.0,1.0,6.0,,149.0,1.0,11.0,123.0,706.0,9.0,4.0,23.0,2.0,10.0,409.0,26.0,,2.0,9.0,,0.0,3.0,4.0,23.0,496.0,77.0,,97615,8.0,224.0,1.0,12.0,,235.0,2.0,,,22.0,2.0,69.0,,2.0,4.0,1.0,10.0,3.0,2.0,1.0,67.0,427.0,12.0,11.0,1.0,15.0,2.0,77.0,3.0,1.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,0.0,3.0,4.0,56.2,19.0,2.0,3.0,,2.0,4.0,1.0,48.0,8.0,1.0,515.0,10.0,16.0,15.0,6.0,40.0,3.0,6.0,306.0,3.0,15.0,16.0,77.0,28.0,1.0,9.0,17.0,11.0,3.0,10.0,1.0,5.0,8.0,,2.0,,,,,4.0,4.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,855360,2016-12-31 15:00:00,"Swansea.com Stadium, Swansea",20316,Home,Swansea City,Bournemouth,0,3,L,0,2,0,0,,,58.0,,1.0,1.0,35.0,21.0,6.0,2.0,7.0,4.0,3.0,186.0,9.0,9.0,,3.0,9.0,1.0,5.0,85.0,136.0,49.0,,14.0,3.0,17.0,3.0,,3.0,2.0,30.0,11.0,2.0,21.0,4.0,14.0,30.0,222.0,,,0.0,149.0,14.0,3.0,,,1.0,2.0,,64.0,89.0,5.0,81.0,,2.0,26.0,15.0,7.0,,7.0,2.0,136.0,,6.0,99.0,648.0,7.0,5.0,23.0,2.0,11.0,356.0,22.0,,3.0,8.0,,2.0,,4.0,20.0,433.0,75.0,,83091,4.0,157.0,,17.0,3.0,180.0,11.0,,,15.0,5.0,57.0,,1.0,6.0,,12.0,5.0,4.0,1.0,63.0,370.0,8.0,10.0,2.0,22.0,3.0,70.0,,1.0,,0.0,,2.0,3.0,2.0,,5.0,0.0,7.0,5.0,45.1,18.0,3.0,3.0,2.0,,6.0,4.0,52.0,4.0,,451.0,11.0,9.0,18.0,5.0,42.0,2.0,3.0,301.0,7.0,13.0,19.0,105.0,25.0,4.0,8.0,14.0,8.0,3.0,16.0,4.0,6.0,4.0,,,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
20,855363,2017-01-03 20:00:00,"Selhurst Park, London",24913,Away,Swansea City,Crystal Palace,2,1,W,1,0,0,0,,,52.0,1.0,1.0,,48.0,48.0,4.0,4.0,7.0,2.0,2.0,167.0,5.0,9.0,2.0,2.0,9.0,1.0,4.0,118.0,148.0,57.0,,11.0,2.0,11.0,2.0,,1.0,1.0,18.0,9.0,,48.0,3.0,15.0,34.0,215.0,1.0,,0.0,155.0,14.0,1.0,,,,2.0,2.0,61.0,100.0,5.0,85.0,,1.0,15.0,13.0,4.0,,2.0,2.0,148.0,2.0,4.0,107.0,689.0,5.0,1.0,16.0,,8.0,361.0,24.0,,9.0,31.0,,1.0,2.0,4.0,30.0,455.0,72.0,2.0,97615,6.0,167.0,2.0,11.0,2.0,198.0,4.0,,,13.0,4.0,46.0,1.0,1.0,2.0,1.0,11.0,3.0,3.0,2.0,83.0,377.0,13.0,4.0,2.0,28.0,1.0,83.0,1.0,1.0,,0.0,,2.0,4.0,1.0,2.0,,0.0,4.0,3.0,52.9,26.0,2.0,4.0,,,2.0,2.0,56.0,5.0,3.0,477.0,8.0,11.0,18.0,5.0,29.0,1.0,3.0,297.0,4.0,12.0,23.0,108.0,18.0,2.0,31.0,12.0,8.0,3.0,15.0,2.0,7.0,5.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,2.0,,2.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
21,855378,2017-01-14 15:00:00,"Swansea.com Stadium, Swansea",20875,Home,Swansea City,Arsenal,0,4,L,0,1,0,0,1.0,,69.0,,3.0,3.0,38.0,19.0,6.0,3.0,6.0,4.0,2.0,164.0,2.0,12.0,,,8.0,,3.0,112.0,130.0,42.0,,12.0,,17.0,1.0,,1.0,,22.0,11.0,2.0,19.0,3.0,12.0,29.0,186.0,,,0.0,128.0,12.0,3.0,,,1.0,,,61.0,71.0,5.0,79.0,1.0,1.0,19.0,9.0,6.0,,7.0,4.0,130.0,,12.0,91.0,631.0,8.0,3.0,16.0,,15.0,362.0,28.0,,8.0,6.0,,2.0,6.0,3.0,21.0,429.0,64.0,,97615,3.0,189.0,,12.0,,208.0,5.0,,,9.0,4.0,53.0,2.0,2.0,2.0,,15.0,4.0,1.0,5.0,62.0,373.0,8.0,9.0,,19.0,3.0,69.0,1.0,,1.0,0.0,,1.0,2.0,1.0,,1.0,0.0,2.0,1.0,43.2,19.0,1.0,4.0,2.0,,2.0,3.0,45.0,3.0,,446.0,15.0,12.0,17.0,6.0,25.0,,2.0,260.0,8.0,12.0,10.0,97.0,32.0,,6.0,12.0,9.0,3.0,17.0,,7.0,3.0,,1.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
22,855386,2017-01-21 12:30:00,"Anfield, Liverpool",53169,Away,Swansea City,Liverpool,3,2,W,0,0,0,0,,3.0,47.0,1.0,2.0,1.0,30.0,44.0,1.0,1.0,5.0,3.0,,128.0,5.0,12.0,3.0,1.0,4.0,1.0,3.0,52.0,134.0,48.0,1.0,6.0,,17.0,,,,1.0,8.0,10.0,,44.0,3.0,8.0,21.0,109.0,,,0.0,88.0,7.0,2.0,,,,,3.0,33.0,61.0,3.0,48.0,2.0,1.0,5.0,19.0,1.0,1.0,,1.0,134.0,2.0,9.0,60.0,508.0,,12.0,20.0,,16.0,204.0,19.0,,10.0,18.0,,1.0,4.0,1.0,25.0,261.0,52.0,,96305,3.0,111.0,,5.0,,130.0,5.0,1.0,,19.0,13.0,65.0,,1.0,,2.0,13.0,7.0,4.0,,61.0,215.0,7.0,12.0,2.0,25.0,3.0,57.0,,1.0,,0.0,,3.0,6.0,1.0,3.0,5.0,0.0,2.0,3.0,26.4,15.0,1.0,,,,1.0,1.0,27.0,3.0,3.0,288.0,16.0,21.0,14.0,2.0,16.0,3.0,1.0,166.0,2.0,8.0,18.0,52.0,21.0,9.0,18.0,11.0,2.0,3.0,21.0,9.0,10.0,3.0,,,,,1.0,,2.0,2.0,,,1.0,2.0,,2.0,,1.0,,1.0,2.0,,,,,3.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
23,855398,2017-01-31 19:45:00,"Swansea.com Stadium, Swansea",20359,Home,Swansea City,Southampton,2,1,W,1,0,0,0,1.0,,52.0,,1.0,2.0,48.0,28.0,6.0,6.0,6.0,1.0,2.0,159.0,4.0,4.0,2.0,4.0,9.0,,5.0,87.0,135.0,57.0,,12.0,1.0,19.0,,,1.0,1.0,18.0,11.0,3.0,28.0,5.0,16.0,20.0,169.0,,,0.0,105.0,10.0,1.0,,,1.0,,5.0,68.0,62.0,7.0,79.0,2.0,2.0,13.0,14.0,6.0,,2.0,2.0,135.0,,6.0,96.0,609.0,6.0,9.0,13.0,,12.0,314.0,26.0,1.0,14.0,18.0,,2.0,2.0,2.0,22.0,386.0,62.0,,93464,3.0,175.0,,11.0,,194.0,6.0,,,14.0,10.0,60.0,,1.0,1.0,1.0,12.0,4.0,5.0,,76.0,340.0,16.0,13.0,1.0,29.0,5.0,71.0,1.0,,,0.0,,1.0,4.0,,2.0,1.0,0.0,1.0,2.0,43.1,14.0,1.0,1.0,1.0,,1.0,3.0,43.0,5.0,5.0,421.0,12.0,15.0,11.0,4.0,20.0,3.0,2.0,245.0,4.0,15.0,23.0,67.0,18.0,1.0,18.0,15.0,7.0,3.0,7.0,1.0,2.0,5.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,1.0,2.0,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,,,2.0,,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,
24,855407,2017-02-05 13:30:00,"Etihad Stadium, Manchester",54065,Away,Swansea City,Manchester City,1,2,L,0,1,0,0,,,47.0,1.0,1.0,,39.0,22.0,2.0,2.0,1.0,3.0,1.0,150.0,2.0,5.0,1.0,3.0,2.0,,2.0,49.0,138.0,54.0,1.0,4.0,,15.0,,1.0,,1.0,8.0,17.0,1.0,22.0,3.0,5.0,35.0,114.0,,,0.0,93.0,13.0,3.0,1.0,,,1.0,3.0,45.0,80.0,1.0,49.0,3.0,,5.0,19.0,3.0,1.0,2.0,1.0,138.0,,14.0,71.0,481.0,,7.0,5.0,,12.0,196.0,20.0,1.0,9.0,13.0,2.0,3.0,7.0,1.0,19.0,292.0,63.0,,96306,,100.0,,2.0,,121.0,8.0,,,19.0,12.0,60.0,,,1.0,1.0,3.0,3.0,8.0,,80.0,212.0,8.0,16.0,1.0,33.0,2.0,73.0,,,,0.0,1.0,3.0,10.0,2.0,,4.0,0.0,,1.0,30.9,17.0,1.0,3.0,,,1.0,,37.0,3.0,3.0,319.0,12.0,7.0,17.0,2.0,15.0,2.0,1.0,206.0,1.0,5.0,19.0,36.0,17.0,2.0,13.0,23.0,1.0,3.0,15.0,2.0,9.0,3.0,,,,,1.0,,2.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
25,855420,2017-02-12 16:00:00,"Swansea.com Stadium, Swansea",20391,Home,Swansea City,Leicester City,2,0,W,2,0,0,0,,1.0,56.0,1.0,,1.0,39.0,42.0,2.0,4.0,7.0,1.0,2.0,191.0,5.0,8.0,2.0,2.0,9.0,,4.0,90.0,189.0,72.0,,10.0,,29.0,1.0,1.0,,2.0,22.0,17.0,1.0,42.0,7.0,15.0,32.0,159.0,1.0,1.0,0.0,118.0,7.0,1.0,1.0,,,2.0,1.0,59.0,92.0,5.0,69.0,1.0,1.0,15.0,23.0,3.0,,6.0,2.0,189.0,1.0,4.0,128.0,692.0,7.0,7.0,14.0,,3.0,340.0,27.0,1.0,11.0,30.0,1.0,2.0,4.0,4.0,27.0,454.0,71.0,,96306,5.0,198.0,,7.0,1.0,220.0,5.0,1.0,,23.0,9.0,65.0,,,3.0,1.0,17.0,5.0,2.0,,84.0,352.0,13.0,11.0,,33.0,,93.0,1.0,,,0.0,,4.0,3.0,1.0,2.0,1.0,0.0,4.0,2.0,49.0,20.0,2.0,3.0,1.0,,3.0,1.0,38.0,7.0,1.0,478.0,3.0,15.0,10.0,5.0,24.0,1.0,3.0,280.0,4.0,15.0,34.0,62.0,18.0,,30.0,20.0,9.0,3.0,11.0,,12.0,7.0,,1.0,,,,,,,,,1.0,2.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,
26,855422,2017-02-25 15:00:00,"Stamford Bridge, London",41612,Away,Swansea City,Chelsea,1,3,L,1,1,0,0,,1.0,54.0,,,,35.0,23.0,1.0,,2.0,2.0,1.0,157.0,1.0,7.0,1.0,1.0,2.0,,2.0,79.0,133.0,42.0,1.0,3.0,,13.0,,,,1.0,11.0,9.0,1.0,23.0,1.0,15.0,32.0,153.0,,,0.0,87.0,14.0,2.0,,,,,1.0,78.0,55.0,1.0,58.0,3.0,,10.0,27.0,1.0,1.0,4.0,,133.0,1.0,10.0,88.0,555.0,,10.0,4.0,,20.0,269.0,23.0,,5.0,12.0,,3.0,5.0,1.0,21.0,348.0,58.0,,93464,2.0,139.0,,6.0,1.0,161.0,6.0,,,27.0,14.0,53.0,,,3.0,,15.0,6.0,9.0,,73.0,291.0,11.0,19.0,1.0,17.0,1.0,82.0,,,,0.0,1.0,,8.0,2.0,1.0,3.0,0.0,,2.0,34.4,15.0,1.0,1.0,,1.0,3.0,,52.0,1.0,1.0,382.0,20.0,7.0,12.0,1.0,12.0,1.0,1.0,232.0,1.0,15.0,11.0,47.0,21.0,3.0,12.0,13.0,,2.0,11.0,3.0,14.0,1.0,,,,,,,3.0,2.0,3.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
