gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attGoalLowCentre,postScoringAtt,goalAssistOpenplay,attOneOnOne,attMissHighRight,attSvHighRight,cleanSheet,freekickCross,attGoalHighCentre,attOboxMiss,attPostLeft,attMissHighLeft,goalAssist,attSetpiece,totalPullBack,attOboxPost,attPostHigh,goalAssistIntentional,shieldBallOop,attHdGoal,attGoalLowLeft,attCmissRight,attIboxPost,attHdPost,accurateFreekickCross,attCmissHigh,attBxLeft,errorLeadToGoal,attObxLeft,shotFastbreak,goalFastbreak,attMissLeft,totalFastbreak,attFastbreak,attCmissLeft,attFreekickTarget,foulThrowIn,errorLeadToShot,clearanceOffLine,attFreekickMiss,accuratePullBack,contentiousDecision,attLgCentre,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attOboxGoal,attFreekickGoal,attPostRight,attGoalHighRight,goalAssistSetplay,defenderGoals,attGoalHighLeft,sixYardBlock,goalAssistDeadball,attCmissHighLeft,attObpGoal
11,803262,2015-10-31 15:00:00,"Swansea.com Stadium, Swansea",20937,Home,Swansea City,Arsenal,0,3,L,0,0,0,0,,,2.0,,60.0,,,37.0,10.0,5.0,2.0,2.0,,,178.0,2.0,10.0,,1.0,5.0,3.0,130.0,139.0,37.0,1.0,7.0,3.0,12.0,1.0,,,,20.0,8.0,2.0,6.0,3.0,15.0,32.0,198.0,,0.0,130.0,12.0,1.0,,,1.0,4.0,53.0,78.0,3.0,89.0,,,17.0,26.0,1.0,3.0,135.0,1.0,9.0,153.0,716.0,4.0,5.0,1.0,,9.0,453.0,29.0,2.0,5.0,,2.0,1.0,1.0,18.0,530.0,49.0,1.0,76542,2.0,273.0,1.0,14.0,296.0,7.0,,26.0,7.0,54.0,,1.0,5.0,4.0,,11.0,5.0,5.0,1.0,,64.0,469.0,7.0,14.0,,13.0,80.0,1.0,,0.0,3.0,4.0,1.0,,3.0,1.0,0.0,1.0,2.0,54.2,18.0,1.0,4.0,,4.0,3.0,57.0,4.0,5.0,550.0,9.0,11.0,17.0,1.0,26.0,1.0,1.0,274.0,3.0,13.0,11.0,93.0,21.0,,7.0,,4.0,9.0,3.0,4.0,3.0,15.0,7.0,15.0,4.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
12,803278,2015-11-07 15:00:00,"Carrow Road, Norwich",27029,Away,Swansea City,Norwich City,0,1,L,0,0,0,0,,,,,56.0,,,41.0,15.0,4.0,1.0,4.0,,,188.0,3.0,6.0,,1.0,8.0,,203.0,122.0,43.0,,8.0,1.0,11.0,,1.0,2.0,,16.0,10.0,,11.0,2.0,33.0,23.0,337.0,,0.0,179.0,7.0,2.0,,,,2.0,68.0,98.0,1.0,112.0,,1.0,14.0,11.0,,6.0,118.0,,4.0,203.0,852.0,7.0,6.0,,1.0,13.0,610.0,27.0,2.0,8.0,2.0,0.0,,7.0,19.0,682.0,72.0,1.0,76542,3.0,293.0,,7.0,310.0,1.0,,11.0,7.0,35.0,,2.0,2.0,8.0,,10.0,5.0,1.0,2.0,,71.0,627.0,11.0,6.0,1.0,16.0,85.0,,2.0,0.0,1.0,5.0,1.0,,1.0,2.0,0.0,3.0,1.0,67.1,18.0,1.0,1.0,,9.0,1.0,65.0,2.0,3.0,706.0,13.0,9.0,11.0,7.0,27.0,,3.0,412.0,6.0,31.0,14.0,137.0,18.0,,2.0,,6.0,12.0,1.0,7.0,3.0,8.0,2.0,2.0,2.0,3.0,,1.0,,,1.0,,,1.0,,3.0,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,803284,2015-11-21 15:00:00,"Swansea.com Stadium, Swansea",20878,Home,Swansea City,Bournemouth,2,2,D,2,2,0,0,,,,2.0,50.0,1.0,2.0,39.0,39.0,4.0,3.0,2.0,1.0,1.0,161.0,5.0,5.0,2.0,3.0,10.0,4.0,77.0,161.0,45.0,,11.0,3.0,18.0,2.0,,1.0,1.0,17.0,11.0,,31.0,4.0,11.0,40.0,152.0,1.0,0.0,97.0,8.0,2.0,,2.0,,3.0,56.0,54.0,8.0,69.0,6.0,,13.0,28.0,,4.0,153.0,2.0,9.0,94.0,618.0,7.0,11.0,1.0,,20.0,285.0,20.0,13.0,13.0,1.0,3.0,6.0,2.0,25.0,372.0,67.0,1.0,76542,6.0,154.0,1.0,7.0,180.0,3.0,1.0,28.0,10.0,54.0,,1.0,,,1.0,22.0,7.0,5.0,,1.0,79.0,301.0,9.0,17.0,2.0,25.0,75.0,1.0,,0.0,1.0,5.0,1.0,2.0,2.0,3.0,0.0,3.0,2.0,42.7,18.0,1.0,3.0,,,5.0,45.0,4.0,3.0,401.0,20.0,5.0,18.0,2.0,27.0,2.0,1.0,238.0,6.0,11.0,14.0,51.0,21.0,,1.0,,13.0,17.0,2.0,8.0,3.0,11.0,1.0,13.0,4.0,1.0,,,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,803299,2015-11-29 16:15:00,"Anfield, Liverpool",43905,Away,Swansea City,Liverpool,0,1,L,0,0,0,0,,1.0,,,68.0,,1.0,30.0,24.0,5.0,1.0,1.0,,,146.0,3.0,9.0,,1.0,7.0,,120.0,157.0,57.0,,9.0,3.0,10.0,,1.0,,,27.0,14.0,,15.0,6.0,12.0,22.0,188.0,,0.0,101.0,6.0,1.0,,,,1.0,54.0,98.0,3.0,67.0,3.0,2.0,21.0,23.0,,10.0,148.0,,8.0,116.0,674.0,6.0,9.0,,,24.0,350.0,37.0,9.0,12.0,,1.0,5.0,4.0,23.0,429.0,49.0,,76542,2.0,181.0,,10.0,211.0,2.0,,23.0,6.0,46.0,,,1.0,4.0,,9.0,2.0,4.0,1.0,,59.0,366.0,12.0,7.0,1.0,29.0,65.0,,,0.0,5.0,8.0,,,1.0,4.0,0.0,2.0,3.0,46.3,21.0,3.0,4.0,,4.0,4.0,41.0,7.0,1.0,449.0,24.0,23.0,13.0,5.0,28.0,1.0,3.0,265.0,5.0,12.0,15.0,73.0,22.0,,4.0,,9.0,22.0,1.0,6.0,3.0,10.0,4.0,17.0,7.0,1.0,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,
15,803305,2015-12-05 15:00:00,"Swansea.com Stadium, Swansea",20836,Home,Swansea City,Leicester City,0,3,L,0,2,0,0,,,1.0,,71.0,,,34.0,31.0,2.0,3.0,2.0,,1.0,192.0,8.0,13.0,,4.0,9.0,2.0,141.0,163.0,69.0,,10.0,,9.0,2.0,,1.0,1.0,27.0,15.0,,27.0,3.0,9.0,20.0,194.0,,0.0,118.0,3.0,,,,,1.0,59.0,91.0,1.0,81.0,5.0,3.0,24.0,24.0,,4.0,159.0,,10.0,129.0,783.0,7.0,5.0,,2.0,28.0,418.0,31.0,6.0,20.0,2.0,2.0,6.0,8.0,23.0,513.0,64.0,,76542,7.0,261.0,1.0,15.0,280.0,3.0,,24.0,10.0,37.0,,1.0,2.0,6.0,,12.0,6.0,10.0,1.0,,60.0,447.0,19.0,6.0,2.0,25.0,89.0,1.0,2.0,0.0,6.0,8.0,1.0,,3.0,1.0,0.0,6.0,2.0,59.0,18.0,1.0,6.0,,6.0,,64.0,3.0,1.0,543.0,28.0,15.0,11.0,8.0,33.0,2.0,5.0,290.0,5.0,8.0,19.0,68.0,26.0,,,,18.0,20.0,3.0,8.0,3.0,17.0,,8.0,3.0,1.0,,2.0,,1.0,,,,5.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,
16,803319,2015-12-12 15:00:00,"Etihad Stadium, Manchester",53052,Away,Swansea City,Manchester City,1,2,L,0,1,0,0,,2.0,,,39.0,,2.0,39.0,16.0,3.0,,3.0,,5.0,139.0,4.0,7.0,1.0,4.0,10.0,7.0,144.0,113.0,49.0,1.0,13.0,1.0,5.0,4.0,2.0,1.0,3.0,14.0,13.0,2.0,12.0,5.0,18.0,24.0,186.0,,0.0,93.0,15.0,2.0,,,1.0,,54.0,88.0,7.0,76.0,2.0,,9.0,18.0,1.0,4.0,109.0,1.0,8.0,133.0,669.0,6.0,4.0,1.0,,9.0,413.0,22.0,7.0,11.0,1.0,1.0,3.0,3.0,22.0,471.0,45.0,2.0,80789,7.0,249.0,2.0,2.0,263.0,8.0,1.0,18.0,4.0,41.0,,4.0,6.0,3.0,1.0,14.0,5.0,3.0,2.0,,52.0,431.0,13.0,8.0,3.0,16.0,58.0,1.0,,0.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,47.0,20.0,3.0,1.0,1.0,3.0,3.0,45.0,5.0,,492.0,9.0,14.0,15.0,3.0,19.0,2.0,3.0,243.0,9.0,18.0,13.0,64.0,11.0,,1.0,,8.0,16.0,2.0,8.0,3.0,8.0,1.0,14.0,5.0,2.0,,,1.0,1.0,,,,3.0,,,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,1.0,2.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,
17,803331,2015-12-20 16:00:00,"Swansea.com Stadium, Swansea",20661,Home,Swansea City,West Ham United,0,0,D,0,0,0,0,,,,,60.0,,4.0,20.0,21.0,11.0,2.0,2.0,,2.0,201.0,7.0,9.0,,1.0,14.0,2.0,193.0,164.0,51.0,,22.0,7.0,13.0,1.0,3.0,,1.0,26.0,10.0,1.0,17.0,7.0,31.0,41.0,318.0,,0.0,166.0,6.0,2.0,1.0,,,,64.0,98.0,8.0,92.0,1.0,3.0,19.0,12.0,,7.0,160.0,,6.0,192.0,891.0,12.0,10.0,,,14.0,559.0,23.0,3.0,11.0,,0.0,3.0,6.0,36.0,659.0,71.0,,80789,7.0,261.0,,11.0,292.0,2.0,,12.0,7.0,36.0,,3.0,4.0,3.0,,15.0,5.0,4.0,2.0,,43.0,572.0,9.0,4.0,2.0,16.0,79.0,,1.0,0.0,1.0,9.0,1.0,,,3.0,0.0,4.0,3.0,72.7,34.0,3.0,,,3.0,11.0,52.0,8.0,,678.0,14.0,8.0,24.0,9.0,38.0,3.0,6.0,412.0,17.0,31.0,16.0,118.0,33.0,,2.0,,9.0,18.0,,12.0,3.0,14.0,2.0,3.0,8.0,1.0,,,,,1.0,,1.0,1.0,,3.0,,,,1.0,,,,,3.0,,,1.0,,,,1.0,1.0,,,,,3.0,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,
18,803340,2015-12-26 15:00:00,"Swansea.com Stadium, Swansea",20789,Home,Swansea City,West Bromwich Albion,1,0,W,1,0,0,0,,,1.0,1.0,74.0,1.0,2.0,19.0,28.0,2.0,3.0,3.0,,,199.0,,8.0,1.0,1.0,6.0,2.0,118.0,156.0,43.0,,7.0,,11.0,1.0,2.0,1.0,1.0,5.0,12.0,,21.0,,22.0,37.0,207.0,,0.0,125.0,10.0,2.0,,1.0,,2.0,58.0,99.0,3.0,78.0,1.0,1.0,5.0,17.0,,1.0,149.0,,7.0,118.0,703.0,5.0,11.0,,1.0,16.0,385.0,29.0,3.0,14.0,1.0,1.0,3.0,3.0,19.0,485.0,55.0,1.0,76542,,196.0,,4.0,227.0,6.0,1.0,17.0,8.0,40.0,,3.0,1.0,8.0,1.0,13.0,2.0,4.0,,,60.0,403.0,13.0,5.0,1.0,14.0,100.0,,1.0,0.0,3.0,7.0,3.0,1.0,,4.0,0.0,,,55.5,16.0,,2.0,,8.0,2.0,63.0,,3.0,513.0,16.0,13.0,13.0,3.0,17.0,,,291.0,4.0,20.0,7.0,81.0,29.0,,11.0,,11.0,15.0,,6.0,3.0,9.0,11.0,6.0,,,,1.0,,,,,1.0,,,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
19,803350,2015-12-28 15:00:00,"Selhurst Park, London",23714,Away,Swansea City,Crystal Palace,0,0,D,0,0,0,0,,1.0,2.0,,49.0,,1.0,30.0,39.0,4.0,4.0,2.0,,1.0,161.0,,3.0,,5.0,2.0,3.0,70.0,149.0,39.0,1.0,5.0,1.0,18.0,,1.0,,,12.0,5.0,3.0,26.0,2.0,15.0,31.0,133.0,,0.0,103.0,16.0,1.0,,,1.0,3.0,51.0,72.0,2.0,65.0,4.0,,10.0,16.0,1.0,1.0,136.0,,6.0,77.0,556.0,2.0,7.0,,,17.0,262.0,29.0,2.0,13.0,,2.0,2.0,,24.0,345.0,60.0,,96306,,146.0,,6.0,165.0,6.0,,16.0,12.0,53.0,,1.0,1.0,4.0,,12.0,4.0,5.0,,,70.0,279.0,11.0,8.0,,22.0,84.0,1.0,3.0,0.0,,7.0,2.0,,,2.0,0.0,,,46.4,19.0,,1.0,1.0,4.0,2.0,42.0,4.0,3.0,373.0,17.0,8.0,17.0,,14.0,,,220.0,1.0,13.0,14.0,66.0,12.0,,6.0,,12.0,11.0,,3.0,3.0,7.0,6.0,9.0,4.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
20,803360,2016-01-02 15:00:00,"Old Trafford, Manchester",75415,Away,Swansea City,Manchester United,1,2,L,0,0,0,0,,,1.0,,64.0,,2.0,28.0,26.0,1.0,2.0,4.0,,2.0,161.0,3.0,6.0,1.0,3.0,7.0,4.0,107.0,149.0,43.0,,9.0,,13.0,2.0,1.0,1.0,2.0,10.0,13.0,1.0,19.0,2.0,19.0,30.0,139.0,,0.0,100.0,10.0,2.0,,,,1.0,42.0,51.0,4.0,61.0,1.0,1.0,8.0,14.0,,1.0,142.0,1.0,16.0,101.0,618.0,5.0,3.0,,1.0,16.0,317.0,30.0,3.0,13.0,1.0,1.0,8.0,3.0,20.0,405.0,51.0,,80789,5.0,200.0,1.0,5.0,234.0,6.0,,14.0,5.0,55.0,,2.0,1.0,6.0,1.0,14.0,3.0,4.0,,,64.0,336.0,13.0,15.0,1.0,21.0,66.0,,1.0,0.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,45.3,14.0,1.0,1.0,,6.0,2.0,37.0,2.0,1.0,430.0,16.0,15.0,17.0,3.0,21.0,1.0,2.0,206.0,4.0,17.0,8.0,59.0,22.0,1.0,5.0,,11.0,16.0,2.0,8.0,3.0,10.0,5.0,4.0,2.0,1.0,,1.0,1.0,,,1.0,,2.0,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
21,803364,2016-01-13 19:45:00,"Swansea.com Stadium, Swansea",20140,Home,Swansea City,Sunderland,2,4,L,2,1,1,0,,,2.0,1.0,46.0,1.0,,35.0,10.0,6.0,5.0,1.0,1.0,1.0,152.0,4.0,11.0,2.0,3.0,9.0,5.0,122.0,142.0,41.0,,10.0,2.0,7.0,,,1.0,,20.0,8.0,3.0,7.0,8.0,12.0,28.0,183.0,1.0,0.0,129.0,9.0,1.0,,1.0,,2.0,53.0,72.0,6.0,60.0,3.0,1.0,12.0,11.0,,1.0,139.0,,8.0,117.0,617.0,7.0,7.0,,,15.0,349.0,16.0,5.0,3.0,1.0,0.0,,3.0,21.0,425.0,54.0,1.0,80789,2.0,188.0,,9.0,209.0,5.0,1.0,11.0,7.0,42.0,1.0,2.0,2.0,3.0,1.0,11.0,,2.0,,1.0,71.0,367.0,12.0,6.0,1.0,25.0,68.0,,1.0,0.0,2.0,6.0,1.0,2.0,4.0,2.0,1.0,,1.0,51.2,19.0,1.0,5.0,3.0,3.0,2.0,39.0,8.0,2.0,451.0,15.0,18.0,15.0,3.0,23.0,4.0,2.0,262.0,4.0,10.0,8.0,88.0,17.0,1.0,3.0,1.0,3.0,11.0,4.0,8.0,3.0,15.0,3.0,5.0,8.0,,,,1.0,,,,,2.0,,1.0,,1.0,1.0,,3.0,,,,,,1.0,,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,
22,803379,2016-01-18 20:00:00,"Swansea.com Stadium, Swansea",20430,Home,Swansea City,Watford,1,0,W,1,0,0,0,,2.0,1.0,,61.0,1.0,2.0,31.0,57.0,6.0,5.0,2.0,,,199.0,5.0,14.0,1.0,3.0,7.0,2.0,86.0,189.0,53.0,,10.0,2.0,23.0,,,,,28.0,13.0,1.0,45.0,3.0,25.0,31.0,214.0,,0.0,149.0,8.0,,,,,,75.0,99.0,4.0,101.0,2.0,1.0,25.0,23.0,,8.0,177.0,,2.0,115.0,763.0,6.0,9.0,,1.0,18.0,385.0,21.0,2.0,34.0,,2.0,3.0,3.0,25.0,479.0,66.0,,80789,2.0,191.0,,14.0,215.0,3.0,,23.0,8.0,66.0,,,5.0,1.0,,13.0,10.0,5.0,1.0,,62.0,400.0,10.0,6.0,,16.0,77.0,1.0,1.0,0.0,1.0,3.0,,1.0,,3.0,0.0,5.0,1.0,56.7,22.0,,2.0,,1.0,4.0,45.0,6.0,,501.0,18.0,19.0,15.0,4.0,33.0,,,314.0,4.0,24.0,13.0,106.0,35.0,,4.0,,31.0,17.0,,8.0,3.0,26.0,4.0,11.0,6.0,2.0,,1.0,,,,,1.0,3.0,,3.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,
23,803390,2016-01-24 13:30:00,"Goodison Park, Liverpool",36908,Away,Swansea City,Everton,2,1,W,2,1,0,0,,,2.0,1.0,69.0,,1.0,24.0,37.0,3.0,4.0,2.0,1.0,1.0,167.0,1.0,6.0,2.0,2.0,5.0,5.0,88.0,147.0,33.0,,7.0,,21.0,1.0,1.0,,1.0,9.0,11.0,2.0,29.0,1.0,17.0,30.0,156.0,1.0,0.0,98.0,12.0,1.0,,1.0,1.0,3.0,42.0,65.0,4.0,88.0,1.0,,8.0,25.0,,2.0,139.0,,14.0,79.0,620.0,4.0,7.0,,,25.0,316.0,30.0,4.0,17.0,,3.0,7.0,1.0,13.0,397.0,61.0,,80789,1.0,171.0,,5.0,192.0,6.0,1.0,25.0,14.0,60.0,1.0,,,3.0,1.0,13.0,7.0,3.0,,1.0,67.0,326.0,5.0,11.0,,21.0,80.0,,3.0,0.0,2.0,7.0,1.0,2.0,1.0,3.0,0.0,1.0,,40.3,9.0,,3.0,1.0,3.0,1.0,35.0,1.0,3.0,422.0,25.0,10.0,12.0,1.0,15.0,,,239.0,3.0,15.0,8.0,59.0,27.0,1.0,4.0,1.0,16.0,15.0,1.0,5.0,3.0,12.0,4.0,19.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,
24,803399,2016-02-02 20:00:00,"The Hawthorns, West Bromwich",22062,Away,Swansea City,West Bromwich Albion,1,1,D,0,0,0,0,,,1.0,,56.0,,2.0,34.0,45.0,8.0,9.0,5.0,,1.0,181.0,4.0,5.0,1.0,1.0,12.0,4.0,116.0,151.0,45.0,,18.0,4.0,28.0,2.0,1.0,1.0,3.0,15.0,8.0,1.0,37.0,4.0,20.0,41.0,226.0,,0.0,132.0,13.0,3.0,,1.0,,2.0,79.0,72.0,7.0,75.0,2.0,3.0,11.0,14.0,,3.0,143.0,1.0,13.0,109.0,686.0,11.0,8.0,1.0,1.0,26.0,361.0,26.0,7.0,23.0,1.0,0.0,4.0,5.0,13.0,447.0,52.0,,80789,4.0,159.0,1.0,8.0,188.0,8.0,1.0,14.0,12.0,65.0,,,,7.0,1.0,15.0,4.0,4.0,2.0,,70.0,381.0,8.0,10.0,1.0,24.0,75.0,,2.0,0.0,,7.0,3.0,1.0,1.0,3.0,0.0,3.0,2.0,54.7,10.0,1.0,,,7.0,6.0,44.0,7.0,2.0,481.0,26.0,10.0,23.0,8.0,22.0,1.0,3.0,308.0,7.0,18.0,23.0,85.0,19.0,,7.0,,20.0,10.0,1.0,15.0,3.0,9.0,7.0,2.0,7.0,3.0,,1.0,,1.0,1.0,,,,,4.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,3.0,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
25,803403,2016-02-06 15:00:00,"Swansea.com Stadium, Swansea",20492,Home,Swansea City,Crystal Palace,1,1,D,1,0,0,0,,1.0,1.0,,64.0,1.0,5.0,25.0,35.0,7.0,5.0,1.0,,1.0,174.0,7.0,6.0,1.0,4.0,10.0,3.0,114.0,170.0,65.0,3.0,18.0,2.0,27.0,,1.0,,1.0,36.0,16.0,2.0,31.0,8.0,16.0,13.0,240.0,,0.0,158.0,11.0,,,1.0,,1.0,65.0,86.0,5.0,57.0,1.0,2.0,28.0,17.0,3.0,9.0,166.0,,7.0,120.0,717.0,7.0,13.0,,,16.0,360.0,25.0,9.0,20.0,,1.0,3.0,5.0,34.0,442.0,60.0,,80789,8.0,140.0,,19.0,162.0,5.0,1.0,17.0,7.0,69.0,,2.0,1.0,4.0,,16.0,5.0,1.0,2.0,,51.0,373.0,13.0,10.0,3.0,20.0,58.0,1.0,2.0,0.0,1.0,5.0,,,1.0,5.0,0.0,3.0,2.0,58.5,29.0,2.0,3.0,,4.0,7.0,35.0,9.0,1.0,465.0,16.0,18.0,5.0,8.0,47.0,4.0,6.0,339.0,11.0,15.0,22.0,112.0,30.0,,7.0,,18.0,26.0,1.0,8.0,3.0,10.0,7.0,7.0,9.0,1.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,1.0,,,,2.0,,,,,,4.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,
26,803416,2016-02-13 15:00:00,"Swansea.com Stadium, Swansea",20890,Home,Swansea City,Southampton,0,1,L,0,0,0,0,,1.0,1.0,,66.0,,1.0,31.0,27.0,6.0,6.0,4.0,,,171.0,5.0,3.0,,2.0,9.0,2.0,98.0,156.0,41.0,,13.0,2.0,26.0,1.0,1.0,1.0,1.0,30.0,8.0,1.0,24.0,4.0,19.0,47.0,211.0,,0.0,153.0,10.0,2.0,,,,,81.0,80.0,4.0,70.0,,3.0,26.0,19.0,,10.0,153.0,1.0,7.0,127.0,670.0,7.0,11.0,1.0,,21.0,349.0,26.0,5.0,20.0,1.0,0.0,5.0,5.0,23.0,441.0,70.0,,80789,5.0,162.0,1.0,14.0,176.0,3.0,,19.0,6.0,48.0,,,,5.0,,15.0,7.0,2.0,1.0,,66.0,368.0,12.0,2.0,2.0,18.0,79.0,1.0,1.0,0.0,1.0,4.0,2.0,,1.0,6.0,0.0,4.0,4.0,54.4,20.0,3.0,5.0,,5.0,3.0,40.0,5.0,,466.0,21.0,7.0,24.0,8.0,41.0,1.0,5.0,320.0,3.0,18.0,15.0,94.0,25.0,,3.0,,19.0,11.0,1.0,9.0,3.0,7.0,3.0,12.0,5.0,2.0,,,,,,,,2.0,,3.0,,1.0,,1.0,,,,,,,,3.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,803431,2016-02-28 14:05:00,"White Hart Lane, London",35922,Away,Swansea City,Tottenham Hotspur,1,2,L,1,0,0,0,,,1.0,1.0,64.0,,1.0,24.0,47.0,6.0,3.0,13.0,,2.0,163.0,3.0,3.0,1.0,3.0,7.0,4.0,65.0,157.0,46.0,2.0,10.0,3.0,22.0,2.0,1.0,1.0,,13.0,12.0,1.0,38.0,6.0,17.0,10.0,103.0,,0.0,88.0,14.0,10.0,,,1.0,4.0,35.0,56.0,7.0,31.0,2.0,1.0,7.0,10.0,2.0,1.0,148.0,2.0,19.0,76.0,547.0,6.0,14.0,,,19.0,203.0,34.0,9.0,26.0,1.0,3.0,6.0,,13.0,296.0,54.0,,80789,3.0,118.0,1.0,4.0,151.0,7.0,1.0,10.0,20.0,51.0,,1.0,3.0,12.0,,7.0,15.0,6.0,1.0,,89.0,218.0,11.0,5.0,,49.0,86.0,1.0,2.0,0.0,,7.0,6.0,1.0,2.0,5.0,0.0,2.0,,42.8,13.0,,3.0,1.0,12.0,4.0,34.0,7.0,4.0,335.0,19.0,10.0,5.0,2.0,21.0,1.0,,197.0,7.0,14.0,15.0,38.0,9.0,1.0,5.0,,22.0,18.0,2.0,4.0,3.0,4.0,5.0,6.0,7.0,7.0,,,1.0,,,,,2.0,,2.0,,,1.0,1.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,,
