gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attCmissRight,attLgRight,attSvHighRight,attSvLowLeft,interceptionsInBox,contentiousDecision,accurateFreekickCross,penaltyConceded,totalPullBack,attCmissLeft,punches,overrun,accurateFlickOn,penaltyFaced,penGoalsConceded,attIboxBlocked,attLfGoal,accuratePullBack,attFreekickTotal,postScoringAtt,attIboxPost,cleanSheet,midfielderGoals,freekickTotal,attGoalHighCentre,hitWoodwork,accurateThroughBall,errorLeadToShot,totalThroughBall,defenderGoals,attMissHigh,attGoalHighLeft,attPostHigh,attSvHighCentre,attFreekickMiss,handBall,attGoalLowLeft,attFreekickTarget,errorLeadToGoal,attSvHighLeft,attPostRight,attGoalLowCentre,attOneOnOne,attHdTarget,attCmissHigh,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,penaltyWon,totalKeeperSweeper,sixYardBlock,attCmissHighLeft,attPenGoal,attLgCentre,goalAssistSetplay,attObxdRight,attHdGoal,shotFastbreak,totalFastbreak,attFastbreak,attObpGoal,shieldBallOop,foulThrowIn,attPostLeft,attOboxPost,ownGoals,attIboxOwnGoal,attCmissHighRight,goalAssistDeadball,attObxLeft,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,ptsDroppedWinningPos,secondYellow,attLgLeft
11,695009,2013-11-10 16:10:00,"Swansea.com Stadium, Swansea",19242,Home,Swansea City,Stoke City,3,3,D,0,2,0,0,,1.0,2.0,59.0,2.0,19.0,8.0,4.0,6.0,,1.0,181.0,12.0,12.0,3.0,5.0,12.0,6.0,125.0,155.0,59.0,17.0,5.0,26.0,3.0,2.0,1.0,1.0,2.0,42.0,16.0,,8.0,12.0,29.0,21.0,291.0,,0.0,172.0,12.0,,3.0,,56.0,99.0,9.0,102.0,1.0,30.0,11.0,12.0,,155.0,2.0,5.0,130.0,767.0,8.0,8.0,20.0,445.0,11.0,,10.0,4.0,2.0,5.0,,3.0,30.0,521.0,83.0,89238,9.0,182.0,,15.0,1.0,203.0,1.0,1.0,11.0,3.0,64.0,3.0,2.0,1.0,14.0,1.0,3.0,41.0,461.0,14.0,2.0,2.0,26.0,74.0,2.0,0.0,3.0,,3.0,3.0,0.0,8.0,2.0,5.0,65.1,29.0,3.0,7.0,,2.0,7.0,,51.0,14.0,,538.0,20.0,14.0,13.0,4.0,24.0,4.0,4.0,377.0,6.0,24.0,17.0,136.0,38.0,2.0,,4.0,18.0,3.0,12.0,3.0,27.0,,4.0,14.0,,,,,,1.0,,,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,3.0,,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12,695013,2013-11-23 15:00:00,"Craven Cottage, London",25258,Away,Swansea City,Fulham,2,1,W,0,0,0,0,,2.0,,62.0,,63.0,21.0,10.0,10.0,2.0,2.0,189.0,8.0,7.0,2.0,3.0,18.0,5.0,175.0,139.0,58.0,21.0,6.0,29.0,2.0,3.0,1.0,1.0,1.0,34.0,13.0,2.0,21.0,7.0,28.0,42.0,297.0,,0.0,166.0,9.0,1.0,,1.0,73.0,123.0,11.0,104.0,4.0,27.0,14.0,7.0,1.0,139.0,1.0,6.0,175.0,853.0,16.0,6.0,13.0,549.0,28.0,1.0,5.0,16.0,1.0,1.0,2.0,7.0,26.0,628.0,52.0,89238,6.0,270.0,1.0,20.0,,289.0,1.0,1.0,14.0,6.0,59.0,,6.0,1.0,10.0,3.0,4.0,84.0,559.0,11.0,9.0,1.0,24.0,86.0,2.0,0.0,8.0,1.0,1.0,1.0,0.0,7.0,,3.0,63.3,24.0,3.0,7.0,1.0,6.0,9.0,,61.0,8.0,1.0,643.0,13.0,9.0,31.0,7.0,23.0,1.0,6.0,388.0,7.0,25.0,21.0,133.0,19.0,,2.0,16.0,19.0,1.0,19.0,3.0,13.0,2.0,5.0,8.0,1.0,1.0,,1.0,,2.0,,,,1.0,,,,2.0,,,3.0,,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13,695026,2013-12-01 16:10:00,"Etihad Stadium, Manchester",46559,Away,Swansea City,Manchester City,0,3,L,0,1,0,0,1.0,1.0,,45.0,,27.0,17.0,4.0,2.0,4.0,3.0,156.0,3.0,6.0,,,8.0,4.0,171.0,114.0,38.0,9.0,,7.0,1.0,,,,1.0,15.0,15.0,3.0,17.0,4.0,20.0,23.0,252.0,,0.0,152.0,8.0,3.0,,1.0,62.0,80.0,3.0,68.0,1.0,11.0,10.0,7.0,1.0,114.0,1.0,15.0,201.0,762.0,8.0,2.0,15.0,517.0,24.0,,4.0,11.0,,0.0,4.0,5.0,11.0,582.0,50.0,89505,4.0,280.0,1.0,4.0,,293.0,1.0,,10.0,12.0,45.0,2.0,6.0,,14.0,7.0,9.0,45.0,529.0,6.0,19.0,,16.0,65.0,1.0,0.0,5.0,2.0,,3.0,0.0,3.0,,1.0,54.5,10.0,1.0,,1.0,6.0,,,44.0,4.0,1.0,596.0,15.0,11.0,14.0,5.0,16.0,,4.0,318.0,6.0,19.0,8.0,116.0,14.0,,,11.0,19.0,2.0,9.0,2.0,9.0,,5.0,4.0,2.0,,,,1.0,2.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,3.0,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,695038,2013-12-04 19:45:00,"Swansea.com Stadium, Swansea",20457,Home,Swansea City,Newcastle United,3,0,W,1,0,0,0,,,1.0,61.0,1.0,36.0,25.0,6.0,,3.0,2.0,228.0,5.0,11.0,3.0,3.0,10.0,5.0,185.0,133.0,46.0,13.0,1.0,12.0,1.0,3.0,1.0,1.0,5.0,18.0,14.0,2.0,25.0,4.0,36.0,36.0,308.0,1.0,0.0,162.0,4.0,2.0,1.0,,53.0,88.0,4.0,125.0,,14.0,13.0,3.0,2.0,133.0,,7.0,206.0,957.0,7.0,2.0,16.0,668.0,22.0,,7.0,12.0,1.0,0.0,6.0,6.0,25.0,736.0,72.0,89238,2.0,371.0,,10.0,1.0,390.0,1.0,2.0,13.0,7.0,57.0,1.0,5.0,1.0,14.0,7.0,4.0,50.0,674.0,8.0,15.0,2.0,15.0,92.0,,0.0,1.0,2.0,2.0,,0.0,3.0,,3.0,65.4,21.0,2.0,1.0,,5.0,2.0,,76.0,5.0,,744.0,16.0,16.0,24.0,6.0,17.0,2.0,4.0,372.0,9.0,32.0,10.0,124.0,32.0,,2.0,12.0,17.0,,9.0,3.0,22.0,2.0,12.0,5.0,1.0,,,1.0,1.0,,,,,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,1.0,,4.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
15,695049,2013-12-09 20:00:00,"Swansea.com Stadium, Swansea",19303,Home,Swansea City,Hull City,1,1,D,0,1,0,0,,1.0,,66.0,,37.0,19.0,7.0,2.0,1.0,,215.0,3.0,9.0,1.0,2.0,9.0,2.0,187.0,158.0,44.0,11.0,1.0,24.0,1.0,,,,1.0,32.0,16.0,,19.0,11.0,24.0,25.0,330.0,1.0,0.0,170.0,8.0,1.0,2.0,1.0,53.0,104.0,3.0,102.0,3.0,21.0,12.0,7.0,6.0,158.0,,6.0,209.0,921.0,7.0,6.0,14.0,620.0,30.0,,7.0,12.0,1.0,3.0,4.0,6.0,28.0,703.0,79.0,89505,2.0,301.0,,12.0,1.0,318.0,5.0,,12.0,2.0,73.0,2.0,6.0,,12.0,3.0,1.0,65.0,628.0,6.0,15.0,1.0,22.0,94.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,65.7,28.0,1.0,4.0,1.0,6.0,2.0,,68.0,12.0,1.0,713.0,14.0,8.0,11.0,7.0,17.0,2.0,1.0,427.0,7.0,23.0,12.0,121.0,26.0,,1.0,12.0,17.0,1.0,8.0,2.0,27.0,1.0,8.0,12.0,1.0,,,,,,1.0,,,1.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
16,695058,2013-12-15 13:30:00,"Carrow Road, Norwich",26876,Away,Swansea City,Norwich City,1,1,D,1,1,0,0,1.0,,,53.0,,45.0,44.0,5.0,3.0,1.0,1.0,178.0,,6.0,1.0,2.0,9.0,2.0,167.0,150.0,51.0,10.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,14.0,20.0,,44.0,4.0,24.0,33.0,186.0,1.0,0.0,131.0,11.0,1.0,1.0,4.0,44.0,70.0,5.0,96.0,1.0,10.0,12.0,4.0,4.0,150.0,,10.0,167.0,826.0,8.0,7.0,8.0,501.0,18.0,1.0,3.0,25.0,1.0,3.0,4.0,4.0,18.0,592.0,60.0,89238,3.0,331.0,,5.0,,359.0,1.0,1.0,12.0,17.0,53.0,1.0,6.0,1.0,15.0,6.0,8.0,67.0,517.0,11.0,10.0,,20.0,74.0,,0.0,8.0,2.0,1.0,1.0,0.0,,,,62.5,17.0,,4.0,,6.0,3.0,1.0,38.0,5.0,4.0,608.0,8.0,8.0,22.0,5.0,17.0,,1.0,263.0,7.0,22.0,12.0,95.0,23.0,,3.0,25.0,23.0,,9.0,3.0,17.0,3.0,7.0,5.0,,1.0,,,,2.0,,,,1.0,1.0,2.0,,3.0,,,2.0,,1.0,1.0,,,,1.0,1.0,,,1.0,3.0,2.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,695069,2013-12-22 16:00:00,"Swansea.com Stadium, Swansea",20695,Home,Swansea City,Everton,1,2,L,0,0,0,0,2.0,,,69.0,,35.0,29.0,6.0,2.0,4.0,3.0,181.0,2.0,4.0,1.0,2.0,11.0,3.0,138.0,122.0,46.0,13.0,1.0,17.0,2.0,4.0,,,2.0,20.0,13.0,1.0,29.0,4.0,8.0,44.0,191.0,1.0,0.0,124.0,11.0,3.0,2.0,1.0,38.0,76.0,2.0,72.0,4.0,16.0,14.0,2.0,4.0,122.0,1.0,6.0,112.0,699.0,10.0,2.0,13.0,420.0,26.0,2.0,6.0,17.0,,1.0,4.0,9.0,18.0,490.0,61.0,89238,2.0,244.0,1.0,12.0,1.0,260.0,5.0,,14.0,7.0,54.0,3.0,6.0,,11.0,8.0,5.0,59.0,433.0,9.0,9.0,1.0,18.0,69.0,,0.0,8.0,2.0,1.0,2.0,0.0,1.0,,,54.5,18.0,,5.0,1.0,6.0,1.0,,46.0,4.0,2.0,503.0,13.0,10.0,22.0,9.0,16.0,1.0,5.0,263.0,11.0,8.0,16.0,91.0,30.0,,3.0,17.0,18.0,,10.0,3.0,11.0,3.0,9.0,4.0,2.0,1.0,,1.0,,,,,,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,,,2.0,3.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,695081,2013-12-28 15:00:00,"Villa Park, Birmingham",37028,Away,Swansea City,Aston Villa,1,1,D,1,1,0,0,,,1.0,76.0,,50.0,28.0,10.0,5.0,2.0,2.0,207.0,9.0,11.0,1.0,2.0,13.0,3.0,209.0,155.0,48.0,17.0,6.0,14.0,1.0,1.0,1.0,,1.0,25.0,6.0,1.0,28.0,6.0,27.0,55.0,316.0,1.0,0.0,182.0,9.0,,,,92.0,77.0,9.0,102.0,2.0,19.0,13.0,11.0,3.0,155.0,2.0,2.0,212.0,932.0,11.0,4.0,13.0,610.0,27.0,,7.0,18.0,1.0,2.0,1.0,4.0,21.0,713.0,89.0,89238,3.0,319.0,1.0,8.0,,341.0,1.0,,13.0,7.0,48.0,2.0,4.0,1.0,10.0,5.0,7.0,81.0,626.0,13.0,5.0,1.0,25.0,95.0,,0.0,2.0,,1.0,1.0,0.0,4.0,1.0,3.0,73.0,21.0,2.0,3.0,2.0,4.0,9.0,,66.0,8.0,,730.0,13.0,7.0,34.0,5.0,28.0,5.0,2.0,414.0,9.0,27.0,17.0,125.0,41.0,,2.0,18.0,7.0,1.0,13.0,3.0,26.0,2.0,9.0,8.0,2.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,3.0,,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,2.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,695099,2014-01-01 12:45:00,"Swansea.com Stadium, Swansea",20498,Home,Swansea City,Manchester City,2,3,L,1,1,0,0,1.0,1.0,,45.0,2.0,39.0,36.0,13.0,3.0,1.0,1.0,151.0,7.0,8.0,2.0,3.0,12.0,4.0,134.0,119.0,45.0,16.0,3.0,14.0,,,2.0,1.0,1.0,33.0,8.0,2.0,36.0,7.0,27.0,29.0,261.0,1.0,0.0,138.0,5.0,1.0,1.0,,48.0,86.0,6.0,77.0,2.0,26.0,19.0,11.0,6.0,119.0,1.0,7.0,124.0,711.0,9.0,3.0,15.0,414.0,15.0,1.0,5.0,17.0,2.0,2.0,4.0,6.0,19.0,470.0,67.0,89238,1.0,174.0,1.0,14.0,1.0,187.0,1.0,1.0,19.0,8.0,49.0,3.0,3.0,2.0,12.0,7.0,7.0,48.0,428.0,9.0,14.0,1.0,9.0,69.0,,0.0,6.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,52.2,17.0,,,1.0,3.0,4.0,,56.0,8.0,,486.0,15.0,11.0,16.0,8.0,23.0,3.0,1.0,332.0,12.0,25.0,14.0,106.0,25.0,2.0,4.0,17.0,14.0,2.0,11.0,2.0,13.0,4.0,13.0,8.0,,,,,,,,1.0,,,1.0,2.0,1.0,,,,1.0,,,2.0,1.0,,,,2.0,,1.0,,,1.0,,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
21,695106,2014-01-11 17:30:00,"Old Trafford, Manchester",75035,Away,Swansea City,Manchester United,0,2,L,0,0,0,0,,,,66.0,,32.0,22.0,9.0,3.0,3.0,1.0,190.0,3.0,7.0,,1.0,8.0,2.0,182.0,145.0,52.0,13.0,2.0,12.0,1.0,2.0,,,1.0,22.0,18.0,1.0,22.0,3.0,17.0,31.0,288.0,1.0,0.0,159.0,10.0,3.0,1.0,,56.0,77.0,5.0,102.0,3.0,19.0,16.0,4.0,6.0,145.0,1.0,11.0,203.0,867.0,8.0,3.0,11.0,575.0,29.0,1.0,5.0,13.0,,2.0,1.0,3.0,15.0,663.0,59.0,89505,1.0,302.0,1.0,14.0,,325.0,5.0,,16.0,10.0,43.0,,2.0,,18.0,5.0,6.0,52.0,587.0,9.0,12.0,,18.0,83.0,,0.0,3.0,3.0,,2.0,0.0,3.0,,1.0,61.4,14.0,,1.0,1.0,3.0,4.0,,54.0,5.0,,677.0,11.0,8.0,18.0,7.0,17.0,,1.0,374.0,9.0,17.0,12.0,123.0,32.0,,2.0,13.0,25.0,2.0,11.0,2.0,8.0,2.0,9.0,5.0,,,,,,1.0,,,,1.0,,1.0,3.0,1.0,,,2.0,,,1.0,,,,,1.0,,,2.0,,2.0,,1.0,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,695118,2014-01-19 13:30:00,"Swansea.com Stadium, Swansea",20769,Home,Swansea City,Tottenham Hotspur,1,3,L,0,1,0,0,,,,65.0,1.0,36.0,18.0,7.0,1.0,3.0,2.0,208.0,6.0,10.0,1.0,,11.0,3.0,166.0,155.0,51.0,13.0,,11.0,,,1.0,1.0,3.0,19.0,16.0,2.0,18.0,7.0,27.0,40.0,273.0,,0.0,140.0,6.0,1.0,1.0,3.0,53.0,88.0,4.0,99.0,3.0,12.0,20.0,4.0,4.0,155.0,,8.0,175.0,857.0,8.0,4.0,15.0,536.0,27.0,1.0,4.0,11.0,1.0,2.0,3.0,7.0,20.0,632.0,70.0,89505,6.0,284.0,,7.0,,308.0,,1.0,20.0,5.0,59.0,2.0,9.0,1.0,11.0,4.0,4.0,58.0,551.0,8.0,13.0,2.0,11.0,95.0,,0.0,2.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,56.2,20.0,3.0,3.0,,9.0,1.0,,71.0,8.0,3.0,648.0,15.0,21.0,24.0,9.0,20.0,3.0,4.0,359.0,9.0,26.0,11.0,93.0,25.0,1.0,1.0,11.0,22.0,3.0,9.0,1.0,19.0,1.0,7.0,8.0,,,,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
23,695128,2014-01-28 19:45:00,"Swansea.com Stadium, Swansea",20004,Home,Swansea City,Fulham,2,0,W,0,0,0,0,,1.0,,58.0,1.0,28.0,22.0,8.0,1.0,4.0,2.0,180.0,7.0,5.0,2.0,1.0,13.0,6.0,177.0,137.0,43.0,14.0,1.0,26.0,2.0,1.0,1.0,,1.0,29.0,17.0,3.0,22.0,5.0,42.0,27.0,328.0,1.0,0.0,167.0,13.0,2.0,2.0,,64.0,132.0,7.0,108.0,1.0,24.0,16.0,9.0,2.0,137.0,,10.0,165.0,831.0,9.0,1.0,24.0,541.0,14.0,,1.0,15.0,1.0,1.0,3.0,6.0,16.0,618.0,79.0,89238,4.0,229.0,,13.0,2.0,240.0,5.0,1.0,16.0,10.0,58.0,,4.0,1.0,16.0,5.0,4.0,49.0,550.0,10.0,9.0,3.0,11.0,74.0,2.0,0.0,8.0,3.0,1.0,,0.0,5.0,1.0,3.0,61.9,16.0,1.0,5.0,,4.0,2.0,,53.0,5.0,,630.0,24.0,7.0,15.0,6.0,16.0,2.0,3.0,419.0,9.0,40.0,11.0,123.0,34.0,,2.0,15.0,18.0,,11.0,3.0,10.0,2.0,9.0,5.0,1.0,1.0,,,1.0,,,2.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,2.0,,1.0,,,1.0,,,,2.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
24,695140,2014-02-01 12:45:00,"Boleyn Ground, London",31848,Away,Swansea City,West Ham United,0,2,L,0,2,0,1,,,,55.0,,22.0,38.0,14.0,7.0,2.0,,152.0,6.0,7.0,,2.0,13.0,,137.0,160.0,34.0,20.0,10.0,25.0,,,,,3.0,47.0,14.0,,38.0,9.0,22.0,28.0,262.0,,0.0,164.0,7.0,,1.0,2.0,59.0,53.0,8.0,82.0,2.0,38.0,19.0,14.0,4.0,160.0,,7.0,133.0,748.0,13.0,7.0,10.0,419.0,24.0,1.0,5.0,17.0,,0.0,1.0,5.0,23.0,492.0,65.0,89238,5.0,174.0,,23.0,1.0,190.0,1.0,,19.0,9.0,60.0,2.0,6.0,,9.0,4.0,4.0,41.0,430.0,7.0,3.0,,16.0,62.0,,0.0,8.0,1.0,,2.0,0.0,4.0,,1.0,65.0,22.0,1.0,3.0,1.0,6.0,12.0,,40.0,11.0,2.0,504.0,10.0,15.0,17.0,8.0,31.0,2.0,4.0,361.0,12.0,20.0,7.0,129.0,20.0,,3.0,17.0,15.0,2.0,16.0,3.0,17.0,3.0,10.0,11.0,1.0,,,,,,,,,,,1.0,3.0,2.0,,,2.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,
25,695149,2014-02-08 17:30:00,"Swansea.com Stadium, Swansea",20402,Home,Swansea City,Cardiff City,3,0,W,0,0,0,0,,1.0,3.0,69.0,1.0,27.0,37.0,8.0,3.0,1.0,2.0,182.0,7.0,6.0,3.0,3.0,15.0,6.0,141.0,133.0,54.0,17.0,2.0,18.0,2.0,,2.0,1.0,1.0,25.0,17.0,1.0,37.0,4.0,32.0,24.0,258.0,,0.0,130.0,7.0,1.0,2.0,,64.0,91.0,8.0,101.0,4.0,21.0,13.0,6.0,6.0,133.0,3.0,3.0,156.0,805.0,11.0,3.0,5.0,500.0,21.0,,4.0,23.0,3.0,1.0,1.0,7.0,22.0,570.0,67.0,86989,5.0,257.0,,13.0,1.0,271.0,4.0,1.0,13.0,8.0,53.0,1.0,9.0,2.0,12.0,4.0,5.0,50.0,508.0,7.0,9.0,1.0,20.0,90.0,,0.0,1.0,,3.0,,0.0,5.0,3.0,3.0,62.0,21.0,1.0,3.0,2.0,9.0,4.0,,62.0,5.0,,580.0,5.0,8.0,15.0,7.0,19.0,2.0,1.0,334.0,10.0,29.0,13.0,93.0,35.0,1.0,,23.0,28.0,,15.0,3.0,17.0,,7.0,5.0,1.0,1.0,,,2.0,,,1.0,,,,,7.0,1.0,,,2.0,,,,,,1.0,2.0,,,,2.0,,3.0,,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,
26,695154,2014-02-12 19:45:00,"bet365 Stadium, Stoke",24822,Away,Swansea City,Stoke City,1,1,D,0,1,0,0,,,,79.0,1.0,24.0,39.0,5.0,3.0,3.0,1.0,196.0,9.0,23.0,1.0,1.0,13.0,2.0,136.0,172.0,72.0,14.0,1.0,31.0,,,,,3.0,21.0,19.0,1.0,39.0,4.0,33.0,25.0,236.0,1.0,0.0,118.0,12.0,1.0,1.0,3.0,60.0,99.0,6.0,83.0,1.0,17.0,16.0,4.0,3.0,172.0,2.0,3.0,138.0,826.0,11.0,4.0,11.0,443.0,33.0,2.0,,24.0,1.0,2.0,,7.0,39.0,539.0,64.0,89046,8.0,226.0,2.0,12.0,,255.0,5.0,,16.0,7.0,78.0,1.0,5.0,,20.0,4.0,4.0,61.0,453.0,11.0,8.0,1.0,32.0,84.0,,0.0,2.0,1.0,1.0,1.0,0.0,7.0,1.0,3.0,64.3,35.0,2.0,3.0,,5.0,5.0,,53.0,5.0,3.0,553.0,11.0,16.0,15.0,7.0,18.0,2.0,4.0,319.0,8.0,31.0,13.0,80.0,33.0,,2.0,24.0,25.0,1.0,11.0,3.0,37.0,2.0,4.0,5.0,2.0,,,,,,,,,1.0,1.0,,2.0,2.0,,,4.0,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,
27,695164,2014-02-23 13:30:00,"Anfield, Liverpool",44731,Away,Swansea City,Liverpool,3,4,L,2,3,0,0,1.0,,1.0,71.0,,27.0,20.0,7.0,3.0,6.0,2.0,163.0,3.0,6.0,3.0,3.0,10.0,4.0,102.0,146.0,51.0,14.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0,13.0,15.0,1.0,20.0,5.0,10.0,23.0,155.0,1.0,0.0,93.0,11.0,4.0,1.0,1.0,44.0,56.0,5.0,66.0,4.0,8.0,13.0,3.0,3.0,146.0,,13.0,114.0,666.0,7.0,9.0,23.0,349.0,30.0,,6.0,11.0,1.0,0.0,5.0,5.0,24.0,430.0,57.0,86989,5.0,207.0,,4.0,1.0,229.0,4.0,2.0,13.0,10.0,58.0,,9.0,1.0,18.0,8.0,8.0,47.0,359.0,9.0,15.0,2.0,18.0,84.0,,0.0,3.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,46.6,20.0,2.0,5.0,,9.0,2.0,,54.0,5.0,1.0,445.0,23.0,12.0,14.0,8.0,16.0,2.0,5.0,229.0,9.0,7.0,15.0,56.0,25.0,1.0,2.0,11.0,21.0,3.0,10.0,3.0,19.0,2.0,7.0,5.0,2.0,3.0,,,1.0,3.0,1.0,,,1.0,,,1.0,4.0,,,,,,1.0,,,,1.0,1.0,,,,2.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
