gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,lostCorners,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,savedObox,saves,attGoalLowCentre,goals,fouledFinalThird,attFreekickTotal,goalAssistOpenplay,freekickCross,freekickTotal,bigChanceCreated,contentiousDecision,attMissHighLeft,goalAssist,bigChanceMissed,attRfGoal,goalsOpenplay,overrun,attIboxGoal,goalAssistIntentional,accurateLayoffs,forwardGoals,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,accurateKeeperSweeper,cleanSheet,divingSave,midfielderGoals,attMissRight,attPostLeft,totalKeeperSweeper,accurateFreekickCross,totalThroughBall,savedIbox,attOboxPost,attHdGoal,goalFastbreak,attOboxTarget,attOneOnOne,attMissHighRight,attSvHighLeft,accurateThroughBall,errorLeadToShot,goalsConcededObox,attGoalLowRight,attOboxGoal,ptsGainedLosingPos,goodHighClaim,attCmissHigh,defenderGoals,attCmissHighLeft,foulThrowIn,totalHighClaim,attFreekickMiss,attSvLowLeft,attGoalHighCentre,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded,penaltySave,attFreekickPost,shieldBallOop,attSvHighCentre,attGoalHighRight,attObpGoal,attFreekickTarget,attCmissRight,winningGoal,keeperGoals,subsGoals,attObxdLeft,ownGoals,attPenGoal,attGoalHighLeft,attFreekickGoal,punches,attCmissHighRight,attObxRight,attObxdRight,penaltyWon,attPenTarget,attIboxOwnGoal,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,errorLeadToGoal,secondYellow,attObxLeft,attPenPost
11,2128395,2020-12-05 17:30:00,"London Stadium, London",2000.0,Home,West Ham United,Manchester United,1,3,L,1,0,0,0,,1.0,33.0,61.0,4.0,29.0,9.0,5.0,6.0,14.0,4.0,147.0,17.0,8.0,7.0,13.0,,6.0,84.0,137.0,42.0,19.0,,16.0,1.0,,2.0,1.0,2.0,3.0,25.0,1.0,6.0,9.0,4.0,,34.0,150.0,,0.0,107.0,9.0,,82.0,36.0,6.0,61.0,,21.0,20.0,5.0,7.0,1.0,137.0,10.0,100.0,,567.0,10.0,4.0,30.0,,1.0,13.0,295.0,19.0,4.0,7.0,0.0,2.0,7.0,18.0,373.0,49.0,86934,5.0,165.0,11.0,,2.0,187.0,8.0,,20.0,5.0,43.0,4.0,4.0,14.0,5.0,3.0,3.0,58.0,307.0,9.0,6.0,2.0,20.0,4.0,63.0,,1.0,2.0,0.0,4.0,,3.0,,0.0,7.0,4.0,39.3,15.0,3.0,6.0,2.0,4.0,4.0,36.0,5.0,392.0,13.0,8.0,18.0,9.0,27.0,1.0,7.0,230.0,9.0,14.0,72.0,31.0,,7.0,12.0,2.0,12.0,3.0,11.0,,8.0,5.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,,3.0,1.0,3.0,,1.0,1.0,5.0,1.0,,2.0,1.0,,,,,1.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,4.0,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,3.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,2128400,2020-12-11 20:00:00,"Elland Road, Leeds",,Away,West Ham United,Leeds United,2,1,W,1,1,0,0,1.0,,30.0,66.0,2.0,27.0,22.0,6.0,3.0,12.0,3.0,149.0,13.0,8.0,11.0,14.0,,8.0,57.0,144.0,58.0,19.0,1.0,15.0,5.0,,2.0,1.0,4.0,2.0,22.0,1.0,7.0,22.0,6.0,1.0,40.0,129.0,,0.0,119.0,10.0,,44.0,49.0,9.0,47.0,1.0,16.0,18.0,7.0,1.0,5.0,144.0,10.0,44.0,1.0,505.0,11.0,8.0,27.0,3.0,1.0,11.0,193.0,28.0,7.0,17.0,2.0,1.0,5.0,25.0,275.0,56.0,86934,9.0,84.0,13.0,,2.0,107.0,4.0,1.0,18.0,6.0,52.0,,9.0,17.0,3.0,4.0,1.0,56.0,205.0,12.0,11.0,1.0,17.0,3.0,62.0,,,2.0,0.0,5.0,,1.0,3.0,0.0,6.0,6.0,36.0,22.0,,3.0,,9.0,3.0,34.0,6.0,297.0,11.0,11.0,17.0,8.0,30.0,2.0,2.0,212.0,10.0,24.0,68.0,20.0,3.0,17.0,12.0,1.0,13.0,3.0,17.0,3.0,7.0,6.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,,2.0,1.0,3.0,,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,,,0.0,2.0,2.0,0.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,4.0,,2.0,,1.0,,2.0,,,,0.0,0.0,0.0,3.0,2.0,,1.0,,,2.0,1.0,1.0,0.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
13,2128412,2020-12-16 20:00:00,"London Stadium, London",,Home,West Ham United,Crystal Palace,1,1,D,0,1,0,1,,1.0,31.0,62.0,,26.0,15.0,3.0,3.0,5.0,,136.0,24.0,7.0,6.0,7.0,,2.0,149.0,134.0,56.0,9.0,,18.0,1.0,,1.0,,,2.0,28.0,,12.0,15.0,5.0,6.0,28.0,196.0,,0.0,106.0,8.0,,60.0,65.0,1.0,42.0,,23.0,13.0,4.0,9.0,4.0,134.0,7.0,112.0,,651.0,6.0,2.0,15.0,,,13.0,364.0,32.0,3.0,7.0,0.0,2.0,6.0,22.0,424.0,43.0,86934,4.0,187.0,11.0,,,207.0,5.0,,13.0,5.0,57.0,,6.0,22.0,1.0,4.0,4.0,45.0,376.0,12.0,8.0,,12.0,,63.0,,,,0.0,3.0,,1.0,,0.0,6.0,3.0,51.9,21.0,3.0,2.0,,6.0,,38.0,5.0,439.0,13.0,17.0,17.0,7.0,29.0,1.0,3.0,260.0,3.0,20.0,86.0,20.0,2.0,7.0,19.0,1.0,8.0,3.0,12.0,2.0,8.0,5.0,,,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
14,2128418,2020-12-21 20:00:00,"Stamford Bridge, London",,Away,West Ham United,Chelsea,0,3,L,0,1,0,0,,,31.0,61.0,2.0,26.0,12.0,,3.0,6.0,,155.0,16.0,6.0,7.0,3.0,,,107.0,150.0,63.0,6.0,,24.0,,,1.0,,,,25.0,,16.0,12.0,3.0,3.0,62.0,159.0,,0.0,115.0,6.0,,58.0,66.0,1.0,73.0,1.0,22.0,24.0,,10.0,,150.0,9.0,108.0,,620.0,2.0,9.0,29.0,,,13.0,325.0,23.0,1.0,4.0,0.0,,2.0,20.0,423.0,52.0,81012,4.0,190.0,10.0,,1.0,218.0,5.0,2.0,24.0,7.0,52.0,4.0,6.0,7.0,2.0,6.0,,53.0,343.0,11.0,6.0,1.0,10.0,1.0,77.0,,,,0.0,5.0,,3.0,3.0,0.0,4.0,2.0,46.3,16.0,2.0,6.0,1.0,6.0,2.0,45.0,4.0,443.0,13.0,15.0,34.0,4.0,33.0,2.0,4.0,250.0,1.0,25.0,74.0,25.0,1.0,4.0,20.0,3.0,4.0,2.0,8.0,1.0,9.0,4.0,,1.0,4.0,,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,2.0,,,1.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
15,2128434,2020-12-27 14:15:00,"London Stadium, London",,Home,West Ham United,Brighton and Hove Albion,2,2,D,0,1,0,0,1.0,,31.0,61.0,3.0,29.0,6.0,3.0,2.0,8.0,,175.0,13.0,5.0,6.0,8.0,,4.0,91.0,150.0,51.0,11.0,2.0,16.0,2.0,,2.0,,,,26.0,,8.0,6.0,3.0,3.0,45.0,200.0,,0.0,131.0,6.0,,78.0,69.0,6.0,58.0,1.0,23.0,17.0,3.0,9.0,1.0,150.0,8.0,99.0,,589.0,6.0,11.0,26.0,2.0,,13.0,308.0,23.0,5.0,4.0,0.0,3.0,2.0,19.0,398.0,56.0,86934,4.0,130.0,13.0,1.0,1.0,160.0,2.0,,17.0,11.0,42.0,2.0,8.0,14.0,5.0,6.0,,66.0,325.0,8.0,10.0,1.0,21.0,3.0,69.0,,,,0.0,4.0,,2.0,4.0,0.0,5.0,3.0,43.6,15.0,,3.0,,8.0,5.0,36.0,5.0,423.0,13.0,9.0,24.0,2.0,34.0,,1.0,289.0,5.0,23.0,96.0,24.0,1.0,4.0,14.0,2.0,7.0,2.0,8.0,1.0,7.0,5.0,2.0,1.0,2.0,,2.0,2.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,2.0,,1.0,,,,1.0,,1.0,2.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2128443,2020-12-29 18:00:00,"St. Mary's Stadium, Southampton",,Away,West Ham United,Southampton,0,0,D,0,0,0,0,1.0,,30.0,63.0,1.0,30.0,26.0,2.0,1.0,6.0,1.0,152.0,17.0,6.0,8.0,4.0,,3.0,69.0,148.0,58.0,8.0,1.0,7.0,3.0,,1.0,,2.0,,18.0,,7.0,26.0,3.0,3.0,43.0,146.0,,0.0,106.0,15.0,,52.0,58.0,3.0,42.0,2.0,15.0,14.0,2.0,8.0,1.0,148.0,4.0,77.0,,532.0,3.0,13.0,22.0,2.0,,17.0,220.0,30.0,3.0,14.0,1.0,1.0,1.0,15.0,316.0,55.0,86934,3.0,101.0,3.0,,2.0,134.0,11.0,,14.0,6.0,38.0,3.0,2.0,18.0,4.0,6.0,2.0,56.0,241.0,16.0,2.0,1.0,15.0,,60.0,,,,0.0,4.0,,,5.0,0.0,4.0,2.0,37.4,14.0,,3.0,,2.0,2.0,39.0,3.0,340.0,17.0,10.0,23.0,3.0,27.0,2.0,2.0,224.0,5.0,21.0,64.0,23.0,4.0,14.0,15.0,,6.0,3.0,13.0,4.0,6.0,3.0,,1.0,4.0,,,5.0,,,4.0,,,,,,1.0,,,,,,3.0,,,,,,,1.0,3.0,,1.0,,,2.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2128450,2021-01-01 17:30:00,"Goodison Park, Liverpool",,Away,West Ham United,Everton,1,0,W,0,0,0,0,1.0,2.0,19.0,70.0,,16.0,21.0,3.0,6.0,7.0,2.0,169.0,10.0,4.0,4.0,6.0,,5.0,72.0,144.0,48.0,11.0,1.0,20.0,2.0,,,,1.0,2.0,18.0,,10.0,21.0,4.0,2.0,33.0,152.0,,0.0,116.0,7.0,,69.0,53.0,2.0,66.0,1.0,14.0,20.0,4.0,4.0,1.0,144.0,5.0,85.0,,579.0,5.0,4.0,26.0,,,20.0,289.0,39.0,2.0,14.0,0.0,3.0,3.0,17.0,375.0,58.0,86934,3.0,150.0,9.0,,,183.0,5.0,,20.0,6.0,48.0,,2.0,13.0,5.0,3.0,1.0,50.0,298.0,9.0,7.0,,15.0,2.0,65.0,,1.0,,0.0,5.0,,,3.0,0.0,2.0,2.0,40.0,12.0,2.0,7.0,2.0,2.0,1.0,36.0,4.0,392.0,20.0,10.0,15.0,5.0,22.0,2.0,4.0,227.0,3.0,21.0,73.0,21.0,1.0,14.0,16.0,,8.0,3.0,9.0,1.0,10.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,2.0,1.0,1.0,3.0,1.0,,2.0,,,,,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
18,2128462,2021-01-19 18:00:00,"London Stadium, London",,Home,West Ham United,West Bromwich Albion,2,1,W,1,0,0,0,1.0,3.0,25.0,64.0,2.0,34.0,18.0,6.0,4.0,8.0,1.0,204.0,12.0,6.0,12.0,11.0,1.0,6.0,126.0,149.0,48.0,14.0,1.0,16.0,3.0,,1.0,,,,24.0,,3.0,18.0,3.0,8.0,44.0,252.0,,0.0,181.0,10.0,,117.0,75.0,7.0,72.0,1.0,21.0,15.0,6.0,5.0,4.0,149.0,2.0,139.0,,728.0,7.0,5.0,21.0,,,3.0,428.0,27.0,6.0,13.0,0.0,,4.0,25.0,520.0,72.0,86934,4.0,200.0,15.0,1.0,1.0,225.0,6.0,1.0,15.0,8.0,47.0,2.0,6.0,12.0,4.0,7.0,1.0,63.0,446.0,9.0,3.0,2.0,16.0,1.0,78.0,,2.0,,0.0,1.0,,1.0,1.0,0.0,5.0,1.0,59.0,22.0,1.0,2.0,1.0,6.0,3.0,49.0,3.0,541.0,3.0,11.0,17.0,5.0,33.0,1.0,1.0,340.0,8.0,22.0,136.0,26.0,1.0,13.0,5.0,,11.0,3.0,20.0,1.0,7.0,3.0,2.0,,2.0,,2.0,3.0,1.0,2.0,1.0,1.0,3.0,,,2.0,1.0,1.0,2.0,,2.0,2.0,6.0,1.0,,,,,,,1.0,1.0,2.0,,,,,1.0,,,,1.0,,2.0,,,,1.0,1.0,,,4.0,1.0,,,,4.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
19,2128474,2021-01-16 15:00:00,"London Stadium, London",,Home,West Ham United,Burnley,1,0,W,1,0,0,0,,,24.0,67.0,4.0,28.0,28.0,2.0,1.0,12.0,1.0,179.0,11.0,5.0,18.0,9.0,,4.0,60.0,171.0,65.0,15.0,1.0,26.0,2.0,,2.0,1.0,1.0,1.0,32.0,1.0,5.0,28.0,7.0,2.0,43.0,142.0,,0.0,127.0,12.0,,63.0,53.0,5.0,57.0,,25.0,12.0,3.0,6.0,1.0,171.0,3.0,68.0,1.0,576.0,8.0,8.0,27.0,2.0,1.0,10.0,259.0,30.0,9.0,15.0,2.0,5.0,4.0,19.0,344.0,65.0,86934,7.0,128.0,18.0,2.0,,158.0,5.0,1.0,12.0,7.0,56.0,5.0,,18.0,7.0,1.0,2.0,70.0,265.0,9.0,6.0,1.0,27.0,6.0,75.0,,2.0,,0.0,4.0,,,3.0,0.0,3.0,4.0,44.8,11.0,1.0,3.0,,,5.0,30.0,7.0,364.0,10.0,4.0,19.0,6.0,32.0,2.0,4.0,238.0,9.0,31.0,84.0,26.0,2.0,15.0,8.0,,8.0,2.0,27.0,2.0,2.0,7.0,1.0,2.0,2.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,2128482,2021-01-26 18:00:00,"Selhurst Park, London",,Away,West Ham United,Crystal Palace,3,2,W,2,1,0,0,,1.0,29.0,73.0,1.0,20.0,16.0,7.0,4.0,10.0,3.0,178.0,13.0,3.0,10.0,14.0,,7.0,103.0,159.0,51.0,17.0,3.0,31.0,2.0,1.0,,2.0,3.0,3.0,11.0,1.0,11.0,16.0,4.0,5.0,45.0,174.0,,0.0,141.0,8.0,1.0,71.0,72.0,10.0,82.0,1.0,7.0,25.0,7.0,2.0,1.0,159.0,2.0,97.0,,641.0,11.0,1.0,21.0,,2.0,11.0,341.0,29.0,6.0,12.0,0.0,,4.0,27.0,439.0,56.0,86934,4.0,176.0,5.0,,1.0,200.0,5.0,1.0,25.0,7.0,65.0,2.0,2.0,15.0,4.0,2.0,,68.0,347.0,9.0,9.0,,26.0,1.0,83.0,1.0,1.0,1.0,0.0,3.0,,2.0,,0.0,2.0,2.0,45.8,23.0,,6.0,,2.0,4.0,37.0,4.0,460.0,11.0,11.0,15.0,6.0,14.0,1.0,3.0,271.0,11.0,15.0,93.0,30.0,,12.0,18.0,1.0,15.0,3.0,16.0,,13.0,4.0,3.0,,1.0,1.0,3.0,1.0,,1.0,,,5.0,1.0,,3.0,2.0,1.0,1.0,,3.0,3.0,4.0,,,2.0,2.0,,,,,2.0,1.0,2.0,,,,1.0,1.0,2.0,,2.0,,,,,,1.0,1.0,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
21,2128495,2021-01-31 16:30:00,"London Stadium, London",,Home,West Ham United,Liverpool,1,3,L,0,0,0,0,1.0,,23.0,59.0,1.0,22.0,12.0,2.0,1.0,6.0,,145.0,16.0,5.0,6.0,4.0,,2.0,83.0,124.0,36.0,8.0,2.0,12.0,1.0,,,,1.0,1.0,22.0,,10.0,12.0,5.0,5.0,26.0,113.0,,0.0,75.0,7.0,,44.0,66.0,2.0,54.0,1.0,17.0,18.0,2.0,6.0,,124.0,10.0,83.0,,524.0,2.0,4.0,15.0,1.0,,18.0,264.0,35.0,4.0,7.0,2.0,3.0,2.0,8.0,342.0,43.0,86934,3.0,172.0,10.0,1.0,1.0,203.0,4.0,,18.0,9.0,39.0,2.0,5.0,5.0,4.0,4.0,,64.0,280.0,4.0,8.0,2.0,27.0,3.0,60.0,,,,0.0,5.0,,3.0,1.0,0.0,3.0,2.0,32.8,7.0,1.0,1.0,,5.0,3.0,22.0,6.0,365.0,18.0,6.0,11.0,3.0,20.0,2.0,3.0,184.0,4.0,12.0,50.0,15.0,1.0,7.0,15.0,3.0,4.0,3.0,13.0,1.0,8.0,6.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,,5.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,2128496,2021-02-03 20:15:00,"Villa Park, Birmingham",,Away,West Ham United,Aston Villa,3,1,W,0,0,0,0,,1.0,32.0,52.0,2.0,29.0,23.0,8.0,4.0,11.0,5.0,160.0,18.0,6.0,6.0,14.0,,10.0,80.0,121.0,44.0,20.0,4.0,15.0,3.0,3.0,2.0,,3.0,1.0,16.0,,8.0,23.0,3.0,3.0,42.0,181.0,,0.0,134.0,16.0,5.0,54.0,79.0,10.0,53.0,,13.0,18.0,9.0,4.0,1.0,121.0,6.0,83.0,,543.0,10.0,3.0,26.0,1.0,,5.0,273.0,30.0,1.0,13.0,1.0,2.0,4.0,17.0,354.0,50.0,86934,6.0,117.0,9.0,,1.0,145.0,9.0,1.0,18.0,8.0,54.0,1.0,2.0,9.0,3.0,6.0,1.0,57.0,292.0,10.0,10.0,1.0,12.0,1.0,61.0,3.0,1.0,,0.0,7.0,,1.0,,0.0,6.0,1.0,43.5,13.0,,4.0,3.0,2.0,6.0,34.0,3.0,376.0,5.0,6.0,19.0,4.0,25.0,,3.0,247.0,15.0,13.0,99.0,15.0,,13.0,15.0,1.0,17.0,3.0,13.0,,5.0,3.0,,1.0,1.0,,3.0,2.0,1.0,3.0,,1.0,2.0,,,3.0,2.0,2.0,3.0,,3.0,2.0,2.0,,1.0,,,1.0,,,,3.0,2.0,,,,2.0,,,,2.0,4.0,1.0,,,2.0,1.0,,1.0,,,1.0,,,,,1.0,,2.0,,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
23,2128508,2021-02-06 17:30:00,"Craven Cottage, London",,Away,West Ham United,Fulham,0,0,D,0,0,1,0,,,27.0,57.0,1.0,28.0,24.0,1.0,1.0,7.0,1.0,161.0,15.0,7.0,4.0,7.0,,1.0,73.0,139.0,49.0,8.0,,11.0,1.0,,,1.0,,1.0,15.0,1.0,6.0,24.0,2.0,3.0,27.0,121.0,,0.0,94.0,10.0,,59.0,49.0,2.0,57.0,1.0,13.0,13.0,1.0,2.0,1.0,139.0,13.0,63.0,1.0,524.0,5.0,7.0,16.0,,2.0,6.0,243.0,29.0,8.0,12.0,3.0,6.0,5.0,20.0,331.0,45.0,86934,4.0,144.0,7.0,,3.0,171.0,2.0,,13.0,14.0,42.0,4.0,3.0,16.0,7.0,6.0,,72.0,258.0,10.0,8.0,2.0,27.0,2.0,72.0,,,,0.0,7.0,1.0,,3.0,1.0,7.0,5.0,39.4,19.0,3.0,,1.0,3.0,1.0,30.0,3.0,354.0,6.0,8.0,9.0,6.0,19.0,,4.0,198.0,2.0,26.0,58.0,22.0,1.0,12.0,9.0,,2.0,3.0,9.0,1.0,3.0,3.0,,1.0,3.0,,,5.0,1.0,,4.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,3.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2128525,2021-02-15 18:00:00,"London Stadium, London",,Home,West Ham United,Sheffield United,3,0,W,1,0,0,0,,1.0,,55.0,1.0,22.0,19.0,4.0,3.0,9.0,5.0,147.0,,2.0,7.0,8.0,,9.0,113.0,126.0,43.0,13.0,,15.0,3.0,1.0,,,1.0,,15.0,,2.0,19.0,6.0,,26.0,155.0,,0.0,107.0,11.0,1.0,60.0,56.0,7.0,58.0,1.0,9.0,11.0,4.0,1.0,1.0,126.0,5.0,111.0,,588.0,5.0,8.0,20.0,,,9.0,332.0,23.0,1.0,8.0,0.0,1.0,1.0,16.0,409.0,39.0,86934,7.0,195.0,7.0,,,221.0,7.0,,11.0,8.0,51.0,1.0,8.0,10.0,3.0,6.0,1.0,44.0,348.0,12.0,7.0,1.0,12.0,2.0,61.0,1.0,2.0,,0.0,7.0,,,1.0,0.0,,2.0,45.9,16.0,1.0,2.0,2.0,8.0,1.0,36.0,7.0,429.0,9.0,10.0,10.0,3.0,23.0,2.0,2.0,223.0,8.0,15.0,78.0,20.0,2.0,8.0,9.0,,8.0,3.0,15.0,2.0,2.0,7.0,2.0,1.0,5.0,,3.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,,,2.0,1.0,1.0,,,1.0,3.0,1.0,,,,,,4.0,,1.0,,3.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
25,2128534,2021-02-21 12:00:00,"London Stadium, London",,Home,West Ham United,Tottenham Hotspur,2,1,W,1,0,0,0,3.0,,30.0,56.0,,22.0,27.0,,2.0,4.0,1.0,139.0,15.0,3.0,8.0,3.0,,4.0,33.0,152.0,61.0,4.0,,20.0,2.0,,,,1.0,,13.0,,14.0,27.0,5.0,1.0,33.0,89.0,,0.0,101.0,14.0,,55.0,42.0,3.0,43.0,3.0,8.0,17.0,,1.0,,152.0,8.0,38.0,,447.0,1.0,9.0,16.0,1.0,,13.0,144.0,20.0,1.0,12.0,4.0,3.0,,21.0,224.0,60.0,86934,1.0,70.0,6.0,,,87.0,7.0,1.0,17.0,15.0,58.0,1.0,2.0,18.0,12.0,6.0,,61.0,156.0,7.0,11.0,1.0,13.0,1.0,61.0,,,,0.0,7.0,,1.0,3.0,0.0,1.0,1.0,30.8,14.0,,1.0,1.0,2.0,,19.0,5.0,253.0,13.0,9.0,16.0,,17.0,2.0,,179.0,1.0,23.0,51.0,26.0,1.0,12.0,23.0,1.0,3.0,3.0,15.0,1.0,11.0,5.0,1.0,2.0,3.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,3.0,2.0,,1.0,1.0,,,,2.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
