gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attPostHigh,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,goals,attCmissRight,attSvLowCentre,attOboxTarget,attSvHighRight,attSvLowLeft,attHdTarget,accurateThroughBall,accurateFreekickCross,attSetpiece,penaltyConceded,attRfGoal,goalsOpenplay,attGoalHighLeft,attSvLowRight,savedIbox,attIboxGoal,accurateCrossNocorner,shieldBallOop,penaltyFaced,penGoalsConceded,forwardGoals,handBall,attFreekickTotal,freekickTotal,attMissHighLeft,totalPullBack,attFreekickMiss,attLfGoal,attGoalLowCentre,goalAssistOpenplay,attGoalHighRight,cleanSheet,attOboxGoal,midfielderGoals,goalAssist,sixYardBlock,attLgCentre,attOboxPost,attGoalLowLeft,goalAssistSetplay,attGoalHighCentre,attCmissHigh,goalAssistIntentional,attHdGoal,attSvHighLeft,attOneOnOne,secondYellow,ptsDroppedWinningPos,foulThrowIn,attPostRight,accuratePullBack,attLgLeft,errorLeadToGoal,goalAssistDeadball,ptsGainedLosingPos,attObxdLeft,attObpGoal,attFreekickTarget,penaltySave,attPenTarget,penaltyWon,shotFastbreak,totalFastbreak,defenderGoals,attCmissHighLeft,attFastbreak,attPenGoal,attCmissLeft,goalFastbreak,attObxLeft,clearanceOffLine,ownGoals,attFreekickGoal,attIboxOwnGoal
11,919002,2017-11-04 17:30:00,"London Stadium, London",56961,Home,West Ham United,Liverpool,1,4,L,0,2,0,0,,70.0,,,33.0,14.0,1.0,3.0,5.0,4.0,,167.0,3.0,9.0,2.0,5.0,1.0,87.0,165.0,48.0,6.0,,14.0,,,1.0,1.0,,12.0,1.0,5.0,14.0,2.0,8.0,32.0,173.0,,0.0,103.0,9.0,3.0,2.0,1.0,74.0,63.0,1.0,88.0,,,10.0,29.0,1.0,2.0,1.0,165.0,2.0,,12.0,100.0,,622.0,3.0,3.0,10.0,1.0,6.0,320.0,18.0,9.0,8.0,1.0,3.0,1.0,4.0,22.0,416.0,67.0,,86934,3.0,165.0,2.0,6.0,187.0,4.0,29.0,9.0,51.0,,5.0,5.0,19.0,3.0,1.0,3.0,76.0,335.0,13.0,10.0,1.0,31.0,92.0,,0.0,1.0,3.0,,4.0,2.0,,0.0,2.0,48.0,19.0,2.0,1.0,1.0,,5.0,,42.0,2.0,1.0,442.0,6.0,17.0,16.0,5.0,13.0,,3.0,267.0,1.0,8.0,16.0,56.0,42.0,,8.0,10.0,4.0,5.0,3.0,12.0,,15.0,2.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,3.0,1.0,3.0,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,919011,2017-11-19 16:00:00,"Vicarage Road, Watford",20018,Away,West Ham United,Watford,0,2,L,0,1,0,0,,67.0,3.0,,36.0,26.0,1.0,2.0,8.0,5.0,4.0,145.0,5.0,9.0,2.0,6.0,6.0,111.0,146.0,51.0,10.0,,22.0,6.0,,,,2.0,16.0,,5.0,26.0,1.0,8.0,39.0,186.0,,0.0,113.0,10.0,2.0,3.0,,51.0,79.0,4.0,64.0,2.0,,15.0,17.0,2.0,2.0,2.0,146.0,1.0,1.0,12.0,114.0,,617.0,5.0,8.0,12.0,,22.0,323.0,31.0,6.0,15.0,,4.0,2.0,2.0,24.0,410.0,55.0,,86934,6.0,155.0,2.0,10.0,178.0,5.0,17.0,9.0,51.0,1.0,3.0,1.0,14.0,5.0,3.0,1.0,72.0,336.0,13.0,7.0,1.0,24.0,75.0,,0.0,,3.0,,2.0,3.0,,0.0,3.0,41.5,17.0,1.0,3.0,,,1.0,,43.0,1.0,,434.0,22.0,4.0,18.0,4.0,21.0,,2.0,272.0,5.0,8.0,23.0,77.0,25.0,1.0,15.0,6.0,2.0,8.0,2.0,18.0,1.0,10.0,1.0,,,,,,3.0,,,1.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,5.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,919022,2017-11-24 20:00:00,"London Stadium, London",56897,Home,West Ham United,Leicester City,1,1,D,1,1,0,0,,66.0,1.0,1.0,20.0,14.0,,3.0,7.0,1.0,1.0,160.0,5.0,18.0,3.0,7.0,4.0,77.0,162.0,75.0,8.0,,23.0,2.0,1.0,,,1.0,31.0,,12.0,14.0,5.0,6.0,17.0,208.0,,0.0,131.0,9.0,,2.0,,92.0,52.0,4.0,51.0,,,26.0,20.0,1.0,9.0,,162.0,1.0,1.0,3.0,93.0,,595.0,5.0,11.0,19.0,,4.0,285.0,22.0,8.0,8.0,,1.0,,3.0,27.0,360.0,61.0,,86934,4.0,97.0,1.0,15.0,117.0,5.0,20.0,8.0,65.0,,,2.0,19.0,4.0,6.0,2.0,49.0,300.0,12.0,9.0,1.0,29.0,72.0,1.0,0.0,2.0,5.0,,1.0,5.0,,0.0,2.0,49.3,18.0,1.0,5.0,1.0,,2.0,1.0,40.0,5.0,,381.0,4.0,16.0,7.0,3.0,32.0,1.0,3.0,295.0,1.0,6.0,28.0,93.0,32.0,3.0,8.0,19.0,1.0,4.0,2.0,26.0,3.0,10.0,5.0,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,2.0,,1.0,4.0,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14,919030,2017-11-29 20:00:00,"Goodison Park, Liverpool",38242,Away,West Ham United,Everton,0,4,L,0,2,0,0,1.0,66.0,,,25.0,13.0,2.0,2.0,5.0,1.0,2.0,157.0,2.0,17.0,4.0,5.0,3.0,136.0,168.0,65.0,7.0,1.0,26.0,2.0,,1.0,1.0,,31.0,1.0,7.0,13.0,6.0,6.0,40.0,211.0,,0.0,146.0,6.0,1.0,2.0,,76.0,83.0,2.0,64.0,1.0,,25.0,14.0,2.0,5.0,,168.0,,,6.0,154.0,,703.0,3.0,13.0,24.0,1.0,7.0,389.0,30.0,7.0,9.0,1.0,1.0,1.0,3.0,30.0,486.0,73.0,,86934,4.0,197.0,1.0,18.0,215.0,4.0,14.0,4.0,62.0,,1.0,4.0,10.0,2.0,,2.0,66.0,406.0,16.0,11.0,2.0,33.0,76.0,,0.0,2.0,2.0,1.0,4.0,3.0,,0.0,2.0,56.1,28.0,2.0,6.0,1.0,1.0,4.0,1.0,39.0,6.0,,511.0,7.0,8.0,23.0,3.0,43.0,1.0,2.0,327.0,3.0,5.0,22.0,89.0,24.0,1.0,9.0,11.0,3.0,4.0,3.0,28.0,1.0,5.0,6.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
15,919039,2017-12-03 16:00:00,"Etihad Stadium, Manchester",54203,Away,West Ham United,Manchester City,1,2,L,1,0,0,0,,61.0,3.0,,23.0,37.0,1.0,1.0,5.0,6.0,2.0,115.0,3.0,12.0,1.0,6.0,4.0,30.0,129.0,52.0,7.0,,17.0,1.0,1.0,,,1.0,14.0,,12.0,37.0,3.0,4.0,17.0,84.0,,0.0,57.0,7.0,5.0,2.0,2.0,37.0,28.0,3.0,41.0,1.0,1.0,11.0,20.0,2.0,1.0,,129.0,,,12.0,34.0,,446.0,4.0,5.0,11.0,,15.0,144.0,45.0,5.0,16.0,1.0,2.0,9.0,3.0,19.0,194.0,35.0,,86934,2.0,77.0,,8.0,99.0,4.0,20.0,15.0,58.0,,4.0,1.0,18.0,12.0,7.0,,57.0,158.0,5.0,13.0,1.0,20.0,60.0,1.0,0.0,5.0,10.0,,2.0,3.0,,0.0,2.0,23.0,12.0,1.0,5.0,,,1.0,,28.0,4.0,2.0,220.0,15.0,19.0,6.0,3.0,14.0,1.0,3.0,135.0,4.0,4.0,15.0,35.0,4.0,4.0,16.0,20.0,2.0,3.0,3.0,15.0,4.0,11.0,4.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,1.0,3.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,3.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
16,919052,2017-12-09 12:30:00,"London Stadium, London",56953,Home,West Ham United,Chelsea,1,0,W,1,0,0,0,,68.0,1.0,2.0,19.0,32.0,2.0,2.0,3.0,2.0,1.0,130.0,,22.0,2.0,5.0,2.0,48.0,155.0,67.0,5.0,,18.0,,2.0,,,,13.0,,14.0,32.0,3.0,7.0,23.0,122.0,,0.0,95.0,10.0,2.0,2.0,1.0,100.0,23.0,4.0,50.0,2.0,1.0,10.0,20.0,2.0,3.0,1.0,155.0,,1.0,11.0,71.0,,536.0,4.0,2.0,10.0,,21.0,208.0,31.0,6.0,13.0,,6.0,8.0,1.0,21.0,270.0,52.0,,86934,1.0,97.0,,5.0,107.0,4.0,20.0,11.0,66.0,1.0,3.0,2.0,20.0,8.0,3.0,,62.0,219.0,10.0,15.0,,25.0,78.0,1.0,0.0,3.0,3.0,,,,,0.0,,30.6,10.0,,6.0,,,2.0,2.0,35.0,4.0,2.0,299.0,21.0,19.0,13.0,1.0,23.0,,,205.0,3.0,7.0,14.0,57.0,20.0,1.0,13.0,22.0,,5.0,2.0,27.0,1.0,12.0,4.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
17,919058,2017-12-13 20:00:00,"London Stadium, London",56921,Home,West Ham United,Arsenal,0,0,D,0,0,0,0,,71.0,2.0,,24.0,38.0,2.0,1.0,4.0,3.0,,144.0,2.0,15.0,1.0,6.0,,53.0,138.0,55.0,6.0,2.0,19.0,,,1.0,1.0,1.0,10.0,1.0,5.0,38.0,1.0,7.0,23.0,121.0,,0.0,95.0,9.0,2.0,1.0,1.0,46.0,66.0,2.0,38.0,3.0,1.0,9.0,22.0,2.0,3.0,,138.0,,,10.0,65.0,,512.0,6.0,19.0,16.0,1.0,17.0,198.0,37.0,4.0,15.0,1.0,2.0,10.0,4.0,21.0,269.0,46.0,,86934,4.0,95.0,,5.0,110.0,4.0,22.0,14.0,59.0,3.0,4.0,2.0,16.0,12.0,9.0,1.0,59.0,214.0,9.0,15.0,,20.0,65.0,,0.0,2.0,7.0,1.0,,5.0,,0.0,1.0,29.9,16.0,1.0,5.0,,,2.0,2.0,33.0,1.0,1.0,300.0,17.0,12.0,11.0,4.0,21.0,,3.0,200.0,4.0,7.0,20.0,47.0,17.0,3.0,15.0,11.0,,6.0,1.0,20.0,3.0,12.0,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,919070,2017-12-16 16:00:00,"bet365 Stadium, Stoke",29265,Away,West Ham United,Stoke City,3,0,W,1,0,0,0,,55.0,,1.0,22.0,47.0,3.0,4.0,11.0,,3.0,141.0,1.0,19.0,3.0,11.0,7.0,82.0,137.0,56.0,14.0,,25.0,2.0,4.0,1.0,,3.0,11.0,1.0,6.0,47.0,3.0,7.0,35.0,153.0,,0.0,100.0,13.0,,3.0,,41.0,64.0,6.0,49.0,,1.0,8.0,19.0,3.0,1.0,1.0,137.0,4.0,,8.0,100.0,,592.0,9.0,12.0,24.0,2.0,8.0,277.0,27.0,1.0,31.0,,1.0,9.0,5.0,25.0,341.0,41.0,1.0,86934,5.0,143.0,3.0,4.0,155.0,7.0,19.0,13.0,70.0,2.0,1.0,2.0,14.0,9.0,6.0,,51.0,295.0,11.0,7.0,,13.0,77.0,,0.0,2.0,7.0,1.0,,6.0,,0.0,,45.3,18.0,,,,,2.0,1.0,41.0,9.0,,372.0,8.0,15.0,19.0,6.0,21.0,,4.0,228.0,10.0,6.0,19.0,65.0,23.0,3.0,31.0,7.0,,13.0,3.0,29.0,3.0,12.0,9.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,,1.0,,1.0,1.0,,,3.0,2.0,,1.0,,3.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,2.0,,1.0,,1.0,2.0,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,
19,919082,2017-12-23 15:00:00,"London Stadium, London",56955,Home,West Ham United,Newcastle United,2,3,L,1,1,0,0,1.0,61.0,1.0,3.0,40.0,29.0,10.0,8.0,9.0,1.0,1.0,155.0,8.0,17.0,3.0,13.0,6.0,103.0,164.0,81.0,19.0,5.0,31.0,2.0,1.0,,,3.0,33.0,,12.0,29.0,6.0,10.0,56.0,197.0,,0.0,159.0,9.0,,3.0,,82.0,61.0,8.0,61.0,,,27.0,18.0,10.0,12.0,2.0,164.0,1.0,,5.0,107.0,,660.0,9.0,25.0,30.0,,4.0,318.0,20.0,6.0,17.0,,1.0,2.0,5.0,31.0,408.0,93.0,,8380,5.0,140.0,2.0,12.0,154.0,4.0,18.0,4.0,67.0,,4.0,1.0,9.0,6.0,3.0,2.0,71.0,329.0,12.0,4.0,4.0,17.0,78.0,,0.0,1.0,3.0,,3.0,9.0,,0.0,4.0,63.5,27.0,3.0,5.0,1.0,,1.0,8.0,42.0,6.0,,426.0,4.0,15.0,32.0,5.0,51.0,4.0,3.0,305.0,6.0,9.0,37.0,99.0,31.0,3.0,17.0,16.0,2.0,11.0,2.0,25.0,3.0,6.0,6.0,2.0,1.0,,2.0,,2.0,2.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,,1.0,4.0,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,3.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,
20,919083,2017-12-26 15:00:00,"Vitality Stadium, Bournemouth",10596,Away,West Ham United,Bournemouth,3,3,D,1,1,0,0,,63.0,1.0,2.0,31.0,33.0,2.0,6.0,8.0,7.0,1.0,158.0,5.0,7.0,,7.0,5.0,63.0,156.0,59.0,10.0,,26.0,1.0,,,1.0,2.0,18.0,,19.0,33.0,4.0,13.0,42.0,120.0,,0.0,86.0,14.0,5.0,1.0,,50.0,48.0,4.0,44.0,3.0,1.0,14.0,23.0,2.0,2.0,,156.0,2.0,1.0,20.0,68.0,,553.0,6.0,8.0,13.0,,18.0,219.0,24.0,6.0,13.0,1.0,4.0,5.0,3.0,29.0,299.0,60.0,,86934,3.0,121.0,2.0,11.0,146.0,5.0,23.0,14.0,64.0,3.0,2.0,1.0,19.0,5.0,7.0,,77.0,236.0,12.0,10.0,,24.0,83.0,1.0,0.0,2.0,7.0,,3.0,3.0,,0.0,1.0,43.5,21.0,,4.0,2.0,,1.0,2.0,37.0,4.0,,333.0,18.0,7.0,19.0,3.0,26.0,2.0,3.0,205.0,3.0,12.0,18.0,42.0,27.0,3.0,13.0,22.0,3.0,8.0,3.0,15.0,3.0,6.0,4.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,1.0,,1.0,2.0,,1.0,6.0,2.0,3.0,1.0,,,2.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,2.0,1.0,,,1.0,1.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,
21,919100,2018-01-04 20:00:00,"Wembley Stadium, London",50034,Away,West Ham United,Tottenham Hotspur,1,1,D,0,0,0,0,1.0,74.0,4.0,,18.0,41.0,1.0,1.0,2.0,7.0,,144.0,1.0,9.0,3.0,3.0,1.0,35.0,152.0,52.0,3.0,,18.0,,,,,,7.0,,9.0,41.0,1.0,15.0,33.0,69.0,,0.0,77.0,6.0,5.0,3.0,,25.0,62.0,1.0,53.0,3.0,2.0,6.0,12.0,1.0,1.0,,152.0,2.0,,17.0,51.0,,504.0,2.0,8.0,4.0,,21.0,176.0,47.0,8.0,25.0,,2.0,13.0,2.0,22.0,255.0,46.0,1.0,86934,,118.0,2.0,2.0,148.0,6.0,12.0,11.0,56.0,2.0,3.0,,18.0,14.0,3.0,,69.0,186.0,9.0,13.0,,33.0,72.0,1.0,0.0,1.0,7.0,,1.0,,,0.0,1.0,29.3,14.0,1.0,6.0,,,,,26.0,1.0,1.0,283.0,21.0,16.0,14.0,2.0,18.0,,2.0,142.0,1.0,13.0,16.0,37.0,14.0,7.0,25.0,18.0,,2.0,2.0,12.0,7.0,8.0,1.0,,,,1.0,2.0,,,,,,,,1.0,,1.0,1.0,1.0,,3.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,919112,2018-01-02 19:45:00,"London Stadium, London",56888,Home,West Ham United,West Bromwich Albion,2,1,W,0,1,0,0,1.0,60.0,1.0,3.0,38.0,32.0,3.0,5.0,10.0,2.0,3.0,148.0,8.0,14.0,4.0,12.0,5.0,129.0,134.0,65.0,13.0,,16.0,3.0,,,,2.0,29.0,,11.0,32.0,3.0,7.0,41.0,213.0,,0.0,136.0,12.0,1.0,3.0,,69.0,58.0,8.0,56.0,,,26.0,16.0,3.0,12.0,3.0,134.0,3.0,,5.0,116.0,,657.0,10.0,9.0,25.0,,7.0,349.0,27.0,7.0,19.0,,3.0,3.0,4.0,23.0,425.0,68.0,,86934,6.0,167.0,1.0,11.0,178.0,8.0,16.0,12.0,54.0,,1.0,7.0,10.0,7.0,11.0,2.0,63.0,372.0,12.0,10.0,,20.0,75.0,,0.0,4.0,4.0,,1.0,,,0.0,2.0,52.6,19.0,1.0,3.0,3.0,,7.0,3.0,46.0,3.0,1.0,449.0,7.0,9.0,23.0,5.0,43.0,1.0,2.0,300.0,6.0,6.0,24.0,92.0,23.0,2.0,19.0,15.0,,13.0,3.0,22.0,2.0,6.0,3.0,,2.0,1.0,2.0,,3.0,,,,,,3.0,,,1.0,2.0,,,1.0,2.0,7.0,1.0,,,2.0,,,,1.0,,,,1.0,2.0,,,,,2.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
23,919116,2018-01-13 15:00:00,"John Smith's Stadium, Huddersfield",24105,Away,West Ham United,Huddersfield Town,4,1,W,1,1,0,0,,59.0,1.0,1.0,17.0,30.0,1.0,2.0,6.0,1.0,1.0,139.0,2.0,14.0,1.0,6.0,6.0,50.0,139.0,59.0,8.0,,18.0,1.0,1.0,,1.0,,5.0,,15.0,30.0,3.0,6.0,26.0,124.0,1.0,0.0,99.0,9.0,1.0,,,47.0,49.0,6.0,49.0,3.0,,2.0,18.0,2.0,,1.0,139.0,1.0,,4.0,68.0,,508.0,2.0,9.0,14.0,,17.0,202.0,20.0,4.0,17.0,1.0,1.0,2.0,,30.0,286.0,56.0,,86934,4.0,87.0,,2.0,103.0,6.0,18.0,10.0,51.0,1.0,5.0,1.0,13.0,4.0,2.0,,64.0,209.0,7.0,11.0,1.0,32.0,71.0,,0.0,2.0,7.0,,1.0,1.0,,0.0,,35.2,24.0,,2.0,,,1.0,1.0,26.0,3.0,,306.0,17.0,11.0,14.0,1.0,13.0,2.0,,208.0,5.0,5.0,17.0,55.0,32.0,6.0,17.0,21.0,1.0,5.0,2.0,16.0,6.0,11.0,3.0,1.0,1.0,,4.0,,1.0,1.0,,,,1.0,,,,3.0,4.0,1.0,1.0,,4.0,,3.0,,,3.0,,1.0,1.0,,,1.0,1.0,,3.0,1.0,,,1.0,3.0,1.0,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,1.0,1.0,,,,
24,919132,2018-01-20 15:00:00,"London Stadium, London",56948,Home,West Ham United,Bournemouth,1,1,D,0,0,0,0,,62.0,1.0,1.0,25.0,21.0,7.0,4.0,5.0,2.0,1.0,166.0,5.0,12.0,1.0,10.0,4.0,68.0,166.0,51.0,12.0,1.0,17.0,2.0,,,1.0,1.0,26.0,,9.0,21.0,5.0,18.0,40.0,178.0,1.0,0.0,162.0,8.0,1.0,1.0,,59.0,72.0,5.0,77.0,2.0,3.0,21.0,30.0,7.0,7.0,5.0,166.0,,,2.0,75.0,,589.0,10.0,15.0,21.0,,17.0,272.0,19.0,9.0,13.0,1.0,3.0,,5.0,30.0,359.0,70.0,,86934,5.0,108.0,,13.0,127.0,4.0,30.0,6.0,49.0,3.0,5.0,1.0,10.0,6.0,,1.0,70.0,281.0,6.0,10.0,,32.0,72.0,,0.0,2.0,3.0,,1.0,5.0,,0.0,1.0,47.8,22.0,,8.0,,1.0,1.0,2.0,32.0,6.0,1.0,386.0,17.0,5.0,20.0,6.0,43.0,,1.0,285.0,7.0,17.0,20.0,99.0,26.0,2.0,13.0,13.0,1.0,11.0,3.0,22.0,2.0,11.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,1.0,1.0,5.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,919135,2018-01-30 19:45:00,"London Stadium, London",56911,Home,West Ham United,Crystal Palace,1,1,D,1,1,0,0,,52.0,2.0,1.0,32.0,24.0,1.0,2.0,7.0,2.0,,140.0,9.0,12.0,5.0,6.0,3.0,68.0,139.0,76.0,8.0,,26.0,2.0,1.0,,,1.0,30.0,,15.0,24.0,4.0,5.0,41.0,146.0,1.0,0.0,119.0,11.0,1.0,2.0,,42.0,79.0,3.0,27.0,,1.0,26.0,10.0,1.0,11.0,1.0,139.0,,,5.0,61.0,,483.0,5.0,16.0,20.0,,12.0,188.0,17.0,6.0,10.0,,1.0,1.0,3.0,21.0,271.0,54.0,,8380,4.0,67.0,,13.0,88.0,5.0,10.0,8.0,51.0,1.0,2.0,1.0,9.0,4.0,6.0,1.0,60.0,204.0,15.0,7.0,1.0,21.0,60.0,1.0,0.0,1.0,3.0,,1.0,6.0,,0.0,3.0,40.4,16.0,1.0,2.0,2.0,,1.0,1.0,29.0,5.0,,296.0,12.0,6.0,21.0,4.0,38.0,2.0,3.0,238.0,3.0,4.0,24.0,77.0,27.0,3.0,10.0,25.0,1.0,6.0,1.0,15.0,3.0,3.0,5.0,,1.0,,1.0,,1.0,,1.0,,2.0,,,,,1.0,,,,,1.0,7.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,
26,919145,2018-02-03 15:00:00,"Amex Stadium, Falmer",30589,Away,West Ham United,Brighton and Hove Albion,1,3,L,1,1,0,0,1.0,50.0,,1.0,24.0,36.0,,,4.0,2.0,,145.0,6.0,11.0,1.0,4.0,1.0,84.0,145.0,66.0,4.0,,24.0,,,,1.0,,17.0,,12.0,36.0,1.0,16.0,31.0,163.0,,0.0,98.0,7.0,2.0,3.0,,78.0,41.0,2.0,59.0,,1.0,16.0,19.0,,6.0,,145.0,1.0,,14.0,92.0,,577.0,3.0,11.0,15.0,,18.0,265.0,17.0,10.0,25.0,1.0,1.0,5.0,2.0,25.0,351.0,61.0,1.0,8380,4.0,126.0,1.0,7.0,148.0,2.0,19.0,13.0,45.0,,3.0,,15.0,7.0,7.0,,66.0,283.0,10.0,9.0,,29.0,90.0,,0.0,1.0,4.0,,3.0,3.0,,0.0,1.0,45.6,16.0,1.0,1.0,,,1.0,1.0,45.0,1.0,,380.0,18.0,4.0,15.0,2.0,27.0,,2.0,249.0,2.0,14.0,28.0,53.0,27.0,3.0,25.0,17.0,2.0,4.0,2.0,15.0,3.0,10.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,2.0,1.0,6.0,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
