gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,accurateKeeperSweeper,attSvHighLeft,freekickCross,goodHighClaim,totalKeeperSweeper,sixYardBlock,attCmissHigh,totalHighClaim,goalsConcededObox,savedObox,divingSave,interceptionsInBox,errorLeadToShot,attCmissLeft,goalsConceded,attCmissRight,attSvHighRight,attMissHighLeft,accurateFreekickCross,attCmissHighLeft,punches,bigChanceScored,attGoalLowCentre,attOboxGoal,penaltyWon,secondYellow,attObxdLeft,attPenGoal,goalsConcededIbox,attFreekickTotal,attSvLowCentre,freekickTotal,attHdTarget,penaltyConceded,attSvHighCentre,clearanceOffLine,penaltyFaced,penGoalsConceded,attFreekickMiss,goalFastbreak,defenderGoals,forwardGoals,attOneOnOne,attLfGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostHigh,errorLeadToGoal,attObxRight,attObxLeft,attPostRight,attFreekickTarget,ownGoals,attIboxOwnGoal,attGoalHighRight,attCmissHighRight,goalAssistSetplay,goalAssistDeadball,foulThrowIn,attGoalHighLeft,attHdGoal,attPostLeft,attOboxPost,contentiousDecision,attGoalHighCentre,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,ptsDroppedWinningPos,attFreekickGoal
29,695189,2014-03-26 19:45:00,"Boleyn Ground, London",31033,Home,West Ham United,Hull City,2,1,W,1,0,0,1,48.0,,1.0,2.0,32.0,33.0,4.0,5.0,2.0,1.0,153.0,5.0,6.0,2.0,2.0,7.0,,3.0,75.0,144.0,70.0,10.0,1.0,32.0,,,1.0,,,21.0,14.0,2.0,33.0,3.0,5.0,27.0,144.0,,,0.0,108.0,11.0,,1.0,1.0,73.0,44.0,3.0,71.0,1.0,18.0,19.0,8.0,1.0,144.0,,5.0,68.0,569.0,6.0,13.0,5.0,272.0,17.0,12.0,24.0,,0.0,,4.0,29.0,349.0,67.0,,8380,5.0,145.0,,9.0,,161.0,1.0,1.0,,19.0,8.0,66.0,1.0,2.0,1.0,,13.0,4.0,6.0,2.0,56.0,284.0,9.0,6.0,1.0,30.0,89.0,,1.0,0.0,1.0,5.0,,2.0,7.0,0.0,3.0,,,3.0,43.6,22.0,3.0,1.0,,1.0,3.0,47.0,4.0,367.0,5.0,14.0,17.0,4.0,19.0,2.0,3.0,227.0,2.0,5.0,37.0,68.0,25.0,4.0,24.0,18.0,6.0,2.0,12.0,4.0,8.0,4.0,,1.0,2.0,,1.0,2.0,2.0,,1.0,2.0,1.0,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,695197,2014-03-15 15:00:00,"bet365 Stadium, Stoke",27015,Away,West Ham United,Stoke City,1,3,L,1,1,0,0,50.0,,,2.0,24.0,30.0,3.0,4.0,6.0,1.0,151.0,5.0,11.0,1.0,3.0,5.0,,2.0,68.0,161.0,61.0,8.0,2.0,29.0,1.0,,1.0,,1.0,21.0,14.0,,30.0,3.0,16.0,28.0,118.0,,,0.0,123.0,13.0,,,,54.0,58.0,3.0,39.0,,18.0,17.0,7.0,1.0,161.0,2.0,11.0,47.0,520.0,4.0,12.0,12.0,195.0,18.0,9.0,14.0,1.0,1.0,4.0,2.0,36.0,285.0,74.0,,8380,1.0,92.0,1.0,10.0,1.0,108.0,5.0,,,17.0,6.0,71.0,,3.0,5.0,,8.0,5.0,4.0,1.0,61.0,205.0,12.0,8.0,,40.0,81.0,,,0.0,3.0,6.0,4.0,1.0,3.0,0.0,4.0,1.0,1.0,2.0,45.3,31.0,1.0,3.0,1.0,5.0,4.0,41.0,4.0,305.0,12.0,11.0,10.0,2.0,34.0,1.0,1.0,218.0,1.0,13.0,24.0,60.0,21.0,4.0,14.0,14.0,7.0,3.0,24.0,4.0,5.0,4.0,,,,,1.0,1.0,,,,1.0,,2.0,3.0,1.0,,1.0,3.0,,,,,,,1.0,1.0,,,,,,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
31,695210,2014-03-22 17:30:00,"Boleyn Ground, London",34237,Home,West Ham United,Manchester United,0,2,L,0,2,0,0,56.0,,,3.0,37.0,27.0,4.0,3.0,4.0,,144.0,14.0,7.0,,4.0,7.0,,1.0,79.0,155.0,60.0,10.0,2.0,13.0,1.0,,,,1.0,47.0,13.0,,27.0,12.0,5.0,31.0,180.0,,,0.0,142.0,8.0,,,,75.0,56.0,4.0,69.0,2.0,35.0,6.0,15.0,2.0,155.0,,10.0,73.0,587.0,4.0,13.0,15.0,266.0,22.0,20.0,20.0,,2.0,3.0,3.0,27.0,350.0,72.0,,8380,5.0,111.0,,19.0,1.0,126.0,1.0,,,6.0,10.0,44.0,,,3.0,,13.0,6.0,7.0,1.0,61.0,277.0,7.0,7.0,3.0,37.0,86.0,,1.0,0.0,1.0,7.0,4.0,,7.0,0.0,10.0,,,3.0,44.8,26.0,2.0,3.0,1.0,3.0,5.0,51.0,12.0,365.0,15.0,11.0,18.0,4.0,32.0,4.0,2.0,286.0,4.0,5.0,31.0,86.0,23.0,3.0,20.0,16.0,4.0,3.0,12.0,3.0,5.0,12.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,4.0,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
32,695218,2014-03-31 20:00:00,"Stadium of Light, Sunderland",37396,Away,West Ham United,Sunderland,2,1,W,1,0,0,0,60.0,1.0,1.0,1.0,14.0,48.0,5.0,5.0,6.0,3.0,130.0,6.0,11.0,2.0,1.0,10.0,,6.0,64.0,150.0,48.0,11.0,,9.0,1.0,,1.0,,3.0,17.0,10.0,3.0,48.0,3.0,10.0,8.0,123.0,,,0.0,106.0,14.0,,1.0,1.0,38.0,57.0,7.0,43.0,,14.0,17.0,5.0,2.0,150.0,1.0,11.0,43.0,509.0,8.0,9.0,4.0,192.0,33.0,9.0,27.0,2.0,4.0,5.0,3.0,19.0,261.0,64.0,,8358,2.0,82.0,1.0,9.0,1.0,97.0,7.0,1.0,,17.0,20.0,52.0,,1.0,2.0,,15.0,15.0,9.0,,42.0,199.0,10.0,6.0,,35.0,83.0,,,0.0,3.0,8.0,3.0,2.0,3.0,0.0,5.0,1.0,2.0,2.0,39.4,16.0,,2.0,2.0,2.0,1.0,33.0,3.0,280.0,4.0,12.0,5.0,4.0,20.0,1.0,2.0,200.0,4.0,8.0,14.0,64.0,17.0,7.0,27.0,13.0,9.0,3.0,24.0,7.0,7.0,3.0,1.0,,,,,1.0,,1.0,,1.0,,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,
33,695230,2014-04-06 16:00:00,"Boleyn Ground, London",34977,Home,West Ham United,Liverpool,1,2,L,1,1,0,0,53.0,,,,24.0,35.0,7.0,5.0,6.0,,139.0,8.0,9.0,1.0,2.0,7.0,,1.0,62.0,139.0,56.0,11.0,2.0,14.0,,,,,1.0,30.0,13.0,,35.0,3.0,7.0,36.0,142.0,2.0,,0.0,120.0,10.0,,,,64.0,58.0,2.0,55.0,3.0,27.0,12.0,11.0,5.0,139.0,1.0,11.0,66.0,540.0,6.0,9.0,12.0,229.0,25.0,7.0,19.0,,4.0,2.0,5.0,24.0,304.0,69.0,,8358,2.0,106.0,1.0,15.0,1.0,117.0,6.0,1.0,,12.0,7.0,45.0,,,4.0,,10.0,6.0,2.0,,49.0,240.0,9.0,6.0,1.0,29.0,75.0,,,0.0,2.0,4.0,3.0,1.0,,0.0,8.0,,2.0,2.0,36.2,22.0,1.0,2.0,,4.0,2.0,33.0,4.0,322.0,12.0,10.0,20.0,8.0,21.0,,2.0,235.0,3.0,7.0,18.0,71.0,16.0,1.0,19.0,22.0,8.0,3.0,15.0,1.0,8.0,4.0,1.0,,2.0,,1.0,2.0,2.0,,,2.0,,3.0,2.0,1.0,,,2.0,,,1.0,1.0,,,1.0,,,,,,,2.0,1.0,,1.0,,2.0,,,2.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
34,695240,2014-04-15 19:45:00,"Emirates Stadium, London",59977,Away,West Ham United,Arsenal,1,3,L,1,1,0,0,59.0,,1.0,2.0,23.0,35.0,2.0,4.0,5.0,1.0,140.0,7.0,8.0,1.0,2.0,9.0,,2.0,74.0,142.0,63.0,12.0,1.0,25.0,1.0,1.0,2.0,,2.0,24.0,16.0,,35.0,2.0,12.0,40.0,145.0,,,0.0,108.0,12.0,1.0,,,56.0,57.0,2.0,67.0,3.0,22.0,19.0,5.0,1.0,142.0,1.0,10.0,80.0,562.0,8.0,9.0,12.0,247.0,25.0,10.0,19.0,,2.0,3.0,7.0,21.0,331.0,65.0,,8358,5.0,127.0,1.0,15.0,1.0,147.0,4.0,,,11.0,6.0,58.0,2.0,2.0,2.0,1.0,9.0,4.0,2.0,1.0,55.0,265.0,14.0,8.0,1.0,28.0,79.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,4.0,0.0,6.0,,,5.0,38.6,18.0,4.0,2.0,1.0,2.0,3.0,46.0,3.0,361.0,12.0,6.0,16.0,7.0,33.0,1.0,6.0,238.0,3.0,10.0,22.0,59.0,23.0,2.0,19.0,20.0,10.0,3.0,16.0,2.0,11.0,3.0,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,2.0,2.0,,,,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,2.0,22.0,1.0,3.0,
35,695250,2014-04-19 15:00:00,"Boleyn Ground, London",34977,Home,West Ham United,Crystal Palace,0,1,L,0,0,0,0,61.0,,,3.0,52.0,35.0,3.0,5.0,1.0,1.0,160.0,11.0,5.0,,3.0,11.0,,4.0,100.0,157.0,67.0,13.0,,25.0,2.0,1.0,2.0,,1.0,37.0,10.0,2.0,35.0,2.0,11.0,45.0,212.0,,,0.0,166.0,7.0,1.0,,1.0,67.0,65.0,5.0,63.0,3.0,35.0,16.0,14.0,1.0,157.0,,10.0,105.0,676.0,11.0,13.0,10.0,333.0,22.0,15.0,21.0,,1.0,7.0,6.0,25.0,406.0,99.0,,8358,6.0,145.0,,20.0,1.0,155.0,3.0,,1.0,16.0,6.0,63.0,,1.0,6.0,,19.0,1.0,2.0,2.0,80.0,346.0,15.0,9.0,,41.0,79.0,1.0,,0.0,2.0,11.0,1.0,,3.0,0.0,11.0,,,3.0,65.3,24.0,2.0,,2.0,6.0,3.0,50.0,3.0,428.0,10.0,11.0,33.0,6.0,37.0,,5.0,310.0,5.0,10.0,31.0,105.0,27.0,6.0,21.0,16.0,12.0,3.0,16.0,6.0,12.0,3.0,,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,,1.0,,2.0,,,1.0,2.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
36,695260,2014-04-26 15:00:00,"The Hawthorns, West Bromwich",26541,Away,West Ham United,West Bromwich Albion,0,1,L,0,1,0,0,45.0,,,,42.0,33.0,1.0,2.0,5.0,1.0,129.0,11.0,7.0,,4.0,9.0,,3.0,82.0,137.0,45.0,9.0,,14.0,3.0,,1.0,,3.0,33.0,7.0,,33.0,6.0,9.0,36.0,149.0,,,0.0,127.0,8.0,,,2.0,48.0,56.0,3.0,58.0,1.0,27.0,11.0,10.0,1.0,137.0,1.0,8.0,94.0,568.0,6.0,14.0,5.0,278.0,19.0,19.0,16.0,,1.0,4.0,6.0,28.0,340.0,71.0,,8380,5.0,150.0,1.0,16.0,1.0,156.0,4.0,,2.0,11.0,11.0,37.0,,,5.0,,13.0,11.0,4.0,,73.0,288.0,14.0,8.0,3.0,37.0,81.0,,1.0,0.0,5.0,7.0,2.0,,5.0,0.0,7.0,,,5.0,56.7,23.0,3.0,2.0,,5.0,,45.0,6.0,363.0,5.0,6.0,19.0,6.0,29.0,4.0,4.0,240.0,2.0,9.0,17.0,71.0,11.0,3.0,16.0,10.0,4.0,3.0,10.0,3.0,6.0,6.0,,1.0,,,1.0,2.0,,,,2.0,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
37,695270,2014-05-03 12:45:00,"Boleyn Ground, London",34977,Home,West Ham United,Tottenham Hotspur,2,0,W,2,0,0,1,61.0,,1.0,2.0,31.0,39.0,8.0,11.0,3.0,2.0,144.0,11.0,8.0,2.0,7.0,12.0,,8.0,64.0,154.0,64.0,20.0,1.0,17.0,5.0,,1.0,,3.0,31.0,17.0,2.0,39.0,9.0,5.0,34.0,161.0,,1.0,0.0,132.0,10.0,,1.0,1.0,50.0,76.0,7.0,68.0,3.0,22.0,18.0,8.0,4.0,154.0,1.0,6.0,57.0,576.0,8.0,8.0,9.0,245.0,30.0,12.0,25.0,,0.0,4.0,5.0,19.0,319.0,73.0,,8380,7.0,104.0,1.0,11.0,5.0,120.0,5.0,,,18.0,7.0,60.0,,3.0,3.0,,14.0,6.0,3.0,1.0,53.0,254.0,15.0,6.0,4.0,31.0,58.0,,2.0,0.0,4.0,6.0,2.0,1.0,5.0,0.0,7.0,,,4.0,47.2,17.0,3.0,5.0,2.0,3.0,3.0,32.0,10.0,333.0,9.0,16.0,21.0,9.0,25.0,4.0,4.0,244.0,5.0,4.0,23.0,81.0,20.0,1.0,25.0,19.0,7.0,2.0,20.0,1.0,11.0,10.0,,4.0,,1.0,3.0,,1.0,,,2.0,,1.0,2.0,,,3.0,,,,1.0,1.0,,,,,1.0,,,,,,2.0,2.0,2.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
38,695275,2014-05-11 15:00:00,"Etihad Stadium, Manchester",47300,Away,West Ham United,Manchester City,0,2,L,0,1,0,0,39.0,,,,25.0,34.0,2.0,,5.0,,110.0,4.0,4.0,,2.0,2.0,,,43.0,103.0,32.0,3.0,,14.0,,,,,2.0,17.0,9.0,,34.0,1.0,9.0,17.0,127.0,,,0.0,66.0,9.0,,,,37.0,77.0,,58.0,,16.0,3.0,7.0,2.0,103.0,,16.0,48.0,431.0,1.0,4.0,4.0,201.0,16.0,8.0,18.0,,2.0,11.0,2.0,17.0,245.0,46.0,1.0,8380,1.0,88.0,,7.0,,96.0,5.0,,,3.0,14.0,50.0,1.0,1.0,2.0,,11.0,12.0,6.0,1.0,40.0,211.0,7.0,10.0,1.0,19.0,65.0,,,0.0,2.0,12.0,2.0,,1.0,0.0,3.0,,,1.0,31.9,14.0,1.0,1.0,,2.0,,39.0,1.0,259.0,4.0,10.0,10.0,3.0,12.0,1.0,1.0,180.0,2.0,8.0,9.0,41.0,14.0,3.0,18.0,12.0,2.0,3.0,11.0,3.0,2.0,1.0,,,,,2.0,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
