gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,attGoalLowLeft,attIboxBlocked,goals,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,attMissHighRight,totalFastbreak,attMissRight,goalAssist,totalKeeperSweeper,accurateThroughBall,attRfGoal,totalPullBack,totalThroughBall,goalsOpenplay,attCorner,attFastbreak,punches,attIboxGoal,goalAssistIntentional,attBxLeft,blockedScoringAtt,accurateCornersIntobox,forwardGoals,ptsDroppedWinningPos,attGoalLowCentre,accuratePullBack,attOboxBlocked,postScoringAtt,attIboxPost,attGoalHighRight,attOboxTarget,penaltyWon,attSvHighLeft,midfielderGoals,goodHighClaim,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,attPenGoal,totalHighClaim,handBall,attLfGoal,attBxRight,attMissLeft,attSvHighRight,cleanSheet,attSvLowRight,attCmissLeft,attSvHighCentre,secondYellow,contentiousDecision,sixYardBlock,attOboxGoal,defenderGoals,attFreekickGoal,shieldBallOop,attCmissRight,ptsGainedLosingPos,clearanceOffLine,attFreekickTarget,goalFastbreak,attGoalLowRight,errorLeadToGoal,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attObpGoal,penaltySave,attHdGoal,attCmissHighLeft,attCmissHighRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,attGoalHighLeft,attPostHigh,expectedGoals,attPostRight,attObxRight
11,1059811,2019-11-02 15:00:00,"London Stadium, London",59907.0,Home,West Ham United,Newcastle United,2,3,L,0,2,0,0,,57.0,2.0,24.0,12.0,3.0,2.0,13.0,6.0,2.0,188.0,8.0,11.0,3.0,13.0,6.0,162.0,149.0,49.0,,16.0,20.0,3.0,2.0,34.0,8.0,12.0,7.0,8.0,31.0,353.0,0.0,233.0,10.0,6.0,,2.0,149.0,73.0,8.0,67.0,,27.0,12.0,3.0,,8.0,1.0,149.0,,7.0,166.0,788.0,6.0,5.0,35.0,2.0,5.0,487.0,29.0,3.0,9.0,2.0,,5.0,32.0,567.0,89.0,,,86934,8.0,156.0,,17.0,,,179.0,6.0,12.0,3.0,64.0,1.0,1.0,5.0,19.0,5.0,3.0,3.0,45.0,501.0,7.0,16.0,6.0,12.0,57.0,0.0,3.0,3.0,4.0,3.0,,0.0,2.0,5.0,69.5,32.0,3.0,3.0,5.0,42.0,7.0,,583.0,,5.0,,6.0,15.0,6.0,51.0,5.0,438.0,8.0,6.0,18.0,190.0,20.0,,9.0,13.0,2.0,9.0,3.0,23.0,,4.0,7.0,1.0,1.0,,3.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,7.0,,,2.0,1.0,1.0,4.0,6.0,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12,1059812,2019-11-09 15:00:00,"Turf Moor, Burnley",20255.0,Away,West Ham United,Burnley,0,3,L,0,2,0,0,1.0,55.0,4.0,27.0,21.0,4.0,4.0,3.0,10.0,3.0,167.0,,4.0,1.0,6.0,4.0,108.0,159.0,57.0,,7.0,35.0,2.0,2.0,21.0,8.0,21.0,3.0,9.0,33.0,181.0,0.0,121.0,10.0,5.0,1.0,1.0,81.0,49.0,4.0,70.0,1.0,18.0,15.0,4.0,,5.0,1.0,159.0,1.0,10.0,114.0,633.0,6.0,9.0,16.0,,12.0,324.0,22.0,6.0,10.0,1.0,1.0,2.0,20.0,421.0,46.0,,,86934,1.0,167.0,1.0,12.0,1.0,,198.0,4.0,15.0,6.0,65.0,,1.0,6.0,14.0,5.0,2.0,1.0,80.0,348.0,16.0,14.0,,36.0,84.0,0.0,2.0,11.0,6.0,3.0,2.0,0.0,,,60.0,17.0,,2.0,6.0,38.0,4.0,,459.0,,12.0,,4.0,13.0,2.0,24.0,1.0,282.0,3.0,7.0,26.0,89.0,19.0,2.0,10.0,14.0,3.0,5.0,3.0,7.0,2.0,5.0,4.0,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,2.0,,1.0,,3.0,,,1.0,1.0,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
13,1059831,2019-11-23 12:30:00,"London Stadium, London",59930.0,Home,West Ham United,Tottenham Hotspur,2,3,L,0,2,0,0,1.0,66.0,2.0,33.0,13.0,3.0,5.0,8.0,3.0,,148.0,6.0,12.0,3.0,10.0,4.0,95.0,147.0,66.0,1.0,11.0,27.0,2.0,1.0,21.0,6.0,13.0,3.0,3.0,31.0,171.0,0.0,108.0,12.0,1.0,,2.0,74.0,71.0,6.0,64.0,1.0,18.0,22.0,3.0,1.0,5.0,1.0,147.0,,10.0,100.0,612.0,6.0,9.0,18.0,1.0,5.0,297.0,23.0,9.0,8.0,3.0,3.0,4.0,27.0,381.0,46.0,1.0,,81012,7.0,152.0,,11.0,1.0,,177.0,7.0,22.0,4.0,68.0,,4.0,4.0,14.0,5.0,2.0,,62.0,317.0,14.0,11.0,2.0,25.0,79.0,0.0,2.0,7.0,1.0,3.0,2.0,0.0,4.0,4.0,47.1,24.0,3.0,5.0,4.0,53.0,3.0,,407.0,,5.0,,12.0,16.0,4.0,26.0,3.0,251.0,2.0,3.0,22.0,75.0,31.0,1.0,8.0,18.0,3.0,7.0,3.0,19.0,1.0,11.0,3.0,,,2.0,1.0,2.0,,,1.0,,,,3.0,2.0,,,1.0,1.0,,1.0,2.0,,1.0,2.0,2.0,,3.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
14,1059833,2019-11-30 15:00:00,"Stamford Bridge, London",40595.0,Away,West Ham United,Chelsea,1,0,W,0,0,0,0,,65.0,2.0,29.0,30.0,,,5.0,6.0,1.0,162.0,5.0,11.0,,5.0,4.0,62.0,138.0,62.0,,5.0,21.0,3.0,1.0,15.0,13.0,30.0,3.0,9.0,24.0,156.0,0.0,119.0,16.0,2.0,1.0,,61.0,67.0,4.0,49.0,2.0,12.0,18.0,,,5.0,,138.0,2.0,14.0,81.0,545.0,3.0,14.0,13.0,2.0,15.0,235.0,31.0,7.0,14.0,3.0,4.0,1.0,14.0,331.0,60.0,,1.0,81012,3.0,97.0,2.0,7.0,,,124.0,9.0,18.0,11.0,70.0,,,3.0,13.0,5.0,7.0,1.0,68.0,248.0,,27.0,1.0,27.0,72.0,0.0,,9.0,4.0,,5.0,0.0,3.0,2.0,34.3,12.0,,2.0,3.0,39.0,3.0,,354.0,,15.0,,5.0,11.0,1.0,16.0,1.0,245.0,3.0,8.0,25.0,71.0,20.0,5.0,14.0,26.0,,3.0,3.0,13.0,5.0,8.0,3.0,,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
15,1059847,2019-12-04 19:30:00,"Molineux Stadium, Wolverhampton",31217.0,Away,West Ham United,Wolverhampton Wanderers,0,2,L,0,1,0,0,1.0,67.0,,25.0,17.0,2.0,2.0,4.0,5.0,1.0,168.0,2.0,17.0,1.0,5.0,3.0,128.0,143.0,63.0,,6.0,28.0,3.0,1.0,16.0,15.0,17.0,4.0,15.0,42.0,206.0,0.0,123.0,9.0,2.0,,1.0,88.0,53.0,4.0,75.0,1.0,12.0,16.0,2.0,,3.0,2.0,143.0,1.0,12.0,125.0,676.0,4.0,7.0,12.0,1.0,13.0,393.0,26.0,3.0,11.0,2.0,,1.0,18.0,477.0,56.0,,1.0,81012,2.0,200.0,1.0,8.0,,,214.0,4.0,16.0,6.0,63.0,,3.0,3.0,17.0,1.0,2.0,,53.0,404.0,7.0,16.0,1.0,14.0,84.0,0.0,2.0,5.0,5.0,2.0,3.0,0.0,,1.0,50.6,15.0,,3.0,3.0,52.0,4.0,,496.0,,13.0,,8.0,20.0,2.0,28.0,,298.0,3.0,13.0,16.0,81.0,34.0,4.0,11.0,23.0,2.0,5.0,3.0,21.0,4.0,6.0,4.0,,,,1.0,,,,,1.0,,,2.0,,,1.0,,1.0,3.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,1059861,2019-12-09 20:00:00,"London Stadium, London",59936.0,Home,West Ham United,Arsenal,1,3,L,1,0,0,0,2.0,56.0,,26.0,10.0,5.0,2.0,6.0,,1.0,138.0,3.0,7.0,2.0,6.0,4.0,81.0,121.0,52.0,,11.0,18.0,1.0,1.0,19.0,16.0,10.0,4.0,4.0,25.0,213.0,0.0,168.0,12.0,,,1.0,84.0,72.0,4.0,65.0,1.0,15.0,15.0,5.0,,6.0,1.0,121.0,,7.0,81.0,541.0,5.0,5.0,25.0,,17.0,278.0,15.0,5.0,6.0,2.0,3.0,2.0,20.0,352.0,65.0,,,81012,3.0,78.0,,8.0,1.0,,93.0,9.0,15.0,3.0,54.0,,1.0,1.0,9.0,3.0,2.0,2.0,49.0,288.0,6.0,12.0,,19.0,51.0,0.0,1.0,3.0,,3.0,,0.0,2.0,1.0,35.8,15.0,1.0,14.0,1.0,28.0,4.0,,365.0,,17.0,,5.0,12.0,4.0,22.0,3.0,291.0,7.0,4.0,13.0,122.0,24.0,,6.0,27.0,3.0,7.0,3.0,14.0,,8.0,4.0,,,,1.0,1.0,,,,,,,2.0,1.0,,,,,,,3.0,,,1.0,1.0,2.0,3.0,1.0,,3.0,1.0,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
17,1059870,2019-12-14 17:30:00,"St. Mary's Stadium, Southampton",27701.0,Away,West Ham United,Southampton,1,0,W,1,0,0,0,1.0,72.0,1.0,33.0,29.0,2.0,3.0,9.0,2.0,1.0,196.0,7.0,12.0,2.0,10.0,4.0,55.0,194.0,69.0,,11.0,34.0,3.0,1.0,20.0,11.0,29.0,7.0,12.0,39.0,138.0,0.0,114.0,14.0,,,,70.0,40.0,7.0,49.0,,13.0,17.0,2.0,,3.0,1.0,194.0,,7.0,59.0,561.0,6.0,17.0,22.0,1.0,12.0,202.0,34.0,11.0,16.0,3.0,,3.0,24.0,331.0,60.0,,,81012,9.0,87.0,,10.0,1.0,,131.0,6.0,17.0,12.0,68.0,1.0,2.0,1.0,14.0,4.0,6.0,1.0,87.0,218.0,9.0,8.0,3.0,40.0,82.0,0.0,2.0,5.0,1.0,,7.0,0.0,5.0,2.0,43.0,17.0,1.0,1.0,1.0,37.0,8.0,,359.0,,12.0,,9.0,15.0,3.0,25.0,2.0,248.0,4.0,11.0,31.0,63.0,33.0,3.0,16.0,17.0,,8.0,3.0,18.0,3.0,6.0,8.0,,,,3.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,2.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
18,1059881,2020-01-29 19:45:00,"London Stadium, London",59959.0,Home,West Ham United,Liverpool,0,2,L,0,1,0,0,1.0,64.0,1.0,20.0,19.0,2.0,1.0,5.0,3.0,2.0,137.0,6.0,12.0,3.0,5.0,4.0,70.0,142.0,51.0,,7.0,14.0,3.0,2.0,19.0,9.0,19.0,3.0,9.0,31.0,81.0,0.0,61.0,6.0,3.0,1.0,3.0,47.0,22.0,3.0,63.0,1.0,16.0,20.0,2.0,,5.0,1.0,142.0,1.0,7.0,61.0,519.0,3.0,4.0,11.0,1.0,9.0,229.0,32.0,6.0,8.0,2.0,3.0,2.0,22.0,319.0,37.0,2.0,,86934,4.0,163.0,1.0,8.0,2.0,1.0,202.0,3.0,20.0,4.0,46.0,,1.0,6.0,15.0,6.0,3.0,,57.0,238.0,6.0,10.0,2.0,19.0,54.0,0.0,2.0,7.0,2.0,2.0,2.0,0.0,6.0,2.0,29.4,21.0,1.0,2.0,6.0,24.0,3.0,1.0,331.0,1.0,9.0,,8.0,9.0,3.0,19.0,2.0,148.0,4.0,7.0,16.0,31.0,18.0,,8.0,17.0,2.0,4.0,1.0,21.0,,9.0,3.0,,,,,,,1.0,,,,,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1059885,2019-12-26 15:00:00,"Selhurst Park, London",25462.0,Away,West Ham United,Crystal Palace,1,2,L,0,0,0,0,,69.0,,31.0,27.0,3.0,4.0,7.0,2.0,1.0,169.0,7.0,16.0,,9.0,2.0,89.0,153.0,78.0,,10.0,16.0,,1.0,25.0,15.0,27.0,6.0,7.0,47.0,180.0,0.0,147.0,10.0,2.0,,,71.0,49.0,5.0,54.0,3.0,19.0,17.0,3.0,,12.0,2.0,153.0,1.0,11.0,78.0,608.0,6.0,9.0,24.0,,20.0,275.0,32.0,6.0,12.0,2.0,1.0,4.0,20.0,372.0,58.0,,2.0,86934,6.0,115.0,,7.0,1.0,,136.0,8.0,17.0,9.0,65.0,,2.0,2.0,11.0,2.0,4.0,1.0,70.0,288.0,5.0,24.0,2.0,21.0,67.0,0.0,1.0,7.0,2.0,2.0,1.0,0.0,4.0,2.0,41.8,17.0,2.0,2.0,2.0,36.0,6.0,,390.0,,20.0,,5.0,24.0,5.0,29.0,3.0,279.0,3.0,5.0,27.0,91.0,30.0,1.0,12.0,30.0,2.0,8.0,3.0,27.0,1.0,7.0,6.0,,1.0,1.0,3.0,1.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,3.0,3.0,,3.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,1059901,2019-12-28 17:30:00,"London Stadium, London",59519.0,Home,West Ham United,Leicester City,1,2,L,1,1,0,0,1.0,65.0,2.0,25.0,17.0,3.0,2.0,11.0,6.0,1.0,161.0,7.0,20.0,,12.0,4.0,76.0,159.0,73.0,,14.0,14.0,2.0,,17.0,14.0,17.0,4.0,11.0,33.0,165.0,0.0,110.0,16.0,3.0,,1.0,79.0,62.0,9.0,69.0,1.0,13.0,27.0,3.0,,5.0,1.0,159.0,,10.0,77.0,591.0,8.0,11.0,24.0,1.0,10.0,260.0,26.0,4.0,14.0,4.0,3.0,3.0,30.0,370.0,53.0,,,86934,8.0,113.0,,7.0,,1.0,150.0,10.0,12.0,3.0,52.0,,2.0,5.0,14.0,3.0,2.0,,65.0,271.0,4.0,11.0,3.0,31.0,67.0,0.0,1.0,6.0,4.0,2.0,3.0,0.0,4.0,5.0,42.7,22.0,3.0,3.0,6.0,35.0,5.0,1.0,383.0,,10.0,,4.0,18.0,5.0,25.0,4.0,250.0,7.0,7.0,25.0,72.0,29.0,1.0,14.0,24.0,2.0,9.0,3.0,27.0,1.0,12.0,5.0,,,,4.0,1.0,1.0,,1.0,,,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,1.0,,1.0,1.0,1.0,5.0,3.0,,,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,1.0,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,
21,1059911,2020-01-01 17:30:00,"London Stadium, London",59917.0,Home,West Ham United,Bournemouth,4,0,W,3,0,0,0,1.0,72.0,,22.0,14.0,4.0,2.0,10.0,2.0,1.0,183.0,6.0,10.0,8.0,10.0,7.0,84.0,152.0,62.0,1.0,14.0,22.0,3.0,2.0,25.0,16.0,14.0,8.0,5.0,38.0,185.0,0.0,117.0,3.0,1.0,1.0,2.0,72.0,56.0,6.0,88.0,,17.0,19.0,4.0,1.0,3.0,1.0,152.0,2.0,3.0,89.0,639.0,5.0,14.0,28.0,1.0,9.0,339.0,33.0,6.0,9.0,1.0,,4.0,16.0,425.0,52.0,,,86934,6.0,173.0,1.0,12.0,,,194.0,2.0,19.0,2.0,58.0,,1.0,2.0,14.0,,1.0,3.0,62.0,352.0,11.0,13.0,2.0,25.0,83.0,0.0,1.0,2.0,2.0,,2.0,0.0,2.0,2.0,42.6,12.0,1.0,9.0,3.0,46.0,9.0,,444.0,,9.0,1.0,7.0,13.0,5.0,28.0,4.0,275.0,10.0,5.0,18.0,80.0,22.0,2.0,9.0,23.0,,9.0,2.0,23.0,2.0,9.0,9.0,,2.0,2.0,,4.0,,,3.0,,1.0,,1.0,3.0,,,4.0,2.0,,3.0,3.0,,,3.0,2.0,2.0,2.0,4.0,2.0,,1.0,2.0,2.0,,,,,1.0,,2.0,,,,,,1.0,,,,1.0,,,1.0,,,,,3.0,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
22,1059919,2020-01-10 20:00:00,"Bramall Lane, Sheffield",30124.0,Away,West Ham United,Sheffield United,0,1,L,0,0,0,0,,67.0,,22.0,18.0,2.0,1.0,5.0,2.0,2.0,207.0,5.0,18.0,1.0,4.0,2.0,111.0,189.0,82.0,1.0,7.0,40.0,1.0,1.0,19.0,12.0,18.0,3.0,13.0,38.0,179.0,0.0,109.0,6.0,,1.0,3.0,99.0,54.0,,83.0,1.0,16.0,11.0,2.0,1.0,6.0,1.0,189.0,1.0,9.0,103.0,713.0,3.0,22.0,12.0,,14.0,358.0,37.0,10.0,12.0,0.0,4.0,4.0,32.0,478.0,59.0,2.0,,86934,3.0,195.0,2.0,7.0,1.0,,241.0,2.0,11.0,14.0,73.0,,1.0,3.0,15.0,4.0,4.0,1.0,76.0,369.0,11.0,9.0,1.0,34.0,103.0,0.0,2.0,7.0,2.0,1.0,5.0,0.0,5.0,2.0,53.1,30.0,2.0,1.0,4.0,56.0,3.0,,504.0,,14.0,,9.0,10.0,5.0,21.0,4.0,282.0,4.0,11.0,37.0,65.0,24.0,2.0,12.0,16.0,1.0,5.0,3.0,28.0,2.0,3.0,3.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
23,1059931,2020-01-18 15:00:00,"London Stadium, London",59915.0,Home,West Ham United,Everton,1,1,D,1,1,0,0,1.0,68.0,,43.0,17.0,2.0,2.0,10.0,2.0,2.0,180.0,7.0,4.0,2.0,10.0,6.0,103.0,165.0,69.0,,12.0,26.0,4.0,1.0,27.0,13.0,17.0,7.0,11.0,41.0,207.0,0.0,127.0,11.0,,,3.0,97.0,74.0,6.0,70.0,1.0,20.0,9.0,2.0,,10.0,1.0,165.0,3.0,8.0,82.0,645.0,9.0,13.0,19.0,2.0,9.0,323.0,32.0,8.0,10.0,1.0,3.0,4.0,25.0,414.0,72.0,1.0,,86934,7.0,138.0,3.0,7.0,1.0,,159.0,6.0,9.0,6.0,62.0,,3.0,4.0,20.0,3.0,5.0,2.0,74.0,338.0,13.0,6.0,,26.0,81.0,0.0,,6.0,2.0,1.0,5.0,0.0,6.0,6.0,48.8,20.0,3.0,3.0,4.0,53.0,7.0,,435.0,,9.0,,13.0,21.0,4.0,30.0,3.0,303.0,4.0,11.0,36.0,82.0,27.0,3.0,10.0,16.0,1.0,11.0,2.0,11.0,3.0,6.0,7.0,,,1.0,2.0,1.0,,,,,,,2.0,1.0,,,,,2.0,,,,,1.0,1.0,1.0,2.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,3.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
24,1059935,2020-01-22 19:30:00,"King Power Stadium, Leicester",31968.0,Away,West Ham United,Leicester City,1,4,L,0,2,0,0,,54.0,1.0,22.0,24.0,,1.0,6.0,4.0,1.0,121.0,3.0,7.0,2.0,3.0,2.0,52.0,137.0,46.0,,6.0,25.0,1.0,,15.0,3.0,24.0,7.0,3.0,36.0,95.0,0.0,73.0,19.0,3.0,1.0,1.0,35.0,35.0,1.0,37.0,4.0,8.0,16.0,,,1.0,,137.0,,13.0,63.0,456.0,2.0,10.0,18.0,,10.0,165.0,34.0,1.0,11.0,1.0,7.0,2.0,22.0,244.0,43.0,,,86934,5.0,93.0,,6.0,,1.0,122.0,11.0,16.0,8.0,69.0,1.0,1.0,,15.0,6.0,4.0,2.0,51.0,185.0,9.0,10.0,1.0,13.0,60.0,0.0,1.0,7.0,3.0,4.0,1.0,0.0,1.0,2.0,32.7,19.0,2.0,,,32.0,8.0,1.0,273.0,1.0,10.0,,10.0,14.0,3.0,16.0,3.0,166.0,3.0,2.0,21.0,39.0,15.0,,11.0,9.0,4.0,2.0,2.0,14.0,,7.0,8.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,2.0,,3.0,,,1.0,,,1.0,2.0,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,1059951,2020-02-01 15:00:00,"London Stadium, London",59952.0,Home,West Ham United,Brighton and Hove Albion,3,3,D,2,0,0,0,,57.0,1.0,35.0,20.0,4.0,4.0,8.0,4.0,2.0,140.0,5.0,12.0,3.0,9.0,6.0,68.0,148.0,72.0,,12.0,28.0,2.0,1.0,22.0,16.0,20.0,3.0,3.0,41.0,140.0,0.0,104.0,8.0,2.0,,3.0,68.0,53.0,7.0,43.0,2.0,19.0,7.0,4.0,,4.0,2.0,148.0,2.0,13.0,70.0,524.0,6.0,15.0,19.0,1.0,15.0,215.0,25.0,5.0,9.0,1.0,3.0,2.0,14.0,296.0,56.0,2.0,,86934,6.0,102.0,1.0,12.0,3.0,,116.0,4.0,7.0,12.0,60.0,,2.0,3.0,19.0,7.0,12.0,,65.0,237.0,9.0,7.0,2.0,13.0,70.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,5.0,2.0,35.1,8.0,1.0,1.0,3.0,39.0,4.0,,321.0,,15.0,,9.0,17.0,3.0,32.0,1.0,227.0,6.0,1.0,28.0,64.0,27.0,1.0,9.0,23.0,3.0,8.0,3.0,22.0,1.0,3.0,4.0,,1.0,,3.0,3.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,2.0,3.0,,,,,,1.0,,,2.0,1.0,,,,1.0,,2.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,
26,1059957,2020-02-19 19:30:00,"Etihad Stadium, Manchester",52159.0,Away,West Ham United,Manchester City,0,2,L,0,1,0,0,,60.0,3.0,12.0,36.0,1.0,2.0,2.0,5.0,,106.0,2.0,8.0,1.0,3.0,,63.0,111.0,38.0,,3.0,8.0,,,11.0,7.0,36.0,1.0,1.0,24.0,89.0,0.0,59.0,7.0,2.0,,1.0,44.0,30.0,1.0,43.0,4.0,10.0,11.0,1.0,,2.0,1.0,111.0,,13.0,42.0,433.0,2.0,6.0,7.0,,14.0,169.0,36.0,2.0,14.0,1.0,8.0,2.0,12.0,235.0,23.0,,,86934,,91.0,,7.0,1.0,,113.0,3.0,11.0,9.0,43.0,,3.0,8.0,6.0,7.0,3.0,,43.0,178.0,5.0,18.0,1.0,15.0,56.0,0.0,4.0,6.0,2.0,2.0,2.0,0.0,1.0,,22.7,10.0,,,8.0,23.0,1.0,,254.0,,14.0,,7.0,6.0,2.0,14.0,1.0,152.0,1.0,1.0,11.0,38.0,14.0,2.0,14.0,15.0,2.0,2.0,2.0,12.0,2.0,7.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
