gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,shotFastbreak,totalFastbreak,freekickCross,goodHighClaim,accurateFreekickCross,ownGoals,attFastbreak,punches,attCmissHighRight,attBxLeft,totalHighClaim,effectiveBlockedCross,attIboxOwnGoal,blockedCross,bigChanceScored,attGoalLowRight,goals,fouledFinalThird,attCmissRight,attFreekickTotal,attOboxBlocked,attOboxTarget,penaltyWon,attSvLowLeft,attMissRight,freekickTotal,contentiousDecision,attHdTarget,attRfGoal,attCmissHigh,attPenGoal,attCmissLeft,attIboxGoal,shieldBallOop,forwardGoals,savedObox,accuratePullBack,totalPullBack,attHdMiss,attSvHighCentre,attGoalLowCentre,goalAssistOpenplay,goalAssist,goalsOpenplay,attFreekickTarget,goalAssistIntentional,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,cleanSheet,hitWoodwork,errorLeadToShot,goalsConcededObox,secondYellow,goalAssistSetplay,goalAssistDeadball,attObxLeft,attGoalHighRight,defenderGoals,attHdGoal,errorLeadToGoal,attGoalLowLeft,attLfGoal,attOboxGoal,midfielderGoals,ptsGainedLosingPos,attGoalHighLeft,postScoringAtt,attIboxPost,attPostRight,goalFastbreak,attOboxPost,ptsDroppedWinningPos,penaltySave,attSvHighRight,attHdPost,attPostHigh
11,2210372,2021-11-06 15:00:00,"Gtech Community Stadium, Brentford",16837,Away,Norwich City,Brentford,2,1,W,2,0,0,0,,,21.0,73.0,,24.0,36.0,5.0,1.0,4.0,6.0,3.0,148.0,9.0,1.0,10.0,6.0,5.0,57.0,160.0,60.0,9.0,35.0,1.0,,,1.0,2.0,11.0,7.0,36.0,2.0,4.0,25.0,,96.0,1.0,0.0,87.0,13.0,2.0,,35.0,29.0,3.0,52.0,,9.0,7.0,5.0,2.0,1.0,160.0,,17.0,56.0,535.0,6.0,4.0,15.0,8.0,199.0,32.0,,11.0,16.0,,3.0,7.0,3.0,16.0,288.0,51.0,1.0,83312,3.0,116.0,,6.0,,,154.0,5.0,7.0,9.0,77.0,2.0,3.0,5.0,22.0,2.0,4.0,,77.0,211.0,12.0,10.0,,43.0,1.0,63.0,,0.0,2.0,6.0,6.0,1.0,1.0,0.0,1.0,,35.5,14.0,,1.0,5.0,1.0,,24.0,2.0,313.0,8.0,8.0,13.0,3.0,12.0,,2.0,170.0,8.0,3.0,23.0,51.0,27.0,16.0,16.0,1.0,6.0,3.0,21.0,3.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,9.0,,9.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12,2210387,2021-11-20 15:00:00,"Carrow Road, Norwich",26885,Home,Norwich City,Southampton,2,1,W,1,1,0,0,,1.0,23.0,67.0,1.0,22.0,24.0,3.0,2.0,5.0,4.0,1.0,162.0,11.0,3.0,4.0,7.0,4.0,51.0,156.0,52.0,8.0,24.0,1.0,1.0,,1.0,,19.0,8.0,24.0,5.0,3.0,42.0,,131.0,2.0,0.0,126.0,8.0,1.0,,54.0,65.0,5.0,59.0,2.0,14.0,13.0,3.0,3.0,1.0,156.0,,8.0,61.0,507.0,4.0,8.0,15.0,13.0,210.0,29.0,,4.0,14.0,,3.0,7.0,2.0,18.0,305.0,58.0,,83428,3.0,97.0,,10.0,,,119.0,5.0,13.0,10.0,61.0,,,1.0,17.0,9.0,4.0,,68.0,225.0,9.0,19.0,1.0,21.0,2.0,77.0,1.0,0.0,1.0,7.0,2.0,1.0,1.0,0.0,1.0,3.0,37.0,14.0,,11.0,1.0,2.0,,29.0,5.0,333.0,13.0,6.0,18.0,2.0,19.0,2.0,1.0,233.0,3.0,3.0,23.0,78.0,19.0,14.0,16.0,1.0,6.0,3.0,8.0,9.0,5.0,,,1.0,,,,,2.0,1.0,,,,,,,2.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,,2.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,2.0,,,,,,3.0,,,,,,,,,,,
13,2210400,2021-11-27 15:00:00,"Carrow Road, Norwich",26911,Home,Norwich City,Wolverhampton Wanderers,0,0,D,0,0,0,0,,2.0,23.0,65.0,1.0,23.0,13.0,5.0,4.0,9.0,2.0,2.0,144.0,14.0,3.0,11.0,11.0,4.0,111.0,126.0,52.0,14.0,11.0,4.0,1.0,1.0,3.0,3.0,22.0,17.0,13.0,4.0,3.0,31.0,,195.0,2.0,0.0,146.0,11.0,,,57.0,55.0,6.0,69.0,,18.0,16.0,5.0,3.0,3.0,126.0,2.0,4.0,119.0,632.0,10.0,1.0,22.0,8.0,360.0,21.0,,2.0,4.0,1.0,2.0,,5.0,13.0,430.0,57.0,1.0,83428,4.0,180.0,2.0,11.0,,1.0,194.0,5.0,16.0,7.0,52.0,3.0,1.0,4.0,8.0,1.0,7.0,1.0,51.0,372.0,10.0,9.0,1.0,15.0,1.0,60.0,1.0,0.0,4.0,3.0,1.0,,,0.0,2.0,1.0,43.1,11.0,,9.0,4.0,3.0,,34.0,4.0,443.0,8.0,8.0,12.0,7.0,32.0,1.0,4.0,271.0,9.0,3.0,8.0,107.0,31.0,4.0,23.0,,11.0,3.0,24.0,8.0,4.0,,,4.0,,,,,1.0,,2.0,,1.0,,1.0,,,,6.0,,1.0,2.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,2210408,2021-11-30 19:30:00,"St. James' Park, Newcastle",50757,Away,Norwich City,Newcastle United,1,1,D,0,0,0,1,1.0,,30.0,60.0,3.0,36.0,8.0,6.0,3.0,10.0,,4.0,141.0,15.0,7.0,5.0,12.0,6.0,184.0,118.0,45.0,16.0,7.0,3.0,,,1.0,2.0,24.0,10.0,8.0,5.0,,28.0,1.0,304.0,1.0,0.0,207.0,11.0,,,97.0,99.0,7.0,78.0,1.0,19.0,14.0,6.0,11.0,2.0,118.0,1.0,5.0,166.0,740.0,10.0,5.0,28.0,14.0,482.0,22.0,1.0,4.0,5.0,,0.0,1.0,5.0,20.0,556.0,62.0,1.0,83428,6.0,198.0,2.0,6.0,,2.0,216.0,3.0,14.0,6.0,33.0,3.0,3.0,3.0,12.0,4.0,6.0,1.0,54.0,495.0,8.0,8.0,1.0,15.0,2.0,59.0,2.0,0.0,3.0,2.0,,1.0,1.0,0.0,4.0,2.0,68.6,19.0,,4.0,3.0,5.0,,47.0,5.0,569.0,14.0,5.0,14.0,5.0,42.0,3.0,3.0,377.0,11.0,,15.0,166.0,31.0,5.0,17.0,1.0,11.0,3.0,8.0,7.0,5.0,,,2.0,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,,,1.0,3.0,,1.0,2.0,2.0,,2.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
15,2210417,2021-12-05 14:00:00,"Tottenham Hotspur Stadium, London",57088,Away,Norwich City,Tottenham Hotspur,0,3,L,0,1,0,0,,,27.0,53.0,2.0,42.0,6.0,3.0,1.0,7.0,4.0,1.0,182.0,15.0,4.0,8.0,9.0,1.0,189.0,123.0,48.0,10.0,11.0,1.0,,,1.0,2.0,16.0,12.0,6.0,4.0,3.0,46.0,,225.0,1.0,0.0,131.0,4.0,2.0,,89.0,63.0,3.0,101.0,,12.0,13.0,3.0,3.0,2.0,123.0,1.0,8.0,195.0,835.0,8.0,3.0,25.0,6.0,566.0,15.0,,1.0,4.0,,2.0,2.0,6.0,20.0,642.0,48.0,,83428,6.0,368.0,1.0,9.0,1.0,2.0,388.0,1.0,13.0,8.0,34.0,1.0,4.0,7.0,18.0,9.0,6.0,2.0,74.0,589.0,11.0,9.0,1.0,10.0,2.0,72.0,,0.0,,6.0,1.0,3.0,,0.0,3.0,1.0,59.2,19.0,,9.0,7.0,3.0,,43.0,4.0,667.0,6.0,5.0,21.0,6.0,30.0,1.0,4.0,295.0,8.0,3.0,11.0,93.0,22.0,4.0,18.0,2.0,6.0,3.0,13.0,6.0,4.0,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,2210430,2021-12-11 17:30:00,"Carrow Road, Norwich",27066,Home,Norwich City,Manchester United,0,1,L,0,0,0,0,,2.0,17.0,63.0,3.0,27.0,23.0,3.0,3.0,8.0,4.0,,156.0,8.0,5.0,8.0,8.0,5.0,116.0,155.0,49.0,11.0,21.0,5.0,1.0,,,,22.0,5.0,23.0,7.0,7.0,42.0,,138.0,,0.0,98.0,6.0,1.0,,48.0,64.0,7.0,66.0,,15.0,14.0,3.0,5.0,1.0,155.0,,7.0,102.0,651.0,7.0,9.0,24.0,13.0,325.0,33.0,1.0,5.0,10.0,,1.0,4.0,1.0,28.0,415.0,50.0,,83428,5.0,208.0,1.0,7.0,1.0,3.0,230.0,4.0,14.0,6.0,57.0,,,5.0,16.0,6.0,6.0,,60.0,341.0,17.0,9.0,1.0,19.0,1.0,69.0,3.0,0.0,,6.0,3.0,1.0,3.0,0.0,4.0,4.0,47.2,26.0,,4.0,5.0,5.0,,36.0,8.0,440.0,13.0,15.0,22.0,1.0,36.0,1.0,,232.0,4.0,6.0,15.0,57.0,20.0,10.0,9.0,1.0,7.0,3.0,14.0,5.0,8.0,,,3.0,,2.0,,,1.0,,,,1.0,,1.0,,,,2.0,,,2.0,,,1.0,,,,3.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2210437,2021-12-14 19:45:00,"Carrow Road, Norwich",26836,Home,Norwich City,Aston Villa,0,2,L,0,1,0,0,,,25.0,53.0,2.0,35.0,27.0,1.0,2.0,6.0,4.0,,128.0,12.0,6.0,8.0,5.0,3.0,131.0,123.0,54.0,7.0,12.0,3.0,,,3.0,1.0,18.0,14.0,27.0,7.0,4.0,43.0,,148.0,,0.0,105.0,12.0,1.0,,51.0,72.0,5.0,72.0,1.0,11.0,15.0,1.0,2.0,,123.0,,12.0,120.0,651.0,2.0,1.0,14.0,12.0,359.0,26.0,,2.0,15.0,,3.0,8.0,,24.0,436.0,51.0,1.0,83312,5.0,231.0,1.0,7.0,1.0,3.0,254.0,8.0,15.0,3.0,51.0,1.0,,6.0,8.0,5.0,3.0,,66.0,373.0,9.0,10.0,3.0,15.0,2.0,58.0,,0.0,2.0,10.0,3.0,2.0,,0.0,4.0,4.0,50.2,18.0,,2.0,6.0,3.0,,35.0,7.0,451.0,12.0,12.0,19.0,1.0,30.0,2.0,1.0,215.0,1.0,4.0,14.0,66.0,16.0,15.0,23.0,2.0,2.0,3.0,13.0,4.0,7.0,,,2.0,,1.0,,,,,1.0,,1.0,,1.0,,,,3.0,,,1.0,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2210449,2022-01-12 19:45:00,"London Stadium, London",59775,Away,Norwich City,West Ham United,0,2,L,0,1,0,0,,2.0,28.0,55.0,1.0,18.0,13.0,4.0,3.0,3.0,3.0,1.0,134.0,11.0,5.0,7.0,6.0,3.0,67.0,124.0,43.0,7.0,16.0,1.0,,,1.0,,16.0,12.0,13.0,2.0,7.0,38.0,,89.0,1.0,0.0,70.0,8.0,1.0,,45.0,37.0,3.0,63.0,3.0,14.0,13.0,4.0,5.0,2.0,124.0,,9.0,73.0,492.0,5.0,6.0,17.0,12.0,230.0,29.0,,2.0,7.0,,0.0,3.0,3.0,12.0,312.0,39.0,,83428,2.0,166.0,,8.0,1.0,,196.0,6.0,13.0,8.0,43.0,,3.0,5.0,9.0,4.0,7.0,1.0,56.0,250.0,9.0,11.0,1.0,18.0,1.0,48.0,1.0,0.0,,11.0,2.0,2.0,1.0,0.0,4.0,2.0,38.4,6.0,,4.0,5.0,1.0,,19.0,2.0,337.0,12.0,4.0,12.0,3.0,21.0,1.0,1.0,157.0,2.0,6.0,12.0,41.0,14.0,7.0,15.0,2.0,6.0,3.0,11.0,5.0,2.0,,,1.0,2.0,,,,,,,2.0,3.0,,3.0,,,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2210457,2021-12-26 15:00:00,"Carrow Road, Norwich",26940,Home,Norwich City,Arsenal,0,5,L,0,2,0,0,,2.0,25.0,57.0,,20.0,12.0,1.0,3.0,3.0,1.0,,130.0,14.0,1.0,2.0,4.0,2.0,61.0,131.0,36.0,4.0,23.0,2.0,,2.0,,,9.0,8.0,12.0,3.0,1.0,39.0,,86.0,,0.0,80.0,13.0,,,54.0,39.0,3.0,66.0,,6.0,15.0,1.0,4.0,,131.0,,11.0,57.0,465.0,3.0,9.0,5.0,13.0,209.0,30.0,,3.0,6.0,2.0,1.0,6.0,1.0,23.0,289.0,37.0,,83312,1.0,143.0,,2.0,,1.0,168.0,8.0,15.0,7.0,59.0,1.0,3.0,3.0,13.0,5.0,6.0,,53.0,228.0,7.0,11.0,1.0,15.0,,65.0,1.0,0.0,2.0,5.0,,5.0,3.0,0.0,,,35.2,17.0,,4.0,3.0,1.0,,24.0,3.0,314.0,13.0,8.0,21.0,1.0,15.0,1.0,1.0,155.0,1.0,1.0,10.0,48.0,17.0,6.0,17.0,4.0,3.0,3.0,7.0,8.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,2210464,2021-12-28 15:00:00,"Selhurst Park, London",24433,Away,Norwich City,Crystal Palace,0,3,L,0,3,0,0,,2.0,18.0,59.0,2.0,34.0,23.0,6.0,5.0,6.0,3.0,,162.0,11.0,5.0,6.0,8.0,3.0,78.0,139.0,45.0,12.0,20.0,2.0,,1.0,1.0,1.0,19.0,8.0,23.0,8.0,4.0,48.0,,137.0,1.0,0.0,110.0,13.0,1.0,,52.0,77.0,6.0,56.0,,11.0,16.0,6.0,3.0,,139.0,,17.0,80.0,576.0,7.0,6.0,20.0,5.0,284.0,24.0,,6.0,14.0,1.0,2.0,7.0,2.0,21.0,359.0,50.0,,83312,4.0,166.0,,6.0,1.0,2.0,183.0,9.0,16.0,5.0,68.0,,3.0,4.0,15.0,2.0,4.0,,61.0,298.0,9.0,9.0,1.0,16.0,1.0,67.0,1.0,0.0,2.0,8.0,3.0,3.0,1.0,0.0,3.0,2.0,49.1,20.0,,8.0,4.0,7.0,,35.0,8.0,376.0,5.0,14.0,25.0,2.0,22.0,2.0,2.0,212.0,5.0,4.0,14.0,73.0,23.0,14.0,16.0,3.0,9.0,3.0,18.0,8.0,8.0,,,2.0,,1.0,,,1.0,,,,2.0,,2.0,,,,2.0,,,5.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2210477,2022-05-11 19:45:00,"King Power Stadium, Leicester",30892,Away,Norwich City,Leicester City,0,3,L,0,0,0,0,,2.0,24.0,54.0,,22.0,32.0,3.0,2.0,6.0,5.0,2.0,128.0,13.0,3.0,8.0,7.0,5.0,88.0,116.0,42.0,9.0,15.0,4.0,,,2.0,2.0,8.0,12.0,32.0,2.0,4.0,37.0,1.0,108.0,,0.0,78.0,5.0,3.0,,38.0,45.0,4.0,55.0,1.0,6.0,17.0,3.0,3.0,2.0,116.0,2.0,11.0,83.0,557.0,7.0,4.0,19.0,5.0,269.0,27.0,,,17.0,,0.0,7.0,3.0,18.0,329.0,30.0,,83428,5.0,180.0,2.0,3.0,,,200.0,2.0,17.0,9.0,53.0,1.0,,4.0,15.0,9.0,6.0,1.0,46.0,285.0,10.0,9.0,,6.0,3.0,54.0,1.0,0.0,3.0,10.0,4.0,3.0,1.0,0.0,2.0,2.0,35.1,18.0,,5.0,4.0,,,29.0,2.0,354.0,5.0,10.0,18.0,4.0,14.0,1.0,1.0,162.0,5.0,4.0,5.0,51.0,16.0,17.0,19.0,3.0,6.0,3.0,22.0,7.0,2.0,3.0,3.0,,1.0,,,3.0,,,1.0,1.0,5.0,,5.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
22,2210487,2022-01-15 15:00:00,"Carrow Road, Norwich",26629,Home,Norwich City,Everton,2,1,W,2,0,0,0,1.0,,34.0,59.0,3.0,26.0,30.0,8.0,3.0,6.0,4.0,2.0,129.0,16.0,5.0,8.0,7.0,3.0,60.0,151.0,61.0,14.0,10.0,,1.0,,1.0,3.0,25.0,6.0,30.0,7.0,3.0,29.0,,101.0,,0.0,85.0,12.0,1.0,,40.0,65.0,4.0,42.0,,18.0,22.0,8.0,2.0,3.0,151.0,1.0,9.0,53.0,511.0,4.0,5.0,16.0,9.0,189.0,27.0,,6.0,20.0,,3.0,6.0,3.0,25.0,263.0,48.0,1.0,83428,5.0,104.0,,12.0,,3.0,123.0,7.0,22.0,5.0,49.0,1.0,3.0,7.0,18.0,3.0,3.0,,57.0,200.0,14.0,10.0,2.0,22.0,5.0,69.0,,0.0,2.0,8.0,4.0,1.0,2.0,0.0,2.0,3.0,40.4,19.0,,2.0,7.0,5.0,,35.0,8.0,284.0,9.0,11.0,14.0,6.0,23.0,3.0,2.0,186.0,8.0,2.0,21.0,52.0,18.0,20.0,18.0,1.0,6.0,3.0,15.0,6.0,8.0,2.0,3.0,4.0,,1.0,,2.0,1.0,,,1.0,,,,1.0,,2.0,4.0,,,2.0,2.0,,1.0,2.0,,,,1.0,,,1.0,2.0,,1.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,
23,2210500,2022-01-21 20:00:00,"Vicarage Road, Watford",20782,Away,Norwich City,Watford,3,0,W,0,0,0,1,,,28.0,64.0,1.0,13.0,14.0,3.0,1.0,4.0,3.0,,130.0,13.0,2.0,7.0,5.0,2.0,44.0,151.0,55.0,7.0,20.0,,,,,,5.0,11.0,14.0,1.0,8.0,29.0,,64.0,,0.0,77.0,11.0,1.0,,31.0,54.0,3.0,32.0,,4.0,12.0,3.0,,1.0,151.0,1.0,8.0,53.0,434.0,2.0,3.0,14.0,9.0,143.0,29.0,,4.0,10.0,,1.0,5.0,2.0,28.0,235.0,42.0,,83428,3.0,90.0,,2.0,,,117.0,4.0,12.0,8.0,67.0,,1.0,6.0,16.0,7.0,4.0,1.0,58.0,152.0,16.0,22.0,1.0,20.0,1.0,68.0,,0.0,,5.0,4.0,,,0.0,1.0,2.0,31.5,18.0,,5.0,6.0,3.0,1.0,19.0,1.0,259.0,9.0,7.0,7.0,2.0,12.0,1.0,1.0,147.0,4.0,7.0,16.0,37.0,22.0,10.0,16.0,,5.0,3.0,14.0,8.0,1.0,,,2.0,,,,,,,,,3.0,,3.0,1.0,,3.0,1.0,,1.0,2.0,,,,1.0,1.0,2.0,,1.0,1.0,,,3.0,2.0,,,1.0,3.0,1.0,,,2.0,2.0,2.0,,2.0,,,,,,1.0,,2.0,,,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,
24,2210504,2022-02-09 19:45:00,"Carrow Road, Norwich",26652,Home,Norwich City,Crystal Palace,1,1,D,1,0,0,0,,,23.0,66.0,1.0,19.0,27.0,1.0,,4.0,4.0,,119.0,14.0,3.0,4.0,4.0,1.0,44.0,153.0,45.0,5.0,21.0,,,,,1.0,11.0,9.0,27.0,4.0,4.0,36.0,,56.0,,0.0,52.0,11.0,2.0,,32.0,48.0,2.0,36.0,2.0,7.0,16.0,1.0,1.0,,153.0,,8.0,57.0,446.0,1.0,7.0,9.0,11.0,141.0,31.0,,2.0,14.0,,1.0,4.0,2.0,25.0,228.0,39.0,,83428,4.0,106.0,,5.0,,,141.0,9.0,16.0,8.0,58.0,,1.0,9.0,19.0,5.0,6.0,,65.0,159.0,15.0,11.0,2.0,25.0,2.0,61.0,,0.0,1.0,6.0,3.0,1.0,,0.0,1.0,1.0,28.3,13.0,,2.0,9.0,2.0,,22.0,4.0,256.0,11.0,7.0,12.0,2.0,13.0,2.0,2.0,126.0,4.0,4.0,11.0,18.0,22.0,14.0,15.0,,3.0,3.0,12.0,6.0,4.0,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,
25,2210518,2022-02-12 17:30:00,"Carrow Road, Norwich",27010,Home,Norwich City,Manchester City,0,4,L,0,1,0,0,1.0,,14.0,54.0,1.0,14.0,29.0,1.0,2.0,7.0,5.0,2.0,110.0,6.0,4.0,6.0,8.0,3.0,58.0,100.0,37.0,8.0,12.0,3.0,2.0,,1.0,2.0,8.0,6.0,29.0,4.0,5.0,33.0,,64.0,,0.0,62.0,7.0,1.0,,17.0,42.0,4.0,47.0,,4.0,16.0,1.0,2.0,1.0,100.0,,18.0,66.0,436.0,5.0,1.0,19.0,6.0,192.0,26.0,,2.0,19.0,,0.0,4.0,4.0,13.0,258.0,30.0,,83428,4.0,152.0,,1.0,,1.0,177.0,2.0,16.0,9.0,39.0,1.0,2.0,5.0,16.0,4.0,8.0,,36.0,212.0,7.0,16.0,3.0,4.0,3.0,44.0,,0.0,1.0,12.0,5.0,4.0,1.0,0.0,2.0,4.0,28.5,10.0,,6.0,5.0,1.0,,22.0,4.0,281.0,6.0,1.0,16.0,4.0,12.0,2.0,2.0,112.0,2.0,4.0,13.0,29.0,15.0,19.0,11.0,4.0,4.0,3.0,10.0,10.0,4.0,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,
26,2210526,2022-02-19 15:00:00,"Anfield, Liverpool",53135,Away,Norwich City,Liverpool,1,3,L,0,0,0,0,,,20.0,58.0,,21.0,39.0,3.0,2.0,3.0,4.0,,127.0,12.0,2.0,9.0,5.0,1.0,65.0,138.0,47.0,6.0,17.0,,,,,,12.0,9.0,39.0,4.0,4.0,45.0,1.0,70.0,1.0,0.0,60.0,8.0,4.0,,35.0,28.0,2.0,45.0,3.0,8.0,15.0,3.0,1.0,1.0,138.0,1.0,16.0,71.0,496.0,4.0,1.0,16.0,13.0,201.0,34.0,,3.0,25.0,,1.0,8.0,3.0,11.0,283.0,29.0,2.0,83428,2.0,152.0,1.0,6.0,,1.0,193.0,4.0,15.0,13.0,57.0,3.0,5.0,5.0,14.0,13.0,10.0,,57.0,220.0,6.0,18.0,,20.0,2.0,46.0,,0.0,,9.0,3.0,3.0,,0.0,1.0,1.0,30.6,5.0,,2.0,6.0,1.0,1.0,19.0,4.0,308.0,13.0,8.0,20.0,4.0,21.0,1.0,3.0,127.0,3.0,3.0,13.0,39.0,14.0,25.0,19.0,2.0,3.0,3.0,15.0,7.0,4.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,3.0,,3.0,,1.0,1.0,1.0,2.0,,1.0,,,,3.0,,,,1.0,,,,,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,
