gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,penaltySave,bigChanceScored,attGoalLowCentre,goals,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,attIboxPost,freekickCross,bigChanceCreated,contentiousDecision,attHdPost,hitWoodwork,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateFreekickCross,bigChanceMissed,attSetpiece,totalPullBack,attCmissHigh,goalsOpenplay,attMissHigh,attAssistSetplay,attCmissLeft,attIboxGoal,attPostHigh,goalAssistIntentional,shieldBallOop,possWonAtt3rd,attBxLeft,attSvHighCentre,forwardGoals,attHdGoal,attGoalLowRight,attLfGoal,shotFastbreak,totalFastbreak,interceptionsInBox,attHdTarget,attCmissHighLeft,attFastbreak,attemptsIbox,saves,accuratePullBack,attSvHighRight,cleanSheet,attSvLowLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,sixYardBlock,punches,overrun,clearanceOffLine,attOneOnOne,accurateThroughBall,attGoalLowLeft,attRfGoal,ownGoals,attIboxOwnGoal,errorLeadToGoal,attLgCentre,attCorner,goalAssistSetplay,defenderGoals,goalAssistDeadball,midfielderGoals,attGoalHighLeft,attFreekickTarget,attGoalHighRight,attSvHighLeft,attOboxGoal,attFreekickGoal,foulThrowIn,attPostLeft,attOboxPost,attObxRight,attGoalHighCentre,attCmissHighRight,attFreekickPost,attPostRight,attObxdRight,attObxLeft,attPenTarget,penaltyWon,ptsDroppedWinningPos,attPenGoal
11,442105,2012-11-10 15:00:00,"Select Car Leasing Stadium, Reading",24080,Away,Norwich City,Reading,0,0,D,0,0,0,0,,,47.0,1.0,,21.0,49.0,6.0,4.0,,141.0,8.0,,,8.0,1.0,1.0,75.0,188.0,68.0,,11.0,2.0,34.0,1.0,,,23.0,17.0,,29.0,3.0,15.0,31.0,141.0,1.0,0.0,116.0,17.0,,,54.0,49.0,2.0,53.0,2.0,20.0,,13.0,4.0,168.0,4.0,79.0,551.0,8.0,12.0,10.0,22.0,6.0,16.0,1.0,2.0,6.0,27.0,73.0,,5741,3.0,104.0,7.0,,132.0,13.0,72.0,,3.0,1.0,12.0,5.0,3.0,54.0,237.0,9.0,10.0,26.0,92.0,,0.0,10.0,1.0,,5.0,0.0,7.0,4.0,50.7,21.0,3.0,1.0,2.0,35.0,3.0,,,348.0,,9.0,,10.0,13.0,8.0,25.0,1.0,4.0,239.0,3.0,12.0,39.0,63.0,16.0,4.0,7.0,20.0,,10.0,2.0,1.0,4.0,3.0,,,,,,,,,1.0,,,3.0,,,,2.0,,,,3.0,1.0,,,,2.0,,,,,,,2.0,,1.0,,,,,2.0,2.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,442114,2012-11-17 17:30:00,"Carrow Road, Norwich",26840,Home,Norwich City,Manchester United,1,0,W,0,0,0,0,,,52.0,3.0,1.0,21.0,41.0,6.0,2.0,3.0,136.0,2.0,1.0,3.0,11.0,1.0,4.0,79.0,135.0,30.0,,11.0,1.0,6.0,,,,17.0,7.0,3.0,23.0,,8.0,18.0,181.0,1.0,0.0,114.0,10.0,5.0,2.0,62.0,56.0,6.0,59.0,3.0,17.0,,6.0,2.0,117.0,9.0,80.0,547.0,9.0,9.0,11.0,23.0,3.0,17.0,0.0,5.0,5.0,13.0,63.0,,5741,4.0,114.0,7.0,,128.0,13.0,46.0,,3.0,1.0,8.0,5.0,6.0,41.0,293.0,7.0,13.0,9.0,76.0,1.0,0.0,12.0,3.0,,3.0,0.0,2.0,2.0,37.7,7.0,1.0,1.0,2.0,44.0,,,3.0,354.0,,10.0,,14.0,9.0,5.0,13.0,,3.0,243.0,7.0,8.0,11.0,81.0,15.0,6.0,12.0,11.0,,10.0,3.0,4.0,6.0,,,,,,1.0,,1.0,1.0,1.0,,4.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,1.0,,,2.0,2.0,1.0,,,2.0,,,,,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
13,442121,2012-11-24 15:00:00,"Goodison Park, Liverpool",34502,Away,Norwich City,Everton,1,1,D,0,1,0,0,,,37.0,2.0,1.0,16.0,32.0,4.0,2.0,2.0,140.0,3.0,3.0,4.0,5.0,,4.0,60.0,154.0,53.0,1.0,9.0,,15.0,2.0,1.0,1.0,17.0,11.0,1.0,19.0,2.0,9.0,19.0,127.0,1.0,0.0,97.0,19.0,4.0,,45.0,44.0,3.0,55.0,2.0,15.0,1.0,8.0,3.0,141.0,9.0,57.0,483.0,3.0,11.0,12.0,18.0,10.0,15.0,3.0,1.0,2.0,14.0,67.0,,5741,3.0,100.0,3.0,,116.0,13.0,53.0,1.0,9.0,1.0,6.0,5.0,5.0,48.0,224.0,12.0,10.0,31.0,90.0,1.0,0.0,4.0,4.0,1.0,6.0,0.0,2.0,3.0,42.1,9.0,1.0,1.0,1.0,37.0,2.0,,,312.0,,11.0,,7.0,8.0,4.0,17.0,1.0,1.0,213.0,4.0,9.0,24.0,50.0,9.0,2.0,10.0,13.0,1.0,5.0,3.0,6.0,2.0,2.0,1.0,,,1.0,1.0,,,,,,4.0,,,,,1.0,1.0,,1.0,,2.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
14,442131,2012-11-28 19:45:00,"St. Mary's Stadium, Southampton",29325,Away,Norwich City,Southampton,1,1,D,1,1,0,0,,3.0,55.0,,1.0,27.0,34.0,8.0,7.0,,177.0,6.0,4.0,5.0,7.0,,5.0,55.0,199.0,47.0,1.0,11.0,2.0,16.0,1.0,,1.0,22.0,12.0,3.0,18.0,4.0,8.0,26.0,162.0,,0.0,140.0,7.0,1.0,3.0,60.0,90.0,5.0,65.0,1.0,18.0,1.0,4.0,2.0,183.0,8.0,64.0,575.0,6.0,13.0,12.0,29.0,5.0,11.0,1.0,2.0,2.0,25.0,94.0,,5741,2.0,100.0,9.0,,126.0,9.0,51.0,,3.0,,17.0,2.0,2.0,63.0,256.0,10.0,2.0,30.0,95.0,,0.0,3.0,1.0,1.0,3.0,0.0,4.0,2.0,42.2,17.0,1.0,,3.0,45.0,6.0,,4.0,361.0,,10.0,,19.0,13.0,3.0,22.0,2.0,1.0,257.0,2.0,7.0,16.0,81.0,10.0,4.0,6.0,17.0,1.0,9.0,3.0,11.0,4.0,7.0,,,,,1.0,,,,,,5.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,,1.0,1.0,,,,,1.0,2.0,,,1.0,,1.0,1.0,,,3.0,1.0,,,,,,1.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
15,442144,2012-12-02 16:00:00,"Carrow Road, Norwich",26228,Home,Norwich City,Sunderland,2,1,W,2,1,0,0,1.0,1.0,38.0,2.0,1.0,31.0,39.0,3.0,4.0,,192.0,5.0,3.0,5.0,6.0,,3.0,94.0,171.0,49.0,,8.0,2.0,17.0,,,,12.0,13.0,1.0,23.0,1.0,13.0,25.0,190.0,,0.0,162.0,11.0,2.0,1.0,72.0,66.0,4.0,74.0,,11.0,,5.0,,155.0,7.0,81.0,620.0,4.0,19.0,12.0,16.0,11.0,13.0,0.0,2.0,2.0,19.0,75.0,2.0,5741,4.0,156.0,2.0,,174.0,11.0,57.0,2.0,3.0,1.0,15.0,9.0,7.0,52.0,341.0,16.0,14.0,27.0,113.0,1.0,0.0,6.0,2.0,1.0,10.0,0.0,5.0,1.0,49.6,12.0,1.0,1.0,3.0,66.0,2.0,,1.0,441.0,,11.0,,8.0,15.0,2.0,22.0,,2.0,279.0,2.0,13.0,16.0,110.0,13.0,2.0,9.0,14.0,,4.0,2.0,10.0,2.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,,4.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,3.0,,,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,
16,442156,2012-12-08 15:00:00,"Swansea.com Stadium, Swansea",20294,Away,Norwich City,Swansea City,4,3,W,3,0,0,0,,1.0,37.0,1.0,,22.0,26.0,2.0,4.0,1.0,135.0,3.0,3.0,5.0,6.0,,7.0,52.0,145.0,43.0,1.0,9.0,,13.0,3.0,2.0,1.0,12.0,10.0,,13.0,1.0,4.0,20.0,131.0,,0.0,112.0,10.0,1.0,1.0,57.0,48.0,5.0,70.0,,11.0,1.0,4.0,,132.0,13.0,63.0,493.0,2.0,13.0,15.0,21.0,4.0,14.0,1.0,4.0,1.0,18.0,71.0,,5741,3.0,108.0,5.0,,121.0,15.0,37.0,5.0,1.0,,15.0,7.0,9.0,50.0,236.0,12.0,4.0,26.0,87.0,,0.0,6.0,1.0,3.0,8.0,0.0,2.0,3.0,33.2,14.0,,1.0,,37.0,2.0,,1.0,320.0,,13.0,,5.0,11.0,2.0,14.0,1.0,,211.0,2.0,3.0,10.0,66.0,7.0,4.0,8.0,18.0,3.0,5.0,2.0,9.0,4.0,2.0,1.0,,1.0,,4.0,2.0,,1.0,,1.0,2.0,2.0,,,2.0,,3.0,,1.0,1.0,2.0,,,1.0,,1.0,,3.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,4.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,2.0,2.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
17,442163,2012-12-15 15:00:00,"Carrow Road, Norwich",26677,Home,Norwich City,Wigan Athletic,2,1,W,1,0,0,0,1.0,4.0,44.0,1.0,1.0,32.0,18.0,6.0,8.0,1.0,153.0,6.0,5.0,2.0,14.0,,8.0,107.0,152.0,39.0,,17.0,2.0,6.0,3.0,2.0,,25.0,15.0,3.0,9.0,6.0,8.0,20.0,191.0,,0.0,141.0,8.0,2.0,1.0,63.0,81.0,9.0,78.0,2.0,19.0,,6.0,2.0,143.0,7.0,79.0,616.0,11.0,7.0,16.0,16.0,12.0,3.0,3.0,4.0,5.0,23.0,91.0,,5741,2.0,151.0,11.0,,164.0,10.0,41.0,1.0,1.0,2.0,9.0,7.0,4.0,58.0,336.0,4.0,9.0,30.0,86.0,1.0,0.0,3.0,2.0,1.0,4.0,0.0,5.0,3.0,48.2,16.0,1.0,2.0,3.0,43.0,7.0,,1.0,417.0,,13.0,,12.0,7.0,6.0,19.0,1.0,4.0,278.0,6.0,8.0,10.0,95.0,17.0,2.0,1.0,20.0,,16.0,3.0,12.0,2.0,7.0,,,1.0,,2.0,,,2.0,3.0,,2.0,3.0,1.0,,,1.0,2.0,,,3.0,,,,2.0,,1.0,1.0,2.0,,2.0,,2.0,3.0,2.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,
18,442176,2012-12-22 15:00:00,"The Hawthorns, West Bromwich",25799,Away,Norwich City,West Bromwich Albion,1,2,L,1,1,0,0,,1.0,41.0,1.0,1.0,30.0,28.0,4.0,4.0,,153.0,7.0,6.0,4.0,7.0,,3.0,109.0,142.0,47.0,1.0,10.0,1.0,19.0,1.0,1.0,,26.0,12.0,1.0,22.0,5.0,4.0,23.0,161.0,,0.0,126.0,11.0,2.0,1.0,51.0,87.0,2.0,55.0,1.0,21.0,1.0,6.0,1.0,136.0,7.0,91.0,598.0,4.0,12.0,17.0,23.0,4.0,9.0,1.0,3.0,5.0,29.0,81.0,,79852,5.0,171.0,11.0,,185.0,9.0,54.0,1.0,,1.0,6.0,6.0,3.0,60.0,325.0,14.0,10.0,22.0,82.0,,0.0,6.0,3.0,2.0,2.0,0.0,7.0,5.0,50.4,23.0,4.0,1.0,2.0,40.0,5.0,,2.0,408.0,,12.0,,9.0,11.0,5.0,15.0,,4.0,249.0,1.0,4.0,12.0,70.0,9.0,5.0,4.0,15.0,2.0,4.0,3.0,12.0,5.0,5.0,1.0,,,,1.0,,,,3.0,,4.0,,,,,1.0,,,3.0,,4.0,,,,,3.0,3.0,,,,,2.0,,1.0,1.0,,,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
19,442184,2012-12-26 15:00:00,"Carrow Road, Norwich",26831,Home,Norwich City,Chelsea,0,1,L,0,1,0,0,1.0,,47.0,1.0,2.0,23.0,22.0,4.0,3.0,1.0,150.0,3.0,2.0,,5.0,,1.0,76.0,158.0,42.0,,9.0,2.0,11.0,1.0,,1.0,15.0,16.0,,14.0,5.0,8.0,23.0,132.0,,0.0,115.0,8.0,2.0,2.0,48.0,75.0,2.0,57.0,1.0,10.0,,5.0,2.0,150.0,7.0,75.0,548.0,2.0,13.0,16.0,18.0,4.0,5.0,1.0,7.0,3.0,21.0,73.0,,5741,3.0,137.0,5.0,,152.0,16.0,42.0,1.0,4.0,1.0,10.0,11.0,8.0,47.0,266.0,7.0,7.0,16.0,89.0,,0.0,7.0,1.0,1.0,5.0,0.0,,2.0,36.9,14.0,2.0,1.0,4.0,42.0,5.0,,2.0,358.0,,12.0,,11.0,12.0,4.0,10.0,3.0,2.0,221.0,3.0,8.0,13.0,69.0,16.0,,3.0,20.0,,6.0,3.0,8.0,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,3.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,442194,2012-12-29 15:00:00,"Carrow Road, Norwich",26827,Home,Norwich City,Manchester City,3,4,L,1,2,0,1,,1.0,32.0,,2.0,48.0,29.0,5.0,3.0,,140.0,5.0,,5.0,6.0,2.0,4.0,110.0,136.0,44.0,1.0,11.0,2.0,15.0,,,,27.0,16.0,1.0,18.0,3.0,3.0,30.0,191.0,1.0,0.0,146.0,10.0,3.0,,48.0,87.0,4.0,48.0,2.0,24.0,1.0,10.0,1.0,125.0,13.0,92.0,580.0,4.0,6.0,17.0,16.0,5.0,14.0,3.0,5.0,2.0,20.0,75.0,,78830,1.0,134.0,8.0,,145.0,8.0,57.0,,,2.0,4.0,3.0,4.0,66.0,320.0,11.0,14.0,20.0,70.0,1.0,0.0,9.0,4.0,4.0,4.0,0.0,5.0,2.0,46.4,16.0,1.0,2.0,4.0,39.0,4.0,,,390.0,,15.0,,9.0,17.0,3.0,21.0,,2.0,272.0,6.0,3.0,13.0,105.0,11.0,2.0,11.0,20.0,4.0,5.0,3.0,10.0,2.0,4.0,1.0,,2.0,1.0,3.0,,,1.0,,,6.0,2.0,2.0,,,,2.0,,1.0,,2.0,,,,,,,2.0,,2.0,,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,1.0,,2.0,,,,,2.0,1.0,1.0,,,,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,
21,442207,2013-01-01 15:00:00,"Boleyn Ground, London",35005,Away,Norwich City,West Ham United,1,2,L,0,2,0,0,,1.0,43.0,2.0,,11.0,42.0,6.0,3.0,,184.0,5.0,9.0,2.0,5.0,,2.0,84.0,183.0,59.0,1.0,8.0,1.0,27.0,,,1.0,15.0,10.0,1.0,29.0,3.0,25.0,22.0,141.0,,0.0,122.0,8.0,1.0,,22.0,56.0,2.0,60.0,1.0,12.0,1.0,4.0,3.0,167.0,11.0,60.0,597.0,3.0,11.0,15.0,17.0,6.0,25.0,0.0,7.0,3.0,24.0,83.0,2.0,78830,1.0,145.0,7.0,1.0,168.0,14.0,50.0,3.0,5.0,,12.0,5.0,7.0,44.0,281.0,14.0,4.0,31.0,92.0,,0.0,11.0,1.0,2.0,5.0,0.0,3.0,1.0,49.5,13.0,1.0,,1.0,38.0,3.0,1.0,,388.0,1.0,14.0,,4.0,6.0,5.0,20.0,2.0,1.0,235.0,4.0,23.0,22.0,59.0,21.0,1.0,17.0,14.0,2.0,5.0,3.0,18.0,4.0,3.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,2.0,,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,
22,442214,2013-01-12 15:00:00,"Carrow Road, Norwich",26752,Home,Norwich City,Newcastle United,0,0,D,0,0,0,0,,,43.0,1.0,1.0,37.0,25.0,5.0,1.0,1.0,182.0,7.0,11.0,4.0,10.0,1.0,2.0,105.0,204.0,60.0,,12.0,1.0,24.0,2.0,,2.0,32.0,12.0,,8.0,5.0,5.0,19.0,205.0,3.0,0.0,164.0,5.0,1.0,3.0,70.0,97.0,4.0,69.0,1.0,27.0,,10.0,3.0,187.0,3.0,99.0,673.0,7.0,15.0,13.0,18.0,8.0,11.0,0.0,3.0,6.0,41.0,83.0,,78830,4.0,144.0,14.0,,166.0,8.0,51.0,5.0,4.0,2.0,10.0,5.0,1.0,66.0,342.0,6.0,5.0,31.0,101.0,,0.0,4.0,1.0,,6.0,0.0,5.0,4.0,54.7,31.0,3.0,3.0,2.0,45.0,5.0,,3.0,455.0,,11.0,,9.0,8.0,8.0,27.0,2.0,4.0,321.0,6.0,5.0,23.0,106.0,16.0,1.0,3.0,20.0,,9.0,2.0,19.0,1.0,5.0,,,,,,1.0,,,1.0,,3.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,2.0,3.0,,,,,2.0,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,
23,442220,2013-01-19 15:00:00,"Anfield, Liverpool",44901,Away,Norwich City,Liverpool,0,5,L,0,2,0,0,2.0,,33.0,1.0,,15.0,28.0,2.0,1.0,,118.0,3.0,5.0,3.0,1.0,,1.0,72.0,139.0,45.0,,4.0,2.0,12.0,1.0,,,13.0,17.0,,18.0,3.0,6.0,14.0,138.0,,0.0,115.0,8.0,2.0,1.0,60.0,63.0,1.0,64.0,,10.0,,7.0,1.0,129.0,9.0,64.0,481.0,,7.0,16.0,15.0,5.0,9.0,1.0,3.0,,19.0,64.0,,78830,1.0,91.0,,,106.0,12.0,40.0,,1.0,,5.0,10.0,6.0,45.0,226.0,10.0,8.0,20.0,79.0,,0.0,9.0,4.0,5.0,2.0,0.0,3.0,1.0,32.3,16.0,,,2.0,35.0,4.0,,1.0,318.0,,13.0,,9.0,5.0,1.0,9.0,,,225.0,2.0,5.0,9.0,59.0,5.0,,6.0,21.0,3.0,2.0,2.0,8.0,,4.0,,,,,,,,,1.0,,3.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
24,442232,2013-01-30 19:45:00,"Carrow Road, Norwich",26818,Home,Norwich City,Tottenham Hotspur,1,1,D,1,0,0,0,,,43.0,2.0,,17.0,34.0,7.0,5.0,,158.0,3.0,5.0,6.0,6.0,2.0,1.0,53.0,181.0,60.0,,9.0,1.0,8.0,,,,20.0,20.0,,18.0,3.0,3.0,31.0,117.0,1.0,0.0,120.0,15.0,3.0,1.0,39.0,62.0,2.0,53.0,3.0,17.0,,6.0,6.0,165.0,8.0,60.0,522.0,5.0,7.0,13.0,14.0,5.0,9.0,4.0,6.0,4.0,17.0,78.0,1.0,5741,2.0,96.0,6.0,,113.0,6.0,45.0,1.0,3.0,,7.0,5.0,2.0,62.0,210.0,15.0,8.0,28.0,101.0,,0.0,6.0,1.0,1.0,1.0,0.0,3.0,1.0,41.6,11.0,1.0,,1.0,40.0,3.0,,1.0,324.0,,10.0,,10.0,9.0,7.0,22.0,,1.0,231.0,3.0,2.0,12.0,55.0,15.0,3.0,5.0,28.0,1.0,8.0,1.0,9.0,3.0,3.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,,5.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,2.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,442244,2013-02-02 12:45:00,"MATRADE Loftus Road, London",17543,Away,Norwich City,Queens Park Rangers,0,0,D,0,0,0,0,,3.0,47.0,3.0,1.0,15.0,36.0,7.0,7.0,1.0,143.0,7.0,8.0,2.0,11.0,,6.0,69.0,191.0,53.0,1.0,13.0,3.0,22.0,3.0,,2.0,29.0,18.0,3.0,22.0,6.0,12.0,19.0,153.0,,0.0,127.0,22.0,3.0,2.0,51.0,70.0,9.0,60.0,,23.0,1.0,9.0,1.0,177.0,8.0,70.0,564.0,9.0,13.0,9.0,20.0,4.0,11.0,5.0,3.0,2.0,24.0,70.0,1.0,5741,3.0,94.0,13.0,1.0,118.0,12.0,83.0,1.0,1.0,,10.0,8.0,4.0,49.0,240.0,6.0,15.0,19.0,86.0,2.0,0.0,10.0,2.0,,5.0,0.0,6.0,3.0,50.3,16.0,1.0,,4.0,36.0,8.0,1.0,2.0,342.0,,6.0,1.0,14.0,3.0,3.0,23.0,1.0,2.0,253.0,3.0,10.0,15.0,72.0,17.0,4.0,9.0,24.0,,9.0,2.0,19.0,4.0,8.0,1.0,1.0,,,,,,,1.0,,1.0,2.0,1.0,,,1.0,,,,2.0,,,,,1.0,2.0,,,,,1.0,3.0,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
26,442253,2013-02-09 15:00:00,"Carrow Road, Norwich",26816,Home,Norwich City,Fulham,0,0,D,0,0,0,0,,2.0,47.0,1.0,1.0,22.0,21.0,7.0,5.0,1.0,170.0,7.0,9.0,4.0,12.0,1.0,4.0,91.0,175.0,50.0,1.0,15.0,3.0,28.0,2.0,1.0,2.0,21.0,11.0,2.0,9.0,3.0,5.0,27.0,159.0,3.0,0.0,136.0,10.0,1.0,1.0,64.0,51.0,5.0,60.0,2.0,18.0,1.0,10.0,3.0,163.0,2.0,86.0,579.0,11.0,11.0,11.0,24.0,7.0,7.0,2.0,4.0,7.0,21.0,72.0,,42744,6.0,147.0,6.0,,174.0,5.0,68.0,,2.0,,8.0,5.0,3.0,51.0,299.0,16.0,6.0,27.0,78.0,,0.0,4.0,,,4.0,0.0,7.0,5.0,43.1,18.0,4.0,,4.0,28.0,3.0,,1.0,407.0,,6.0,,15.0,8.0,7.0,24.0,,4.0,254.0,5.0,4.0,11.0,85.0,19.0,2.0,2.0,14.0,,10.0,2.0,18.0,2.0,3.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
27,442264,2013-02-23 15:00:00,"Carrow Road, Norwich",26828,Home,Norwich City,Everton,2,1,W,0,1,0,0,,1.0,53.0,1.0,2.0,26.0,26.0,3.0,3.0,2.0,173.0,5.0,6.0,2.0,9.0,1.0,5.0,83.0,170.0,52.0,,10.0,2.0,23.0,2.0,,,30.0,11.0,1.0,18.0,7.0,10.0,38.0,161.0,,0.0,140.0,17.0,,1.0,39.0,70.0,8.0,60.0,1.0,23.0,,14.0,,162.0,5.0,81.0,588.0,7.0,16.0,19.0,28.0,15.0,11.0,1.0,2.0,1.0,22.0,84.0,,5741,4.0,139.0,8.0,,162.0,9.0,63.0,1.0,2.0,,8.0,10.0,8.0,59.0,295.0,10.0,5.0,32.0,96.0,3.0,0.0,5.0,1.0,1.0,5.0,0.0,4.0,2.0,44.8,17.0,1.0,,4.0,55.0,7.0,,2.0,397.0,,13.0,,14.0,13.0,1.0,26.0,1.0,1.0,265.0,5.0,10.0,19.0,76.0,17.0,1.0,8.0,17.0,1.0,8.0,2.0,11.0,1.0,7.0,1.0,,2.0,,2.0,,1.0,1.0,,,1.0,4.0,,,,,2.0,1.0,,2.0,,,,1.0,,,,2.0,,2.0,,,1.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
