gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowLeft,attGoalLowRight,savedObox,saves,attLfGoal,attOneOnOne,attOboxGoal,divingSave,attSvLowLeft,accurateThroughBall,totalPullBack,totalOffside,savedIbox,goalsConceded,shieldBallOop,forwardGoals,goalsConcededIbox,handBall,shotFastbreak,attGoalHighRight,attMissHighRight,totalFastbreak,attObxdLeft,defenderGoals,attFastbreak,foulThrowIn,goalAssistDeadball,ptsGainedLosingPos,errorLeadToShot,ownGoals,attIboxOwnGoal,attHdGoal,accuratePullBack,attSvHighRight,attHdTarget,sixYardBlock,attFreekickMiss,attCmissRight,contentiousDecision,ptsDroppedWinningPos,attLgCentre,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHigh,punches,attCmissHighLeft,attSvHighCentre,postScoringAtt,attIboxPost,hitWoodwork,attPostHigh,errorLeadToGoal,goalsConcededObox,attSvHighLeft,penaltySave,attPostLeft,attCmissHighRight,penaltyWon,attPenGoal,goalFastbreak,attGoalHighCentre,attFreekickPost,attOboxPost,clearanceOffLine
11,987699,2018-11-03 15:00:00,"St. James' Park, Newcastle",49157,Away,Watford,Newcastle United,0,1,L,0,0,0,0,53.0,4.0,,34.0,35.0,2.0,5.0,14.0,,184.0,,4.0,3.0,,3.0,12.0,1.0,106.0,155.0,56.0,1.0,16.0,1.0,25.0,1.0,1.0,2.0,,,4.0,20.0,3.0,,35.0,9.0,6.0,45.0,179.0,,0.0,129.0,11.0,,2.0,1.0,80.0,39.0,4.0,60.0,,2.0,11.0,17.0,2.0,1.0,2.0,1.0,155.0,5.0,4.0,102.0,665.0,9.0,8.0,35.0,11.0,347.0,20.0,,11.0,14.0,,2.0,5.0,3.0,8.0,26.0,429.0,67.0,1.0,94924,10.0,184.0,5.0,7.0,1.0,210.0,6.0,,17.0,8.0,62.0,2.0,7.0,,17.0,6.0,,3.0,65.0,359.0,11.0,8.0,3.0,24.0,85.0,,,2.0,0.0,,2.0,8.0,,3.0,0.0,1.0,,2.0,58.1,22.0,2.0,6.0,3.0,8.0,5.0,47.0,9.0,1.0,452.0,11.0,12.0,26.0,10.0,32.0,3.0,8.0,262.0,8.0,5.0,34.0,88.0,19.0,,14.0,8.0,9.0,3.0,11.0,,9.0,9.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12,987711,2018-11-10 15:00:00,"St. Mary's Stadium, Southampton",28153,Away,Watford,Southampton,1,1,D,0,1,0,0,50.0,1.0,,30.0,16.0,4.0,5.0,8.0,4.0,175.0,1.0,2.0,5.0,1.0,1.0,9.0,6.0,90.0,173.0,48.0,,12.0,2.0,24.0,4.0,2.0,,1.0,2.0,1.0,17.0,7.0,1.0,16.0,6.0,6.0,36.0,157.0,,0.0,138.0,13.0,,1.0,,44.0,71.0,6.0,62.0,1.0,,11.0,20.0,4.0,,3.0,1.0,173.0,1.0,7.0,93.0,599.0,8.0,11.0,26.0,8.0,283.0,23.0,1.0,10.0,10.0,1.0,,2.0,4.0,3.0,34.0,390.0,50.0,,94924,3.0,147.0,2.0,7.0,,171.0,6.0,,20.0,12.0,62.0,,3.0,1.0,12.0,7.0,6.0,,60.0,302.0,12.0,9.0,,23.0,81.0,,3.0,,0.0,,1.0,7.0,1.0,3.0,0.0,2.0,,,57.7,28.0,,4.0,1.0,3.0,3.0,41.0,6.0,1.0,420.0,8.0,15.0,22.0,3.0,34.0,,2.0,266.0,6.0,6.0,20.0,85.0,19.0,2.0,10.0,11.0,11.0,2.0,7.0,2.0,4.0,6.0,1.0,,,,1.0,3.0,1.0,,,1.0,,,,4.0,2.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
13,987719,2018-11-24 15:00:00,"Vicarage Road, Watford",20540,Home,Watford,Liverpool,0,3,L,0,0,0,1,65.0,,,24.0,25.0,2.0,1.0,3.0,,160.0,,3.0,7.0,,1.0,4.0,1.0,69.0,156.0,48.0,,5.0,,23.0,1.0,,2.0,,,1.0,13.0,9.0,,25.0,3.0,3.0,36.0,131.0,,0.0,115.0,12.0,,1.0,,69.0,36.0,1.0,59.0,1.0,1.0,10.0,14.0,2.0,,1.0,2.0,156.0,2.0,7.0,72.0,533.0,3.0,9.0,11.0,15.0,232.0,30.0,,7.0,10.0,,2.0,0.0,,3.0,15.0,333.0,59.0,,94924,3.0,122.0,2.0,8.0,,152.0,7.0,,14.0,3.0,56.0,1.0,2.0,,15.0,3.0,3.0,2.0,64.0,250.0,12.0,9.0,1.0,27.0,74.0,,,,0.0,,1.0,5.0,,2.0,0.0,1.0,,1.0,36.3,12.0,1.0,2.0,,2.0,,30.0,5.0,,360.0,15.0,9.0,13.0,4.0,21.0,2.0,2.0,221.0,3.0,2.0,15.0,67.0,23.0,,10.0,14.0,4.0,2.0,11.0,,8.0,5.0,1.0,,,,,4.0,,,,4.0,,,,4.0,4.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
14,987727,2018-12-01 15:00:00,"King Power Stadium, Leicester",31353,Away,Watford,Leicester City,0,2,L,0,2,1,0,57.0,1.0,,21.0,16.0,3.0,3.0,5.0,,169.0,,5.0,6.0,,5.0,6.0,,133.0,169.0,36.0,1.0,8.0,1.0,24.0,,,,,,1.0,25.0,7.0,,16.0,8.0,4.0,28.0,235.0,,0.0,156.0,6.0,,3.0,,69.0,67.0,2.0,73.0,,1.0,17.0,17.0,3.0,1.0,6.0,2.0,169.0,3.0,4.0,121.0,707.0,6.0,6.0,34.0,12.0,397.0,24.0,,7.0,7.0,,,1.0,1.0,4.0,37.0,483.0,63.0,,94924,4.0,176.0,3.0,8.0,,192.0,5.0,,17.0,6.0,69.0,2.0,5.0,,23.0,3.0,3.0,2.0,44.0,406.0,6.0,12.0,,16.0,71.0,,,,0.0,,1.0,4.0,,1.0,1.0,3.0,,2.0,62.3,30.0,2.0,3.0,1.0,5.0,2.0,49.0,8.0,,496.0,12.0,22.0,9.0,6.0,40.0,2.0,4.0,329.0,3.0,3.0,11.0,106.0,23.0,3.0,7.0,14.0,6.0,3.0,11.0,3.0,7.0,8.0,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,2.0,1.0,,2.0,,2.0,,2.0,2.0,,,2.0,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,987737,2018-12-04 20:00:00,"Vicarage Road, Watford",20389,Home,Watford,Manchester City,1,2,L,0,1,0,0,52.0,1.0,,24.0,35.0,3.0,1.0,8.0,4.0,133.0,,3.0,7.0,1.0,1.0,8.0,7.0,66.0,143.0,62.0,,11.0,1.0,16.0,5.0,,,,1.0,,8.0,15.0,1.0,35.0,3.0,1.0,28.0,102.0,,0.0,96.0,4.0,1.0,1.0,1.0,46.0,23.0,7.0,42.0,1.0,1.0,5.0,21.0,3.0,,1.0,1.0,143.0,2.0,12.0,67.0,491.0,6.0,18.0,27.0,8.0,192.0,26.0,,13.0,16.0,,,0.0,3.0,1.0,14.0,283.0,39.0,1.0,94924,5.0,105.0,2.0,3.0,1.0,128.0,2.0,1.0,21.0,9.0,45.0,,,1.0,12.0,3.0,3.0,1.0,63.0,204.0,7.0,9.0,2.0,32.0,72.0,,1.0,,0.0,,,12.0,1.0,5.0,0.0,2.0,,2.0,29.9,12.0,,6.0,1.0,,2.0,36.0,3.0,2.0,308.0,8.0,9.0,12.0,2.0,17.0,1.0,1.0,188.0,8.0,,31.0,46.0,14.0,2.0,16.0,18.0,9.0,3.0,14.0,2.0,10.0,3.0,,1.0,1.0,,1.0,5.0,,,,4.0,2.0,,,4.0,4.0,2.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,
16,987747,2018-12-10 20:00:00,"Goodison Park, Liverpool",38400,Away,Watford,Everton,2,2,D,0,1,0,0,73.0,3.0,,25.0,27.0,4.0,1.0,11.0,2.0,144.0,,2.0,12.0,2.0,6.0,8.0,3.0,74.0,170.0,72.0,2.0,15.0,2.0,21.0,1.0,1.0,1.0,,,3.0,15.0,13.0,1.0,27.0,3.0,2.0,28.0,119.0,,0.0,111.0,13.0,1.0,3.0,,28.0,55.0,2.0,43.0,1.0,3.0,12.0,19.0,4.0,2.0,3.0,1.0,170.0,1.0,10.0,60.0,542.0,7.0,9.0,26.0,13.0,203.0,33.0,,11.0,14.0,,1.0,1.0,2.0,6.0,25.0,298.0,55.0,,94924,7.0,100.0,1.0,6.0,2.0,126.0,6.0,,19.0,4.0,62.0,,2.0,1.0,14.0,2.0,2.0,,65.0,217.0,12.0,7.0,1.0,38.0,66.0,1.0,,,0.0,,3.0,6.0,2.0,3.0,0.0,2.0,,3.0,43.4,15.0,2.0,4.0,2.0,2.0,5.0,27.0,6.0,,321.0,13.0,12.0,11.0,7.0,30.0,,5.0,210.0,10.0,1.0,23.0,62.0,25.0,2.0,14.0,25.0,9.0,3.0,22.0,2.0,5.0,6.0,,1.0,,,,3.0,,,,2.0,2.0,,,4.0,3.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,3.0,2.0,2.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,
17,987760,2018-12-15 15:00:00,"Vicarage Road, Watford",20032,Home,Watford,Cardiff City,3,2,W,1,0,0,0,69.0,2.0,,30.0,14.0,8.0,3.0,9.0,4.0,214.0,,1.0,15.0,3.0,1.0,12.0,8.0,168.0,166.0,54.0,1.0,17.0,1.0,13.0,4.0,,1.0,3.0,,3.0,9.0,6.0,1.0,14.0,4.0,19.0,28.0,317.0,,0.0,196.0,7.0,1.0,,,55.0,80.0,7.0,105.0,,1.0,5.0,17.0,8.0,1.0,1.0,4.0,166.0,2.0,6.0,176.0,845.0,9.0,6.0,30.0,6.0,532.0,23.0,1.0,6.0,6.0,3.0,1.0,0.0,3.0,5.0,25.0,644.0,70.0,,94924,5.0,232.0,1.0,4.0,2.0,256.0,3.0,2.0,17.0,8.0,40.0,2.0,2.0,3.0,16.0,4.0,6.0,,65.0,548.0,5.0,3.0,,28.0,94.0,1.0,2.0,,0.0,1.0,2.0,,1.0,3.0,0.0,1.0,,,71.5,19.0,,4.0,3.0,2.0,3.0,61.0,5.0,1.0,663.0,6.0,9.0,16.0,6.0,35.0,,2.0,416.0,14.0,19.0,21.0,148.0,32.0,1.0,6.0,13.0,14.0,3.0,23.0,1.0,6.0,5.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,,,,2.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,
18,987770,2018-12-22 15:00:00,"London Stadium, London",56833,Away,Watford,West Ham United,2,0,W,1,0,0,0,59.0,2.0,,23.0,38.0,4.0,3.0,7.0,2.0,161.0,,1.0,13.0,2.0,1.0,6.0,5.0,87.0,158.0,69.0,,11.0,3.0,24.0,3.0,,1.0,1.0,1.0,,10.0,11.0,,38.0,4.0,6.0,33.0,174.0,1.0,0.0,142.0,11.0,,1.0,1.0,52.0,75.0,6.0,55.0,3.0,,6.0,24.0,4.0,,1.0,1.0,158.0,3.0,11.0,77.0,617.0,5.0,10.0,30.0,14.0,269.0,23.0,,7.0,23.0,1.0,1.0,2.0,6.0,,26.0,360.0,52.0,,94924,5.0,105.0,2.0,4.0,,122.0,5.0,2.0,24.0,6.0,65.0,2.0,2.0,1.0,19.0,7.0,2.0,,61.0,278.0,8.0,11.0,,30.0,65.0,,,,0.0,,1.0,10.0,2.0,4.0,0.0,1.0,1.0,,48.4,20.0,,3.0,1.0,2.0,5.0,33.0,4.0,1.0,380.0,14.0,15.0,17.0,1.0,30.0,,,268.0,8.0,5.0,23.0,91.0,26.0,3.0,23.0,25.0,9.0,3.0,17.0,3.0,8.0,4.0,1.0,2.0,,1.0,2.0,7.0,,,,3.0,1.0,2.0,1.0,2.0,5.0,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,
19,987781,2018-12-26 19:30:00,"Vicarage Road, Watford",20415,Home,Watford,Chelsea,1,2,L,1,1,0,0,61.0,2.0,1.0,34.0,12.0,3.0,4.0,8.0,,149.0,,5.0,10.0,1.0,2.0,8.0,2.0,98.0,131.0,53.0,,11.0,1.0,15.0,1.0,1.0,,,1.0,1.0,11.0,12.0,,12.0,2.0,4.0,32.0,178.0,,0.0,130.0,15.0,1.0,1.0,,51.0,64.0,3.0,64.0,,3.0,9.0,16.0,3.0,,3.0,1.0,131.0,1.0,8.0,81.0,552.0,6.0,8.0,25.0,12.0,293.0,24.0,1.0,9.0,5.0,1.0,,1.0,1.0,5.0,16.0,369.0,52.0,,94924,6.0,132.0,2.0,5.0,,147.0,8.0,1.0,16.0,12.0,59.0,,,,20.0,2.0,3.0,1.0,81.0,305.0,5.0,18.0,1.0,35.0,75.0,,,,0.0,,2.0,4.0,,3.0,0.0,4.0,1.0,2.0,35.0,12.0,2.0,10.0,,,3.0,35.0,3.0,,392.0,12.0,8.0,17.0,6.0,25.0,1.0,5.0,256.0,5.0,4.0,20.0,89.0,23.0,3.0,5.0,18.0,7.0,3.0,14.0,3.0,9.0,3.0,1.0,,,1.0,,2.0,,,1.0,2.0,,,,,2.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
20,987791,2018-12-29 15:00:00,"Vicarage Road, Watford",20336,Home,Watford,Newcastle United,1,1,D,0,1,0,0,61.0,1.0,,45.0,28.0,7.0,3.0,5.0,2.0,171.0,,1.0,15.0,1.0,5.0,6.0,5.0,172.0,148.0,67.0,3.0,12.0,4.0,23.0,2.0,,3.0,1.0,3.0,,22.0,4.0,2.0,28.0,3.0,9.0,38.0,260.0,,0.0,156.0,17.0,,4.0,2.0,74.0,72.0,6.0,63.0,1.0,,19.0,14.0,7.0,3.0,6.0,1.0,148.0,2.0,3.0,160.0,787.0,5.0,5.0,22.0,7.0,465.0,27.0,,11.0,17.0,1.0,3.0,1.0,2.0,,26.0,546.0,57.0,,94924,5.0,225.0,1.0,9.0,1.0,247.0,8.0,,14.0,3.0,69.0,2.0,8.0,1.0,14.0,5.0,3.0,2.0,68.0,484.0,15.0,8.0,,22.0,82.0,1.0,1.0,,0.0,,4.0,6.0,1.0,3.0,0.0,1.0,1.0,2.0,62.7,22.0,,3.0,,8.0,5.0,60.0,3.0,2.0,566.0,7.0,12.0,22.0,2.0,36.0,,1.0,341.0,7.0,6.0,31.0,118.0,20.0,5.0,17.0,7.0,7.0,3.0,25.0,5.0,7.0,3.0,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,987792,2019-01-02 19:45:00,"Vitality Stadium, Bournemouth",10261,Away,Watford,Bournemouth,3,3,D,3,3,0,0,71.0,2.0,,30.0,23.0,5.0,4.0,6.0,,170.0,,1.0,2.0,3.0,3.0,9.0,3.0,86.0,147.0,61.0,,11.0,,26.0,,1.0,,2.0,,1.0,6.0,11.0,,23.0,2.0,8.0,38.0,125.0,,0.0,123.0,15.0,1.0,,1.0,36.0,48.0,4.0,35.0,1.0,2.0,4.0,11.0,5.0,,3.0,4.0,147.0,,18.0,88.0,550.0,6.0,20.0,18.0,11.0,250.0,27.0,,16.0,13.0,2.0,,4.0,5.0,5.0,19.0,353.0,55.0,,94924,4.0,142.0,,1.0,1.0,162.0,12.0,1.0,11.0,7.0,66.0,1.0,2.0,3.0,7.0,7.0,3.0,2.0,77.0,266.0,8.0,10.0,1.0,42.0,85.0,,,1.0,0.0,,2.0,4.0,2.0,5.0,0.0,1.0,1.0,2.0,43.0,16.0,1.0,3.0,1.0,2.0,2.0,37.0,2.0,1.0,379.0,11.0,10.0,20.0,6.0,26.0,,2.0,223.0,5.0,7.0,34.0,69.0,30.0,1.0,13.0,17.0,9.0,3.0,7.0,1.0,10.0,2.0,,1.0,,2.0,4.0,9.0,1.0,,1.0,5.0,,,,2.0,5.0,3.0,,2.0,3.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
22,987806,2019-01-12 15:00:00,"Selhurst Park, London",25010,Away,Watford,Crystal Palace,2,1,W,0,1,0,0,52.0,1.0,1.0,24.0,38.0,6.0,4.0,9.0,,130.0,,3.0,13.0,2.0,5.0,9.0,2.0,82.0,146.0,64.0,2.0,16.0,4.0,23.0,,,1.0,,,3.0,16.0,7.0,,38.0,7.0,6.0,24.0,153.0,,0.0,116.0,11.0,,2.0,1.0,52.0,35.0,3.0,40.0,1.0,1.0,9.0,17.0,7.0,2.0,3.0,3.0,146.0,,10.0,82.0,577.0,7.0,9.0,19.0,15.0,245.0,21.0,,6.0,18.0,1.0,1.0,4.0,3.0,6.0,21.0,309.0,43.0,,94924,7.0,110.0,2.0,4.0,3.0,138.0,6.0,1.0,17.0,11.0,76.0,1.0,2.0,,20.0,6.0,4.0,1.0,49.0,260.0,11.0,11.0,1.0,19.0,57.0,1.0,,1.0,0.0,,2.0,7.0,2.0,3.0,0.0,1.0,1.0,2.0,44.7,17.0,1.0,8.0,,2.0,5.0,37.0,7.0,1.0,334.0,15.0,21.0,13.0,9.0,29.0,2.0,4.0,212.0,10.0,5.0,25.0,82.0,17.0,3.0,18.0,15.0,8.0,3.0,23.0,3.0,9.0,7.0,,,,,4.0,6.0,,,,3.0,,,1.0,2.0,2.0,1.0,,,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,,2.0,,,,,,,,
23,987820,2019-01-19 15:00:00,"Vicarage Road, Watford",19510,Home,Watford,Burnley,0,0,D,0,0,0,0,54.0,2.0,,30.0,35.0,3.0,2.0,6.0,3.0,154.0,,4.0,3.0,,,8.0,4.0,107.0,153.0,65.0,,9.0,,41.0,3.0,1.0,,,3.0,,14.0,14.0,1.0,35.0,1.0,6.0,29.0,142.0,1.0,0.0,107.0,14.0,,1.0,2.0,36.0,60.0,6.0,59.0,,2.0,13.0,6.0,3.0,,3.0,2.0,153.0,2.0,9.0,92.0,605.0,8.0,7.0,14.0,10.0,297.0,17.0,,12.0,17.0,,,1.0,2.0,2.0,18.0,379.0,55.0,,94924,4.0,171.0,2.0,9.0,,196.0,8.0,,6.0,14.0,69.0,2.0,5.0,,22.0,3.0,5.0,1.0,83.0,309.0,9.0,5.0,,44.0,94.0,,,,0.0,,2.0,7.0,,3.0,0.0,4.0,,,54.8,16.0,,2.0,1.0,5.0,2.0,38.0,1.0,2.0,412.0,10.0,9.0,18.0,3.0,25.0,,1.0,230.0,6.0,5.0,39.0,70.0,24.0,2.0,17.0,17.0,9.0,2.0,6.0,2.0,1.0,1.0,1.0,,,,1.0,3.0,,1.0,,1.0,1.0,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,987831,2019-01-30 20:00:00,"Wembley Stadium, London",29164,Away,Watford,Tottenham Hotspur,1,2,L,1,0,0,0,78.0,2.0,,26.0,36.0,3.0,5.0,6.0,,126.0,1.0,,4.0,1.0,1.0,6.0,1.0,55.0,147.0,46.0,,9.0,1.0,17.0,,,1.0,,,1.0,14.0,12.0,,36.0,3.0,4.0,25.0,91.0,,0.0,86.0,9.0,,1.0,1.0,30.0,32.0,2.0,43.0,3.0,3.0,11.0,20.0,3.0,,,2.0,147.0,,10.0,50.0,478.0,6.0,5.0,16.0,9.0,170.0,33.0,1.0,11.0,13.0,,1.0,4.0,8.0,4.0,12.0,245.0,44.0,,94924,4.0,92.0,,10.0,1.0,127.0,7.0,,20.0,5.0,57.0,1.0,2.0,,11.0,7.0,1.0,,76.0,183.0,6.0,15.0,,41.0,60.0,,,1.0,0.0,,5.0,9.0,1.0,4.0,0.0,,,1.0,31.5,7.0,,4.0,1.0,2.0,3.0,17.0,5.0,1.0,274.0,9.0,10.0,12.0,5.0,21.0,,3.0,161.0,3.0,4.0,19.0,53.0,21.0,8.0,13.0,18.0,6.0,2.0,10.0,8.0,10.0,5.0,,,,,1.0,4.0,,,,3.0,,,,5.0,,2.0,,,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,987832,2019-02-02 15:00:00,"American Express Stadium, Falmer",30414,Away,Watford,Brighton and Hove Albion,0,0,D,0,0,0,0,55.0,,,19.0,32.0,1.0,2.0,4.0,,165.0,,2.0,4.0,,,4.0,,82.0,167.0,68.0,,5.0,,26.0,,1.0,,,,2.0,12.0,11.0,,32.0,,5.0,27.0,135.0,1.0,0.0,96.0,10.0,,1.0,1.0,42.0,49.0,,63.0,2.0,2.0,12.0,12.0,1.0,,3.0,1.0,167.0,,13.0,73.0,600.0,4.0,13.0,13.0,17.0,251.0,28.0,1.0,9.0,14.0,,,0.0,4.0,4.0,24.0,345.0,42.0,,94924,3.0,136.0,,8.0,,161.0,5.0,,12.0,18.0,75.0,,1.0,,15.0,8.0,4.0,,78.0,269.0,15.0,19.0,,40.0,87.0,,,1.0,0.0,,2.0,7.0,,5.0,0.0,2.0,,2.0,44.9,19.0,2.0,5.0,,1.0,,36.0,,1.0,383.0,17.0,15.0,12.0,5.0,27.0,,4.0,234.0,1.0,4.0,24.0,59.0,17.0,2.0,14.0,27.0,5.0,2.0,10.0,2.0,6.0,,,,,,,4.0,,,,3.0,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
26,987850,2019-02-09 15:00:00,"Vicarage Road, Watford",20333,Home,Watford,Everton,1,0,W,0,0,0,1,59.0,1.0,1.0,26.0,28.0,2.0,2.0,5.0,1.0,144.0,,2.0,2.0,1.0,2.0,5.0,2.0,79.0,173.0,54.0,,7.0,1.0,45.0,1.0,,1.0,,,,19.0,14.0,,28.0,6.0,2.0,35.0,136.0,1.0,0.0,132.0,21.0,,1.0,,46.0,46.0,2.0,49.0,,2.0,13.0,23.0,2.0,,5.0,1.0,173.0,2.0,8.0,55.0,522.0,3.0,8.0,24.0,12.0,206.0,26.0,,15.0,16.0,1.0,1.0,2.0,1.0,3.0,25.0,297.0,62.0,,94924,2.0,86.0,1.0,7.0,1.0,107.0,10.0,1.0,23.0,9.0,100.0,,1.0,,13.0,1.0,2.0,1.0,79.0,220.0,9.0,15.0,1.0,45.0,71.0,,,,0.0,,1.0,2.0,1.0,5.0,0.0,1.0,1.0,,44.0,12.0,,3.0,1.0,1.0,2.0,27.0,8.0,,327.0,12.0,13.0,11.0,3.0,30.0,1.0,2.0,239.0,5.0,2.0,21.0,78.0,22.0,,16.0,22.0,4.0,3.0,11.0,,10.0,8.0,,1.0,1.0,,,4.0,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
