gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,attLfTarget,bigChanceScored,attGoalLowRight,attLfTotal,attLfGoal,attRfTarget,accuratePullBack,attIboxTarget,attOboxTarget,totalCornersIntobox,penaltyWon,attSvLowLeft,freekickCross,attGoalHighCentre,attHdTarget,attMissHighLeft,offtargetAttAssist,accurateFreekickCross,attSetpiece,totalPullBack,attCmissHighLeft,attMissHigh,attPenGoal,attAssistSetplay,attCorner,attSvLowRight,attHdTotal,attHdMiss,attBxLeft,attSvHighCentre,cornerTaken,accurateCornersIntobox,attIboxMiss,wonCorners,shotFastbreak,attSvLowCentre,cleanSheet,totalFastbreak,attSvHighLeft,interceptionsInBox,attMissRight,bigChanceCreated,errorLeadToShot,bigChanceMissed,attCmissHigh,attFastbreak,attHdGoal,attSvHighRight,ptsGainedLosingPos,goodHighClaim,hitWoodwork,clearanceOffLine,totalHighClaim,goalsConcededObox,attCmissRight,sixYardBlock,shieldBallOop,foulThrowIn,attGoalHighRight,attMissHighRight,attOboxGoal,contentiousDecision,attGoalHighLeft,goalAssistSetplay,attObxLeft,postScoringAtt,defenderGoals,attOboxPost,attPostRight,errorLeadToGoal,attOboxOwnGoal,ownGoals,attIboxPost,attPostLeft,attHdPost,attPostHigh,attOneOnOne,ptsDroppedWinningPos,winningGoal,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,goalFastbreak,goalAssistDeadball,attIboxOwnGoal,attCmissHighRight,penaltySave,attLgCentre
11,2128389,2020-12-05 20:00:00,"Stamford Bridge, London",2000.0,Away,Leeds United,Chelsea,1,3,L,1,1,0,0,,29.0,56.0,1.0,1.0,1.0,22.0,19.0,3.0,5.0,7.0,138.0,,15.0,1.0,13.0,1.0,,6.0,3.0,134.0,149.0,66.0,,8.0,,11.0,,,1.0,2.0,14.0,18.0,19.0,6.0,47.0,145.0,0.0,108.0,9.0,1.0,,65.0,62.0,3.0,72.0,11.0,18.0,3.0,,5.0,1.0,149.0,19.0,137.0,705.0,4.0,,15.0,6.0,369.0,27.0,,9.0,1.0,,2.0,5.0,21.0,455.0,51.0,1.0,87873,3.0,251.0,6.0,,274.0,8.0,,18.0,8.0,52.0,1.0,4.0,8.0,1.0,23.0,4.0,8.0,49.0,395.0,12.0,12.0,9.0,59.0,,,0.0,1.0,8.0,7.0,1.0,3.0,,0.0,,1.0,54.2,19.0,3.0,8.0,1.0,26.0,,481.0,,6.0,,16.0,23.0,4.0,22.0,221.0,1.0,5.0,11.0,67.0,18.0,1.0,,9.0,30.0,3.0,6.0,3.0,17.0,,11.0,2.0,1.0,,7.0,1.0,,,,2.0,4.0,,1.0,,,,,3.0,,,,,2.0,,1.0,2.0,,,,2.0,,4.0,2.0,3.0,4.0,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,
12,2128400,2020-12-11 20:00:00,"Elland Road, Leeds",,Home,Leeds United,West Ham United,1,2,L,1,1,0,0,,30.0,62.0,0.0,1.0,1.0,29.0,15.0,3.0,10.0,6.0,159.0,0.0,17.0,5.0,11.0,1.0,3.0,9.0,7.0,156.0,135.0,52.0,,13.0,,24.0,2.0,,,3.0,27.0,10.0,15.0,5.0,45.0,204.0,0.0,160.0,12.0,4.0,1.0,63.0,74.0,5.0,78.0,23.0,20.0,3.0,,10.0,1.0,135.0,12.0,151.0,747.0,8.0,,24.0,16.0,450.0,29.0,2.0,7.0,,,1.0,3.0,17.0,526.0,71.0,,87873,6.0,266.0,10.0,,287.0,6.0,1.0,20.0,8.0,58.0,,2.0,11.0,0.0,19.0,7.0,5.0,53.0,465.0,9.0,11.0,7.0,49.0,2.0,1.0,0.0,1.0,6.0,5.0,1.0,2.0,,0.0,5.0,,64.0,17.0,4.0,11.0,1.0,33.0,,544.0,,16.0,,10.0,23.0,5.0,48.0,284.0,1.0,5.0,15.0,114.0,18.0,,1.0,7.0,17.0,2.0,8.0,3.0,13.0,1.0,10.0,4.0,1.0,1.0,8.0,0.0,,,4.0,2.0,4.0,1.0,,3.0,0.0,2.0,,4.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,4.0,2.0,,,5.0,,4.0,5.0,1.0,5.0,,1.0,,1.0,2.0,,,,,1.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,1.0,0.0,,,,0.0,,,,,0.0,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,
13,2128409,2020-12-16 18:00:00,"Elland Road, Leeds",,Home,Leeds United,Newcastle United,5,2,W,1,1,0,0,,29.0,63.0,1.0,,4.0,29.0,12.0,8.0,17.0,2.0,177.0,1.0,16.0,11.0,7.0,5.0,2.0,20.0,10.0,134.0,145.0,50.0,,25.0,3.0,19.0,1.0,,4.0,2.0,36.0,6.0,12.0,3.0,43.0,272.0,0.0,198.0,10.0,2.0,2.0,95.0,74.0,14.0,83.0,30.0,20.0,8.0,,11.0,4.0,145.0,8.0,139.0,728.0,14.0,6.0,47.0,19.0,421.0,25.0,1.0,8.0,4.0,,3.0,1.0,17.0,507.0,64.0,,87873,12.0,183.0,18.0,,204.0,6.0,,20.0,8.0,51.0,1.0,4.0,5.0,5.0,16.0,2.0,6.0,45.0,444.0,12.0,14.0,6.0,64.0,,1.0,0.0,2.0,4.0,2.0,4.0,2.0,3.0,0.0,8.0,3.0,68.7,16.0,4.0,5.0,7.0,47.0,,533.0,,19.0,,4.0,31.0,8.0,55.0,365.0,4.0,3.0,18.0,152.0,28.0,1.0,,8.0,13.0,2.0,21.0,3.0,11.0,,6.0,3.0,3.0,1.0,13.0,2.0,,,5.0,,6.0,,2.0,1.0,1.0,2.0,,6.0,,1.0,,,4.0,,2.0,3.0,1.0,7.0,2.0,2.0,,7.0,3.0,4.0,7.0,2.0,1.0,,4.0,,2.0,2.0,2.0,,,,2.0,3.0,1.0,3.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,
14,2128421,2020-12-20 16:30:00,"Old Trafford, Manchester",,Away,Leeds United,Manchester United,2,6,L,1,4,0,0,,32.0,65.0,,2.0,5.0,30.0,12.0,3.0,14.0,8.0,156.0,,17.0,7.0,4.0,2.0,,13.0,4.0,133.0,151.0,43.0,,17.0,2.0,17.0,1.0,,1.0,1.0,35.0,9.0,12.0,9.0,51.0,184.0,0.0,137.0,6.0,9.0,,87.0,63.0,9.0,73.0,22.0,25.0,3.0,,7.0,,151.0,19.0,116.0,694.0,9.0,1.0,29.0,13.0,379.0,28.0,1.0,6.0,2.0,,0.0,6.0,22.0,459.0,58.0,1.0,87873,10.0,221.0,15.0,1.0,247.0,5.0,1.0,25.0,4.0,61.0,1.0,4.0,7.0,1.0,15.0,7.0,4.0,56.0,398.0,5.0,19.0,7.0,53.0,1.0,1.0,0.0,2.0,11.0,6.0,1.0,6.0,1.0,0.0,4.0,1.0,58.5,20.0,7.0,8.0,7.0,32.0,1.0,478.0,1.0,13.0,,12.0,26.0,6.0,46.0,266.0,4.0,9.0,18.0,100.0,23.0,,,6.0,16.0,5.0,13.0,3.0,11.0,,9.0,1.0,,1.0,7.0,,,,2.0,,13.0,,1.0,,,1.0,,4.0,,,1.0,,2.0,,2.0,4.0,,5.0,3.0,2.0,,13.0,3.0,6.0,13.0,,,,,1.0,1.0,3.0,2.0,1.0,3.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,
15,2128429,2020-12-27 12:00:00,"Elland Road, Leeds",,Home,Leeds United,Burnley,1,0,W,1,0,0,0,,35.0,64.0,,2.0,2.0,28.0,36.0,5.0,6.0,6.0,181.0,,16.0,1.0,8.0,1.0,1.0,7.0,4.0,92.0,154.0,57.0,,11.0,,18.0,3.0,,,1.0,12.0,9.0,36.0,1.0,55.0,104.0,0.0,72.0,8.0,2.0,,33.0,61.0,4.0,54.0,9.0,19.0,5.0,,2.0,3.0,154.0,10.0,97.0,629.0,7.0,2.0,19.0,8.0,298.0,36.0,3.0,17.0,,,0.0,3.0,18.0,398.0,46.0,1.0,87873,3.0,212.0,6.0,,259.0,4.0,,19.0,9.0,46.0,1.0,3.0,8.0,,20.0,4.0,5.0,75.0,315.0,14.0,9.0,18.0,73.0,,5.0,0.0,,12.0,4.0,1.0,,,0.0,1.0,,51.4,18.0,1.0,8.0,2.0,38.0,,424.0,,8.0,,5.0,21.0,5.0,20.0,177.0,4.0,1.0,22.0,41.0,16.0,1.0,6.0,17.0,17.0,,9.0,3.0,14.0,6.0,8.0,2.0,1.0,,6.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,,,3.0,,1.0,2.0,,2.0,1.0,,,1.0,1.0,1.0,,,4.0,,2.0,4.0,1.0,,1.0,1.0,,,1.0,2.0,,2.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2128445,2020-12-29 18:00:00,"The Hawthorns, West Bromwich",,Away,Leeds United,West Bromwich Albion,5,0,W,4,0,0,0,,30.0,61.0,1.0,,3.0,40.0,20.0,6.0,8.0,1.0,201.0,,16.0,5.0,14.0,5.0,2.0,12.0,6.0,211.0,130.0,58.0,,14.0,2.0,18.0,,,3.0,1.0,28.0,5.0,20.0,11.0,49.0,279.0,0.0,190.0,10.0,,3.0,84.0,77.0,9.0,144.0,19.0,11.0,6.0,,6.0,,130.0,2.0,206.0,931.0,8.0,4.0,26.0,6.0,664.0,28.0,3.0,7.0,3.0,,1.0,1.0,13.0,747.0,65.0,1.0,87873,5.0,403.0,13.0,,427.0,6.0,,11.0,5.0,41.0,1.0,1.0,11.0,4.0,13.0,2.0,5.0,62.0,679.0,6.0,3.0,14.0,64.0,,3.0,0.0,,3.0,1.0,2.0,,1.0,0.0,4.0,2.0,75.6,13.0,3.0,11.0,5.0,44.0,,762.0,,6.0,,4.0,31.0,3.0,46.0,361.0,4.0,10.0,26.0,150.0,19.0,,2.0,7.0,13.0,,13.0,3.0,20.0,2.0,4.0,1.0,1.0,1.0,7.0,4.0,1.0,1.0,,2.0,9.0,,1.0,,,,,3.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,10.0,1.0,3.0,10.0,,,1.0,,,,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,2.0,,,1.0,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
17,2128454,2021-01-02 12:30:00,"Tottenham Hotspur Stadium, London",,Away,Leeds United,Tottenham Hotspur,0,3,L,0,2,0,1,,37.0,82.0,,,2.0,26.0,8.0,8.0,10.0,4.0,169.0,,24.0,4.0,12.0,,1.0,13.0,5.0,172.0,158.0,55.0,,18.0,2.0,14.0,2.0,,,2.0,24.0,12.0,8.0,6.0,50.0,196.0,0.0,141.0,13.0,1.0,,84.0,55.0,6.0,78.0,19.0,19.0,8.0,,8.0,4.0,158.0,14.0,172.0,796.0,13.0,3.0,31.0,14.0,473.0,39.0,1.0,5.0,,,1.0,4.0,20.0,563.0,54.0,,87873,6.0,309.0,11.0,1.0,340.0,9.0,,19.0,9.0,70.0,,1.0,4.0,,19.0,6.0,9.0,46.0,501.0,15.0,19.0,8.0,51.0,1.0,,0.0,1.0,3.0,4.0,,3.0,1.0,0.0,4.0,,63.3,17.0,7.0,4.0,4.0,35.0,1.0,591.0,1.0,14.0,,9.0,28.0,9.0,33.0,275.0,6.0,6.0,8.0,98.0,32.0,,,5.0,20.0,3.0,17.0,3.0,27.0,,5.0,2.0,,,9.0,,2.0,,3.0,2.0,5.0,,,,,1.0,,7.0,,,2.0,,3.0,,,1.0,3.0,3.0,2.0,2.0,,5.0,,5.0,5.0,,2.0,,,,3.0,4.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2128459,2021-02-23 18:00:00,"Elland Road, Leeds",,Home,Leeds United,Southampton,3,0,W,0,0,0,0,,20.0,69.0,2.0,1.0,,20.0,20.0,2.0,9.0,5.0,134.0,,9.0,3.0,6.0,3.0,4.0,9.0,7.0,72.0,149.0,50.0,1.0,11.0,,12.0,,2.0,2.0,,8.0,15.0,20.0,5.0,34.0,72.0,0.0,65.0,11.0,2.0,1.0,32.0,30.0,5.0,43.0,7.0,14.0,2.0,1.0,2.0,,149.0,8.0,70.0,520.0,7.0,4.0,23.0,10.0,199.0,32.0,5.0,6.0,2.0,2.0,1.0,2.0,20.0,297.0,35.0,1.0,87873,9.0,147.0,2.0,,194.0,8.0,,14.0,9.0,64.0,1.0,1.0,12.0,2.0,16.0,5.0,6.0,50.0,216.0,12.0,23.0,20.0,51.0,,,0.0,1.0,4.0,4.0,1.0,,1.0,0.0,2.0,1.0,46.7,16.0,1.0,13.0,,26.0,,319.0,,10.0,,9.0,12.0,4.0,18.0,133.0,5.0,4.0,7.0,35.0,22.0,2.0,2.0,6.0,25.0,,9.0,3.0,15.0,2.0,6.0,2.0,,1.0,6.0,3.0,2.0,3.0,4.0,,1.0,,,3.0,,,,4.0,1.0,1.0,3.0,,3.0,,,,,,,,,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,,1.0,1.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
19,2128469,2021-01-16 15:00:00,"Elland Road, Leeds",,Home,Leeds United,Brighton and Hove Albion,0,1,L,0,1,0,0,,35.0,71.0,,1.0,1.0,16.0,13.0,3.0,4.0,1.0,177.0,,14.0,5.0,18.0,,1.0,4.0,2.0,167.0,158.0,54.0,,7.0,1.0,14.0,2.0,,,2.0,29.0,7.0,13.0,7.0,54.0,197.0,0.0,155.0,8.0,1.0,,80.0,77.0,4.0,74.0,25.0,19.0,3.0,,14.0,2.0,158.0,5.0,183.0,795.0,3.0,2.0,21.0,10.0,477.0,34.0,2.0,6.0,,,1.0,2.0,21.0,579.0,57.0,,87873,2.0,305.0,11.0,,327.0,6.0,,19.0,10.0,40.0,,3.0,10.0,,16.0,2.0,10.0,47.0,497.0,9.0,9.0,7.0,72.0,,1.0,0.0,1.0,2.0,,,1.0,1.0,0.0,3.0,,66.6,21.0,4.0,10.0,2.0,42.0,,601.0,,10.0,,8.0,20.0,3.0,42.0,303.0,3.0,7.0,14.0,101.0,23.0,,2.0,6.0,13.0,1.0,6.0,3.0,20.0,2.0,6.0,,,,3.0,,1.0,,2.0,,4.0,,,,,1.0,,,,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,5.0,2.0,1.0,5.0,,1.0,,,,,,,1.0,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2128483,2021-01-26 18:00:00,"St. James' Park, Newcastle",,Away,Leeds United,Newcastle United,2,1,W,1,0,0,0,2.0,30.0,68.0,1.0,3.0,3.0,36.0,21.0,1.0,8.0,4.0,173.0,,14.0,2.0,8.0,2.0,1.0,8.0,2.0,105.0,161.0,59.0,,9.0,,25.0,1.0,1.0,2.0,2.0,11.0,7.0,21.0,3.0,62.0,115.0,0.0,104.0,15.0,2.0,2.0,48.0,47.0,5.0,58.0,7.0,13.0,1.0,,1.0,1.0,161.0,9.0,114.0,627.0,5.0,4.0,24.0,8.0,313.0,30.0,5.0,11.0,2.0,1.0,3.0,7.0,26.0,424.0,38.0,,87873,5.0,217.0,5.0,,264.0,8.0,,13.0,13.0,64.0,,,5.0,2.0,19.0,13.0,7.0,78.0,330.0,9.0,16.0,19.0,65.0,,1.0,0.0,,9.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,57.7,24.0,4.0,5.0,3.0,29.0,,450.0,,8.0,,9.0,27.0,4.0,27.0,197.0,2.0,2.0,27.0,58.0,25.0,,4.0,11.0,15.0,1.0,8.0,3.0,10.0,4.0,4.0,,,1.0,6.0,2.0,,,,,4.0,,,1.0,,,,3.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,4.0,,2.0,5.0,2.0,,,3.0,,1.0,1.0,,,,,2.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,
21,2128491,2021-01-31 14:00:00,"King Power Stadium, Leicester",,Away,Leeds United,Leicester City,3,1,W,1,1,0,0,,40.0,79.0,1.0,5.0,,12.0,19.0,1.0,7.0,7.0,138.0,,23.0,2.0,4.0,3.0,,8.0,7.0,109.0,161.0,59.0,,8.0,1.0,22.0,,,3.0,,9.0,16.0,19.0,8.0,46.0,92.0,0.0,66.0,16.0,5.0,2.0,37.0,49.0,8.0,53.0,5.0,17.0,1.0,,2.0,,161.0,7.0,89.0,611.0,3.0,4.0,14.0,19.0,262.0,25.0,2.0,8.0,3.0,,3.0,6.0,20.0,362.0,42.0,1.0,87873,3.0,191.0,2.0,,230.0,13.0,2.0,17.0,7.0,65.0,2.0,2.0,12.0,3.0,21.0,11.0,6.0,53.0,281.0,17.0,12.0,23.0,69.0,,1.0,0.0,2.0,6.0,2.0,3.0,1.0,2.0,0.0,,3.0,49.2,15.0,2.0,13.0,1.0,30.0,,389.0,,19.0,,9.0,16.0,,19.0,168.0,4.0,6.0,12.0,37.0,38.0,1.0,3.0,8.0,27.0,1.0,6.0,2.0,10.0,3.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,,4.0,,4.0,,,1.0,,1.0,,,,,,,,,2.0,2.0,2.0,1.0,,2.0,1.0,4.0,2.0,,4.0,2.0,,,4.0,1.0,1.0,,4.0,,2.0,,2.0,,,3.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
22,2128499,2021-02-03 19:30:00,"Elland Road, Leeds",,Home,Leeds United,Everton,1,2,L,0,2,0,0,,38.0,63.0,1.0,1.0,2.0,14.0,11.0,4.0,12.0,4.0,205.0,,15.0,5.0,9.0,1.0,5.0,13.0,7.0,139.0,156.0,48.0,,16.0,1.0,24.0,1.0,,1.0,,25.0,11.0,11.0,5.0,32.0,221.0,0.0,178.0,12.0,1.0,1.0,78.0,76.0,7.0,75.0,19.0,29.0,4.0,,7.0,,156.0,6.0,142.0,767.0,8.0,2.0,31.0,11.0,448.0,30.0,1.0,5.0,1.0,,2.0,,25.0,544.0,60.0,,87873,7.0,248.0,8.0,,278.0,9.0,,29.0,4.0,63.0,,,5.0,1.0,23.0,4.0,4.0,39.0,464.0,12.0,14.0,14.0,55.0,,,0.0,2.0,1.0,3.0,1.0,2.0,,0.0,4.0,1.0,63.2,24.0,8.0,5.0,3.0,34.0,,561.0,,11.0,,7.0,13.0,6.0,42.0,308.0,5.0,4.0,11.0,133.0,20.0,,2.0,5.0,16.0,2.0,12.0,3.0,15.0,2.0,11.0,3.0,,,6.0,1.0,2.0,,4.0,2.0,7.0,,,4.0,,1.0,,6.0,1.0,1.0,,,2.0,,4.0,2.0,2.0,5.0,3.0,1.0,1.0,7.0,2.0,4.0,7.0,,3.0,,,,,1.0,,,1.0,,,,,,2.0,2.0,,2.0,,,2.0,,,,1.0,,,,,,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
23,2128509,2021-02-08 20:00:00,"Elland Road, Leeds",,Home,Leeds United,Crystal Palace,2,0,W,1,0,0,0,,25.0,69.0,,2.0,2.0,23.0,11.0,3.0,14.0,3.0,192.0,,10.0,9.0,5.0,2.0,2.0,13.0,7.0,195.0,123.0,48.0,1.0,17.0,1.0,13.0,,,1.0,3.0,15.0,10.0,11.0,3.0,45.0,237.0,0.0,161.0,7.0,,1.0,72.0,99.0,9.0,116.0,11.0,14.0,3.0,1.0,3.0,1.0,123.0,5.0,211.0,883.0,9.0,2.0,26.0,6.0,614.0,21.0,1.0,4.0,1.0,,0.0,3.0,17.0,703.0,47.0,,87873,11.0,396.0,6.0,,419.0,3.0,1.0,14.0,3.0,39.0,,1.0,13.0,2.0,11.0,3.0,3.0,40.0,624.0,7.0,8.0,4.0,68.0,1.0,,0.0,3.0,3.0,1.0,2.0,,1.0,0.0,7.0,,68.2,16.0,8.0,13.0,3.0,51.0,,714.0,,6.0,1.0,8.0,25.0,7.0,31.0,310.0,3.0,3.0,14.0,112.0,27.0,1.0,3.0,4.0,22.0,,12.0,1.0,8.0,3.0,7.0,2.0,1.0,1.0,7.0,1.0,1.0,,4.0,1.0,4.0,,3.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,,,1.0,,3.0,3.0,1.0,7.0,4.0,1.0,,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,3.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
24,2128516,2021-02-14 16:30:00,"Emirates Stadium, London",,Away,Leeds United,Arsenal,2,4,L,0,3,0,0,2.0,41.0,74.0,,1.0,1.0,23.0,9.0,4.0,5.0,1.0,157.0,,15.0,2.0,7.0,2.0,,8.0,5.0,141.0,149.0,39.0,,9.0,1.0,12.0,,,1.0,,17.0,9.0,9.0,3.0,64.0,164.0,0.0,123.0,17.0,1.0,1.0,69.0,58.0,6.0,68.0,12.0,16.0,4.0,,4.0,2.0,149.0,8.0,132.0,655.0,6.0,5.0,17.0,11.0,378.0,34.0,2.0,4.0,2.0,,2.0,5.0,18.0,480.0,62.0,,87873,2.0,232.0,7.0,1.0,266.0,7.0,1.0,16.0,4.0,39.0,,,7.0,1.0,21.0,5.0,4.0,66.0,394.0,8.0,7.0,17.0,67.0,,,0.0,2.0,4.0,,2.0,4.0,2.0,0.0,1.0,2.0,54.1,16.0,3.0,7.0,2.0,29.0,1.0,498.0,1.0,11.0,,4.0,24.0,2.0,25.0,249.0,3.0,3.0,14.0,85.0,28.0,,1.0,4.0,10.0,4.0,8.0,3.0,8.0,1.0,7.0,1.0,1.0,,4.0,,1.0,1.0,2.0,1.0,5.0,,,1.0,,1.0,,2.0,,,2.0,,,,,1.0,,2.0,,2.0,1.0,5.0,1.0,,5.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,
25,2128535,2021-02-19 20:00:00,"Molineux Stadium, Wolverhampton",,Away,Leeds United,Wolverhampton Wanderers,0,1,L,0,0,0,0,1.0,36.0,54.0,,3.0,5.0,32.0,14.0,3.0,15.0,5.0,153.0,,17.0,10.0,4.0,,5.0,12.0,7.0,112.0,130.0,50.0,,18.0,1.0,12.0,2.0,1.0,,1.0,22.0,11.0,14.0,9.0,43.0,139.0,0.0,113.0,8.0,3.0,,69.0,60.0,7.0,73.0,14.0,13.0,3.0,,5.0,1.0,130.0,6.0,102.0,629.0,5.0,4.0,27.0,11.0,337.0,24.0,3.0,7.0,,1.0,0.0,5.0,19.0,422.0,55.0,,87873,10.0,224.0,4.0,,245.0,5.0,,13.0,6.0,42.0,,1.0,5.0,,13.0,10.0,6.0,59.0,353.0,11.0,6.0,13.0,59.0,,1.0,0.0,,7.0,2.0,,1.0,2.0,0.0,7.0,,59.0,19.0,4.0,5.0,6.0,29.0,,440.0,,11.0,,7.0,22.0,5.0,38.0,217.0,8.0,8.0,19.0,69.0,19.0,,3.0,7.0,18.0,1.0,8.0,3.0,14.0,3.0,4.0,2.0,,,4.0,,2.0,,6.0,1.0,9.0,,2.0,5.0,,3.0,,5.0,4.0,5.0,,,,,7.0,5.0,,6.0,2.0,,1.0,9.0,4.0,3.0,9.0,,3.0,,,1.0,,3.0,3.0,2.0,4.0,,,,,,1.0,1.0,,1.0,,1.0,3.0,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
26,2128539,2021-02-27 17:30:00,"Elland Road, Leeds",,Home,Leeds United,Aston Villa,0,1,L,0,1,0,0,1.0,27.0,65.0,,2.0,1.0,34.0,6.0,6.0,7.0,3.0,179.0,,12.0,3.0,8.0,,2.0,10.0,3.0,137.0,165.0,55.0,,13.0,4.0,21.0,1.0,,,2.0,27.0,10.0,6.0,10.0,44.0,195.0,0.0,147.0,14.0,2.0,,74.0,82.0,6.0,65.0,22.0,13.0,6.0,,8.0,2.0,165.0,6.0,136.0,701.0,7.0,5.0,23.0,7.0,393.0,28.0,7.0,3.0,,,3.0,2.0,32.0,497.0,56.0,,87873,4.0,221.0,11.0,,251.0,7.0,,13.0,5.0,60.0,,,3.0,,18.0,3.0,5.0,66.0,413.0,13.0,10.0,19.0,63.0,,,0.0,,5.0,1.0,,1.0,,0.0,2.0,,69.2,29.0,1.0,3.0,5.0,38.0,,517.0,,7.0,,8.0,20.0,5.0,40.0,293.0,6.0,8.0,16.0,101.0,33.0,,,3.0,18.0,1.0,9.0,3.0,16.0,,2.0,1.0,,,3.0,,,,3.0,,6.0,,,3.0,,2.0,,4.0,1.0,1.0,,,,,3.0,3.0,,4.0,1.0,1.0,2.0,7.0,2.0,3.0,7.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
