gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,freekickCross,goodHighClaim,interceptionsInBox,bigChanceMissed,attSetpiece,penaltyConceded,punches,goalsConceded,penaltyFaced,totalHighClaim,penGoalsConceded,goalsConcededIbox,attGoalLowLeft,penaltyWon,ptsGainedLosingPos,contentiousDecision,accurateFreekickCross,attPenGoal,attBxLeft,attLfGoal,attRfTarget,attIboxTarget,attSvLowCentre,attOboxTarget,attGoalHighCentre,attHdTarget,attSvLowRight,shieldBallOop,penaltySave,attLfTarget,attSvLowLeft,foulThrowIn,clearanceOffLine,ptsDroppedWinningPos,goalsConcededObox,attOboxGoal,sixYardBlock,defenderGoals,attFreekickGoal,attGoalLowCentre,attMissHighLeft,accurateThroughBall,totalThroughBall,attSvHighRight,errorLeadToGoal,postScoringAtt,attSvHighLeft,attLgCentre,hitWoodwork,errorLeadToShot,ownGoals,attOboxPost,attPostHigh,attIboxOwnGoal,goalFastbreak,attOneOnOne,attFreekickTarget,attSvHighCentre,attGoalHighRight,winningGoal,keeperGoals,subsGoals,attObpGoal,attHdGoal,goalAssistSetplay,goalAssistDeadball,attFreekickMiss,attCmissHigh,secondYellow,attLgLeft,attIboxPost,attCmissHighLeft,accurateKeeperSweeper,attPostLeft,totalKeeperSweeper,attPostRight,attObxdRight,attPenTarget,attFreekickPost,attObxRight
11,2128386,2021-01-23 20:00:00,"Villa Park, Birmingham",,Away,Newcastle United,Aston Villa,0,2,L,0,2,0,0,,26.0,53.0,,2.0,25.0,12.0,1.0,1.0,6.0,3.0,137.0,7.0,4.0,8.0,,,6.0,,1.0,87.0,141.0,45.0,,7.0,,16.0,1.0,1.0,,3.0,31.0,7.0,12.0,4.0,1.0,33.0,138.0,,,0.0,110.0,18.0,1.0,1.0,,54.0,64.0,3.0,56.0,1.0,27.0,25.0,1.0,,17.0,,141.0,,9.0,89.0,548.0,5.0,5.0,10.0,6.0,275.0,21.0,6.0,6.0,,3.0,3.0,3.0,28.0,348.0,56.0,90105,5.0,154.0,9.0,175.0,11.0,,,,25.0,9.0,48.0,2.0,4.0,,12.0,5.0,4.0,,57.0,288.0,9.0,3.0,1.0,14.0,3.0,63.0,1.0,,,0.0,4.0,5.0,2.0,,2.0,,0.0,3.0,,2.0,40.8,24.0,2.0,2.0,4.0,2.0,32.0,4.0,369.0,6.0,5.0,10.0,4.0,32.0,1.0,4.0,225.0,3.0,1.0,14.0,74.0,25.0,,,6.0,14.0,4.0,3.0,14.0,,7.0,4.0,,1.0,1.0,,1.0,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2128403,2020-12-12 15:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,West Bromwich Albion,2,1,W,1,0,0,0,1.0,30.0,44.0,0.0,3.0,30.0,25.0,3.0,3.0,9.0,2.0,141.0,19.0,5.0,7.0,2.0,3.0,10.0,,7.0,92.0,133.0,46.0,,12.0,1.0,18.0,,,2.0,,19.0,2.0,25.0,4.0,13.0,28.0,157.0,,,0.0,86.0,9.0,,,1.0,41.0,57.0,9.0,71.0,1.0,15.0,11.0,3.0,,8.0,,133.0,1.0,4.0,97.0,597.0,5.0,5.0,20.0,13.0,306.0,20.0,5.0,13.0,2.0,2.0,5.0,1.0,23.0,376.0,43.0,83314,6.0,169.0,6.0,195.0,3.0,,0.0,,11.0,8.0,49.0,3.0,5.0,2.0,14.0,9.0,3.0,,74.0,321.0,12.0,6.0,3.0,32.0,4.0,79.0,,0.0,,0.0,,3.0,,2.0,1.0,,0.0,3.0,2.0,2.0,45.3,19.0,,2.0,5.0,4.0,37.0,4.0,401.0,13.0,11.0,14.0,1.0,25.0,2.0,1.0,225.0,6.0,13.0,20.0,62.0,14.0,,2.0,13.0,7.0,7.0,3.0,14.0,2.0,5.0,4.0,,2.0,1.0,,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,0.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,,,2.0,1.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
13,2128409,2020-12-16 18:00:00,"Elland Road, Leeds",,Away,Newcastle United,Leeds United,2,5,L,1,1,0,0,1.0,29.0,58.0,,1.0,17.0,33.0,2.0,1.0,8.0,5.0,129.0,13.0,6.0,14.0,2.0,2.0,9.0,,4.0,42.0,128.0,51.0,1.0,10.0,,18.0,1.0,,1.0,,15.0,3.0,33.0,4.0,7.0,30.0,98.0,,,0.0,79.0,13.0,4.0,1.0,1.0,29.0,43.0,5.0,38.0,1.0,11.0,15.0,2.0,1.0,2.0,2.0,128.0,2.0,17.0,37.0,446.0,5.0,5.0,20.0,10.0,145.0,30.0,6.0,16.0,2.0,1.0,7.0,4.0,13.0,210.0,44.0,90105,5.0,70.0,8.0,86.0,9.0,,1.0,,15.0,13.0,50.0,2.0,1.0,1.0,16.0,8.0,4.0,4.0,60.0,162.0,10.0,7.0,2.0,19.0,2.0,66.0,1.0,,,0.0,2.0,7.0,5.0,2.0,1.0,,0.0,4.0,1.0,3.0,31.3,11.0,2.0,2.0,1.0,1.0,31.0,4.0,246.0,10.0,8.0,11.0,5.0,20.0,2.0,3.0,175.0,4.0,6.0,19.0,46.0,17.0,,5.0,16.0,8.0,6.0,3.0,19.0,5.0,9.0,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,5.0,,1.0,,4.0,2.0,,,,1.0,,1.0,,1.0,2.0,,,,,1.0,3.0,,1.0,,,,3.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14,2128422,2020-12-19 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Fulham,1,1,D,0,1,0,1,1.0,33.0,57.0,,,31.0,27.0,6.0,3.0,6.0,4.0,164.0,20.0,3.0,5.0,1.0,7.0,7.0,,5.0,119.0,125.0,55.0,2.0,12.0,2.0,16.0,,,,2.0,19.0,9.0,27.0,2.0,3.0,42.0,186.0,,,0.0,110.0,7.0,2.0,,,72.0,65.0,4.0,62.0,1.0,17.0,18.0,6.0,2.0,5.0,3.0,125.0,,7.0,125.0,645.0,6.0,3.0,13.0,20.0,363.0,25.0,4.0,15.0,,1.0,3.0,3.0,8.0,449.0,59.0,90105,5.0,199.0,9.0,224.0,4.0,,1.0,,18.0,8.0,43.0,1.0,5.0,,13.0,5.0,6.0,2.0,59.0,382.0,16.0,13.0,1.0,14.0,2.0,67.0,,,,0.0,,9.0,3.0,1.0,2.0,,0.0,3.0,,2.0,49.5,8.0,1.0,4.0,5.0,2.0,36.0,2.0,470.0,20.0,6.0,19.0,5.0,25.0,,2.0,265.0,6.0,3.0,22.0,76.0,23.0,1.0,1.0,15.0,12.0,6.0,3.0,6.0,1.0,8.0,2.0,,1.0,3.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,
15,2128432,2020-12-26 20:00:00,"Etihad Stadium, Manchester",,Away,Newcastle United,Manchester City,0,2,L,0,1,0,0,,27.0,48.0,,1.0,24.0,23.0,3.0,3.0,4.0,4.0,101.0,16.0,4.0,4.0,,2.0,5.0,,2.0,48.0,104.0,35.0,,7.0,1.0,10.0,1.0,1.0,,,18.0,4.0,23.0,3.0,4.0,28.0,102.0,,,0.0,69.0,12.0,2.0,1.0,,45.0,39.0,3.0,63.0,2.0,15.0,20.0,3.0,,4.0,1.0,104.0,,8.0,60.0,425.0,5.0,3.0,9.0,16.0,195.0,25.0,8.0,8.0,,2.0,3.0,2.0,13.0,258.0,33.0,81441,3.0,108.0,9.0,131.0,6.0,,,,20.0,5.0,42.0,3.0,1.0,,11.0,3.0,4.0,,53.0,206.0,5.0,12.0,,24.0,4.0,49.0,1.0,,,0.0,1.0,7.0,3.0,,,,0.0,4.0,,2.0,24.9,12.0,2.0,4.0,1.0,2.0,25.0,3.0,272.0,16.0,4.0,11.0,3.0,22.0,,2.0,159.0,2.0,4.0,15.0,45.0,15.0,,,8.0,11.0,3.0,3.0,8.0,,15.0,3.0,,1.0,2.0,,2.0,,,,1.0,2.0,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2128442,2020-12-30 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Liverpool,0,0,D,0,0,0,0,,31.0,48.0,,1.0,16.0,52.0,3.0,1.0,5.0,4.0,118.0,22.0,4.0,4.0,,3.0,7.0,,2.0,55.0,124.0,56.0,,8.0,1.0,27.0,1.0,1.0,,4.0,18.0,12.0,52.0,5.0,2.0,31.0,97.0,,1.0,0.0,78.0,9.0,3.0,1.0,,44.0,38.0,3.0,35.0,,13.0,17.0,3.0,,1.0,1.0,124.0,1.0,6.0,33.0,443.0,4.0,1.0,14.0,14.0,146.0,26.0,3.0,19.0,,2.0,3.0,4.0,18.0,217.0,47.0,83314,3.0,66.0,9.0,92.0,4.0,,,,17.0,7.0,53.0,2.0,,,11.0,5.0,4.0,,60.0,159.0,13.0,7.0,3.0,32.0,1.0,55.0,1.0,,1.0,0.0,,12.0,3.0,,,,0.0,2.0,,3.0,26.9,13.0,2.0,1.0,,2.0,25.0,5.0,241.0,14.0,8.0,13.0,4.0,24.0,2.0,3.0,167.0,4.0,2.0,20.0,40.0,17.0,,2.0,19.0,19.0,5.0,2.0,6.0,2.0,6.0,5.0,,1.0,3.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,2.0,,,,,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2128452,2021-01-03 14:15:00,"St. James' Park, Newcastle",,Home,Newcastle United,Leicester City,1,2,L,0,0,0,0,,34.0,64.0,,1.0,30.0,11.0,3.0,3.0,5.0,1.0,167.0,19.0,4.0,11.0,1.0,2.0,4.0,,2.0,67.0,165.0,62.0,,8.0,2.0,19.0,,,,1.0,19.0,9.0,11.0,3.0,6.0,48.0,126.0,,,0.0,103.0,10.0,,,,46.0,51.0,2.0,73.0,1.0,16.0,18.0,3.0,,9.0,1.0,165.0,,4.0,64.0,557.0,1.0,4.0,13.0,15.0,248.0,24.0,5.0,8.0,,0.0,1.0,2.0,28.0,344.0,62.0,83314,3.0,139.0,5.0,174.0,4.0,,,,18.0,10.0,52.0,3.0,4.0,,12.0,5.0,3.0,,74.0,261.0,11.0,10.0,3.0,24.0,3.0,72.0,,,,0.0,1.0,6.0,1.0,1.0,1.0,,0.0,2.0,,3.0,43.3,18.0,2.0,5.0,4.0,3.0,33.0,3.0,371.0,15.0,10.0,24.0,3.0,21.0,2.0,2.0,216.0,1.0,6.0,24.0,56.0,28.0,,5.0,8.0,16.0,2.0,3.0,15.0,5.0,9.0,3.0,,,2.0,,3.0,,3.0,,,2.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2128461,2021-01-12 18:00:00,"Bramall Lane, Sheffield",,Away,Newcastle United,Sheffield United,0,1,L,0,0,1,0,,25.0,43.0,,1.0,27.0,32.0,2.0,,4.0,3.0,121.0,10.0,3.0,4.0,,2.0,3.0,1.0,3.0,64.0,127.0,51.0,2.0,7.0,,21.0,1.0,,,1.0,12.0,8.0,32.0,2.0,5.0,26.0,102.0,,,0.0,64.0,12.0,2.0,1.0,,43.0,28.0,1.0,38.0,2.0,10.0,14.0,3.0,2.0,3.0,1.0,127.0,1.0,13.0,60.0,466.0,2.0,9.0,11.0,6.0,179.0,23.0,9.0,14.0,,3.0,7.0,2.0,23.0,253.0,32.0,90105,4.0,94.0,6.0,121.0,6.0,,,,14.0,13.0,50.0,2.0,4.0,,10.0,4.0,6.0,,65.0,193.0,13.0,7.0,1.0,25.0,2.0,62.0,1.0,,,0.0,2.0,5.0,3.0,,3.0,,1.0,2.0,,3.0,33.8,20.0,2.0,1.0,4.0,1.0,29.0,2.0,283.0,6.0,7.0,9.0,3.0,16.0,1.0,2.0,174.0,4.0,4.0,19.0,35.0,11.0,,2.0,14.0,15.0,3.0,3.0,8.0,2.0,8.0,2.0,1.0,,1.0,,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,2.0,1.0,2.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
19,2128466,2021-01-18 20:00:00,"Emirates Stadium, London",,Away,Newcastle United,Arsenal,0,3,L,0,0,0,0,,36.0,46.0,,1.0,30.0,10.0,1.0,3.0,3.0,3.0,122.0,10.0,1.0,9.0,,1.0,4.0,,1.0,73.0,125.0,45.0,,4.0,,9.0,,,,1.0,10.0,4.0,10.0,2.0,4.0,43.0,108.0,,,0.0,79.0,8.0,2.0,,,38.0,35.0,2.0,62.0,,8.0,13.0,1.0,,2.0,1.0,125.0,,14.0,66.0,464.0,3.0,7.0,7.0,3.0,219.0,28.0,5.0,6.0,,0.0,3.0,2.0,16.0,293.0,37.0,83314,2.0,135.0,5.0,161.0,2.0,,,,13.0,12.0,33.0,1.0,3.0,,17.0,6.0,9.0,1.0,60.0,242.0,9.0,9.0,1.0,18.0,,57.0,,,1.0,0.0,,7.0,3.0,,1.0,,0.0,1.0,,1.0,33.6,7.0,,2.0,3.0,1.0,30.0,2.0,323.0,3.0,3.0,21.0,2.0,17.0,,1.0,172.0,,2.0,16.0,53.0,10.0,,1.0,6.0,11.0,3.0,3.0,13.0,1.0,9.0,2.0,,,1.0,1.0,,,1.0,,,3.0,,1.0,,3.0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
20,2128483,2021-01-26 18:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Leeds United,1,2,L,0,1,0,0,1.0,30.0,67.0,,2.0,12.0,20.0,13.0,4.0,9.0,1.0,131.0,16.0,5.0,16.0,1.0,5.0,17.0,1.0,5.0,66.0,152.0,64.0,4.0,22.0,5.0,27.0,,,1.0,3.0,26.0,6.0,20.0,9.0,2.0,29.0,123.0,1.0,,0.0,93.0,10.0,1.0,,1.0,43.0,40.0,9.0,44.0,2.0,17.0,16.0,13.0,4.0,5.0,5.0,152.0,1.0,8.0,72.0,515.0,11.0,1.0,21.0,6.0,205.0,23.0,4.0,7.0,1.0,1.0,3.0,8.0,20.0,292.0,54.0,90105,7.0,104.0,11.0,134.0,7.0,,,,16.0,8.0,59.0,1.0,2.0,1.0,17.0,1.0,7.0,1.0,44.0,222.0,12.0,8.0,5.0,23.0,4.0,48.0,,1.0,1.0,0.0,2.0,5.0,,1.0,,,0.0,2.0,1.0,4.0,42.3,15.0,3.0,6.0,2.0,7.0,20.0,9.0,313.0,6.0,9.0,8.0,10.0,32.0,3.0,4.0,205.0,13.0,1.0,25.0,58.0,33.0,,1.0,7.0,11.0,11.0,2.0,22.0,1.0,8.0,9.0,1.0,,1.0,,1.0,,3.0,,2.0,2.0,,,,2.0,,,,,1.0,,2.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,2.0,,,,,1.0,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,
21,2128490,2021-01-30 12:30:00,"Goodison Park, Liverpool",,Away,Newcastle United,Everton,2,0,W,0,0,0,0,1.0,43.0,52.0,,4.0,27.0,27.0,4.0,2.0,9.0,3.0,123.0,17.0,7.0,8.0,2.0,4.0,9.0,,3.0,69.0,137.0,46.0,2.0,13.0,1.0,21.0,2.0,,1.0,2.0,30.0,8.0,27.0,10.0,2.0,28.0,144.0,,1.0,0.0,120.0,6.0,2.0,3.0,,34.0,77.0,6.0,36.0,,20.0,19.0,4.0,2.0,7.0,3.0,137.0,4.0,8.0,73.0,499.0,6.0,5.0,16.0,10.0,214.0,30.0,5.0,12.0,2.0,4.0,2.0,3.0,21.0,274.0,47.0,90105,8.0,89.0,10.0,103.0,3.0,,1.0,1.0,19.0,11.0,49.0,,3.0,1.0,15.0,3.0,3.0,2.0,61.0,226.0,13.0,6.0,1.0,25.0,3.0,61.0,2.0,,1.0,0.0,1.0,7.0,2.0,2.0,3.0,,0.0,5.0,2.0,2.0,39.1,16.0,,1.0,3.0,5.0,28.0,12.0,301.0,10.0,10.0,16.0,5.0,42.0,2.0,1.0,228.0,9.0,1.0,12.0,85.0,17.0,2.0,2.0,12.0,14.0,8.0,2.0,15.0,2.0,2.0,12.0,1.0,1.0,3.0,2.0,1.0,3.0,,,4.0,,,2.0,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,
22,2128504,2021-02-02 20:15:00,"St. James' Park, Newcastle",,Home,Newcastle United,Crystal Palace,1,2,L,1,2,0,0,,31.0,57.0,,4.0,36.0,8.0,6.0,3.0,15.0,1.0,186.0,15.0,12.0,12.0,1.0,2.0,15.0,,5.0,162.0,144.0,56.0,1.0,21.0,2.0,15.0,,,1.0,6.0,33.0,6.0,8.0,7.0,4.0,45.0,259.0,,,0.0,171.0,14.0,1.0,,1.0,118.0,68.0,7.0,102.0,,26.0,19.0,6.0,1.0,11.0,3.0,144.0,1.0,3.0,160.0,794.0,11.0,3.0,39.0,7.0,498.0,22.0,3.0,5.0,1.0,1.0,1.0,8.0,24.0,591.0,75.0,90105,13.0,269.0,13.0,289.0,9.0,,1.0,,19.0,4.0,50.0,1.0,4.0,1.0,11.0,3.0,4.0,4.0,68.0,516.0,9.0,8.0,3.0,13.0,4.0,84.0,,,1.0,0.0,1.0,1.0,,,2.0,,0.0,9.0,1.0,7.0,61.3,22.0,5.0,6.0,4.0,6.0,46.0,9.0,610.0,7.0,4.0,19.0,10.0,37.0,3.0,7.0,354.0,11.0,4.0,23.0,123.0,25.0,,,5.0,12.0,15.0,3.0,22.0,,5.0,9.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,2.0,,,,1.0,1.0,,,,1.0,,1.0,,2.0,4.0,4.0,,,2.0,,,,,,,,3.0,1.0,1.0,1.0,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,2128512,2021-02-06 15:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Southampton,3,2,W,3,1,1,0,1.0,33.0,64.0,2.0,,18.0,35.0,2.0,3.0,4.0,3.0,116.0,14.0,,12.0,3.0,2.0,4.0,,4.0,34.0,140.0,60.0,1.0,6.0,1.0,14.0,,,2.0,1.0,6.0,11.0,35.0,,1.0,28.0,64.0,,,0.0,75.0,11.0,,,3.0,34.0,34.0,3.0,28.0,,6.0,18.0,2.0,1.0,1.0,,140.0,1.0,10.0,43.0,411.0,2.0,7.0,14.0,12.0,114.0,36.0,4.0,17.0,2.0,2.0,4.0,1.0,17.0,188.0,55.0,90105,3.0,64.0,3.0,83.0,7.0,,1.0,1.0,18.0,11.0,46.0,3.0,2.0,3.0,10.0,4.0,5.0,,67.0,128.0,14.0,4.0,,35.0,,65.0,,,,0.0,3.0,7.0,3.0,2.0,1.0,,1.0,,2.0,,26.2,10.0,,4.0,2.0,1.0,18.0,,221.0,12.0,9.0,10.0,1.0,10.0,,1.0,144.0,3.0,1.0,19.0,33.0,19.0,,4.0,17.0,16.0,5.0,3.0,20.0,4.0,11.0,,,,2.0,,1.0,,,,1.0,2.0,,,,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
24,2128518,2021-02-15 20:00:00,"Stamford Bridge, London",,Away,Newcastle United,Chelsea,0,2,L,0,2,0,0,,,54.0,,1.0,20.0,18.0,2.0,2.0,7.0,3.0,111.0,,5.0,11.0,,1.0,8.0,,4.0,59.0,120.0,46.0,1.0,10.0,1.0,20.0,,,,2.0,16.0,7.0,18.0,5.0,5.0,26.0,125.0,,,0.0,95.0,13.0,1.0,,,41.0,42.0,4.0,50.0,,11.0,20.0,3.0,1.0,8.0,,120.0,,15.0,69.0,482.0,6.0,4.0,13.0,8.0,211.0,19.0,2.0,6.0,,0.0,6.0,4.0,25.0,266.0,40.0,90105,5.0,105.0,3.0,122.0,3.0,,,,20.0,11.0,59.0,2.0,5.0,,14.0,3.0,5.0,1.0,51.0,225.0,8.0,9.0,2.0,18.0,2.0,52.0,,,,0.0,2.0,10.0,4.0,,,,0.0,3.0,,3.0,34.4,17.0,2.0,4.0,5.0,2.0,23.0,5.0,289.0,8.0,12.0,14.0,4.0,23.0,2.0,4.0,183.0,5.0,5.0,11.0,67.0,22.0,,2.0,6.0,16.0,7.0,3.0,18.0,2.0,10.0,5.0,1.0,,,,1.0,,,,,2.0,,,,2.0,,,,,,,2.0,,3.0,2.0,1.0,2.0,,1.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
25,2128532,2021-02-21 19:00:00,"Old Trafford, Manchester",,Away,Newcastle United,Manchester United,1,3,L,1,1,0,0,,26.0,52.0,,1.0,13.0,15.0,7.0,3.0,3.0,4.0,113.0,11.0,2.0,8.0,1.0,2.0,6.0,,6.0,57.0,126.0,42.0,,10.0,,18.0,,,,,13.0,9.0,15.0,1.0,1.0,29.0,91.0,2.0,,0.0,92.0,11.0,2.0,,,36.0,58.0,3.0,40.0,,12.0,20.0,7.0,,4.0,3.0,126.0,,9.0,60.0,434.0,6.0,3.0,13.0,7.0,169.0,23.0,3.0,9.0,,2.0,3.0,3.0,15.0,241.0,46.0,90105,2.0,97.0,7.0,114.0,7.0,,1.0,1.0,20.0,7.0,52.0,1.0,1.0,,14.0,6.0,2.0,,57.0,186.0,9.0,12.0,,12.0,3.0,61.0,,1.0,,0.0,1.0,6.0,2.0,1.0,,,0.0,2.0,,,28.4,11.0,,5.0,1.0,1.0,16.0,4.0,270.0,7.0,8.0,8.0,3.0,19.0,,,169.0,7.0,1.0,9.0,49.0,16.0,1.0,2.0,9.0,16.0,6.0,3.0,11.0,2.0,14.0,4.0,,2.0,1.0,,,,1.0,1.0,,3.0,1.0,,1.0,3.0,,,,,,,1.0,,3.0,1.0,,4.0,,,2.0,,,2.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
26,2128542,2021-02-27 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Wolverhampton Wanderers,1,1,D,0,0,0,0,,22.0,48.0,1.0,2.0,25.0,15.0,8.0,6.0,11.0,3.0,130.0,11.0,4.0,12.0,1.0,5.0,16.0,,7.0,106.0,113.0,55.0,1.0,19.0,4.0,21.0,,4.0,,1.0,17.0,12.0,15.0,2.0,4.0,29.0,167.0,4.0,,0.0,108.0,11.0,2.0,,,56.0,61.0,12.0,60.0,,15.0,8.0,8.0,1.0,4.0,3.0,113.0,3.0,7.0,92.0,579.0,13.0,4.0,32.0,14.0,311.0,25.0,6.0,11.0,1.0,2.0,3.0,4.0,13.0,366.0,58.0,90105,6.0,163.0,9.0,179.0,5.0,,,1.0,8.0,9.0,64.0,2.0,,,17.0,7.0,3.0,,52.0,326.0,13.0,19.0,2.0,16.0,2.0,56.0,,,,0.0,1.0,5.0,2.0,1.0,1.0,,0.0,4.0,1.0,3.0,47.6,10.0,1.0,1.0,1.0,6.0,32.0,3.0,388.0,14.0,9.0,18.0,6.0,22.0,,2.0,226.0,10.0,4.0,13.0,80.0,20.0,,,11.0,18.0,13.0,3.0,17.0,,5.0,3.0,1.0,1.0,2.0,,1.0,3.0,3.0,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,3.0,5.0,3.0,1.0,,1.0,,1.0,,2.0,2.0,,,2.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,
