gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,penaltySave,attLfTarget,saves,attFreekickTotal,goalAssistOpenplay,attMissLeft,attMissHighRight,cleanSheet,divingSave,attSvLowLeft,attMissRight,freekickTotal,bigChanceMissed,penaltyConceded,attRfGoal,attCmissHighLeft,goalsOpenplay,accurateGoalKicks,attSvLowRight,attCmissLeft,lostCorners,savedIbox,attCmissHighRight,accurateCrossNocorner,penaltyFaced,attFreekickMiss,attCmissRight,accurateKeeperSweeper,ptsGainedLosingPos,hitWoodwork,totalKeeperSweeper,accurateThroughBall,foulThrowIn,attSvHighCentre,effectiveBlockedCross,blockedCross,goalsConcededObox,attGoalLowRight,savedObox,attOneOnOne,attSvHighLeft,contentiousDecision,attHdTarget,handBall,attGoalHighLeft,attFreekickTarget,ptsDroppedWinningPos,attLgRight,postScoringAtt,attIboxPost,midfielderGoals,accurateFreekickCross,attObxdLeft,punches,penGoalsConceded,attPostRight,errorLeadToShot,attCmissHigh,attPostLeft,attHdPost,shieldBallOop,goalFastbreak,attOboxGoal,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,clearanceOffLine,attSvHighRight,attPostHigh,accuratePullBack,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals
11,2128390,2020-12-06 19:15:00,"Anfield, Liverpool",2000.0,Home,Liverpool,Wolverhampton Wanderers,4,0,W,1,0,0,0,2.0,25.0,48.0,0.0,,1.0,,18.0,18.0,4.0,4.0,7.0,1.0,1.0,171.0,1.0,8.0,3.0,10.0,4.0,3.0,9.0,6.0,183.0,112.0,41.0,11.0,1.0,9.0,2.0,1.0,,,20.0,6.0,1.0,1.0,18.0,2.0,6.0,45.0,262.0,,0.0,133.0,8.0,2.0,2.0,1.0,85.0,98.0,5.0,113.0,,18.0,8.0,4.0,0.0,4.0,1.0,112.0,1.0,6.0,159.0,786.0,7.0,,22.0,5.0,546.0,18.0,,1.0,11.0,2.0,1.0,1.0,4.0,11.0,604.0,53.0,92217,5.0,305.0,12.0,,,318.0,1.0,,8.0,5.0,42.0,1.0,1.0,1.0,5.0,10.0,3.0,1.0,0.0,44.0,564.0,13.0,6.0,,11.0,1.0,96.0,1.0,0.0,1.0,3.0,0.0,,0.0,1.0,3.0,60.6,9.0,2.0,,1.0,5.0,1.0,73.0,4.0,1.0,626.0,5.0,8.0,24.0,4.0,31.0,,3.0,328.0,4.0,6.0,7.0,103.0,25.0,1.0,11.0,12.0,1.0,0.0,9.0,3.0,21.0,,1.0,4.0,,2.0,3.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,2.0,3.0,,1.0,6.0,3.0,,3.0,,,,,,,,,,2.0,4.0,4.0,0.0,1.0,,,1.0,,,,0.0,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
12,2128399,2020-12-13 16:30:00,"Craven Cottage, London",2000.0,Away,Liverpool,Fulham,1,1,D,0,1,0,0,1.0,33.0,59.0,,2.0,,,30.0,22.0,5.0,4.0,7.0,1.0,3.0,163.0,1.0,18.0,4.0,14.0,1.0,5.0,6.0,6.0,241.0,160.0,54.0,12.0,2.0,19.0,2.0,,1.0,2.0,33.0,12.0,,3.0,22.0,8.0,3.0,41.0,367.0,1.0,0.0,193.0,5.0,,3.0,,100.0,110.0,4.0,75.0,1.0,25.0,16.0,5.0,,13.0,,160.0,2.0,6.0,228.0,925.0,6.0,2.0,27.0,7.0,599.0,30.0,,2.0,12.0,,1.0,1.0,2.0,27.0,692.0,82.0,92217,6.0,251.0,9.0,,1.0,272.0,2.0,,16.0,7.0,51.0,,,2.0,2.0,18.0,4.0,,1.0,60.0,614.0,7.0,11.0,,13.0,,65.0,,0.0,1.0,1.0,1.0,2.0,0.0,,1.0,75.1,27.0,1.0,7.0,,2.0,4.0,43.0,8.0,,707.0,7.0,9.0,12.0,2.0,50.0,2.0,2.0,468.0,7.0,2.0,12.0,135.0,20.0,1.0,12.0,21.0,,1.0,9.0,3.0,22.0,,6.0,8.0,,2.0,4.0,1.0,,1.0,,,2.0,2.0,1.0,1.0,2.0,,,,,7.0,,1.0,6.0,3.0,,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2128414,2020-12-16 20:00:00,"Anfield, Liverpool",2000.0,Home,Liverpool,Tottenham Hotspur,2,1,W,1,1,0,0,,32.0,73.0,,4.0,1.0,1.0,32.0,8.0,2.0,7.0,15.0,1.0,6.0,209.0,,14.0,3.0,8.0,2.0,2.0,15.0,11.0,228.0,165.0,47.0,17.0,1.0,15.0,8.0,,2.0,4.0,28.0,8.0,1.0,1.0,8.0,4.0,3.0,49.0,471.0,,0.0,291.0,8.0,,2.0,,149.0,122.0,14.0,143.0,1.0,24.0,14.0,2.0,,9.0,,165.0,,5.0,233.0,998.0,12.0,3.0,41.0,15.0,700.0,26.0,,4.0,3.0,1.0,0.0,,1.0,18.0,794.0,100.0,92217,10.0,250.0,13.0,,2.0,271.0,5.0,1.0,14.0,7.0,52.0,1.0,,2.0,5.0,13.0,3.0,,,62.0,718.0,8.0,4.0,2.0,13.0,1.0,83.0,,0.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,75.8,18.0,,6.0,2.0,5.0,5.0,57.0,7.0,,813.0,15.0,14.0,24.0,1.0,51.0,1.0,1.0,570.0,8.0,2.0,19.0,240.0,36.0,2.0,3.0,12.0,1.0,1.0,14.0,,20.0,,5.0,7.0,,2.0,1.0,,,1.0,,,,4.0,,,,,,,1.0,6.0,1.0,1.0,4.0,,,2.0,,,,1.0,,1.0,1.0,1.0,,,2.0,2.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
14,2128419,2020-12-19 12:30:00,"Selhurst Park, London",,Away,Liverpool,Crystal Palace,7,0,W,3,0,0,0,4.0,30.0,66.0,4.0,2.0,1.0,,34.0,13.0,3.0,4.0,11.0,2.0,,204.0,,17.0,3.0,9.0,7.0,3.0,12.0,8.0,213.0,127.0,43.0,14.0,,14.0,1.0,2.0,,,11.0,13.0,,,13.0,3.0,4.0,39.0,268.0,,0.0,137.0,11.0,4.0,,,86.0,97.0,9.0,108.0,,8.0,15.0,3.0,,5.0,1.0,127.0,5.0,4.0,218.0,907.0,3.0,3.0,17.0,19.0,634.0,30.0,,3.0,5.0,7.0,0.0,,3.0,16.0,727.0,64.0,92217,9.0,384.0,3.0,,,414.0,7.0,,15.0,3.0,46.0,2.0,,,5.0,14.0,1.0,1.0,,67.0,649.0,5.0,11.0,2.0,19.0,3.0,86.0,2.0,0.0,,5.0,,1.0,0.0,4.0,3.0,64.7,15.0,2.0,1.0,1.0,5.0,2.0,59.0,4.0,,743.0,19.0,6.0,16.0,4.0,25.0,2.0,3.0,340.0,6.0,4.0,10.0,99.0,30.0,4.0,5.0,19.0,1.0,,10.0,3.0,13.0,,8.0,4.0,,1.0,3.0,1.0,6.0,,,1.0,,,3.0,1.0,1.0,,4.0,,6.0,3.0,1.0,,5.0,2.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,3.0,3.0,,1.0,1.0,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,
15,2128431,2020-12-27 16:30:00,"Anfield, Liverpool",2000.0,Home,Liverpool,West Bromwich Albion,1,1,D,1,0,0,0,1.0,34.0,59.0,1.0,1.0,,,22.0,13.0,9.0,4.0,8.0,,,231.0,,20.0,11.0,8.0,1.0,3.0,13.0,2.0,237.0,155.0,49.0,17.0,3.0,13.0,1.0,,,,35.0,8.0,,,13.0,6.0,8.0,42.0,544.0,,0.0,293.0,8.0,,1.0,2.0,90.0,173.0,6.0,102.0,,29.0,21.0,9.0,,11.0,6.0,155.0,2.0,3.0,217.0,981.0,10.0,5.0,42.0,4.0,682.0,20.0,,2.0,10.0,1.0,0.0,1.0,7.0,22.0,773.0,104.0,92217,7.0,162.0,17.0,1.0,1.0,196.0,4.0,1.0,21.0,4.0,39.0,1.0,,1.0,7.0,20.0,2.0,5.0,,40.0,695.0,4.0,3.0,2.0,9.0,4.0,57.0,,0.0,2.0,1.0,1.0,,0.0,1.0,6.0,78.4,21.0,5.0,4.0,,7.0,4.0,46.0,7.0,2.0,787.0,4.0,10.0,24.0,11.0,60.0,3.0,5.0,626.0,7.0,7.0,26.0,249.0,27.0,1.0,10.0,11.0,,1.0,10.0,3.0,13.0,,10.0,8.0,,,2.0,2.0,1.0,1.0,3.0,,,,2.0,2.0,1.0,,1.0,,1.0,4.0,1.0,,3.0,1.0,,8.0,,2.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
16,2128442,2020-12-30 20:00:00,"St. James' Park, Newcastle",,Away,Liverpool,Newcastle United,0,0,D,0,0,0,0,,31.0,55.0,,,,,47.0,19.0,5.0,4.0,6.0,,,165.0,,9.0,8.0,7.0,,4.0,7.0,4.0,208.0,162.0,53.0,11.0,3.0,20.0,3.0,,,,37.0,6.0,,1.0,19.0,12.0,12.0,48.0,302.0,,0.0,160.0,13.0,,3.0,,97.0,69.0,4.0,89.0,1.0,25.0,16.0,5.0,,7.0,1.0,162.0,3.0,5.0,199.0,875.0,4.0,7.0,32.0,15.0,558.0,23.0,1.0,7.0,12.0,,3.0,2.0,3.0,27.0,647.0,76.0,92217,5.0,277.0,15.0,,,302.0,6.0,,16.0,5.0,56.0,3.0,,4.0,5.0,17.0,3.0,,,68.0,571.0,9.0,4.0,3.0,17.0,5.0,71.0,,0.0,1.0,,,2.0,0.0,,4.0,73.1,25.0,2.0,3.0,,5.0,3.0,53.0,12.0,,661.0,15.0,13.0,26.0,4.0,46.0,3.0,3.0,396.0,3.0,11.0,27.0,116.0,23.0,,12.0,10.0,,,6.0,3.0,13.0,,8.0,12.0,,2.0,2.0,,,2.0,,1.0,1.0,2.0,1.0,,3.0,,,,,4.0,1.0,2.0,5.0,1.0,,5.0,,,1.0,,,,,3.0,,1.0,3.0,3.0,,,1.0,1.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
17,2128453,2021-01-04 20:00:00,"St. Mary's Stadium, Southampton",,Away,Liverpool,Southampton,0,1,L,0,1,0,0,,29.0,79.0,,3.0,,,44.0,3.0,5.0,4.0,12.0,,,211.0,,14.0,15.0,14.0,,1.0,12.0,1.0,198.0,198.0,54.0,17.0,2.0,14.0,1.0,,1.0,1.0,43.0,2.0,,,3.0,7.0,3.0,83.0,277.0,,0.0,209.0,12.0,,1.0,,104.0,78.0,2.0,94.0,2.0,36.0,18.0,5.0,,11.0,3.0,198.0,1.0,1.0,172.0,879.0,9.0,6.0,56.0,11.0,525.0,25.0,1.0,3.0,2.0,,3.0,1.0,10.0,23.0,656.0,85.0,92217,9.0,281.0,24.0,1.0,1.0,306.0,6.0,1.0,18.0,3.0,56.0,,,1.0,8.0,13.0,6.0,1.0,,79.0,543.0,3.0,12.0,3.0,13.0,5.0,84.0,,0.0,4.0,,1.0,1.0,0.0,,5.0,67.0,21.0,5.0,8.0,1.0,8.0,5.0,47.0,10.0,,675.0,11.0,9.0,37.0,11.0,61.0,2.0,8.0,412.0,8.0,3.0,21.0,141.0,37.0,,2.0,16.0,,1.0,11.0,2.0,23.0,1.0,5.0,10.0,,1.0,1.0,,,4.0,3.0,,,,2.0,,2.0,,,,,3.0,,,1.0,,,13.0,,,,1.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
18,2128464,2021-01-21 20:00:00,"Anfield, Liverpool",,Home,Liverpool,Burnley,0,1,L,0,0,0,0,,,70.0,,6.0,,,33.0,6.0,11.0,13.0,16.0,,3.0,207.0,,,3.0,7.0,,3.0,23.0,6.0,209.0,161.0,35.0,27.0,5.0,21.0,4.0,,5.0,,40.0,2.0,,2.0,6.0,9.0,7.0,64.0,364.0,,0.0,285.0,11.0,,2.0,1.0,80.0,101.0,15.0,80.0,1.0,32.0,10.0,11.0,,12.0,4.0,161.0,,5.0,190.0,857.0,21.0,4.0,48.0,4.0,566.0,34.0,,1.0,4.0,,2.0,,8.0,18.0,663.0,62.0,92217,8.0,227.0,18.0,2.0,1.0,246.0,5.0,,10.0,5.0,44.0,,,1.0,8.0,15.0,1.0,2.0,,64.0,588.0,7.0,3.0,2.0,13.0,3.0,76.0,,0.0,,,1.0,2.0,0.0,,1.0,71.8,18.0,1.0,7.0,1.0,8.0,11.0,49.0,12.0,2.0,686.0,4.0,8.0,31.0,10.0,72.0,2.0,5.0,480.0,12.0,6.0,15.0,224.0,21.0,,4.0,6.0,,1.0,23.0,3.0,9.0,,4.0,12.0,,3.0,3.0,,,3.0,3.0,,2.0,,1.0,,1.0,1.0,,,,5.0,3.0,,,2.0,1.0,2.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,
19,2128471,2021-01-17 16:30:00,"Anfield, Liverpool",,Home,Liverpool,Manchester United,0,0,D,0,0,0,0,,25.0,66.0,,4.0,,,36.0,11.0,8.0,8.0,9.0,,2.0,180.0,,17.0,3.0,15.0,,1.0,13.0,3.0,190.0,146.0,42.0,17.0,4.0,13.0,2.0,,,2.0,22.0,9.0,,1.0,11.0,4.0,6.0,69.0,307.0,,0.0,236.0,15.0,,1.0,,76.0,85.0,9.0,105.0,4.0,18.0,14.0,8.0,,7.0,3.0,146.0,1.0,5.0,192.0,865.0,12.0,2.0,42.0,12.0,556.0,23.0,3.0,1.0,2.0,,2.0,3.0,4.0,19.0,645.0,62.0,92217,4.0,272.0,10.0,2.0,,287.0,6.0,2.0,14.0,3.0,61.0,1.0,,1.0,4.0,12.0,3.0,,,57.0,576.0,6.0,13.0,1.0,5.0,1.0,81.0,,0.0,1.0,,,,0.0,,2.0,65.7,18.0,1.0,5.0,3.0,4.0,8.0,61.0,7.0,,667.0,12.0,16.0,38.0,6.0,43.0,1.0,3.0,402.0,7.0,6.0,5.0,177.0,32.0,,2.0,16.0,,,16.0,3.0,19.0,,9.0,7.0,,1.0,4.0,,,2.0,,1.0,1.0,,1.0,,1.0,,,,,3.0,,,3.0,3.0,,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2128485,2021-01-28 20:00:00,"Tottenham Hotspur Stadium, London",,Away,Liverpool,Tottenham Hotspur,3,1,W,1,0,0,0,2.0,29.0,70.0,1.0,1.0,,,21.0,12.0,3.0,3.0,11.0,1.0,4.0,161.0,1.0,16.0,3.0,13.0,3.0,,12.0,7.0,163.0,131.0,41.0,14.0,,12.0,3.0,,2.0,2.0,12.0,8.0,,1.0,12.0,2.0,6.0,49.0,296.0,,0.0,188.0,11.0,,,1.0,73.0,68.0,7.0,101.0,2.0,10.0,17.0,3.0,1.0,3.0,2.0,131.0,3.0,1.0,162.0,756.0,10.0,5.0,33.0,16.0,490.0,16.0,1.0,2.0,6.0,2.0,2.0,,5.0,17.0,571.0,49.0,92217,6.0,211.0,7.0,,,231.0,5.0,2.0,17.0,3.0,46.0,1.0,1.0,2.0,9.0,16.0,2.0,,,41.0,504.0,7.0,10.0,,9.0,,59.0,,0.0,4.0,3.0,1.0,2.0,0.0,2.0,1.0,50.2,14.0,1.0,8.0,2.0,9.0,1.0,38.0,2.0,1.0,587.0,16.0,11.0,28.0,6.0,29.0,,4.0,368.0,10.0,6.0,11.0,150.0,37.0,2.0,6.0,10.0,,,14.0,3.0,16.0,,8.0,2.0,,,1.0,,2.0,3.0,2.0,,,,,,2.0,,2.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2128495,2021-01-31 16:30:00,"London Stadium, London",,Away,Liverpool,West Ham United,3,1,W,0,0,0,0,2.0,23.0,59.0,1.0,2.0,,,23.0,13.0,4.0,8.0,10.0,2.0,,202.0,1.0,7.0,2.0,8.0,3.0,2.0,11.0,5.0,237.0,123.0,39.0,14.0,1.0,12.0,1.0,1.0,2.0,2.0,13.0,8.0,,1.0,13.0,4.0,11.0,51.0,385.0,,0.0,188.0,8.0,2.0,1.0,,110.0,104.0,6.0,127.0,,9.0,16.0,4.0,,2.0,2.0,123.0,3.0,6.0,219.0,927.0,8.0,2.0,27.0,4.0,687.0,21.0,2.0,1.0,10.0,3.0,0.0,2.0,5.0,15.0,768.0,81.0,92217,6.0,317.0,6.0,,1.0,328.0,1.0,2.0,16.0,7.0,36.0,1.0,,1.0,4.0,9.0,2.0,,,44.0,700.0,6.0,6.0,,6.0,,79.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,67.2,15.0,1.0,5.0,1.0,4.0,3.0,53.0,4.0,,785.0,4.0,8.0,29.0,6.0,35.0,,4.0,470.0,4.0,10.0,12.0,137.0,29.0,2.0,10.0,13.0,,1.0,13.0,3.0,15.0,,7.0,5.0,,1.0,1.0,,3.0,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,3.0,6.0,,1.0,6.0,1.0,1.0,2.0,,,,2.0,,,2.0,1.0,,,3.0,3.0,,,,1.0,,,1.0,4.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
22,2128503,2021-02-03 20:15:00,"Anfield, Liverpool",,Home,Liverpool,Brighton and Hove Albion,0,1,L,0,0,0,0,,28.0,66.0,,3.0,,,19.0,15.0,6.0,5.0,5.0,,1.0,188.0,,16.0,3.0,6.0,,4.0,6.0,1.0,201.0,162.0,32.0,11.0,3.0,18.0,,,1.0,,27.0,9.0,,1.0,15.0,3.0,8.0,52.0,363.0,,0.0,237.0,12.0,,3.0,,104.0,108.0,2.0,94.0,,24.0,20.0,6.0,,9.0,2.0,162.0,2.0,12.0,214.0,886.0,6.0,1.0,23.0,12.0,583.0,26.0,1.0,1.0,5.0,,1.0,2.0,4.0,25.0,677.0,72.0,92217,3.0,239.0,12.0,,,265.0,8.0,1.0,20.0,9.0,47.0,,,,7.0,18.0,1.0,1.0,,47.0,599.0,6.0,4.0,,8.0,,72.0,,0.0,4.0,,1.0,,0.0,,,63.4,20.0,,6.0,1.0,7.0,6.0,47.0,5.0,,697.0,12.0,10.0,17.0,4.0,47.0,,2.0,459.0,6.0,8.0,9.0,183.0,26.0,,5.0,12.0,,1.0,11.0,3.0,9.0,,8.0,6.0,,,3.0,,,,2.0,,1.0,,,,2.0,,,,,7.0,,,3.0,3.0,2.0,3.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
23,2128510,2021-02-07 16:30:00,"Anfield, Liverpool",,Home,Liverpool,Manchester City,1,4,L,0,0,0,0,1.0,26.0,54.0,,1.0,,,25.0,9.0,3.0,3.0,5.0,1.0,1.0,159.0,,10.0,3.0,9.0,1.0,2.0,4.0,3.0,194.0,136.0,45.0,8.0,2.0,7.0,2.0,,1.0,1.0,21.0,9.0,,,9.0,6.0,6.0,59.0,265.0,1.0,0.0,159.0,13.0,,,,91.0,61.0,2.0,98.0,1.0,15.0,17.0,3.0,,4.0,1.0,136.0,,6.0,198.0,823.0,3.0,,18.0,11.0,558.0,24.0,,,4.0,,2.0,,2.0,25.0,633.0,56.0,92217,3.0,311.0,11.0,,,331.0,9.0,,17.0,3.0,57.0,,,1.0,,19.0,2.0,2.0,1.0,47.0,573.0,8.0,17.0,1.0,4.0,1.0,73.0,,0.0,,1.0,4.0,,0.0,,2.0,55.9,23.0,1.0,6.0,1.0,,3.0,55.0,6.0,,649.0,11.0,12.0,36.0,2.0,32.0,1.0,1.0,339.0,3.0,6.0,10.0,117.0,23.0,1.0,4.0,18.0,,4.0,5.0,3.0,17.0,2.0,8.0,6.0,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,3.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
24,2128521,2021-02-13 12:30:00,"King Power Stadium, Leicester",,Away,Liverpool,Leicester City,1,3,L,0,0,0,0,,,80.0,1.0,4.0,,,20.0,4.0,4.0,4.0,11.0,1.0,3.0,166.0,,,2.0,22.0,1.0,4.0,10.0,4.0,160.0,180.0,63.0,15.0,4.0,11.0,3.0,2.0,1.0,1.0,31.0,10.0,,,4.0,10.0,12.0,46.0,258.0,,0.0,182.0,6.0,2.0,1.0,,85.0,92.0,8.0,81.0,,21.0,20.0,4.0,,8.0,,180.0,2.0,8.0,154.0,796.0,8.0,3.0,32.0,14.0,450.0,21.0,1.0,,1.0,1.0,2.0,1.0,2.0,25.0,544.0,64.0,92217,3.0,209.0,12.0,2.0,1.0,229.0,2.0,,20.0,4.0,53.0,2.0,,1.0,9.0,21.0,3.0,,,38.0,465.0,6.0,13.0,1.0,6.0,4.0,64.0,2.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,62.0,19.0,1.0,9.0,3.0,9.0,8.0,39.0,12.0,,561.0,14.0,12.0,22.0,3.0,43.0,1.0,3.0,363.0,9.0,12.0,12.0,129.0,40.0,1.0,1.0,23.0,,2.0,8.0,3.0,33.0,2.0,9.0,12.0,,,3.0,2.0,1.0,,,,2.0,,2.0,2.0,2.0,,,,1.0,3.0,1.0,,2.0,3.0,,1.0,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2128531,2021-02-20 17:30:00,"Anfield, Liverpool",,Home,Liverpool,Everton,0,2,L,0,1,0,0,,22.0,65.0,,2.0,,,19.0,10.0,7.0,2.0,8.0,,4.0,202.0,,14.0,5.0,16.0,,2.0,11.0,6.0,194.0,152.0,56.0,15.0,,16.0,2.0,,,1.0,29.0,10.0,,4.0,10.0,5.0,3.0,35.0,343.0,,0.0,205.0,10.0,,,,65.0,103.0,6.0,102.0,,24.0,15.0,7.0,,9.0,3.0,152.0,2.0,4.0,195.0,898.0,8.0,1.0,33.0,10.0,589.0,20.0,1.0,3.0,4.0,,2.0,,5.0,26.0,672.0,76.0,92217,6.0,271.0,15.0,,1.0,288.0,8.0,,15.0,4.0,50.0,2.0,,2.0,2.0,17.0,5.0,3.0,,45.0,609.0,10.0,3.0,3.0,16.0,2.0,74.0,,0.0,3.0,,2.0,1.0,0.0,,5.0,71.4,25.0,4.0,6.0,,2.0,2.0,52.0,7.0,,693.0,10.0,8.0,19.0,7.0,52.0,2.0,4.0,434.0,8.0,1.0,14.0,155.0,36.0,,4.0,16.0,,2.0,11.0,3.0,29.0,,8.0,7.0,,1.0,4.0,1.0,,,,,2.0,3.0,3.0,1.0,2.0,1.0,,,,4.0,,,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
26,2128543,2021-02-28 19:15:00,"Bramall Lane, Sheffield",,Away,Liverpool,Sheffield United,2,0,W,0,0,0,0,1.0,27.0,60.0,1.0,2.0,,,30.0,15.0,3.0,4.0,13.0,,4.0,198.0,,12.0,4.0,7.0,2.0,,14.0,8.0,185.0,143.0,48.0,16.0,2.0,25.0,6.0,,1.0,4.0,14.0,8.0,,1.0,15.0,3.0,6.0,58.0,278.0,,0.0,154.0,9.0,,,,81.0,84.0,10.0,87.0,,11.0,20.0,3.0,,5.0,,143.0,4.0,5.0,168.0,802.0,13.0,3.0,25.0,5.0,514.0,30.0,,3.0,3.0,,0.0,2.0,4.0,18.0,617.0,56.0,92217,8.0,259.0,6.0,,,294.0,3.0,,20.0,8.0,48.0,,,1.0,6.0,15.0,3.0,1.0,,63.0,533.0,9.0,3.0,1.0,15.0,1.0,81.0,,0.0,1.0,2.0,,1.0,0.0,,3.0,60.7,18.0,,6.0,1.0,6.0,4.0,51.0,3.0,,638.0,5.0,6.0,30.0,4.0,32.0,1.0,4.0,358.0,9.0,6.0,20.0,110.0,18.0,,3.0,12.0,,,15.0,2.0,12.0,,8.0,3.0,,1.0,3.0,,,1.0,,1.0,2.0,1.0,2.0,,5.0,,1.0,,1.0,7.0,,,4.0,1.0,,3.0,,,2.0,2.0,,,2.0,,,1.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
