gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goals,attFreekickTotal,attOboxBlocked,attIboxTarget,postScoringAtt,goalAssistOpenplay,attIboxPost,attMissHighRight,penaltyWon,divingSave,attSvLowLeft,freekickTotal,attGoalHighCentre,bigChanceCreated,attPostLeft,hitWoodwork,attMissHighLeft,goalAssist,offtargetAttAssist,attBxCentre,penaltyConceded,attRfGoal,goalsOpenplay,attPenGoal,attAssistSetplay,attCorner,punches,overrun,attIboxGoal,attCmissHighRight,goalAssistIntentional,attHdTotal,attHdMiss,attBxLeft,penaltyFaced,penGoalsConceded,attFreekickMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,attHdGoal,attSvHighRight,goodHighClaim,contentiousDecision,attHdTarget,attCmissHigh,attMissHigh,attSvHighCentre,totalHighClaim,handBall,shotFastbreak,totalFastbreak,bigChanceMissed,totalPullBack,attCmissHighLeft,attFastbreak,attLfGoal,attPenPost,attGoalHighRight,accurateFreekickCross,attFreekickTarget,attPostHigh,shieldBallOop,ptsDroppedWinningPos,attOboxGoal,midfielderGoals,attGoalHighLeft,attPostRight,attObxLeft,cleanSheet,attSvHighLeft,defenderGoals,foulThrowIn,attCmissRight,attPenTarget,accuratePullBack,attPenMiss,totalThroughBall,attGoalLowRight,goalFastbreak,attOneOnOne,accurateThroughBall,goalsConcededObox,attGoalLowCentre,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,goalAssistSetplay,ptsGainedLosingPos,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attObxRight,goalAssistDeadball,attIboxOwnGoal
11,2128391,2020-12-05 15:00:00,"Etihad Stadium, Manchester",,Away,Fulham,Manchester City,0,2,L,0,2,0,0,1.0,32.0,55.0,1.0,16.0,23.0,1.0,2.0,4.0,4.0,,137.0,18.0,2.0,19.0,,5.0,1.0,63.0,118.0,52.0,6.0,8.0,2.0,,,,7.0,12.0,,23.0,2.0,3.0,36.0,117.0,0.0,88.0,6.0,1.0,57.0,48.0,2.0,65.0,5.0,3.0,5.0,12.0,2.0,3.0,2.0,118.0,13.0,86.0,531.0,1.0,3.0,1.0,6.0,18.0,254.0,22.0,1.0,7.0,,0.0,2.0,10.0,325.0,43.0,,96994,159.0,1.0,,,181.0,4.0,12.0,15.0,42.0,1.0,6.0,16.0,2.0,11.0,45.0,274.0,7.0,12.0,7.0,45.0,,,0.0,9.0,3.0,2.0,,0.0,,31.1,8.0,3.0,6.0,1.0,,24.0,3.0,351.0,18.0,12.0,12.0,4.0,17.0,177.0,2.0,3.0,9.0,50.0,23.0,,7.0,17.0,2.0,4.0,3.0,24.0,,8.0,3.0,,0.0,,0.0,,,1.0,,,,,,3.0,,,0.0,,,,1.0,,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,,0.0,,,2.0,2.0,,1.0,1.0,,2.0,2.0,,0.0,1.0,,,,,,,,1.0,,,,,1.0,,0.0,,0.0,,,,2.0,,0.0,0.0,0.0,,,,,0.0,,,,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
12,2128399,2020-12-13 16:30:00,"Craven Cottage, London",2000.0,Home,Fulham,Liverpool,1,1,D,1,0,0,0,,33.0,60.0,,28.0,42.0,4.0,1.0,6.0,5.0,4.0,118.0,15.0,3.0,11.0,2.0,7.0,5.0,55.0,141.0,51.0,10.0,12.0,3.0,,2.0,2.0,17.0,8.0,1.0,42.0,6.0,1.0,23.0,90.0,0.0,96.0,9.0,,35.0,37.0,5.0,24.0,1.0,1.0,11.0,11.0,4.0,3.0,2.0,141.0,7.0,30.0,452.0,,5.0,6.0,21.0,17.0,139.0,31.0,5.0,25.0,,3.0,2.0,19.0,206.0,47.0,,96994,66.0,8.0,,1.0,85.0,5.0,11.0,8.0,54.0,2.0,2.0,22.0,5.0,6.0,63.0,153.0,4.0,14.0,26.0,51.0,1.0,,0.0,8.0,2.0,1.0,1.0,0.0,2.0,24.9,14.0,5.0,2.0,1.0,,20.0,6.0,227.0,17.0,11.0,15.0,4.0,29.0,159.0,7.0,,19.0,61.0,13.0,5.0,25.0,17.0,1.0,7.0,3.0,21.0,5.0,5.0,6.0,,1.0,3.0,1.0,,1.0,3.0,,,,,,3.0,,,,3.0,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,,1.0,2.0,,,4.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,
13,2128408,2020-12-16 20:00:00,"Craven Cottage, London",,Home,Fulham,Brighton and Hove Albion,0,0,D,0,0,0,0,1.0,31.0,80.0,,21.0,23.0,2.0,2.0,7.0,4.0,3.0,175.0,18.0,1.0,13.0,,7.0,4.0,102.0,173.0,52.0,9.0,15.0,2.0,,2.0,,9.0,11.0,,23.0,1.0,6.0,43.0,151.0,0.0,143.0,15.0,,47.0,71.0,5.0,58.0,2.0,2.0,8.0,18.0,2.0,2.0,,173.0,5.0,91.0,637.0,,4.0,5.0,13.0,17.0,300.0,37.0,3.0,9.0,,1.0,1.0,22.0,404.0,67.0,,96994,162.0,6.0,,1.0,195.0,6.0,18.0,6.0,53.0,1.0,4.0,25.0,4.0,4.0,76.0,312.0,10.0,9.0,37.0,81.0,,,0.0,8.0,2.0,,1.0,0.0,,46.4,13.0,7.0,4.0,2.0,,29.0,1.0,426.0,17.0,9.0,21.0,3.0,18.0,240.0,4.0,6.0,13.0,93.0,29.0,2.0,9.0,16.0,,6.0,3.0,20.0,2.0,8.0,1.0,,,2.0,,,2.0,4.0,,,,,,1.0,1.0,,,1.0,,,,,2.0,2.0,,,,,3.0,1.0,1.0,,,,,3.0,3.0,,,,,1.0,3.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2128422,2020-12-19 20:00:00,"St. James' Park, Newcastle",,Away,Fulham,Newcastle United,1,1,D,1,0,1,0,1.0,33.0,52.0,1.0,33.0,20.0,5.0,2.0,6.0,4.0,2.0,143.0,13.0,6.0,13.0,3.0,7.0,4.0,131.0,143.0,43.0,11.0,22.0,,,1.0,3.0,22.0,4.0,1.0,20.0,9.0,5.0,41.0,181.0,0.0,123.0,17.0,2.0,87.0,46.0,4.0,87.0,1.0,1.0,13.0,16.0,5.0,2.0,2.0,143.0,6.0,119.0,649.0,,6.0,2.0,20.0,12.0,383.0,24.0,2.0,17.0,,3.0,2.0,18.0,460.0,62.0,,96994,220.0,9.0,,1.0,235.0,11.0,16.0,9.0,55.0,,1.0,16.0,6.0,6.0,64.0,395.0,7.0,5.0,15.0,76.0,1.0,,0.0,2.0,3.0,1.0,1.0,1.0,3.0,50.5,5.0,1.0,1.0,3.0,,44.0,9.0,480.0,12.0,7.0,21.0,4.0,34.0,267.0,7.0,5.0,16.0,79.0,22.0,3.0,17.0,7.0,1.0,5.0,3.0,18.0,3.0,7.0,9.0,,,1.0,1.0,1.0,2.0,3.0,,,,,,2.0,2.0,1.0,,2.0,,,,,3.0,5.0,1.0,,,,1.0,3.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,3.0,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2128428,2020-12-26 15:00:00,"Craven Cottage, London",,Home,Fulham,Southampton,0,0,D,0,0,0,0,1.0,34.0,54.0,3.0,26.0,22.0,3.0,3.0,7.0,2.0,,142.0,17.0,4.0,12.0,1.0,8.0,1.0,75.0,182.0,67.0,10.0,16.0,,2.0,1.0,3.0,24.0,14.0,,22.0,6.0,4.0,37.0,133.0,0.0,107.0,15.0,2.0,62.0,51.0,5.0,49.0,1.0,,18.0,8.0,3.0,5.0,1.0,182.0,1.0,65.0,573.0,,7.0,4.0,21.0,15.0,221.0,27.0,5.0,15.0,2.0,2.0,,33.0,308.0,42.0,,96994,109.0,11.0,,1.0,136.0,8.0,8.0,8.0,72.0,1.0,6.0,24.0,2.0,7.0,55.0,238.0,11.0,9.0,23.0,75.0,,1.0,0.0,3.0,,,2.0,0.0,3.0,46.7,25.0,8.0,6.0,5.0,,39.0,6.0,331.0,15.0,19.0,21.0,4.0,26.0,219.0,5.0,2.0,20.0,72.0,13.0,3.0,15.0,24.0,,8.0,2.0,27.0,3.0,3.0,6.0,,,2.0,,,2.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,3.0,5.0,,,,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,,,,1.0,3.0,,,,,,,,,,,2.0,,,1.0,2.0,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
16,2128444,2021-01-13 20:15:00,"Tottenham Hotspur Stadium, London",,Away,Fulham,Tottenham Hotspur,1,1,D,0,1,0,0,1.0,30.0,68.0,3.0,32.0,20.0,5.0,2.0,10.0,5.0,2.0,168.0,16.0,3.0,18.0,2.0,12.0,4.0,114.0,148.0,68.0,15.0,19.0,1.0,,2.0,3.0,20.0,7.0,1.0,20.0,4.0,6.0,42.0,187.0,0.0,113.0,15.0,1.0,79.0,56.0,8.0,76.0,1.0,1.0,17.0,19.0,5.0,3.0,1.0,148.0,10.0,109.0,664.0,,9.0,6.0,21.0,13.0,359.0,26.0,4.0,12.0,,2.0,3.0,8.0,443.0,44.0,,96994,192.0,13.0,,,222.0,7.0,19.0,6.0,60.0,2.0,6.0,18.0,5.0,4.0,57.0,376.0,13.0,13.0,15.0,66.0,1.0,1.0,0.0,6.0,3.0,1.0,3.0,0.0,2.0,47.6,6.0,3.0,7.0,6.0,,41.0,5.0,467.0,13.0,4.0,27.0,5.0,25.0,265.0,10.0,6.0,24.0,82.0,31.0,1.0,12.0,13.0,1.0,10.0,3.0,28.0,1.0,5.0,5.0,,,2.0,1.0,1.0,3.0,2.0,,1.0,,1.0,,3.0,,1.0,,1.0,,,,1.0,4.0,7.0,,,1.0,,2.0,4.0,1.0,3.0,1.0,,1.0,2.0,1.0,,,,,2.0,4.0,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
17,2128447,2021-02-17 18:00:00,"Turf Moor, Burnley",,Away,Fulham,Burnley,1,1,D,0,0,0,0,1.0,30.0,65.0,,13.0,30.0,3.0,1.0,5.0,2.0,,166.0,14.0,4.0,9.0,,8.0,3.0,115.0,178.0,63.0,8.0,27.0,,,,2.0,14.0,9.0,1.0,30.0,5.0,3.0,42.0,126.0,0.0,79.0,13.0,,43.0,63.0,4.0,62.0,,,10.0,23.0,3.0,3.0,1.0,178.0,7.0,134.0,647.0,,5.0,7.0,13.0,8.0,330.0,30.0,5.0,13.0,,1.0,,18.0,452.0,39.0,1.0,96994,227.0,7.0,,,281.0,7.0,23.0,7.0,56.0,,4.0,19.0,1.0,5.0,63.0,349.0,7.0,6.0,28.0,79.0,,,0.0,5.0,1.0,1.0,2.0,0.0,2.0,54.0,9.0,2.0,4.0,1.0,,29.0,5.0,477.0,8.0,6.0,13.0,4.0,15.0,210.0,4.0,2.0,33.0,49.0,27.0,3.0,13.0,14.0,1.0,5.0,3.0,13.0,3.0,6.0,5.0,,,1.0,1.0,,1.0,1.0,,,,2.0,,,1.0,,,,,,,1.0,4.0,4.0,,,,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,3.0,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,
18,2128458,2021-01-20 20:15:00,"Craven Cottage, London",,Home,Fulham,Manchester United,1,2,L,1,1,0,0,,,58.0,2.0,14.0,29.0,4.0,2.0,8.0,3.0,3.0,137.0,,4.0,11.0,2.0,10.0,5.0,102.0,133.0,44.0,12.0,10.0,1.0,,4.0,,15.0,9.0,1.0,29.0,2.0,2.0,36.0,118.0,0.0,74.0,6.0,2.0,32.0,41.0,7.0,42.0,1.0,1.0,13.0,14.0,4.0,3.0,2.0,133.0,10.0,119.0,601.0,,9.0,6.0,15.0,15.0,298.0,32.0,,18.0,,3.0,4.0,17.0,373.0,41.0,,92259,209.0,8.0,,,244.0,3.0,14.0,14.0,44.0,1.0,3.0,18.0,5.0,12.0,46.0,323.0,10.0,10.0,14.0,61.0,,,0.0,8.0,2.0,2.0,,0.0,4.0,38.4,10.0,4.0,3.0,3.0,,35.0,2.0,400.0,15.0,10.0,14.0,4.0,23.0,171.0,8.0,2.0,11.0,46.0,19.0,4.0,18.0,12.0,1.0,11.0,3.0,19.0,4.0,7.0,2.0,1.0,1.0,1.0,1.0,,1.0,3.0,,1.0,,2.0,,3.0,,,,1.0,,,,1.0,3.0,5.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,2.0,1.0,2.0,,,,,2.0,1.0,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,,,1.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,
19,2128468,2021-01-16 17:30:00,"Craven Cottage, London",,Home,Fulham,Chelsea,0,1,L,0,0,1,0,1.0,30.0,60.0,2.0,25.0,33.0,2.0,1.0,7.0,5.0,2.0,141.0,10.0,3.0,10.0,1.0,5.0,3.0,62.0,147.0,62.0,10.0,14.0,,,1.0,2.0,11.0,10.0,1.0,33.0,1.0,9.0,44.0,127.0,0.0,102.0,11.0,1.0,69.0,38.0,1.0,55.0,2.0,,10.0,14.0,3.0,1.0,2.0,147.0,13.0,70.0,557.0,1.0,5.0,9.0,18.0,18.0,227.0,32.0,8.0,13.0,,2.0,8.0,25.0,306.0,50.0,,96994,114.0,8.0,,,139.0,8.0,14.0,8.0,49.0,1.0,4.0,23.0,8.0,4.0,56.0,238.0,10.0,7.0,17.0,67.0,1.0,,0.0,12.0,3.0,1.0,1.0,1.0,3.0,30.2,19.0,8.0,4.0,2.0,,39.0,1.0,328.0,18.0,12.0,16.0,5.0,20.0,200.0,8.0,7.0,22.0,57.0,14.0,2.0,13.0,20.0,1.0,8.0,3.0,15.0,2.0,5.0,1.0,,,2.0,,1.0,,2.0,,,,3.0,,4.0,,1.0,,1.0,,,,,4.0,2.0,,,,,,1.0,1.0,2.0,,,,1.0,1.0,4.0,,,1.0,,3.0,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,2128476,2021-01-27 19:30:00,"American Express Stadium, Falmer",,Away,Fulham,Brighton and Hove Albion,0,0,D,0,0,0,0,,36.0,57.0,2.0,18.0,20.0,2.0,2.0,8.0,5.0,2.0,178.0,16.0,3.0,11.0,1.0,9.0,3.0,95.0,169.0,58.0,10.0,28.0,1.0,,1.0,1.0,11.0,7.0,,20.0,,2.0,36.0,139.0,0.0,90.0,14.0,,60.0,50.0,5.0,72.0,5.0,1.0,11.0,29.0,2.0,6.0,2.0,169.0,12.0,94.0,646.0,,9.0,3.0,15.0,16.0,310.0,27.0,4.0,8.0,,1.0,6.0,18.0,414.0,36.0,1.0,96994,188.0,5.0,,,233.0,9.0,29.0,9.0,78.0,,5.0,17.0,4.0,3.0,56.0,324.0,10.0,13.0,25.0,75.0,2.0,,0.0,10.0,4.0,,2.0,0.0,3.0,50.5,15.0,,5.0,2.0,,38.0,,439.0,16.0,14.0,20.0,5.0,12.0,217.0,6.0,1.0,26.0,66.0,22.0,3.0,8.0,12.0,,10.0,3.0,20.0,3.0,10.0,,,,1.0,,,,3.0,,,,,,2.0,,,,,,,1.0,,4.0,4.0,,,,,,,4.0,3.0,,,,1.0,,2.0,,,,,3.0,,,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,2128494,2021-01-30 15:00:00,"The Hawthorns, West Bromwich",,Away,Fulham,West Bromwich Albion,2,2,D,1,0,0,0,,32.0,65.0,1.0,27.0,17.0,4.0,2.0,8.0,1.0,4.0,175.0,20.0,2.0,10.0,3.0,11.0,7.0,162.0,166.0,63.0,12.0,20.0,1.0,,1.0,,18.0,5.0,2.0,17.0,3.0,6.0,39.0,221.0,0.0,135.0,10.0,2.0,55.0,58.0,8.0,84.0,,,15.0,14.0,4.0,8.0,1.0,166.0,4.0,153.0,742.0,,8.0,5.0,18.0,6.0,450.0,36.0,5.0,9.0,,0.0,,20.0,554.0,61.0,,96994,245.0,5.0,,1.0,286.0,5.0,6.0,8.0,50.0,1.0,3.0,16.0,1.0,5.0,62.0,464.0,9.0,8.0,21.0,74.0,2.0,,0.0,2.0,1.0,2.0,1.0,0.0,1.0,62.5,13.0,6.0,3.0,2.0,,41.0,3.0,574.0,6.0,8.0,19.0,3.0,28.0,306.0,8.0,6.0,36.0,93.0,19.0,2.0,9.0,8.0,2.0,10.0,3.0,15.0,2.0,6.0,3.0,2.0,1.0,,2.0,,1.0,3.0,1.0,2.0,1.0,,,1.0,2.0,,,3.0,1.0,1.0,2.0,2.0,3.0,5.0,,1.0,2.0,,1.0,1.0,,3.0,2.0,,2.0,2.0,,2.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0982,1.3247,0.76922,1.34965,,,
22,2128498,2021-02-03 18:00:00,"Craven Cottage, London",,Home,Fulham,Leicester City,0,2,L,0,2,0,0,,37.0,68.0,2.0,27.0,16.0,4.0,1.0,4.0,3.0,,166.0,17.0,6.0,18.0,1.0,7.0,1.0,171.0,155.0,66.0,8.0,15.0,,,,1.0,25.0,13.0,,16.0,5.0,4.0,49.0,229.0,0.0,161.0,17.0,1.0,51.0,91.0,4.0,87.0,,1.0,20.0,18.0,4.0,10.0,3.0,155.0,7.0,174.0,802.0,,5.0,4.0,26.0,13.0,480.0,27.0,3.0,14.0,,3.0,2.0,27.0,580.0,70.0,,96994,275.0,9.0,1.0,,293.0,7.0,18.0,3.0,57.0,1.0,4.0,9.0,2.0,3.0,57.0,498.0,10.0,9.0,7.0,88.0,,,0.0,2.0,2.0,2.0,2.0,0.0,5.0,57.5,20.0,9.0,4.0,3.0,,62.0,5.0,598.0,13.0,8.0,19.0,4.0,34.0,330.0,5.0,4.0,16.0,102.0,28.0,3.0,14.0,22.0,2.0,7.0,3.0,28.0,3.0,8.0,5.0,,,1.0,,,1.0,1.0,,,,1.0,,2.0,,,,1.0,,,,,3.0,3.0,,,,,2.0,1.0,,1.0,,,,2.0,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
23,2128508,2021-02-06 17:30:00,"Craven Cottage, London",,Home,Fulham,West Ham United,0,0,D,0,0,0,1,,27.0,62.0,3.0,21.0,11.0,7.0,7.0,13.0,1.0,1.0,162.0,12.0,5.0,8.0,2.0,14.0,2.0,156.0,132.0,42.0,20.0,26.0,3.0,,1.0,4.0,18.0,9.0,1.0,11.0,5.0,6.0,33.0,191.0,0.0,139.0,11.0,1.0,52.0,57.0,5.0,80.0,1.0,3.0,13.0,14.0,7.0,4.0,3.0,132.0,7.0,152.0,722.0,,12.0,2.0,29.0,11.0,448.0,20.0,1.0,7.0,,1.0,1.0,15.0,530.0,56.0,,96994,277.0,8.0,1.0,,295.0,6.0,14.0,6.0,49.0,1.0,4.0,18.0,1.0,4.0,52.0,463.0,10.0,4.0,20.0,81.0,,2.0,0.0,3.0,1.0,,,0.0,3.0,60.6,13.0,7.0,4.0,6.0,,51.0,7.0,550.0,11.0,6.0,19.0,12.0,36.0,273.0,9.0,4.0,11.0,91.0,31.0,,7.0,13.0,,16.0,3.0,11.0,,10.0,7.0,,,,,2.0,3.0,1.0,,,,1.0,,1.0,,2.0,,2.0,,,,,9.0,7.0,,,,,2.0,2.0,,2.0,,,,4.0,3.0,2.0,,,1.0,2.0,9.0,,,,,,1.0,2.0,4.0,1.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
24,2128520,2021-02-14 19:00:00,"Goodison Park, Liverpool",,Away,Fulham,Everton,2,0,W,0,0,0,0,,,62.0,2.0,24.0,24.0,4.0,2.0,8.0,2.0,1.0,176.0,,3.0,8.0,1.0,9.0,3.0,137.0,126.0,34.0,12.0,15.0,,,,1.0,15.0,4.0,1.0,24.0,3.0,7.0,34.0,240.0,0.0,158.0,16.0,2.0,100.0,53.0,4.0,93.0,1.0,1.0,12.0,17.0,4.0,3.0,2.0,126.0,4.0,139.0,722.0,,7.0,5.0,29.0,12.0,454.0,24.0,3.0,13.0,,1.0,2.0,21.0,527.0,58.0,,96994,229.0,7.0,1.0,2.0,260.0,6.0,17.0,6.0,56.0,2.0,2.0,15.0,3.0,5.0,53.0,466.0,7.0,8.0,16.0,63.0,,1.0,0.0,5.0,1.0,,1.0,0.0,2.0,50.3,20.0,8.0,2.0,3.0,,43.0,4.0,545.0,12.0,11.0,16.0,6.0,28.0,300.0,9.0,7.0,9.0,125.0,24.0,3.0,13.0,10.0,,9.0,3.0,14.0,3.0,8.0,4.0,2.0,,1.0,2.0,,1.0,,,1.0,,2.0,,,1.0,,,1.0,,2.0,,1.0,5.0,4.0,,2.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,1.0,4.0,2.0,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
25,2128530,2021-02-20 20:00:00,"Craven Cottage, London",,Home,Fulham,Sheffield United,1,0,W,0,0,0,0,2.0,35.0,60.0,1.0,32.0,19.0,8.0,4.0,7.0,2.0,4.0,190.0,20.0,4.0,26.0,3.0,10.0,7.0,161.0,168.0,72.0,15.0,27.0,1.0,,3.0,2.0,22.0,3.0,4.0,19.0,4.0,1.0,45.0,236.0,0.0,168.0,11.0,1.0,57.0,96.0,5.0,89.0,1.0,,18.0,19.0,8.0,5.0,3.0,168.0,4.0,157.0,800.0,,9.0,9.0,28.0,7.0,473.0,31.0,6.0,11.0,,1.0,,22.0,572.0,63.0,,96994,262.0,12.0,,,298.0,1.0,19.0,6.0,60.0,1.0,3.0,24.0,,5.0,72.0,494.0,14.0,3.0,29.0,74.0,1.0,,0.0,4.0,2.0,,4.0,0.0,3.0,65.1,21.0,4.0,3.0,2.0,,42.0,6.0,597.0,7.0,7.0,23.0,6.0,28.0,321.0,10.0,1.0,26.0,127.0,22.0,1.0,11.0,6.0,,13.0,3.0,39.0,1.0,6.0,6.0,1.0,,,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,5.0,4.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,1.0,2.0,,,,1.0,3.0,,,1.0,,,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
26,2128537,2021-02-28 12:00:00,"Selhurst Park, London",,Away,Fulham,Crystal Palace,0,0,D,0,0,0,0,2.0,29.0,59.0,1.0,31.0,16.0,7.0,6.0,8.0,1.0,,169.0,14.0,11.0,16.0,5.0,12.0,4.0,134.0,141.0,63.0,16.0,22.0,,,4.0,3.0,20.0,10.0,2.0,16.0,3.0,10.0,37.0,236.0,0.0,138.0,14.0,4.0,80.0,104.0,4.0,90.0,1.0,6.0,17.0,22.0,8.0,4.0,5.0,141.0,2.0,147.0,737.0,,8.0,6.0,18.0,4.0,442.0,22.0,2.0,7.0,,1.0,2.0,31.0,532.0,66.0,,96994,223.0,9.0,1.0,3.0,251.0,12.0,22.0,,63.0,,3.0,14.0,1.0,,52.0,448.0,10.0,8.0,11.0,73.0,,2.0,0.0,1.0,,,4.0,0.0,9.0,59.6,27.0,5.0,3.0,2.0,,56.0,3.0,540.0,4.0,11.0,19.0,10.0,27.0,309.0,5.0,9.0,19.0,91.0,28.0,1.0,7.0,18.0,,8.0,3.0,25.0,1.0,4.0,3.0,,,,,1.0,1.0,2.0,,,,,,,,1.0,,1.0,,,,,8.0,5.0,,,,,4.0,4.0,,2.0,,,,5.0,3.0,1.0,,,1.0,2.0,5.0,,,,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
