gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attMissHighRight,attOboxGoal,ptsGainedLosingPos,divingSave,midfielderGoals,accurateLaunches,accurateFreekickCross,sixYardBlock,attCmissHighLeft,goalsConceded,totalHighClaim,accurateCornersIntobox,goalsConcededIbox,attGoalLowRight,savedObox,attSvLowLeft,attGoalHighLeft,punches,attOneOnOne,attAssistSetplay,goalsConcededObox,handBall,goodHighClaim,attMissHigh,attCmissHighRight,attHdMiss,attGoalLowCentre,attObxLeft,attOboxMiss,attLgCentre,attCmissLeft,attFreekickMiss,attLfGoal,accuratePullBack,attSvHighRight,attHdTarget,hitWoodwork,foulThrowIn,attPenTarget,attObxdRight,ownGoals,clearanceOffLine,attIboxOwnGoal,postScoringAtt,attIboxPost,attPostLeft,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,attCmissHigh,attObxRight,attPostRight,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,accurateKeeperSweeper,totalKeeperSweeper,goalAssistSetplay,goalFastbreak,ptsDroppedWinningPos,attObxdLeft,goalAssistDeadball,attSvHighLeft,errorLeadToGoal,attLgLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals
11,2128392,2020-12-06 14:15:00,"Bramall Lane, Sheffield",,Away,Leicester City,Sheffield United,2,1,W,1,1,0,0,,2.0,44.0,60.0,,4.0,31.0,17.0,3.0,3.0,9.0,,2.0,169.0,24.0,2.0,16.0,2.0,4.0,7.0,,4.0,213.0,160.0,64.0,1.0,13.0,1.0,23.0,1.0,,3.0,1.0,2.0,,27.0,12.0,,1.0,17.0,5.0,7.0,44.0,340.0,,,0.0,188.0,6.0,,3.0,76.0,108.0,4.0,83.0,2.0,1.0,22.0,21.0,4.0,1.0,8.0,160.0,1.0,1.0,3.0,209.0,875.0,6.0,2.0,25.0,7.0,557.0,22.0,,7.0,1.0,3.0,1.0,3.0,19.0,654.0,69.0,1.0,,95463,6.0,236.0,,11.0,3.0,265.0,4.0,2.0,1.0,21.0,3.0,53.0,1.0,,4.0,5.0,2.0,14.0,1.0,3.0,,55.0,574.0,13.0,8.0,9.0,,78.0,,,0.0,,,6.0,,2.0,1.0,0.0,2.0,1.0,,,70.3,18.0,4.0,,,5.0,5.0,50.0,5.0,674.0,7.0,9.0,19.0,4.0,38.0,,436.0,10.0,7.0,19.0,143.0,27.0,2.0,3.0,7.0,18.0,,9.0,3.0,23.0,3.0,5.0,5.0,,,,,,1.0,,,,1.0,2.0,,1.0,1.0,,,1.0,,,,,,2.0,1.0,,,,,2.0,,,1.0,,,,,2.0,,,,,,,2.0,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12,2128401,2020-12-13 19:15:00,"King Power Stadium, Leicester",,Home,Leicester City,Brighton and Hove Albion,3,0,W,3,0,0,0,1.0,1.0,24.0,60.0,0.0,2.0,40.0,20.0,2.0,7.0,13.0,4.0,2.0,152.0,10.0,3.0,9.0,3.0,1.0,13.0,1.0,6.0,143.0,128.0,45.0,,15.0,2.0,10.0,3.0,,6.0,3.0,1.0,,17.0,6.0,0.0,,20.0,,8.0,33.0,258.0,1.0,,0.0,158.0,9.0,,1.0,72.0,106.0,9.0,105.0,,1.0,17.0,19.0,2.0,,7.0,128.0,1.0,1.0,6.0,139.0,727.0,10.0,4.0,30.0,14.0,447.0,25.0,,16.0,3.0,2.0,4.0,4.0,15.0,515.0,53.0,,,95463,5.0,214.0,1.0,9.0,,234.0,6.0,0.0,2.0,19.0,4.0,53.0,,0.0,4.0,7.0,3.0,12.0,6.0,4.0,0.0,54.0,469.0,10.0,10.0,12.0,4.0,57.0,,,0.0,,,5.0,4.0,3.0,3.0,0.0,3.0,1.0,,,54.1,12.0,3.0,1.0,1.0,7.0,4.0,42.0,9.0,539.0,14.0,15.0,22.0,5.0,27.0,4.0,322.0,8.0,8.0,15.0,128.0,25.0,3.0,,16.0,12.0,0.0,11.0,3.0,19.0,,8.0,9.0,1.0,0.0,,1.0,0.0,4.0,,,,0.0,,,0.0,1.0,,1.0,1.0,,,,0.0,1.0,,2.0,,,1.0,,,,,,3.0,2.0,,,1.0,,,,0.0,,,1.0,1.0,1.0,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
13,2128410,2020-12-16 18:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Everton,0,2,L,0,1,0,0,,,32.0,64.0,,3.0,17.0,13.0,9.0,6.0,5.0,4.0,1.0,156.0,14.0,4.0,11.0,,1.0,11.0,,2.0,153.0,125.0,50.0,,14.0,5.0,12.0,1.0,,,,,3.0,16.0,11.0,,1.0,13.0,4.0,7.0,33.0,195.0,,,0.0,118.0,12.0,,1.0,59.0,75.0,8.0,79.0,,,12.0,12.0,9.0,,,125.0,1.0,1.0,9.0,159.0,730.0,9.0,4.0,20.0,10.0,449.0,28.0,,8.0,,2.0,4.0,3.0,22.0,532.0,51.0,,,95463,5.0,273.0,1.0,11.0,,293.0,8.0,,1.0,12.0,2.0,48.0,1.0,,2.0,3.0,,12.0,2.0,2.0,,37.0,464.0,9.0,11.0,9.0,4.0,53.0,,,0.0,,,6.0,4.0,,2.0,0.0,2.0,,,2.0,61.0,19.0,1.0,,1.0,3.0,8.0,30.0,4.0,547.0,10.0,8.0,11.0,4.0,25.0,1.0,270.0,5.0,6.0,9.0,76.0,32.0,,2.0,8.0,21.0,,10.0,2.0,16.0,2.0,3.0,4.0,,,,3.0,,2.0,,,,2.0,,2.0,1.0,,,1.0,,,,2.0,1.0,,,1.0,,1.0,,,3.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2128424,2020-12-20 14:15:00,"Tottenham Hotspur Stadium, London",,Away,Leicester City,Tottenham Hotspur,2,0,W,1,0,0,0,,1.0,32.0,73.0,,5.0,28.0,26.0,5.0,1.0,12.0,3.0,3.0,139.0,15.0,3.0,9.0,2.0,4.0,15.0,,4.0,108.0,144.0,66.0,,17.0,2.0,30.0,1.0,,1.0,,1.0,2.0,12.0,14.0,,2.0,26.0,3.0,1.0,39.0,171.0,1.0,1.0,0.0,140.0,14.0,,3.0,56.0,64.0,9.0,50.0,1.0,1.0,9.0,8.0,5.0,,2.0,144.0,,2.0,5.0,109.0,615.0,13.0,5.0,29.0,10.0,311.0,33.0,,13.0,,2.0,1.0,6.0,16.0,381.0,56.0,,,95463,7.0,153.0,,4.0,3.0,172.0,9.0,1.0,1.0,8.0,6.0,76.0,,,4.0,4.0,,21.0,3.0,2.0,1.0,72.0,321.0,15.0,12.0,25.0,,65.0,,2.0,0.0,,2.0,5.0,1.0,2.0,2.0,0.0,3.0,,,3.0,43.6,13.0,9.0,2.0,,4.0,7.0,27.0,3.0,406.0,10.0,9.0,21.0,6.0,24.0,5.0,246.0,13.0,1.0,24.0,99.0,22.0,1.0,1.0,13.0,19.0,,13.0,3.0,20.0,1.0,5.0,3.0,,,,3.0,,5.0,2.0,1.0,,,,,,,2.0,,,,,2.0,,,,3.0,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,2128430,2020-12-26 12:30:00,"King Power Stadium, Leicester",,Home,Leicester City,Manchester United,2,2,D,1,1,0,0,1.0,,35.0,68.0,1.0,,34.0,7.0,5.0,3.0,5.0,2.0,,166.0,21.0,4.0,10.0,2.0,3.0,6.0,1.0,2.0,135.0,156.0,55.0,1.0,10.0,4.0,10.0,1.0,,1.0,1.0,,2.0,22.0,12.0,,,7.0,4.0,3.0,44.0,179.0,,,0.0,138.0,10.0,,3.0,81.0,52.0,3.0,78.0,,1.0,18.0,23.0,5.0,1.0,6.0,156.0,,,8.0,128.0,701.0,4.0,3.0,17.0,14.0,390.0,35.0,,2.0,1.0,2.0,1.0,3.0,20.0,485.0,64.0,,,95463,3.0,230.0,1.0,9.0,3.0,263.0,7.0,,1.0,23.0,3.0,51.0,,,1.0,6.0,1.0,12.0,1.0,2.0,,69.0,405.0,16.0,11.0,19.0,1.0,60.0,,1.0,0.0,,2.0,,1.0,1.0,,0.0,3.0,,,1.0,54.4,19.0,8.0,,,6.0,4.0,32.0,5.0,507.0,14.0,12.0,23.0,4.0,28.0,4.0,266.0,6.0,2.0,12.0,84.0,19.0,,,2.0,17.0,,5.0,1.0,18.0,,12.0,5.0,,1.0,1.0,1.0,1.0,3.0,,,,2.0,,1.0,2.0,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2128439,2020-12-28 15:00:00,"Selhurst Park, London",,Away,Leicester City,Crystal Palace,1,1,D,0,0,0,0,1.0,,41.0,70.0,,2.0,38.0,11.0,8.0,3.0,9.0,,1.0,166.0,22.0,5.0,12.0,1.0,5.0,10.0,,3.0,176.0,174.0,64.0,2.0,17.0,2.0,23.0,1.0,,1.0,1.0,1.0,1.0,26.0,16.0,,1.0,11.0,5.0,4.0,44.0,238.0,,1.0,0.0,163.0,7.0,,5.0,85.0,127.0,3.0,83.0,1.0,1.0,21.0,25.0,8.0,2.0,5.0,174.0,1.0,,4.0,182.0,809.0,8.0,5.0,18.0,9.0,484.0,18.0,,5.0,1.0,1.0,,7.0,24.0,594.0,60.0,,,95463,5.0,261.0,2.0,11.0,4.0,291.0,4.0,,,25.0,4.0,54.0,,,2.0,3.0,1.0,16.0,,3.0,,72.0,494.0,9.0,6.0,18.0,,88.0,,1.0,0.0,1.0,1.0,2.0,,,2.0,0.0,4.0,,,2.0,66.9,21.0,6.0,1.0,,3.0,4.0,55.0,5.0,607.0,9.0,8.0,23.0,10.0,31.0,6.0,342.0,10.0,3.0,21.0,106.0,41.0,,,5.0,22.0,,10.0,3.0,22.0,,8.0,5.0,2.0,1.0,1.0,,1.0,3.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,6.0,,2.0,,,4.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2128452,2021-01-03 14:15:00,"St. James' Park, Newcastle",,Away,Leicester City,Newcastle United,2,1,W,0,0,0,0,,,34.0,75.0,,,19.0,22.0,5.0,2.0,4.0,1.0,1.0,179.0,15.0,5.0,10.0,2.0,1.0,7.0,1.0,3.0,128.0,147.0,52.0,,9.0,1.0,24.0,1.0,,,2.0,,1.0,21.0,5.0,1.0,,22.0,6.0,6.0,38.0,149.0,,,0.0,104.0,11.0,,,56.0,50.0,4.0,70.0,,2.0,15.0,20.0,5.0,,4.0,147.0,1.0,,5.0,115.0,684.0,4.0,2.0,19.0,20.0,379.0,34.0,1.0,12.0,2.0,2.0,3.0,3.0,13.0,472.0,54.0,1.0,,95463,3.0,252.0,1.0,11.0,,283.0,4.0,2.0,1.0,20.0,4.0,62.0,1.0,,3.0,2.0,2.0,13.0,3.0,4.0,,51.0,396.0,10.0,11.0,13.0,2.0,70.0,,,0.0,,1.0,3.0,1.0,1.0,,0.0,2.0,2.0,,1.0,56.7,11.0,3.0,1.0,,2.0,1.0,40.0,6.0,492.0,20.0,8.0,13.0,5.0,24.0,2.0,230.0,6.0,6.0,19.0,65.0,34.0,,3.0,12.0,14.0,,7.0,1.0,18.0,3.0,6.0,6.0,,1.0,,,2.0,3.0,,,,1.0,,3.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
18,2128460,2021-01-19 20:15:00,"King Power Stadium, Leicester",,Home,Leicester City,Chelsea,2,0,W,2,0,0,0,1.0,1.0,30.0,53.0,1.0,,20.0,15.0,3.0,3.0,5.0,5.0,2.0,135.0,14.0,2.0,6.0,2.0,3.0,8.0,,6.0,76.0,123.0,53.0,,8.0,,10.0,3.0,1.0,1.0,1.0,1.0,1.0,18.0,11.0,,1.0,15.0,4.0,4.0,32.0,126.0,1.0,,0.0,99.0,7.0,1.0,3.0,50.0,41.0,6.0,45.0,2.0,,14.0,23.0,3.0,,5.0,123.0,4.0,,8.0,84.0,526.0,5.0,7.0,19.0,11.0,262.0,19.0,,4.0,2.0,1.0,1.0,2.0,21.0,316.0,38.0,1.0,,95463,3.0,154.0,3.0,6.0,1.0,171.0,5.0,1.0,,23.0,4.0,53.0,1.0,,1.0,5.0,1.0,11.0,1.0,3.0,,39.0,278.0,16.0,11.0,9.0,1.0,47.0,1.0,,0.0,,3.0,3.0,5.0,1.0,2.0,0.0,2.0,1.0,,2.0,35.6,16.0,7.0,1.0,3.0,5.0,,30.0,6.0,340.0,11.0,12.0,15.0,2.0,30.0,1.0,187.0,3.0,4.0,13.0,72.0,20.0,,1.0,4.0,19.0,,6.0,3.0,19.0,1.0,10.0,6.0,,1.0,,1.0,2.0,3.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
19,2128470,2021-01-16 20:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Southampton,2,0,W,1,0,0,0,3.0,1.0,37.0,61.0,,2.0,23.0,21.0,3.0,6.0,13.0,3.0,,161.0,17.0,4.0,15.0,2.0,2.0,13.0,,5.0,112.0,172.0,71.0,,16.0,,16.0,3.0,2.0,,2.0,2.0,2.0,15.0,12.0,1.0,,21.0,2.0,2.0,48.0,149.0,1.0,,0.0,119.0,10.0,3.0,2.0,54.0,62.0,6.0,59.0,2.0,1.0,13.0,24.0,3.0,,1.0,172.0,2.0,,5.0,113.0,644.0,10.0,4.0,28.0,10.0,304.0,19.0,,15.0,2.0,2.0,,7.0,19.0,425.0,54.0,,,95463,8.0,174.0,2.0,10.0,,217.0,8.0,2.0,1.0,24.0,8.0,54.0,,,5.0,5.0,2.0,16.0,3.0,7.0,,57.0,319.0,10.0,16.0,16.0,1.0,68.0,2.0,,0.0,,1.0,5.0,2.0,2.0,,0.0,3.0,2.0,1.0,3.0,47.4,19.0,6.0,2.0,,5.0,2.0,25.0,2.0,445.0,10.0,8.0,20.0,9.0,24.0,6.0,243.0,7.0,2.0,24.0,75.0,30.0,,2.0,15.0,22.0,,15.0,3.0,20.0,2.0,10.0,2.0,1.0,,,3.0,2.0,3.0,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,5.0,,3.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
20,2128478,2021-01-27 20:15:00,"Goodison Park, Liverpool",,Away,Leicester City,Everton,1,1,D,0,1,0,0,,,28.0,55.0,1.0,2.0,24.0,20.0,12.0,4.0,7.0,1.0,5.0,155.0,11.0,,9.0,1.0,5.0,13.0,2.0,6.0,176.0,135.0,59.0,2.0,19.0,8.0,15.0,4.0,,2.0,,,,21.0,12.0,,1.0,20.0,2.0,2.0,29.0,239.0,,,0.0,165.0,10.0,,3.0,63.0,82.0,12.0,77.0,1.0,2.0,19.0,22.0,12.0,2.0,4.0,135.0,,,5.0,165.0,769.0,12.0,1.0,27.0,8.0,471.0,23.0,,11.0,1.0,1.0,2.0,1.0,24.0,548.0,59.0,,,95463,2.0,255.0,,12.0,,284.0,6.0,1.0,1.0,22.0,5.0,51.0,1.0,,1.0,4.0,,14.0,3.0,5.0,,39.0,494.0,12.0,12.0,8.0,4.0,50.0,,2.0,0.0,,2.0,5.0,1.0,,,0.0,,,,,65.0,21.0,3.0,1.0,,4.0,10.0,39.0,11.0,573.0,8.0,8.0,13.0,3.0,29.0,1.0,310.0,15.0,2.0,19.0,123.0,25.0,,3.0,11.0,19.0,,13.0,3.0,15.0,3.0,8.0,11.0,,1.0,1.0,,1.0,3.0,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,2.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
21,2128491,2021-01-31 14:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Leeds United,1,3,L,1,1,0,0,,,40.0,82.0,1.0,2.0,17.0,7.0,10.0,3.0,7.0,3.0,7.0,177.0,17.0,2.0,12.0,1.0,6.0,14.0,,8.0,84.0,171.0,65.0,1.0,18.0,4.0,12.0,2.0,,1.0,1.0,2.0,2.0,14.0,11.0,,5.0,7.0,5.0,9.0,39.0,162.0,,,0.0,104.0,17.0,,3.0,55.0,38.0,11.0,68.0,1.0,,9.0,20.0,11.0,1.0,3.0,171.0,2.0,1.0,7.0,75.0,621.0,11.0,4.0,14.0,14.0,287.0,26.0,,4.0,1.0,0.0,2.0,3.0,21.0,380.0,54.0,,,95463,4.0,143.0,3.0,3.0,1.0,175.0,10.0,1.0,1.0,20.0,4.0,59.0,1.0,,2.0,7.0,1.0,24.0,1.0,2.0,,46.0,303.0,16.0,4.0,13.0,3.0,64.0,,2.0,0.0,,,4.0,4.0,1.0,2.0,0.0,,1.0,,1.0,50.8,16.0,6.0,,,7.0,6.0,33.0,5.0,404.0,14.0,8.0,14.0,4.0,25.0,2.0,243.0,14.0,6.0,22.0,65.0,41.0,,,4.0,15.0,,13.0,3.0,31.0,,9.0,6.0,1.0,,,3.0,1.0,2.0,,1.0,,3.0,1.0,2.0,3.0,,,3.0,,,,2.0,,,1.0,1.0,,1.0,,,2.0,,2.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
22,2128498,2021-02-03 18:00:00,"Craven Cottage, London",,Away,Leicester City,Fulham,2,0,W,2,0,0,0,1.0,2.0,37.0,63.0,,2.0,22.0,23.0,2.0,2.0,7.0,1.0,2.0,160.0,20.0,2.0,9.0,2.0,,8.0,,5.0,109.0,150.0,57.0,,9.0,,16.0,2.0,1.0,1.0,2.0,2.0,,8.0,12.0,,1.0,23.0,,6.0,46.0,138.0,1.0,,0.0,104.0,10.0,1.0,,55.0,57.0,6.0,64.0,,1.0,8.0,18.0,2.0,,3.0,150.0,2.0,,4.0,114.0,651.0,5.0,4.0,20.0,9.0,323.0,37.0,,14.0,2.0,1.0,3.0,2.0,26.0,415.0,53.0,1.0,,95463,2.0,207.0,,5.0,1.0,251.0,5.0,1.0,,18.0,10.0,66.0,1.0,1.0,3.0,8.0,2.0,8.0,4.0,5.0,,61.0,343.0,16.0,18.0,19.0,1.0,66.0,1.0,,0.0,,1.0,5.0,1.0,2.0,1.0,0.0,2.0,2.0,,1.0,42.5,20.0,2.0,3.0,,8.0,2.0,39.0,2.0,447.0,9.0,12.0,13.0,2.0,14.0,1.0,204.0,6.0,5.0,15.0,59.0,15.0,1.0,3.0,14.0,18.0,1.0,7.0,3.0,19.0,3.0,7.0,2.0,,,,1.0,,2.0,,,,,2.0,,,1.0,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
23,2128515,2021-02-07 14:00:00,"Molineux Stadium, Wolverhampton",,Away,Leicester City,Wolverhampton Wanderers,0,0,D,0,0,0,0,1.0,,30.0,55.0,,3.0,20.0,22.0,7.0,2.0,6.0,1.0,2.0,143.0,11.0,4.0,8.0,,5.0,9.0,,3.0,179.0,123.0,46.0,1.0,13.0,2.0,11.0,,,,,2.0,3.0,12.0,12.0,,3.0,22.0,2.0,8.0,36.0,239.0,1.0,,0.0,135.0,15.0,,3.0,55.0,53.0,5.0,74.0,,,10.0,26.0,7.0,1.0,2.0,123.0,1.0,,7.0,171.0,761.0,8.0,5.0,25.0,5.0,477.0,18.0,,12.0,,3.0,5.0,4.0,23.0,550.0,46.0,,1.0,95463,4.0,258.0,1.0,5.0,,274.0,11.0,,,26.0,9.0,61.0,,,1.0,1.0,,18.0,6.0,9.0,,34.0,493.0,10.0,17.0,7.0,2.0,69.0,,1.0,0.0,1.0,1.0,8.0,1.0,,1.0,0.0,3.0,,2.0,2.0,56.1,21.0,6.0,2.0,,1.0,5.0,52.0,2.0,567.0,5.0,10.0,18.0,5.0,26.0,3.0,305.0,9.0,7.0,9.0,97.0,30.0,,5.0,12.0,19.0,,10.0,2.0,17.0,5.0,16.0,2.0,,,,,,3.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2128521,2021-02-13 12:30:00,"King Power Stadium, Leicester",,Home,Leicester City,Liverpool,3,1,W,0,0,0,0,,2.0,,86.0,,,18.0,38.0,1.0,,8.0,3.0,2.0,149.0,,2.0,13.0,3.0,4.0,6.0,,6.0,76.0,161.0,53.0,1.0,11.0,1.0,12.0,3.0,1.0,,1.0,3.0,1.0,6.0,15.0,,,38.0,2.0,4.0,50.0,69.0,,,0.0,43.0,7.0,2.0,3.0,36.0,16.0,3.0,44.0,1.0,,4.0,17.0,3.0,1.0,,161.0,2.0,2.0,11.0,88.0,585.0,4.0,3.0,12.0,17.0,241.0,45.0,,23.0,1.0,1.0,8.0,3.0,12.0,347.0,33.0,,,95463,5.0,180.0,2.0,1.0,,237.0,6.0,3.0,,17.0,5.0,63.0,,,2.0,6.0,2.0,17.0,4.0,2.0,,65.0,247.0,6.0,22.0,29.0,1.0,54.0,1.0,,0.0,,1.0,12.0,3.0,2.0,2.0,0.0,1.0,1.0,,2.0,38.0,8.0,4.0,2.0,,6.0,1.0,21.0,2.0,357.0,17.0,11.0,26.0,4.0,11.0,2.0,126.0,9.0,3.0,11.0,17.0,31.0,1.0,4.0,23.0,23.0,,9.0,3.0,25.0,4.0,8.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,,,,1.0,,1.0,1.0,2.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,2.0,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,
25,2128527,2021-02-21 14:05:00,"Villa Park, Birmingham",,Away,Leicester City,Aston Villa,2,1,W,2,0,0,0,2.0,1.0,32.0,48.0,,3.0,12.0,23.0,8.0,7.0,8.0,1.0,3.0,159.0,20.0,1.0,4.0,2.0,2.0,12.0,,7.0,105.0,123.0,50.0,1.0,16.0,4.0,22.0,2.0,1.0,2.0,1.0,3.0,1.0,13.0,13.0,,3.0,23.0,4.0,5.0,36.0,195.0,,,0.0,130.0,12.0,1.0,2.0,62.0,64.0,11.0,81.0,1.0,1.0,9.0,14.0,8.0,1.0,3.0,123.0,,,6.0,105.0,627.0,11.0,1.0,19.0,12.0,357.0,21.0,,14.0,1.0,1.0,4.0,1.0,16.0,424.0,60.0,,,95463,3.0,180.0,,4.0,,201.0,8.0,1.0,,14.0,7.0,59.0,1.0,,1.0,2.0,2.0,15.0,5.0,3.0,,43.0,374.0,10.0,9.0,10.0,2.0,62.0,1.0,,0.0,1.0,,7.0,,1.0,,0.0,1.0,,1.0,,50.1,14.0,4.0,3.0,,2.0,7.0,30.0,8.0,450.0,12.0,7.0,14.0,2.0,20.0,2.0,262.0,9.0,5.0,21.0,93.0,20.0,,6.0,14.0,16.0,,13.0,3.0,14.0,6.0,8.0,8.0,,1.0,,,2.0,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2128540,2021-02-28 12:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Arsenal,1,3,L,1,2,0,0,1.0,,31.0,60.0,1.0,3.0,22.0,15.0,2.0,5.0,6.0,1.0,1.0,148.0,12.0,1.0,6.0,1.0,1.0,5.0,,3.0,104.0,122.0,44.0,,8.0,,13.0,,,3.0,,1.0,1.0,9.0,12.0,,2.0,15.0,2.0,7.0,52.0,122.0,,,0.0,82.0,15.0,,1.0,40.0,53.0,4.0,66.0,2.0,,7.0,14.0,2.0,,3.0,122.0,,,6.0,90.0,563.0,5.0,3.0,16.0,12.0,304.0,31.0,,8.0,,2.0,4.0,1.0,14.0,395.0,60.0,,,95463,2.0,195.0,1.0,3.0,,231.0,7.0,1.0,1.0,14.0,5.0,45.0,,,,6.0,1.0,12.0,6.0,5.0,,51.0,316.0,3.0,9.0,5.0,2.0,56.0,,,0.0,,,7.0,,1.0,1.0,0.0,1.0,,,,44.2,13.0,3.0,1.0,1.0,6.0,3.0,29.0,2.0,408.0,12.0,4.0,23.0,2.0,13.0,2.0,186.0,3.0,7.0,14.0,45.0,18.0,,1.0,8.0,21.0,,6.0,3.0,11.0,1.0,8.0,2.0,,,,,1.0,1.0,,,,3.0,1.0,,3.0,,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,
