gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attPenTarget,penaltyWon,attSvLowLeft,goodHighClaim,attOboxMiss,contentiousDecision,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,totalHighClaim,handBall,attLfTarget,savedObox,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attSvHighRight,totalFastbreak,totalKeeperSweeper,attFastbreak,punches,overrun,shieldBallOop,clearanceOffLine,attGoalLowLeft,attLfGoal,goals,goalAssistOpenplay,attMissHighRight,attOboxGoal,goalAssist,errorLeadToShot,goalsOpenplay,forwardGoals,bigChanceScored,attGoalHighRight,ptsGainedLosingPos,penaltyConceded,attRfGoal,attPenGoal,attIboxGoal,penaltyFaced,attGoalLowRight,midfielderGoals,attMissHighLeft,sixYardBlock,attCmissHighLeft,attCmissHighRight,ptsDroppedWinningPos,goalsConcededObox,attOneOnOne,goalAssistSetplay,goalAssistIntentional,errorLeadToGoal,attPostHigh,attCmissRight,goalAssistDeadball,attHdGoal,attGoalLowCentre,attFreekickTotal,freekickTotal,attGoalHighCentre,attLgCentre,attFreekickTarget,cleanSheet,attFreekickMiss,penGoalsConceded,attSvHighLeft,ownGoals,attIboxOwnGoal,attObxdLeft,attOboxPost
11,2128392,2020-12-06 14:15:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Leicester City,1,2,L,1,1,0,0,44.0,59.0,1.0,17.0,26.0,1.0,,3.0,2.0,126.0,20.0,4.0,8.0,,4.0,,1.0,58.0,149.0,53.0,4.0,,19.0,,,,1.0,22.0,,4.0,26.0,6.0,3.0,23.0,110.0,0.0,100.0,13.0,1.0,1.0,46.0,53.0,2.0,31.0,1.0,,16.0,19.0,1.0,4.0,149.0,,9.0,58.0,469.0,2.0,3.0,12.0,,,9.0,172.0,25.0,7.0,16.0,1.0,5.0,2.0,22.0,255.0,41.0,82691,3.0,76.0,,11.0,106.0,7.0,,19.0,5.0,64.0,1.0,4.0,3.0,17.0,4.0,1.0,1.0,53.0,182.0,6.0,16.0,1.0,27.0,2.0,54.0,,,0.0,5.0,1.0,2.0,1.0,0.0,2.0,2.0,,29.7,21.0,1.0,4.0,,,3.0,1.0,21.0,6.0,273.0,9.0,13.0,7.0,2.0,,27.0,2.0,1.0,189.0,1.0,3.0,23.0,68.0,22.0,5.0,16.0,16.0,2.0,2.0,3.0,13.0,5.0,11.0,6.0,,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12,2128404,2020-12-13 12:00:00,"St. Mary's Stadium, Southampton",2000.0,Away,Sheffield United,Southampton,0,3,L,0,1,0,0,28.0,49.0,,22.0,19.0,,,3.0,3.0,123.0,14.0,2.0,6.0,1.0,3.0,,,51.0,126.0,46.0,3.0,,22.0,,,,,16.0,,11.0,19.0,2.0,2.0,18.0,116.0,0.0,99.0,14.0,,1.0,71.0,38.0,,47.0,1.0,1.0,14.0,14.0,,1.0,126.0,,11.0,38.0,425.0,2.0,10.0,7.0,,,13.0,160.0,11.0,10.0,9.0,1.0,3.0,3.0,23.0,227.0,43.0,83427,1.0,65.0,,12.0,80.0,7.0,,14.0,9.0,65.0,,,2.0,6.0,5.0,5.0,1.0,61.0,179.0,8.0,9.0,1.0,32.0,1.0,65.0,,,0.0,8.0,2.0,3.0,3.0,0.0,1.0,1.0,,31.8,19.0,1.0,4.0,1.0,,2.0,,30.0,4.0,259.0,13.0,13.0,4.0,3.0,,23.0,1.0,3.0,195.0,2.0,2.0,15.0,65.0,16.0,,9.0,17.0,2.0,2.0,3.0,14.0,,6.0,4.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
13,2128411,2020-12-17 20:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Manchester United,2,3,L,1,2,0,0,24.0,53.0,,31.0,12.0,3.0,3.0,9.0,5.0,163.0,12.0,4.0,7.0,2.0,10.0,,6.0,78.0,150.0,53.0,12.0,1.0,22.0,3.0,1.0,,1.0,17.0,,13.0,12.0,6.0,1.0,28.0,183.0,0.0,156.0,17.0,1.0,1.0,69.0,72.0,5.0,53.0,1.0,2.0,11.0,16.0,3.0,4.0,150.0,1.0,9.0,68.0,543.0,9.0,11.0,28.0,,,10.0,253.0,18.0,10.0,6.0,3.0,3.0,5.0,22.0,336.0,71.0,83427,4.0,87.0,,6.0,103.0,10.0,,16.0,5.0,65.0,,2.0,3.0,13.0,6.0,1.0,1.0,77.0,266.0,6.0,8.0,,32.0,1.0,76.0,1.0,1.0,0.0,3.0,5.0,3.0,4.0,0.0,3.0,3.0,,40.1,14.0,2.0,5.0,1.0,,3.0,1.0,34.0,6.0,362.0,10.0,10.0,12.0,5.0,,33.0,1.0,4.0,276.0,6.0,,20.0,104.0,18.0,,6.0,20.0,1.0,10.0,3.0,15.0,,7.0,6.0,3.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,2.0,1.0,,,1.0,,1.0,2.0,1.0,,,,1.0,,2.0,,,,1.0,,,,3.0,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14,2128416,2020-12-20 12:00:00,"American Express Stadium, Falmer",2000.0,Away,Sheffield United,Brighton and Hove Albion,1,1,D,0,0,1,0,27.0,44.0,,12.0,37.0,1.0,2.0,3.0,3.0,110.0,14.0,1.0,5.0,3.0,4.0,1.0,3.0,32.0,115.0,52.0,5.0,,23.0,,,,,9.0,,9.0,37.0,2.0,,15.0,71.0,0.0,83.0,11.0,,2.0,41.0,29.0,2.0,27.0,1.0,1.0,7.0,8.0,2.0,2.0,115.0,1.0,16.0,34.0,367.0,3.0,4.0,11.0,,,7.0,121.0,19.0,4.0,21.0,5.0,7.0,2.0,18.0,176.0,46.0,83427,3.0,60.0,1.0,3.0,78.0,7.0,1.0,8.0,12.0,54.0,,2.0,1.0,12.0,5.0,4.0,1.0,50.0,130.0,9.0,9.0,,18.0,,53.0,1.0,,0.0,14.0,3.0,1.0,1.0,1.0,,,,26.5,11.0,,6.0,,,1.0,,16.0,2.0,203.0,7.0,8.0,4.0,2.0,,12.0,1.0,2.0,134.0,3.0,,27.0,47.0,11.0,3.0,21.0,12.0,1.0,3.0,3.0,9.0,3.0,4.0,2.0,2.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
15,2128433,2020-12-26 20:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Everton,0,1,L,0,0,0,0,26.0,65.0,2.0,28.0,17.0,1.0,2.0,9.0,2.0,171.0,13.0,6.0,7.0,,8.0,,2.0,87.0,164.0,54.0,10.0,1.0,32.0,2.0,1.0,,1.0,15.0,,9.0,17.0,5.0,6.0,41.0,169.0,0.0,133.0,11.0,2.0,1.0,68.0,60.0,3.0,73.0,1.0,2.0,10.0,27.0,1.0,2.0,164.0,1.0,4.0,89.0,612.0,2.0,9.0,21.0,,,11.0,292.0,28.0,8.0,8.0,2.0,1.0,5.0,26.0,396.0,76.0,83427,4.0,142.0,1.0,7.0,164.0,8.0,,27.0,5.0,74.0,,,2.0,19.0,3.0,2.0,,70.0,305.0,10.0,18.0,6.0,22.0,5.0,78.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,,43.8,19.0,3.0,2.0,1.0,,2.0,3.0,34.0,5.0,420.0,11.0,10.0,12.0,5.0,,24.0,5.0,5.0,271.0,3.0,5.0,20.0,76.0,25.0,1.0,8.0,18.0,1.0,3.0,3.0,10.0,1.0,15.0,6.0,1.0,,,,2.0,,,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,2128437,2020-12-29 18:00:00,"Turf Moor, Burnley",,Away,Sheffield United,Burnley,0,1,L,0,1,0,0,29.0,61.0,1.0,21.0,7.0,3.0,1.0,4.0,2.0,178.0,14.0,3.0,11.0,2.0,6.0,,3.0,139.0,159.0,57.0,7.0,1.0,31.0,2.0,1.0,,,23.0,,9.0,7.0,5.0,2.0,55.0,284.0,0.0,205.0,17.0,1.0,2.0,128.0,86.0,4.0,101.0,,,18.0,13.0,3.0,10.0,159.0,1.0,4.0,133.0,716.0,4.0,6.0,11.0,1.0,,8.0,434.0,32.0,2.0,4.0,2.0,,2.0,27.0,528.0,91.0,83427,,166.0,1.0,6.0,190.0,10.0,,13.0,5.0,62.0,,2.0,3.0,15.0,1.0,,2.0,69.0,447.0,12.0,3.0,2.0,20.0,2.0,78.0,,,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,,62.9,22.0,1.0,4.0,1.0,,3.0,2.0,37.0,5.0,551.0,8.0,10.0,21.0,2.0,,29.0,2.0,1.0,384.0,4.0,2.0,22.0,157.0,19.0,1.0,4.0,13.0,1.0,5.0,3.0,13.0,1.0,6.0,5.0,2.0,,,2.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2128449,2021-01-02 15:00:00,"Selhurst Park, London",,Away,Sheffield United,Crystal Palace,0,2,L,0,2,0,0,29.0,55.0,3.0,39.0,8.0,3.0,2.0,4.0,2.0,181.0,13.0,4.0,7.0,1.0,4.0,1.0,2.0,119.0,162.0,62.0,7.0,1.0,23.0,1.0,,,,20.0,,13.0,8.0,5.0,7.0,50.0,175.0,0.0,146.0,18.0,,,66.0,103.0,4.0,92.0,,1.0,15.0,23.0,3.0,6.0,162.0,,6.0,118.0,734.0,4.0,5.0,16.0,,,18.0,400.0,25.0,7.0,1.0,3.0,3.0,,39.0,495.0,69.0,82691,3.0,240.0,,9.0,267.0,11.0,1.0,23.0,3.0,76.0,,3.0,5.0,14.0,3.0,1.0,,78.0,411.0,8.0,15.0,,25.0,2.0,71.0,1.0,,0.0,3.0,1.0,2.0,2.0,0.0,3.0,,,55.6,35.0,,4.0,,,5.0,4.0,38.0,6.0,510.0,18.0,11.0,26.0,1.0,,23.0,1.0,,263.0,5.0,6.0,25.0,98.0,18.0,1.0,1.0,22.0,1.0,5.0,2.0,20.0,1.0,13.0,6.0,2.0,,,,2.0,1.0,,,,,,3.0,2.0,,1.0,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,2128461,2021-01-12 18:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Newcastle United,1,0,W,0,0,0,1,25.0,55.0,4.0,41.0,16.0,4.0,5.0,13.0,3.0,194.0,15.0,5.0,7.0,4.0,14.0,,4.0,124.0,134.0,50.0,17.0,3.0,19.0,3.0,5.0,,3.0,24.0,,4.0,16.0,3.0,1.0,39.0,320.0,0.0,232.0,13.0,,2.0,146.0,96.0,9.0,108.0,1.0,2.0,21.0,14.0,4.0,8.0,134.0,1.0,4.0,133.0,755.0,14.0,5.0,40.0,,1.0,8.0,470.0,17.0,7.0,8.0,2.0,1.0,5.0,24.0,539.0,66.0,82143,3.0,169.0,1.0,11.0,187.0,7.0,,14.0,2.0,51.0,,2.0,3.0,18.0,3.0,,1.0,67.0,484.0,11.0,4.0,,19.0,1.0,62.0,1.0,,0.0,2.0,1.0,,3.0,0.0,5.0,2.0,,66.2,22.0,2.0,6.0,3.0,1.0,3.0,7.0,42.0,5.0,559.0,8.0,7.0,22.0,6.0,,42.0,,5.0,396.0,10.0,1.0,21.0,189.0,23.0,2.0,8.0,11.0,,15.0,3.0,15.0,2.0,4.0,5.0,2.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,,,3.0,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
19,2128473,2021-01-17 14:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Tottenham Hotspur,1,3,L,0,2,0,0,31.0,67.0,4.0,17.0,21.0,8.0,2.0,7.0,2.0,145.0,14.0,4.0,8.0,1.0,11.0,1.0,5.0,105.0,145.0,56.0,15.0,3.0,17.0,1.0,1.0,,,22.0,,11.0,21.0,4.0,2.0,30.0,204.0,0.0,139.0,13.0,1.0,1.0,87.0,61.0,9.0,60.0,1.0,2.0,18.0,13.0,8.0,7.0,145.0,1.0,5.0,103.0,616.0,10.0,9.0,17.0,1.0,,13.0,312.0,30.0,4.0,7.0,4.0,5.0,2.0,22.0,399.0,57.0,82691,5.0,121.0,,10.0,139.0,8.0,1.0,13.0,5.0,59.0,,4.0,1.0,12.0,9.0,3.0,,51.0,321.0,4.0,12.0,,23.0,,76.0,,,0.0,7.0,,3.0,2.0,0.0,3.0,3.0,,42.0,20.0,1.0,3.0,1.0,2.0,1.0,7.0,36.0,5.0,413.0,13.0,12.0,8.0,3.0,,29.0,1.0,1.0,296.0,10.0,2.0,26.0,104.0,32.0,,7.0,19.0,2.0,14.0,3.0,13.0,,8.0,5.0,3.0,,,,1.0,2.0,,,,1.0,,1.0,,,2.0,,,2.0,3.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,
20,2128479,2021-01-27 20:15:00,"Old Trafford, Manchester",,Away,Sheffield United,Manchester United,2,1,W,1,0,0,0,30.0,61.0,1.0,10.0,28.0,,1.0,5.0,3.0,121.0,18.0,1.0,3.0,1.0,5.0,,3.0,38.0,131.0,33.0,5.0,,23.0,1.0,3.0,,,7.0,,9.0,28.0,2.0,4.0,16.0,92.0,0.0,85.0,12.0,1.0,1.0,54.0,32.0,4.0,42.0,2.0,,5.0,16.0,,,131.0,,10.0,56.0,435.0,3.0,4.0,8.0,,,16.0,168.0,34.0,3.0,10.0,1.0,7.0,1.0,12.0,228.0,42.0,82691,1.0,86.0,,4.0,102.0,4.0,,16.0,9.0,72.0,,5.0,,13.0,6.0,1.0,,59.0,177.0,10.0,17.0,,27.0,1.0,57.0,,,0.0,7.0,1.0,1.0,2.0,0.0,,1.0,,24.2,7.0,,1.0,,,,1.0,15.0,2.0,257.0,16.0,11.0,3.0,1.0,,13.0,1.0,1.0,162.0,3.0,3.0,5.0,48.0,17.0,2.0,10.0,15.0,1.0,4.0,3.0,13.0,2.0,7.0,2.0,,,,,2.0,,,1.0,,,1.0,2.0,,1.0,2.0,,2.0,1.0,,,,2.0,,,1.0,,,1.0,,2.0,1.0,,,2.0,,1.0,,,,,,1.0,,2.0,,,1.0,1.0,,1.0,,,,,1.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,
21,2128492,2021-01-30 15:00:00,"Etihad Stadium, Manchester",,Away,Sheffield United,Manchester City,0,1,L,0,1,0,0,27.0,48.0,,21.0,22.0,4.0,1.0,,4.0,105.0,15.0,,4.0,1.0,3.0,,1.0,54.0,99.0,40.0,4.0,1.0,14.0,,,,,3.0,,7.0,22.0,,5.0,34.0,80.0,0.0,64.0,10.0,2.0,1.0,21.0,37.0,2.0,50.0,3.0,1.0,3.0,11.0,4.0,,99.0,,6.0,64.0,416.0,3.0,2.0,9.0,,,10.0,199.0,28.0,11.0,12.0,3.0,4.0,1.0,10.0,257.0,27.0,82691,,126.0,,2.0,144.0,7.0,1.0,11.0,5.0,44.0,,1.0,1.0,12.0,4.0,2.0,,53.0,206.0,7.0,8.0,,23.0,,53.0,,,0.0,10.0,3.0,1.0,,0.0,,,2.0,25.0,9.0,,,,,1.0,1.0,23.0,,273.0,10.0,10.0,11.0,2.0,,10.0,,,132.0,3.0,5.0,14.0,39.0,12.0,2.0,12.0,15.0,1.0,4.0,3.0,6.0,2.0,8.0,,1.0,,,,,2.0,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,2128501,2021-02-02 18:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,West Bromwich Albion,2,1,W,0,1,0,0,37.0,55.0,3.0,30.0,22.0,5.0,4.0,9.0,3.0,191.0,19.0,2.0,10.0,3.0,12.0,2.0,6.0,160.0,159.0,66.0,14.0,1.0,30.0,1.0,1.0,,,27.0,,11.0,22.0,9.0,3.0,41.0,282.0,0.0,208.0,11.0,3.0,2.0,130.0,70.0,9.0,90.0,,1.0,18.0,12.0,5.0,4.0,159.0,1.0,7.0,152.0,800.0,9.0,7.0,32.0,,,10.0,485.0,29.0,3.0,15.0,2.0,2.0,3.0,28.0,576.0,80.0,82691,6.0,215.0,,12.0,243.0,5.0,2.0,12.0,5.0,60.0,,,3.0,11.0,1.0,1.0,2.0,60.0,495.0,9.0,2.0,1.0,12.0,2.0,74.0,,,0.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,68.3,24.0,3.0,3.0,1.0,,3.0,4.0,44.0,9.0,593.0,10.0,11.0,18.0,4.0,,42.0,1.0,3.0,377.0,7.0,3.0,27.0,158.0,19.0,3.0,15.0,20.0,1.0,11.0,3.0,17.0,3.0,4.0,9.0,3.0,,,1.0,,1.0,,,,,,,,1.0,,,,2.0,3.0,1.0,,,,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,3.0,,1.0,,2.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,
23,2128513,2021-02-07 19:15:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Chelsea,1,2,L,0,1,0,0,31.0,56.0,2.0,21.0,15.0,3.0,5.0,5.0,,146.0,18.0,,12.0,3.0,5.0,,3.0,65.0,142.0,52.0,8.0,,20.0,1.0,,,1.0,9.0,,9.0,15.0,1.0,3.0,34.0,132.0,0.0,132.0,8.0,,2.0,56.0,45.0,2.0,55.0,1.0,,8.0,22.0,3.0,4.0,142.0,1.0,7.0,72.0,519.0,5.0,13.0,19.0,,,12.0,233.0,25.0,4.0,9.0,1.0,3.0,3.0,24.0,318.0,54.0,82143,4.0,112.0,1.0,2.0,133.0,6.0,,22.0,7.0,57.0,,2.0,2.0,16.0,2.0,4.0,,55.0,244.0,8.0,12.0,,19.0,,67.0,2.0,1.0,0.0,8.0,1.0,2.0,5.0,0.0,,,,31.1,20.0,,3.0,1.0,,2.0,2.0,30.0,1.0,338.0,12.0,14.0,15.0,3.0,,27.0,,2.0,214.0,3.0,3.0,14.0,84.0,21.0,,9.0,18.0,2.0,6.0,3.0,15.0,,14.0,1.0,1.0,,,,,1.0,1.0,,,2.0,,,,2.0,,1.0,,1.0,2.0,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
24,2128525,2021-02-15 18:00:00,"London Stadium, London",,Away,Sheffield United,West Ham United,0,3,L,0,1,0,0,,51.0,1.0,25.0,19.0,3.0,1.0,5.0,6.0,170.0,,8.0,7.0,1.0,8.0,,5.0,122.0,118.0,51.0,8.0,,15.0,4.0,,,,26.0,,13.0,19.0,7.0,4.0,33.0,266.0,0.0,175.0,12.0,4.0,2.0,123.0,61.0,5.0,74.0,1.0,,19.0,13.0,3.0,4.0,118.0,2.0,9.0,134.0,672.0,7.0,6.0,25.0,4.0,,6.0,416.0,15.0,5.0,10.0,2.0,1.0,2.0,17.0,483.0,61.0,82691,4.0,169.0,2.0,13.0,185.0,9.0,,13.0,3.0,43.0,1.0,1.0,6.0,12.0,4.0,,1.0,49.0,427.0,11.0,7.0,,18.0,,63.0,2.0,,0.0,7.0,3.0,3.0,3.0,0.0,7.0,4.0,,54.1,13.0,,1.0,,1.0,6.0,1.0,37.0,7.0,500.0,6.0,5.0,20.0,2.0,,34.0,1.0,,341.0,3.0,4.0,15.0,142.0,27.0,,10.0,18.0,3.0,8.0,2.0,11.0,,9.0,7.0,,,,,,2.0,,,,,,,,1.0,3.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
25,2128530,2021-02-20 20:00:00,"Craven Cottage, London",,Away,Sheffield United,Fulham,0,1,L,0,0,0,0,35.0,43.0,,34.0,23.0,,1.0,4.0,4.0,148.0,15.0,1.0,3.0,4.0,2.0,,2.0,53.0,150.0,60.0,4.0,,26.0,2.0,,,,13.0,,10.0,23.0,4.0,1.0,50.0,90.0,0.0,109.0,14.0,2.0,4.0,74.0,38.0,2.0,51.0,1.0,1.0,9.0,17.0,,1.0,150.0,2.0,7.0,69.0,495.0,2.0,8.0,8.0,,,8.0,193.0,20.0,2.0,12.0,2.0,4.0,,30.0,295.0,58.0,82691,2.0,120.0,2.0,4.0,142.0,12.0,,17.0,9.0,72.0,,3.0,,10.0,8.0,5.0,,80.0,209.0,10.0,26.0,,18.0,1.0,76.0,,,0.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,,34.9,23.0,1.0,1.0,,,,,27.0,4.0,321.0,8.0,4.0,17.0,2.0,,23.0,,2.0,192.0,2.0,1.0,27.0,47.0,13.0,2.0,12.0,20.0,1.0,1.0,3.0,5.0,2.0,11.0,4.0,1.0,,,,,,,1.0,,2.0,1.0,,,1.0,4.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
26,2128543,2021-02-28 19:15:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Liverpool,0,2,L,0,0,0,0,27.0,70.0,1.0,37.0,17.0,3.0,2.0,5.0,7.0,162.0,15.0,5.0,3.0,2.0,7.0,,2.0,88.0,153.0,48.0,8.0,1.0,20.0,1.0,,,1.0,19.0,,8.0,17.0,4.0,2.0,45.0,167.0,0.0,142.0,9.0,5.0,2.0,67.0,69.0,4.0,73.0,2.0,3.0,15.0,21.0,3.0,5.0,153.0,2.0,14.0,83.0,579.0,7.0,9.0,13.0,,,11.0,295.0,32.0,12.0,6.0,0.0,4.0,3.0,22.0,385.0,66.0,82691,3.0,142.0,2.0,8.0,170.0,3.0,,21.0,6.0,48.0,,3.0,1.0,19.0,3.0,3.0,,77.0,304.0,9.0,7.0,,30.0,1.0,69.0,2.0,,0.0,3.0,6.0,2.0,2.0,0.0,5.0,2.0,,39.3,19.0,1.0,2.0,1.0,,1.0,2.0,28.0,4.0,406.0,11.0,8.0,24.0,4.0,,26.0,,3.0,255.0,4.0,2.0,25.0,94.0,27.0,1.0,6.0,11.0,2.0,5.0,3.0,7.0,1.0,11.0,4.0,2.0,,,,,1.0,,,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,
27,2128552,2021-03-06 15:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Southampton,0,2,L,0,1,0,0,28.0,63.0,,31.0,21.0,3.0,4.0,4.0,5.0,179.0,17.0,6.0,10.0,2.0,6.0,,2.0,73.0,169.0,59.0,8.0,1.0,16.0,1.0,,,1.0,21.0,,11.0,21.0,7.0,3.0,49.0,156.0,0.0,144.0,17.0,3.0,1.0,86.0,41.0,2.0,65.0,3.0,2.0,14.0,17.0,4.0,4.0,169.0,2.0,7.0,76.0,589.0,4.0,11.0,16.0,1.0,,9.0,261.0,27.0,7.0,6.0,4.0,4.0,4.0,26.0,371.0,65.0,82691,4.0,125.0,2.0,9.0,158.0,8.0,1.0,17.0,6.0,61.0,,2.0,3.0,16.0,8.0,1.0,1.0,73.0,275.0,11.0,11.0,2.0,23.0,1.0,76.0,,,0.0,3.0,3.0,2.0,3.0,0.0,4.0,3.0,,50.9,26.0,2.0,7.0,,2.0,3.0,1.0,39.0,7.0,393.0,9.0,7.0,22.0,5.0,,35.0,2.0,3.0,256.0,1.0,3.0,22.0,83.0,23.0,,6.0,16.0,1.0,6.0,3.0,20.0,,5.0,7.0,1.0,,,,,2.0,,1.0,1.0,1.0,1.0,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,
